	FengQ_2015__SID532915__bin.39	LiJ_2014__O2.UC4-1__bin.77	XieH_2016__YSZC12003_37405__bin.120	BritoIL_2016__W3.19.ST__bin.19	XieH_2016__YSZC12003_36034__bin.36	LeChatelierE_2013__MH0035__bin.33	CosteaPI_2017__mickey1-11-7-0__bin.18	QinN_2014__LD-14__bin.48	VogtmannE_2016__MMRS32573774ST-27-0-0__bin.48	KarlssonFH_2013__S54__bin.2	BritoIL_2016__W2.39.ST__bin.88	LiJ_2014__V1.UC40-1__bin.3	BritoIL_2016__W1.33.ST__bin.18	RampelliS_2015__H3__bin.17	ZeeviD_2015__PNP_Main_85__bin.49	LiJ_2014__MH0374__bin.29	QinN_2014__HD-62__bin.20	VogtmannE_2016__MMRS21365932ST-27-0-0__bin.54	BritoIL_2016__W1.27.ST__bin.61	BritoIL_2016__W2.54.ST__bin.69	BritoIL_2016__W1.1.ST__bin.26	ZeeviD_2015__PNP_Main_357__bin.31	CosteaPI_2017__mickey1-11-0-0__bin.22	LiJ_2014__MH0355__bin.90	NielsenHB_2014__MH0035__bin.16	NielsenHB_2014__V1_CD30_0__bin.6	QinJ_2012__CON-110__bin.2	Obregon-TitoAJ_2015__SM25__bin.30	XieH_2016__YSZC12003_36702__bin.37	NielsenHB_2014__V1_UC40_0__bin.55	ZeeviD_2015__PNP_Main_772__bin.19	BritoIL_2016__W1.3.ST__bin.35	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.133	KarlssonFH_2013__S297__bin.5	RaymondF_2016__P13E0__bin.45	CM_madagascar__A10_01_1FE__bin.2	Bengtsson-PalmeJ_2015__TRAVELRES16__bin.48	ZeeviD_2015__PNP_Main_378__bin.15	BritoIL_2016__W2.35.ST__bin.39	LeChatelierE_2013__MH0257__bin.30	CosteaPI_2017__SID713A063-11-90-0__bin.82	LeChatelierE_2013__MH0421__bin.62	VogtmannE_2016__MMRS57276462ST-27-0-0__bin.52	LiJ_2014__O2.UC48-1__bin.1	ZeeviD_2015__PNP_Main_499__bin.37	QinJ_2012__CON-041__bin.36	KarlssonFH_2013__S77__bin.33
BritoIL_2016__W2.39.ST__bin.88	21662.0	22506.0	25843.0	5152.0	23769.0	12434.0	16322.0	27181.0	14364.0	22780.0	0.0	20904.0	10357.0	21536.0	21425.0	21442.0	27397.0	21800.0	10007.0	7631.0	10208.0	22103.0	25599.0	22393.0	21955.0	23477.0	27881.0	28077.0	22906.0	20335.0	21194.0	2443.0	18820.0	18341.0	19296.0	12958.0	21111.0	21520.0	12939.0	22590.0	22920.0	21326.0	17309.0	22361.0	22428.0	25844.0	14052.0
LiJ_2014__V1.UC40-1__bin.3	15408.0	14067.0	32586.0	28274.0	13513.0	8365.0	20830.0	36318.0	10988.0	13607.0	20904.0	0.0	28372.0	30139.0	11730.0	16796.0	36655.0	15774.0	23901.0	15944.0	28353.0	13194.0	30945.0	12849.0	13734.0	10915.0	38266.0	35119.0	13028.0	1393.0	13135.0	28580.0	27176.0	13326.0	10302.0	17987.0	15224.0	12887.0	28379.0	13928.0	13998.0	11864.0	11105.0	10632.0	14443.0	35612.0	7227.0
BritoIL_2016__W1.33.ST__bin.18	28609.0	29692.0	36012.0	12117.0	29559.0	18771.0	21857.0	36030.0	18775.0	30111.0	10357.0	28372.0	0.0	29280.0	29172.0	28481.0	36402.0	28836.0	495.0	10003.0	550.0	28839.0	32582.0	29028.0	29739.0	31431.0	36769.0	35593.0	29483.0	27238.0	28341.0	13356.0	25037.0	22892.0	26361.0	17368.0	28297.0	29034.0	17815.0	29009.0	29590.0	28001.0	23441.0	29415.0	30351.0	35211.0	17295.0
RampelliS_2015__H3__bin.17	29313.0	31807.0	34532.0	28351.0	30558.0	19529.0	22898.0	37338.0	20458.0	31948.0	21536.0	30139.0	29280.0	0.0	30254.0	30269.0	37329.0	29107.0	24675.0	15973.0	29529.0	30131.0	34231.0	29401.0	30871.0	31982.0	38556.0	36071.0	29871.0	28796.0	29448.0	28163.0	26159.0	24830.0	26959.0	16779.0	29014.0	28854.0	28055.0	30002.0	30914.0	29014.0	24903.0	30336.0	31030.0	38069.0	17939.0
ZeeviD_2015__PNP_Main_85__bin.49	16139.0	17527.0	33685.0	28735.0	15266.0	8924.0	21730.0	37054.0	11603.0	15384.0	21425.0	11730.0	29172.0	30254.0	0.0	17417.0	37683.0	15493.0	24204.0	16703.0	29410.0	15231.0	31971.0	15656.0	15580.0	13640.0	38643.0	35208.0	15300.0	11832.0	15193.0	29544.0	27875.0	12709.0	11785.0	18155.0	16766.0	14296.0	29770.0	15497.0	15489.0	14259.0	12094.0	13333.0	15195.0	35467.0	8965.0
LiJ_2014__MH0374__bin.29	15587.0	17491.0	32653.0	28483.0	16794.0	11145.0	21801.0	35603.0	12067.0	16503.0	21442.0	16796.0	28481.0	30269.0	17417.0	0.0	36209.0	15374.0	23402.0	16640.0	28291.0	17010.0	31545.0	16437.0	16811.0	17728.0	37355.0	35553.0	17259.0	15980.0	16234.0	28674.0	27263.0	12247.0	14194.0	18597.0	17517.0	15426.0	28416.0	17332.0	16728.0	16190.0	13011.0	16448.0	15784.0	35535.0	9867.0
QinN_2014__HD-62__bin.20	33201.0	38991.0	30863.0	35516.0	37954.0	24699.0	15382.0	6012.0	24412.0	38468.0	27397.0	36655.0	36402.0	37329.0	37683.0	36209.0	0.0	34014.0	30527.0	20495.0	36600.0	37502.0	22657.0	37751.0	38580.0	38766.0	25756.0	46092.0	37891.0	36189.0	37107.0	35934.0	33503.0	28087.0	34267.0	21182.0	36597.0	36227.0	35756.0	38527.0	38895.0	36404.0	30698.0	37517.0	38105.0	26194.0	21188.0
VogtmannE_2016__MMRS21365932ST-27-0-0__bin.54	15455.0	16585.0	31632.0	29159.0	17133.0	10433.0	22087.0	34417.0	12169.0	16326.0	21800.0	15774.0	28836.0	29107.0	15493.0	15374.0	34014.0	0.0	24391.0	17065.0	28522.0	17908.0	32205.0	16233.0	17625.0	17175.0	37137.0	35898.0	17131.0	15637.0	15929.0	28967.0	26934.0	12973.0	14275.0	19254.0	18166.0	16038.0	29038.0	17182.0	17750.0	16727.0	13297.0	15934.0	16561.0	34691.0	9845.0
BritoIL_2016__W1.27.ST__bin.61	24253.0	25208.0	29249.0	10947.0	24731.0	14160.0	18881.0	29982.0	16264.0	25442.0	10007.0	23901.0	495.0	24675.0	24204.0	23402.0	30527.0	24391.0	0.0	8600.0	189.0	24496.0	28383.0	24613.0	25744.0	26744.0	31318.0	30799.0	24547.0	22918.0	24083.0	11043.0	21575.0	19689.0	22497.0	14972.0	23934.0	24229.0	14799.0	24784.0	25028.0	23934.0	19744.0	24498.0	25627.0	29765.0	15394.0
BritoIL_2016__W2.54.ST__bin.69	16835.0	17589.0	20242.0	9450.0	17915.0	10663.0	14925.0	20292.0	13251.0	17674.0	7631.0	15944.0	10003.0	15973.0	16703.0	16640.0	20495.0	17065.0	8600.0	0.0	9882.0	17471.0	19949.0	17627.0	18073.0	17257.0	21647.0	21752.0	17196.0	16630.0	17483.0	9166.0	13483.0	14939.0	15954.0	12111.0	16924.0	16756.0	383.0	17539.0	17665.0	16867.0	15482.0	16835.0	17817.0	20998.0	11477.0
BritoIL_2016__W1.1.ST__bin.26	28465.0	29857.0	36063.0	12138.0	29705.0	18670.0	21788.0	36652.0	18810.0	30116.0	10208.0	28353.0	550.0	29529.0	29410.0	28291.0	36600.0	28522.0	189.0	9882.0	0.0	29172.0	32679.0	29182.0	30494.0	31437.0	36891.0	35545.0	29557.0	27290.0	28511.0	12976.0	25426.0	22864.0	26464.0	16944.0	28370.0	29226.0	17682.0	29338.0	29817.0	28181.0	23550.0	29367.0	30803.0	35834.0	17305.0
ZeeviD_2015__PNP_Main_357__bin.31	16335.0	13748.0	33693.0	29011.0	13838.0	6916.0	22293.0	37888.0	11379.0	11877.0	22103.0	13194.0	28839.0	30131.0	15231.0	17010.0	37502.0	17908.0	24496.0	17471.0	29172.0	0.0	32936.0	12442.0	12365.0	13237.0	39708.0	36978.0	13331.0	13512.0	636.0	29300.0	28148.0	13169.0	10521.0	18738.0	14645.0	12370.0	30286.0	12774.0	12426.0	10105.0	10625.0	13195.0	12983.0	38249.0	7074.0
CosteaPI_2017__mickey1-11-0-0__bin.22	30042.0	34432.0	26429.0	32554.0	32725.0	20529.0	539.0	22948.0	22642.0	31777.0	25599.0	30945.0	32582.0	34231.0	31971.0	31545.0	22657.0	32205.0	28383.0	19949.0	32679.0	32936.0	0.0	32185.0	32938.0	32488.0	23312.0	42127.0	32559.0	30559.0	32236.0	33067.0	27935.0	26673.0	29830.0	21028.0	30205.0	30906.0	32835.0	33162.0	32758.0	31619.0	26600.0	32158.0	33327.0	22924.0	19172.0
LiJ_2014__MH0355__bin.90	15731.0	10863.0	32855.0	29872.0	12778.0	8379.0	21655.0	37194.0	11117.0	12027.0	22393.0	12849.0	29028.0	29401.0	15656.0	16437.0	37751.0	16233.0	24613.0	17627.0	29182.0	12442.0	32185.0	0.0	13505.0	13854.0	38679.0	35963.0	11484.0	13615.0	12552.0	30177.0	27397.0	12706.0	11705.0	19051.0	16117.0	13373.0	31197.0	10304.0	13927.0	11508.0	10638.0	13495.0	13424.0	35609.0	8010.0
NielsenHB_2014__MH0035__bin.16	16646.0	13970.0	34247.0	29676.0	15031.0	419.0	22001.0	38326.0	11334.0	12994.0	21955.0	13734.0	29739.0	30871.0	15580.0	16811.0	38580.0	17625.0	25744.0	18073.0	30494.0	12365.0	32938.0	13505.0	0.0	11138.0	38885.0	36295.0	14288.0	13545.0	12034.0	29862.0	29277.0	13044.0	9868.0	18981.0	11709.0	8820.0	30957.0	14527.0	9147.0	9209.0	10066.0	10348.0	10142.0	36707.0	8564.0
NielsenHB_2014__V1_CD30_0__bin.6	16273.0	15131.0	33641.0	30772.0	15709.0	6125.0	22370.0	38198.0	11144.0	13423.0	23477.0	10915.0	31431.0	31982.0	13640.0	17728.0	38766.0	17175.0	26744.0	17257.0	31437.0	13237.0	32488.0	13854.0	11138.0	0.0	39546.0	36645.0	14355.0	11622.0	12767.0	30980.0	29557.0	13491.0	8654.0	18904.0	15091.0	11944.0	31775.0	14325.0	11695.0	10931.0	11380.0	9063.0	12485.0	36847.0	8633.0
QinJ_2012__CON-110__bin.2	34713.0	40078.0	32272.0	36214.0	39701.0	24866.0	16743.0	25527.0	25126.0	39289.0	27881.0	38266.0	36769.0	38556.0	38643.0	37355.0	25756.0	37137.0	31318.0	21647.0	36891.0	39708.0	23312.0	38679.0	38885.0	39546.0	0.0	47334.0	39479.0	36602.0	39362.0	37217.0	33227.0	30402.0	34908.0	22248.0	36227.0	37502.0	37622.0	41086.0	39880.0	37133.0	30972.0	37959.0	39584.0	26144.0	22273.0
Obregon-TitoAJ_2015__SM25__bin.30	35335.0	36005.0	43424.0	35073.0	37913.0	22782.0	28125.0	45798.0	24698.0	37055.0	28077.0	35119.0	35593.0	36071.0	35208.0	35553.0	46092.0	35898.0	30799.0	21752.0	35545.0	36978.0	42127.0	35963.0	36295.0	36645.0	47334.0	0.0	36371.0	33791.0	36610.0	34563.0	35813.0	30360.0	32051.0	23491.0	35408.0	35755.0	36936.0	37046.0	37024.0	34466.0	30246.0	35404.0	37400.0	44525.0	21639.0
XieH_2016__YSZC12003_36702__bin.37	16145.0	11377.0	33405.0	29489.0	5529.0	8692.0	21856.0	37369.0	11310.0	13256.0	22906.0	13028.0	29483.0	29871.0	15300.0	17259.0	37891.0	17131.0	24547.0	17196.0	29557.0	13331.0	32559.0	11484.0	14288.0	14355.0	39479.0	36371.0	0.0	12871.0	13059.0	29915.0	29559.0	14104.0	11536.0	18604.0	16398.0	14326.0	30311.0	9891.0	14879.0	12367.0	10699.0	13639.0	13957.0	36511.0	8166.0
NielsenHB_2014__V1_UC40_0__bin.55	15537.0	14054.0	31824.0	27951.0	13438.0	8466.0	22020.0	35618.0	11766.0	13984.0	20335.0	1393.0	27238.0	28796.0	11832.0	15980.0	36189.0	15637.0	22918.0	16630.0	27290.0	13512.0	30559.0	13615.0	13545.0	11622.0	36602.0	33791.0	12871.0	0.0	13572.0	27729.0	25590.0	12551.0	10185.0	18603.0	15860.0	12946.0	28685.0	13515.0	13951.0	12160.0	11831.0	11770.0	13865.0	34091.0	7996.0
ZeeviD_2015__PNP_Main_772__bin.19	16529.0	13551.0	32805.0	28633.0	13791.0	6802.0	22075.0	36940.0	11380.0	11663.0	21194.0	13135.0	28341.0	29448.0	15193.0	16234.0	37107.0	15929.0	24083.0	17483.0	28511.0	636.0	32236.0	12552.0	12034.0	12767.0	39362.0	36610.0	13059.0	13572.0	0.0	28347.0	27323.0	13303.0	10568.0	18427.0	14421.0	12216.0	29631.0	12454.0	11880.0	9890.0	10641.0	13029.0	12797.0	36716.0	7037.0
BritoIL_2016__W1.3.ST__bin.35	28566.0	30045.0	34864.0	6382.0	30769.0	18707.0	22037.0	36004.0	19403.0	30224.0	2443.0	28580.0	13356.0	28163.0	29544.0	28674.0	35934.0	28967.0	11043.0	9166.0	12976.0	29300.0	33067.0	30177.0	29862.0	30980.0	37217.0	34563.0	29915.0	27729.0	28347.0	0.0	23937.0	23146.0	26301.0	16774.0	28209.0	29057.0	16060.0	29867.0	30357.0	28236.0	23507.0	29734.0	30539.0	35116.0	17396.0
Bengtsson-PalmeJ_2015__TRAVELRES18__bin.133	27105.0	29531.0	30510.0	24460.0	29631.0	17998.0	18897.0	34363.0	18449.0	29032.0	18820.0	27176.0	25037.0	26159.0	27875.0	27263.0	33503.0	26934.0	21575.0	13483.0	25426.0	28148.0	27935.0	27397.0	29277.0	29557.0	33227.0	35813.0	29559.0	25590.0	27323.0	23937.0	0.0	21409.0	25147.0	14656.0	27466.0	28180.0	23662.0	28834.0	30001.0	27582.0	23184.0	29014.0	28356.0	31161.0	16753.0
KarlssonFH_2013__S297__bin.5	12654.0	13202.0	25768.0	23794.0	13966.0	7676.0	18674.0	27888.0	9877.0	12590.0	18341.0	13326.0	22892.0	24830.0	12709.0	12247.0	28087.0	12973.0	19689.0	14939.0	22864.0	13169.0	26673.0	12706.0	13044.0	13491.0	30402.0	30360.0	14104.0	12551.0	13303.0	23146.0	21409.0	0.0	11440.0	16547.0	14791.0	12033.0	23626.0	13861.0	13914.0	12947.0	10987.0	13076.0	13794.0	28486.0	8600.0
RaymondF_2016__P13E0__bin.45	13984.0	12394.0	30388.0	26348.0	12881.0	5688.0	20743.0	34064.0	10887.0	10698.0	19296.0	10302.0	26361.0	26959.0	11785.0	14194.0	34267.0	14275.0	22497.0	15954.0	26464.0	10521.0	29830.0	11705.0	9868.0	8654.0	34908.0	32051.0	11536.0	10185.0	10568.0	26301.0	25147.0	11440.0	0.0	17710.0	12890.0	10017.0	26943.0	11416.0	9708.0	6209.0	9744.0	9188.0	10498.0	32496.0	7208.0
CM_madagascar__A10_01_1FE__bin.2	17724.0	19065.0	20865.0	17341.0	19218.0	11088.0	16704.0	21369.0	15200.0	18611.0	12958.0	17987.0	17368.0	16779.0	18155.0	18597.0	21182.0	19254.0	14972.0	12111.0	16944.0	18738.0	21028.0	19051.0	18981.0	18904.0	22248.0	23491.0	18604.0	18603.0	18427.0	16774.0	14656.0	16547.0	17710.0	0.0	17674.0	17879.0	17232.0	18846.0	18548.0	18646.0	17184.0	18710.0	18961.0	21247.0	12707.0
Bengtsson-PalmeJ_2015__TRAVELRES16__bin.48	17365.0	16803.0	32170.0	28206.0	16856.0	6848.0	20452.0	35720.0	12613.0	14724.0	21111.0	15224.0	28297.0	29014.0	16766.0	17517.0	36597.0	18166.0	23934.0	16924.0	28370.0	14645.0	30205.0	16117.0	11709.0	15091.0	36227.0	35408.0	16398.0	15860.0	14421.0	28209.0	27466.0	14791.0	12890.0	17674.0	0.0	11576.0	29173.0	16400.0	12365.0	13692.0	13078.0	14566.0	11492.0	34558.0	9419.0
ZeeviD_2015__PNP_Main_378__bin.15	15309.0	14136.0	32111.0	29305.0	14495.0	5233.0	20792.0	36178.0	10613.0	12573.0	21520.0	12887.0	29034.0	28854.0	14296.0	15426.0	36227.0	16038.0	24229.0	16756.0	29226.0	12370.0	30906.0	13373.0	8820.0	11944.0	37502.0	35755.0	14326.0	12946.0	12216.0	29057.0	28180.0	12033.0	10017.0	17879.0	11576.0	0.0	30309.0	13648.0	10918.0	10586.0	10413.0	11716.0	9803.0	34692.0	8270.0
BritoIL_2016__W2.35.ST__bin.39	28480.0	31986.0	34690.0	15556.0	30855.0	19569.0	22796.0	35939.0	20343.0	31172.0	12939.0	28379.0	17815.0	28055.0	29770.0	28416.0	35756.0	29038.0	14799.0	383.0	17682.0	30286.0	32835.0	31197.0	30957.0	31775.0	37622.0	36936.0	30311.0	28685.0	29631.0	16060.0	23662.0	23626.0	26943.0	17232.0	29173.0	30309.0	0.0	30579.0	31844.0	28522.0	24864.0	29650.0	30803.0	35334.0	17808.0
LeChatelierE_2013__MH0257__bin.30	16311.0	10932.0	33892.0	29669.0	12451.0	8953.0	22002.0	38154.0	12272.0	13370.0	22590.0	13928.0	29009.0	30002.0	15497.0	17332.0	38527.0	17182.0	24784.0	17539.0	29338.0	12774.0	33162.0	10304.0	14527.0	14325.0	41086.0	37046.0	9891.0	13515.0	12454.0	29867.0	28834.0	13861.0	11416.0	18846.0	16400.0	13648.0	30579.0	0.0	14463.0	11087.0	11303.0	13838.0	14192.0	37231.0	7990.0
CosteaPI_2017__SID713A063-11-90-0__bin.82	15938.0	13418.0	34475.0	29680.0	15520.0	5231.0	21707.0	38527.0	11250.0	12546.0	22920.0	13998.0	29590.0	30914.0	15489.0	16728.0	38895.0	17750.0	25028.0	17665.0	29817.0	12426.0	32758.0	13927.0	9147.0	11695.0	39880.0	37024.0	14879.0	13951.0	11880.0	30357.0	30001.0	13914.0	9708.0	18548.0	12365.0	10918.0	31844.0	14463.0	0.0	10176.0	11111.0	11538.0	10906.0	37578.0	8466.0
LeChatelierE_2013__MH0421__bin.62	16232.0	12622.0	31983.0	28489.0	13626.0	5416.0	22072.0	35605.0	11281.0	11712.0	21326.0	11864.0	28001.0	29014.0	14259.0	16190.0	36404.0	16727.0	23934.0	16867.0	28181.0	10105.0	31619.0	11508.0	9209.0	10931.0	37133.0	34466.0	12367.0	12160.0	9890.0	28236.0	27582.0	12947.0	6209.0	18646.0	13692.0	10586.0	28522.0	11087.0	10176.0	0.0	10131.0	11536.0	11374.0	35187.0	7678.0
VogtmannE_2016__MMRS57276462ST-27-0-0__bin.52	12988.0	11337.0	27760.0	23775.0	11049.0	6270.0	20331.0	30811.0	9578.0	11487.0	17309.0	11105.0	23441.0	24903.0	12094.0	13011.0	30698.0	13297.0	19744.0	15482.0	23550.0	10625.0	26600.0	10638.0	10066.0	11380.0	30972.0	30246.0	10699.0	11831.0	10641.0	23507.0	23184.0	10987.0	9744.0	17184.0	13078.0	10413.0	24864.0	11303.0	11111.0	10131.0	0.0	10900.0	10895.0	29438.0	7377.0
LiJ_2014__O2.UC48-1__bin.1	15932.0	14567.0	32643.0	29473.0	14549.0	6220.0	22046.0	37236.0	11325.0	14187.0	22361.0	10632.0	29415.0	30336.0	13333.0	16448.0	37517.0	15934.0	24498.0	16835.0	29367.0	13195.0	32158.0	13495.0	10348.0	9063.0	37959.0	35404.0	13639.0	11770.0	13029.0	29734.0	29014.0	13076.0	9188.0	18710.0	14566.0	11716.0	29650.0	13838.0	11538.0	11536.0	10900.0	0.0	12100.0	35407.0	8507.0
ZeeviD_2015__PNP_Main_499__bin.37	16226.0	15355.0	34159.0	30104.0	14378.0	6094.0	22205.0	38008.0	11338.0	13094.0	22428.0	14443.0	30351.0	31030.0	15195.0	15784.0	38105.0	16561.0	25627.0	17817.0	30803.0	12983.0	33327.0	13424.0	10142.0	12485.0	39584.0	37400.0	13957.0	13865.0	12797.0	30539.0	28356.0	13794.0	10498.0	18961.0	11492.0	9803.0	30803.0	14192.0	10906.0	11374.0	10895.0	12100.0	0.0	36521.0	8508.0
QinJ_2012__CON-041__bin.36	32901.0	37806.0	29517.0	34953.0	36716.0	23903.0	15687.0	25752.0	24073.0	36098.0	25844.0	35612.0	35211.0	38069.0	35467.0	35535.0	26194.0	34691.0	29765.0	20998.0	35834.0	38249.0	22924.0	35609.0	36707.0	36847.0	26144.0	44525.0	36511.0	34091.0	36716.0	35116.0	31161.0	28486.0	32496.0	21247.0	34558.0	34692.0	35334.0	37231.0	37578.0	35187.0	29438.0	35407.0	36521.0	0.0	20805.0
