	NielsenHB_2014__O2_UC26_0__bin.16	LiJ_2017__H3M518116__bin.17	QinN_2014__LD-51__bin.51	QinJ_2012__DLF008__bin.8	NielsenHB_2014__O2_UC26_2__bin.20	HeQ_2017__SZAXPI029473-40__bin.22	ZellerG_2014__CCIS29210128ST-4-0__bin.40	QinN_2014__LD-69__bin.31	CosteaPI_2017__donald4-11-30-0__bin.24	QinJ_2012__DOF006__bin.1	QinN_2014__LD-94__bin.44	HeQ_2017__SZAXPI029574-89__bin.17	HeQ_2017__SZAXPI029471-33__bin.12	HeQ_2017__SZAXPI029541-107__bin.12	CosteaPI_2017__donald4-11-7-0__bin.5	CosteaPI_2017__donald5-11-0-0__bin.9	LiJ_2014__O2.UC26-1__bin.16	FengQ_2015__SID531403__bin.8	LiJ_2014__V1.FI18__bin.6	HeQ_2017__SZAXPI029495-96__bin.3	HeQ_2017__SZAXPI029483-78__bin.27	QinN_2014__LD-89__bin.13	YuJ_2015__SZAXPI015232-18__bin.37	HeQ_2017__SZAXPI029546-133__bin.22	LoombaR_2017__SID1052_baz__bin.25	HeQ_2017__SZAXPI029496-97__bin.11	YuJ_2015__SZAXPI003428-6__bin.14	QinJ_2012__T2D-020__bin.28	QinN_2014__HD-10__bin.29
QinN_2014__LD-94__bin.44	2368041.0	2548597.0	2384083.0	2553759.0	1901007.0	2573424.0	1601321.0	1748343.0	2271359.0	2528502.0	2807899.0	2452536.0	2534918.0	2488495.0	2525808.0	924690.0	2403487.0	1759156.0	2529626.0	2436098.0	1519720.0	2380115.0	1725990.0	1394689.0	954994.0	2465375.0	2441172.0	2220034.0	2241978.0
HeQ_2017__SZAXPI029574-89__bin.17	2836442.0	2846007.0	2734175.0	2964631.0	2303497.0	2898550.0	1720179.0	2069209.0	2618059.0	2925544.0	2452536.0	3329492.0	2791425.0	2784276.0	2901537.0	991568.0	2890762.0	1834509.0	2846003.0	2947916.0	1733421.0	2630961.0	2061661.0	1522262.0	1042976.0	2708156.0	2908484.0	2448441.0	2536005.0
HeQ_2017__SZAXPI029471-33__bin.12	2790229.0	2907215.0	2739295.0	2941754.0	2350095.0	3072676.0	1730839.0	2167213.0	2655781.0	2972394.0	2534918.0	2791425.0	3571448.0	2820637.0	2923084.0	904657.0	2835010.0	1903037.0	2943926.0	2849736.0	1631107.0	2641416.0	2090303.0	1462113.0	984805.0	2964849.0	2814344.0	2701024.0	2497701.0
HeQ_2017__SZAXPI029541-107__bin.12	2744398.0	2874480.0	2658766.0	2901042.0	2222964.0	2898358.0	1730186.0	2010093.0	2591544.0	2904460.0	2488495.0	2784276.0	2820637.0	3253743.0	2883534.0	998682.0	2777278.0	1918281.0	2878925.0	2803158.0	1659871.0	2630933.0	1996189.0	1484731.0	1010349.0	2766609.0	2792479.0	2526459.0	2497425.0
CosteaPI_2017__donald4-11-7-0__bin.5	2871947.0	3026457.0	2760440.0	3161592.0	2342678.0	3060438.0	1801899.0	2175696.0	3084427.0	3011578.0	2525808.0	2901537.0	2923084.0	2883534.0	3487867.0	1103123.0	2926015.0	1913171.0	2938029.0	2915345.0	1709438.0	2703721.0	2215627.0	1551424.0	1047848.0	2870201.0	2988253.0	2580629.0	2665864.0
CosteaPI_2017__donald5-11-0-0__bin.9	964484.0	977603.0	949595.0	1043873.0	432060.0	1014630.0	837910.0	233661.0	783954.0	1014797.0	924690.0	991568.0	904657.0	998682.0	1103123.0	1128315.0	965155.0	1004124.0	1007877.0	979603.0	765118.0	958211.0	112627.0	858932.0	482360.0	827897.0	991475.0	579336.0	949473.0
LiJ_2014__O2.UC26-1__bin.16	3220546.0	2821782.0	2741544.0	2934967.0	2652896.0	2931102.0	1700787.0	2115815.0	2624553.0	2913062.0	2403487.0	2890762.0	2835010.0	2777278.0	2926015.0	965155.0	3371903.0	1838902.0	2868910.0	3085865.0	1761622.0	2594345.0	2045666.0	1489034.0	1060841.0	2742520.0	2879057.0	2439495.0	2527701.0
FengQ_2015__SID531403__bin.8	1834015.0	1888971.0	1775429.0	1901644.0	1269745.0	1986462.0	1400922.0	1092370.0	1626467.0	1920539.0	1759156.0	1834509.0	1903037.0	1918281.0	1913171.0	1004124.0	1838902.0	2256769.0	1937873.0	1847368.0	1296852.0	1731446.0	988680.0	1328710.0	792686.0	1839596.0	1795386.0	1589229.0	1705288.0
LiJ_2014__V1.FI18__bin.6	2832088.0	2872097.0	2709366.0	2975635.0	2286018.0	3019616.0	1761784.0	2072506.0	2640461.0	2997216.0	2529626.0	2846003.0	2943926.0	2878925.0	2938029.0	1007877.0	2868910.0	1937873.0	3342198.0	2886651.0	1697134.0	2693823.0	2016234.0	1518760.0	1028755.0	2825585.0	2844823.0	2547150.0	2537203.0
HeQ_2017__SZAXPI029495-96__bin.3	3050298.0	2861307.0	2775453.0	3019852.0	2468480.0	2933259.0	1707312.0	2085405.0	2628220.0	2944358.0	2436098.0	2947916.0	2849736.0	2803158.0	2915345.0	979603.0	3085865.0	1847368.0	2886651.0	3471268.0	1808589.0	2636686.0	2073188.0	1537604.0	1070270.0	2747718.0	2918524.0	2488088.0	2527856.0
HeQ_2017__SZAXPI029483-78__bin.27	1741401.0	1682292.0	1634914.0	1722550.0	1280044.0	1689566.0	1150563.0	1056988.0	1475256.0	1714370.0	1519720.0	1733421.0	1631107.0	1659871.0	1709438.0	765118.0	1761622.0	1296852.0	1697134.0	1808589.0	1908007.0	1597471.0	1025620.0	1087988.0	706067.0	1538983.0	1700683.0	1340060.0	1530253.0
QinN_2014__LD-89__bin.13	2548245.0	2680275.0	2503301.0	2720971.0	2064156.0	2707011.0	1685943.0	1879096.0	2416537.0	2832591.0	2380115.0	2630961.0	2641416.0	2630933.0	2703721.0	958211.0	2594345.0	1731446.0	2693823.0	2636686.0	1597471.0	3097387.0	1846906.0	1449566.0	1024911.0	2538929.0	2612881.0	2310283.0	2369037.0
YuJ_2015__SZAXPI015232-18__bin.37	2005790.0	2189271.0	1951268.0	2394487.0	2012317.0	2118143.0	1038215.0	2027158.0	2203638.0	2124874.0	1725990.0	2061661.0	2090303.0	1996189.0	2215627.0	112627.0	2045666.0	988680.0	2016234.0	2073188.0	1025620.0	1846906.0	2631099.0	762691.0	604660.0	2147947.0	2140926.0	2124716.0	1950440.0
HeQ_2017__SZAXPI029546-133__bin.22	1478146.0	1532551.0	1480892.0	1547839.0	1019327.0	1516837.0	1156662.0	856559.0	1308565.0	1546003.0	1394689.0	1522262.0	1462113.0	1484731.0	1551424.0	858932.0	1489034.0	1328710.0	1518760.0	1537604.0	1087988.0	1449566.0	762691.0	1790830.0	664876.0	1370284.0	1532921.0	1145522.0	1428316.0
LoombaR_2017__SID1052_baz__bin.25	1038911.0	1021461.0	981134.0	1043794.0	754397.0	1030358.0	747085.0	652364.0	898515.0	1030824.0	954994.0	1042976.0	984805.0	1010349.0	1047848.0	482360.0	1060841.0	792686.0	1028755.0	1070270.0	706067.0	1024911.0	604660.0	664876.0	1151116.0	914766.0	1009796.0	792955.0	947506.0
HeQ_2017__SZAXPI029496-97__bin.11	2692305.0	2876869.0	2619013.0	2872566.0	2342932.0	3248540.0	1632909.0	2170741.0	2712956.0	2883187.0	2465375.0	2708156.0	2964849.0	2766609.0	2870201.0	827897.0	2742520.0	1839596.0	2825585.0	2747718.0	1538983.0	2538929.0	2147947.0	1370284.0	914766.0	3315236.0	2749734.0	2762694.0	2439534.0
YuJ_2015__SZAXPI003428-6__bin.14	2845346.0	2879786.0	2728216.0	3085895.0	2327700.0	2929994.0	1740984.0	2094751.0	2687341.0	2933408.0	2441172.0	2908484.0	2814344.0	2792479.0	2988253.0	991475.0	2879057.0	1795386.0	2844823.0	2918524.0	1700683.0	2612881.0	2140926.0	1532921.0	1009796.0	2749734.0	3309888.0	2467502.0	2583950.0
QinJ_2012__T2D-020__bin.28	2406127.0	2586254.0	2376625.0	2596402.0	2269810.0	2734143.0	1404860.0	2156624.0	2486725.0	2612719.0	2220034.0	2448441.0	2701024.0	2526459.0	2580629.0	579336.0	2439495.0	1589229.0	2547150.0	2488088.0	1340060.0	2310283.0	2124716.0	1145522.0	792955.0	2762694.0	2467502.0	3063400.0	2166919.0
QinN_2014__HD-10__bin.29	2491581.0	2619545.0	2445441.0	2792374.0	2008385.0	2594467.0	1629305.0	1864889.0	2394787.0	2600077.0	2241978.0	2536005.0	2497701.0	2497425.0	2665864.0	949473.0	2527701.0	1705288.0	2537203.0	2527856.0	1530253.0	2369037.0	1950440.0	1428316.0	947506.0	2439534.0	2583950.0	2166919.0	2895291.0
