	QinJ_2012__T2D-085__bin.44	ZeeviD_2015__PNP_Main_698__bin.21	ZeeviD_2015__PNP_Main_499__bin.29	LiuW_2016__SRR3992966__bin.54	YuJ_2015__SZAXPI017462-33__bin.25	LiJ_2017__nHM512811__bin.32	QinJ_2012__T2D-099__bin.60	WenC_2017__N237__bin.59	LiJ_2017__H2M514911__bin.38	CosteaPI_2017__SID713B072-11-90-0__bin.31	LiuW_2016__SRR3993011__bin.14	QinJ_2012__T2D-024__bin.69	CosteaPI_2017__SID713B032-11-90-0__bin.64	LiJ_2017__H1M513730__bin.22	FerrettiP_2018__CA_C10002MS2016FE_t0M15__bin.75	CosteaPI_2017__SID713B065-11-0-0__bin.29	LiJ_2017__H2M614904__bin.70	BritoIL_2016__WL.15.ST__bin.69	CosteaPI_2017__SID713B007-11-0-0__bin.28	LiuW_2016__SRR3993012__bin.63	ZeeviD_2015__PNP_Main_589__bin.39	LiJ_2014__MH0360__bin.37	LiJ_2014__MH0372__bin.22	LiJ_2014__MH0367__bin.74	BritoIL_2016__M1.35.ST__bin.76	LeChatelierE_2013__MH0040__bin.22	CosteaPI_2017__SID713A055-11-0-0__bin.73	CosteaPI_2017__SID713A014-11-90-0__bin.30	LiJ_2014__MH0309__bin.74	LiJ_2017__H2F514910__bin.5	CosteaPI_2017__SID713A062-11-0-0__bin.42	XieH_2016__YSZC12003_37753__bin.69	XieH_2016__YSZC12003_37652__bin.106	CosteaPI_2017__SID713B033-11-90-0__bin.34	ZeeviD_2015__PNP_Main_714__bin.43	ZeeviD_2015__PNP_Main_635__bin.40	BritoIL_2016__W3.18.ST__bin.24	NielsenHB_2014__MH0040__bin.23	CosteaPI_2017__SID713B055-11-90-0__bin.21	ZeeviD_2015__PNP_Main_317__bin.30	QinJ_2012__T2D-104__bin.69	BritoIL_2016__W2.9.ST__bin.19	QinN_2014__HD-60__bin.3	LiJ_2017__nHM511717__bin.27
LiuW_2016__SRR3993011__bin.14	1931562.0	1984476.0	1915328.0	1711569.0	1780615.0	1612109.0	1555067.0	1846140.0	1860358.0	1734411.0	2249249.0	1727203.0	1854470.0	1853926.0	1834744.0	1921502.0	1917591.0	1746902.0	1756817.0	1699963.0	1837184.0	1809107.0	1817810.0	1675792.0	1817147.0	1972962.0	1809782.0	1477732.0	1154673.0	1883045.0	1850775.0	1791014.0	1277368.0	1742932.0	1903583.0	1564964.0	1549328.0	1709921.0	1599396.0	1901770.0	1512581.0	1496016.0	1457660.0	1784460.0
QinJ_2012__T2D-024__bin.69	2099087.0	2124701.0	1914362.0	1599915.0	1658200.0	1466061.0	1661699.0	1862689.0	1729744.0	1694886.0	1727203.0	2802265.0	1693759.0	1687657.0	1693828.0	1743476.0	1914832.0	1584787.0	1584930.0	1514955.0	1588071.0	1874745.0	1752776.0	1530704.0	1699694.0	2011140.0	1691730.0	1349683.0	1071685.0	1720269.0	1703686.0	1600686.0	1179745.0	1532644.0	1852640.0	1444082.0	1443908.0	1673511.0	1466276.0	1834631.0	1856098.0	1374148.0	1411828.0	1678705.0
CosteaPI_2017__SID713B032-11-90-0__bin.64	1935914.0	1960786.0	1849997.0	1729459.0	1873908.0	1620534.0	1526621.0	1812318.0	1863654.0	1694381.0	1854470.0	1693759.0	2144625.0	1832364.0	1832524.0	1949996.0	1902206.0	1695276.0	1798503.0	1667209.0	1843518.0	1781098.0	1857940.0	1721771.0	1797792.0	1983780.0	1800553.0	1478817.0	1139078.0	1837628.0	1803605.0	1802781.0	1265713.0	1677329.0	1889303.0	1538105.0	1579139.0	1739947.0	1524364.0	1870351.0	1507879.0	1504177.0	1466197.0	1801585.0
LiJ_2017__H1M513730__bin.22	1937106.0	1952686.0	1877591.0	1729610.0	1807211.0	1640749.0	1595228.0	1822120.0	1885746.0	1707205.0	1853926.0	1687657.0	1832364.0	2076080.0	1787747.0	1841047.0	1894326.0	1740259.0	1731224.0	1637156.0	1776663.0	1752378.0	1836773.0	1650429.0	1846082.0	1936263.0	1827585.0	1462557.0	1107764.0	1865374.0	1806849.0	1753716.0	1287647.0	1730515.0	1862605.0	1566051.0	1599922.0	1714333.0	1579716.0	1860290.0	1505882.0	1501204.0	1469451.0	1817541.0
FerrettiP_2018__CA_C10002MS2016FE_t0M15__bin.75	1931143.0	1944927.0	1924846.0	1691377.0	1783307.0	1624860.0	1500039.0	1822365.0	1847356.0	1699754.0	1834744.0	1693828.0	1832524.0	1787747.0	2282191.0	1861818.0	1877117.0	1694687.0	1810169.0	1614753.0	1809060.0	1824410.0	1803474.0	1754431.0	1773306.0	1925104.0	1875283.0	1500801.0	1175773.0	1900484.0	1916887.0	1737091.0	1263317.0	1699153.0	1862204.0	1579787.0	1582376.0	1670822.0	1607165.0	1933308.0	1493298.0	1488894.0	1461171.0	1803197.0
CosteaPI_2017__SID713B065-11-0-0__bin.29	1996237.0	2071893.0	1914966.0	1729831.0	1831972.0	1600978.0	1571972.0	1866118.0	1845202.0	1738182.0	1921502.0	1743476.0	1949996.0	1841047.0	1861818.0	2362035.0	1979474.0	1712232.0	1772611.0	1706661.0	1821646.0	1859976.0	1870455.0	1703703.0	1797230.0	2051981.0	1802274.0	1469186.0	1140871.0	1854944.0	1821521.0	1831075.0	1243845.0	1669559.0	1945419.0	1549841.0	1554237.0	1748058.0	1535195.0	1908950.0	1579936.0	1504013.0	1448523.0	1782147.0
LiJ_2017__H2M614904__bin.70	2062772.0	2374144.0	2094970.0	1782014.0	1892323.0	1642797.0	1683562.0	1968771.0	1903674.0	1886246.0	1917591.0	1914832.0	1902206.0	1894326.0	1877117.0	1979474.0	2674015.0	1798963.0	1779301.0	1760184.0	1816026.0	1930295.0	1917108.0	1721636.0	1929328.0	2094296.0	1851154.0	1545832.0	1227619.0	1882347.0	1905285.0	1817538.0	1315042.0	1761682.0	1990372.0	1624453.0	1603761.0	1792670.0	1639404.0	2023938.0	1637178.0	1616798.0	1515371.0	1856826.0
BritoIL_2016__WL.15.ST__bin.69	1795762.0	1848451.0	1769963.0	1620927.0	1682485.0	1543856.0	1442980.0	1693622.0	1759862.0	1592229.0	1746902.0	1584787.0	1695276.0	1740259.0	1694687.0	1712232.0	1798963.0	1997467.0	1603371.0	1574640.0	1664103.0	1655731.0	1680758.0	1555228.0	1777619.0	1806869.0	1693533.0	1387905.0	1068654.0	1722772.0	1700193.0	1604554.0	1195506.0	1623854.0	1725497.0	1454351.0	1495183.0	1599198.0	1520639.0	1739056.0	1403461.0	1420795.0	1393634.0	1708659.0
CosteaPI_2017__SID713B007-11-0-0__bin.28	1809285.0	1846661.0	1825831.0	1626193.0	1743035.0	1576498.0	1437562.0	1692930.0	1768637.0	1643290.0	1756817.0	1584930.0	1798503.0	1731224.0	1810169.0	1772611.0	1779301.0	1603371.0	2115653.0	1557224.0	1760135.0	1691069.0	1725680.0	1695158.0	1707228.0	1862107.0	1767126.0	1453329.0	1100730.0	1780376.0	1795251.0	1708365.0	1224387.0	1630903.0	1771632.0	1497086.0	1529927.0	1620008.0	1501841.0	1804865.0	1406980.0	1422959.0	1362214.0	1696279.0
LiuW_2016__SRR3993012__bin.63	1718461.0	1778261.0	1682244.0	1574801.0	1608550.0	1467494.0	1353399.0	1633027.0	1668491.0	1560025.0	1699963.0	1514955.0	1667209.0	1637156.0	1614753.0	1706661.0	1760184.0	1574640.0	1557224.0	2430981.0	1607404.0	1610433.0	1610106.0	1503638.0	1620693.0	1722396.0	1602706.0	1357863.0	1052990.0	1670740.0	1622470.0	1551847.0	1172129.0	1565538.0	1677426.0	1403952.0	1399207.0	1522803.0	1414767.0	1645119.0	1315964.0	1396268.0	1318787.0	1629153.0
ZeeviD_2015__PNP_Main_589__bin.39	1835289.0	1875248.0	1822751.0	1698277.0	1777403.0	1615005.0	1449884.0	1715327.0	1791426.0	1648696.0	1837184.0	1588071.0	1843518.0	1776663.0	1809060.0	1821646.0	1816026.0	1664103.0	1760135.0	1607404.0	2066578.0	1743654.0	1779040.0	1709076.0	1754575.0	1896380.0	1793351.0	1453169.0	1091459.0	1813936.0	1796404.0	1753946.0	1246689.0	1692874.0	1813645.0	1548308.0	1557019.0	1668072.0	1533582.0	1827640.0	1418365.0	1458498.0	1421575.0	1754434.0
LiJ_2014__MH0360__bin.37	1975763.0	2121069.0	1998740.0	1653611.0	1713183.0	1566687.0	1555431.0	1902508.0	1805815.0	1678475.0	1809107.0	1874745.0	1781098.0	1752378.0	1824410.0	1859976.0	1930295.0	1655731.0	1691069.0	1610433.0	1743654.0	3148862.0	1802201.0	1666233.0	1761772.0	1958371.0	1762228.0	1416934.0	1111536.0	1822610.0	1782834.0	1707256.0	1237662.0	1633137.0	1900023.0	1599250.0	1540499.0	1657747.0	1540887.0	1953952.0	1619636.0	1438168.0	1470975.0	1726605.0
LiJ_2014__MH0372__bin.22	1954261.0	1989785.0	1886662.0	1722030.0	1812182.0	1591256.0	1573333.0	1827548.0	1837794.0	1741775.0	1817810.0	1752776.0	1857940.0	1836773.0	1803474.0	1870455.0	1917108.0	1680758.0	1725680.0	1610106.0	1779040.0	1802201.0	2186024.0	1709734.0	1768230.0	2091461.0	1780825.0	1447860.0	1107448.0	1797046.0	1779675.0	1765435.0	1273754.0	1661121.0	1888788.0	1521639.0	1561353.0	1809088.0	1539233.0	1862990.0	1569774.0	1474975.0	1455620.0	1769374.0
LiJ_2014__MH0367__bin.74	1739815.0	1765991.0	1748342.0	1583779.0	1651829.0	1526090.0	1394994.0	1636438.0	1695589.0	1564893.0	1675792.0	1530704.0	1721771.0	1650429.0	1754431.0	1703703.0	1721636.0	1555228.0	1695158.0	1503638.0	1709076.0	1666233.0	1709734.0	2013573.0	1640839.0	1752617.0	1706233.0	1413905.0	1089160.0	1749480.0	1724805.0	1600440.0	1192763.0	1560332.0	1712668.0	1464359.0	1503146.0	1571951.0	1468163.0	1760220.0	1391714.0	1365845.0	1343020.0	1667046.0
BritoIL_2016__M1.35.ST__bin.76	1938749.0	1954807.0	1884578.0	1695784.0	1791515.0	1617214.0	1568797.0	1798122.0	1839109.0	1675403.0	1817147.0	1699694.0	1797792.0	1846082.0	1773306.0	1797230.0	1929328.0	1777619.0	1707228.0	1620693.0	1754575.0	1761772.0	1768230.0	1640839.0	2156525.0	1920625.0	1797745.0	1476950.0	1140254.0	1816719.0	1798049.0	1699223.0	1273231.0	1695745.0	1848486.0	1522278.0	1587114.0	1693678.0	1585278.0	1861189.0	1499167.0	1478832.0	1470170.0	1790799.0
LeChatelierE_2013__MH0040__bin.22	2164412.0	2318481.0	2080846.0	1837897.0	1921516.0	1670308.0	1671816.0	2013075.0	1945282.0	1907196.0	1972962.0	2011140.0	1983780.0	1936263.0	1925104.0	2051981.0	2094296.0	1806869.0	1862107.0	1722396.0	1896380.0	1958371.0	2091461.0	1752617.0	1920625.0	2794341.0	1911451.0	1522375.0	1179303.0	1924263.0	1903527.0	1921949.0	1309054.0	1773423.0	2060086.0	1661015.0	1643547.0	1936401.0	1637521.0	2028971.0	1728247.0	1572462.0	1529881.0	1891102.0
CosteaPI_2017__SID713A055-11-0-0__bin.73	1912155.0	1903376.0	1912522.0	1704833.0	1768314.0	1652692.0	1518826.0	1802146.0	1848434.0	1661230.0	1809782.0	1691730.0	1800553.0	1827585.0	1875283.0	1802274.0	1851154.0	1693533.0	1767126.0	1602706.0	1793351.0	1762228.0	1780825.0	1706233.0	1797745.0	1911451.0	2135027.0	1460474.0	1146787.0	1881864.0	1851902.0	1740197.0	1290319.0	1711803.0	1812513.0	1645855.0	1593257.0	1664131.0	1608473.0	1913819.0	1484049.0	1462012.0	1451195.0	1802700.0
CosteaPI_2017__SID713A014-11-90-0__bin.30	1520609.0	1547445.0	1550928.0	1408095.0	1430330.0	1314097.0	1234573.0	1439045.0	1472186.0	1403557.0	1477732.0	1349683.0	1478817.0	1462557.0	1500801.0	1469186.0	1545832.0	1387905.0	1453329.0	1357863.0	1453169.0	1416934.0	1447860.0	1413905.0	1476950.0	1522375.0	1460474.0	1942125.0	1075129.0	1545072.0	1535723.0	1367237.0	1128706.0	1425003.0	1501710.0	1268430.0	1280563.0	1378616.0	1349435.0	1533709.0	1196468.0	1263715.0	1224966.0	1460327.0
LiJ_2014__MH0309__bin.74	1175729.0	1224014.0	1241630.0	1051917.0	1083443.0	972454.0	992294.0	1114225.0	1125889.0	1118334.0	1154673.0	1071685.0	1139078.0	1107764.0	1175773.0	1140871.0	1227619.0	1068654.0	1100730.0	1052990.0	1091459.0	1111536.0	1107448.0	1089160.0	1140254.0	1179303.0	1146787.0	1075129.0	1523933.0	1206600.0	1215087.0	1039781.0	849963.0	1091234.0	1157195.0	946913.0	970290.0	1076892.0	1059838.0	1235556.0	964630.0	970761.0	959045.0	1098752.0
LiJ_2017__H2F514910__bin.5	1941419.0	1947112.0	1954845.0	1756793.0	1777071.0	1664765.0	1542571.0	1845079.0	1866985.0	1714877.0	1883045.0	1720269.0	1837628.0	1865374.0	1900484.0	1854944.0	1882347.0	1722772.0	1780376.0	1670740.0	1813936.0	1822610.0	1797046.0	1749480.0	1816719.0	1924263.0	1881864.0	1545072.0	1206600.0	2171112.0	1925897.0	1740000.0	1312781.0	1767578.0	1891478.0	1641796.0	1603247.0	1710177.0	1642118.0	1938095.0	1493851.0	1511189.0	1493872.0	1841357.0
CosteaPI_2017__SID713A062-11-0-0__bin.42	1906023.0	1965058.0	1963007.0	1693062.0	1747145.0	1613733.0	1502839.0	1812005.0	1820888.0	1718144.0	1850775.0	1703686.0	1803605.0	1806849.0	1916887.0	1821521.0	1905285.0	1700193.0	1795251.0	1622470.0	1796404.0	1782834.0	1779675.0	1724805.0	1798049.0	1903527.0	1851902.0	1535723.0	1215087.0	1925897.0	2258018.0	1704737.0	1271151.0	1724197.0	1873444.0	1616591.0	1608357.0	1671301.0	1658728.0	1944504.0	1484526.0	1471676.0	1474899.0	1782987.0
XieH_2016__YSZC12003_37753__bin.69	1825361.0	1912435.0	1791193.0	1644716.0	1762004.0	1576001.0	1477686.0	1713326.0	1770036.0	1624003.0	1791014.0	1600686.0	1802781.0	1753716.0	1737091.0	1831075.0	1817538.0	1604554.0	1708365.0	1551847.0	1753946.0	1707256.0	1765435.0	1600440.0	1699223.0	1921949.0	1740197.0	1367237.0	1039781.0	1740000.0	1704737.0	2100411.0	1216668.0	1625832.0	1774965.0	1505289.0	1502705.0	1650195.0	1482403.0	1783859.0	1436692.0	1445864.0	1367782.0	1699702.0
XieH_2016__YSZC12003_37652__bin.106	1311916.0	1301114.0	1330789.0	1236768.0	1239816.0	1171595.0	1070371.0	1252600.0	1297101.0	1181661.0	1277368.0	1179745.0	1265713.0	1287647.0	1263317.0	1243845.0	1315042.0	1195506.0	1224387.0	1172129.0	1246689.0	1237662.0	1273754.0	1192763.0	1273231.0	1309054.0	1290319.0	1128706.0	849963.0	1312781.0	1271151.0	1216668.0	1504493.0	1249246.0	1278435.0	1121029.0	1109642.0	1192533.0	1157636.0	1313255.0	1050669.0	1092147.0	1081740.0	1283372.0
CosteaPI_2017__SID713B033-11-90-0__bin.34	1754518.0	1780020.0	1767493.0	1639927.0	1655031.0	1559655.0	1388491.0	1666152.0	1738335.0	1570860.0	1742932.0	1532644.0	1677329.0	1730515.0	1699153.0	1669559.0	1761682.0	1623854.0	1630903.0	1565538.0	1692874.0	1633137.0	1661121.0	1560332.0	1695745.0	1773423.0	1711803.0	1425003.0	1091234.0	1767578.0	1724197.0	1625832.0	1249246.0	1947862.0	1706638.0	1500228.0	1495492.0	1574009.0	1538808.0	1755676.0	1342867.0	1451509.0	1388761.0	1716392.0
ZeeviD_2015__PNP_Main_714__bin.43	2038843.0	2092945.0	1971565.0	1744479.0	1831379.0	1613877.0	1620521.0	1914287.0	1877624.0	1798811.0	1903583.0	1852640.0	1889303.0	1862605.0	1862204.0	1945419.0	1990372.0	1725497.0	1771632.0	1677426.0	1813645.0	1900023.0	1888788.0	1712668.0	1848486.0	2060086.0	1812513.0	1501710.0	1157195.0	1891478.0	1873444.0	1774965.0	1278435.0	1706638.0	2353760.0	1548749.0	1595184.0	1797942.0	1573288.0	1935281.0	1642878.0	1511209.0	1502569.0	1839803.0
ZeeviD_2015__PNP_Main_635__bin.40	1651219.0	1689978.0	1713782.0	1492019.0	1516846.0	1450756.0	1257873.0	1550544.0	1598036.0	1441546.0	1564964.0	1444082.0	1538105.0	1566051.0	1579787.0	1549841.0	1624453.0	1454351.0	1497086.0	1403952.0	1548308.0	1599250.0	1521639.0	1464359.0	1522278.0	1661015.0	1645855.0	1268430.0	946913.0	1641796.0	1616591.0	1505289.0	1121029.0	1500228.0	1548749.0	1990496.0	1349487.0	1449427.0	1384356.0	1762299.0	1253398.0	1283037.0	1196808.0	1556546.0
BritoIL_2016__W3.18.ST__bin.24	1656065.0	1659288.0	1607000.0	1500520.0	1572092.0	1477149.0	1291368.0	1561100.0	1639087.0	1443542.0	1549328.0	1443908.0	1579139.0	1599922.0	1582376.0	1554237.0	1603761.0	1495183.0	1529927.0	1399207.0	1557019.0	1540499.0	1561353.0	1503146.0	1587114.0	1643547.0	1593257.0	1280563.0	970290.0	1603247.0	1608357.0	1502705.0	1109642.0	1495492.0	1595184.0	1349487.0	1809669.0	1460805.0	1345413.0	1602679.0	1292442.0	1288617.0	1360492.0	1634118.0
NielsenHB_2014__MH0040__bin.23	1839688.0	1872393.0	1773331.0	1634099.0	1705314.0	1495038.0	1489212.0	1702411.0	1732675.0	1623780.0	1709921.0	1673511.0	1739947.0	1714333.0	1670822.0	1748058.0	1792670.0	1599198.0	1620008.0	1522803.0	1668072.0	1657747.0	1809088.0	1571951.0	1693678.0	1936401.0	1664131.0	1378616.0	1076892.0	1710177.0	1671301.0	1650195.0	1192533.0	1574009.0	1797942.0	1449427.0	1460805.0	1991425.0	1464882.0	1751153.0	1507534.0	1393808.0	1403650.0	1692572.0
CosteaPI_2017__SID713B055-11-90-0__bin.21	1635528.0	1664927.0	1669886.0	1481976.0	1493058.0	1432305.0	1322955.0	1557307.0	1594067.0	1462010.0	1599396.0	1466276.0	1524364.0	1579716.0	1607165.0	1535195.0	1639404.0	1520639.0	1501841.0	1414767.0	1533582.0	1540887.0	1539233.0	1468163.0	1585278.0	1637521.0	1608473.0	1349435.0	1059838.0	1642118.0	1658728.0	1482403.0	1157636.0	1538808.0	1573288.0	1384356.0	1345413.0	1464882.0	1982266.0	1679518.0	1290306.0	1318867.0	1284999.0	1560759.0
ZeeviD_2015__PNP_Main_317__bin.30	2038528.0	2115702.0	2182899.0	1752944.0	1817446.0	1642795.0	1608616.0	1935281.0	1890371.0	1804140.0	1901770.0	1834631.0	1870351.0	1860290.0	1933308.0	1908950.0	2023938.0	1739056.0	1804865.0	1645119.0	1827640.0	1953952.0	1862990.0	1760220.0	1861189.0	2028971.0	1913819.0	1533709.0	1235556.0	1938095.0	1944504.0	1783859.0	1313255.0	1755676.0	1935281.0	1762299.0	1602679.0	1751153.0	1679518.0	2568134.0	1597519.0	1495213.0	1528997.0	1822579.0
QinJ_2012__T2D-104__bin.69	1876637.0	1757648.0	1645584.0	1411911.0	1472523.0	1308621.0	1533894.0	1618896.0	1557493.0	1491756.0	1512581.0	1856098.0	1507879.0	1505882.0	1493298.0	1579936.0	1637178.0	1403461.0	1406980.0	1315964.0	1418365.0	1619636.0	1569774.0	1391714.0	1499167.0	1728247.0	1484049.0	1196468.0	964630.0	1493851.0	1484526.0	1436692.0	1050669.0	1342867.0	1642878.0	1253398.0	1292442.0	1507534.0	1290306.0	1597519.0	2066606.0	1208550.0	1256826.0	1475791.0
BritoIL_2016__W2.9.ST__bin.19	1548648.0	1638851.0	1552213.0	1420550.0	1481422.0	1333749.0	1256749.0	1469117.0	1519814.0	1415774.0	1496016.0	1374148.0	1504177.0	1501204.0	1488894.0	1504013.0	1616798.0	1420795.0	1422959.0	1396268.0	1458498.0	1438168.0	1474975.0	1365845.0	1478832.0	1572462.0	1462012.0	1263715.0	970761.0	1511189.0	1471676.0	1445864.0	1092147.0	1451509.0	1511209.0	1283037.0	1288617.0	1393808.0	1318867.0	1495213.0	1208550.0	1918673.0	1197542.0	1479098.0
