	QinJ_2012__T2D-085__bin.44	ZeeviD_2015__PNP_Main_698__bin.21	ZeeviD_2015__PNP_Main_499__bin.29	LiuW_2016__SRR3992966__bin.54	YuJ_2015__SZAXPI017462-33__bin.25	LiJ_2017__nHM512811__bin.32	QinJ_2012__T2D-099__bin.60	WenC_2017__N237__bin.59	LiJ_2017__H2M514911__bin.38	CosteaPI_2017__SID713B072-11-90-0__bin.31	LiuW_2016__SRR3993011__bin.14	QinJ_2012__T2D-024__bin.69	CosteaPI_2017__SID713B032-11-90-0__bin.64	LiJ_2017__H1M513730__bin.22	FerrettiP_2018__CA_C10002MS2016FE_t0M15__bin.75	CosteaPI_2017__SID713B065-11-0-0__bin.29	LiJ_2017__H2M614904__bin.70	BritoIL_2016__WL.15.ST__bin.69	CosteaPI_2017__SID713B007-11-0-0__bin.28	LiuW_2016__SRR3993012__bin.63	ZeeviD_2015__PNP_Main_589__bin.39	LiJ_2014__MH0360__bin.37	LiJ_2014__MH0372__bin.22	LiJ_2014__MH0367__bin.74	BritoIL_2016__M1.35.ST__bin.76	LeChatelierE_2013__MH0040__bin.22	CosteaPI_2017__SID713A055-11-0-0__bin.73	CosteaPI_2017__SID713A014-11-90-0__bin.30	LiJ_2014__MH0309__bin.74	LiJ_2017__H2F514910__bin.5	CosteaPI_2017__SID713A062-11-0-0__bin.42	XieH_2016__YSZC12003_37753__bin.69	XieH_2016__YSZC12003_37652__bin.106	CosteaPI_2017__SID713B033-11-90-0__bin.34	ZeeviD_2015__PNP_Main_714__bin.43	ZeeviD_2015__PNP_Main_635__bin.40	BritoIL_2016__W3.18.ST__bin.24	NielsenHB_2014__MH0040__bin.23	CosteaPI_2017__SID713B055-11-90-0__bin.21	ZeeviD_2015__PNP_Main_317__bin.30	QinJ_2012__T2D-104__bin.69	BritoIL_2016__W2.9.ST__bin.19	QinN_2014__HD-60__bin.3	LiJ_2017__nHM511717__bin.27
CosteaPI_2017__SID713A055-11-0-0__bin.73	33767.0	33275.0	30914.0	25485.0	28540.0	26203.0	26151.0	32374.0	30190.0	25994.0	28284.0	32981.0	27620.0	28833.0	29037.0	29556.0	32608.0	27782.0	27281.0	25103.0	26806.0	41754.0	27805.0	25964.0	29948.0	30461.0	0.0	22886.0	19183.0	28471.0	28507.0	28448.0	18800.0	24855.0	27952.0	25176.0	25291.0	25092.0	24702.0	30453.0	27380.0	21648.0	22650.0	30473.0
CosteaPI_2017__SID713A014-11-90-0__bin.30	26757.0	26741.0	24947.0	22880.0	24001.0	22816.0	20656.0	25834.0	24721.0	21244.0	23053.0	23388.0	22927.0	24214.0	23607.0	22313.0	26414.0	23220.0	22694.0	22051.0	22819.0	35219.0	22887.0	22662.0	25218.0	24671.0	22886.0	0.0	17971.0	24993.0	24220.0	22121.0	17678.0	22559.0	23503.0	20668.0	22000.0	21542.0	21089.0	24560.0	21094.0	19450.0	20536.0	26209.0
LiJ_2014__MH0309__bin.74	21454.0	22582.0	21972.0	17470.0	19332.0	16749.0	18228.0	21336.0	20111.0	19731.0	18840.0	20347.0	17813.0	19717.0	18729.0	18716.0	24166.0	19246.0	18184.0	17959.0	17125.0	28814.0	17642.0	17795.0	20512.0	19026.0	19183.0	17971.0	0.0	19711.0	19106.0	17635.0	13804.0	17429.0	19157.0	15826.0	16930.0	18272.0	17024.0	21094.0	18461.0	15739.0	17023.0	19819.0
LiJ_2017__H2F514910__bin.5	30822.0	33457.0	30579.0	26334.0	28154.0	25725.0	25084.0	31167.0	29730.0	27702.0	28016.0	29380.0	26393.0	30060.0	12284.0	26855.0	30585.0	27478.0	26752.0	25196.0	26601.0	44506.0	27244.0	25853.0	29454.0	30364.0	28471.0	24993.0	19711.0	0.0	23079.0	26463.0	19264.0	23591.0	28939.0	24796.0	26026.0	26011.0	20892.0	28919.0	24344.0	22468.0	22986.0	30162.0
CosteaPI_2017__SID713A062-11-0-0__bin.42	34364.0	37399.0	32537.0	24790.0	28148.0	24800.0	24548.0	33641.0	29704.0	28667.0	28389.0	33438.0	26175.0	28615.0	22807.0	27742.0	35480.0	28347.0	27041.0	24355.0	26756.0	46305.0	27392.0	24487.0	30030.0	31862.0	28507.0	24220.0	19106.0	23079.0	0.0	26457.0	18029.0	17516.0	28383.0	24230.0	26531.0	25028.0	11678.0	29375.0	27467.0	22296.0	23330.0	30015.0
XieH_2016__YSZC12003_37753__bin.69	33062.0	35098.0	29685.0	24691.0	28638.0	25573.0	25138.0	30730.0	29076.0	26831.0	26647.0	29796.0	27113.0	28907.0	26018.0	28357.0	32161.0	26333.0	27636.0	24699.0	25898.0	42452.0	26512.0	22939.0	27923.0	31338.0	28448.0	22121.0	17635.0	26463.0	26457.0	0.0	17726.0	23730.0	26832.0	24011.0	25321.0	23538.0	22408.0	27378.0	26299.0	21270.0	22023.0	28872.0
XieH_2016__YSZC12003_37652__bin.106	21353.0	20635.0	18065.0	18071.0	19797.0	18149.0	17008.0	20303.0	20374.0	17502.0	18590.0	19734.0	18114.0	19894.0	18142.0	17654.0	21592.0	19095.0	18229.0	17790.0	18383.0	28065.0	18161.0	16697.0	20516.0	18776.0	18800.0	17678.0	13804.0	19264.0	18029.0	17726.0	0.0	18040.0	18534.0	15927.0	17748.0	16644.0	16769.0	18186.0	17594.0	16428.0	16889.0	20964.0
CosteaPI_2017__SID713B033-11-90-0__bin.34	28304.0	28325.0	25346.0	23111.0	26114.0	24545.0	21859.0	26889.0	27620.0	23037.0	24758.0	25125.0	22977.0	26984.0	21738.0	23065.0	28275.0	26735.0	23855.0	23505.0	18848.0	37324.0	23813.0	21458.0	28294.0	25780.0	24855.0	22559.0	17429.0	23591.0	17516.0	23730.0	18040.0	0.0	23992.0	21263.0	23564.0	21938.0	14033.0	24475.0	22316.0	20856.0	21496.0	28436.0
ZeeviD_2015__PNP_Main_714__bin.43	35998.0	39418.0	32889.0	25878.0	30509.0	25679.0	27232.0	34977.0	30157.0	29178.0	27759.0	35620.0	26276.0	30039.0	27665.0	27985.0	36273.0	28322.0	27849.0	25826.0	25894.0	49521.0	28095.0	24987.0	31591.0	32109.0	27952.0	23503.0	19157.0	28939.0	28383.0	26832.0	18534.0	23992.0	0.0	24832.0	25778.0	26145.0	23372.0	27282.0	29620.0	22347.0	24298.0	31352.0
ZeeviD_2015__PNP_Main_635__bin.40	29278.0	32339.0	27374.0	22240.0	25335.0	22708.0	21723.0	27821.0	25936.0	24481.0	24062.0	28112.0	22819.0	24882.0	24067.0	23568.0	30470.0	24007.0	24304.0	22926.0	23214.0	39934.0	23647.0	22608.0	26015.0	28068.0	25176.0	20668.0	15826.0	24796.0	24230.0	24011.0	15927.0	21263.0	24832.0	0.0	21723.0	22373.0	21475.0	26466.0	22896.0	18997.0	18296.0	26667.0
BritoIL_2016__W3.18.ST__bin.24	28040.0	28255.0	27292.0	23891.0	26447.0	23851.0	22008.0	26997.0	27033.0	23653.0	24766.0	24980.0	25580.0	25848.0	26285.0	25231.0	27214.0	24136.0	25274.0	23451.0	24137.0	37656.0	25655.0	24230.0	26358.0	27163.0	25291.0	22000.0	16930.0	26026.0	26531.0	25321.0	17748.0	23564.0	25778.0	21723.0	0.0	23598.0	22083.0	25722.0	21924.0	13800.0	21822.0	28548.0
NielsenHB_2014__MH0040__bin.23	31094.0	32000.0	27857.0	23332.0	27151.0	23198.0	24990.0	29292.0	28172.0	26143.0	24955.0	29557.0	24601.0	26847.0	24432.0	25730.0	30616.0	26489.0	24155.0	23062.0	23905.0	39556.0	1690.0	21392.0	28125.0	1386.0	25092.0	21542.0	18272.0	26011.0	25028.0	23538.0	16644.0	21938.0	26145.0	22373.0	23598.0	0.0	21818.0	25705.0	26255.0	20533.0	22462.0	28174.0
CosteaPI_2017__SID713B055-11-90-0__bin.21	27897.0	28501.0	25116.0	22491.0	23595.0	23054.0	21871.0	26380.0	26068.0	23702.0	24565.0	25747.0	21655.0	25746.0	19062.0	22514.0	27866.0	25661.0	22208.0	22395.0	23138.0	36056.0	22949.0	20789.0	26825.0	25212.0	24702.0	21089.0	17024.0	20892.0	11678.0	22408.0	16769.0	14033.0	23372.0	21475.0	22083.0	21818.0	0.0	24543.0	22452.0	19823.0	20835.0	26872.0
ZeeviD_2015__PNP_Main_317__bin.30	37191.0	42863.0	36204.0	26532.0	31286.0	25572.0	27324.0	38024.0	31143.0	33490.0	28980.0	38169.0	28487.0	29621.0	28497.0	29779.0	41088.0	28737.0	28743.0	26455.0	25914.0	50789.0	28368.0	25874.0	31267.0	32576.0	30453.0	24560.0	21094.0	28919.0	29375.0	27378.0	18186.0	24475.0	27282.0	26466.0	25722.0	25705.0	24543.0	0.0	29144.0	22199.0	24152.0	31268.0
QinJ_2012__T2D-104__bin.69	1887.0	34930.0	33706.0	23630.0	22670.0	20747.0	26411.0	30635.0	25326.0	28583.0	27466.0	12285.0	26463.0	23089.0	27002.0	30071.0	27484.0	19902.0	25311.0	24871.0	24050.0	47569.0	28081.0	24128.0	21678.0	34418.0	27380.0	21094.0	18461.0	24344.0	27467.0	26299.0	17594.0	22316.0	29620.0	22896.0	21924.0	26255.0	22452.0	29144.0	0.0	18948.0	20277.0	23648.0
BritoIL_2016__W2.9.ST__bin.19	23208.0	15242.0	24149.0	20899.0	21356.0	18507.0	19113.0	22070.0	21406.0	20978.0	21911.0	21343.0	22445.0	21382.0	22608.0	22514.0	19794.0	19979.0	20663.0	21041.0	21941.0	32646.0	21272.0	20056.0	21725.0	23782.0	21648.0	19450.0	15739.0	22468.0	22296.0	21270.0	16428.0	20856.0	22347.0	18997.0	13800.0	20533.0	19823.0	22199.0	18948.0	0.0	16352.0	21825.0
QinN_2014__HD-60__bin.3	24135.0	24261.0	25077.0	22077.0	21099.0	9637.0	19237.0	11217.0	9532.0	21648.0	23561.0	22464.0	22843.0	20650.0	23079.0	23366.0	22856.0	21523.0	21456.0	22356.0	22174.0	36361.0	23402.0	21788.0	22040.0	25258.0	22650.0	20536.0	17023.0	22986.0	23330.0	22023.0	16889.0	21496.0	24298.0	18296.0	21822.0	22462.0	20835.0	24152.0	20277.0	16352.0	0.0	22560.0
LiJ_2017__nHM511717__bin.27	30099.0	31064.0	32109.0	29199.0	27992.0	25682.0	24287.0	29674.0	29316.0	28622.0	30239.0	27517.0	30917.0	29069.0	30328.0	30264.0	29783.0	26892.0	29513.0	27804.0	29795.0	42737.0	29439.0	28697.0	28273.0	31736.0	30473.0	26209.0	19819.0	30162.0	30015.0	28872.0	20964.0	28436.0	31352.0	26667.0	28548.0	28174.0	26872.0	31268.0	23648.0	21825.0	22560.0	0.0
