	WenC_2017__RA017__bin.25	WenC_2017__RA007__bin.39	BritoIL_2016__WL.8.ST__bin.39	WenC_2017__N035__bin.74	ChengpingW_2017__AS18raw__bin.2	QinJ_2012__T2D-003__bin.38	ChengpingW_2017__AS101raw__bin.22	WenC_2017__RA047__bin.66	BritoIL_2016__W3.21.ST__bin.63	CosteaPI_2017__SID713A029-11-0-0__bin.63	BritoIL_2016__W2.53.ST__bin.27	HeQ_2017__SZAXPI029588-107__bin.7	QinJ_2012__CON-010__bin.9	QinJ_2012__CON-077__bin.4	QinN_2014__HD-30__bin.8	BritoIL_2016__WL.2.ST__bin.81	BritoIL_2016__W1.27.ST__bin.48	BritoIL_2016__WL.30.ST__bin.45	Bengtsson-PalmeJ_2015__TRAVELRES58__bin.1	BritoIL_2016__WL.13.ST__bin.14	BritoIL_2016__WL.36.ST__bin.40	QinJ_2012__CON-029__bin.31	BritoIL_2016__M2.33.ST__bin.49	HeQ_2017__SZAXPI029593-133__bin.43	QinJ_2012__CON-017__bin.41	QinN_2014__HD-77__bin.19
BritoIL_2016__W2.53.ST__bin.27	1621915.0	1109010.0	1463507.0	1244349.0	1165463.0	1430557.0	1637854.0	1087565.0	1694779.0	1504946.0	2018738.0	1543621.0	1229285.0	1734938.0	1383969.0	1894124.0	1853764.0	1538175.0	1221574.0	1110224.0	790214.0	1676811.0	1295748.0	1569043.0	878539.0	1703697.0
HeQ_2017__SZAXPI029588-107__bin.7	1417507.0	903652.0	1145901.0	978133.0	923059.0	1180081.0	1340992.0	887976.0	1285134.0	1422738.0	1543621.0	1775230.0	1239850.0	1468061.0	1144179.0	1509054.0	1471931.0	1513561.0	955074.0	876290.0	790602.0	1513870.0	1021934.0	1304442.0	630826.0	1406434.0
QinJ_2012__CON-010__bin.9	1132706.0	677517.0	853853.0	672034.0	666931.0	880002.0	1043500.0	666461.0	978752.0	1225186.0	1229285.0	1239850.0	1321874.0	1166963.0	868725.0	1204278.0	1174901.0	1236127.0	677818.0	620675.0	776874.0	1208101.0	754490.0	1017191.0	440115.0	1106979.0
QinJ_2012__CON-077__bin.4	2290491.0	1692111.0	2051932.0	1716253.0	1862446.0	2103825.0	2307552.0	1714822.0	1552176.0	1440167.0	1734938.0	1468061.0	1166963.0	2652289.0	2047556.0	1923830.0	1902638.0	1436027.0	1848840.0	1690385.0	734658.0	1667192.0	1899546.0	2051357.0	1555033.0	2384182.0
QinN_2014__HD-30__bin.8	1941097.0	1492802.0	1800930.0	1510111.0	1603425.0	1817418.0	2014718.0	1519503.0	1319326.0	1129799.0	1383969.0	1144179.0	868725.0	2047556.0	2247003.0	1583245.0	1574623.0	1100587.0	1659264.0	1540025.0	502783.0	1301174.0	1682264.0	1761758.0	1429550.0	1996136.0
BritoIL_2016__WL.2.ST__bin.81	1770077.0	1275218.0	1647304.0	1442475.0	1346616.0	1613996.0	1812180.0	1265829.0	1675750.0	1489486.0	1894124.0	1509054.0	1204278.0	1923830.0	1583245.0	2259041.0	2031771.0	1515201.0	1424830.0	1275479.0	764927.0	1659319.0	1495711.0	1759621.0	1069620.0	1879272.0
BritoIL_2016__W1.27.ST__bin.48	1774749.0	1264112.0	1655379.0	1452044.0	1336745.0	1606763.0	1788996.0	1254842.0	1619653.0	1451812.0	1853764.0	1471931.0	1174901.0	1902638.0	1574623.0	2031771.0	2157370.0	1477352.0	1417689.0	1294167.0	742612.0	1626575.0	1484481.0	1754029.0	1076216.0	1858584.0
BritoIL_2016__WL.30.ST__bin.45	1391989.0	863021.0	1111523.0	941167.0	898530.0	1129940.0	1314840.0	846420.0	1273343.0	1364478.0	1538175.0	1513561.0	1236127.0	1436027.0	1100587.0	1515201.0	1477352.0	1651838.0	956477.0	834622.0	794244.0	1454667.0	988857.0	1263222.0	605280.0	1399624.0
Bengtsson-PalmeJ_2015__TRAVELRES58__bin.1	1718206.0	1309978.0	1696134.0	1411063.0	1462687.0	1672250.0	1807940.0	1383812.0	1184850.0	929698.0	1221574.0	955074.0	677818.0	1848840.0	1659264.0	1424830.0	1417689.0	956477.0	2009743.0	1432160.0	350306.0	1115633.0	1593500.0	1592680.0	1330806.0	1805990.0
BritoIL_2016__WL.13.ST__bin.14	1598627.0	1283384.0	1542727.0	1290216.0	1336030.0	1524583.0	1641667.0	1291966.0	1082801.0	860638.0	1110224.0	876290.0	620675.0	1690385.0	1540025.0	1275479.0	1294167.0	834622.0	1432160.0	2097352.0	334691.0	994814.0	1483234.0	1436865.0	1286661.0	1666391.0
BritoIL_2016__WL.36.ST__bin.40	719099.0	418830.0	481103.0	269476.0	367318.0	513588.0	629158.0	380811.0	533957.0	776324.0	790214.0	790602.0	776874.0	734658.0	502783.0	764927.0	742612.0	794244.0	350306.0	334691.0	863946.0	767148.0	414216.0	614731.0	215842.0	693039.0
QinJ_2012__CON-029__bin.31	1547153.0	1029720.0	1310977.0	1166201.0	1089156.0	1351583.0	1533845.0	1038090.0	1429451.0	1474272.0	1676811.0	1513870.0	1208101.0	1667192.0	1301174.0	1659319.0	1626575.0	1454667.0	1115633.0	994814.0	767148.0	1945738.0	1166011.0	1472296.0	801676.0	1593987.0
BritoIL_2016__M2.33.ST__bin.49	1762631.0	1370451.0	1723642.0	1432136.0	1496169.0	1708251.0	1832442.0	1396285.0	1235050.0	1020996.0	1295748.0	1021934.0	754490.0	1899546.0	1682264.0	1495711.0	1484481.0	988857.0	1593500.0	1483234.0	414216.0	1166011.0	2334164.0	1626282.0	1345707.0	1859171.0
HeQ_2017__SZAXPI029593-133__bin.43	1916549.0	1473160.0	1781569.0	1587420.0	1537262.0	1775381.0	1963042.0	1466145.0	1454376.0	1302060.0	1569043.0	1304442.0	1017191.0	2051357.0	1761758.0	1759621.0	1754029.0	1263222.0	1592680.0	1436865.0	614731.0	1472296.0	1626282.0	2206913.0	1306172.0	1987782.0
QinJ_2012__CON-017__bin.41	1444894.0	1206818.0	1405845.0	1218547.0	1316951.0	1450999.0	1499071.0	1247055.0	874709.0	668410.0	878539.0	630826.0	440115.0	1555033.0	1429550.0	1069620.0	1076216.0	605280.0	1330806.0	1286661.0	215842.0	801676.0	1345707.0	1306172.0	1865120.0	1537809.0
QinN_2014__HD-77__bin.19	2217074.0	1691952.0	2008209.0	1690702.0	1835231.0	2065084.0	2264693.0	1701095.0	1523642.0	1385532.0	1703697.0	1406434.0	1106979.0	2384182.0	1996136.0	1879272.0	1858584.0	1399624.0	1805990.0	1666391.0	693039.0	1593987.0	1859171.0	1987782.0	1537809.0	2594247.0
