	ZellerG_2014__CCMD72895164ST-21-0__bin.5	RampelliS_2015__H14__bin.32	LeChatelierE_2013__MH0189__bin.65	NielsenHB_2014__MH0096__bin.53	CosteaPI_2017__SID713A056-11-90-0__bin.38	XieH_2016__YSZC12003_37315__bin.45	LeChatelierE_2013__MH0096__bin.48	BritoIL_2016__M1.27.ST__bin.20	LiuW_2016__SRR3992998__bin.96	BritoIL_2016__M1.29.ST__bin.46	LiuW_2016__SRR3993048__bin.88	XieH_2016__YSZC12003_36244__bin.60	RampelliS_2015__H17__bin.38	ZeeviD_2015__PNP_Validation_57__bin.29	RampelliS_2015__H21__bin.15	BritoIL_2016__W2.35.ST__bin.80	BritoIL_2016__M2.38.ST__bin.58	XieH_2016__YSZC12003_35520__bin.11	LiuW_2016__SRR3993043__bin.1	BritoIL_2016__M2.39.ST__bin.80	VogtmannE_2016__MMRS65742083ST-27-0-0__bin.63	CosteaPI_2017__SID713A084-11-90-0__bin.49	LiuW_2016__SRR3992961__bin.125	CosteaPI_2017__SID713A056-11-0-0__bin.33	CosteaPI_2017__SID713A087-11-0-0__bin.64	CosteaPI_2017__SID713A084-11-0-0__bin.5	LiuW_2016__SRR3992980__bin.94	LiuW_2016__SRR3992981__bin.61
LiuW_2016__SRR3993048__bin.88	1214153.0	1147011.0	1153693.0	907893.0	1240844.0	1278903.0	1037946.0	1257226.0	1231069.0	1266946.0	1321007.0	1220235.0	1250151.0	1255372.0	1125381.0	1264324.0	973701.0	1186544.0	782686.0	1244772.0	1203556.0	1273676.0	1252578.0	905737.0	1245034.0	1276966.0	1125541.0	1262696.0
XieH_2016__YSZC12003_36244__bin.60	1402905.0	1309930.0	1407810.0	1109710.0	1496632.0	1564680.0	1257990.0	1528319.0	1364601.0	1542082.0	1220235.0	1751332.0	1487840.0	1520354.0	1276884.0	1534792.0	1112239.0	1474216.0	837288.0	1517779.0	1485410.0	1508876.0	1405273.0	1058502.0	1496924.0	1509861.0	1208611.0	1452678.0
RampelliS_2015__H17__bin.38	1423518.0	1365489.0	1354331.0	1071212.0	1496538.0	1544672.0	1216005.0	1543308.0	1390792.0	1557161.0	1250151.0	1487840.0	1710726.0	1510094.0	1330743.0	1563112.0	1142806.0	1406242.0	861052.0	1522029.0	1433377.0	1524059.0	1439514.0	1077784.0	1513506.0	1523639.0	1250300.0	1485354.0
ZeeviD_2015__PNP_Validation_57__bin.29	1434291.0	1331743.0	1360264.0	1089817.0	1552865.0	1615690.0	1226268.0	1567231.0	1400048.0	1579610.0	1255372.0	1520354.0	1510094.0	1719569.0	1298042.0	1592367.0	1151163.0	1419092.0	861306.0	1579258.0	1451786.0	1569572.0	1451160.0	1090821.0	1562326.0	1566716.0	1242657.0	1500240.0
RampelliS_2015__H21__bin.15	1233195.0	1253839.0	1190592.0	921168.0	1291980.0	1327214.0	1055697.0	1341219.0	1230086.0	1344282.0	1125381.0	1276884.0	1330743.0	1298042.0	1408613.0	1347628.0	1027158.0	1221155.0	813712.0	1298482.0	1251518.0	1287649.0	1250858.0	942532.0	1301763.0	1286928.0	1130852.0	1267326.0
BritoIL_2016__W2.35.ST__bin.80	1463084.0	1384384.0	1382110.0	1106006.0	1558450.0	1645030.0	1243804.0	1633111.0	1420589.0	1657081.0	1264324.0	1534792.0	1563112.0	1592367.0	1347628.0	1837444.0	1177334.0	1445017.0	872841.0	1623884.0	1473958.0	1572979.0	1460674.0	1099018.0	1604372.0	1572809.0	1255546.0	1521619.0
BritoIL_2016__M2.38.ST__bin.58	1085848.0	1050167.0	1041874.0	825384.0	1129180.0	1174530.0	931098.0	1160580.0	1077046.0	1160587.0	973701.0	1112239.0	1142806.0	1151163.0	1027158.0	1177334.0	1235465.0	1066538.0	679158.0	1184066.0	1090042.0	1142839.0	1088218.0	831861.0	1143573.0	1140205.0	968221.0	1110871.0
XieH_2016__YSZC12003_35520__bin.11	1351107.0	1252898.0	1403361.0	1079384.0	1416603.0	1457006.0	1223836.0	1427863.0	1335559.0	1441896.0	1186544.0	1474216.0	1406242.0	1419092.0	1221155.0	1445017.0	1066538.0	1629657.0	813004.0	1419095.0	1421078.0	1431093.0	1358711.0	1000495.0	1410428.0	1432083.0	1167212.0	1402460.0
LiuW_2016__SRR3993043__bin.1	810251.0	828336.0	795498.0	598126.0	848172.0	871242.0	702934.0	868033.0	839749.0	869507.0	782686.0	837288.0	861052.0	861306.0	813712.0	872841.0	679158.0	813004.0	888793.0	849477.0	828725.0	850413.0	833145.0	625030.0	853817.0	852296.0	791021.0	844653.0
BritoIL_2016__M2.39.ST__bin.80	1434950.0	1338398.0	1355076.0	1087044.0	1555943.0	1626780.0	1223183.0	1584090.0	1391316.0	1609147.0	1244772.0	1517779.0	1522029.0	1579258.0	1298482.0	1623884.0	1184066.0	1419095.0	849477.0	1754151.0	1449973.0	1583341.0	1429887.0	1099522.0	1569931.0	1577195.0	1230990.0	1528698.0
VogtmannE_2016__MMRS65742083ST-27-0-0__bin.63	1364773.0	1287134.0	1355159.0	1064267.0	1442173.0	1479552.0	1203758.0	1457907.0	1348443.0	1466092.0	1203556.0	1485410.0	1433377.0	1451786.0	1251518.0	1473958.0	1090042.0	1421078.0	828725.0	1449973.0	1605803.0	1434939.0	1358840.0	1020829.0	1428382.0	1435143.0	1185127.0	1395892.0
CosteaPI_2017__SID713A084-11-90-0__bin.49	1468179.0	1318206.0	1369371.0	1091045.0	1527197.0	1615995.0	1229934.0	1545710.0	1431404.0	1584257.0	1273676.0	1508876.0	1524059.0	1569572.0	1287649.0	1572979.0	1142839.0	1431093.0	850413.0	1583341.0	1434939.0	1761347.0	1468248.0	1066928.0	1527819.0	1740049.0	1264828.0	1568105.0
LiuW_2016__SRR3992961__bin.125	1387745.0	1277519.0	1310244.0	1047046.0	1424627.0	1466350.0	1183610.0	1440251.0	1380413.0	1456727.0	1252578.0	1405273.0	1439514.0	1451160.0	1250858.0	1460674.0	1088218.0	1358711.0	833145.0	1429887.0	1358840.0	1468248.0	1556909.0	1034105.0	1424652.0	1473560.0	1264839.0	1450838.0
CosteaPI_2017__SID713A056-11-0-0__bin.33	1019097.0	967647.0	974833.0	808346.0	1107521.0	1108224.0	903842.0	1095222.0	999970.0	1100227.0	905737.0	1058502.0	1077784.0	1090821.0	942532.0	1099018.0	831861.0	1000495.0	625030.0	1099522.0	1020829.0	1066928.0	1034105.0	1143483.0	1087959.0	1064973.0	914683.0	1056044.0
CosteaPI_2017__SID713A087-11-0-0__bin.64	1429029.0	1341425.0	1360655.0	1068100.0	1540344.0	1585885.0	1205260.0	1580174.0	1389047.0	1590683.0	1245034.0	1496924.0	1513506.0	1562326.0	1301763.0	1604372.0	1143573.0	1410428.0	853817.0	1569931.0	1428382.0	1527819.0	1424652.0	1087959.0	1712691.0	1528039.0	1230550.0	1488733.0
CosteaPI_2017__SID713A084-11-0-0__bin.5	1465641.0	1318366.0	1371591.0	1091567.0	1528125.0	1612709.0	1230312.0	1547222.0	1431633.0	1588076.0	1276966.0	1509861.0	1523639.0	1566716.0	1286928.0	1572809.0	1140205.0	1432083.0	852296.0	1577195.0	1435143.0	1740049.0	1473560.0	1064973.0	1528039.0	1750737.0	1266832.0	1567123.0
LiuW_2016__SRR3992980__bin.94	1203696.0	1153274.0	1143897.0	922583.0	1232138.0	1259015.0	1042378.0	1252863.0	1232067.0	1254452.0	1125541.0	1208611.0	1250300.0	1242657.0	1130852.0	1255546.0	968221.0	1167212.0	791021.0	1230990.0	1185127.0	1264828.0	1264839.0	914683.0	1230550.0	1266832.0	1313796.0	1255021.0
LiuW_2016__SRR3992981__bin.61	1436905.0	1299226.0	1349317.0	1070670.0	1498838.0	1554785.0	1208630.0	1495214.0	1408338.0	1536234.0	1262696.0	1452678.0	1485354.0	1500240.0	1267326.0	1521619.0	1110871.0	1402460.0	844653.0	1528698.0	1395892.0	1568105.0	1450838.0	1056044.0	1488733.0	1567123.0	1255021.0	1672924.0
