	XieH_2016__YSZC12003_35561__bin.47	LiJ_2017__H2M614904__bin.16	CosteaPI_2017__SID713A087-11-0-0__bin.36	CosteaPI_2017__SID713A028-11-0-0__bin.59	ZeeviD_2015__PNP_Main_325__bin.53	BritoIL_2016__W3.22.ST__bin.120	VogtmannE_2016__MMRS51307502ST-27-0-0__bin.6	KarlssonFH_2013__S577__bin.19	SchirmerM_2016__G88966__bin.7	LiuW_2016__SRR3992982__bin.9	ZeeviD_2015__PNP_Main_531__bin.33	CosteaPI_2017__mickey1-11-0-0__bin.41	LiuW_2016__SRR3992961__bin.76	ZeeviD_2015__PNP_Main_127__bin.13	ZeeviD_2015__PNP_Main_226__bin.36	LiJ_2014__MH0392__bin.10	XieH_2016__YSZC12003_35520__bin.42	CosteaPI_2017__mickey1-11-30-0__bin.16	XieH_2016__YSZC12003_36058__bin.60	XieH_2016__YSZC12003_36588__bin.70	CosteaPI_2017__SID713B063-11-0-0__bin.57	ZeeviD_2015__PNP_Main_82__bin.26	LeChatelierE_2013__MH0250__bin.95	LiJ_2014__MH0262__bin.26	CosteaPI_2017__SID713A014-11-90-0__bin.68	LiJ_2014__MH0309__bin.67	ZeeviD_2015__PNP_Main_456__bin.43	ZeeviD_2015__PNP_Main_393__bin.68	FengQ_2015__SID31223__bin.2	CosteaPI_2017__SID713A076-11-90-0__bin.51	BackhedF_2015__SID566_M__bin.4	XieH_2016__YSZC12003_37316__bin.86	XieH_2016__YSZC12003_35515__bin.33	FengQ_2015__SID530295__bin.12	LiJ_2014__MH0338__bin.65	ZeeviD_2015__PNP_Main_172__bin.64	Obregon-TitoAJ_2015__SM20__bin.14	FengQ_2015__SID530451__bin.2	KarlssonFH_2013__S126__bin.31	XieH_2016__YSZC12003_37798__bin.92	ZeeviD_2015__PNP_Main_45__bin.37	LeChatelierE_2013__MH0412__bin.12	LeChatelierE_2013__MH0415__bin.49	LiuW_2016__SRR3993036__bin.1
ZeeviD_2015__PNP_Main_531__bin.33	17239.0	16806.0	14662.0	15041.0	16846.0	17206.0	12992.0	17583.0	16970.0	16973.0	0.0	16557.0	16057.0	14826.0	21105.0	14884.0	19373.0	17470.0	19737.0	13240.0	15688.0	17088.0	15900.0	15056.0	14399.0	19844.0	13611.0	16530.0	15024.0	17024.0	16282.0	18082.0	17092.0	17522.0	18896.0	16461.0	25869.0	20281.0	15416.0	20501.0	7512.0	12672.0	15882.0	15154.0
CosteaPI_2017__mickey1-11-0-0__bin.41	19149.0	17916.0	12947.0	15108.0	17201.0	17480.0	13366.0	18591.0	18313.0	17713.0	16557.0	0.0	16973.0	14072.0	22602.0	16903.0	21209.0	1435.0	20181.0	1306.0	16479.0	16957.0	15900.0	1131.0	14575.0	21727.0	16031.0	17305.0	2604.0	1651.0	17516.0	18716.0	17742.0	17485.0	20770.0	18088.0	28280.0	21685.0	13946.0	22256.0	17595.0	3004.0	14860.0	16074.0
LiuW_2016__SRR3992961__bin.76	17895.0	18300.0	13001.0	14256.0	11039.0	9666.0	14014.0	10725.0	17759.0	17205.0	16057.0	16973.0	0.0	10889.0	22374.0	15791.0	20861.0	17846.0	20907.0	12558.0	16408.0	16437.0	5782.0	13643.0	13536.0	21021.0	14024.0	17025.0	14636.0	17916.0	17066.0	18366.0	10799.0	18523.0	19895.0	16246.0	27502.0	21606.0	13645.0	22063.0	16360.0	13306.0	14385.0	16114.0
ZeeviD_2015__PNP_Main_127__bin.13	14803.0	14732.0	13198.0	12659.0	10920.0	10391.0	11024.0	10779.0	14983.0	14144.0	14826.0	14072.0	10889.0	0.0	17889.0	12812.0	16529.0	14752.0	16927.0	10383.0	13244.0	14971.0	10325.0	11560.0	11958.0	17208.0	12182.0	13916.0	11799.0	14117.0	14393.0	15072.0	10458.0	16058.0	16661.0	13219.0	22485.0	17452.0	11952.0	18097.0	13524.0	11063.0	14241.0	13131.0
ZeeviD_2015__PNP_Main_226__bin.36	24193.0	2835.0	9413.0	18859.0	21037.0	22254.0	16851.0	24127.0	5273.0	23388.0	21105.0	22602.0	22374.0	17889.0	0.0	3323.0	6787.0	23378.0	6561.0	16289.0	21254.0	21054.0	21041.0	19166.0	18650.0	5096.0	19273.0	23051.0	20051.0	24001.0	11892.0	14293.0	23372.0	3463.0	6376.0	23204.0	29893.0	4083.0	17011.0	4410.0	23108.0	16443.0	2945.0	21686.0
LiJ_2014__MH0392__bin.10	16976.0	2786.0	7117.0	15252.0	15339.0	16100.0	12032.0	17353.0	4641.0	16387.0	14884.0	16903.0	15791.0	12812.0	3323.0	0.0	5449.0	17331.0	5292.0	12301.0	14724.0	15284.0	15378.0	12942.0	14472.0	3046.0	14870.0	16454.0	13051.0	17349.0	9287.0	9747.0	16139.0	1884.0	5547.0	16912.0	21932.0	3456.0	13383.0	3530.0	17209.0	12918.0	2124.0	14718.0
XieH_2016__YSZC12003_35520__bin.42	23072.0	5388.0	7895.0	17278.0	19653.0	21687.0	16294.0	23266.0	537.0	21421.0	19373.0	21209.0	20861.0	16529.0	6787.0	5449.0	0.0	21999.0	545.0	14437.0	19610.0	19698.0	18794.0	16879.0	17253.0	8286.0	18150.0	21772.0	18486.0	22720.0	10911.0	12751.0	23150.0	6421.0	1437.0	21679.0	28122.0	6583.0	15830.0	7394.0	21826.0	14854.0	3573.0	19657.0
CosteaPI_2017__mickey1-11-30-0__bin.16	19838.0	18962.0	13731.0	16003.0	18437.0	18553.0	13706.0	20265.0	19036.0	18194.0	17470.0	1435.0	17846.0	14752.0	23378.0	17331.0	21999.0	0.0	21561.0	989.0	17425.0	17379.0	16834.0	1120.0	14567.0	22748.0	16204.0	18511.0	2774.0	1793.0	18119.0	19648.0	18840.0	18334.0	21593.0	18774.0	29589.0	22635.0	14795.0	23244.0	18376.0	2857.0	15181.0	16869.0
XieH_2016__YSZC12003_36058__bin.60	22337.0	5423.0	8411.0	16379.0	19761.0	20710.0	16463.0	22343.0	766.0	21699.0	19737.0	20181.0	20907.0	16927.0	6561.0	5292.0	545.0	21561.0	0.0	15128.0	20235.0	19774.0	18551.0	17356.0	16373.0	8169.0	17589.0	21772.0	18597.0	22044.0	10678.0	12744.0	21936.0	6458.0	1495.0	20832.0	27318.0	6498.0	16349.0	7199.0	20726.0	14832.0	4039.0	19957.0
XieH_2016__YSZC12003_36588__bin.70	13571.0	12503.0	10005.0	12070.0	14240.0	13304.0	10086.0	13491.0	12956.0	13061.0	13240.0	1306.0	12558.0	10383.0	16289.0	12301.0	14437.0	989.0	15128.0	0.0	12793.0	13531.0	13653.0	896.0	13087.0	15166.0	11583.0	13364.0	2230.0	1090.0	13049.0	13182.0	14299.0	12439.0	14705.0	13014.0	20652.0	16481.0	13960.0	15790.0	12581.0	2304.0	12175.0	12133.0
CosteaPI_2017__SID713B063-11-0-0__bin.57	17596.0	17681.0	12634.0	13858.0	15774.0	16247.0	14065.0	17602.0	16927.0	17294.0	15688.0	16479.0	16408.0	13244.0	21254.0	14724.0	19610.0	17425.0	20235.0	12793.0	0.0	16242.0	14974.0	13382.0	13516.0	20457.0	14106.0	17087.0	14422.0	17166.0	16500.0	17770.0	16868.0	17996.0	18896.0	16167.0	25842.0	20840.0	13568.0	21274.0	15920.0	13271.0	14058.0	16622.0
ZeeviD_2015__PNP_Main_82__bin.26	18006.0	17149.0	14154.0	15300.0	17108.0	17041.0	13209.0	17764.0	17357.0	17349.0	17088.0	16957.0	16437.0	14971.0	21054.0	15284.0	19698.0	17379.0	19774.0	13531.0	16242.0	0.0	17194.0	13577.0	15124.0	20621.0	15135.0	16763.0	14107.0	17965.0	17026.0	18423.0	17111.0	17203.0	19371.0	16447.0	27225.0	20810.0	15166.0	21546.0	16156.0	13420.0	15105.0	16195.0
LeChatelierE_2013__MH0250__bin.95	16659.0	15773.0	13610.0	15932.0	9591.0	8317.0	11867.0	7906.0	16512.0	16350.0	15900.0	15900.0	5782.0	10325.0	21041.0	15378.0	18794.0	16834.0	18551.0	13653.0	14974.0	17194.0	0.0	14911.0	15010.0	19260.0	13799.0	15875.0	14312.0	16748.0	17528.0	17269.0	8572.0	15900.0	18342.0	15449.0	26220.0	19943.0	15178.0	20003.0	15484.0	13134.0	17164.0	14783.0
LiJ_2014__MH0262__bin.26	14193.0	14132.0	12135.0	13412.0	14887.0	14793.0	10511.0	15423.0	14412.0	14363.0	15056.0	1131.0	13643.0	11560.0	19166.0	12942.0	16879.0	1120.0	17356.0	896.0	13382.0	13577.0	14911.0	0.0	13887.0	18614.0	12229.0	14532.0	2587.0	1132.0	14733.0	15256.0	16106.0	14443.0	16229.0	15717.0	22364.0	18119.0	14758.0	17220.0	13637.0	1944.0	14563.0	13507.0
CosteaPI_2017__SID713A014-11-90-0__bin.68	14978.0	14261.0	12955.0	15467.0	15451.0	15296.0	10720.0	15594.0	15182.0	1502.0	14399.0	14575.0	13536.0	11958.0	18650.0	14472.0	17253.0	14567.0	16373.0	13087.0	13516.0	15124.0	15010.0	13887.0	0.0	17450.0	12911.0	14998.0	12509.0	15039.0	15725.0	15908.0	16457.0	14662.0	16502.0	14994.0	23681.0	18289.0	15699.0	18234.0	14114.0	11769.0	14647.0	2185.0
LiJ_2014__MH0309__bin.67	23405.0	3682.0	9259.0	18662.0	20051.0	21366.0	16318.0	23558.0	6288.0	21996.0	19844.0	21727.0	21021.0	17208.0	5096.0	3046.0	8286.0	22748.0	8169.0	15166.0	20457.0	20621.0	19260.0	18614.0	17450.0	0.0	18642.0	22417.0	19931.0	23296.0	12549.0	14383.0	22555.0	2200.0	7650.0	24281.0	29308.0	5078.0	16558.0	5006.0	22191.0	16010.0	3102.0	20502.0
ZeeviD_2015__PNP_Main_456__bin.43	15778.0	15834.0	12162.0	13157.0	14093.0	14830.0	11353.0	15783.0	16307.0	15649.0	13611.0	16031.0	14024.0	12182.0	19273.0	14870.0	18150.0	16204.0	17589.0	11583.0	14106.0	15135.0	13799.0	12229.0	12911.0	18642.0	0.0	14448.0	12585.0	15888.0	16168.0	16469.0	14961.0	14863.0	18233.0	15109.0	24540.0	18860.0	12670.0	19561.0	14764.0	11896.0	13130.0	14162.0
ZeeviD_2015__PNP_Main_393__bin.68	19265.0	19004.0	13473.0	15445.0	17405.0	17765.0	12986.0	19135.0	18705.0	17976.0	16530.0	17305.0	17025.0	13916.0	23051.0	16454.0	21772.0	18511.0	21772.0	13364.0	17087.0	16763.0	15875.0	14532.0	14998.0	22417.0	14448.0	0.0	15268.0	18548.0	17806.0	19647.0	19241.0	18968.0	20853.0	17936.0	28877.0	22766.0	14480.0	23021.0	17532.0	13132.0	14880.0	16830.0
FengQ_2015__SID31223__bin.2	15768.0	15251.0	11891.0	12080.0	14901.0	14105.0	12386.0	15353.0	14885.0	15216.0	15024.0	2604.0	14636.0	11799.0	20051.0	13051.0	18486.0	2774.0	18597.0	2230.0	14422.0	14107.0	14312.0	2587.0	12509.0	19931.0	12585.0	15268.0	0.0	2591.0	14363.0	16062.0	16202.0	16391.0	16866.0	15040.0	23061.0	18948.0	12201.0	18887.0	14667.0	3133.0	13912.0	14365.0
CosteaPI_2017__SID713A076-11-90-0__bin.51	19985.0	18766.0	13293.0	15841.0	17802.0	18163.0	13638.0	19702.0	18819.0	18477.0	17024.0	1651.0	17916.0	14117.0	24001.0	17349.0	22720.0	1793.0	22044.0	1090.0	17166.0	17965.0	16748.0	1132.0	15039.0	23296.0	15888.0	18548.0	2591.0	0.0	18482.0	19834.0	19102.0	18792.0	21820.0	19376.0	30599.0	23486.0	14837.0	23950.0	18205.0	2706.0	15016.0	17028.0
BackhedF_2015__SID566_M__bin.4	18298.0	10231.0	5822.0	15830.0	16780.0	17698.0	13767.0	18618.0	9414.0	18039.0	16282.0	17516.0	17066.0	14393.0	11892.0	9287.0	10911.0	18119.0	10678.0	13049.0	16500.0	17026.0	17528.0	14733.0	15725.0	12549.0	16168.0	17806.0	14363.0	18482.0	0.0	7016.0	17623.0	10410.0	11123.0	17668.0	27233.0	12422.0	14441.0	12386.0	17931.0	13609.0	8087.0	16072.0
XieH_2016__YSZC12003_37316__bin.86	20030.0	11684.0	5044.0	16326.0	18298.0	19183.0	14446.0	20211.0	10011.0	18879.0	18082.0	18716.0	18366.0	15072.0	14293.0	9747.0	12751.0	19648.0	12744.0	13182.0	17770.0	18423.0	17269.0	15256.0	15908.0	14383.0	16469.0	19647.0	16062.0	19834.0	7016.0	0.0	19624.0	12501.0	11893.0	19113.0	29843.0	14421.0	15207.0	14429.0	19019.0	13821.0	8475.0	17474.0
XieH_2016__YSZC12003_35515__bin.33	19358.0	18613.0	13618.0	15817.0	10668.0	8708.0	13950.0	9202.0	18321.0	18316.0	17092.0	17742.0	10799.0	10458.0	23372.0	16139.0	23150.0	18840.0	21936.0	14299.0	16868.0	17111.0	8572.0	16106.0	16457.0	22555.0	14961.0	19241.0	16202.0	19102.0	17623.0	19624.0	0.0	19032.0	20833.0	17790.0	28810.0	22742.0	15408.0	22913.0	17694.0	13407.0	15092.0	16858.0
FengQ_2015__SID530295__bin.12	19012.0	2588.0	8646.0	13495.0	16998.0	17863.0	15139.0	19280.0	5051.0	18908.0	17522.0	17485.0	18523.0	16058.0	3463.0	1884.0	6421.0	18334.0	6458.0	12439.0	17996.0	17203.0	15900.0	14443.0	14662.0	2200.0	14863.0	18968.0	16391.0	18792.0	10410.0	12501.0	19032.0	0.0	5922.0	17722.0	22487.0	3648.0	13246.0	3989.0	17484.0	12598.0	2021.0	17727.0
LiJ_2014__MH0338__bin.65	22105.0	5706.0	8139.0	17342.0	19134.0	20284.0	15649.0	21885.0	1302.0	20799.0	18896.0	20770.0	19895.0	16661.0	6376.0	5547.0	1437.0	21593.0	1495.0	14705.0	18896.0	19371.0	18342.0	16229.0	16502.0	7650.0	18233.0	20853.0	16866.0	21820.0	11123.0	11893.0	20833.0	5922.0	0.0	20807.0	27157.0	6744.0	15681.0	7084.0	20975.0	14887.0	3867.0	19020.0
ZeeviD_2015__PNP_Main_172__bin.64	19081.0	18199.0	13104.0	15951.0	16315.0	16865.0	13268.0	18058.0	17918.0	17160.0	16461.0	18088.0	16246.0	13219.0	23204.0	16912.0	21679.0	18774.0	20832.0	13014.0	16167.0	16447.0	15449.0	15717.0	14994.0	24281.0	15109.0	17936.0	15040.0	19376.0	17668.0	19113.0	17790.0	17722.0	20807.0	0.0	29695.0	22270.0	14129.0	23290.0	17220.0	12912.0	14609.0	16193.0
Obregon-TitoAJ_2015__SM20__bin.14	30702.0	23841.0	20558.0	25900.0	27222.0	28293.0	20647.0	30495.0	24381.0	28372.0	25869.0	28280.0	27502.0	22485.0	29893.0	21932.0	28122.0	29589.0	27318.0	20652.0	25842.0	27225.0	26220.0	22364.0	23681.0	29308.0	24540.0	28877.0	23061.0	30599.0	27233.0	29843.0	28810.0	22487.0	27157.0	29695.0	0.0	27645.0	22664.0	29773.0	29002.0	20181.0	19853.0	25495.0
FengQ_2015__SID530451__bin.2	23354.0	3091.0	9214.0	18190.0	20676.0	21458.0	16623.0	23724.0	5449.0	22360.0	20281.0	21685.0	21606.0	17452.0	4083.0	3456.0	6583.0	22635.0	6498.0	16481.0	20840.0	20810.0	19943.0	18119.0	18289.0	5078.0	18860.0	22766.0	18948.0	23486.0	12422.0	14421.0	22742.0	3648.0	6744.0	22270.0	27645.0	0.0	17284.0	3939.0	22082.0	16289.0	2029.0	20589.0
KarlssonFH_2013__S126__bin.31	14794.0	13653.0	12600.0	15221.0	15432.0	15187.0	10597.0	15029.0	13889.0	14996.0	15416.0	13946.0	13645.0	11952.0	17011.0	13383.0	15830.0	14795.0	16349.0	13960.0	13568.0	15166.0	15178.0	14758.0	15699.0	16558.0	12670.0	14480.0	12201.0	14837.0	14441.0	15207.0	15408.0	13246.0	15681.0	14129.0	22664.0	17284.0	0.0	17017.0	13629.0	11858.0	14913.0	13713.0
XieH_2016__YSZC12003_37798__bin.92	24133.0	1852.0	9258.0	18780.0	20757.0	21763.0	17155.0	23967.0	5810.0	22839.0	20501.0	22256.0	22063.0	18097.0	4410.0	3530.0	7394.0	23244.0	7199.0	15790.0	21274.0	21546.0	20003.0	17220.0	18234.0	5006.0	19561.0	23021.0	18887.0	23950.0	12386.0	14429.0	22913.0	3989.0	7084.0	23290.0	29773.0	3939.0	17017.0	0.0	23228.0	16299.0	1156.0	21339.0
ZeeviD_2015__PNP_Main_45__bin.37	18415.0	18185.0	13132.0	15786.0	15868.0	16964.0	12989.0	18236.0	18306.0	16873.0	7512.0	17595.0	16360.0	13524.0	23108.0	17209.0	21826.0	18376.0	20726.0	12581.0	15920.0	16156.0	15484.0	13637.0	14114.0	22191.0	14764.0	17532.0	14667.0	18205.0	17931.0	19019.0	17694.0	17484.0	20975.0	17220.0	29002.0	22082.0	13629.0	23228.0	0.0	12683.0	14528.0	15386.0
LeChatelierE_2013__MH0412__bin.12	13739.0	13217.0	10696.0	11703.0	13731.0	13289.0	10553.0	14034.0	13901.0	13635.0	12672.0	3004.0	13306.0	11063.0	16443.0	12918.0	14854.0	2857.0	14832.0	2304.0	13271.0	13420.0	13134.0	1944.0	11769.0	16010.0	11896.0	13132.0	3133.0	2706.0	13609.0	13821.0	13407.0	12598.0	14887.0	12912.0	20181.0	16289.0	11858.0	16299.0	12683.0	0.0	12106.0	12626.0
LeChatelierE_2013__MH0415__bin.49	14868.0	591.0	7749.0	14971.0	15556.0	15566.0	11237.0	15685.0	3204.0	15024.0	15882.0	14860.0	14385.0	14241.0	2945.0	2124.0	3573.0	15181.0	4039.0	12175.0	14058.0	15105.0	17164.0	14563.0	14647.0	3102.0	13130.0	14880.0	13912.0	15016.0	8087.0	8475.0	15092.0	2021.0	3867.0	14609.0	19853.0	2029.0	14913.0	1156.0	14528.0	12106.0	0.0	14008.0
LiuW_2016__SRR3993036__bin.1	17002.0	17728.0	12379.0	13548.0	15547.0	15851.0	13945.0	17148.0	16729.0	1287.0	15154.0	16074.0	16114.0	13131.0	21686.0	14718.0	19657.0	16869.0	19957.0	12133.0	16622.0	16195.0	14783.0	13507.0	2185.0	20502.0	14162.0	16830.0	14365.0	17028.0	16072.0	17474.0	16858.0	17727.0	19020.0	16193.0	25495.0	20589.0	13713.0	21339.0	15386.0	12626.0	14008.0	0.0
