	XieH_2016__YSZC12003_35561__bin.47	LiJ_2017__H2M614904__bin.16	CosteaPI_2017__SID713A087-11-0-0__bin.36	CosteaPI_2017__SID713A028-11-0-0__bin.59	ZeeviD_2015__PNP_Main_325__bin.53	BritoIL_2016__W3.22.ST__bin.120	VogtmannE_2016__MMRS51307502ST-27-0-0__bin.6	KarlssonFH_2013__S577__bin.19	SchirmerM_2016__G88966__bin.7	LiuW_2016__SRR3992982__bin.9	ZeeviD_2015__PNP_Main_531__bin.33	CosteaPI_2017__mickey1-11-0-0__bin.41	LiuW_2016__SRR3992961__bin.76	ZeeviD_2015__PNP_Main_127__bin.13	ZeeviD_2015__PNP_Main_226__bin.36	LiJ_2014__MH0392__bin.10	XieH_2016__YSZC12003_35520__bin.42	CosteaPI_2017__mickey1-11-30-0__bin.16	XieH_2016__YSZC12003_36058__bin.60	XieH_2016__YSZC12003_36588__bin.70	CosteaPI_2017__SID713B063-11-0-0__bin.57	ZeeviD_2015__PNP_Main_82__bin.26	LeChatelierE_2013__MH0250__bin.95	LiJ_2014__MH0262__bin.26	CosteaPI_2017__SID713A014-11-90-0__bin.68	LiJ_2014__MH0309__bin.67	ZeeviD_2015__PNP_Main_456__bin.43	ZeeviD_2015__PNP_Main_393__bin.68	FengQ_2015__SID31223__bin.2	CosteaPI_2017__SID713A076-11-90-0__bin.51	BackhedF_2015__SID566_M__bin.4	XieH_2016__YSZC12003_37316__bin.86	XieH_2016__YSZC12003_35515__bin.33	FengQ_2015__SID530295__bin.12	LiJ_2014__MH0338__bin.65	ZeeviD_2015__PNP_Main_172__bin.64	Obregon-TitoAJ_2015__SM20__bin.14	FengQ_2015__SID530451__bin.2	KarlssonFH_2013__S126__bin.31	XieH_2016__YSZC12003_37798__bin.92	ZeeviD_2015__PNP_Main_45__bin.37	LeChatelierE_2013__MH0412__bin.12	LeChatelierE_2013__MH0415__bin.49	LiuW_2016__SRR3993036__bin.1
ZeeviD_2015__PNP_Main_531__bin.33	1648892.0	1389172.0	1373989.0	1459267.0	1679880.0	1635057.0	1218004.0	1725202.0	1417307.0	1637953.0	1904454.0	1562484.0	1585290.0	1487077.0	1663566.0	1116846.0	1555898.0	1653900.0	1587410.0	1215102.0	1550447.0	1601245.0	1564671.0	1381207.0	1362456.0	1602751.0	1356365.0	1642957.0	1430782.0	1647533.0	1368241.0	1632553.0	1655235.0	1424431.0	1489579.0	1620453.0	1480999.0	1546238.0	1362120.0	1636436.0	1610465.0	1123484.0	1320904.0	1471278.0
CosteaPI_2017__mickey1-11-0-0__bin.41	1809904.0	1493478.0	1264749.0	1513027.0	1627868.0	1642467.0	1247137.0	1843238.0	1534488.0	1715510.0	1562484.0	1961294.0	1647403.0	1387237.0	1824495.0	1270531.0	1726881.0	1841952.0	1655939.0	1224631.0	1584053.0	1592912.0	1536490.0	1366825.0	1375873.0	1791967.0	1472569.0	1739272.0	1429306.0	1854638.0	1493945.0	1772878.0	1729752.0	1399496.0	1670318.0	1777119.0	1609878.0	1700625.0	1327972.0	1804015.0	1739985.0	1178471.0	1217956.0	1543658.0
LiuW_2016__SRR3992961__bin.76	1761292.0	1517750.0	1276667.0	1414699.0	1648682.0	1624149.0	1335811.0	1847248.0	1498214.0	1752969.0	1585290.0	1647403.0	1875057.0	1407633.0	1789355.0	1176434.0	1698510.0	1749772.0	1711992.0	1184435.0	1687570.0	1619700.0	1552119.0	1317772.0	1320045.0	1744560.0	1421760.0	1734595.0	1471482.0	1760145.0	1429353.0	1768126.0	1764002.0	1485013.0	1593429.0	1712931.0	1590647.0	1669763.0	1306206.0	1780825.0	1728209.0	1146525.0	1219134.0	1629026.0
ZeeviD_2015__PNP_Main_127__bin.13	1448324.0	1234734.0	1291689.0	1266892.0	1523208.0	1443783.0	1097993.0	1561752.0	1282602.0	1442958.0	1487077.0	1387237.0	1407633.0	1618909.0	1470007.0	976809.0	1364871.0	1463725.0	1408002.0	1036416.0	1380842.0	1522912.0	1406584.0	1131635.0	1186859.0	1411921.0	1207498.0	1458206.0	1240561.0	1454636.0	1220047.0	1465468.0	1480281.0	1298453.0	1367224.0	1418190.0	1314878.0	1369605.0	1180970.0	1453756.0	1416202.0	991478.0	1189082.0	1303150.0
ZeeviD_2015__PNP_Main_226__bin.36	1946755.0	1649366.0	1381288.0	1606273.0	1720282.0	1751159.0	1345800.0	1973225.0	1660237.0	1846028.0	1663566.0	1824495.0	1789355.0	1470007.0	2169437.0	1358765.0	1918409.0	1926306.0	1854213.0	1285414.0	1729264.0	1701097.0	1626080.0	1460743.0	1468619.0	1994504.0	1578284.0	1871358.0	1536112.0	1947451.0	1602639.0	1948086.0	1864807.0	1579944.0	1808959.0	1891617.0	1734409.0	1871494.0	1415319.0	2011167.0	1882629.0	1215520.0	1356143.0	1674814.0
LiJ_2014__MH0392__bin.10	1285897.0	1096140.0	951144.0	1193340.0	1180956.0	1208063.0	867226.0	1310537.0	1145568.0	1210961.0	1116846.0	1270531.0	1176434.0	976809.0	1358765.0	1428836.0	1273390.0	1309488.0	1188171.0	921972.0	1119457.0	1172063.0	1158742.0	982365.0	1077086.0	1338963.0	1114599.0	1254601.0	989400.0	1314042.0	1170787.0	1288096.0	1217626.0	987427.0	1267736.0	1280324.0	1194706.0	1273131.0	1027886.0	1349988.0	1276097.0	927657.0	967347.0	1080383.0
XieH_2016__YSZC12003_35520__bin.42	1848006.0	1545667.0	1267285.0	1500248.0	1618925.0	1669632.0	1269287.0	1887430.0	1571496.0	1744700.0	1555898.0	1726881.0	1698510.0	1364871.0	1918409.0	1273390.0	2036554.0	1823402.0	1763927.0	1166945.0	1630297.0	1598103.0	1527767.0	1348386.0	1434546.0	1873872.0	1485909.0	1775171.0	1482722.0	1847541.0	1513607.0	1860688.0	1842184.0	1543692.0	1726916.0	1788951.0	1631777.0	1746239.0	1306981.0	1890886.0	1792970.0	1139937.0	1218579.0	1579119.0
CosteaPI_2017__mickey1-11-30-0__bin.16	1910828.0	1582169.0	1333011.0	1579959.0	1709337.0	1735537.0	1320569.0	1955869.0	1612572.0	1800063.0	1653900.0	1841952.0	1749772.0	1463725.0	1926306.0	1309488.0	1823402.0	2140065.0	1765555.0	1277920.0	1695376.0	1668071.0	1611981.0	1476265.0	1434471.0	1870922.0	1540558.0	1838991.0	1513937.0	1946809.0	1549128.0	1873253.0	1838575.0	1495960.0	1737051.0	1871465.0	1697106.0	1773355.0	1392492.0	1906097.0	1847586.0	1229226.0	1280170.0	1641091.0
XieH_2016__YSZC12003_36058__bin.60	1778918.0	1535716.0	1317631.0	1420423.0	1655331.0	1616415.0	1297466.0	1830187.0	1536973.0	1770761.0	1587410.0	1655939.0	1711992.0	1408002.0	1854213.0	1188171.0	1763927.0	1765555.0	1946124.0	1230078.0	1676473.0	1624010.0	1547296.0	1388136.0	1365517.0	1801956.0	1431440.0	1760522.0	1485826.0	1781453.0	1452286.0	1810041.0	1775076.0	1516845.0	1647026.0	1724512.0	1569526.0	1715600.0	1356353.0	1834310.0	1702060.0	1137608.0	1286828.0	1597823.0
XieH_2016__YSZC12003_36588__bin.70	1253401.0	1050361.0	965487.0	1208713.0	1311700.0	1225884.0	890274.0	1302650.0	1104311.0	1241369.0	1215102.0	1224631.0	1184435.0	1036416.0	1285414.0	921972.0	1166945.0	1277920.0	1230078.0	1477729.0	1170066.0	1258611.0	1290796.0	1112828.0	1120183.0	1222346.0	1074605.0	1242481.0	1128280.0	1310201.0	1080311.0	1230798.0	1260308.0	947912.0	1159759.0	1217424.0	1123919.0	1207149.0	1200891.0	1272283.0	1216433.0	953577.0	1009700.0	1117375.0
CosteaPI_2017__SID713B063-11-0-0__bin.57	1723972.0	1490275.0	1269338.0	1354622.0	1587700.0	1555704.0	1340987.0	1760784.0	1456767.0	1730131.0	1550447.0	1584053.0	1687570.0	1380842.0	1729264.0	1119457.0	1630297.0	1695376.0	1676473.0	1170066.0	1824309.0	1564172.0	1489288.0	1298849.0	1315344.0	1687927.0	1386466.0	1693757.0	1448515.0	1696470.0	1375065.0	1704414.0	1690209.0	1460362.0	1533955.0	1654753.0	1529597.0	1620749.0	1284119.0	1721501.0	1636096.0	1137753.0	1212448.0	1624289.0
ZeeviD_2015__PNP_Main_82__bin.26	1684585.0	1412133.0	1311135.0	1495216.0	1722854.0	1643581.0	1210049.0	1775924.0	1451677.0	1651747.0	1601245.0	1592912.0	1619700.0	1522912.0	1701097.0	1172063.0	1598103.0	1668071.0	1624010.0	1258611.0	1564172.0	1928677.0	1641098.0	1245471.0	1407133.0	1654133.0	1372171.0	1659809.0	1345324.0	1682324.0	1402654.0	1710098.0	1701988.0	1360989.0	1562810.0	1651286.0	1524323.0	1593062.0	1383692.0	1689199.0	1636514.0	1161953.0	1262327.0	1497408.0
LeChatelierE_2013__MH0250__bin.95	1598783.0	1340921.0	1310795.0	1559687.0	1703315.0	1647508.0	1130602.0	1747301.0	1395146.0	1577516.0	1564671.0	1536490.0	1552119.0	1406584.0	1626080.0	1158742.0	1527767.0	1611981.0	1547296.0	1290796.0	1489288.0	1641098.0	1867170.0	1287624.0	1413505.0	1579311.0	1334038.0	1594383.0	1330122.0	1619680.0	1368089.0	1602831.0	1674687.0	1288563.0	1476859.0	1587972.0	1473581.0	1526356.0	1432649.0	1620987.0	1564501.0	1138642.0	1324943.0	1415903.0
LiJ_2014__MH0262__bin.26	1415899.0	1205850.0	1140078.0	1325152.0	1335372.0	1320566.0	990007.0	1476439.0	1209666.0	1371589.0	1381207.0	1366825.0	1317772.0	1131635.0	1460743.0	982365.0	1348386.0	1476265.0	1388136.0	1112828.0	1298849.0	1245471.0	1287624.0	1729099.0	1221042.0	1414143.0	1165304.0	1416063.0	1207011.0	1482021.0	1208161.0	1422471.0	1464888.0	1168586.0	1292229.0	1421605.0	1253803.0	1352983.0	1292789.0	1423535.0	1380839.0	938097.0	1211670.0	1243854.0
CosteaPI_2017__SID713A014-11-90-0__bin.68	1468975.0	1189230.0	1246579.0	1484488.0	1471890.0	1421724.0	961781.0	1488667.0	1250726.0	1449539.0	1362456.0	1375873.0	1320045.0	1186859.0	1468619.0	1077086.0	1434546.0	1434471.0	1365517.0	1120183.0	1315344.0	1407133.0	1413505.0	1221042.0	1703657.0	1415891.0	1205838.0	1446237.0	1154919.0	1443728.0	1248927.0	1436565.0	1461287.0	1174189.0	1336338.0	1440388.0	1307103.0	1381603.0	1390327.0	1448527.0	1385066.0	1016763.0	1202605.0	1270573.0
LiJ_2014__MH0309__bin.67	1896061.0	1612464.0	1335653.0	1554699.0	1663990.0	1707770.0	1330245.0	1934384.0	1607291.0	1808592.0	1602751.0	1791967.0	1744560.0	1411921.0	1994504.0	1338963.0	1873872.0	1870922.0	1801956.0	1222346.0	1687927.0	1654133.0	1579311.0	1414143.0	1415891.0	2223789.0	1527338.0	1829429.0	1530538.0	1917542.0	1560453.0	1914184.0	1820456.0	1587362.0	1779240.0	1873606.0	1702356.0	1864977.0	1359338.0	2000692.0	1831622.0	1194692.0	1346615.0	1639988.0
ZeeviD_2015__PNP_Main_456__bin.43	1549528.0	1299139.0	1128732.0	1314807.0	1402385.0	1416070.0	1091025.0	1572237.0	1338664.0	1477679.0	1356365.0	1472569.0	1421760.0	1207498.0	1578284.0	1114599.0	1485909.0	1540558.0	1431440.0	1074605.0	1386466.0	1372171.0	1334038.0	1165304.0	1205838.0	1527338.0	1733471.0	1496890.0	1231197.0	1550662.0	1299406.0	1523935.0	1470285.0	1220695.0	1434483.0	1498481.0	1404646.0	1468034.0	1171557.0	1551576.0	1501136.0	1017444.0	1094808.0	1336962.0
ZeeviD_2015__PNP_Main_393__bin.68	1861168.0	1571709.0	1328361.0	1518668.0	1713968.0	1714180.0	1322514.0	1920786.0	1590073.0	1785085.0	1642957.0	1739272.0	1734595.0	1458206.0	1871358.0	1254601.0	1775171.0	1838991.0	1760522.0	1242481.0	1693757.0	1659809.0	1594383.0	1416063.0	1446237.0	1829429.0	1496890.0	2164277.0	1504512.0	1858189.0	1504878.0	1864451.0	1863350.0	1505200.0	1693450.0	1832563.0	1638737.0	1750060.0	1381113.0	1857699.0	1781794.0	1181540.0	1264918.0	1629903.0
FengQ_2015__SID31223__bin.2	1513934.0	1283975.0	1152693.0	1210886.0	1403380.0	1342591.0	1185178.0	1560287.0	1273526.0	1544488.0	1430782.0	1429306.0	1471482.0	1240561.0	1536112.0	989400.0	1482722.0	1513937.0	1485826.0	1128280.0	1448515.0	1345324.0	1330122.0	1207011.0	1154919.0	1530538.0	1231197.0	1504512.0	1718705.0	1553079.0	1223248.0	1511169.0	1586858.0	1302869.0	1370167.0	1486865.0	1333440.0	1428115.0	1125454.0	1510115.0	1470608.0	995001.0	1099509.0	1405225.0
CosteaPI_2017__SID713A076-11-90-0__bin.51	1931445.0	1589761.0	1322514.0	1603641.0	1718520.0	1724866.0	1342958.0	1973474.0	1613249.0	1834895.0	1647533.0	1854638.0	1760145.0	1454636.0	1947451.0	1314042.0	1847541.0	1946809.0	1781453.0	1310201.0	1696470.0	1682324.0	1619680.0	1482021.0	1443728.0	1917542.0	1550662.0	1858189.0	1553079.0	2102952.0	1573437.0	1892699.0	1863646.0	1507348.0	1771130.0	1913360.0	1720810.0	1824604.0	1397290.0	1930467.0	1854972.0	1231405.0	1275384.0	1662956.0
BackhedF_2015__SID566_M__bin.4	1542548.0	1324978.0	1170595.0	1356158.0	1425707.0	1452161.0	1087800.0	1588321.0	1365234.0	1484858.0	1368241.0	1493945.0	1429353.0	1220047.0	1602639.0	1170787.0	1513607.0	1549128.0	1452286.0	1080311.0	1375065.0	1402654.0	1368089.0	1208161.0	1248927.0	1560453.0	1299406.0	1504878.0	1223248.0	1573437.0	1833655.0	1580155.0	1483865.0	1228786.0	1498162.0	1497800.0	1398394.0	1512579.0	1220051.0	1577187.0	1500207.0	1070686.0	1128910.0	1331920.0
XieH_2016__YSZC12003_37316__bin.86	1896952.0	1613520.0	1360229.0	1548040.0	1698903.0	1721166.0	1327116.0	1939013.0	1616728.0	1809367.0	1632553.0	1772878.0	1768126.0	1465468.0	1948086.0	1288096.0	1860688.0	1873253.0	1810041.0	1230798.0	1704414.0	1710098.0	1602831.0	1422471.0	1436565.0	1914184.0	1523935.0	1864451.0	1511169.0	1892699.0	1580155.0	2109088.0	1856746.0	1539606.0	1781336.0	1853994.0	1682885.0	1828305.0	1381845.0	1931021.0	1818619.0	1203092.0	1303006.0	1654841.0
XieH_2016__YSZC12003_35515__bin.33	1853434.0	1543423.0	1303405.0	1542722.0	1776599.0	1763664.0	1329397.0	1996314.0	1554629.0	1815744.0	1655235.0	1729752.0	1764002.0	1480281.0	1864807.0	1217626.0	1842184.0	1838575.0	1775076.0	1260308.0	1690209.0	1701988.0	1674687.0	1464888.0	1461287.0	1820456.0	1470285.0	1863350.0	1586858.0	1863646.0	1483865.0	1856746.0	2214394.0	1517576.0	1664273.0	1839610.0	1651405.0	1740449.0	1401747.0	1840866.0	1816644.0	1168963.0	1251102.0	1628972.0
FengQ_2015__SID530295__bin.12	1501566.0	1347036.0	1221871.0	1145887.0	1390562.0	1362979.0	1188248.0	1570750.0	1307189.0	1499817.0	1424431.0	1399496.0	1485013.0	1298453.0	1579944.0	987427.0	1543692.0	1495960.0	1516845.0	947912.0	1460362.0	1360989.0	1288563.0	1168586.0	1174189.0	1587362.0	1220695.0	1505200.0	1302869.0	1507348.0	1228786.0	1539606.0	1517576.0	1706683.0	1367076.0	1455752.0	1346959.0	1484532.0	1083345.0	1579583.0	1428998.0	949689.0	1163926.0	1384103.0
LiJ_2014__MH0338__bin.65	1745069.0	1468545.0	1247738.0	1461416.0	1561076.0	1606460.0	1223657.0	1766390.0	1523834.0	1664134.0	1489579.0	1670318.0	1593429.0	1367224.0	1808959.0	1267736.0	1726916.0	1737051.0	1647026.0	1159759.0	1533955.0	1562810.0	1476859.0	1292229.0	1336338.0	1779240.0	1434483.0	1693450.0	1370167.0	1771130.0	1498162.0	1781336.0	1664273.0	1367076.0	1950638.0	1683437.0	1564138.0	1684119.0	1287340.0	1800476.0	1685225.0	1125453.0	1200996.0	1489131.0
ZeeviD_2015__PNP_Main_172__bin.64	1878324.0	1549695.0	1296438.0	1582572.0	1689736.0	1695724.0	1292192.0	1923405.0	1559965.0	1768388.0	1620453.0	1777119.0	1712931.0	1418190.0	1891617.0	1280324.0	1788951.0	1871465.0	1724512.0	1217424.0	1654753.0	1651286.0	1587972.0	1421605.0	1440388.0	1873606.0	1498481.0	1832563.0	1486865.0	1913360.0	1497800.0	1853994.0	1839610.0	1455752.0	1683437.0	2212922.0	1684386.0	1754977.0	1365785.0	1882892.0	1827209.0	1175225.0	1239823.0	1623993.0
Obregon-TitoAJ_2015__SM20__bin.14	1716223.0	1436783.0	1197511.0	1434392.0	1539695.0	1565979.0	1203955.0	1750938.0	1445076.0	1627576.0	1480999.0	1609878.0	1590647.0	1314878.0	1734409.0	1194706.0	1631777.0	1697106.0	1569526.0	1123919.0	1529597.0	1524323.0	1473581.0	1253803.0	1307103.0	1702356.0	1404646.0	1638737.0	1333440.0	1720810.0	1398394.0	1682885.0	1651405.0	1346959.0	1564138.0	1684386.0	1939767.0	1615434.0	1253174.0	1722597.0	1669788.0	1094509.0	1152726.0	1496287.0
FengQ_2015__SID530451__bin.2	1781126.0	1546511.0	1291707.0	1465807.0	1605935.0	1633709.0	1276233.0	1835182.0	1540611.0	1730262.0	1546238.0	1700625.0	1669763.0	1369605.0	1871494.0	1273131.0	1746239.0	1773355.0	1715600.0	1207149.0	1620749.0	1593062.0	1526356.0	1352983.0	1381603.0	1864977.0	1468034.0	1750060.0	1428115.0	1824604.0	1512579.0	1828305.0	1740449.0	1484532.0	1684119.0	1754977.0	1615434.0	1937096.0	1334013.0	1862602.0	1713988.0	1166684.0	1267342.0	1567071.0
KarlssonFH_2013__S126__bin.31	1395516.0	1148906.0	1225449.0	1484942.0	1454226.0	1369210.0	928945.0	1440919.0	1198845.0	1377902.0	1362120.0	1327972.0	1306206.0	1180970.0	1415319.0	1027886.0	1306981.0	1392492.0	1356353.0	1200891.0	1284119.0	1383692.0	1432649.0	1292789.0	1390327.0	1359338.0	1171557.0	1381113.0	1125454.0	1397290.0	1220051.0	1381845.0	1401747.0	1083345.0	1287340.0	1365785.0	1253174.0	1334013.0	1664702.0	1392499.0	1339759.0	1014964.0	1255147.0	1227763.0
XieH_2016__YSZC12003_37798__bin.92	1927072.0	1641677.0	1363982.0	1580874.0	1701580.0	1730757.0	1350321.0	1953941.0	1645331.0	1818269.0	1636436.0	1804015.0	1780825.0	1453756.0	2011167.0	1349988.0	1890886.0	1906097.0	1834310.0	1272283.0	1721501.0	1689199.0	1620987.0	1423535.0	1448527.0	2000692.0	1551576.0	1857699.0	1510115.0	1930467.0	1577187.0	1931021.0	1840866.0	1579583.0	1800476.0	1882892.0	1722597.0	1862602.0	1392499.0	2200870.0	1853431.0	1212572.0	1350045.0	1665293.0
ZeeviD_2015__PNP_Main_45__bin.37	1848087.0	1530705.0	1266080.0	1556520.0	1654442.0	1679307.0	1279153.0	1897360.0	1556903.0	1745041.0	1610465.0	1739985.0	1728209.0	1416202.0	1882629.0	1276097.0	1792970.0	1847586.0	1702060.0	1216433.0	1636096.0	1636514.0	1564501.0	1380839.0	1385066.0	1831622.0	1501136.0	1781794.0	1470608.0	1854972.0	1500207.0	1818619.0	1816644.0	1428998.0	1685225.0	1827209.0	1669788.0	1713988.0	1339759.0	1853431.0	2065639.0	1144401.0	1217483.0	1577140.0
LeChatelierE_2013__MH0412__bin.12	1193601.0	1020659.0	947630.0	1080605.0	1185411.0	1156597.0	866365.0	1237912.0	1079636.0	1190673.0	1123484.0	1178471.0	1146525.0	991478.0	1215520.0	927657.0	1139937.0	1229226.0	1137608.0	953577.0	1137753.0	1161953.0	1138642.0	938097.0	1016763.0	1194692.0	1017444.0	1181540.0	995001.0	1231405.0	1070686.0	1203092.0	1168963.0	949689.0	1125453.0	1175225.0	1094509.0	1166684.0	1014964.0	1212572.0	1144401.0	1339226.0	932835.0	1090044.0
