Ref_file	Query_file	ANI	Align_fraction_ref	Align_fraction_query	Ref_name	Query_name	ANI_5_percentile	ANI_95_percentile	Standard_deviation	Ref_mean_ctg_len	Query_mean_ctg_len
/home/jshaw/scratch/DATABASES/refseq_all/GCF_000005845.2_ASM584v2_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_000008865.2_ASM886v2_genomic.fna	97.86	91.07	75.55	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome	NC_002695.2 Escherichia coli O157:H7 str. Sakai DNA, complete genome	97.98	98.22	1.21	4641652	1864868.4
/home/jshaw/scratch/DATABASES/refseq_all/GCF_000005845.2_ASM584v2_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_021278985.1_ASM2127898v1_genomic.fna	83.02	19.53	16.85	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome	NZ_CP082833.1 Citrobacter rodentium NBRC 105723 = DSM 16636 chromosome, complete genome	82.37	83.59	5.70	4641652	2690568.5
/home/jshaw/scratch/DATABASES/refseq_all/GCF_000005845.2_ASM584v2_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_001558935.2_ASM155893v2_genomic.fna	82.90	20.06	18.32	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome	NZ_CP014070.2 Citrobacter amalonaticus strain FDAARGOS_165 chromosome, complete genome	82.17	83.49	4.85	4641652	2542018.5
/home/jshaw/scratch/DATABASES/refseq_all/GCF_000005845.2_ASM584v2_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_013374815.1_ASM1337481v1_genomic.fna	98.39	93.09	90.72	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome	NZ_CP055292.1 Shigella sonnei strain SE6-1 chromosome, complete genome	98.48	98.69	1.10	4641652	4762774
/home/jshaw/scratch/DATABASES/refseq_all/GCF_000005845.2_ASM584v2_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_900638065.1_55685_A01_genomic.fna	82.92	19.24	18.34	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome	NZ_LR134485.1 Citrobacter youngae strain NCTC13709 chromosome 1, complete sequence	82.23	83.53	5.18	4641652	4867355
/home/jshaw/scratch/DATABASES/refseq_all/GCF_000005845.2_ASM584v2_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_013892435.1_ASM1389243v1_genomic.fna	92.25	59.18	57.41	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome	NZ_CP057657.1 Escherichia fergusonii strain RHB19-C05 chromosome, complete genome	91.92	92.92	4.26	4641652	1594814.6
/home/jshaw/scratch/DATABASES/refseq_all/GCF_000005845.2_ASM584v2_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_000006925.2_ASM692v2_genomic.fna	97.73	87.65	84.25	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome	NC_004337.2 Shigella flexneri 2a str. 301 chromosome, complete genome	97.74	98.07	1.74	4641652	2414410
/home/jshaw/scratch/DATABASES/refseq_all/GCF_000005845.2_ASM584v2_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_000018045.1_ASM1804v1_genomic.fna	83.52	22.74	22.29	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome	NC_009792.1 Citrobacter koseri ATCC BAA-895, complete sequence	82.84	84.08	4.91	4641652	1578452.4
/home/jshaw/scratch/DATABASES/refseq_all/GCF_000005845.2_ASM584v2_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_000006945.2_ASM694v2_genomic.fna	82.80	16.05	15.04	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome	NC_003197.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome	82.03	83.47	5.33	4641652	2475691.5
/home/jshaw/scratch/DATABASES/refseq_all/GCF_000021045.1_ASM2104v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_009363155.1_ASM936315v1_genomic.fna	89.82	62.83	63.69	NC_012560.1 Azotobacter vinelandii DJ, complete sequence	NZ_CP045302.1 Azotobacter salinestris strain KACC 13899 chromosome, complete genome	89.45	90.13	3.52	5365318	1764122
/home/jshaw/scratch/DATABASES/refseq_all/GCF_000021045.1_ASM2104v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_900104805.1_IMG-taxon_2667527434_annotated_assembly_genomic.fna	83.24	13.81	15.96	NC_012560.1 Azotobacter vinelandii DJ, complete sequence	NZ_LT629751.1 Pseudomonas oryzae strain KCTC 32247 chromosome I	82.58	83.75	5.49	5365318	4642193
/home/jshaw/scratch/DATABASES/refseq_all/GCF_000021045.1_ASM2104v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_900105885.1_IMG-taxon_2667527223_annotated_assembly_genomic.fna	82.85	9.85	16.55	NC_012560.1 Azotobacter vinelandii DJ, complete sequence	NZ_LT629780.1 Pseudomonas guangdongensis strain CCTCC AB 2012022 chromosome I	82.10	83.55	6.17	5365318	3191154
/home/jshaw/scratch/DATABASES/refseq_all/GCF_000021045.1_ASM2104v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_002220155.1_ASM222015v1_genomic.fna	89.45	60.47	64.59	NC_012560.1 Azotobacter vinelandii DJ, complete sequence	NZ_CP011835.1 Azotobacter chroococcum strain B3 chromosome, complete genome	89.03	89.87	3.68	5365318	1255763.8
/home/jshaw/scratch/DATABASES/refseq_all/GCF_000157895.3_ASM15789v2_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_021183725.1_ASM2118372v1_genomic.fna	92.18	75.52	81.06	NC_022663.1 Mycobacterium kansasii ATCC 12478, complete sequence	NZ_CP089224.1 Mycobacterium ostraviense strain FDAARGOS_1613 chromosome, complete genome	92.32	92.82	2.62	3288614	6127734
/home/jshaw/scratch/DATABASES/refseq_all/GCF_000831645.3_ASM83164v3_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_014058425.1_ASM1405842v1_genomic.fna	82.91	13.90	15.53	NZ_CP012559.1 Companilactobacillus heilongjiangensis strain DSM 28069 chromosome, complete genome	NZ_CP049366.1 Companilactobacillus pabuli strain NFFJ11 chromosome, complete genome	81.91	83.96	5.75	2790548	1248571.5
/home/jshaw/scratch/DATABASES/refseq_all/GCF_000831645.3_ASM83164v3_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_002706745.1_ASM270674v1_genomic.fna	83.01	15.21	16.63	NZ_CP012559.1 Companilactobacillus heilongjiangensis strain DSM 28069 chromosome, complete genome	NZ_CP017702.1 Companilactobacillus farciminis KCTC 3681 = DSM 20184 chromosome, complete genome	81.86	84.03	5.86	2790548	2551839
/home/jshaw/scratch/DATABASES/refseq_all/GCF_000831645.3_ASM83164v3_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_003606365.2_ASM360636v2_genomic.fna	84.58	27.32	28.08	NZ_CP012559.1 Companilactobacillus heilongjiangensis strain DSM 28069 chromosome, complete genome	NZ_CP031933.2 Companilactobacillus zhachilii strain HBUAS52074 chromosome, complete genome	83.61	85.31	5.72	2790548	2714973
/home/jshaw/scratch/DATABASES/refseq_all/GCF_000831645.3_ASM83164v3_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_001951175.1_ASM195117v1_genomic.fna	83.37	15.76	18.98	NZ_CP012559.1 Companilactobacillus heilongjiangensis strain DSM 28069 chromosome, complete genome	NZ_CP017996.1 Companilactobacillus crustorum strain MN047 chromosome, complete genome	82.24	84.48	6.79	2790548	772159.7
/home/jshaw/scratch/DATABASES/refseq_all/GCF_001465595.2_ASM146559v2_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_900187205.1_52191_D01_genomic.fna	85.15	35.01	33.96	NZ_CP013481.2 Pandoraea apista strain DSM 16535 chromosome, complete genome	NZ_LT906435.1 Pandoraea sputorum strain NCTC13161 chromosome 1, complete sequence	84.61	85.53	4.21	2785630	5743123
/home/jshaw/scratch/DATABASES/refseq_all/GCF_001742185.1_ASM174218v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_003571485.1_ASM357148v1_genomic.fna	88.73	67.24	68.09	NZ_CP015750.1 Pectobacterium wasabiae CFBP 3304 chromosome, complete genome	NZ_CP021894.1 Pectobacterium versatile strain SCC1 chromosome	88.31	89.06	3.55	5043228	2490161
/home/jshaw/scratch/DATABASES/refseq_all/GCF_001742185.1_ASM174218v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_003992745.1_ASM399274v1_genomic.fna	93.90	84.04	81.08	NZ_CP015750.1 Pectobacterium wasabiae CFBP 3304 chromosome, complete genome	NZ_CP027260.1 Pectobacterium parmentieri strain IFB5427 chromosome, complete genome	94.00	94.54	2.67	5043228	2613651
/home/jshaw/scratch/DATABASES/refseq_all/GCF_001742185.1_ASM174218v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_002288545.1_ASM228854v1_genomic.fna	88.68	65.55	66.00	NZ_CP015750.1 Pectobacterium wasabiae CFBP 3304 chromosome, complete genome	NZ_CP017482.1 Pectobacterium polaris strain NIBIO1392 chromosome, complete genome	88.34	89.03	3.56	5043228	5008416
/home/jshaw/scratch/DATABASES/refseq_all/GCF_001742185.1_ASM174218v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_015689195.1_ASM1568919v1_genomic.fna	88.22	63.97	64.58	NZ_CP015750.1 Pectobacterium wasabiae CFBP 3304 chromosome, complete genome	NZ_CP065044.1 Pectobacterium aroidearum strain L6 chromosome, complete genome	87.77	88.55	3.74	5043228	4995896
/home/jshaw/scratch/DATABASES/refseq_all/GCF_001742185.1_ASM174218v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_013488025.1_ASM1348802v1_genomic.fna	88.81	64.43	66.42	NZ_CP015750.1 Pectobacterium wasabiae CFBP 3304 chromosome, complete genome	NZ_CP051652.1 Pectobacterium carotovorum strain WPP14 chromosome, complete genome	88.43	89.17	3.68	5043228	4892225
/home/jshaw/scratch/DATABASES/refseq_all/GCF_001742185.1_ASM174218v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_020971565.1_ASM2097156v1_genomic.fna	88.63	60.44	64.68	NZ_CP015750.1 Pectobacterium wasabiae CFBP 3304 chromosome, complete genome	NZ_CP087392.1 Pectobacterium parvum strain FN20211 chromosome, complete genome	88.22	89.02	3.57	5043228	1571011.6
/home/jshaw/scratch/DATABASES/refseq_all/GCF_001742185.1_ASM174218v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_009931295.1_ASM993129v1_genomic.fna	88.31	61.82	61.13	NZ_CP015750.1 Pectobacterium wasabiae CFBP 3304 chromosome, complete genome	NZ_CP034938.1 Pectobacterium odoriferum strain JK2.1 chromosome, complete genome	87.87	88.76	3.88	5043228	2550129
/home/jshaw/scratch/DATABASES/refseq_all/GCF_001742185.1_ASM174218v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_012427845.1_ASM1242784v1_genomic.fna	90.96	73.53	77.35	NZ_CP015750.1 Pectobacterium wasabiae CFBP 3304 chromosome, complete genome	NZ_CP038498.1 Pectobacterium punjabense strain SS95 chromosome, complete genome	90.58	91.34	3.29	5043228	4793778
/home/jshaw/scratch/DATABASES/refseq_all/GCF_001742185.1_ASM174218v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_003382565.3_ASM338256v3_genomic.fna	88.51	54.29	61.33	NZ_CP015750.1 Pectobacterium wasabiae CFBP 3304 chromosome, complete genome	NZ_CP086253.1 Pectobacterium aquaticum strain A212-S19-A16 chromosome, complete genome	88.11	88.88	3.56	5043228	4464425
/home/jshaw/scratch/DATABASES/refseq_all/GCF_001742185.1_ASM174218v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_009873295.1_ASM987329v1_genomic.fna	88.70	65.94	68.54	NZ_CP015750.1 Pectobacterium wasabiae CFBP 3304 chromosome, complete genome	NZ_CP047495.1 Pectobacterium brasiliense strain 1692 chromosome, complete genome	88.30	89.06	3.64	5043228	4851982
/home/jshaw/scratch/DATABASES/refseq_all/GCF_002749675.1_ASM274967v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_002999455.1_ASM299945v1_genomic.fna	94.49	82.55	87.07	NZ_CP024411.1 Mesoplasma entomophilum strain TAC chromosome, complete genome	NZ_CP022511.1 Mesoplasma coleopterae strain BARC 781 chromosome	93.98	95.23	2.15	847967	803948
/home/jshaw/scratch/DATABASES/refseq_all/GCF_002749675.1_ASM274967v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_002804025.1_ASM280402v1_genomic.fna	88.11	70.45	70.54	NZ_CP024411.1 Mesoplasma entomophilum strain TAC chromosome, complete genome	NZ_CP024969.1 Mesoplasma tabanidae strain BARC 857 chromosome, complete genome	87.11	89.09	3.97	847967	846907
/home/jshaw/scratch/DATABASES/refseq_all/GCF_002749675.1_ASM274967v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_002804105.1_ASM280410v1_genomic.fna	85.31	46.56	46.70	NZ_CP024411.1 Mesoplasma entomophilum strain TAC chromosome, complete genome	NZ_CP024964.1 Entomoplasma melaleucae strain M1 chromosome, complete genome	84.33	86.19	3.77	847967	845295
/home/jshaw/scratch/DATABASES/refseq_all/GCF_003814405.1_ASM381440v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_008931845.1_ASM893184v1_genomic.fna	91.10	74.96	83.06	NZ_CP028861.1 Borreliella garinii strain 20047 chromosome, complete genome	NZ_CP044535.1 Borrelia maritima strain CA690 chromosome, complete genome	90.84	91.87	2.76	111765.09	138699.5
/home/jshaw/scratch/DATABASES/refseq_all/GCF_004564355.1_ASM456435v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_008727775.1_ASM872777v1_genomic.fna	90.67	77.62	81.41	NZ_CP038266.1 Microbacterium wangchenii strain dk512 chromosome, complete genome	NZ_CP044232.1 Microbacterium lushaniae strain L-031 chromosome, complete genome	90.61	91.29	2.83	3828279	3650161
/home/jshaw/scratch/DATABASES/refseq_all/GCF_014879295.1_ASM1487929v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_018314255.1_ASM1831425v1_genomic.fna	83.13	15.01	14.97	NZ_CP062473.1 Lentilactobacillus parabuchneri strain KEM chromosome, complete genome	NZ_CP073066.1 Lentilactobacillus buchneri strain ATCC 4005 chromosome, complete genome	81.64	84.09	6.87	2530379	1268602.5
/home/jshaw/scratch/DATABASES/refseq_all/GCF_000011745.1_ASM1174v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_000331065.1_ASM33106v1_genomic.fna	98.23	98.20	98.25	NC_007292.1 Candidatus Blochmannia pennsylvanicus str. BPEN, complete sequence	NC_020075.1 Candidatus Blochmannia chromaiodes str. 640, complete sequence	98.31	98.47	0.30	791654	791219
/home/jshaw/scratch/DATABASES/refseq_all/GCF_000011745.1_ASM1174v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_009827135.1_ASM982713v1_genomic.fna	83.38	36.04	36.18	NC_007292.1 Candidatus Blochmannia pennsylvanicus str. BPEN, complete sequence	NZ_CP046534.1 Blochmannia endosymbiont of Camponotus nipponensis isolate CNIEBac chromosome, complete genome	82.26	84.25	3.31	791654	788522
/home/jshaw/scratch/DATABASES/refseq_all/GCF_000024385.1_ASM2438v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_003589885.1_ASM358988v1_genomic.fna	84.36	27.48	22.79	NC_013510.1 Thermomonospora curvata DSM 43183, complete sequence	NZ_CP032402.1 Thermomonospora amylolytica strain YIM 77502 chromosome, complete genome	83.82	84.79	4.72	5639016	6800142
/home/jshaw/scratch/DATABASES/refseq_all/GCF_000568815.1_ASM56881v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_001723605.1_ASM172360v1_genomic.fna	93.78	78.23	82.00	NZ_CP007201.1 Sulfurospirillum multivorans DSM 12446 chromosome, complete genome	NZ_CP017111.1 Sulfurospirillum halorespirans DSM 13726 strain PCE-M2 chromosome, complete genome	93.61	94.49	3.32	3175729	3029840
/home/jshaw/scratch/DATABASES/refseq_all/GCF_001889105.1_ASM188910v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_003177055.1_ASM317705v1_genomic.fna	88.17	55.53	55.05	NZ_CP013107.1 Sinorhizobium americanum strain CFNEI 73 chromosome, complete genome	NZ_CP029451.1 Sinorhizobium fredii CCBAU 25509 chromosome, complete genome	87.81	88.46	3.47	1687877	2270288
/home/jshaw/scratch/DATABASES/refseq_all/GCF_001889105.1_ASM188910v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_008932245.1_ASM893224v1_genomic.fna	82.36	18.45	20.33	NZ_CP013107.1 Sinorhizobium americanum strain CFNEI 73 chromosome, complete genome	NZ_CP034909.1 Ensifer alkalisoli strain YIC4027 chromosome 1, complete sequence	81.85	82.77	4.24	1687877	2042811
/home/jshaw/scratch/DATABASES/refseq_all/GCF_001889105.1_ASM188910v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_002288525.1_ASM228852v1_genomic.fna	82.77	17.98	19.92	NZ_CP013107.1 Sinorhizobium americanum strain CFNEI 73 chromosome, complete genome	NZ_CP023067.1 Ensifer sojae CCBAU 05684 chromosome, complete genome	82.25	83.16	5.12	1687877	2031342.4
/home/jshaw/scratch/DATABASES/refseq_all/GCF_001889105.1_ASM188910v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_013488225.1_ASM1348822v1_genomic.fna	82.82	16.54	15.63	NZ_CP013107.1 Sinorhizobium americanum strain CFNEI 73 chromosome, complete genome	NZ_CP041238.1 Ensifer mexicanus strain ITTG R7 chromosome, complete genome	82.30	83.31	4.41	1687877	1785465.8
/home/jshaw/scratch/DATABASES/refseq_all/GCF_009796285.1_ASM979628v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_016467295.1_ASM1646729v1_genomic.fna	86.04	33.38	38.05	NZ_CP047020.1 Streptomyces broussonetiae strain T44 chromosome	NZ_CP066774.1 Streptomyces murinus strain Am1 chromosome, complete genome	85.63	86.37	4.31	9735779	8539264
/home/jshaw/scratch/DATABASES/refseq_all/GCF_009796285.1_ASM979628v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_014673495.1_ASM1467349v1_genomic.fna	85.89	32.29	34.48	NZ_CP047020.1 Streptomyces broussonetiae strain T44 chromosome	NZ_CP051006.1 Streptomyces griseofuscus strain DSM 40191 chromosome, complete genome	85.47	86.24	4.60	9735779	2279168
/home/jshaw/scratch/DATABASES/refseq_all/GCF_009796285.1_ASM979628v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_015244315.1_ASM1524431v1_genomic.fna	83.55	14.50	16.70	NZ_CP047020.1 Streptomyces broussonetiae strain T44 chromosome	NZ_CP043317.1 Streptomyces olivaceus strain SCSIO T05 chromosome, complete genome	83.00	83.97	5.11	9735779	8458055
/home/jshaw/scratch/DATABASES/refseq_all/GCF_009796285.1_ASM979628v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_015160855.1_ASM1516085v1_genomic.fna	84.19	20.86	20.39	NZ_CP047020.1 Streptomyces broussonetiae strain T44 chromosome	NZ_CP063373.1 Streptomyces ferrugineus strain CCTCC AA2014009 chromosome, complete genome	83.70	84.55	5.33	9735779	9959088
/home/jshaw/scratch/DATABASES/refseq_all/GCF_009796285.1_ASM979628v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_017526105.1_ASM1752610v1_genomic.fna	87.64	40.78	45.25	NZ_CP047020.1 Streptomyces broussonetiae strain T44 chromosome	NZ_CP071839.1 Streptomyces cyanogenus strain S136 chromosome, complete genome	87.25	87.99	4.20	9735779	8773899
/home/jshaw/scratch/DATABASES/refseq_all/GCF_009796285.1_ASM979628v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_014701095.1_ASM1470109v1_genomic.fna	84.24	21.13	27.20	NZ_CP047020.1 Streptomyces broussonetiae strain T44 chromosome	NZ_AP023439.1 Streptomyces tuirus strain JCM 4255 chromosome	83.84	84.62	4.44	9735779	7561001
/home/jshaw/scratch/DATABASES/refseq_all/GCF_009796285.1_ASM979628v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_015160875.1_ASM1516087v1_genomic.fna	84.41	20.40	26.54	NZ_CP047020.1 Streptomyces broussonetiae strain T44 chromosome	NZ_CP063374.1 Streptomyces chromofuscus strain DSM 40273 chromosome, complete genome	83.94	84.79	5.16	9735779	7483282
/home/jshaw/scratch/DATABASES/refseq_all/GCF_015689195.1_ASM1568919v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_020971565.1_ASM2097156v1_genomic.fna	90.12	68.14	72.22	NZ_CP065044.1 Pectobacterium aroidearum strain L6 chromosome, complete genome	NZ_CP087392.1 Pectobacterium parvum strain FN20211 chromosome, complete genome	89.65	90.33	3.08	4995896	1571011.6
/home/jshaw/scratch/DATABASES/refseq_all/GCF_019665745.1_ASM1966574v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_902164675.1_25426_7_101_genomic.fna	82.29	15.59	12.11	NZ_CP081105.1 Enterobacter cancerogenus strain JY65 chromosome	NZ_LR607336.1 Klebsiella grimontii strain 4928STDY7071328 chromosome 1	81.64	82.97	5.02	4736684	6099119
/home/jshaw/scratch/DATABASES/refseq_all/GCF_019665745.1_ASM1966574v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_022014715.1_ASM2201471v1_genomic.fna	87.80	62.90	61.50	NZ_CP081105.1 Enterobacter cancerogenus strain JY65 chromosome	NZ_CP091779.1 Enterobacter mori strain ACYC.E9L chromosome, complete genome	87.35	88.18	3.83	4736684	2422006
/home/jshaw/scratch/DATABASES/refseq_all/GCF_019665745.1_ASM1966574v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_021278985.1_ASM2127898v1_genomic.fna	82.14	16.44	14.47	NZ_CP081105.1 Enterobacter cancerogenus strain JY65 chromosome	NZ_CP082833.1 Citrobacter rodentium NBRC 105723 = DSM 16636 chromosome, complete genome	81.55	82.67	4.74	4736684	2690568.5
/home/jshaw/scratch/DATABASES/refseq_all/GCF_019665745.1_ASM1966574v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_902164725.1_25426_7_251_genomic.fna	82.65	15.19	16.36	NZ_CP081105.1 Enterobacter cancerogenus strain JY65 chromosome	NZ_LR607338.1 Pseudescherichia vulneris strain 4928STDY7071515 chromosome 1	82.17	83.08	5.02	4736684	4398823
/home/jshaw/scratch/DATABASES/refseq_all/GCF_000016645.1_ASM1664v1_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_003312915.1_ASM331291v1_genomic.fna	84.62	25.58	32.23	NC_009441.1 Flavobacterium johnsoniae UW101, complete sequence	NZ_CP030261.1 Flavobacterium fluviale strain HYN0086 chromosome, complete genome	84.16	85.07	4.66	6096872	4839571
