	QinJ_2012__DLM022__bin.16	BritoIL_2016__W1.13.ST__bin.62	LiJ_2014__O2.UC48-1__bin.24	CosteaPI_2017__SID713A062-11-90-0__bin.59	QinJ_2012__T2D-051__bin.12	VogtmannE_2016__MMRS77018926ST-27-0-0__bin.32	ZeeviD_2015__PNP_Main_706__bin.57	XieH_2016__YSZC12003_37255__bin.24	BritoIL_2016__W2.43.ST__bin.21	BritoIL_2016__WL.14.ST__bin.72	Obregon-TitoAJ_2015__SM31__bin.23	QinJ_2012__T2D-049__bin.53	ZeeviD_2015__PNP_Main_203__bin.18	GeversD_2014__SKBSTL013__bin.55	LiJ_2014__MH0252__bin.78	ZellerG_2014__CCIS45793747ST-4-0__bin.81	ZeeviD_2015__PNP_Main_531__bin.7	XieH_2016__YSZC12003_37182R1__bin.25	CosteaPI_2017__SID713A052-11-90-0__bin.33	CosteaPI_2017__SID713A005-11-90-0__bin.76	BritoIL_2016__W1.1.ST__bin.13	HMP_2012__SRS042628__bin.54	YuJ_2015__SZAXPI003413-4__bin.43	XieH_2016__YSZC12003_36699__bin.3	ZeeviD_2015__PNP_Main_625__bin.19	FerrettiP_2018__CA_C10032MS2544FE_t0M15__bin.10	LiJ_2014__MH0391__bin.68	ZellerG_2014__CCIS44757994ST-4-0__bin.11	ZellerG_2014__CCIS11015875ST-4-0__bin.14	CosteaPI_2017__pluto1-11-7-0__bin.43	XieH_2016__YSZC12003_37137__bin.63	HeQ_2017__SZAXPI029584-102__bin.27	VogtmannE_2016__MMRS77487595ST-27-0-0__bin.58	ZeeviD_2015__PNP_Main_448__bin.21	LiJ_2017__nHM512811__bin.17	ZellerG_2014__CCIS46047672ST-4-0__bin.1	VogtmannE_2016__MMRS44197125ST-27-0-0__bin.43	BritoIL_2016__W2.67.ST__bin.48	XieH_2016__YSZC12003_37798__bin.56	XieH_2016__YSZC12003_37207R1__bin.4	CosteaPI_2017__SID713B061-11-90-0__bin.58	NielsenHB_2014__V1_UC35_4__bin.63	CosteaPI_2017__SID713A052-11-0-0__bin.94
Obregon-TitoAJ_2015__SM31__bin.23	1266173.0	1058721.0	1065849.0	1266727.0	1123581.0	960009.0	1138473.0	1192091.0	1228806.0	1277811.0	1534956.0	1221774.0	1181710.0	1115484.0	1104880.0	1100435.0	725534.0	906564.0	1132299.0	881109.0	1021476.0	1231856.0	1271820.0	1199082.0	1229252.0	1260584.0	1114456.0	1044032.0	1232939.0	1238517.0	691356.0	1006773.0	1080628.0	919395.0	1272479.0	1215470.0	1186790.0	1143997.0	1176026.0	1250053.0	1088438.0	1278139.0	818283.0
QinJ_2012__T2D-049__bin.53	1952742.0	1507477.0	1468194.0	1905022.0	1635176.0	1252143.0	1558251.0	1683191.0	1815955.0	1920847.0	1221774.0	2522520.0	1689394.0	1566785.0	1543873.0	1534151.0	1018602.0	1281418.0	1636559.0	1198411.0	1378497.0	1742331.0	1884509.0	1724745.0	1751034.0	1780512.0	1569205.0	1477908.0	1795586.0	1716583.0	930316.0	1395063.0	1487364.0	1290276.0	1931270.0	1786595.0	1631420.0	1675628.0	1729953.0	1869149.0	1463532.0	1832433.0	1160172.0
ZeeviD_2015__PNP_Main_203__bin.18	1813201.0	1437928.0	1452947.0	1803024.0	1678781.0	1274665.0	1579021.0	1736072.0	1760623.0	1812469.0	1181710.0	1689394.0	2367106.0	1628951.0	1520866.0	1532797.0	988654.0	1236372.0	1544513.0	1163881.0	1315285.0	1805420.0	1868958.0	1699243.0	1752421.0	1828946.0	1572851.0	1445469.0	1713071.0	1770083.0	929597.0	1402432.0	1548641.0	1368104.0	1841783.0	1774998.0	1675434.0	1575293.0	1678747.0	1815416.0	1482937.0	1875778.0	1108825.0
GeversD_2014__SKBSTL013__bin.55	1703569.0	1356465.0	1407517.0	1681899.0	1517482.0	1198304.0	1568070.0	1611523.0	1614560.0	1690075.0	1115484.0	1566785.0	1628951.0	1938122.0	1420113.0	1437011.0	913152.0	1174744.0	1432953.0	1091412.0	1211252.0	1650269.0	1714525.0	1604051.0	1636779.0	1719073.0	1489053.0	1330264.0	1639173.0	1779536.0	873367.0	1286598.0	1552352.0	1255660.0	1716261.0	1673890.0	1660340.0	1480454.0	1560777.0	1671433.0	1429818.0	1714176.0	1009624.0
LiJ_2014__MH0252__bin.78	1625502.0	1319108.0	1306169.0	1632863.0	1431249.0	1168219.0	1412582.0	1502756.0	1554155.0	1624159.0	1104880.0	1543873.0	1520866.0	1420113.0	2103863.0	1358220.0	908924.0	1149257.0	1436198.0	1077509.0	1200012.0	1595179.0	1627412.0	1590330.0	1598117.0	1586645.0	1444089.0	1308655.0	1559101.0	1559383.0	857026.0	1249617.0	1354213.0	1184297.0	1612404.0	1582489.0	1482164.0	1446018.0	1507822.0	1625027.0	1322957.0	1640619.0	1040824.0
ZellerG_2014__CCIS45793747ST-4-0__bin.81	1624486.0	1320633.0	1348073.0	1612167.0	1443116.0	1180745.0	1429610.0	1558958.0	1573461.0	1632456.0	1100435.0	1534151.0	1532797.0	1437011.0	1358220.0	2054749.0	906517.0	1135725.0	1425749.0	1086538.0	1231345.0	1585725.0	1625032.0	1588583.0	1561838.0	1610311.0	1448134.0	1287927.0	1591452.0	1577854.0	867027.0	1264155.0	1355487.0	1184889.0	1630554.0	1632419.0	1514468.0	1437100.0	1509857.0	1589161.0	1347712.0	1667047.0	1010171.0
ZeeviD_2015__PNP_Main_531__bin.7	1071730.0	903488.0	851029.0	1068729.0	924020.0	799708.0	948281.0	989439.0	1027068.0	1068337.0	725534.0	1018602.0	988654.0	913152.0	908924.0	906517.0	1232724.0	773951.0	946435.0	727251.0	803646.0	1015571.0	1069659.0	999563.0	1024960.0	1032611.0	936521.0	880122.0	1035981.0	1008677.0	580469.0	841801.0	858557.0	777293.0	1072959.0	1053391.0	963117.0	956589.0	993080.0	1057415.0	855699.0	1052461.0	701724.0
XieH_2016__YSZC12003_37182R1__bin.25	1362493.0	1110625.0	1073338.0	1353122.0	1200819.0	970652.0	1185594.0	1257795.0	1324373.0	1357444.0	906564.0	1281418.0	1236372.0	1174744.0	1149257.0	1135725.0	773951.0	1561199.0	1184560.0	916581.0	1024370.0	1275490.0	1391855.0	1274378.0	1279348.0	1312603.0	1184212.0	1106306.0	1312355.0	1305735.0	724774.0	1042620.0	1111670.0	1003007.0	1373302.0	1340989.0	1229062.0	1245455.0	1270328.0	1332986.0	1118035.0	1335653.0	872225.0
CosteaPI_2017__SID713A052-11-90-0__bin.33	1707267.0	1381553.0	1342253.0	1699409.0	1463943.0	1174293.0	1438672.0	1534681.0	1637968.0	1713221.0	1132299.0	1636559.0	1544513.0	1432953.0	1436198.0	1425749.0	946435.0	1184560.0	2183288.0	1114881.0	1248267.0	1623016.0	1699116.0	1604422.0	1599375.0	1628590.0	1444347.0	1355005.0	1634326.0	1578860.0	875092.0	1272995.0	1362869.0	1234447.0	1714623.0	1653524.0	1495817.0	1512113.0	1577052.0	1683166.0	1350736.0	1652994.0	1156607.0
CosteaPI_2017__SID713A005-11-90-0__bin.76	1258956.0	1041930.0	1050565.0	1251772.0	1103814.0	923452.0	1129617.0	1175452.0	1229553.0	1266569.0	881109.0	1198411.0	1163881.0	1091412.0	1077509.0	1086538.0	727251.0	916581.0	1114881.0	1456913.0	1006522.0	1200345.0	1267710.0	1194422.0	1190879.0	1231561.0	1118152.0	1033537.0	1227309.0	1202693.0	721143.0	1005055.0	1000188.0	894309.0	1274602.0	1232618.0	1155894.0	1143775.0	1166464.0	1227365.0	1037282.0	1240987.0	832660.0
BritoIL_2016__W1.1.ST__bin.13	1433025.0	1172861.0	1167128.0	1440401.0	1228702.0	1046530.0	1248976.0	1341593.0	1410568.0	1441642.0	1021476.0	1378497.0	1315285.0	1211252.0	1200012.0	1231345.0	803646.0	1024370.0	1248267.0	1006522.0	1958582.0	1336584.0	1442335.0	1381265.0	1352849.0	1381947.0	1223358.0	1165587.0	1378345.0	1349750.0	759818.0	1113961.0	1151673.0	1049839.0	1488475.0	1400904.0	1281071.0	1278697.0	1338928.0	1456467.0	1160687.0	1414097.0	941032.0
HMP_2012__SRS042628__bin.54	1857753.0	1473932.0	1500684.0	1867766.0	1687058.0	1308454.0	1633078.0	1797889.0	1762560.0	1849096.0	1231856.0	1742331.0	1805420.0	1650269.0	1595179.0	1585725.0	1015571.0	1275490.0	1623016.0	1200345.0	1336584.0	2301075.0	1866008.0	1807967.0	1825194.0	1895085.0	1680320.0	1451375.0	1812779.0	1811800.0	959886.0	1436879.0	1576711.0	1541297.0	1855763.0	1840524.0	1702938.0	1630615.0	1690408.0	1831812.0	1544032.0	2032483.0	1157179.0
YuJ_2015__SZAXPI003413-4__bin.43	2125402.0	1597446.0	1523810.0	2155938.0	1698363.0	1332587.0	1677059.0	1811331.0	1943640.0	2072092.0	1271820.0	1884509.0	1868958.0	1714525.0	1627412.0	1625032.0	1069659.0	1391855.0	1699116.0	1267710.0	1442335.0	1866008.0	2790388.0	1844764.0	1919557.0	1937239.0	1679668.0	1586419.0	1884752.0	1917415.0	994998.0	1481940.0	1643904.0	1426198.0	2098231.0	1945200.0	1745782.0	1766266.0	1817727.0	2041844.0	1559428.0	2021434.0	1214625.0
XieH_2016__YSZC12003_36699__bin.3	1839940.0	1472986.0	1470802.0	1821460.0	1615825.0	1312597.0	1593635.0	1747313.0	1744207.0	1814961.0	1199082.0	1724745.0	1699243.0	1604051.0	1590330.0	1588583.0	999563.0	1274378.0	1604422.0	1194422.0	1381265.0	1807967.0	1844764.0	2429949.0	1795120.0	1810329.0	1626623.0	1452883.0	1827509.0	1772303.0	955145.0	1395570.0	1552078.0	1381681.0	1815450.0	1869538.0	1675424.0	1617703.0	1669075.0	1840060.0	1484251.0	1871598.0	1150289.0
ZeeviD_2015__PNP_Main_625__bin.19	1902858.0	1479399.0	1463995.0	1912580.0	1618455.0	1307141.0	1612117.0	1732359.0	1776534.0	1882114.0	1229252.0	1751034.0	1752421.0	1636779.0	1598117.0	1561838.0	1024960.0	1279348.0	1599375.0	1190879.0	1352849.0	1825194.0	1919557.0	1795120.0	2538684.0	1841476.0	1625705.0	1482975.0	1786021.0	1806051.0	957419.0	1415644.0	1540312.0	1371474.0	1872616.0	1827044.0	1683399.0	1625480.0	1710195.0	1860727.0	1512273.0	1909438.0	1144891.0
FerrettiP_2018__CA_C10032MS2544FE_t0M15__bin.10	1897147.0	1501928.0	1550230.0	1963288.0	1734875.0	1354995.0	1680286.0	1805502.0	1800164.0	1896419.0	1260584.0	1780512.0	1828946.0	1719073.0	1586645.0	1610311.0	1032611.0	1312603.0	1628590.0	1231561.0	1381947.0	1895085.0	1937239.0	1810329.0	1841476.0	2364837.0	1673675.0	1492926.0	1826470.0	1892698.0	996374.0	1453072.0	1625669.0	1424944.0	1919852.0	1913361.0	1768297.0	1659904.0	1731045.0	1854878.0	1576913.0	2018803.0	1144024.0
LiJ_2014__MH0391__bin.68	1680904.0	1354770.0	1375871.0	1646731.0	1530692.0	1220528.0	1516216.0	1609896.0	1620141.0	1679631.0	1114456.0	1569205.0	1572851.0	1489053.0	1444089.0	1448134.0	936521.0	1184212.0	1444347.0	1118152.0	1223358.0	1680320.0	1679668.0	1626623.0	1625705.0	1673675.0	1827129.0	1330543.0	1640263.0	1631066.0	887808.0	1333011.0	1444395.0	1270706.0	1679997.0	1664506.0	1539608.0	1491758.0	1571143.0	1659709.0	1386686.0	1722964.0	1017738.0
ZellerG_2014__CCIS44757994ST-4-0__bin.11	1586458.0	1274422.0	1208803.0	1576630.0	1336794.0	1126859.0	1316818.0	1419529.0	1514257.0	1587179.0	1044032.0	1477908.0	1445469.0	1330264.0	1308655.0	1287927.0	880122.0	1106306.0	1355005.0	1033537.0	1165587.0	1451375.0	1586419.0	1452883.0	1482975.0	1492926.0	1330543.0	2032900.0	1506381.0	1447500.0	816821.0	1211414.0	1249977.0	1124158.0	1572322.0	1522855.0	1391691.0	1391976.0	1479909.0	1526769.0	1224082.0	1520214.0	1019379.0
ZellerG_2014__CCIS11015875ST-4-0__bin.14	1896265.0	1532602.0	1497435.0	1881322.0	1628479.0	1321731.0	1625014.0	1752164.0	1820592.0	1901394.0	1232939.0	1795586.0	1713071.0	1639173.0	1559101.0	1591452.0	1035981.0	1312355.0	1634326.0	1227309.0	1378345.0	1812779.0	1884752.0	1827509.0	1786021.0	1826470.0	1640263.0	1506381.0	2138677.0	1789908.0	977036.0	1423111.0	1552464.0	1362278.0	1882401.0	1931640.0	1704799.0	1670673.0	1750341.0	1862850.0	1516465.0	1885809.0	1165874.0
CosteaPI_2017__pluto1-11-7-0__bin.43	1877563.0	1481564.0	1556608.0	1874173.0	1675443.0	1328499.0	1735196.0	1758113.0	1765525.0	1853607.0	1238517.0	1716583.0	1770083.0	1779536.0	1559383.0	1577854.0	1008677.0	1305735.0	1578860.0	1202693.0	1349750.0	1811800.0	1917415.0	1772303.0	1806051.0	1892698.0	1631066.0	1447500.0	1789908.0	2359348.0	972419.0	1409818.0	1700917.0	1356835.0	1883222.0	1843318.0	1789902.0	1634602.0	1698308.0	1822892.0	1608860.0	1965790.0	1110344.0
XieH_2016__YSZC12003_37137__bin.63	994562.0	824298.0	859659.0	978523.0	869250.0	749466.0	907936.0	937183.0	957780.0	981744.0	691356.0	930316.0	929597.0	873367.0	857026.0	867027.0	580469.0	724774.0	875092.0	721143.0	759818.0	959886.0	994998.0	955145.0	957419.0	996374.0	887808.0	816821.0	977036.0	972419.0	1169840.0	805842.0	854176.0	720958.0	993530.0	990709.0	932659.0	893700.0	921509.0	955338.0	838222.0	990056.0	635081.0
HeQ_2017__SZAXPI029584-102__bin.27	1470900.0	1217810.0	1212672.0	1468772.0	1375526.0	1090432.0	1300793.0	1400906.0	1410863.0	1468385.0	1006773.0	1395063.0	1402432.0	1286598.0	1249617.0	1264155.0	841801.0	1042620.0	1272995.0	1005055.0	1113961.0	1436879.0	1481940.0	1395570.0	1415644.0	1453072.0	1333011.0	1211414.0	1423111.0	1409818.0	805842.0	1612211.0	1213157.0	1115677.0	1474112.0	1428806.0	1342900.0	1318127.0	1353107.0	1428380.0	1214842.0	1484957.0	940808.0
VogtmannE_2016__MMRS77487595ST-27-0-0__bin.58	1617009.0	1267050.0	1343970.0	1586631.0	1461747.0	1128197.0	1470931.0	1526974.0	1534327.0	1586752.0	1080628.0	1487364.0	1548641.0	1552352.0	1354213.0	1355487.0	858557.0	1111670.0	1362869.0	1000188.0	1151673.0	1576711.0	1643904.0	1552078.0	1540312.0	1625669.0	1444395.0	1249977.0	1552464.0	1700917.0	854176.0	1213157.0	1891865.0	1135359.0	1615186.0	1607770.0	1549474.0	1425381.0	1467374.0	1609590.0	1362132.0	1631520.0	933933.0
ZeeviD_2015__PNP_Main_448__bin.21	1415199.0	1118000.0	1083673.0	1410687.0	1277773.0	994997.0	1219902.0	1357302.0	1318716.0	1392913.0	919395.0	1290276.0	1368104.0	1255660.0	1184297.0	1184889.0	777293.0	1003007.0	1234447.0	894309.0	1049839.0	1541297.0	1426198.0	1381681.0	1371474.0	1424944.0	1270706.0	1124158.0	1362278.0	1356835.0	720958.0	1115677.0	1135359.0	1843110.0	1446914.0	1391414.0	1274033.0	1214502.0	1252831.0	1425937.0	1118900.0	1556386.0	922135.0
LiJ_2017__nHM512811__bin.17	2158824.0	1611625.0	1524103.0	2117069.0	1716034.0	1336471.0	1674725.0	1802448.0	1963785.0	2072128.0	1272479.0	1931270.0	1841783.0	1716261.0	1612404.0	1630554.0	1072959.0	1373302.0	1714623.0	1274602.0	1488475.0	1855763.0	2098231.0	1815450.0	1872616.0	1919852.0	1679997.0	1572322.0	1882401.0	1883222.0	993530.0	1474112.0	1615186.0	1446914.0	2424869.0	1924961.0	1749309.0	1778077.0	1830127.0	2043776.0	1558670.0	1949141.0	1213776.0
ZellerG_2014__CCIS46047672ST-4-0__bin.1	1919722.0	1542853.0	1504543.0	1938162.0	1676093.0	1328616.0	1634178.0	1793371.0	1843204.0	1905895.0	1215470.0	1786595.0	1774998.0	1673890.0	1582489.0	1632419.0	1053391.0	1340989.0	1653524.0	1232618.0	1400904.0	1840524.0	1945200.0	1869538.0	1827044.0	1913361.0	1664506.0	1522855.0	1931640.0	1843318.0	990709.0	1428806.0	1607770.0	1391414.0	1924961.0	2444337.0	1728694.0	1685629.0	1756424.0	1902785.0	1539586.0	1960420.0	1170581.0
VogtmannE_2016__MMRS44197125ST-27-0-0__bin.43	1724783.0	1398470.0	1485056.0	1719900.0	1565642.0	1274072.0	1611791.0	1673598.0	1677876.0	1730772.0	1186790.0	1631420.0	1675434.0	1660340.0	1482164.0	1514468.0	963117.0	1229062.0	1495817.0	1155894.0	1281071.0	1702938.0	1745782.0	1675424.0	1683399.0	1768297.0	1539608.0	1391691.0	1704799.0	1789902.0	932659.0	1342900.0	1549474.0	1274033.0	1749309.0	1728694.0	2171918.0	1543085.0	1610661.0	1693254.0	1485064.0	1760639.0	1065085.0
BritoIL_2016__W2.67.ST__bin.48	1774795.0	1466068.0	1368349.0	1742782.0	1511015.0	1203447.0	1484380.0	1574341.0	1759293.0	1816102.0	1143997.0	1675628.0	1575293.0	1480454.0	1446018.0	1437100.0	956589.0	1245455.0	1512113.0	1143775.0	1278697.0	1630615.0	1766266.0	1617703.0	1625480.0	1659904.0	1491758.0	1391976.0	1670673.0	1634602.0	893700.0	1318127.0	1425381.0	1214502.0	1778077.0	1685629.0	1543085.0	2032745.0	1605635.0	1767753.0	1403499.0	1715214.0	1078174.0
XieH_2016__YSZC12003_37798__bin.56	1832941.0	1442154.0	1412996.0	1809112.0	1569990.0	1267941.0	1546515.0	1665616.0	1771074.0	1840714.0	1176026.0	1729953.0	1678747.0	1560777.0	1507822.0	1509857.0	993080.0	1270328.0	1577052.0	1166464.0	1338928.0	1690408.0	1817727.0	1669075.0	1710195.0	1731045.0	1571143.0	1479909.0	1750341.0	1698308.0	921509.0	1353107.0	1467374.0	1252831.0	1830127.0	1756424.0	1610661.0	1605635.0	2169240.0	1773037.0	1439177.0	1777131.0	1123309.0
XieH_2016__YSZC12003_37207R1__bin.4	2039440.0	1601695.0	1486658.0	1996681.0	1690235.0	1313604.0	1624148.0	1788612.0	1930275.0	2072362.0	1250053.0	1869149.0	1815416.0	1671433.0	1625027.0	1589161.0	1057415.0	1332986.0	1683166.0	1227365.0	1456467.0	1831812.0	2041844.0	1840060.0	1860727.0	1854878.0	1659709.0	1526769.0	1862850.0	1822892.0	955338.0	1428380.0	1609590.0	1425937.0	2043776.0	1902785.0	1693254.0	1767753.0	1773037.0	2458564.0	1535508.0	1938999.0	1194080.0
CosteaPI_2017__SID713B061-11-90-0__bin.58	1551302.0	1244334.0	1317518.0	1527987.0	1406707.0	1139632.0	1429344.0	1500448.0	1502013.0	1550842.0	1088438.0	1463532.0	1482937.0	1429818.0	1322957.0	1347712.0	855699.0	1118035.0	1350736.0	1037282.0	1160687.0	1544032.0	1559428.0	1484251.0	1512273.0	1576913.0	1386686.0	1224082.0	1516465.0	1608860.0	838222.0	1214842.0	1362132.0	1118900.0	1558670.0	1539586.0	1485064.0	1403499.0	1439177.0	1535508.0	1764123.0	1612178.0	948219.0
NielsenHB_2014__V1_UC35_4__bin.63	1944334.0	1535193.0	1555228.0	2003267.0	1748113.0	1369904.0	1701527.0	1870865.0	1849412.0	1944253.0	1278139.0	1832433.0	1875778.0	1714176.0	1640619.0	1667047.0	1052461.0	1335653.0	1652994.0	1240987.0	1414097.0	2032483.0	2021434.0	1871598.0	1909438.0	2018803.0	1722964.0	1520214.0	1885809.0	1965790.0	990056.0	1484957.0	1631520.0	1556386.0	1949141.0	1960420.0	1760639.0	1715214.0	1777131.0	1938999.0	1612178.0	2659314.0	1160351.0
