	QinJ_2012__DLM022__bin.16	BritoIL_2016__W1.13.ST__bin.62	LiJ_2014__O2.UC48-1__bin.24	CosteaPI_2017__SID713A062-11-90-0__bin.59	QinJ_2012__T2D-051__bin.12	VogtmannE_2016__MMRS77018926ST-27-0-0__bin.32	ZeeviD_2015__PNP_Main_706__bin.57	XieH_2016__YSZC12003_37255__bin.24	BritoIL_2016__W2.43.ST__bin.21	BritoIL_2016__WL.14.ST__bin.72	Obregon-TitoAJ_2015__SM31__bin.23	QinJ_2012__T2D-049__bin.53	ZeeviD_2015__PNP_Main_203__bin.18	GeversD_2014__SKBSTL013__bin.55	LiJ_2014__MH0252__bin.78	ZellerG_2014__CCIS45793747ST-4-0__bin.81	ZeeviD_2015__PNP_Main_531__bin.7	XieH_2016__YSZC12003_37182R1__bin.25	CosteaPI_2017__SID713A052-11-90-0__bin.33	CosteaPI_2017__SID713A005-11-90-0__bin.76	BritoIL_2016__W1.1.ST__bin.13	HMP_2012__SRS042628__bin.54	YuJ_2015__SZAXPI003413-4__bin.43	XieH_2016__YSZC12003_36699__bin.3	ZeeviD_2015__PNP_Main_625__bin.19	FerrettiP_2018__CA_C10032MS2544FE_t0M15__bin.10	LiJ_2014__MH0391__bin.68	ZellerG_2014__CCIS44757994ST-4-0__bin.11	ZellerG_2014__CCIS11015875ST-4-0__bin.14	CosteaPI_2017__pluto1-11-7-0__bin.43	XieH_2016__YSZC12003_37137__bin.63	HeQ_2017__SZAXPI029584-102__bin.27	VogtmannE_2016__MMRS77487595ST-27-0-0__bin.58	ZeeviD_2015__PNP_Main_448__bin.21	LiJ_2017__nHM512811__bin.17	ZellerG_2014__CCIS46047672ST-4-0__bin.1	VogtmannE_2016__MMRS44197125ST-27-0-0__bin.43	BritoIL_2016__W2.67.ST__bin.48	XieH_2016__YSZC12003_37798__bin.56	XieH_2016__YSZC12003_37207R1__bin.4	CosteaPI_2017__SID713B061-11-90-0__bin.58	NielsenHB_2014__V1_UC35_4__bin.63	CosteaPI_2017__SID713A052-11-0-0__bin.94
Obregon-TitoAJ_2015__SM31__bin.23	38195.0	32036.0	31939.0	38279.0	33760.0	29512.0	34590.0	35473.0	36819.0	38036.0	0.0	36795.0	35513.0	33463.0	32238.0	33309.0	23605.0	29358.0	34215.0	25435.0	31900.0	36614.0	38677.0	36141.0	36377.0	37011.0	32765.0	30392.0	36341.0	36546.0	18922.0	31368.0	32689.0	27246.0	38592.0	36364.0	35140.0	34881.0	33986.0	37367.0	33002.0	37547.0	25311.0
QinJ_2012__T2D-049__bin.53	52334.0	42167.0	45245.0	52309.0	45842.0	38861.0	48251.0	49580.0	50254.0	52281.0	36795.0	0.0	50119.0	46898.0	45476.0	46686.0	31957.0	40612.0	47830.0	34666.0	41971.0	51147.0	51103.0	51170.0	51455.0	52996.0	45682.0	41713.0	51836.0	52014.0	25884.0	40350.0	44425.0	38136.0	51943.0	52813.0	49049.0	46094.0	47857.0	52608.0	45190.0	53272.0	34428.0
ZeeviD_2015__PNP_Main_203__bin.18	52589.0	42162.0	41519.0	52469.0	47476.0	37202.0	44970.0	47342.0	50597.0	51344.0	35513.0	50119.0	0.0	45744.0	42268.0	44537.0	29496.0	38046.0	45096.0	33081.0	40464.0	49267.0	53772.0	49058.0	48526.0	51018.0	42490.0	40790.0	47245.0	49148.0	23862.0	41786.0	42941.0	36672.0	53923.0	49728.0	47754.0	46510.0	44922.0	51199.0	42969.0	50401.0	33022.0
GeversD_2014__SKBSTL013__bin.55	52477.0	40970.0	17291.0	52785.0	44403.0	29311.0	17690.0	45195.0	49049.0	51418.0	33463.0	46898.0	45744.0	0.0	39440.0	42753.0	27224.0	36793.0	42835.0	31467.0	37455.0	45880.0	51984.0	46167.0	46462.0	47177.0	39243.0	37835.0	46161.0	16891.0	12824.0	39863.0	2461.0	34257.0	52007.0	46277.0	8728.0	44965.0	43162.0	48053.0	20390.0	47681.0	31369.0
LiJ_2014__MH0252__bin.78	48026.0	38914.0	36927.0	48875.0	41275.0	32974.0	39908.0	41154.0	44548.0	46086.0	32238.0	45476.0	42268.0	39440.0	0.0	38890.0	27003.0	34815.0	40409.0	30397.0	35945.0	44264.0	46797.0	43101.0	42963.0	44489.0	38759.0	35141.0	42302.0	43080.0	21911.0	37408.0	37350.0	30928.0	47391.0	43444.0	41734.0	41758.0	39123.0	44082.0	37532.0	45647.0	29962.0
ZellerG_2014__CCIS45793747ST-4-0__bin.81	48736.0	39716.0	38265.0	49743.0	42449.0	34122.0	40986.0	44703.0	46667.0	48710.0	33309.0	46686.0	44537.0	42753.0	38890.0	0.0	27660.0	36856.0	41678.0	30764.0	38010.0	45068.0	49151.0	46243.0	44647.0	45935.0	40381.0	37189.0	44549.0	44939.0	22995.0	38573.0	38560.0	33206.0	48918.0	45905.0	44084.0	43509.0	42525.0	46045.0	39446.0	47420.0	30713.0
ZeeviD_2015__PNP_Main_531__bin.7	34343.0	28221.0	25737.0	34023.0	28871.0	24721.0	29121.0	29475.0	31762.0	33049.0	23605.0	31957.0	29496.0	27224.0	27003.0	27660.0	0.0	26355.0	29710.0	22375.0	25610.0	30917.0	33568.0	31285.0	30722.0	31012.0	27421.0	26476.0	30869.0	30173.0	16435.0	27417.0	26018.0	23119.0	33795.0	30793.0	29086.0	30133.0	28516.0	32356.0	26258.0	31754.0	22509.0
XieH_2016__YSZC12003_37182R1__bin.25	42943.0	35385.0	35150.0	42491.0	37506.0	31889.0	39195.0	39130.0	41416.0	42113.0	29358.0	40612.0	38046.0	36793.0	34815.0	36856.0	26355.0	0.0	38014.0	27936.0	32241.0	40113.0	43057.0	40527.0	40208.0	40980.0	37166.0	32598.0	41154.0	41450.0	21165.0	34297.0	34914.0	31140.0	43413.0	42272.0	39074.0	39406.0	38019.0	40823.0	36601.0	41882.0	28364.0
CosteaPI_2017__SID713A052-11-90-0__bin.33	47351.0	39131.0	40879.0	47786.0	42331.0	36173.0	44174.0	44677.0	46524.0	47465.0	34215.0	47830.0	45096.0	42835.0	40409.0	41678.0	29710.0	38014.0	0.0	31230.0	37160.0	47492.0	48354.0	47258.0	45749.0	48195.0	41940.0	36869.0	46575.0	47402.0	23799.0	38276.0	40859.0	36413.0	48439.0	47734.0	44350.0	43461.0	42349.0	48373.0	40610.0	49015.0	2597.0
CosteaPI_2017__SID713A005-11-90-0__bin.76	35867.0	29893.0	30041.0	35799.0	31474.0	26906.0	33104.0	33050.0	35096.0	35644.0	25435.0	34666.0	33081.0	31467.0	30397.0	30764.0	22375.0	27936.0	31230.0	0.0	29605.0	34124.0	36841.0	34391.0	33508.0	34465.0	31442.0	28270.0	34002.0	34370.0	19134.0	30248.0	28060.0	25345.0	36779.0	34698.0	33197.0	32956.0	31376.0	34256.0	30652.0	34643.0	24200.0
BritoIL_2016__W1.1.ST__bin.13	42886.0	34148.0	36551.0	42947.0	37038.0	32681.0	38940.0	40181.0	41777.0	40683.0	31900.0	41971.0	40464.0	37455.0	35945.0	38010.0	25610.0	32241.0	37160.0	29605.0	0.0	40878.0	43021.0	43040.0	40638.0	43029.0	36882.0	33341.0	41303.0	42114.0	21200.0	34308.0	35661.0	30804.0	43860.0	42399.0	39198.0	37197.0	37025.0	41955.0	35940.0	42722.0	28421.0
HMP_2012__SRS042628__bin.54	54119.0	43833.0	42641.0	55426.0	47900.0	37819.0	47295.0	48833.0	52117.0	54314.0	36614.0	51147.0	49267.0	45880.0	44264.0	45068.0	30917.0	40113.0	47492.0	34124.0	40878.0	0.0	54524.0	51489.0	51504.0	51403.0	45119.0	40110.0	49343.0	50499.0	25134.0	42984.0	43728.0	38555.0	54681.0	51061.0	47958.0	47846.0	44472.0	52716.0	44025.0	54505.0	34845.0
YuJ_2015__SZAXPI003413-4__bin.43	57494.0	43780.0	46273.0	58166.0	46777.0	41182.0	51871.0	52799.0	52373.0	57461.0	38677.0	51103.0	53772.0	51984.0	46797.0	49151.0	33568.0	43057.0	48354.0	36841.0	43021.0	54524.0	0.0	55175.0	56404.0	58168.0	48256.0	43538.0	54382.0	58094.0	27141.0	41795.0	48527.0	40526.0	56149.0	56355.0	52099.0	47774.0	49423.0	57514.0	47396.0	58746.0	35244.0
XieH_2016__YSZC12003_36699__bin.3	55202.0	44200.0	42760.0	55593.0	47177.0	38343.0	46565.0	46524.0	52277.0	52691.0	36141.0	51170.0	49058.0	46167.0	43101.0	46243.0	31285.0	40527.0	47258.0	34391.0	43040.0	51489.0	55175.0	0.0	49874.0	52113.0	44998.0	39974.0	51012.0	50274.0	24800.0	42532.0	44070.0	37684.0	54039.0	51694.0	49350.0	48304.0	44904.0	52226.0	43006.0	52039.0	34893.0
ZeeviD_2015__PNP_Main_625__bin.19	55496.0	43200.0	41540.0	56717.0	46439.0	37594.0	46488.0	47316.0	51241.0	54227.0	36377.0	51455.0	48526.0	46462.0	42963.0	44647.0	30722.0	40208.0	45749.0	33508.0	40638.0	51504.0	56404.0	49874.0	0.0	51067.0	43908.0	40210.0	48710.0	51244.0	24771.0	42406.0	42824.0	36295.0	53995.0	49297.0	47862.0	47470.0	45863.0	51291.0	43521.0	52523.0	34200.0
FerrettiP_2018__CA_C10032MS2544FE_t0M15__bin.10	55976.0	45028.0	43715.0	57256.0	49909.0	40775.0	48386.0	51153.0	52531.0	56061.0	37011.0	52996.0	51018.0	47177.0	44489.0	45935.0	31012.0	40980.0	48195.0	34465.0	43029.0	51403.0	58168.0	52113.0	51067.0	0.0	46191.0	40788.0	51056.0	52155.0	25588.0	43055.0	43751.0	38760.0	57317.0	53252.0	48920.0	49539.0	46832.0	53350.0	44753.0	53865.0	34612.0
LiJ_2014__MH0391__bin.68	48670.0	39459.0	36474.0	47406.0	43631.0	34888.0	40619.0	43492.0	46483.0	47847.0	32765.0	45682.0	42490.0	39243.0	38759.0	40381.0	27421.0	37166.0	41940.0	31442.0	36882.0	45119.0	48256.0	44998.0	43908.0	46191.0	0.0	36100.0	44675.0	41974.0	21826.0	39353.0	37628.0	10964.0	48299.0	45465.0	41087.0	43328.0	41486.0	46657.0	38173.0	46229.0	30870.0
ZellerG_2014__CCIS44757994ST-4-0__bin.11	43764.0	35390.0	34924.0	43429.0	37166.0	33137.0	38618.0	38496.0	41550.0	41811.0	30392.0	41713.0	40790.0	37835.0	35141.0	37189.0	26476.0	32598.0	36869.0	28270.0	33341.0	40110.0	43538.0	39974.0	40210.0	40788.0	36100.0	0.0	40422.0	40884.0	21593.0	35441.0	35483.0	29897.0	43163.0	41767.0	40220.0	38566.0	36956.0	40818.0	35343.0	41330.0	28189.0
ZellerG_2014__CCIS11015875ST-4-0__bin.14	54013.0	43852.0	41996.0	54154.0	47516.0	38406.0	46403.0	47978.0	51718.0	53315.0	36341.0	51836.0	47245.0	46161.0	42302.0	44549.0	30869.0	41154.0	46575.0	34002.0	41303.0	49343.0	54382.0	51012.0	48710.0	51056.0	44675.0	40422.0	0.0	48940.0	24987.0	42981.0	42790.0	37183.0	53893.0	18215.0	48253.0	47628.0	44863.0	51201.0	43349.0	51741.0	34567.0
CosteaPI_2017__pluto1-11-7-0__bin.43	56734.0	43847.0	9632.0	57153.0	50044.0	32036.0	12018.0	48604.0	52355.0	55272.0	36546.0	52014.0	49148.0	16891.0	43080.0	44939.0	30173.0	41450.0	47402.0	34370.0	42114.0	50499.0	58094.0	50274.0	51244.0	52155.0	41974.0	40884.0	48940.0	0.0	17607.0	43039.0	14751.0	36370.0	57886.0	51016.0	20828.0	48191.0	46568.0	52314.0	16173.0	54813.0	33969.0
XieH_2016__YSZC12003_37137__bin.63	27383.0	22150.0	16945.0	27352.0	23484.0	18209.0	17085.0	23201.0	26043.0	26608.0	18922.0	25884.0	23862.0	12824.0	21911.0	22995.0	16435.0	21165.0	23799.0	19134.0	21200.0	25134.0	27141.0	24800.0	24771.0	25588.0	21826.0	21593.0	24987.0	17607.0	0.0	23084.0	12165.0	18108.0	27606.0	25266.0	15170.0	24717.0	22584.0	25471.0	17624.0	26068.0	17885.0
HeQ_2017__SZAXPI029584-102__bin.27	41653.0	35858.0	38051.0	40984.0	17299.0	34235.0	41496.0	41564.0	40586.0	42328.0	31368.0	40350.0	41786.0	39863.0	37408.0	38573.0	27417.0	34297.0	38276.0	30248.0	34308.0	42984.0	41795.0	42532.0	42406.0	43055.0	39353.0	35441.0	42981.0	43039.0	23084.0	0.0	36957.0	32857.0	41269.0	43418.0	41702.0	38909.0	39455.0	42484.0	37854.0	43818.0	29609.0
VogtmannE_2016__MMRS77487595ST-27-0-0__bin.58	48232.0	37652.0	16086.0	47739.0	42367.0	27464.0	15459.0	42216.0	45635.0	47308.0	32689.0	44425.0	42941.0	2461.0	37350.0	38560.0	26018.0	34914.0	40859.0	28060.0	35661.0	43728.0	48527.0	44070.0	42824.0	43751.0	37628.0	35483.0	42790.0	14751.0	12165.0	36957.0	0.0	29983.0	48036.0	44584.0	7946.0	42910.0	39097.0	46024.0	19335.0	44905.0	28581.0
ZeeviD_2015__PNP_Main_448__bin.21	41573.0	33466.0	29853.0	41951.0	35500.0	28332.0	33631.0	35609.0	38030.0	40196.0	27246.0	38136.0	36672.0	34257.0	30928.0	33206.0	23119.0	31140.0	36413.0	25345.0	30804.0	38555.0	40526.0	37684.0	36295.0	38760.0	10964.0	29897.0	37183.0	36370.0	18108.0	32857.0	29983.0	0.0	41169.0	37552.0	35347.0	34953.0	32888.0	38706.0	30636.0	39934.0	27529.0
LiJ_2017__nHM512811__bin.17	40742.0	44673.0	45909.0	40824.0	45759.0	41270.0	52147.0	51844.0	53133.0	57460.0	38592.0	51943.0	53923.0	52007.0	47391.0	48918.0	33795.0	43413.0	48439.0	36779.0	43860.0	54681.0	56149.0	54039.0	53995.0	57317.0	48299.0	43163.0	53893.0	57886.0	27606.0	41269.0	48036.0	41169.0	0.0	55072.0	52987.0	49405.0	50800.0	56123.0	47243.0	56617.0	35716.0
ZellerG_2014__CCIS46047672ST-4-0__bin.1	55462.0	45207.0	42285.0	55552.0	48587.0	38607.0	45580.0	49610.0	52766.0	54813.0	36364.0	52813.0	49728.0	46277.0	43444.0	45905.0	30793.0	42272.0	47734.0	34698.0	42399.0	51061.0	56355.0	51694.0	49297.0	53252.0	45465.0	41767.0	18215.0	51016.0	25266.0	43418.0	44584.0	37552.0	55072.0	0.0	47964.0	48828.0	46192.0	53617.0	44757.0	54529.0	34731.0
VogtmannE_2016__MMRS44197125ST-27-0-0__bin.43	52218.0	41894.0	21106.0	52536.0	46076.0	31627.0	21782.0	47246.0	50902.0	51599.0	35140.0	49049.0	47754.0	8728.0	41734.0	44084.0	29086.0	39074.0	44350.0	33197.0	39198.0	47958.0	52099.0	49350.0	47862.0	48920.0	41087.0	40220.0	48253.0	20828.0	15170.0	41702.0	7946.0	35347.0	52987.0	47964.0	0.0	46762.0	43900.0	48562.0	23601.0	48380.0	32650.0
BritoIL_2016__W2.67.ST__bin.48	47828.0	12748.0	42053.0	47367.0	41894.0	37386.0	45347.0	46018.0	14492.0	20891.0	34881.0	46094.0	46510.0	44965.0	41758.0	43509.0	30133.0	39406.0	43461.0	32956.0	37197.0	47846.0	47774.0	48304.0	47470.0	49539.0	43328.0	38566.0	47628.0	48191.0	24717.0	38909.0	42910.0	34953.0	49405.0	48828.0	46762.0	0.0	43718.0	48788.0	42532.0	49703.0	31762.0
XieH_2016__YSZC12003_37798__bin.56	51105.0	39869.0	39334.0	49315.0	42577.0	36480.0	43347.0	42306.0	48608.0	49430.0	33986.0	47857.0	44922.0	43162.0	39123.0	42525.0	28516.0	38019.0	42349.0	31376.0	37025.0	44472.0	49423.0	44904.0	45863.0	46832.0	41486.0	36956.0	44863.0	46568.0	22584.0	39455.0	39097.0	32888.0	50800.0	46192.0	43900.0	43718.0	0.0	46590.0	40271.0	47318.0	31342.0
XieH_2016__YSZC12003_37207R1__bin.4	56231.0	44062.0	43272.0	55802.0	47405.0	38852.0	48216.0	49558.0	51765.0	54714.0	37367.0	52608.0	51199.0	48053.0	44082.0	46045.0	32356.0	40823.0	48373.0	34256.0	41955.0	52716.0	57514.0	52226.0	51291.0	53350.0	46657.0	40818.0	51201.0	52314.0	25471.0	42484.0	46024.0	38706.0	56123.0	53617.0	48562.0	48788.0	46590.0	0.0	44079.0	54551.0	35418.0
CosteaPI_2017__SID713B061-11-90-0__bin.58	46292.0	37491.0	15903.0	45875.0	41246.0	28901.0	17841.0	42898.0	45367.0	46523.0	33002.0	45190.0	42969.0	20390.0	37532.0	39446.0	26258.0	36601.0	40610.0	30652.0	35940.0	44025.0	47396.0	43006.0	43521.0	44753.0	38173.0	35343.0	43349.0	16173.0	17624.0	37854.0	19335.0	30636.0	47243.0	44757.0	23601.0	42532.0	40271.0	44079.0	0.0	45526.0	29554.0
NielsenHB_2014__V1_UC35_4__bin.63	56165.0	44658.0	43809.0	56303.0	49237.0	39829.0	48305.0	51113.0	53346.0	55197.0	37547.0	53272.0	50401.0	47681.0	45647.0	47420.0	31754.0	41882.0	49015.0	34643.0	42722.0	54505.0	58746.0	52039.0	52523.0	53865.0	46229.0	41330.0	51741.0	54813.0	26068.0	43818.0	44905.0	39934.0	56617.0	54529.0	48380.0	49703.0	47318.0	54551.0	45526.0	0.0	35415.0
CosteaPI_2017__SID713A052-11-0-0__bin.94	35969.0	30022.0	29195.0	36572.0	30773.0	27265.0	32419.0	32544.0	34468.0	34690.0	25311.0	34428.0	33022.0	31369.0	29962.0	30713.0	22509.0	28364.0	2597.0	24200.0	28421.0	34845.0	35244.0	34893.0	34200.0	34612.0	30870.0	28189.0	34567.0	33969.0	17885.0	29609.0	28581.0	27529.0	35716.0	34731.0	32650.0	31762.0	31342.0	35418.0	29554.0	35415.0	0.0
