	NielsenHB_2014__V1_UC11_5__bin.53	VincentC_2016__MM063__bin.1	FengQ_2015__SID531333__bin.47	NielsenHB_2014__V1_CD7_4__bin.41	IjazUZ_2017__S46_a_WGS__bin.2	FengQ_2015__SID531403__bin.12	BackhedF_2015__SID546_12M__bin.24	LiuW_2016__SRR3992985__bin.73	LiJ_2014__V1.CD3-0-PN__bin.36	BackhedF_2015__SID39_12M__bin.41	NielsenHB_2014__V1_UC11_0__bin.24	XieH_2016__YSZC12003_37179__bin.80	IjazUZ_2017__S102_a_WGS__bin.2	HeQ_2017__SZAXPI029501-104__bin.36	HeQ_2017__RSZAXPI003080-114__bin.30	BackhedF_2015__SID87_12M__bin.39	IjazUZ_2017__S48_a_WGS__bin.2	HeQ_2017__RSZAXPI003099-133__bin.1	RaymondF_2016__P20E7__bin.20	QinJ_2012__DLF012__bin.15	LoombaR_2017__SID1048_bav__bin.25	BackhedF_2015__SID546_4M__bin.12	FengQ_2015__SID31137__bin.48	GeversD_2014__SKBSTL041__bin.56	IjazUZ_2017__S47_a_WGS__bin.1	IjazUZ_2017__S56_a_WGS__bin.7	LomanNJ_2013__OBK1196__bin.13	BackhedF_2015__SID577_12M__bin.28	GeversD_2014__SKBSTL016__bin.45	FengQ_2015__SID31537__bin.55
RaymondF_2016__P20E7__bin.20	8464.0	15039.0	6889.0	7834.0	6728.0	7799.0	9748.0	10428.0	9027.0	9590.0	8086.0	7236.0	7372.0	7348.0	7208.0	9347.0	5091.0	6774.0	0.0	9751.0	7192.0	9850.0	14050.0	8641.0	8185.0	7678.0	6476.0	6330.0	5093.0	6359.0
QinJ_2012__DLF012__bin.15	10495.0	17130.0	11512.0	10037.0	7675.0	11438.0	10040.0	10003.0	10770.0	10843.0	9223.0	10617.0	12100.0	10802.0	10958.0	11080.0	5693.0	11915.0	9751.0	0.0	9697.0	10656.0	17232.0	7690.0	9195.0	5677.0	10682.0	8565.0	8127.0	10232.0
LoombaR_2017__SID1048_bav__bin.25	5987.0	15737.0	8256.0	5074.0	6195.0	4530.0	8997.0	12127.0	7093.0	8665.0	5920.0	4417.0	8836.0	4170.0	4665.0	8872.0	4797.0	8598.0	7192.0	9697.0	0.0	9404.0	14360.0	9435.0	7708.0	7113.0	7668.0	4438.0	6144.0	7299.0
BackhedF_2015__SID546_4M__bin.12	10211.0	15734.0	10585.0	9777.0	7602.0	11132.0	4225.0	12059.0	10722.0	8543.0	9466.0	10398.0	11196.0	10574.0	10567.0	9559.0	5910.0	10704.0	9850.0	10656.0	9404.0	0.0	15606.0	10744.0	8722.0	7735.0	10446.0	8455.0	8242.0	9748.0
FengQ_2015__SID31137__bin.48	15713.0	15112.0	12776.0	14723.0	13410.0	14563.0	14480.0	18616.0	15169.0	16102.0	13079.0	14531.0	14682.0	14337.0	14234.0	16691.0	10535.0	15457.0	14050.0	17232.0	14360.0	15606.0	0.0	16273.0	15142.0	12429.0	14908.0	10691.0	12441.0	14425.0
GeversD_2014__SKBSTL041__bin.56	10613.0	16801.0	9463.0	9640.0	7358.0	10168.0	10312.0	9015.0	10377.0	10173.0	9405.0	9344.0	10384.0	9170.0	9575.0	9761.0	5574.0	9936.0	8641.0	7690.0	9435.0	10744.0	16273.0	0.0	9144.0	340.0	9332.0	7704.0	8094.0	9365.0
IjazUZ_2017__S47_a_WGS__bin.1	7927.0	16098.0	9503.0	7792.0	279.0	9878.0	8431.0	11861.0	8749.0	8544.0	7475.0	9558.0	10260.0	9487.0	9578.0	8665.0	286.0	9188.0	8185.0	9195.0	7708.0	8722.0	15142.0	9144.0	0.0	6658.0	8407.0	7912.0	6977.0	8148.0
IjazUZ_2017__S56_a_WGS__bin.7	8418.0	13194.0	7060.0	7941.0	5693.0	8290.0	7606.0	6516.0	8365.0	7766.0	7276.0	7910.0	9089.0	8001.0	7523.0	6858.0	4076.0	7657.0	7678.0	5677.0	7113.0	7735.0	12429.0	340.0	6658.0	0.0	7006.0	6051.0	5472.0	7467.0
LomanNJ_2013__OBK1196__bin.13	8198.0	13600.0	7564.0	7645.0	6704.0	7687.0	9728.0	11971.0	8141.0	10063.0	8290.0	7233.0	7614.0	7496.0	7907.0	8655.0	4742.0	7730.0	6476.0	10682.0	7668.0	10446.0	14908.0	9332.0	8407.0	7006.0	0.0	5955.0	6552.0	7552.0
BackhedF_2015__SID577_12M__bin.28	5728.0	12146.0	6572.0	5396.0	7103.0	3512.0	7994.0	9423.0	5875.0	8134.0	5313.0	3544.0	6882.0	2828.0	3807.0	7906.0	4845.0	6300.0	6330.0	8565.0	4438.0	8455.0	10691.0	7704.0	7912.0	6051.0	5955.0	0.0	5450.0	6039.0
GeversD_2014__SKBSTL016__bin.45	7498.0	13010.0	6455.0	6770.0	6000.0	6776.0	7876.0	9176.0	7531.0	8133.0	6860.0	6476.0	6562.0	6087.0	6405.0	8592.0	4563.0	6231.0	5093.0	8127.0	6144.0	8242.0	12441.0	8094.0	6977.0	5472.0	6552.0	5450.0	0.0	6024.0
FengQ_2015__SID31537__bin.55	8951.0	14941.0	7908.0	8125.0	6782.0	7684.0	9202.0	11252.0	8719.0	9552.0	7746.0	7434.0	7892.0	7430.0	7242.0	9661.0	5368.0	7770.0	6359.0	10232.0	7299.0	9748.0	14425.0	9365.0	8148.0	7467.0	7552.0	6039.0	6024.0	0.0
