	ZeeviD_2015__PNP_Main_399__bin.40	ZeeviD_2015__PNP_Main_673__bin.15	FengQ_2015__SID31137__bin.38	ZeeviD_2015__PNP_Main_554__bin.3	SchirmerM_2016__G88838__bin.17	ZeeviD_2015__PNP_Main_297__bin.51	LiSS_2016__FAT_012-22-2-0__bin.44	Bengtsson-PalmeJ_2015__TRAVELRES58__bin.9	ZellerG_2014__CCMD46947453ST-21-0__bin.36	ZeeviD_2015__PNP_Main_329__bin.14	Bengtsson-PalmeJ_2015__TRAVELRES14__bin.37	ZeeviD_2015__PNP_Main_547__bin.17	HeQ_2017__SZAXPI029551-166__bin.67	BritoIL_2016__W3.16.ST__bin.17	CosteaPI_2017__SID713A055-11-0-0__bin.81	ZeeviD_2015__PNP_Main_332__bin.16	LiJ_2017__H1M511841__bin.27	LeChatelierE_2013__MH0288__bin.31	BritoIL_2016__M2.40.ST__bin.30	SchirmerM_2016__G89030__bin.25	SchirmerM_2016__G89127__bin.19	LeChatelierE_2013__MH0456__bin.68	BritoIL_2016__M1.22.ST__bin.92	BackhedF_2015__SID184_12M__bin.44	ZellerG_2014__CCIS35092938ST-4-0__bin.32	BritoIL_2016__M2.3.ST__bin.65	FengQ_2015__SID31333__bin.4	Bengtsson-PalmeJ_2015__TRAVELRES17__bin.73	SchirmerM_2016__G89023__bin.6	VatanenT_2016__G80547__bin.9	ZeeviD_2015__PNP_Main_165__bin.9	SchirmerM_2016__G88746__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES46__bin.88	Bengtsson-PalmeJ_2015__TRAVELRES66__bin.115	LeChatelierE_2013__MH0448__bin.77	ZeeviD_2015__PNP_Main_114__bin.9	ZeeviD_2015__PNP_Main_160__bin.36	BritoIL_2016__WL.44.ST__bin.44	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.111	ZeeviD_2015__PNP_Main_366__bin.36	ZeeviD_2015__PNP_Validation_42__bin.95	LiSS_2016__FAT_012-22-14-0__bin.25	ZeeviD_2015__PNP_Main_303__bin.2	ZeeviD_2015__PNP_Validation_77__bin.59
Bengtsson-PalmeJ_2015__TRAVELRES14__bin.37	31438.0	30072.0	50642.0	30548.0	44831.0	31719.0	24360.0	21815.0	32744.0	29089.0	0.0	21766.0	33068.0	28945.0	26416.0	32878.0	30077.0	32000.0	29751.0	28396.0	19097.0	25770.0	30651.0	25601.0	25075.0	11320.0	29181.0	31251.0	21623.0	21175.0	26531.0	18963.0	47252.0	29034.0	22601.0	31893.0	14004.0	25999.0	24750.0	27965.0	29070.0	31165.0	34272.0	28925.0
ZeeviD_2015__PNP_Main_547__bin.17	17069.0	18397.0	33985.0	16856.0	29246.0	16642.0	14751.0	20699.0	17057.0	14588.0	21766.0	0.0	19957.0	18776.0	15089.0	15212.0	20697.0	17486.0	20675.0	13081.0	9387.0	15043.0	18504.0	16492.0	15438.0	7334.0	16848.0	17805.0	13302.0	13375.0	15155.0	13190.0	32271.0	21083.0	14222.0	17964.0	5740.0	17403.0	15363.0	13600.0	15998.0	16416.0	17794.0	16023.0
HeQ_2017__SZAXPI029551-166__bin.67	28763.0	28755.0	47895.0	26605.0	35952.0	27146.0	23354.0	29308.0	30461.0	24242.0	33068.0	19957.0	0.0	27987.0	25591.0	29587.0	24967.0	29325.0	31656.0	24250.0	16930.0	22938.0	27837.0	26108.0	23057.0	10946.0	27433.0	29565.0	20222.0	20425.0	23855.0	18732.0	45900.0	34044.0	22061.0	28813.0	13216.0	25449.0	24757.0	23769.0	27285.0	27121.0	29743.0	26737.0
BritoIL_2016__W3.16.ST__bin.17	26263.0	24219.0	38767.0	25294.0	36737.0	25699.0	20913.0	27094.0	24715.0	22544.0	28945.0	18776.0	27987.0	0.0	22328.0	26779.0	26893.0	25257.0	20549.0	24067.0	16251.0	22872.0	21156.0	23123.0	21105.0	7909.0	23991.0	25248.0	19576.0	18492.0	22269.0	16430.0	37334.0	29875.0	19794.0	27370.0	12863.0	16441.0	21948.0	23066.0	23779.0	24921.0	27396.0	23491.0
CosteaPI_2017__SID713A055-11-0-0__bin.81	21766.0	23044.0	46138.0	21595.0	39909.0	21939.0	18181.0	24174.0	23292.0	19248.0	26416.0	15089.0	25591.0	22328.0	0.0	21855.0	25189.0	20062.0	23164.0	19589.0	13415.0	20216.0	23139.0	20312.0	17569.0	9920.0	18996.0	23048.0	16463.0	15827.0	19596.0	14043.0	40302.0	26946.0	17874.0	23837.0	12627.0	20420.0	21050.0	19090.0	20462.0	21669.0	24248.0	20253.0
ZeeviD_2015__PNP_Main_332__bin.16	25492.0	26813.0	50952.0	24760.0	42798.0	23238.0	19194.0	28328.0	25659.0	21343.0	32878.0	15212.0	29587.0	26779.0	21855.0	0.0	26257.0	26064.0	28970.0	20719.0	14211.0	20268.0	27186.0	23059.0	19897.0	11898.0	23560.0	27759.0	16876.0	17699.0	19396.0	16055.0	47218.0	31163.0	18088.0	24643.0	12426.0	23405.0	23050.0	17796.0	23908.0	25319.0	28446.0	22725.0
LiJ_2017__H1M511841__bin.27	26688.0	28430.0	44415.0	25601.0	34693.0	24372.0	23369.0	29144.0	25935.0	23639.0	30077.0	20697.0	24967.0	26893.0	25189.0	26257.0	0.0	26624.0	27993.0	24437.0	17819.0	23737.0	27824.0	23230.0	22689.0	9832.0	25951.0	27973.0	20395.0	20426.0	21764.0	18484.0	42102.0	30135.0	21170.0	27536.0	12179.0	23514.0	23649.0	22990.0	25207.0	27446.0	29173.0	24261.0
LeChatelierE_2013__MH0288__bin.31	27211.0	26995.0	49109.0	25269.0	41629.0	25926.0	19366.0	26840.0	28208.0	21860.0	32000.0	17486.0	29325.0	25257.0	20062.0	26064.0	26624.0	0.0	27265.0	21966.0	14497.0	18833.0	25917.0	20460.0	19702.0	11103.0	23852.0	25185.0	17899.0	17563.0	22464.0	14335.0	44698.0	31121.0	18076.0	26928.0	13819.0	21940.0	21003.0	21569.0	23736.0	24294.0	28738.0	22803.0
BritoIL_2016__M2.40.ST__bin.30	29283.0	26745.0	42799.0	26655.0	41258.0	28083.0	23750.0	28215.0	27840.0	24879.0	29751.0	20675.0	31656.0	20549.0	23164.0	28970.0	27993.0	27265.0	0.0	24449.0	17193.0	25503.0	24189.0	23331.0	21665.0	10003.0	24344.0	26353.0	20556.0	18975.0	23938.0	17146.0	39119.0	29943.0	19857.0	28397.0	14458.0	20607.0	22562.0	23074.0	25783.0	28406.0	29624.0	26383.0
SchirmerM_2016__G89030__bin.25	21863.0	23153.0	42694.0	20013.0	35475.0	20778.0	18515.0	24644.0	21779.0	18942.0	28396.0	13081.0	24250.0	24067.0	19589.0	20719.0	24437.0	21966.0	24449.0	0.0	4949.0	18542.0	23613.0	19969.0	18812.0	9450.0	20903.0	24300.0	15888.0	17154.0	18334.0	15804.0	39731.0	26457.0	16701.0	21850.0	8459.0	20050.0	19581.0	18211.0	19855.0	21570.0	22208.0	20405.0
SchirmerM_2016__G89127__bin.19	15067.0	15728.0	30317.0	13546.0	25953.0	13932.0	12311.0	17317.0	15171.0	12159.0	19097.0	9387.0	16930.0	16251.0	13415.0	14211.0	17819.0	14497.0	17193.0	4949.0	0.0	11858.0	15791.0	14274.0	13165.0	5526.0	13805.0	15734.0	12442.0	13086.0	12769.0	12194.0	28177.0	18756.0	11977.0	15454.0	5247.0	14426.0	13705.0	12370.0	13984.0	13497.0	15525.0	13935.0
LeChatelierE_2013__MH0456__bin.68	22172.0	23214.0	41854.0	22253.0	39850.0	21040.0	10597.0	24770.0	21954.0	13884.0	25770.0	15043.0	22938.0	22872.0	20216.0	20268.0	23737.0	18833.0	25503.0	18542.0	11858.0	0.0	23216.0	18723.0	18108.0	9110.0	18479.0	22634.0	15848.0	16214.0	17998.0	14412.0	38179.0	26620.0	15941.0	22328.0	11484.0	20600.0	20837.0	17336.0	19370.0	13815.0	25146.0	19489.0
BritoIL_2016__M1.22.ST__bin.92	27083.0	27412.0	46320.0	27113.0	41283.0	25484.0	20855.0	25362.0	27952.0	23604.0	30651.0	18504.0	27837.0	21156.0	23139.0	27186.0	27824.0	25917.0	24189.0	23613.0	15791.0	23216.0	0.0	20781.0	21885.0	8973.0	25452.0	26599.0	18270.0	18201.0	21307.0	15348.0	43243.0	30184.0	18649.0	27856.0	13275.0	17928.0	21568.0	22434.0	24894.0	27307.0	29401.0	22846.0
BackhedF_2015__SID184_12M__bin.44	24151.0	23402.0	42497.0	20525.0	35472.0	21262.0	18919.0	25002.0	23297.0	20251.0	25601.0	16492.0	26108.0	23123.0	20312.0	23059.0	23230.0	20460.0	23331.0	19969.0	14274.0	18723.0	20781.0	0.0	19116.0	9787.0	21332.0	20812.0	16794.0	16372.0	19162.0	13446.0	40396.0	26359.0	18277.0	23097.0	11288.0	20271.0	18063.0	19581.0	19665.0	21217.0	24432.0	20048.0
ZellerG_2014__CCIS35092938ST-4-0__bin.32	21034.0	21112.0	40996.0	20674.0	34434.0	19098.0	17322.0	23125.0	19455.0	16648.0	25075.0	15438.0	23057.0	21105.0	17569.0	19897.0	22689.0	19702.0	21665.0	18812.0	13165.0	18108.0	21885.0	19116.0	0.0	8438.0	19028.0	20996.0	15310.0	11872.0	18197.0	13442.0	38012.0	25326.0	16178.0	21617.0	10544.0	19705.0	18685.0	17374.0	19541.0	20450.0	22805.0	18579.0
BritoIL_2016__M2.3.ST__bin.65	11167.0	10781.0	19346.0	11240.0	16183.0	10909.0	9064.0	10637.0	11572.0	8951.0	11320.0	7334.0	10946.0	7909.0	9920.0	11898.0	9832.0	11103.0	10003.0	9450.0	5526.0	9110.0	8973.0	9787.0	8438.0	0.0	10490.0	10978.0	7079.0	8271.0	10519.0	6351.0	18184.0	12415.0	7832.0	11167.0	10535.0	7316.0	9637.0	9389.0	9602.0	9868.0	11435.0	9875.0
FengQ_2015__SID31333__bin.4	23682.0	25449.0	46812.0	21632.0	37898.0	22842.0	19203.0	25544.0	23467.0	19754.0	29181.0	16848.0	27433.0	23991.0	18996.0	23560.0	25951.0	23852.0	24344.0	20903.0	13805.0	18479.0	25452.0	21332.0	19028.0	10490.0	0.0	23347.0	16720.0	16543.0	19373.0	15141.0	42722.0	27625.0	16579.0	22717.0	10989.0	20632.0	19467.0	19272.0	21449.0	23551.0	23852.0	21613.0
Bengtsson-PalmeJ_2015__TRAVELRES17__bin.73	27888.0	27125.0	47851.0	25383.0	42024.0	25651.0	21152.0	26815.0	27421.0	22761.0	31251.0	17805.0	29565.0	25248.0	23048.0	27759.0	27973.0	25185.0	26353.0	24300.0	15734.0	22634.0	26599.0	20812.0	20996.0	10978.0	23347.0	0.0	18478.0	18646.0	22667.0	14771.0	44478.0	31676.0	18162.0	26427.0	12575.0	22000.0	1228.0	23367.0	23595.0	26468.0	28247.0	24772.0
SchirmerM_2016__G89023__bin.6	17924.0	18991.0	34680.0	16189.0	30704.0	16064.0	15786.0	21174.0	17126.0	14795.0	21623.0	13302.0	20222.0	19576.0	16463.0	16876.0	20395.0	17899.0	20556.0	15888.0	12442.0	15848.0	18270.0	16794.0	15310.0	7079.0	16720.0	18478.0	0.0	14594.0	15670.0	14032.0	33784.0	22107.0	15139.0	18454.0	7683.0	18154.0	16178.0	15283.0	16575.0	17624.0	18400.0	16728.0
VatanenT_2016__G80547__bin.9	17430.0	19726.0	35755.0	16723.0	30023.0	17481.0	16370.0	20560.0	16538.0	15901.0	21175.0	13375.0	20425.0	18492.0	15827.0	17699.0	20426.0	17563.0	18975.0	17154.0	13086.0	16214.0	18201.0	16372.0	11872.0	8271.0	16543.0	18646.0	14594.0	0.0	16016.0	12589.0	33704.0	20684.0	15458.0	18508.0	9135.0	17816.0	16630.0	16320.0	16416.0	17088.0	18604.0	16690.0
ZeeviD_2015__PNP_Main_165__bin.9	21243.0	21893.0	42811.0	17733.0	34997.0	19329.0	18517.0	24437.0	20631.0	18625.0	26531.0	15155.0	23855.0	22269.0	19596.0	19396.0	21764.0	22464.0	23938.0	18334.0	12769.0	17998.0	21307.0	19162.0	18197.0	10519.0	19373.0	22667.0	15670.0	16016.0	0.0	13468.0	39802.0	25440.0	16640.0	20319.0	10992.0	18922.0	19364.0	17726.0	19456.0	20276.0	22041.0	19235.0
SchirmerM_2016__G88746__bin.5	16509.0	16628.0	31985.0	15012.0	26544.0	15808.0	14109.0	18284.0	15519.0	15088.0	18963.0	13190.0	18732.0	16430.0	14043.0	16055.0	18484.0	14335.0	17146.0	15804.0	12194.0	14412.0	15348.0	13446.0	13442.0	6351.0	15141.0	14771.0	14032.0	12589.0	13468.0	0.0	30327.0	18860.0	13851.0	17233.0	7355.0	15216.0	13461.0	14484.0	15234.0	15534.0	16967.0	15634.0
Bengtsson-PalmeJ_2015__TRAVELRES46__bin.88	47122.0	42207.0	31423.0	44983.0	41382.0	45538.0	38894.0	42736.0	48368.0	39887.0	47252.0	32271.0	45900.0	37334.0	40302.0	47218.0	42102.0	44698.0	39119.0	39731.0	28177.0	38179.0	43243.0	40396.0	38012.0	18184.0	42722.0	44478.0	33784.0	33704.0	39802.0	30327.0	0.0	49390.0	33773.0	44270.0	24173.0	34918.0	39630.0	42148.0	44939.0	46450.0	45605.0	44078.0
Bengtsson-PalmeJ_2015__TRAVELRES66__bin.115	31252.0	28948.0	54580.0	31048.0	45027.0	31652.0	23944.0	26950.0	31616.0	26969.0	29034.0	21083.0	34044.0	29875.0	26946.0	31163.0	30135.0	31121.0	29943.0	26457.0	18756.0	26620.0	30184.0	26359.0	25326.0	12415.0	27625.0	31676.0	22107.0	20684.0	25440.0	18860.0	49390.0	0.0	22572.0	31775.0	15071.0	24600.0	25502.0	26795.0	30309.0	31298.0	33272.0	28165.0
LeChatelierE_2013__MH0448__bin.77	19084.0	20454.0	35629.0	17060.0	29528.0	17821.0	15578.0	22330.0	17924.0	15447.0	22601.0	14222.0	22061.0	19794.0	17874.0	18088.0	21170.0	18076.0	19857.0	16701.0	11977.0	15941.0	18649.0	18277.0	16178.0	7832.0	16579.0	18162.0	15139.0	15458.0	16640.0	13851.0	33773.0	22572.0	0.0	18677.0	9267.0	18125.0	16298.0	16850.0	17219.0	16598.0	18346.0	17838.0
ZeeviD_2015__PNP_Main_114__bin.9	26890.0	27434.0	50369.0	25782.0	40714.0	25671.0	21119.0	29551.0	27555.0	22177.0	31893.0	17964.0	28813.0	27370.0	23837.0	24643.0	27536.0	26928.0	28397.0	21850.0	15454.0	22328.0	27856.0	23097.0	21617.0	11167.0	22717.0	26427.0	18454.0	18508.0	20319.0	17233.0	44270.0	31775.0	18677.0	0.0	12622.0	22978.0	21972.0	20296.0	23734.0	26441.0	28466.0	22845.0
ZeeviD_2015__PNP_Main_160__bin.36	13789.0	14507.0	25354.0	12658.0	20947.0	12706.0	10125.0	12542.0	14805.0	10901.0	14004.0	5740.0	13216.0	12863.0	12627.0	12426.0	12179.0	13819.0	14458.0	8459.0	5247.0	11484.0	13275.0	11288.0	10544.0	10535.0	10989.0	12575.0	7683.0	9135.0	10992.0	7355.0	24173.0	15071.0	9267.0	12622.0	0.0	11006.0	13086.0	10005.0	11738.0	13969.0	14303.0	11882.0
BritoIL_2016__WL.44.ST__bin.44	23235.0	21142.0	36745.0	20165.0	32858.0	23310.0	19989.0	23811.0	23099.0	19935.0	25999.0	17403.0	25449.0	16441.0	20420.0	23405.0	23514.0	21940.0	20607.0	20050.0	14426.0	20600.0	17928.0	20271.0	19705.0	7316.0	20632.0	22000.0	18154.0	17816.0	18922.0	15216.0	34918.0	24600.0	18125.0	22978.0	11006.0	0.0	18943.0	19176.0	20164.0	21724.0	22978.0	19967.0
Bengtsson-PalmeJ_2015__TRAVELRES18__bin.111	24487.0	24396.0	41262.0	20913.0	36655.0	21118.0	18258.0	23102.0	22737.0	19910.0	24750.0	15363.0	24757.0	21948.0	21050.0	23050.0	23649.0	21003.0	22562.0	19581.0	13705.0	20837.0	21568.0	18063.0	18685.0	9637.0	19467.0	1228.0	16178.0	16630.0	19364.0	13461.0	39630.0	25502.0	16298.0	21972.0	13086.0	18943.0	0.0	19134.0	20033.0	22374.0	25303.0	20791.0
ZeeviD_2015__PNP_Main_366__bin.36	20176.0	23379.0	43432.0	19646.0	36298.0	19769.0	17576.0	24986.0	21257.0	18025.0	27965.0	13600.0	23769.0	23066.0	19090.0	17796.0	22990.0	21569.0	23074.0	18211.0	12370.0	17336.0	22434.0	19581.0	17374.0	9389.0	19272.0	23367.0	15283.0	16320.0	17726.0	14484.0	42148.0	26795.0	16850.0	20296.0	10005.0	19176.0	19134.0	0.0	18206.0	21090.0	21913.0	19388.0
ZeeviD_2015__PNP_Validation_42__bin.95	23718.0	24553.0	49784.0	23525.0	39460.0	22549.0	18427.0	26057.0	24879.0	19072.0	29070.0	15998.0	27285.0	23779.0	20462.0	23908.0	25207.0	23736.0	25783.0	19855.0	13984.0	19370.0	24894.0	19665.0	19541.0	9602.0	21449.0	23595.0	16575.0	16416.0	19456.0	15234.0	44939.0	30309.0	17219.0	23734.0	11738.0	20164.0	20033.0	18206.0	0.0	23884.0	25535.0	20340.0
LiSS_2016__FAT_012-22-14-0__bin.25	26503.0	26321.0	50337.0	25625.0	42771.0	23454.0	1828.0	27513.0	27631.0	12735.0	31165.0	16416.0	27121.0	24921.0	21669.0	25319.0	27446.0	24294.0	28406.0	21570.0	13497.0	13815.0	27307.0	21217.0	20450.0	9868.0	23551.0	26468.0	17624.0	17088.0	20276.0	15534.0	46450.0	31298.0	16598.0	26441.0	13969.0	21724.0	22374.0	21090.0	23884.0	0.0	29404.0	22720.0
ZeeviD_2015__PNP_Main_303__bin.2	29710.0	28209.0	52309.0	29095.0	45318.0	27744.0	20895.0	28073.0	29631.0	24012.0	34272.0	17794.0	29743.0	27396.0	24248.0	28446.0	29173.0	28738.0	29624.0	22208.0	15525.0	25146.0	29401.0	24432.0	22805.0	11435.0	23852.0	28247.0	18400.0	18604.0	22041.0	16967.0	45605.0	33272.0	18346.0	28466.0	14303.0	22978.0	25303.0	21913.0	25535.0	29404.0	0.0	24232.0
ZeeviD_2015__PNP_Validation_77__bin.59	24214.0	24700.0	46289.0	22096.0	40447.0	20720.0	19596.0	27936.0	23154.0	18933.0	28925.0	16023.0	26737.0	23491.0	20253.0	22725.0	24261.0	22803.0	26383.0	20405.0	13935.0	19489.0	22846.0	20048.0	18579.0	9875.0	21613.0	24772.0	16728.0	16690.0	19235.0	15634.0	44078.0	28165.0	17838.0	22845.0	11882.0	19967.0	20791.0	19388.0	20340.0	22720.0	24232.0	0.0
