	HMP_2012__SRS016541__bin.12	CM_cf__CF_TNFC048IS_t3M15__bin.10	HMP_2012__SRS045197__bin.65	HMP_2012__SRS014476__bin.16	HMP_2012__SRS013950__bin.23	CM_periimplantitis__SP_133SPT_T016__bin.2	HMP_2012__SRS011255__bin.46	VogtmannE_2016__MMRS81194191ST-27-0-0__bin.38	HMP_2012__SRS047113__bin.78	HMP_2012__SRS016746__bin.2	CM_periimplantitis__SP_162SPI_T016__bin.5	CM_periimplantitis__SP_143SPI_T016__bin.33	HMP_2012__SRS023938__bin.1	CM_periimplantitis__SP_123SPT_T016__bin.8	HMP_2012__SRS049318__bin.2	CM_periimplantitis__SP_502SPI_T016__bin.1	HMP_2012__SRS013170__bin.41	ZellerG_2014__CCIS14449628ST-4-0__bin.17	CM_periimplantitis__SP_287SPT_T016__bin.36	HMP_2012__SRS023964__bin.23	CM_periimplantitis__SP_163SPI_T016__bin.16	CM_periimplantitis__SP_201SPI_T016__bin.3	GeversD_2014__SKSTL0001__bin.9	CM_periimplantitis__SP_163SPT_T016__bin.32	HMP_2012__SRS017691__bin.60	CM_periimplantitis__SP_403SPT_T016__bin.4	CM_periimplantitis__SP_503SPT_T016__bin.9	HMP_2012__SRS019980__bin.24	CM_periimplantitis__SP_281SPI_T016__bin.25	HMP_2012__SRS014691__bin.17	HMP_2012__SRS017227__bin.83	CM_periimplantitis__SP_387SPT_T016__bin.3	HMP_2012__SRS024649__bin.3	HMP_2012__SRS022536__bin.41
CM_periimplantitis__SP_162SPI_T016__bin.5	40105.0	44138.0	26174.0	30358.0	46624.0	25402.0	42822.0	45380.0	32734.0	41289.0	0.0	46609.0	47567.0	41696.0	47257.0	44968.0	45139.0	33978.0	45878.0	46300.0	24376.0	45469.0	40905.0	21630.0	34701.0	46584.0	47387.0	45178.0	49394.0	43167.0	44123.0	25396.0	45687.0	46538.0
CM_periimplantitis__SP_143SPI_T016__bin.33	43631.0	46413.0	27959.0	31085.0	49872.0	26325.0	45426.0	50695.0	35406.0	44205.0	46609.0	0.0	50170.0	44262.0	45447.0	50947.0	46396.0	34424.0	45642.0	48423.0	43600.0	49434.0	43613.0	27612.0	37130.0	50469.0	47122.0	44396.0	52168.0	45508.0	48982.0	26158.0	49247.0	47483.0
HMP_2012__SRS023938__bin.1	43901.0	46391.0	28532.0	13700.0	50985.0	27670.0	45871.0	52086.0	36117.0	45873.0	47567.0	50170.0	0.0	46184.0	47800.0	51498.0	49597.0	36136.0	48394.0	50186.0	44558.0	48904.0	13405.0	18796.0	38280.0	50146.0	48565.0	47053.0	54434.0	16381.0	49963.0	26735.0	51701.0	47504.0
CM_periimplantitis__SP_123SPT_T016__bin.8	38518.0	40832.0	24566.0	31347.0	44157.0	23290.0	39656.0	42193.0	31700.0	40065.0	41696.0	44262.0	46184.0	0.0	39058.0	42547.0	42228.0	31816.0	40267.0	42681.0	39695.0	42124.0	40438.0	26150.0	32593.0	42852.0	41055.0	40594.0	45270.0	42543.0	42592.0	23881.0	42589.0	44608.0
HMP_2012__SRS049318__bin.2	38957.0	41047.0	26673.0	29364.0	43328.0	23620.0	40560.0	43666.0	32113.0	39758.0	47257.0	45447.0	47800.0	39058.0	0.0	43582.0	44098.0	32741.0	33084.0	44360.0	43021.0	44384.0	39617.0	26679.0	33733.0	44820.0	44091.0	42900.0	45468.0	41762.0	43207.0	24206.0	44415.0	45501.0
CM_periimplantitis__SP_502SPI_T016__bin.1	43443.0	48123.0	27667.0	31280.0	49782.0	28396.0	45433.0	22378.0	34717.0	44810.0	44968.0	50947.0	51498.0	42547.0	43582.0	0.0	48897.0	36588.0	45566.0	48942.0	42968.0	47827.0	45349.0	27177.0	38244.0	49503.0	46002.0	45153.0	56310.0	46200.0	48620.0	25453.0	49309.0	49656.0
HMP_2012__SRS013170__bin.41	43034.0	43019.0	27102.0	31497.0	48928.0	24659.0	43877.0	48990.0	34920.0	40590.0	45139.0	46396.0	49597.0	42228.0	44098.0	48897.0	0.0	33981.0	43640.0	3816.0	42307.0	47701.0	43451.0	27202.0	34119.0	48282.0	45259.0	44694.0	51495.0	45367.0	47672.0	25762.0	43689.0	48188.0
ZellerG_2014__CCIS14449628ST-4-0__bin.17	30630.0	32174.0	20336.0	22982.0	34455.0	20684.0	31907.0	34271.0	25123.0	31638.0	33978.0	34424.0	36136.0	31816.0	32741.0	36588.0	33981.0	0.0	33707.0	34264.0	33381.0	34525.0	31368.0	23376.0	27473.0	33654.0	33982.0	33918.0	36670.0	33010.0	33401.0	21235.0	34072.0	35756.0
CM_periimplantitis__SP_287SPT_T016__bin.36	42000.0	43284.0	26443.0	28862.0	44293.0	24488.0	44283.0	46901.0	32731.0	40549.0	45878.0	45642.0	48394.0	40267.0	33084.0	45566.0	43640.0	33707.0	0.0	43589.0	43261.0	46561.0	42210.0	26989.0	32994.0	43794.0	45008.0	44147.0	45773.0	42222.0	44665.0	24534.0	44426.0	45527.0
HMP_2012__SRS023964__bin.23	43221.0	43420.0	27218.0	30669.0	48838.0	25327.0	43466.0	49100.0	35321.0	41146.0	46300.0	48423.0	50186.0	42681.0	44360.0	48942.0	3816.0	34264.0	43589.0	0.0	43180.0	47480.0	43497.0	27415.0	34521.0	48241.0	46300.0	44690.0	51835.0	45581.0	47208.0	26020.0	44808.0	48486.0
CM_periimplantitis__SP_163SPI_T016__bin.16	38128.0	40880.0	26024.0	29236.0	43486.0	23945.0	39737.0	42606.0	32727.0	39099.0	24376.0	43600.0	44558.0	39695.0	43021.0	42968.0	42307.0	33381.0	43261.0	43180.0	0.0	43560.0	38805.0	14577.0	32448.0	41555.0	44128.0	42317.0	45511.0	41749.0	42986.0	24975.0	42999.0	43352.0
CM_periimplantitis__SP_201SPI_T016__bin.3	23213.0	45167.0	14710.0	30853.0	47260.0	26022.0	26869.0	51604.0	17380.0	43286.0	45469.0	49434.0	48904.0	42124.0	44384.0	47827.0	47701.0	34525.0	46561.0	47480.0	43560.0	0.0	42570.0	27088.0	35742.0	48411.0	45824.0	44200.0	50316.0	44567.0	23184.0	24514.0	46794.0	48124.0
GeversD_2014__SKSTL0001__bin.9	37679.0	42049.0	24848.0	7837.0	44170.0	25221.0	39299.0	46403.0	32341.0	40031.0	40905.0	43613.0	13405.0	40438.0	39617.0	45349.0	43451.0	31368.0	42210.0	43497.0	38805.0	42570.0	0.0	14026.0	33894.0	42259.0	41172.0	40235.0	48924.0	8026.0	43084.0	23495.0	44759.0	40595.0
CM_periimplantitis__SP_163SPT_T016__bin.32	24698.0	26531.0	17047.0	12713.0	27607.0	16116.0	25891.0	27572.0	21086.0	25796.0	21630.0	27612.0	18796.0	26150.0	26679.0	27177.0	27202.0	23376.0	26989.0	27415.0	14577.0	27088.0	14026.0	0.0	23460.0	26616.0	27448.0	26482.0	28358.0	16345.0	27398.0	17386.0	27417.0	29015.0
HMP_2012__SRS017691__bin.60	32368.0	34083.0	21020.0	23935.0	37556.0	19986.0	33249.0	37858.0	26282.0	31951.0	34701.0	37130.0	38280.0	32593.0	33733.0	38244.0	34119.0	27473.0	32994.0	34521.0	32448.0	35742.0	33894.0	23460.0	0.0	37507.0	35348.0	32157.0	38780.0	34391.0	36129.0	19427.0	35250.0	38512.0
CM_periimplantitis__SP_403SPT_T016__bin.4	43708.0	45065.0	27954.0	30483.0	47697.0	25574.0	44356.0	49054.0	34799.0	43742.0	46584.0	50469.0	50146.0	42852.0	44820.0	49503.0	48282.0	33654.0	43794.0	48241.0	41555.0	48411.0	42259.0	26616.0	37507.0	0.0	47308.0	44718.0	48335.0	45048.0	48357.0	24180.0	47432.0	49756.0
CM_periimplantitis__SP_503SPT_T016__bin.9	41565.0	43878.0	26375.0	30390.0	47727.0	25221.0	43574.0	46757.0	33407.0	41262.0	47387.0	47122.0	48565.0	41055.0	44091.0	46002.0	45259.0	33982.0	45008.0	46300.0	44128.0	45824.0	41172.0	27448.0	35348.0	47308.0	0.0	45725.0	48773.0	43962.0	45764.0	26285.0	46083.0	46550.0
HMP_2012__SRS019980__bin.24	39332.0	41394.0	26104.0	28939.0	43777.0	23999.0	41278.0	44940.0	33168.0	39569.0	45178.0	44396.0	47053.0	40594.0	42900.0	45153.0	44694.0	33918.0	44147.0	44690.0	42317.0	44200.0	40235.0	26482.0	32157.0	44718.0	45725.0	0.0	45263.0	41839.0	44281.0	25310.0	44224.0	44191.0
CM_periimplantitis__SP_281SPI_T016__bin.25	44490.0	49068.0	28386.0	33085.0	8941.0	30366.0	45789.0	54808.0	36984.0	47207.0	49394.0	52168.0	54434.0	45270.0	45468.0	56310.0	51495.0	36670.0	45773.0	51835.0	45511.0	50316.0	48924.0	28358.0	38780.0	48335.0	48773.0	45263.0	0.0	46904.0	50265.0	26198.0	53518.0	50181.0
HMP_2012__SRS014691__bin.17	40642.0	44011.0	27188.0	10967.0	46791.0	24923.0	42068.0	46420.0	34252.0	41920.0	43167.0	45508.0	16381.0	42543.0	41762.0	46200.0	45367.0	33010.0	42222.0	45581.0	41749.0	44567.0	8026.0	16345.0	34391.0	45048.0	43962.0	41839.0	46904.0	0.0	44093.0	25678.0	47003.0	43890.0
HMP_2012__SRS017227__bin.83	10602.0	44798.0	8785.0	30399.0	47311.0	25758.0	13780.0	47751.0	2102.0	42457.0	44123.0	48982.0	49963.0	42592.0	43207.0	48620.0	47672.0	33401.0	44665.0	47208.0	42986.0	23184.0	43084.0	27398.0	36129.0	48357.0	45764.0	44281.0	50265.0	44093.0	0.0	25062.0	47642.0	49078.0
CM_periimplantitis__SP_387SPT_T016__bin.3	22880.0	24517.0	15484.0	18111.0	25279.0	15219.0	23468.0	25280.0	19289.0	24660.0	25396.0	26158.0	26735.0	23881.0	24206.0	25453.0	25762.0	21235.0	24534.0	26020.0	24975.0	24514.0	23495.0	17386.0	19427.0	24180.0	26285.0	25310.0	26198.0	25678.0	25062.0	0.0	25486.0	26630.0
HMP_2012__SRS024649__bin.3	42498.0	27253.0	27200.0	32254.0	49483.0	16134.0	43075.0	50350.0	34797.0	28422.0	45687.0	49247.0	51701.0	42589.0	44415.0	49309.0	43689.0	34072.0	44426.0	44808.0	42999.0	46794.0	44759.0	27417.0	35250.0	47432.0	46083.0	44224.0	53518.0	47003.0	47642.0	25486.0	0.0	48943.0
HMP_2012__SRS022536__bin.41	43437.0	46792.0	28890.0	30170.0	48589.0	27455.0	45535.0	50187.0	35945.0	45178.0	46538.0	47483.0	47504.0	44608.0	45501.0	49656.0	48188.0	35756.0	45527.0	48486.0	43352.0	48124.0	40595.0	29015.0	38512.0	49756.0	46550.0	44191.0	50181.0	43890.0	49078.0	26630.0	48943.0	0.0
