	ChengpingW_2017__AS15raw__bin.20	LiJ_2017__H3M515128__bin.7	ZellerG_2014__CCMD40701343ST-21-0__bin.43	BackhedF_2015__SID172_12M__bin.11	LiJ_2017__nHM511615__bin.25	GeversD_2014__SKBSTL036__bin.19	QinJ_2012__T2D-048__bin.10	LiJ_2017__H1M513912__bin.21	ZeeviD_2015__PNP_Main_481__bin.1	CosteaPI_2017__SID713A009-11-90-0__bin.91	YuJ_2015__SZAXPI015226-14__bin.24	LiJ_2017__H1M513820__bin.13	QinN_2014__LD-85__bin.36	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.9	QinJ_2012__CON-086__bin.7	WenC_2017__N253__bin.35	ZeeviD_2015__PNP_Main_397__bin.2	QinJ_2012__CON-076__bin.12	QinJ_2012__CON-016__bin.25	GeversD_2014__SKBSTL013__bin.56	XieH_2016__YSZC12003_37204__bin.13	QinJ_2012__T2D-086__bin.11	YuJ_2015__SZAXPI015258-57__bin.46	CosteaPI_2017__scavenger-11-7-0__bin.39	CosteaPI_2017__SID713A030-11-90-0__bin.46	LeChatelierE_2013__MH0419__bin.20	QinJ_2012__CON-084__bin.19	YuJ_2015__SZAXPI015222-123__bin.4	ZeeviD_2015__PNP_Validation_4__bin.42	QinN_2014__HD-16__bin.59	GeversD_2014__SKBSTL069__bin.74	QinN_2014__LD-97__bin.60	FengQ_2015__SID530623__bin.9	QinN_2014__HD-22__bin.50	ChengpingW_2017__AS138raw__bin.24	ZellerG_2014__MMPU72854103ST__bin.27
YuJ_2015__SZAXPI015226-14__bin.24	28489.0	41219.0	39916.0	33522.0	42659.0	35731.0	34390.0	29000.0	35764.0	27833.0	0.0	36423.0	35525.0	41654.0	43893.0	32398.0	39867.0	36206.0	34943.0	42974.0	44516.0	38961.0	34564.0	29643.0	16266.0	40033.0	32072.0	24462.0	45621.0	31386.0	36221.0	28812.0	41428.0	32922.0	37952.0	42686.0
LiJ_2017__H1M513820__bin.13	32883.0	21256.0	26131.0	18831.0	9341.0	25918.0	41518.0	37430.0	41355.0	17886.0	36423.0	0.0	44842.0	26225.0	25717.0	33957.0	20467.0	18845.0	38284.0	27177.0	30254.0	18915.0	41688.0	25507.0	13573.0	20762.0	39044.0	31180.0	31025.0	34428.0	23834.0	33733.0	28284.0	36662.0	22273.0	33973.0
QinN_2014__LD-85__bin.36	35632.0	51792.0	49950.0	42284.0	53435.0	44721.0	32890.0	35178.0	43349.0	32652.0	35525.0	44842.0	0.0	51005.0	58128.0	36323.0	50096.0	44013.0	37920.0	55277.0	59440.0	48586.0	41317.0	34702.0	22405.0	49096.0	36882.0	29526.0	59326.0	37721.0	42696.0	31043.0	51004.0	39674.0	45872.0	52774.0
Bengtsson-PalmeJ_2015__TRAVELRES27__bin.9	35241.0	32529.0	25165.0	23933.0	31661.0	23638.0	47937.0	40524.0	48238.0	17543.0	41654.0	26225.0	51005.0	0.0	36599.0	38946.0	27614.0	26761.0	46237.0	26091.0	28712.0	29975.0	47993.0	24676.0	12718.0	29520.0	43791.0	34146.0	28683.0	39571.0	21834.0	38649.0	24253.0	43863.0	28020.0	35243.0
QinJ_2012__CON-086__bin.7	39375.0	32541.0	34380.0	27766.0	31683.0	33090.0	52880.0	45461.0	53981.0	21966.0	43893.0	25717.0	58128.0	36599.0	0.0	42301.0	29084.0	26063.0	49969.0	36932.0	41132.0	28133.0	55554.0	28929.0	19383.0	29101.0	46495.0	37463.0	42188.0	44309.0	31357.0	39825.0	36367.0	49427.0	19283.0	42424.0
WenC_2017__N253__bin.35	29088.0	39502.0	38833.0	30583.0	39719.0	33670.0	33696.0	31762.0	41410.0	24794.0	32398.0	33957.0	36323.0	38946.0	42301.0	0.0	36440.0	33633.0	21335.0	40272.0	43521.0	37469.0	36537.0	29224.0	15924.0	37894.0	34363.0	25650.0	44286.0	33388.0	33133.0	14664.0	38262.0	34852.0	36688.0	41217.0
ZeeviD_2015__PNP_Main_397__bin.2	35041.0	25085.0	26812.0	20013.0	23196.0	26371.0	44772.0	39426.0	45803.0	17948.0	39867.0	20467.0	50096.0	27614.0	29084.0	36440.0	0.0	21434.0	41444.0	29665.0	32988.0	22885.0	45859.0	25253.0	11443.0	22667.0	41529.0	32930.0	33481.0	38327.0	25096.0	35759.0	29490.0	40937.0	21819.0	36212.0
QinJ_2012__CON-076__bin.12	32309.0	22524.0	26055.0	20855.0	22031.0	24683.0	41006.0	36481.0	40902.0	19527.0	36206.0	18845.0	44013.0	26761.0	26063.0	33633.0	21434.0	0.0	39746.0	27716.0	30770.0	15466.0	42450.0	24241.0	11548.0	21534.0	37902.0	31086.0	33550.0	34573.0	25128.0	33863.0	28047.0	38127.0	22269.0	33012.0
QinJ_2012__CON-016__bin.25	31115.0	45205.0	44437.0	36848.0	46199.0	39478.0	33472.0	33158.0	42532.0	29835.0	34943.0	38284.0	37920.0	46237.0	49969.0	21335.0	41444.0	39746.0	0.0	47027.0	50554.0	42212.0	42393.0	31980.0	19625.0	42234.0	36931.0	28358.0	52863.0	38439.0	38632.0	15651.0	45271.0	41709.0	41495.0	47123.0
GeversD_2014__SKBSTL013__bin.56	37321.0	34702.0	25036.0	24677.0	31956.0	25750.0	52756.0	44114.0	49078.0	17931.0	42974.0	27177.0	55277.0	26091.0	36932.0	40272.0	29665.0	27716.0	47027.0	0.0	29204.0	30296.0	50732.0	26233.0	12751.0	30041.0	45214.0	35696.0	29522.0	42541.0	23872.0	38826.0	27326.0	46747.0	28719.0	37190.0
XieH_2016__YSZC12003_37204__bin.13	39148.0	36367.0	30871.0	27749.0	35960.0	27170.0	54454.0	47339.0	52417.0	19631.0	44516.0	30254.0	59440.0	28712.0	41132.0	43521.0	32988.0	30770.0	50554.0	29204.0	0.0	34002.0	53315.0	27480.0	15649.0	33764.0	48069.0	37006.0	34342.0	44179.0	25739.0	41669.0	29407.0	47611.0	31242.0	40776.0
QinJ_2012__T2D-086__bin.11	35333.0	23148.0	29478.0	22205.0	23444.0	27493.0	44642.0	41527.0	44855.0	20613.0	38961.0	18915.0	48586.0	29975.0	28133.0	37469.0	22885.0	15466.0	42212.0	30296.0	34002.0	0.0	45716.0	25633.0	13989.0	23817.0	40263.0	32241.0	34572.0	37657.0	27484.0	36354.0	31300.0	41372.0	22755.0	36005.0
YuJ_2015__SZAXPI015258-57__bin.46	33674.0	50503.0	47368.0	41289.0	50779.0	42050.0	40709.0	34324.0	36141.0	33060.0	34564.0	41688.0	41317.0	47993.0	55554.0	36537.0	45859.0	42450.0	42393.0	50732.0	53315.0	45716.0	0.0	34079.0	20754.0	46830.0	36365.0	28908.0	55195.0	32078.0	43318.0	33582.0	48317.0	35247.0	44201.0	49627.0
CosteaPI_2017__scavenger-11-7-0__bin.39	28952.0	27490.0	24135.0	22545.0	27487.0	23633.0	34436.0	30684.0	34661.0	17277.0	29643.0	25507.0	34702.0	24676.0	28929.0	29224.0	25253.0	24241.0	31980.0	26233.0	27480.0	25633.0	34079.0	0.0	9890.0	25590.0	33321.0	24604.0	27044.0	29283.0	21933.0	28665.0	24354.0	32172.0	26100.0	1443.0
CosteaPI_2017__SID713A030-11-90-0__bin.46	14456.0	15107.0	11599.0	10039.0	14890.0	12756.0	21871.0	17090.0	24150.0	4644.0	16266.0	13573.0	22405.0	12718.0	19383.0	15924.0	11443.0	11548.0	19625.0	12751.0	15649.0	13989.0	20754.0	9890.0	0.0	14687.0	18031.0	14137.0	14534.0	15458.0	9052.0	15142.0	12805.0	17615.0	13155.0	17963.0
LeChatelierE_2013__MH0419__bin.20	36485.0	23279.0	28604.0	20652.0	24007.0	27791.0	45779.0	41277.0	45370.0	19737.0	40033.0	20762.0	49096.0	29520.0	29101.0	37894.0	22667.0	21534.0	42234.0	30041.0	33764.0	23817.0	46830.0	25590.0	14687.0	0.0	41103.0	33552.0	34622.0	38296.0	26050.0	36048.0	29886.0	42035.0	21907.0	36388.0
QinJ_2012__CON-084__bin.19	31282.0	43905.0	41618.0	35729.0	44226.0	38733.0	33900.0	30403.0	38052.0	29230.0	32072.0	39044.0	36882.0	43791.0	46495.0	34363.0	41529.0	37902.0	36931.0	45214.0	48069.0	40263.0	36365.0	33321.0	18031.0	41103.0	0.0	26381.0	49636.0	32548.0	37967.0	32149.0	44868.0	33099.0	41055.0	46953.0
YuJ_2015__SZAXPI015222-123__bin.4	24828.0	35635.0	33428.0	28376.0	35925.0	29520.0	28619.0	16491.0	29355.0	23510.0	24462.0	31180.0	29526.0	34146.0	37463.0	25650.0	32930.0	31086.0	28358.0	35696.0	37006.0	32241.0	28908.0	24604.0	14137.0	33552.0	26381.0	0.0	38127.0	26070.0	30315.0	23871.0	34815.0	27919.0	32015.0	34768.0
ZeeviD_2015__PNP_Validation_4__bin.42	40309.0	37800.0	23575.0	27435.0	37186.0	26717.0	55544.0	45940.0	55667.0	19095.0	45621.0	31025.0	59326.0	28683.0	42188.0	44286.0	33481.0	33550.0	52863.0	29522.0	34342.0	34572.0	55195.0	27044.0	14534.0	34622.0	49636.0	38127.0	0.0	45776.0	25734.0	42797.0	28798.0	50723.0	32159.0	39274.0
QinN_2014__HD-16__bin.59	31082.0	39662.0	39194.0	32547.0	40628.0	35114.0	36697.0	32533.0	36477.0	28005.0	31386.0	34428.0	37721.0	39571.0	44309.0	33388.0	38327.0	34573.0	38439.0	42541.0	44179.0	37657.0	32078.0	29283.0	15458.0	38296.0	32548.0	26070.0	45776.0	0.0	37073.0	30847.0	40575.0	15816.0	37304.0	42140.0
GeversD_2014__SKBSTL069__bin.74	30182.0	29324.0	21742.0	22252.0	27940.0	21698.0	39921.0	35566.0	39762.0	16118.0	36221.0	23834.0	42696.0	21834.0	31357.0	33133.0	25096.0	25128.0	38632.0	23872.0	25739.0	27484.0	43318.0	21933.0	9052.0	26050.0	37967.0	30315.0	25734.0	37073.0	0.0	32201.0	23358.0	40364.0	24485.0	30228.0
QinN_2014__LD-97__bin.60	25436.0	38545.0	36920.0	30788.0	39108.0	33339.0	27743.0	27394.0	35568.0	25718.0	28812.0	33733.0	31043.0	38649.0	39825.0	14664.0	35759.0	33863.0	15651.0	38826.0	41669.0	36354.0	33582.0	28665.0	15142.0	36048.0	32149.0	23871.0	42797.0	30847.0	32201.0	0.0	37392.0	32720.0	35740.0	40787.0
FengQ_2015__SID530623__bin.9	35481.0	32843.0	25939.0	24639.0	32537.0	25136.0	48748.0	43123.0	47364.0	18247.0	41428.0	28284.0	51004.0	24253.0	36367.0	38262.0	29490.0	28047.0	45271.0	27326.0	29407.0	31300.0	48317.0	24354.0	12805.0	29886.0	44868.0	34815.0	28798.0	40575.0	23358.0	37392.0	0.0	43764.0	29036.0	34654.0
QinN_2014__HD-22__bin.50	32195.0	42714.0	42912.0	36337.0	44634.0	38077.0	37479.0	33027.0	37798.0	30507.0	32922.0	36662.0	39674.0	43863.0	49427.0	34852.0	40937.0	38127.0	41709.0	46747.0	47611.0	41372.0	35247.0	32172.0	17615.0	42035.0	33099.0	27919.0	50723.0	15816.0	40364.0	32720.0	43764.0	0.0	39825.0	46040.0
ChengpingW_2017__AS138raw__bin.24	34822.0	25733.0	27054.0	19804.0	24152.0	26293.0	43038.0	38742.0	42819.0	17084.0	37952.0	22273.0	45872.0	28020.0	19283.0	36688.0	21819.0	22269.0	41495.0	28719.0	31242.0	22755.0	44201.0	26100.0	13155.0	21907.0	41055.0	32015.0	32159.0	37304.0	24485.0	35740.0	29036.0	39825.0	0.0	35389.0
ZellerG_2014__MMPU72854103ST__bin.27	38032.0	40261.0	34867.0	30503.0	39715.0	32600.0	50626.0	42832.0	50810.0	22787.0	42686.0	33973.0	52774.0	35243.0	42424.0	41217.0	36212.0	33012.0	47123.0	37190.0	40776.0	36005.0	49627.0	1443.0	17963.0	36388.0	46953.0	34768.0	39274.0	42140.0	30228.0	40787.0	34654.0	46040.0	35389.0	0.0
