	ChengpingW_2017__AS15raw__bin.20	LiJ_2017__H3M515128__bin.7	ZellerG_2014__CCMD40701343ST-21-0__bin.43	BackhedF_2015__SID172_12M__bin.11	LiJ_2017__nHM511615__bin.25	GeversD_2014__SKBSTL036__bin.19	QinJ_2012__T2D-048__bin.10	LiJ_2017__H1M513912__bin.21	ZeeviD_2015__PNP_Main_481__bin.1	CosteaPI_2017__SID713A009-11-90-0__bin.91	YuJ_2015__SZAXPI015226-14__bin.24	LiJ_2017__H1M513820__bin.13	QinN_2014__LD-85__bin.36	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.9	QinJ_2012__CON-086__bin.7	WenC_2017__N253__bin.35	ZeeviD_2015__PNP_Main_397__bin.2	QinJ_2012__CON-076__bin.12	QinJ_2012__CON-016__bin.25	GeversD_2014__SKBSTL013__bin.56	XieH_2016__YSZC12003_37204__bin.13	QinJ_2012__T2D-086__bin.11	YuJ_2015__SZAXPI015258-57__bin.46	CosteaPI_2017__scavenger-11-7-0__bin.39	CosteaPI_2017__SID713A030-11-90-0__bin.46	LeChatelierE_2013__MH0419__bin.20	QinJ_2012__CON-084__bin.19	YuJ_2015__SZAXPI015222-123__bin.4	ZeeviD_2015__PNP_Validation_4__bin.42	QinN_2014__HD-16__bin.59	GeversD_2014__SKBSTL069__bin.74	QinN_2014__LD-97__bin.60	FengQ_2015__SID530623__bin.9	QinN_2014__HD-22__bin.50	ChengpingW_2017__AS138raw__bin.24	ZellerG_2014__MMPU72854103ST__bin.27
YuJ_2015__SZAXPI015226-14__bin.24	1523901.0	1749637.0	1662165.0	1353344.0	1745700.0	1367420.0	1891835.0	1712830.0	1904785.0	1152153.0	2315332.0	1503743.0	1961115.0	1706355.0	1861986.0	1733020.0	1557733.0	1475756.0	1904018.0	1795384.0	1868532.0	1621391.0	1898953.0	1288525.0	698604.0	1662004.0	1703163.0	1325499.0	1872635.0	1664227.0	1448034.0	1536717.0	1756332.0	1795353.0	1538733.0	1823389.0
LiJ_2017__H1M513820__bin.13	1520747.0	1826249.0	1568830.0	1331553.0	1887528.0	1310670.0	1768624.0	1618929.0	1760716.0	1131075.0	1503743.0	2222320.0	1811601.0	1596574.0	1912099.0	1618957.0	1586016.0	1527025.0	1733935.0	1729914.0	1794842.0	1673985.0	1697872.0	1318909.0	747491.0	1728306.0	1564705.0	1196387.0	1834269.0	1545283.0	1370196.0	1409582.0	1691917.0	1606070.0	1624842.0	1774674.0
QinN_2014__LD-85__bin.36	1816206.0	2144279.0	1978219.0	1638733.0	2151919.0	1637446.0	2386229.0	2041753.0	2377971.0	1328368.0	1961115.0	1811601.0	2991890.0	2010056.0	2350182.0	2139636.0	1877366.0	1778029.0	2414801.0	2248456.0	2338723.0	1967770.0	2248652.0	1494732.0	926461.0	1997958.0	2062570.0	1571788.0	2377541.0	1998067.0	1706604.0	1841790.0	2100172.0	2153470.0	1798560.0	2227200.0
Bengtsson-PalmeJ_2015__TRAVELRES27__bin.9	1574348.0	1904087.0	1835185.0	1442166.0	1878126.0	1461755.0	1979842.0	1719147.0	1994084.0	1218414.0	1706355.0	1596574.0	2010056.0	2534794.0	2039236.0	1770797.0	1638122.0	1564444.0	1978491.0	1923497.0	2068907.0	1699874.0	1928186.0	1354279.0	790721.0	1762258.0	1715882.0	1345136.0	2066213.0	1713790.0	1534726.0	1611587.0	1881749.0	1814959.0	1635830.0	1988960.0
QinJ_2012__CON-086__bin.7	1799235.0	2338915.0	1989909.0	1754337.0	2297102.0	1629555.0	2272394.0	1960513.0	2277934.0	1395850.0	1861986.0	1912099.0	2350182.0	2039236.0	3239629.0	2035332.0	2003470.0	1921347.0	2256759.0	2223153.0	2301940.0	2107469.0	2210509.0	1505167.0	1006732.0	2169999.0	1906196.0	1506642.0	2396859.0	1976663.0	1732323.0	1783643.0	2111321.0	2111762.0	1983539.0	2217276.0
WenC_2017__N253__bin.35	1655775.0	1916224.0	1773302.0	1398614.0	1894666.0	1425222.0	2117129.0	1811544.0	2065893.0	1195173.0	1733020.0	1618957.0	2139636.0	1770797.0	2035332.0	2363102.0	1646510.0	1578358.0	2090085.0	1942766.0	1983301.0	1764188.0	1921113.0	1373586.0	792826.0	1795936.0	1758235.0	1375390.0	2056685.0	1727753.0	1505082.0	1676028.0	1840412.0	1846507.0	1631470.0	1955518.0
ZeeviD_2015__PNP_Main_397__bin.2	1485044.0	1869499.0	1626529.0	1406470.0	1860067.0	1336416.0	1789065.0	1607225.0	1807200.0	1149936.0	1557733.0	1586016.0	1877366.0	1638122.0	2003470.0	1646510.0	2363187.0	1586220.0	1779219.0	1794790.0	1831565.0	1714435.0	1751347.0	1276420.0	640018.0	1750734.0	1584337.0	1247109.0	1899080.0	1597056.0	1415030.0	1463738.0	1729966.0	1681246.0	1598852.0	1804546.0
QinJ_2012__CON-076__bin.12	1444033.0	1811448.0	1561612.0	1371452.0	1810626.0	1301733.0	1725114.0	1551033.0	1746999.0	1171969.0	1475756.0	1527025.0	1778029.0	1564444.0	1921347.0	1578358.0	1586220.0	2232815.0	1784519.0	1719061.0	1764366.0	1770968.0	1707026.0	1253614.0	623572.0	1708391.0	1523287.0	1226174.0	1914463.0	1545327.0	1374912.0	1421903.0	1654737.0	1649393.0	1571083.0	1721162.0
QinJ_2012__CON-016__bin.25	1742344.0	2080010.0	1935846.0	1576199.0	2055381.0	1601298.0	2269573.0	1956784.0	2295723.0	1322544.0	1904018.0	1733935.0	2414801.0	1978491.0	2256759.0	2090085.0	1779219.0	1784519.0	2807915.0	2151310.0	2189923.0	1930851.0	2180280.0	1469761.0	852132.0	1932646.0	1990769.0	1546979.0	2319044.0	1952517.0	1673055.0	1905770.0	2053564.0	2120631.0	1772384.0	2143779.0
GeversD_2014__SKBSTL013__bin.56	1714573.0	2045621.0	1945585.0	1554394.0	2067131.0	1628648.0	2156500.0	1911123.0	2090749.0	1304455.0	1795384.0	1729914.0	2248456.0	1923497.0	2223153.0	1942766.0	1794790.0	1719061.0	2151310.0	2698625.0	2212229.0	1881529.0	2087726.0	1476583.0	881045.0	1951126.0	1834034.0	1451885.0	2239476.0	1842225.0	1662453.0	1692913.0	2056381.0	1969513.0	1745804.0	2150651.0
XieH_2016__YSZC12003_37204__bin.13	1771887.0	2118213.0	2042211.0	1620142.0	2126607.0	1652135.0	2210613.0	1950797.0	2226793.0	1352401.0	1868532.0	1794842.0	2338723.0	2068907.0	2301940.0	1983301.0	1831565.0	1764366.0	2189923.0	2212229.0	3001765.0	1949118.0	2148466.0	1512264.0	977946.0	2002943.0	1890594.0	1461169.0	2352233.0	1914682.0	1700697.0	1751467.0	2129279.0	2040940.0	1814418.0	2233282.0
QinJ_2012__T2D-086__bin.11	1578717.0	1994102.0	1707715.0	1512785.0	1983759.0	1388162.0	1899079.0	1725475.0	1921753.0	1236884.0	1621391.0	1673985.0	1967770.0	1699874.0	2107469.0	1764188.0	1714435.0	1770968.0	1930851.0	1881529.0	1949118.0	2328232.0	1854031.0	1358274.0	745515.0	1895576.0	1654485.0	1313329.0	2033820.0	1675427.0	1484905.0	1539477.0	1805502.0	1786233.0	1696614.0	1899672.0
YuJ_2015__SZAXPI015258-57__bin.46	1695100.0	2036819.0	1882145.0	1547432.0	2019280.0	1559447.0	2186874.0	1937787.0	2212227.0	1287670.0	1898953.0	1697872.0	2248652.0	1928186.0	2210509.0	1921113.0	1751347.0	1707026.0	2180280.0	2087726.0	2148466.0	1854031.0	2779262.0	1433747.0	845924.0	1902126.0	1931498.0	1471170.0	2181901.0	1964575.0	1656727.0	1730938.0	1987110.0	2139648.0	1729243.0	2077626.0
CosteaPI_2017__scavenger-11-7-0__bin.39	1313967.0	1430539.0	1323529.0	1122621.0	1439876.0	1135577.0	1469310.0	1361893.0	1463412.0	992290.0	1288525.0	1318909.0	1494732.0	1354279.0	1505167.0	1373586.0	1276420.0	1253614.0	1469761.0	1476583.0	1512264.0	1358274.0	1433747.0	1770755.0	524201.0	1361423.0	1354015.0	1033773.0	1529401.0	1277123.0	1168665.0	1243471.0	1414561.0	1370560.0	1322832.0	1599899.0
CosteaPI_2017__SID713A030-11-90-0__bin.46	682010.0	872782.0	753066.0	555765.0	866559.0	626056.0	916547.0	755941.0	983061.0	425349.0	698604.0	747491.0	926461.0	790721.0	1006732.0	792826.0	640018.0	623572.0	852132.0	881045.0	977946.0	745515.0	845924.0	524201.0	1312041.0	822845.0	684951.0	517281.0	960151.0	716794.0	544588.0	652524.0	829820.0	764685.0	687946.0	946555.0
LeChatelierE_2013__MH0419__bin.20	1615128.0	2031494.0	1749019.0	1524146.0	2064262.0	1452997.0	1961599.0	1762416.0	1960335.0	1256347.0	1662004.0	1728306.0	1997958.0	1762258.0	2169999.0	1795936.0	1750734.0	1708391.0	1932646.0	1951126.0	2002943.0	1895576.0	1902126.0	1361423.0	822845.0	2495124.0	1682456.0	1348931.0	2062380.0	1710123.0	1489000.0	1561273.0	1861176.0	1804312.0	1743252.0	1949286.0
QinJ_2012__CON-084__bin.19	1526807.0	1796603.0	1643363.0	1384055.0	1786822.0	1410196.0	1962288.0	1740014.0	1954761.0	1165186.0	1703163.0	1564705.0	2062570.0	1715882.0	1906196.0	1758235.0	1584337.0	1523287.0	1990769.0	1834034.0	1890594.0	1654485.0	1931498.0	1354015.0	684951.0	1682456.0	2525641.0	1365913.0	1937968.0	1729418.0	1482421.0	1664603.0	1796797.0	1844801.0	1594478.0	1897719.0
YuJ_2015__SZAXPI015222-123__bin.4	1222013.0	1405128.0	1354826.0	1091406.0	1396493.0	1113118.0	1528394.0	1384773.0	1505134.0	941670.0	1325499.0	1196387.0	1571788.0	1345136.0	1506642.0	1375390.0	1247109.0	1226174.0	1546979.0	1451885.0	1461169.0	1313329.0	1471170.0	1033773.0	517281.0	1348931.0	1365913.0	2200639.0	1511500.0	1311396.0	1161962.0	1285843.0	1409713.0	1404109.0	1244764.0	1444871.0
ZeeviD_2015__PNP_Validation_4__bin.42	1796633.0	2181476.0	2082510.0	1635292.0	2181574.0	1671322.0	2263706.0	1952168.0	2332705.0	1371265.0	1872635.0	1834269.0	2377541.0	2066213.0	2396859.0	2056685.0	1899080.0	1914463.0	2319044.0	2239476.0	2352233.0	2033820.0	2181901.0	1529401.0	960151.0	2062380.0	1937968.0	1511500.0	3142514.0	1931172.0	1740764.0	1791326.0	2163109.0	2115637.0	1863741.0	2247500.0
QinN_2014__HD-16__bin.59	1516143.0	1843696.0	1652547.0	1381760.0	1809325.0	1374936.0	1907662.0	1717795.0	1949138.0	1181296.0	1664227.0	1545283.0	1998067.0	1713790.0	1976663.0	1727753.0	1597056.0	1545327.0	1952517.0	1842225.0	1914682.0	1675427.0	1964575.0	1277123.0	716794.0	1710123.0	1729418.0	1311396.0	1931172.0	2329705.0	1478808.0	1562587.0	1791161.0	1966294.0	1584667.0	1834360.0
GeversD_2014__SKBSTL069__bin.74	1344701.0	1613170.0	1490867.0	1269399.0	1602314.0	1307638.0	1638738.0	1499569.0	1630042.0	1069577.0	1448034.0	1370196.0	1706604.0	1534726.0	1732323.0	1505082.0	1415030.0	1374912.0	1673055.0	1662453.0	1700697.0	1484905.0	1656727.0	1168665.0	544588.0	1489000.0	1482421.0	1161962.0	1740764.0	1478808.0	1980060.0	1342936.0	1628723.0	1598015.0	1393663.0	1630626.0
QinN_2014__LD-97__bin.60	1421389.0	1664573.0	1574873.0	1276945.0	1648252.0	1278641.0	1845662.0	1587466.0	1821076.0	1101450.0	1536717.0	1409582.0	1841790.0	1611587.0	1783643.0	1676028.0	1463738.0	1421903.0	1905770.0	1692913.0	1751467.0	1539477.0	1730938.0	1243471.0	652524.0	1561273.0	1664603.0	1285843.0	1791326.0	1562587.0	1342936.0	2281375.0	1633699.0	1670264.0	1481422.0	1745714.0
FengQ_2015__SID530623__bin.9	1643946.0	1985435.0	1838003.0	1498932.0	1966861.0	1563230.0	2044526.0	1843028.0	2055836.0	1268958.0	1756332.0	1691917.0	2100172.0	1881749.0	2111321.0	1840412.0	1729966.0	1654737.0	2053564.0	2056381.0	2129279.0	1805502.0	1987110.0	1414561.0	829820.0	1861176.0	1796797.0	1409713.0	2163109.0	1791161.0	1628723.0	1633699.0	2426848.0	1906987.0	1700363.0	2032020.0
QinN_2014__HD-22__bin.50	1603736.0	1934895.0	1767184.0	1506651.0	1912957.0	1464122.0	2046160.0	1831067.0	2120544.0	1244611.0	1795353.0	1606070.0	2153470.0	1814959.0	2111762.0	1846507.0	1681246.0	1649393.0	2120631.0	1969513.0	2040940.0	1786233.0	2139648.0	1370560.0	764685.0	1804312.0	1844801.0	1404109.0	2115637.0	1966294.0	1598015.0	1670264.0	1906987.0	2785658.0	1642876.0	1968101.0
ChengpingW_2017__AS138raw__bin.24	1511010.0	1839521.0	1610290.0	1395606.0	1820796.0	1342807.0	1777262.0	1616488.0	1761154.0	1174073.0	1538733.0	1624842.0	1798560.0	1635830.0	1983539.0	1631470.0	1598852.0	1571083.0	1772384.0	1745804.0	1814418.0	1696614.0	1729243.0	1322832.0	687946.0	1743252.0	1594478.0	1244764.0	1863741.0	1584667.0	1393663.0	1481422.0	1700363.0	1642876.0	2212582.0	1789178.0
ZellerG_2014__MMPU72854103ST__bin.27	1735671.0	2076606.0	1922980.0	1553736.0	2074956.0	1612244.0	2172046.0	1916727.0	2166452.0	1317649.0	1823389.0	1774674.0	2227200.0	1988960.0	2217276.0	1955518.0	1804546.0	1721162.0	2143779.0	2150651.0	2233282.0	1899672.0	2077626.0	1599899.0	946555.0	1949286.0	1897719.0	1444871.0	2247500.0	1834360.0	1630626.0	1745714.0	2032020.0	1968101.0	1789178.0	2615471.0
