	FerrettiP_2018__CA_C10042MS2723SA_t0M16__bin.24	HMP_2012__SRS044373__bin.55	HMP_2012__SRS019045__bin.46	CM_cf__CF_TNFC041IS_t2M15__bin.5	CM_cf__CF_TNFC041SA_t1M15__bin.7	HMP_2012__SRS014684__bin.2	LiJ_2017__H3M518112__bin.15	CM_cf__CF_TNFC018SA_t1M16__bin.3	CM_cf__CF_TNFC060SA_t1M16__bin.3	CM_cf__CF_TNFC048SA_t1M16__bin.1	FerrettiP_2018__CA_C10039IS2678SA_t2M15__bin.2	HMP_2012__SRS018591__bin.11	HMP_2012__SRS014470__bin.8	Castro-NallarE_2015__ES_137__bin.11	HMP_2012__SRS015057__bin.45	HMP_2012__SRS018791__bin.39	CM_cf__CF_TNFC034SS_t1M15__bin.6	CM_cf__CF_TNFC060IS_t1M15__bin.6	HMP_2012__SRS017713__bin.25	FerrettiP_2018__CA_C10009MS2133SA_t0M15__bin.19	HMP_2012__SRS015272__bin.25	HMP_2012__SRS019022__bin.34	Castro-NallarE_2015__ES_114__bin.27	FerrettiP_2018__CA_C10015IS2250SA_t2M15__bin.2	FerrettiP_2018__CA_C10055IS2966SA_t2M16__bin.10	HMP_2012__SRS015537__bin.16	CM_cf__CF_TNFC059SA_t1M16__bin.1	CM_cf__CF_TNFC034SA_t1M16__bin.2	FerrettiP_2018__CA_C10023IS2394SA_t2M15__bin.3	CM_cf__CF_TNFC038SA_t1M16__bin.15	HMP_2012__SRS016086__bin.6	CM_cf__CF_TNFC018IS_t3M15__bin.5	FerrettiP_2018__CA_C10039MS2669SA_t0M15__bin.11	FerrettiP_2018__CA_C10001MS2001SA_t0M15__bin.6	HMP_2012__SRS015941__bin.16	HMP_2012__SRS051791__bin.41	BritoIL_2016__WL.15.SA__bin.6	CM_cf__CF_TNFC054IS_t1M15__bin.19	HMP_2012__SRS024637__bin.14	HMP_2012__SRS016319__bin.66	HMP_2012__SRS017076__bin.19	HMP_2012__SRS057791__bin.37
FerrettiP_2018__CA_C10039IS2678SA_t2M15__bin.2	1764430.0	1730534.0	1609786.0	1474868.0	1635254.0	1768535.0	1334314.0	1888706.0	1782408.0	1904476.0	2089696.0	1845888.0	1718845.0	1121106.0	1732463.0	1837037.0	854432.0	1795544.0	1629002.0	1916670.0	1962189.0	1650804.0	1206702.0	864115.0	969097.0	1698019.0	1584910.0	1447715.0	964110.0	1470995.0	1197132.0	1477230.0	1676278.0	1521297.0	1705712.0	1611868.0	1285211.0	1213556.0	1472071.0	1460707.0	1368046.0	1405558.0
HMP_2012__SRS018591__bin.11	1746254.0	1694838.0	1633988.0	1440421.0	1648436.0	1754935.0	1367231.0	1829919.0	1758149.0	1847147.0	1845888.0	2028114.0	1664036.0	1168144.0	1673138.0	1798599.0	908343.0	1795877.0	1648279.0	1902689.0	1917369.0	1671167.0	1239229.0	889049.0	992874.0	1711960.0	1560278.0	1424998.0	938244.0	1425795.0	1245026.0	1480454.0	1604368.0	1474616.0	1669229.0	1693837.0	1265739.0	1198621.0	1455632.0	1482160.0	1381779.0	1351818.0
HMP_2012__SRS014470__bin.8	1596142.0	1536903.0	1478742.0	1341110.0	1477839.0	1617062.0	1245661.0	1698696.0	1596421.0	1683994.0	1718845.0	1664036.0	1829501.0	1059616.0	1620841.0	1682269.0	791219.0	1614897.0	1496702.0	1722185.0	1750092.0	1505661.0	1095611.0	762369.0	848076.0	1532448.0	1420856.0	1266657.0	830040.0	1316287.0	1114895.0	1341750.0	1482145.0	1366699.0	1553676.0	1452490.0	1175165.0	1052130.0	1307894.0	1366632.0	1234006.0	1250110.0
Castro-NallarE_2015__ES_137__bin.11	1094985.0	1063926.0	1043771.0	914994.0	1043510.0	1117344.0	919329.0	1139983.0	1084252.0	1158441.0	1121106.0	1168144.0	1059616.0	1260643.0	1061043.0	1121169.0	570180.0	1142016.0	1057578.0	1190536.0	1188304.0	1053443.0	796312.0	563164.0	628671.0	1104827.0	967314.0	902891.0	583592.0	919923.0	810610.0	954758.0	983312.0	943306.0	1066797.0	1042621.0	810106.0	771095.0	926285.0	974812.0	872400.0	835750.0
HMP_2012__SRS015057__bin.45	1596179.0	1558848.0	1488242.0	1356315.0	1497479.0	1633857.0	1241336.0	1720530.0	1622091.0	1694834.0	1732463.0	1673138.0	1620841.0	1061043.0	1850084.0	1689563.0	793955.0	1632359.0	1497383.0	1731334.0	1760328.0	1524136.0	1100089.0	764177.0	861541.0	1524906.0	1452776.0	1302117.0	841117.0	1333508.0	1107389.0	1348436.0	1506331.0	1395691.0	1562887.0	1462179.0	1192658.0	1070978.0	1311631.0	1347143.0	1247118.0	1273878.0
HMP_2012__SRS018791__bin.39	1715134.0	1692863.0	1580345.0	1424836.0	1612716.0	1722345.0	1324654.0	1799936.0	1702689.0	1834533.0	1837037.0	1798599.0	1682269.0	1121169.0	1689563.0	1975130.0	881037.0	1712548.0	1594736.0	1844795.0	1884452.0	1639840.0	1195679.0	860082.0	952010.0	1630164.0	1514048.0	1396854.0	917796.0	1430703.0	1201092.0	1454730.0	1587350.0	1474417.0	1654581.0	1563496.0	1238560.0	1171998.0	1450221.0	1448973.0	1365809.0	1348237.0
CM_cf__CF_TNFC034SS_t1M15__bin.6	918410.0	896900.0	787678.0	582212.0	905061.0	871870.0	650927.0	881753.0	814949.0	957500.0	854432.0	908343.0	791219.0	570180.0	793955.0	881037.0	1009757.0	855124.0	820483.0	938172.0	939140.0	907629.0	861807.0	881247.0	857861.0	818478.0	662875.0	988932.0	494800.0	744538.0	790507.0	818808.0	737272.0	651272.0	822897.0	835245.0	490758.0	924181.0	884886.0	721198.0	859962.0	563109.0
CM_cf__CF_TNFC060IS_t1M15__bin.6	1691697.0	1630751.0	1636790.0	1386400.0	1585467.0	1745975.0	1368848.0	1785627.0	1782453.0	1793223.0	1795544.0	1795877.0	1614897.0	1142016.0	1632359.0	1712548.0	855124.0	2080759.0	1630079.0	1890316.0	1841635.0	1617243.0	1185345.0	862728.0	962526.0	1705721.0	1538869.0	1393688.0	885713.0	1390499.0	1227856.0	1440508.0	1560779.0	1442029.0	1670457.0	1574691.0	1232813.0	1180177.0	1441631.0	1465181.0	1357493.0	1327054.0
HMP_2012__SRS017713__bin.25	1563522.0	1548031.0	1524018.0	1255265.0	1486668.0	1605156.0	1265974.0	1614951.0	1532129.0	1662790.0	1629002.0	1648279.0	1496702.0	1057578.0	1497383.0	1594736.0	820483.0	1630079.0	1801114.0	1690893.0	1697116.0	1517757.0	1163163.0	821370.0	899048.0	1548101.0	1352384.0	1261405.0	786698.0	1341687.0	1198351.0	1329164.0	1436320.0	1300811.0	1541280.0	1468024.0	1139468.0	1107664.0	1365545.0	1339216.0	1296585.0	1243915.0
FerrettiP_2018__CA_C10009MS2133SA_t0M15__bin.19	1800089.0	1737411.0	1669283.0	1487410.0	1695245.0	1806524.0	1411711.0	1897875.0	1853135.0	1934820.0	1916670.0	1902689.0	1722185.0	1190536.0	1731334.0	1844795.0	938172.0	1890316.0	1690893.0	2122658.0	1973862.0	1728452.0	1256421.0	916449.0	1022433.0	1763543.0	1617664.0	1504149.0	988844.0	1474511.0	1272843.0	1519272.0	1647921.0	1528248.0	1722278.0	1671256.0	1301525.0	1259593.0	1509596.0	1513173.0	1423111.0	1370804.0
HMP_2012__SRS015272__bin.25	1835970.0	1780593.0	1682625.0	1506199.0	1711854.0	1836117.0	1411496.0	1945614.0	1804102.0	1946059.0	1962189.0	1917369.0	1750092.0	1188304.0	1760328.0	1884452.0	939140.0	1841635.0	1697116.0	1973862.0	2148634.0	1741392.0	1275311.0	915217.0	1023471.0	1748276.0	1611766.0	1492197.0	991503.0	1487334.0	1266168.0	1539623.0	1711685.0	1553415.0	1755834.0	1658034.0	1328197.0	1256792.0	1529323.0	1527070.0	1437075.0	1406751.0
HMP_2012__SRS019022__bin.34	1636017.0	1609453.0	1540201.0	1264489.0	1632942.0	1619863.0	1272104.0	1670467.0	1566121.0	1739916.0	1650804.0	1671167.0	1505661.0	1053443.0	1524136.0	1639840.0	907629.0	1617243.0	1517757.0	1728452.0	1741392.0	1878450.0	1213370.0	861625.0	959856.0	1559966.0	1365917.0	1437866.0	937159.0	1426993.0	1217161.0	1464265.0	1442263.0	1306085.0	1554471.0	1551158.0	1134634.0	1193280.0	1458392.0	1325259.0	1372638.0	1172381.0
Castro-NallarE_2015__ES_114__bin.27	1248450.0	1193780.0	1111655.0	857529.0	1235480.0	1210241.0	946509.0	1198847.0	1109509.0	1284435.0	1206702.0	1239229.0	1095611.0	796312.0	1100089.0	1195679.0	861807.0	1185345.0	1163163.0	1256421.0	1275311.0	1213370.0	1315916.0	860403.0	927414.0	1144259.0	949069.0	1226380.0	757758.0	1049385.0	1065710.0	1158150.0	1038992.0	926271.0	1164613.0	1144161.0	766363.0	1111093.0	1212407.0	1040128.0	1113250.0	829829.0
FerrettiP_2018__CA_C10015IS2250SA_t2M15__bin.2	903207.0	880812.0	766399.0	555978.0	883546.0	865043.0	631639.0	858555.0	786587.0	920060.0	864115.0	889049.0	762369.0	563164.0	764177.0	860082.0	881247.0	862728.0	821370.0	916449.0	915217.0	861625.0	860403.0	968940.0	911800.0	804785.0	640799.0	936963.0	527079.0	742795.0	786117.0	805284.0	730335.0	635418.0	828281.0	823445.0	480724.0	934941.0	907027.0	723616.0	888888.0	549072.0
FerrettiP_2018__CA_C10055IS2966SA_t2M16__bin.10	996378.0	991167.0	867470.0	641839.0	987263.0	951109.0	712994.0	965882.0	883911.0	1036836.0	969097.0	992874.0	848076.0	628671.0	861541.0	952010.0	857861.0	962526.0	899048.0	1022433.0	1023471.0	959856.0	927414.0	911800.0	1153365.0	907168.0	739116.0	1048320.0	637916.0	826165.0	861857.0	913420.0	827301.0	723504.0	919982.0	918711.0	546493.0	1026341.0	994993.0	810714.0	919044.0	634285.0
HMP_2012__SRS015537__bin.16	1612156.0	1552048.0	1520255.0	1318604.0	1518003.0	1639692.0	1285556.0	1687866.0	1619744.0	1692959.0	1698019.0	1711960.0	1532448.0	1104827.0	1524906.0	1630164.0	818478.0	1705721.0	1548101.0	1763543.0	1748276.0	1559966.0	1144259.0	804785.0	907168.0	1891379.0	1440264.0	1307522.0	857099.0	1345402.0	1171429.0	1394349.0	1470231.0	1358474.0	1567432.0	1516384.0	1181846.0	1109344.0	1379546.0	1415605.0	1305374.0	1236815.0
CM_cf__CF_TNFC059SA_t1M16__bin.1	1446141.0	1409030.0	1366835.0	1309965.0	1349941.0	1475278.0	1121992.0	1588039.0	1566433.0	1545697.0	1584910.0	1560278.0	1420856.0	967314.0	1452776.0	1514048.0	662875.0	1538869.0	1352384.0	1617664.0	1611766.0	1365917.0	949069.0	640799.0	739116.0	1440264.0	1698952.0	1127953.0	747371.0	1203162.0	957750.0	1235141.0	1407344.0	1327214.0	1386945.0	1342690.0	1095809.0	932839.0	1153839.0	1219966.0	1098892.0	1170093.0
CM_cf__CF_TNFC034SA_t1M16__bin.2	1449429.0	1400946.0	1244061.0	1046665.0	1444507.0	1360868.0	1037137.0	1436420.0	1342297.0	1522949.0	1447715.0	1424998.0	1266657.0	902891.0	1302117.0	1396854.0	988932.0	1393688.0	1261405.0	1504149.0	1492197.0	1437866.0	1226380.0	936963.0	1048320.0	1307522.0	1127953.0	1635571.0	979931.0	1185444.0	1132889.0	1355198.0	1219078.0	1099251.0	1319776.0	1325689.0	898206.0	1276037.0	1413466.0	1145894.0	1286530.0	916985.0
FerrettiP_2018__CA_C10023IS2394SA_t2M15__bin.3	961464.0	918807.0	745733.0	708151.0	949778.0	860848.0	641189.0	937003.0	883533.0	993922.0	964110.0	938244.0	830040.0	583592.0	841117.0	917796.0	494800.0	885713.0	786698.0	988844.0	991503.0	937159.0	757758.0	527079.0	637916.0	857099.0	747371.0	979931.0	1068393.0	765028.0	700337.0	889611.0	818313.0	729215.0	846738.0	856629.0	617078.0	781570.0	877235.0	746902.0	770275.0	618607.0
CM_cf__CF_TNFC038SA_t1M16__bin.15	1392649.0	1417557.0	1309645.0	1112560.0	1404282.0	1405532.0	1097960.0	1435267.0	1365824.0	1487153.0	1470995.0	1425795.0	1316287.0	919923.0	1333508.0	1430703.0	744538.0	1390499.0	1341687.0	1474511.0	1487334.0	1426993.0	1049385.0	742795.0	826165.0	1345402.0	1203162.0	1185444.0	765028.0	1588698.0	1087698.0	1258370.0	1262030.0	1141042.0	1350872.0	1326863.0	984881.0	1051103.0	1252206.0	1179415.0	1173586.0	1070820.0
HMP_2012__SRS016086__bin.6	1239843.0	1209705.0	1141527.0	875357.0	1237592.0	1222494.0	984158.0	1207366.0	1128504.0	1269396.0	1197132.0	1245026.0	1114895.0	810610.0	1107389.0	1201092.0	790507.0	1227856.0	1198351.0	1272843.0	1266168.0	1217161.0	1065710.0	786117.0	861857.0	1171429.0	957750.0	1132889.0	700337.0	1087698.0	1345083.0	1136774.0	1052951.0	937285.0	1186281.0	1170647.0	797332.0	1003715.0	1172477.0	1065253.0	1108963.0	884090.0
CM_cf__CF_TNFC018IS_t3M15__bin.5	1476557.0	1427531.0	1319055.0	1141051.0	1455902.0	1440834.0	1123385.0	1549663.0	1395726.0	1537539.0	1477230.0	1480454.0	1341750.0	954758.0	1348436.0	1454730.0	818808.0	1440508.0	1329164.0	1519272.0	1539623.0	1464265.0	1158150.0	805284.0	913420.0	1394349.0	1235141.0	1355198.0	889611.0	1258370.0	1136774.0	1618976.0	1284471.0	1182159.0	1393193.0	1360877.0	985374.0	1142671.0	1375884.0	1225332.0	1261081.0	1032795.0
FerrettiP_2018__CA_C10039MS2669SA_t0M15__bin.11	1543581.0	1482560.0	1417361.0	1304091.0	1415369.0	1552055.0	1191535.0	1661266.0	1556229.0	1628580.0	1676278.0	1604368.0	1482145.0	983312.0	1506331.0	1587350.0	737272.0	1560779.0	1436320.0	1647921.0	1711685.0	1442263.0	1038992.0	730335.0	827301.0	1470231.0	1407344.0	1219078.0	818313.0	1262030.0	1052951.0	1284471.0	1861844.0	1347630.0	1497491.0	1400266.0	1132973.0	1028369.0	1257379.0	1289874.0	1201621.0	1211083.0
FerrettiP_2018__CA_C10001MS2001SA_t0M15__bin.6	1397047.0	1358786.0	1307408.0	1228502.0	1302796.0	1412097.0	1068939.0	1519635.0	1464212.0	1486199.0	1521297.0	1474616.0	1366699.0	943306.0	1395691.0	1474417.0	651272.0	1442029.0	1300811.0	1528248.0	1553415.0	1306085.0	926271.0	635418.0	723504.0	1358474.0	1327214.0	1099251.0	729215.0	1141042.0	937285.0	1182159.0	1347630.0	1614952.0	1346405.0	1270523.0	1048635.0	898969.0	1146095.0	1203864.0	1087081.0	1120423.0
HMP_2012__SRS015941__bin.16	1622945.0	1538715.0	1534848.0	1334632.0	1534809.0	1644880.0	1281477.0	1675087.0	1569988.0	1694211.0	1705712.0	1669229.0	1553676.0	1066797.0	1562887.0	1654581.0	822897.0	1670457.0	1541280.0	1722278.0	1755834.0	1554471.0	1164613.0	828281.0	919982.0	1567432.0	1386945.0	1319776.0	846738.0	1350872.0	1186281.0	1393193.0	1497491.0	1346405.0	1888704.0	1484922.0	1175028.0	1134392.0	1381636.0	1410227.0	1316498.0	1280097.0
HMP_2012__SRS051791__bin.41	1534910.0	1539823.0	1440711.0	1237348.0	1533155.0	1554089.0	1231780.0	1599112.0	1533124.0	1609930.0	1611868.0	1693837.0	1452490.0	1042621.0	1462179.0	1563496.0	835245.0	1574691.0	1468024.0	1671256.0	1658034.0	1551158.0	1144161.0	823445.0	918711.0	1516384.0	1342690.0	1325689.0	856629.0	1326863.0	1170647.0	1360877.0	1400266.0	1270523.0	1484922.0	1770768.0	1097205.0	1110489.0	1347775.0	1328244.0	1279464.0	1159082.0
BritoIL_2016__WL.15.SA__bin.6	1187332.0	1152530.0	1158675.0	1027939.0	1102479.0	1250931.0	988778.0	1290695.0	1212141.0	1267814.0	1285211.0	1265739.0	1175165.0	810106.0	1192658.0	1238560.0	490758.0	1232813.0	1139468.0	1301525.0	1328197.0	1134634.0	766363.0	480724.0	546493.0	1181846.0	1095809.0	898206.0	617078.0	984881.0	797332.0	985374.0	1132973.0	1048635.0	1175028.0	1097205.0	1425302.0	718302.0	944681.0	1033781.0	913505.0	979072.0
CM_cf__CF_TNFC054IS_t1M15__bin.19	1223457.0	1199948.0	1054008.0	844552.0	1210414.0	1151355.0	874771.0	1191392.0	1108223.0	1279874.0	1213556.0	1198621.0	1052130.0	771095.0	1070978.0	1171998.0	924181.0	1180177.0	1107664.0	1259593.0	1256792.0	1193280.0	1111093.0	934941.0	1026341.0	1109344.0	932839.0	1276037.0	781570.0	1051103.0	1003715.0	1142671.0	1028369.0	898969.0	1134392.0	1110489.0	718302.0	1332667.0	1199259.0	979811.0	1093939.0	766071.0
HMP_2012__SRS024637__bin.14	1469246.0	1437419.0	1324243.0	1074124.0	1481802.0	1426386.0	1113520.0	1446199.0	1349041.0	1542708.0	1472071.0	1455632.0	1307894.0	926285.0	1311631.0	1450221.0	884886.0	1441631.0	1365545.0	1509596.0	1529323.0	1458392.0	1212407.0	907027.0	994993.0	1379546.0	1153839.0	1413466.0	877235.0	1252206.0	1172477.0	1375884.0	1257379.0	1146095.0	1381636.0	1347775.0	944681.0	1199259.0	1600143.0	1231475.0	1406340.0	1023635.0
HMP_2012__SRS016319__bin.66	1395179.0	1351901.0	1344166.0	1155816.0	1334844.0	1432227.0	1142898.0	1458436.0	1375378.0	1477781.0	1460707.0	1482160.0	1366632.0	974812.0	1347143.0	1448973.0	721198.0	1465181.0	1339216.0	1513173.0	1527070.0	1325259.0	1040128.0	723616.0	810714.0	1415605.0	1219966.0	1145894.0	746902.0	1179415.0	1065253.0	1225332.0	1289874.0	1203864.0	1410227.0	1328244.0	1033781.0	979811.0	1231475.0	1687927.0	1163796.0	1075107.0
HMP_2012__SRS017076__bin.19	1382324.0	1359679.0	1263140.0	1011252.0	1376742.0	1351563.0	1065114.0	1356663.0	1269028.0	1427610.0	1368046.0	1381779.0	1234006.0	872400.0	1247118.0	1365809.0	859962.0	1357493.0	1296585.0	1423111.0	1437075.0	1372638.0	1113250.0	888888.0	919044.0	1305374.0	1098892.0	1286530.0	770275.0	1173586.0	1108963.0	1261081.0	1201621.0	1087081.0	1316498.0	1279464.0	913505.0	1093939.0	1406340.0	1163796.0	1486611.0	980875.0
HMP_2012__SRS057791__bin.37	1255062.0	1223425.0	1228308.0	1101684.0	1131778.0	1341882.0	987126.0	1363221.0	1291317.0	1360206.0	1405558.0	1351818.0	1250110.0	835750.0	1273878.0	1348237.0	563109.0	1327054.0	1243915.0	1370804.0	1406751.0	1172381.0	829829.0	549072.0	634285.0	1236815.0	1170093.0	916985.0	618607.0	1070820.0	884090.0	1032795.0	1211083.0	1120423.0	1280097.0	1159082.0	979072.0	766071.0	1023635.0	1075107.0	980875.0	1514176.0
