	LiJ_2014__MH0354__bin.30	KarlssonFH_2013__S378__bin.10	XieH_2016__YSZC12003_37192R1__bin.46	ZeeviD_2015__PNP_Main_449__bin.40	LiJ_2014__O2.UC44-1__bin.35	ZeeviD_2015__PNP_Validation_9__bin.68	ZeeviD_2015__PNP_DietIntervention_27__bin.7	SchirmerM_2016__G89100__bin.16	NielsenHB_2014__O2_UC44_2__bin.59	BritoIL_2016__M1.16.ST__bin.6	LeChatelierE_2013__MH0276__bin.40	LeChatelierE_2013__MH0431__bin.40	SchirmerM_2016__G88821__bin.18	ChengpingW_2017__AS9raw__bin.41	BackhedF_2015__SID566_M__bin.44	ZellerG_2014__CCIS74726977ST-3-0__bin.44	BritoIL_2016__W1.2.ST__bin.63	CosteaPI_2017__SID713A077-11-0-0__bin.12	ZeeviD_2015__PNP_Main_429__bin.15	ZeeviD_2015__PNP_Main_33__bin.23	SchirmerM_2016__G88815__bin.7	SchirmerM_2016__G89006__bin.4	CosteaPI_2017__SID713B016-11-90-0__bin.98	FengQ_2015__SID530026__bin.5	ZeeviD_2015__PNP_Main_268__bin.20	ZeeviD_2015__PNP_Main_739__bin.6	SchirmerM_2016__G89002__bin.2	YuJ_2015__SZAXPI017592-142__bin.73	ZellerG_2014__CCIS16383318ST-4-0__bin.93	LiJ_2014__MH0303__bin.32	KarlssonFH_2013__S393__bin.2	KarlssonFH_2013__S297__bin.3	LiSS_2016__FAT_014-22-84-0__bin.22	CosteaPI_2017__SID713B005-11-90-0__bin.33	ZeeviD_2015__PNP_DietIntervention_22__bin.1	LiJ_2014__MH0332__bin.43	LoombaR_2017__SID0008_kcu__bin.47	LiSS_2016__FAT_014-22-0-0__bin.39	ZeeviD_2015__PNP_Main_667__bin.5	LiJ_2014__MH0396__bin.28	XieH_2016__YSZC12003_37293__bin.39	ZeeviD_2015__PNP_DietIntervention_55__bin.7
ZeeviD_2015__PNP_Main_33__bin.23	8365.0	5775.0	8548.0	6215.0	7209.0	8052.0	7345.0	5714.0	7852.0	7455.0	8140.0	7710.0	7947.0	7950.0	8434.0	7726.0	8200.0	8226.0	8393.0	0.0	8168.0	8279.0	5526.0	7511.0	8030.0	7518.0	7952.0	5764.0	6598.0	8548.0	8319.0	6854.0	7246.0	8136.0	7417.0	6682.0	5254.0	6077.0	7416.0	8206.0	8567.0	7380.0
SchirmerM_2016__G88815__bin.7	8499.0	5920.0	8874.0	7178.0	7939.0	7875.0	8364.0	5633.0	8460.0	8273.0	7801.0	8631.0	8193.0	8909.0	8311.0	8936.0	9187.0	9911.0	9270.0	8168.0	0.0	9001.0	5647.0	7364.0	9128.0	8493.0	8958.0	6476.0	6990.0	8668.0	8272.0	7068.0	7322.0	9413.0	8504.0	6796.0	6303.0	6304.0	8152.0	8383.0	9392.0	8331.0
SchirmerM_2016__G89006__bin.4	8281.0	5913.0	8547.0	7514.0	7607.0	7888.0	8621.0	5893.0	8710.0	7783.0	7641.0	8853.0	8370.0	9388.0	7989.0	8647.0	8925.0	9448.0	8724.0	8279.0	9001.0	0.0	5483.0	7648.0	9203.0	7968.0	8297.0	6609.0	6899.0	7981.0	8107.0	6687.0	7168.0	8698.0	8566.0	6367.0	5424.0	6053.0	8215.0	8440.0	8691.0	8695.0
CosteaPI_2017__SID713B016-11-90-0__bin.98	5641.0	4150.0	5946.0	5180.0	5865.0	5470.0	5687.0	5421.0	5657.0	5754.0	5456.0	5671.0	5673.0	6104.0	5321.0	5842.0	6028.0	6060.0	6535.0	5526.0	5647.0	5483.0	0.0	5569.0	6042.0	5256.0	5713.0	3169.0	5233.0	5593.0	5731.0	4740.0	5215.0	6002.0	5538.0	4854.0	4818.0	4696.0	5796.0	5785.0	6048.0	5695.0
FengQ_2015__SID530026__bin.5	7350.0	5510.0	8026.0	6668.0	7312.0	7267.0	7945.0	5657.0	8066.0	7433.0	7228.0	8057.0	7601.0	8566.0	7561.0	8400.0	8675.0	8560.0	8424.0	7511.0	7364.0	7648.0	5569.0	0.0	8421.0	7634.0	7980.0	5786.0	6216.0	7734.0	7742.0	6329.0	6773.0	8411.0	7793.0	6192.0	5254.0	5773.0	7572.0	7803.0	8259.0	7923.0
ZeeviD_2015__PNP_Main_268__bin.20	9424.0	6928.0	9337.0	4768.0	7523.0	8714.0	7613.0	6602.0	8274.0	7105.0	8862.0	7228.0	8617.0	5702.0	9340.0	7447.0	8212.0	8146.0	9147.0	8030.0	9128.0	9203.0	6042.0	8421.0	0.0	7756.0	8464.0	3789.0	6813.0	9274.0	8873.0	7553.0	8002.0	7640.0	7548.0	7140.0	5368.0	6565.0	7624.0	9272.0	8833.0	7549.0
ZeeviD_2015__PNP_Main_739__bin.6	8018.0	6053.0	8691.0	6507.0	7156.0	7856.0	7535.0	5991.0	7789.0	6563.0	8135.0	7032.0	7920.0	7817.0	8226.0	6695.0	7337.0	6924.0	8434.0	7518.0	8493.0	7968.0	5256.0	7634.0	7756.0	0.0	7716.0	5326.0	6361.0	8251.0	8385.0	6916.0	7605.0	6811.0	7526.0	6820.0	5108.0	6330.0	7408.0	8195.0	8010.0	7562.0
SchirmerM_2016__G89002__bin.2	8468.0	6157.0	8520.0	6824.0	7682.0	8292.0	8368.0	6283.0	8373.0	7132.0	8314.0	8191.0	8168.0	8810.0	8726.0	8322.0	8039.0	8529.0	9039.0	7952.0	8958.0	8297.0	5713.0	7980.0	8464.0	7716.0	0.0	5922.0	6810.0	8486.0	8803.0	7072.0	7750.0	8404.0	8313.0	6870.0	1334.0	6313.0	8062.0	8687.0	7850.0	8389.0
YuJ_2015__SZAXPI017592-142__bin.73	6243.0	4289.0	6892.0	2709.0	5038.0	5884.0	5411.0	3677.0	5861.0	4642.0	6030.0	5420.0	6039.0	3470.0	6270.0	5730.0	5764.0	6046.0	6252.0	5764.0	6476.0	6609.0	3169.0	5786.0	3789.0	5326.0	5922.0	0.0	4368.0	6451.0	6577.0	5437.0	5283.0	5388.0	5509.0	4794.0	3115.0	4025.0	4998.0	6675.0	6237.0	5437.0
ZellerG_2014__CCIS16383318ST-4-0__bin.93	7162.0	4897.0	7296.0	5729.0	6150.0	6745.0	6337.0	5632.0	6257.0	6447.0	6660.0	6569.0	6465.0	7113.0	6788.0	6654.0	6986.0	7267.0	7148.0	6598.0	6990.0	6899.0	5233.0	6216.0	6813.0	6361.0	6810.0	4368.0	0.0	6902.0	7193.0	5859.0	5980.0	6895.0	6359.0	5754.0	5253.0	5324.0	6413.0	6944.0	7280.0	6327.0
LiJ_2014__MH0303__bin.32	8000.0	5642.0	8405.0	7701.0	7944.0	8167.0	9050.0	5806.0	8947.0	8106.0	7808.0	8826.0	8743.0	9599.0	8215.0	8989.0	9041.0	9659.0	9679.0	8548.0	8668.0	7981.0	5593.0	7734.0	9274.0	8251.0	8486.0	6451.0	6902.0	0.0	8545.0	6667.0	7654.0	9191.0	9120.0	6346.0	5888.0	6037.0	8665.0	8284.0	9169.0	9090.0
KarlssonFH_2013__S393__bin.2	7988.0	5749.0	9025.0	7493.0	7902.0	8145.0	8425.0	6260.0	8539.0	8340.0	7669.0	8694.0	8101.0	9134.0	7962.0	8978.0	9280.0	9273.0	9333.0	8319.0	8272.0	8107.0	5731.0	7742.0	8873.0	8385.0	8803.0	6577.0	7193.0	8545.0	0.0	6902.0	7126.0	9204.0	8666.0	6543.0	5859.0	6052.0	8408.0	8184.0	8930.0	8427.0
KarlssonFH_2013__S297__bin.3	6428.0	4772.0	7341.0	6305.0	6568.0	6445.0	7091.0	5044.0	7391.0	6584.0	6244.0	7198.0	6642.0	7774.0	6477.0	7419.0	7639.0	7747.0	7790.0	6854.0	7068.0	6687.0	4740.0	6329.0	7553.0	6916.0	7072.0	5437.0	5859.0	6667.0	6902.0	0.0	6735.0	7531.0	7141.0	5279.0	4732.0	5374.0	6970.0	6690.0	7366.0	7139.0
LiSS_2016__FAT_014-22-84-0__bin.22	7234.0	5121.0	7885.0	7162.0	6833.0	7093.0	7728.0	5531.0	7613.0	8037.0	7214.0	8049.0	7292.0	8191.0	7370.0	7956.0	8198.0	8286.0	8350.0	7246.0	7322.0	7168.0	5215.0	6773.0	8002.0	7605.0	7750.0	5283.0	5980.0	7654.0	7126.0	6735.0	0.0	8182.0	7705.0	6010.0	5038.0	785.0	7517.0	7802.0	7958.0	7711.0
CosteaPI_2017__SID713B005-11-90-0__bin.33	8738.0	6632.0	9188.0	6513.0	7427.0	8287.0	7753.0	6339.0	8271.0	6542.0	8975.0	7340.0	8402.0	7852.0	9044.0	6927.0	7725.0	7255.0	8764.0	8136.0	9413.0	8698.0	6002.0	8411.0	7640.0	6811.0	8404.0	5388.0	6895.0	9191.0	9204.0	7531.0	8182.0	0.0	7798.0	7245.0	5974.0	7068.0	7741.0	8994.0	9004.0	7762.0
ZeeviD_2015__PNP_DietIntervention_22__bin.1	8543.0	5992.0	8898.0	6983.0	7013.0	8072.0	171.0	6031.0	7749.0	7218.0	8139.0	7264.0	8244.0	7895.0	8605.0	7244.0	7901.0	8171.0	8141.0	7417.0	8504.0	8566.0	5538.0	7793.0	7548.0	7526.0	8313.0	5509.0	6359.0	9120.0	8666.0	7141.0	7705.0	7798.0	0.0	6956.0	5369.0	6679.0	277.0	8714.0	8557.0	116.0
LiJ_2014__MH0332__bin.43	6194.0	4721.0	6505.0	5878.0	6420.0	6332.0	6851.0	5022.0	7029.0	6863.0	6213.0	7037.0	6594.0	7249.0	6381.0	7020.0	7239.0	7655.0	7055.0	6682.0	6796.0	6367.0	4854.0	6192.0	7140.0	6820.0	6870.0	4794.0	5754.0	6346.0	6543.0	5279.0	6010.0	7245.0	6956.0	0.0	5015.0	4971.0	6768.0	6452.0	7245.0	6794.0
LoombaR_2017__SID0008_kcu__bin.47	5520.0	4070.0	6316.0	4644.0	5032.0	5331.0	5347.0	5238.0	5198.0	4991.0	5371.0	5217.0	5105.0	5391.0	5446.0	5722.0	5532.0	6235.0	6085.0	5254.0	6303.0	5424.0	4818.0	5254.0	5368.0	5108.0	1334.0	3115.0	5253.0	5888.0	5859.0	4732.0	5038.0	5974.0	5369.0	5015.0	0.0	4612.0	5366.0	6150.0	5705.0	5348.0
LiSS_2016__FAT_014-22-0-0__bin.39	6058.0	4403.0	6501.0	5647.0	5843.0	6013.0	6768.0	5045.0	6347.0	6314.0	5992.0	6709.0	6133.0	6671.0	6231.0	6769.0	6797.0	6702.0	6811.0	6077.0	6304.0	6053.0	4696.0	5773.0	6565.0	6330.0	6313.0	4025.0	5324.0	6037.0	6052.0	5374.0	785.0	7068.0	6679.0	4971.0	4612.0	0.0	6440.0	6216.0	6479.0	6750.0
ZeeviD_2015__PNP_Main_667__bin.5	8468.0	6040.0	8825.0	6868.0	7236.0	7958.0	185.0	6346.0	7453.0	7331.0	7987.0	7016.0	7898.0	7779.0	8672.0	7289.0	7842.0	8023.0	8239.0	7416.0	8152.0	8215.0	5796.0	7572.0	7624.0	7408.0	8062.0	4998.0	6413.0	8665.0	8408.0	6970.0	7517.0	7741.0	277.0	6768.0	5366.0	6440.0	0.0	8400.0	8256.0	179.0
LiJ_2014__MH0396__bin.28	7727.0	5932.0	8605.0	7490.0	7977.0	7996.0	8673.0	6078.0	8806.0	8316.0	7653.0	8601.0	8226.0	9426.0	8058.0	8900.0	9458.0	9416.0	9242.0	8206.0	8383.0	8440.0	5785.0	7803.0	9272.0	8195.0	8687.0	6675.0	6944.0	8284.0	8184.0	6690.0	7802.0	8994.0	8714.0	6452.0	6150.0	6216.0	8400.0	0.0	8839.0	8714.0
XieH_2016__YSZC12003_37293__bin.39	8518.0	6436.0	9208.0	7135.0	7932.0	8317.0	8517.0	6464.0	8549.0	7749.0	8231.0	8458.0	8384.0	8944.0	8633.0	8559.0	8575.0	9509.0	9157.0	8567.0	9392.0	8691.0	6048.0	8259.0	8833.0	8010.0	7850.0	6237.0	7280.0	9169.0	8930.0	7366.0	7958.0	9004.0	8557.0	7245.0	5705.0	6479.0	8256.0	8839.0	0.0	8479.0
ZeeviD_2015__PNP_DietIntervention_55__bin.7	8527.0	6068.0	8828.0	6860.0	7141.0	8004.0	39.0	6113.0	7613.0	7242.0	8183.0	7073.0	8097.0	7907.0	8680.0	7388.0	8005.0	7986.0	8476.0	7380.0	8331.0	8695.0	5695.0	7923.0	7549.0	7562.0	8389.0	5437.0	6327.0	9090.0	8427.0	7139.0	7711.0	7762.0	116.0	6794.0	5348.0	6750.0	179.0	8714.0	8479.0	0.0
