	LiJ_2014__MH0354__bin.30	KarlssonFH_2013__S378__bin.10	XieH_2016__YSZC12003_37192R1__bin.46	ZeeviD_2015__PNP_Main_449__bin.40	LiJ_2014__O2.UC44-1__bin.35	ZeeviD_2015__PNP_Validation_9__bin.68	ZeeviD_2015__PNP_DietIntervention_27__bin.7	SchirmerM_2016__G89100__bin.16	NielsenHB_2014__O2_UC44_2__bin.59	BritoIL_2016__M1.16.ST__bin.6	LeChatelierE_2013__MH0276__bin.40	LeChatelierE_2013__MH0431__bin.40	SchirmerM_2016__G88821__bin.18	ChengpingW_2017__AS9raw__bin.41	BackhedF_2015__SID566_M__bin.44	ZellerG_2014__CCIS74726977ST-3-0__bin.44	BritoIL_2016__W1.2.ST__bin.63	CosteaPI_2017__SID713A077-11-0-0__bin.12	ZeeviD_2015__PNP_Main_429__bin.15	ZeeviD_2015__PNP_Main_33__bin.23	SchirmerM_2016__G88815__bin.7	SchirmerM_2016__G89006__bin.4	CosteaPI_2017__SID713B016-11-90-0__bin.98	FengQ_2015__SID530026__bin.5	ZeeviD_2015__PNP_Main_268__bin.20	ZeeviD_2015__PNP_Main_739__bin.6	SchirmerM_2016__G89002__bin.2	YuJ_2015__SZAXPI017592-142__bin.73	ZellerG_2014__CCIS16383318ST-4-0__bin.93	LiJ_2014__MH0303__bin.32	KarlssonFH_2013__S393__bin.2	KarlssonFH_2013__S297__bin.3	LiSS_2016__FAT_014-22-84-0__bin.22	CosteaPI_2017__SID713B005-11-90-0__bin.33	ZeeviD_2015__PNP_DietIntervention_22__bin.1	LiJ_2014__MH0332__bin.43	LoombaR_2017__SID0008_kcu__bin.47	LiSS_2016__FAT_014-22-0-0__bin.39	ZeeviD_2015__PNP_Main_667__bin.5	LiJ_2014__MH0396__bin.28	XieH_2016__YSZC12003_37293__bin.39	ZeeviD_2015__PNP_DietIntervention_55__bin.7
LeChatelierE_2013__MH0276__bin.40	1455895.0	1059186.0	1461664.0	1079636.0	1141982.0	1419023.0	1438603.0	1049258.0	1410627.0	1290500.0	1515996.0	1401486.0	1452699.0	1302623.0	1449253.0	1380826.0	1466962.0	1452990.0	1467246.0	1393430.0	1443415.0	1409943.0	1020161.0	1380173.0	1415857.0	1416758.0	1434938.0	982282.0	1164123.0	1451645.0	1471305.0	1190685.0	1265773.0	1420486.0	1408741.0	956125.0	911778.0	998218.0	1363219.0	1451875.0	1455133.0	1442646.0
LeChatelierE_2013__MH0431__bin.40	1408715.0	1028136.0	1436917.0	1082069.0	1126489.0	1381615.0	1424737.0	1012754.0	1400814.0	1273631.0	1401486.0	1535941.0	1418374.0	1296768.0	1413872.0	1369927.0	1428482.0	1430925.0	1441249.0	1369303.0	1417369.0	1382722.0	979457.0	1352681.0	1395782.0	1399784.0	1407327.0	1000344.0	1157956.0	1417700.0	1437491.0	1157567.0	1251535.0	1415160.0	1418440.0	939952.0	880591.0	975537.0	1343068.0	1408616.0	1429793.0	1430731.0
SchirmerM_2016__G88821__bin.18	1478614.0	1064935.0	1482935.0	1092133.0	1157936.0	1450274.0	1478111.0	1084612.0	1427494.0	1313921.0	1452699.0	1418374.0	1555537.0	1317128.0	1452759.0	1387455.0	1470664.0	1492738.0	1496758.0	1409956.0	1482403.0	1446663.0	1027076.0	1406295.0	1450171.0	1422887.0	1476426.0	991131.0	1203332.0	1497076.0	1486380.0	1207771.0	1278642.0	1433078.0	1453575.0	972403.0	942278.0	1003868.0	1401021.0	1470966.0	1486077.0	1483271.0
ChengpingW_2017__AS9raw__bin.41	1315427.0	973520.0	1322131.0	1016471.0	1055972.0	1284271.0	1328789.0	969258.0	1289196.0	1192372.0	1302623.0	1296768.0	1317128.0	1445582.0	1316990.0	1253368.0	1323183.0	1315566.0	1331569.0	1249630.0	1298921.0	1273128.0	931551.0	1263188.0	1315267.0	1289748.0	1302499.0	887172.0	1074056.0	1311124.0	1326519.0	1077981.0	1171735.0	1297084.0	1314654.0	874363.0	832229.0	915119.0	1260748.0	1307573.0	1313468.0	1330242.0
BackhedF_2015__SID566_M__bin.44	1462614.0	1060784.0	1468905.0	1093861.0	1150020.0	1418649.0	1444140.0	1055336.0	1430034.0	1301114.0	1449253.0	1413872.0	1452759.0	1316990.0	1524381.0	1391063.0	1462514.0	1457862.0	1472166.0	1382190.0	1443586.0	1414547.0	1012292.0	1394843.0	1422803.0	1423961.0	1437880.0	997154.0	1177175.0	1476095.0	1479302.0	1199732.0	1277954.0	1432911.0	1426347.0	961163.0	899629.0	1004700.0	1365010.0	1457474.0	1452366.0	1445248.0
ZellerG_2014__CCIS74726977ST-3-0__bin.44	1399821.0	1002090.0	1425375.0	1053954.0	1112228.0	1375867.0	1392802.0	1027502.0	1375419.0	1242901.0	1380826.0	1369927.0	1387455.0	1253368.0	1391063.0	1531166.0	1449685.0	1432894.0	1422313.0	1353964.0	1402309.0	1364056.0	993746.0	1348779.0	1372426.0	1383586.0	1403557.0	980773.0	1157300.0	1409246.0	1432040.0	1152462.0	1218817.0	1428228.0	1365250.0	912696.0	904250.0	965266.0	1313007.0	1406857.0	1428224.0	1396355.0
BritoIL_2016__W1.2.ST__bin.63	1470712.0	1069313.0	1508036.0	1104172.0	1171394.0	1458738.0	1474926.0	1066836.0	1448659.0	1322436.0	1466962.0	1428482.0	1470664.0	1323183.0	1462514.0	1449685.0	1610856.0	1521938.0	1501955.0	1414019.0	1483818.0	1447797.0	1032220.0	1407377.0	1451785.0	1456088.0	1489478.0	1026965.0	1184562.0	1480718.0	1491296.0	1211125.0	1281650.0	1478370.0	1447687.0	961539.0	961085.0	1010253.0	1389945.0	1479427.0	1524506.0	1481652.0
CosteaPI_2017__SID713A077-11-0-0__bin.12	1483264.0	1066687.0	1524687.0	1095588.0	1152863.0	1447178.0	1477460.0	1078919.0	1429187.0	1329310.0	1452990.0	1430925.0	1492738.0	1315566.0	1457862.0	1432894.0	1521938.0	1670558.0	1500831.0	1418030.0	1531301.0	1466963.0	1031160.0	1409050.0	1447281.0	1446350.0	1492807.0	1045035.0	1206307.0	1498046.0	1491372.0	1218606.0	1277280.0	1493392.0	1459408.0	984413.0	1004899.0	1007823.0	1394969.0	1485172.0	1561147.0	1484376.0
ZeeviD_2015__PNP_Main_429__bin.15	1499180.0	1080172.0	1502683.0	1110513.0	1173624.0	1449692.0	1477175.0	1079575.0	1459855.0	1319460.0	1467246.0	1441249.0	1496758.0	1331569.0	1472166.0	1422313.0	1501955.0	1500831.0	1611732.0	1414325.0	1505566.0	1446562.0	1036458.0	1409670.0	1450125.0	1442451.0	1488328.0	1027839.0	1204422.0	1501683.0	1521393.0	1230081.0	1303503.0	1460059.0	1451352.0	972755.0	951762.0	1020221.0	1393328.0	1485449.0	1502146.0	1485967.0
ZeeviD_2015__PNP_Main_33__bin.23	1429387.0	1009297.0	1411862.0	1033574.0	1096179.0	1430171.0	1397538.0	1015716.0	1364058.0	1258090.0	1393430.0	1369303.0	1409956.0	1249630.0	1382190.0	1353964.0	1414019.0	1418030.0	1414325.0	1526747.0	1411070.0	1382760.0	984431.0	1341031.0	1371174.0	1361366.0	1405060.0	948824.0	1174177.0	1411734.0	1432665.0	1155095.0	1213734.0	1391376.0	1373363.0	930957.0	909629.0	954271.0	1323289.0	1404208.0	1433218.0	1401959.0
SchirmerM_2016__G88815__bin.7	1489087.0	1056122.0	1502660.0	1083087.0	1148580.0	1445691.0	1467883.0	1076263.0	1411125.0	1309687.0	1443415.0	1417369.0	1482403.0	1298921.0	1443586.0	1402309.0	1483818.0	1531301.0	1505566.0	1411070.0	1687366.0	1464349.0	1028136.0	1399343.0	1429714.0	1421789.0	1481341.0	1018022.0	1221057.0	1484405.0	1486902.0	1221245.0	1281091.0	1443328.0	1447325.0	975613.0	980470.0	1002129.0	1385381.0	1476994.0	1530508.0	1472160.0
SchirmerM_2016__G89006__bin.4	1448791.0	1034720.0	1452866.0	1054330.0	1116372.0	1415242.0	1430735.0	1036199.0	1380900.0	1272092.0	1409943.0	1382722.0	1446663.0	1273128.0	1414547.0	1364056.0	1447797.0	1466963.0	1446562.0	1382760.0	1464349.0	1573705.0	993656.0	1379538.0	1395333.0	1379836.0	1432363.0	980053.0	1171644.0	1447680.0	1438826.0	1168856.0	1241317.0	1391572.0	1406192.0	937958.0	903743.0	976989.0	1344239.0	1435329.0	1462949.0	1437736.0
CosteaPI_2017__SID713B016-11-90-0__bin.98	1042689.0	766974.0	1018564.0	793508.0	859644.0	1011966.0	1028575.0	969287.0	982318.0	951084.0	1020161.0	979457.0	1027076.0	931551.0	1012292.0	993746.0	1032220.0	1031160.0	1036458.0	984431.0	1028136.0	993656.0	1091687.0	1025262.0	1008104.0	982310.0	1029659.0	551065.0	935878.0	1033691.0	1041622.0	861637.0	966019.0	1015374.0	1002601.0	725191.0	837039.0	793855.0	985013.0	1024376.0	1034472.0	1029962.0
FengQ_2015__SID530026__bin.5	1418356.0	1014073.0	1400320.0	1041387.0	1099750.0	1382720.0	1400811.0	1045769.0	1377123.0	1260136.0	1380173.0	1352681.0	1406295.0	1263188.0	1394843.0	1348779.0	1407377.0	1409050.0	1409670.0	1341031.0	1399343.0	1379538.0	1025262.0	1495992.0	1379611.0	1357369.0	1396677.0	935360.0	1134835.0	1420157.0	1410570.0	1145907.0	1233510.0	1393431.0	1388786.0	943965.0	904667.0	970887.0	1325258.0	1403443.0	1413510.0	1408145.0
ZeeviD_2015__PNP_Main_268__bin.20	1446248.0	1047284.0	1438891.0	1090664.0	1143542.0	1428797.0	1458343.0	1046973.0	1421315.0	1284684.0	1415857.0	1395782.0	1450171.0	1315267.0	1422803.0	1372426.0	1451785.0	1447281.0	1450125.0	1371174.0	1429714.0	1395333.0	1008104.0	1379611.0	1535515.0	1394812.0	1429478.0	995772.0	1170085.0	1436946.0	1444838.0	1165491.0	1242815.0	1404766.0	1428236.0	935367.0	887089.0	974729.0	1388325.0	1433900.0	1446146.0	1462638.0
ZeeviD_2015__PNP_Main_739__bin.6	1413952.0	1037689.0	1443972.0	1071266.0	1130385.0	1401265.0	1421860.0	1034580.0	1399074.0	1287812.0	1416758.0	1399784.0	1422887.0	1289748.0	1423961.0	1383586.0	1456088.0	1446350.0	1442451.0	1361366.0	1421789.0	1379836.0	982310.0	1357369.0	1394812.0	1494227.0	1419360.0	983185.0	1143110.0	1427226.0	1443487.0	1164998.0	1252708.0	1435677.0	1409418.0	943116.0	895310.0	989741.0	1343162.0	1416571.0	1437471.0	1425867.0
SchirmerM_2016__G89002__bin.2	1471286.0	1056281.0	1462299.0	1077234.0	1153342.0	1446530.0	1470755.0	1073214.0	1417864.0	1315706.0	1434938.0	1407327.0	1476426.0	1302499.0	1437880.0	1403557.0	1489478.0	1492807.0	1488328.0	1405060.0	1481341.0	1432363.0	1029659.0	1396677.0	1429478.0	1419360.0	1570716.0	992158.0	1199377.0	1476767.0	1474052.0	1193018.0	1266249.0	1451345.0	1453647.0	965640.0	964341.0	1003884.0	1384564.0	1459129.0	1499485.0	1473150.0
YuJ_2015__SZAXPI017592-142__bin.73	996934.0	681244.0	1049265.0	714575.0	747318.0	967573.0	998967.0	603100.0	1014875.0	856609.0	982282.0	1000344.0	991131.0	887172.0	997154.0	980773.0	1026965.0	1045035.0	1027839.0	948824.0	1018022.0	980053.0	551065.0	935360.0	995772.0	983185.0	992158.0	1128464.0	751918.0	996467.0	1021290.0	790181.0	825736.0	983182.0	991555.0	612482.0	476422.0	598428.0	928322.0	996335.0	1034369.0	1006614.0
ZellerG_2014__CCIS16383318ST-4-0__bin.93	1211583.0	878062.0	1198469.0	908378.0	970313.0	1181054.0	1189608.0	1012082.0	1158806.0	1073516.0	1164123.0	1157956.0	1203332.0	1074056.0	1177175.0	1157300.0	1184562.0	1206307.0	1204422.0	1174177.0	1221057.0	1171644.0	935878.0	1134835.0	1170085.0	1143110.0	1199377.0	751918.0	1316750.0	1199816.0	1220720.0	997457.0	1064981.0	1170244.0	1162787.0	818469.0	894199.0	857813.0	1127485.0	1206914.0	1212289.0	1190763.0
LiJ_2014__MH0303__bin.32	1501614.0	1062221.0	1488317.0	1094950.0	1156062.0	1457854.0	1478246.0	1075967.0	1428338.0	1308153.0	1451645.0	1417700.0	1497076.0	1311124.0	1476095.0	1409246.0	1480718.0	1498046.0	1501683.0	1411734.0	1484405.0	1447680.0	1033691.0	1420157.0	1436946.0	1427226.0	1476767.0	996467.0	1199816.0	1575418.0	1502229.0	1207987.0	1282902.0	1443132.0	1454868.0	973697.0	942607.0	1002881.0	1393412.0	1486138.0	1502603.0	1483892.0
KarlssonFH_2013__S393__bin.2	1507305.0	1077852.0	1514570.0	1108103.0	1168293.0	1457320.0	1475822.0	1082644.0	1453427.0	1314309.0	1471305.0	1437491.0	1486380.0	1326519.0	1479302.0	1432040.0	1491296.0	1491372.0	1521393.0	1432665.0	1486902.0	1438826.0	1041622.0	1410570.0	1444838.0	1443487.0	1474052.0	1021290.0	1220720.0	1502229.0	1601716.0	1236040.0	1301433.0	1460732.0	1451807.0	977496.0	938000.0	1019944.0	1392343.0	1480247.0	1502477.0	1480943.0
KarlssonFH_2013__S297__bin.3	1212776.0	885143.0	1226930.0	906847.0	962922.0	1171186.0	1198490.0	895805.0	1166840.0	1064456.0	1190685.0	1157567.0	1207771.0	1077981.0	1199732.0	1152462.0	1211125.0	1218606.0	1230081.0	1155095.0	1221245.0	1168856.0	861637.0	1145907.0	1165491.0	1164998.0	1193018.0	790181.0	997457.0	1207987.0	1236040.0	1318938.0	1069056.0	1189622.0	1179381.0	805602.0	807186.0	836164.0	1136790.0	1211691.0	1220416.0	1201652.0
LiSS_2016__FAT_014-22-84-0__bin.22	1281662.0	936927.0	1288700.0	972784.0	1006755.0	1245215.0	1282355.0	1003670.0	1243979.0	1164178.0	1265773.0	1251535.0	1278642.0	1171735.0	1277954.0	1218817.0	1281650.0	1277280.0	1303503.0	1213734.0	1281091.0	1241317.0	966019.0	1233510.0	1242815.0	1252708.0	1266249.0	825736.0	1064981.0	1282902.0	1301433.0	1069056.0	1380130.0	1267464.0	1273056.0	866477.0	867464.0	935217.0	1210752.0	1272771.0	1283866.0	1282234.0
CosteaPI_2017__SID713B005-11-90-0__bin.33	1427326.0	1038456.0	1447950.0	1081896.0	1146615.0	1411128.0	1438379.0	1034789.0	1416629.0	1303848.0	1420486.0	1415160.0	1433078.0	1297084.0	1432911.0	1428228.0	1478370.0	1493392.0	1460059.0	1391376.0	1443328.0	1391572.0	1015374.0	1393431.0	1404766.0	1435677.0	1451345.0	983182.0	1170244.0	1443132.0	1460732.0	1189622.0	1267464.0	1582981.0	1428727.0	959243.0	954410.0	998155.0	1353094.0	1444324.0	1477026.0	1442202.0
ZeeviD_2015__PNP_DietIntervention_22__bin.1	1449245.0	1039406.0	1453252.0	1104106.0	1135561.0	1419443.0	1528252.0	1038066.0	1422764.0	1302799.0	1408741.0	1418440.0	1453575.0	1314654.0	1426347.0	1365250.0	1447687.0	1459408.0	1451352.0	1373363.0	1447325.0	1406192.0	1002601.0	1388786.0	1428236.0	1409418.0	1453647.0	991555.0	1162787.0	1454868.0	1451807.0	1179381.0	1273056.0	1428727.0	1571226.0	960459.0	916861.0	999361.0	1434248.0	1435698.0	1457980.0	1534097.0
LiJ_2014__MH0332__bin.43	975548.0	715005.0	965536.0	722466.0	786640.0	953157.0	961193.0	750626.0	940547.0	883908.0	956125.0	939952.0	972403.0	874363.0	961163.0	912696.0	961539.0	984413.0	972755.0	930957.0	975613.0	937958.0	725191.0	943965.0	935367.0	943116.0	965640.0	612482.0	818469.0	973697.0	977496.0	805602.0	866477.0	959243.0	960459.0	1043662.0	678785.0	708117.0	915890.0	968227.0	983669.0	961971.0
LoombaR_2017__SID0008_kcu__bin.47	927613.0	697520.0	956019.0	727030.0	769627.0	920616.0	933164.0	874919.0	884848.0	874109.0	911778.0	880591.0	942278.0	832229.0	899629.0	904250.0	961085.0	1004899.0	951762.0	909629.0	980470.0	903743.0	837039.0	904667.0	887089.0	895310.0	964341.0	476422.0	894199.0	942607.0	938000.0	807186.0	867464.0	954410.0	916861.0	678785.0	1086877.0	713097.0	896985.0	950383.0	1013356.0	936576.0
LiSS_2016__FAT_014-22-0-0__bin.39	1009029.0	733988.0	1011152.0	772001.0	826009.0	979516.0	1008369.0	814269.0	971529.0	928314.0	998218.0	975537.0	1003868.0	915119.0	1004700.0	965266.0	1010253.0	1007823.0	1020221.0	954271.0	1002129.0	976989.0	793855.0	970887.0	974729.0	989741.0	1003884.0	598428.0	857813.0	1002881.0	1019944.0	836164.0	935217.0	998155.0	999361.0	708117.0	713097.0	1055181.0	957870.0	1003581.0	1009133.0	1007542.0
ZeeviD_2015__PNP_Main_667__bin.5	1386883.0	1006679.0	1394070.0	1054625.0	1102111.0	1368790.0	1461087.0	1029430.0	1347514.0	1248663.0	1363219.0	1343068.0	1401021.0	1260748.0	1365010.0	1313007.0	1389945.0	1394969.0	1393328.0	1323289.0	1385381.0	1344239.0	985013.0	1325258.0	1388325.0	1343162.0	1384564.0	928322.0	1127485.0	1393412.0	1392343.0	1136790.0	1210752.0	1353094.0	1434248.0	915890.0	896985.0	957870.0	1487743.0	1378930.0	1395667.0	1462084.0
LiJ_2014__MH0396__bin.28	1478177.0	1064171.0	1486204.0	1085284.0	1150411.0	1439392.0	1462798.0	1065091.0	1419037.0	1302618.0	1451875.0	1408616.0	1470966.0	1307573.0	1457474.0	1406857.0	1479427.0	1485172.0	1485449.0	1404208.0	1476994.0	1435329.0	1024376.0	1403443.0	1433900.0	1416571.0	1459129.0	996335.0	1206914.0	1486138.0	1480247.0	1211691.0	1272771.0	1444324.0	1435698.0	968227.0	950383.0	1003581.0	1378930.0	1580604.0	1480671.0	1465356.0
XieH_2016__YSZC12003_37293__bin.39	1480879.0	1064781.0	1527899.0	1090524.0	1163220.0	1466485.0	1483009.0	1079338.0	1432329.0	1330569.0	1455133.0	1429793.0	1486077.0	1313468.0	1452366.0	1428224.0	1524506.0	1561147.0	1502146.0	1433218.0	1530508.0	1462949.0	1034472.0	1413510.0	1446146.0	1437471.0	1499485.0	1034369.0	1212289.0	1502603.0	1502477.0	1220416.0	1283866.0	1477026.0	1457980.0	983669.0	1013356.0	1009133.0	1395667.0	1480671.0	1635592.0	1490580.0
ZeeviD_2015__PNP_DietIntervention_55__bin.7	1481088.0	1055144.0	1483309.0	1111835.0	1157809.0	1447951.0	1560500.0	1066758.0	1433282.0	1311767.0	1442646.0	1430731.0	1483271.0	1330242.0	1445248.0	1396355.0	1481652.0	1484376.0	1485967.0	1401959.0	1472160.0	1437736.0	1029962.0	1408145.0	1462638.0	1425867.0	1473150.0	1006614.0	1190763.0	1483892.0	1480943.0	1201652.0	1282234.0	1442202.0	1534097.0	961971.0	936576.0	1007542.0	1462084.0	1465356.0	1490580.0	1573784.0
