	XieH_2016__YSZC12003_37877__bin.27	XieH_2016__YSZC12003_35520__bin.137	CosteaPI_2017__SID713A026-11-0-0__bin.18	QinJ_2012__T2D-016__bin.17	HMP_2012__SRS049959__bin.78	BackhedF_2015__SID7_12M__bin.16	BackhedF_2015__SID39_4M__bin.19	QinJ_2012__DLM022__bin.27	XieH_2016__YSZC12003_36526__bin.42	QinJ_2012__CON-007__bin.17	ZellerG_2014__CCIS52370277ST-4-0__bin.29	XieH_2016__YSZC12003_36211__bin.8	XieH_2016__YSZC12003_36667__bin.35	QinJ_2012__T2D-049__bin.25	VincentC_2016__MM056.2__bin.9	VatanenT_2016__G80598__bin.6	XieH_2016__YSZC12003_35636__bin.35	RaymondF_2016__P19E0__bin.22	XieH_2016__YSZC12003_36695__bin.43	XieH_2016__YSZC12003_37652__bin.104	LiJ_2014__V1.FI14__bin.22	ChengpingW_2017__AS96raw__bin.56	ZeeviD_2015__PNP_Main_178__bin.27	VogtmannE_2016__MMRS15137911ST-27-0-0__bin.28	YuJ_2015__SZAXPI015225-18__bin.46	BackhedF_2015__SID39_12M__bin.10	XieH_2016__YSZC12003_36058__bin.76	LeChatelierE_2013__MH0229__bin.61	WenC_2017__N253__bin.60	ZeeviD_2015__PNP_Main_471__bin.17	BackhedF_2015__SID570_B__bin.3	VogtmannE_2016__MMRS40913371ST-27-0-0__bin.26	ZellerG_2014__CCIS13047523ST-4-0__bin.11	LiuW_2016__SRR3992973__bin.110	HMP_2012__SRS011239__bin.45
ZellerG_2014__CCIS52370277ST-4-0__bin.29	4192636.0	4316871.0	3134192.0	4302073.0	4088775.0	4244012.0	4218259.0	3694245.0	3932058.0	2694032.0	5468430.0	3937976.0	4249427.0	4315688.0	3846691.0	4483073.0	4287616.0	3277395.0	4269594.0	3102757.0	3347367.0	3982793.0	4311373.0	4334724.0	4307272.0	4303807.0	4309984.0	4003879.0	4381545.0	4339774.0	4104815.0	4001487.0	3119025.0	3150065.0	4266698.0
XieH_2016__YSZC12003_36211__bin.8	4661246.0	4813909.0	3311662.0	4782597.0	4430152.0	4853437.0	4526052.0	4375173.0	4257479.0	2560745.0	3937976.0	5533242.0	4434760.0	4590384.0	4164495.0	4779656.0	4759194.0	3474332.0	4773860.0	3317439.0	3374064.0	4378902.0	4532750.0	4813150.0	4751901.0	4597022.0	4798499.0	4179092.0	4533330.0	4564997.0	4520231.0	4032155.0	3080882.0	3406643.0	4708605.0
XieH_2016__YSZC12003_36667__bin.35	4678387.0	4837974.0	3504849.0	4850814.0	4468315.0	4739029.0	4806983.0	4177984.0	4403383.0	2766712.0	4249427.0	4434760.0	5809434.0	4834673.0	4369051.0	5014147.0	4882883.0	3527817.0	4820034.0	3426010.0	3570397.0	4444176.0	4778027.0	4934423.0	4806676.0	4861777.0	4904940.0	4541516.0	4786366.0	4820362.0	4746125.0	4422625.0	3293220.0	3506992.0	4751550.0
QinJ_2012__T2D-049__bin.25	5080164.0	5095226.0	3503199.0	5153255.0	4661216.0	4990510.0	5179239.0	4320088.0	4661761.0	2876550.0	4315688.0	4590384.0	4834673.0	6492254.0	4602100.0	5133214.0	5200236.0	3685631.0	5037353.0	3589956.0	3743241.0	4643337.0	4993615.0	5215965.0	5078691.0	5329294.0	5229399.0	4491345.0	5025033.0	5055559.0	4849581.0	4496944.0	3486392.0	3657659.0	4987628.0
VincentC_2016__MM056.2__bin.9	4596215.0	4622321.0	3124549.0	4833564.0	4199051.0	4545794.0	4594626.0	3926096.0	4390571.0	2561923.0	3846691.0	4164495.0	4369051.0	4602100.0	5670473.0	4615069.0	4935207.0	3296801.0	4605696.0	3275202.0	3299530.0	4257234.0	4418359.0	4983451.0	4592225.0	4697035.0	4964336.0	4017852.0	4473895.0	4445812.0	4364186.0	4006793.0	3137842.0	3339506.0	4573445.0
VatanenT_2016__G80598__bin.6	4995222.0	5302953.0	3616309.0	5147897.0	4709448.0	5083926.0	5150916.0	4392221.0	4578901.0	2869743.0	4483073.0	4779656.0	5014147.0	5133214.0	4615069.0	6538724.0	5177930.0	3810383.0	5299234.0	3517264.0	3768943.0	4694000.0	5066113.0	5249490.0	5108728.0	5283173.0	5205818.0	4712249.0	5100121.0	5074743.0	5016798.0	4624386.0	3464421.0	3637876.0	5204906.0
XieH_2016__YSZC12003_35636__bin.35	5179666.0	5259952.0	3512873.0	5420586.0	4780340.0	5055798.0	5094942.0	4524202.0	5309617.0	2828862.0	4287616.0	4759194.0	4882883.0	5200236.0	4935207.0	5177930.0	6345998.0	3766384.0	5199525.0	3863806.0	3716035.0	4793695.0	4964229.0	5747260.0	5234746.0	5224155.0	6112944.0	4487633.0	4984919.0	5022759.0	4947062.0	4408169.0	3445068.0	3905042.0	5177609.0
RaymondF_2016__P19E0__bin.22	3704441.0	4200502.0	2649537.0	3787151.0	3524327.0	3734330.0	3619158.0	3242068.0	3463846.0	2308271.0	3277395.0	3474332.0	3527817.0	3685631.0	3296801.0	3810383.0	3766384.0	5119233.0	4176122.0	2734797.0	2823534.0	3506602.0	3601155.0	3819140.0	3775721.0	3717872.0	3773079.0	3277984.0	3598028.0	3615841.0	3619686.0	3256623.0	2598556.0	2821893.0	4147199.0
XieH_2016__YSZC12003_36695__bin.43	5078955.0	6036366.0	3486563.0	5233026.0	4767311.0	5095266.0	4954617.0	4455681.0	4643341.0	2774446.0	4269594.0	4773860.0	4820034.0	5037353.0	4605696.0	5299234.0	5199525.0	4176122.0	6143352.0	3549667.0	3650014.0	4801017.0	4891511.0	5279221.0	5176570.0	5123296.0	5219815.0	4536230.0	4926081.0	4905418.0	4928929.0	4458342.0	3370513.0	3630985.0	5896445.0
XieH_2016__YSZC12003_37652__bin.104	3549632.0	3604022.0	2787564.0	3642765.0	3291223.0	3543428.0	3513001.0	3149081.0	3612973.0	2098676.0	3102757.0	3317439.0	3426010.0	3589956.0	3275202.0	3517264.0	3863806.0	2734797.0	3549667.0	4196375.0	2832690.0	3321145.0	3447727.0	3742443.0	3524524.0	3557539.0	3894246.0	3134647.0	3456153.0	3485572.0	3440653.0	2971850.0	2355519.0	3151646.0	3546505.0
LiJ_2014__V1.FI14__bin.22	3593267.0	3694177.0	2827656.0	3678763.0	3431478.0	3707587.0	3680825.0	3192356.0	3424410.0	2507033.0	3347367.0	3374064.0	3570397.0	3743241.0	3299530.0	3768943.0	3716035.0	2823534.0	3650014.0	2832690.0	4642569.0	3449691.0	4012734.0	3733356.0	3666261.0	3743903.0	3727704.0	3313925.0	4089004.0	4052933.0	3542045.0	3257834.0	2823457.0	2905857.0	3653483.0
ChengpingW_2017__AS96raw__bin.56	4704076.0	4810317.0	3351786.0	4721052.0	4438048.0	4718902.0	4615582.0	4501992.0	4337142.0	2648547.0	3982793.0	4378902.0	4444176.0	4643337.0	4257234.0	4694000.0	4793695.0	3506602.0	4801017.0	3321145.0	3449691.0	5554108.0	4494765.0	4888566.0	5258530.0	4728191.0	4831526.0	4210351.0	4511414.0	4510590.0	4527251.0	4058036.0	3182234.0	3451343.0	4718792.0
ZeeviD_2015__PNP_Main_178__bin.27	4785742.0	4922107.0	3449876.0	4960351.0	4607999.0	4948398.0	4894012.0	4226691.0	4461093.0	3318060.0	4311373.0	4532750.0	4778027.0	4993615.0	4418359.0	5066113.0	4964229.0	3601155.0	4891511.0	3447727.0	4012734.0	4494765.0	6087167.0	5023059.0	4884086.0	5021856.0	5017144.0	4483716.0	5619042.0	5858353.0	4687927.0	4421804.0	4044266.0	3521586.0	4835871.0
VogtmannE_2016__MMRS15137911ST-27-0-0__bin.28	5237345.0	5332591.0	3547437.0	5518592.0	4823396.0	5165635.0	5139460.0	4588958.0	5030066.0	2842009.0	4334724.0	4813150.0	4934423.0	5215965.0	4983451.0	5249490.0	5747260.0	3819140.0	5279221.0	3742443.0	3733356.0	4888566.0	5023059.0	6500192.0	5346932.0	5300006.0	5835073.0	4571587.0	5034438.0	5082809.0	4994922.0	4458603.0	3463606.0	3802181.0	5223353.0
YuJ_2015__SZAXPI015225-18__bin.46	5085763.0	5229563.0	3500258.0	5147840.0	4806907.0	5083431.0	5020962.0	5036276.0	4660641.0	2785394.0	4307272.0	4751901.0	4806676.0	5078691.0	4592225.0	5108728.0	5234746.0	3775721.0	5176570.0	3524524.0	3666261.0	5258530.0	4884086.0	5346932.0	6481567.0	5150643.0	5270960.0	4506829.0	4900382.0	4914007.0	4860557.0	4403283.0	3372337.0	3624437.0	5134323.0
BackhedF_2015__SID39_12M__bin.10	5105458.0	5164191.0	3575113.0	5149149.0	4630252.0	5021631.0	6127573.0	4368534.0	4643507.0	2875721.0	4303807.0	4597022.0	4861777.0	5329294.0	4697035.0	5283173.0	5224155.0	3717872.0	5123296.0	3557539.0	3743903.0	4728191.0	5021856.0	5300006.0	5150643.0	6432398.0	5274323.0	4527000.0	5090015.0	5078891.0	4888030.0	4531761.0	3469058.0	3625852.0	5059291.0
XieH_2016__YSZC12003_36058__bin.76	5226619.0	5290495.0	3536340.0	5477500.0	4806459.0	5105820.0	5138621.0	4548389.0	5322931.0	2846869.0	4309984.0	4798499.0	4904940.0	5229399.0	4964336.0	5205818.0	6112944.0	3773079.0	5219815.0	3894246.0	3727704.0	4831526.0	5017144.0	5835073.0	5270960.0	5274323.0	6316233.0	4519755.0	5028170.0	5080323.0	4977133.0	4443182.0	3463123.0	3927744.0	5199560.0
LeChatelierE_2013__MH0229__bin.61	4345830.0	4508809.0	3275852.0	4449484.0	4164148.0	4417325.0	4474732.0	3893879.0	4071820.0	2645992.0	4003879.0	4179092.0	4541516.0	4491345.0	4017852.0	4712249.0	4487633.0	3277984.0	4536230.0	3134647.0	3313925.0	4210351.0	4483716.0	4571587.0	4506829.0	4527000.0	4519755.0	5348475.0	4500639.0	4495806.0	4351618.0	4179289.0	3132681.0	3223139.0	4425177.0
WenC_2017__N253__bin.60	4807511.0	4955792.0	3454829.0	4962558.0	4611452.0	4962468.0	4955825.0	4216274.0	4439064.0	3193901.0	4381545.0	4533330.0	4786366.0	5025033.0	4473895.0	5100121.0	4984919.0	3598028.0	4926081.0	3456153.0	4089004.0	4511414.0	5619042.0	5034438.0	4900382.0	5090015.0	5028170.0	4500639.0	6355232.0	5624730.0	4751763.0	4456922.0	3886241.0	3541057.0	4886104.0
ZeeviD_2015__PNP_Main_471__bin.17	4885767.0	4958849.0	3486423.0	5006495.0	4625441.0	4979712.0	4955979.0	4231959.0	4482420.0	3328610.0	4339774.0	4564997.0	4820362.0	5055559.0	4445812.0	5074743.0	5022759.0	3615841.0	4905418.0	3485572.0	4052933.0	4510590.0	5858353.0	5082809.0	4914007.0	5078891.0	5080323.0	4495806.0	5624730.0	6340240.0	4736258.0	4451746.0	4004961.0	3569221.0	4864902.0
BackhedF_2015__SID570_B__bin.3	4769878.0	4983958.0	3352956.0	4932490.0	4555988.0	4893119.0	4755426.0	4281116.0	4430137.0	2680488.0	4104815.0	4520231.0	4746125.0	4849581.0	4364186.0	5016798.0	4947062.0	3619686.0	4928929.0	3440653.0	3542045.0	4527251.0	4687927.0	4994922.0	4860557.0	4888030.0	4977133.0	4351618.0	4751763.0	4736258.0	5775791.0	4292179.0	3263490.0	3513887.0	4888348.0
VogtmannE_2016__MMRS40913371ST-27-0-0__bin.26	4282430.0	4483778.0	3126237.0	4445196.0	4172935.0	4386976.0	4385129.0	3689196.0	4002636.0	2611493.0	4001487.0	4032155.0	4422625.0	4496944.0	4006793.0	4624386.0	4408169.0	3256623.0	4458342.0	2971850.0	3257834.0	4058036.0	4421804.0	4458603.0	4403283.0	4531761.0	4443182.0	4179289.0	4456922.0	4451746.0	4292179.0	5997042.0	3232448.0	3049545.0	4398707.0
ZellerG_2014__CCIS13047523ST-4-0__bin.11	3315204.0	3388787.0	2364443.0	3413094.0	3288338.0	3427218.0	3371183.0	2842643.0	3166037.0	2581640.0	3119025.0	3080882.0	3293220.0	3486392.0	3137842.0	3464421.0	3445068.0	2598556.0	3370513.0	2355519.0	2823457.0	3182234.0	4044266.0	3463606.0	3372337.0	3469058.0	3463123.0	3132681.0	3886241.0	4004961.0	3263490.0	3232448.0	4495882.0	2417039.0	3358219.0
LiuW_2016__SRR3992973__bin.110	3581009.0	3686589.0	2917229.0	3716302.0	3356563.0	3621381.0	3574321.0	3277518.0	3608947.0	2152220.0	3150065.0	3406643.0	3506992.0	3657659.0	3339506.0	3637876.0	3905042.0	2821893.0	3630985.0	3151646.0	2905857.0	3451343.0	3521586.0	3802181.0	3624437.0	3625852.0	3927744.0	3223139.0	3541057.0	3569221.0	3513887.0	3049545.0	2417039.0	4199236.0	3642706.0
HMP_2012__SRS011239__bin.45	5020360.0	5938822.0	3470683.0	5166389.0	4750354.0	5038175.0	4900779.0	4424025.0	4634944.0	2772169.0	4266698.0	4708605.0	4751550.0	4987628.0	4573445.0	5204906.0	5177609.0	4147199.0	5896445.0	3546505.0	3653483.0	4718792.0	4835871.0	5223353.0	5134323.0	5059291.0	5199560.0	4425177.0	4886104.0	4864902.0	4888348.0	4398707.0	3358219.0	3642706.0	6157492.0
