	XieH_2016__YSZC12003_37877__bin.27	XieH_2016__YSZC12003_35520__bin.137	CosteaPI_2017__SID713A026-11-0-0__bin.18	QinJ_2012__T2D-016__bin.17	HMP_2012__SRS049959__bin.78	BackhedF_2015__SID7_12M__bin.16	BackhedF_2015__SID39_4M__bin.19	QinJ_2012__DLM022__bin.27	XieH_2016__YSZC12003_36526__bin.42	QinJ_2012__CON-007__bin.17	ZellerG_2014__CCIS52370277ST-4-0__bin.29	XieH_2016__YSZC12003_36211__bin.8	XieH_2016__YSZC12003_36667__bin.35	QinJ_2012__T2D-049__bin.25	VincentC_2016__MM056.2__bin.9	VatanenT_2016__G80598__bin.6	XieH_2016__YSZC12003_35636__bin.35	RaymondF_2016__P19E0__bin.22	XieH_2016__YSZC12003_36695__bin.43	XieH_2016__YSZC12003_37652__bin.104	LiJ_2014__V1.FI14__bin.22	ChengpingW_2017__AS96raw__bin.56	ZeeviD_2015__PNP_Main_178__bin.27	VogtmannE_2016__MMRS15137911ST-27-0-0__bin.28	YuJ_2015__SZAXPI015225-18__bin.46	BackhedF_2015__SID39_12M__bin.10	XieH_2016__YSZC12003_36058__bin.76	LeChatelierE_2013__MH0229__bin.61	WenC_2017__N253__bin.60	ZeeviD_2015__PNP_Main_471__bin.17	BackhedF_2015__SID570_B__bin.3	VogtmannE_2016__MMRS40913371ST-27-0-0__bin.26	ZellerG_2014__CCIS13047523ST-4-0__bin.11	LiuW_2016__SRR3992973__bin.110	HMP_2012__SRS011239__bin.45
ZellerG_2014__CCIS52370277ST-4-0__bin.29	57485.0	52852.0	39520.0	64027.0	47894.0	56346.0	65624.0	43933.0	58879.0	36442.0	0.0	47083.0	47832.0	72146.0	52766.0	47092.0	65257.0	41079.0	51341.0	48782.0	45929.0	46653.0	53091.0	63676.0	52893.0	66997.0	65365.0	41678.0	56155.0	54391.0	48715.0	44362.0	40832.0	45073.0	51844.0
XieH_2016__YSZC12003_36211__bin.8	61249.0	55924.0	43280.0	69388.0	47328.0	56592.0	76154.0	51747.0	63572.0	36983.0	47083.0	0.0	55582.0	79751.0	59411.0	58010.0	73131.0	39261.0	55435.0	51461.0	50970.0	49516.0	61709.0	70000.0	54801.0	77202.0	72661.0	49718.0	66181.0	65127.0	52182.0	48597.0	43867.0	50687.0	53175.0
XieH_2016__YSZC12003_36667__bin.35	68599.0	59824.0	46531.0	74779.0	51900.0	65176.0	76697.0	56268.0	66209.0	38561.0	47832.0	55582.0	0.0	83388.0	62130.0	58863.0	73833.0	42549.0	58753.0	52454.0	52338.0	58441.0	63963.0	73757.0	64031.0	78914.0	74023.0	50440.0	67101.0	65760.0	55339.0	49833.0	44680.0	52295.0	56524.0
QinJ_2012__T2D-049__bin.25	88473.0	91110.0	64087.0	91612.0	75615.0	93401.0	97300.0	76425.0	82128.0	50130.0	72146.0	79751.0	83388.0	0.0	79744.0	88690.0	90200.0	65096.0	88711.0	65149.0	69286.0	81970.0	84894.0	91350.0	90484.0	99238.0	91257.0	75899.0	89801.0	88581.0	85834.0	82090.0	60329.0	63132.0	87431.0
VincentC_2016__MM056.2__bin.9	63199.0	65342.0	45620.0	64872.0	59173.0	69467.0	74213.0	54505.0	46623.0	43639.0	52766.0	59411.0	62130.0	79744.0	0.0	66879.0	51407.0	46549.0	64269.0	37086.0	56322.0	58531.0	69228.0	47923.0	64798.0	74151.0	51351.0	55434.0	71734.0	69952.0	60359.0	58340.0	50456.0	36174.0	63605.0
VatanenT_2016__G80598__bin.6	70957.0	64661.0	47682.0	78994.0	53940.0	68810.0	85841.0	57732.0	70363.0	41863.0	47092.0	58010.0	58863.0	88690.0	66879.0	0.0	81222.0	45781.0	64126.0	56015.0	54852.0	59636.0	67057.0	78663.0	67743.0	87583.0	80732.0	53974.0	71663.0	68181.0	62615.0	57509.0	47246.0	55650.0	62726.0
XieH_2016__YSZC12003_35636__bin.35	74580.0	79540.0	52305.0	75350.0	69735.0	80937.0	78345.0	67616.0	3625.0	52263.0	65257.0	73131.0	73833.0	90200.0	51407.0	81222.0	0.0	58618.0	77123.0	11947.0	67071.0	71038.0	82702.0	51533.0	78189.0	80205.0	1313.0	68024.0	85348.0	85412.0	73605.0	69230.0	59427.0	11913.0	76830.0
RaymondF_2016__P19E0__bin.22	50138.0	3900.0	35991.0	53880.0	41991.0	48431.0	56662.0	39596.0	53204.0	35119.0	41079.0	39261.0	42549.0	65096.0	46549.0	45781.0	58618.0	0.0	3577.0	42525.0	43420.0	40703.0	50000.0	55574.0	46340.0	57878.0	56702.0	39358.0	50587.0	51411.0	44984.0	40077.0	38732.0	42088.0	3990.0
XieH_2016__YSZC12003_36695__bin.43	68854.0	2298.0	45608.0	76492.0	55225.0	65414.0	79515.0	54282.0	70185.0	41961.0	51341.0	55435.0	58753.0	88711.0	64269.0	64126.0	77123.0	3577.0	0.0	52913.0	54554.0	55558.0	69363.0	76420.0	63839.0	81265.0	76791.0	52652.0	69452.0	70006.0	61668.0	53478.0	49207.0	52100.0	1885.0
XieH_2016__YSZC12003_37652__bin.104	51688.0	53958.0	43077.0	53283.0	49071.0	57699.0	55856.0	47736.0	12621.0	39840.0	48782.0	51461.0	52454.0	65149.0	37086.0	56015.0	11947.0	42525.0	52913.0	0.0	52417.0	51331.0	59447.0	39265.0	54340.0	56872.0	11499.0	50012.0	60014.0	60610.0	51315.0	46933.0	43458.0	11334.0	52232.0
LiJ_2014__V1.FI14__bin.22	58857.0	55363.0	45976.0	66460.0	49126.0	59923.0	69003.0	46178.0	62281.0	29863.0	45929.0	50970.0	52338.0	69286.0	56322.0	54852.0	67071.0	43420.0	54554.0	52417.0	0.0	49542.0	40875.0	65728.0	54311.0	70511.0	66682.0	45844.0	28462.0	42210.0	55898.0	48437.0	31966.0	49577.0	54570.0
ChengpingW_2017__AS96raw__bin.56	65187.0	56180.0	45848.0	70870.0	48376.0	60716.0	75563.0	3319.0	64035.0	38000.0	46653.0	49516.0	58441.0	81970.0	58531.0	59636.0	71038.0	40703.0	55558.0	51331.0	49542.0	0.0	60543.0	68780.0	4125.0	77555.0	71747.0	50520.0	61700.0	60129.0	57058.0	50095.0	44110.0	51274.0	54722.0
ZeeviD_2015__PNP_Main_178__bin.27	73579.0	69909.0	50127.0	82064.0	57658.0	70985.0	84346.0	56679.0	74301.0	15956.0	53091.0	61709.0	63963.0	84894.0	69228.0	67057.0	82702.0	50000.0	69363.0	59447.0	40875.0	60543.0	0.0	82714.0	66324.0	87897.0	84208.0	55107.0	50933.0	14670.0	66488.0	58035.0	15159.0	54681.0	67575.0
VogtmannE_2016__MMRS15137911ST-27-0-0__bin.28	73017.0	78134.0	50715.0	74652.0	69404.0	79999.0	83067.0	64725.0	48712.0	50396.0	63676.0	70000.0	73757.0	91350.0	47923.0	78663.0	51533.0	55574.0	76420.0	39265.0	65728.0	68780.0	82714.0	0.0	76845.0	84293.0	52595.0	65759.0	83847.0	85441.0	72461.0	68865.0	57596.0	38948.0	74047.0
YuJ_2015__SZAXPI015225-18__bin.46	72171.0	63529.0	49367.0	77772.0	52241.0	65930.0	85553.0	4552.0	68748.0	41569.0	52893.0	54801.0	64031.0	90484.0	64798.0	67743.0	78189.0	46340.0	63839.0	54340.0	54311.0	4125.0	66324.0	76845.0	0.0	88424.0	79864.0	57589.0	69663.0	67092.0	61310.0	58123.0	48700.0	53472.0	61233.0
BackhedF_2015__SID39_12M__bin.10	84453.0	83652.0	54944.0	96028.0	74263.0	89186.0	1076.0	76697.0	71058.0	52900.0	66997.0	77202.0	78914.0	99238.0	74151.0	87583.0	80205.0	57878.0	81265.0	56872.0	70511.0	77555.0	87897.0	84293.0	88424.0	0.0	81073.0	72144.0	94419.0	88927.0	78770.0	72445.0	60792.0	55659.0	80514.0
XieH_2016__YSZC12003_36058__bin.76	74828.0	79551.0	52410.0	76321.0	70593.0	81054.0	79378.0	67896.0	3633.0	52191.0	65365.0	72661.0	74023.0	91257.0	51351.0	80732.0	1313.0	56702.0	76791.0	11499.0	66682.0	71747.0	84208.0	52595.0	79864.0	81073.0	0.0	68663.0	87088.0	87159.0	73863.0	70075.0	59664.0	12005.0	76786.0
LeChatelierE_2013__MH0229__bin.61	60799.0	52879.0	42349.0	68644.0	45678.0	57638.0	71307.0	48095.0	62264.0	36098.0	41678.0	49718.0	50440.0	75899.0	55434.0	53974.0	68024.0	39358.0	52652.0	50012.0	45844.0	50520.0	55107.0	65759.0	57589.0	72144.0	68663.0	0.0	58599.0	55837.0	50589.0	43342.0	39974.0	48613.0	51594.0
WenC_2017__N253__bin.60	76412.0	70334.0	51088.0	85245.0	62370.0	73964.0	90415.0	59927.0	75465.0	34182.0	56155.0	66181.0	67101.0	89801.0	71734.0	71663.0	85348.0	50587.0	69452.0	60014.0	28462.0	61700.0	50933.0	83847.0	69663.0	94419.0	87088.0	58599.0	0.0	52009.0	69365.0	62090.0	37906.0	57083.0	69531.0
ZeeviD_2015__PNP_Main_471__bin.17	76725.0	71779.0	51855.0	83398.0	59986.0	73769.0	86136.0	58037.0	76569.0	17965.0	54391.0	65127.0	65760.0	88581.0	69952.0	68181.0	85412.0	51411.0	70006.0	60610.0	42210.0	60129.0	14670.0	85441.0	67092.0	88927.0	87159.0	55837.0	52009.0	0.0	68479.0	60544.0	17516.0	56686.0	70093.0
BackhedF_2015__SID570_B__bin.3	68015.0	63769.0	43854.0	72600.0	52456.0	64326.0	77269.0	53898.0	64464.0	40672.0	48715.0	52182.0	55339.0	85834.0	60359.0	62615.0	73605.0	44984.0	61668.0	51315.0	55898.0	57058.0	66488.0	72461.0	61310.0	78770.0	73863.0	50589.0	69365.0	68479.0	0.0	50157.0	48725.0	50448.0	60301.0
VogtmannE_2016__MMRS40913371ST-27-0-0__bin.26	63064.0	55171.0	39633.0	69398.0	49906.0	57880.0	69540.0	47783.0	62556.0	36721.0	44362.0	48597.0	49833.0	82090.0	58340.0	57509.0	69230.0	40077.0	53478.0	46933.0	48437.0	50095.0	58035.0	68865.0	58123.0	72445.0	70075.0	43342.0	62090.0	60544.0	50157.0	0.0	43877.0	46010.0	53069.0
ZellerG_2014__CCIS13047523ST-4-0__bin.11	53286.0	50368.0	36249.0	58186.0	42651.0	51750.0	58963.0	40932.0	54583.0	8443.0	40832.0	43867.0	44680.0	60329.0	50456.0	47246.0	59427.0	38732.0	49207.0	43458.0	31966.0	44110.0	15159.0	57596.0	48700.0	60792.0	59664.0	39974.0	37906.0	17516.0	48725.0	43877.0	0.0	39684.0	49424.0
LiuW_2016__SRR3992973__bin.110	53692.0	53445.0	44063.0	51392.0	46518.0	58370.0	54416.0	49882.0	12499.0	36577.0	45073.0	50687.0	52295.0	63132.0	36174.0	55650.0	11913.0	42088.0	52100.0	11334.0	49577.0	51274.0	54681.0	38948.0	53472.0	55659.0	12005.0	48613.0	57083.0	56686.0	50448.0	46010.0	39684.0	0.0	52295.0
HMP_2012__SRS011239__bin.45	67160.0	2604.0	46441.0	73899.0	54665.0	64038.0	78866.0	53543.0	70422.0	41674.0	51844.0	53175.0	56524.0	87431.0	63605.0	62726.0	76830.0	3990.0	1885.0	52232.0	54570.0	54722.0	67575.0	74047.0	61233.0	80514.0	76786.0	51594.0	69531.0	70093.0	60301.0	53069.0	49424.0	52295.0	0.0
