	LoombaR_2017__SID1048_bav__bin.12	ZeeviD_2015__PNP_Main_398__bin.8	Obregon-TitoAJ_2015__NO05__bin.36	LiJ_2014__V1.UC38-4__bin.41	IjazUZ_2017__S45_a_WGS__bin.8	LiJ_2014__V1.CD48-0__bin.29	YuJ_2015__SZAXPI017582-94__bin.3	LiJ_2014__O2.CD1-0-PT__bin.50	XieH_2016__YSZC12003_37179__bin.24	HMP_2012__SRS043411__bin.21	ZeeviD_2015__PNP_Main_155__bin.42	SchirmerM_2016__G88887__bin.20	YuJ_2015__SZAXPI015237-23__bin.30	Obregon-TitoAJ_2015__NO10__bin.25	KarlssonFH_2013__S347__bin.4	QinJ_2012__T2D-068__bin.33	LoombaR_2017__SID1019_aas__bin.1	SchirmerM_2016__G89000__bin.6	NielsenHB_2014__V1_CD21_0__bin.1	NielsenHB_2014__V1_UC32_0__bin.37	LiJ_2014__V1.CD3-0-PN__bin.6	VogtmannE_2016__MMRS40913371ST-27-0-0__bin.15	XieH_2016__YSZC12003_36697__bin.51	HeQ_2017__SZAXPI029564-74__bin.33	LiJ_2014__O2.CD3-0-PT__bin.58	VincentC_2016__MM104__bin.7	IjazUZ_2017__S151_a_WGS__bin.15	BackhedF_2015__SID585_M__bin.15	Obregon-TitoAJ_2015__NO12__bin.20	ZellerG_2014__CCIS95097901ST-4-0__bin.47	KarlssonFH_2013__S640__bin.13	NielsenHB_2014__V1_CD6_4__bin.37	LiJ_2014__MH0358__bin.15	HeQ_2017__RSZAXPI003082-116__bin.8
Obregon-TitoAJ_2015__NO10__bin.25	1865840.0	1025401.0	1009531.0	1100183.0	1799197.0	1771592.0	1638801.0	1261082.0	1694719.0	1597891.0	1666395.0	1339305.0	1659854.0	2270747.0	1714138.0	1642070.0	1771704.0	1694899.0	1754948.0	1282991.0	1699778.0	1652384.0	1755967.0	1649299.0	1625620.0	1195723.0	1710788.0	1195430.0	1711228.0	1568300.0	1692698.0	1743134.0	1551693.0	1743974.0
KarlssonFH_2013__S347__bin.4	1858994.0	1082407.0	1025772.0	1122687.0	1854760.0	1757512.0	1722287.0	1308749.0	1710832.0	1731462.0	1730901.0	1358889.0	1744666.0	1714138.0	2659131.0	1674730.0	1881604.0	1792643.0	1867000.0	1387091.0	1791474.0	1760924.0	1876529.0	1726657.0	1729079.0	1290392.0	1794560.0	1254525.0	1833389.0	1603553.0	1831005.0	1879180.0	1632943.0	1874653.0
QinJ_2012__T2D-068__bin.33	1691983.0	987665.0	960473.0	1044544.0	1676910.0	1651748.0	1673847.0	1214425.0	1608723.0	1610301.0	1600646.0	1310678.0	1661418.0	1642070.0	1674730.0	2027852.0	1740536.0	1652611.0	1718608.0	1245645.0	1614191.0	1628594.0	1712645.0	1631466.0	1624776.0	1187763.0	1641358.0	1192064.0	1670934.0	1450015.0	1623005.0	1679859.0	1507118.0	1686684.0
LoombaR_2017__SID1019_aas__bin.1	1908342.0	1055467.0	1019571.0	1146271.0	1899515.0	1814290.0	1764063.0	1316654.0	1751014.0	1768529.0	1798624.0	1396951.0	1799091.0	1771704.0	1881604.0	1740536.0	2311713.0	1801327.0	1966709.0	1383894.0	1791216.0	1826056.0	1950031.0	1804852.0	1752956.0	1308948.0	1825720.0	1261287.0	1893493.0	1616122.0	1813211.0	1872892.0	1646004.0	1887290.0
SchirmerM_2016__G89000__bin.6	1793177.0	1047535.0	1021111.0	1113838.0	1770363.0	1751020.0	1681070.0	1348560.0	1672536.0	1654613.0	1707014.0	1349263.0	1695604.0	1694899.0	1792643.0	1652611.0	1801327.0	2298232.0	1797400.0	1316020.0	1765931.0	1751288.0	1782163.0	1699138.0	1679401.0	1245983.0	1790996.0	1198918.0	1801971.0	1543038.0	1766521.0	1786847.0	1632649.0	1773672.0
NielsenHB_2014__V1_CD21_0__bin.1	1896601.0	1052841.0	1011407.0	1124850.0	1857989.0	1783290.0	1750152.0	1308268.0	1703619.0	1734072.0	1774557.0	1379662.0	1786490.0	1754948.0	1867000.0	1718608.0	1966709.0	1797400.0	2326797.0	1343623.0	1774323.0	1796971.0	1911800.0	1742890.0	1720309.0	1273877.0	1819232.0	1234211.0	1814833.0	1606347.0	1803117.0	1842232.0	1644855.0	1880553.0
NielsenHB_2014__V1_UC32_0__bin.37	1343456.0	829044.0	826344.0	859762.0	1365660.0	1363284.0	1290336.0	1176847.0	1289391.0	1291183.0	1316570.0	1046354.0	1326852.0	1282991.0	1387091.0	1245645.0	1383894.0	1316020.0	1343623.0	1579934.0	1304941.0	1340796.0	1375172.0	1298810.0	1335389.0	997228.0	1291768.0	1077249.0	1384958.0	1143562.0	1341433.0	1359964.0	1212421.0	1362652.0
LiJ_2014__V1.CD3-0-PN__bin.6	1756850.0	1037629.0	1008886.0	1097052.0	1776012.0	1735774.0	1663509.0	1288549.0	1657775.0	1688146.0	1705076.0	1332035.0	1684414.0	1699778.0	1791474.0	1614191.0	1791216.0	1765931.0	1774323.0	1304941.0	2123025.0	1716055.0	1793320.0	1685775.0	1670369.0	1234103.0	1757523.0	1238692.0	1753025.0	1532805.0	1740128.0	1757620.0	1583102.0	1770056.0
VogtmannE_2016__MMRS40913371ST-27-0-0__bin.15	1739907.0	1028026.0	981275.0	1102529.0	1725855.0	1712011.0	1687983.0	1299139.0	1643114.0	1654605.0	1691547.0	1318855.0	1670280.0	1652384.0	1760924.0	1628594.0	1826056.0	1751288.0	1796971.0	1340796.0	1716055.0	1999831.0	1759448.0	1661261.0	1667638.0	1256466.0	1737920.0	1227098.0	1753816.0	1495744.0	1698892.0	1775694.0	1576248.0	1759088.0
XieH_2016__YSZC12003_36697__bin.51	1899478.0	1048151.0	1026582.0	1132370.0	1884711.0	1788168.0	1760243.0	1327578.0	1714525.0	1708002.0	1745526.0	1390555.0	1807462.0	1755967.0	1876529.0	1712645.0	1950031.0	1782163.0	1911800.0	1375172.0	1793320.0	1759448.0	2261188.0	1720027.0	1720980.0	1288841.0	1802377.0	1260072.0	1801960.0	1621523.0	1821463.0	1850350.0	1633982.0	1881721.0
HeQ_2017__SZAXPI029564-74__bin.33	1769286.0	996682.0	973663.0	1071681.0	1720980.0	1681903.0	1662501.0	1268954.0	1605930.0	1609422.0	1654849.0	1292842.0	1700531.0	1649299.0	1726657.0	1631466.0	1804852.0	1699138.0	1742890.0	1298810.0	1685775.0	1661261.0	1720027.0	2298414.0	1628462.0	1180392.0	1671839.0	1165543.0	1721300.0	1484175.0	1700625.0	1742284.0	1534474.0	1762070.0
LiJ_2014__O2.CD3-0-PT__bin.58	1708916.0	1022148.0	991280.0	1079276.0	1760019.0	1736221.0	1640805.0	1222901.0	1677727.0	1622094.0	1649513.0	1311369.0	1671602.0	1625620.0	1729079.0	1624776.0	1752956.0	1679401.0	1720309.0	1335389.0	1670369.0	1667638.0	1720980.0	1628462.0	1932925.0	1274119.0	1708097.0	1219921.0	1765551.0	1481826.0	1683008.0	1764925.0	1526947.0	1718175.0
VincentC_2016__MM104__bin.7	1254636.0	784417.0	790515.0	842303.0	1309675.0	1239886.0	1233216.0	967405.0	1226098.0	1221951.0	1198457.0	996355.0	1215428.0	1195723.0	1290392.0	1187763.0	1308948.0	1245983.0	1273877.0	997228.0	1234103.0	1256466.0	1288841.0	1180392.0	1274119.0	1546343.0	1259104.0	954780.0	1309123.0	1130909.0	1220893.0	1296299.0	1168458.0	1267655.0
IjazUZ_2017__S151_a_WGS__bin.15	1836583.0	1032245.0	1005630.0	1110720.0	1842050.0	1764890.0	1681422.0	1301128.0	1684420.0	1674573.0	1739178.0	1350960.0	1698471.0	1710788.0	1794560.0	1641358.0	1825720.0	1790996.0	1819232.0	1291768.0	1757523.0	1737920.0	1802377.0	1671839.0	1708097.0	1259104.0	2131198.0	1218720.0	1810170.0	1559688.0	1763425.0	1830198.0	1616065.0	1771913.0
BackhedF_2015__SID585_M__bin.15	1229254.0	744976.0	825122.0	806802.0	1268034.0	1221540.0	1221904.0	1032751.0	1222055.0	1217677.0	1158595.0	983273.0	1183941.0	1195430.0	1254525.0	1192064.0	1261287.0	1198918.0	1234211.0	1077249.0	1238692.0	1227098.0	1260072.0	1165543.0	1219921.0	954780.0	1218720.0	1419645.0	1241695.0	1099735.0	1225871.0	1237241.0	1137205.0	1222362.0
Obregon-TitoAJ_2015__NO12__bin.20	1839327.0	1051299.0	1017944.0	1153939.0	1863701.0	1836311.0	1703837.0	1287127.0	1753445.0	1697749.0	1753539.0	1361011.0	1760367.0	1711228.0	1833389.0	1670934.0	1893493.0	1801971.0	1814833.0	1384958.0	1753025.0	1753816.0	1801960.0	1721300.0	1765551.0	1309123.0	1810170.0	1241695.0	2341654.0	1589482.0	1753521.0	1891534.0	1645641.0	1803488.0
ZellerG_2014__CCIS95097901ST-4-0__bin.47	1681098.0	925694.0	902905.0	1019281.0	1660163.0	1580659.0	1493310.0	1133091.0	1538455.0	1454903.0	1484647.0	1247808.0	1524217.0	1568300.0	1603553.0	1450015.0	1616122.0	1543038.0	1606347.0	1143562.0	1532805.0	1495744.0	1621523.0	1484175.0	1481826.0	1130909.0	1559688.0	1099735.0	1589482.0	2268602.0	1544965.0	1648448.0	1418766.0	1611781.0
KarlssonFH_2013__S640__bin.13	1812971.0	1042816.0	996452.0	1121971.0	1798550.0	1742739.0	1670260.0	1306171.0	1665209.0	1651230.0	1659464.0	1325688.0	1687080.0	1692698.0	1831005.0	1623005.0	1813211.0	1766521.0	1803117.0	1341433.0	1740128.0	1698892.0	1821463.0	1700625.0	1683008.0	1220893.0	1763425.0	1225871.0	1753521.0	1544965.0	2155912.0	1809441.0	1615504.0	1789797.0
NielsenHB_2014__V1_CD6_4__bin.37	1931352.0	1065704.0	1013064.0	1174746.0	1939305.0	1859742.0	1693998.0	1294936.0	1780020.0	1737830.0	1748617.0	1392880.0	1734549.0	1743134.0	1879180.0	1679859.0	1872892.0	1786847.0	1842232.0	1359964.0	1757620.0	1775694.0	1850350.0	1742284.0	1764925.0	1296299.0	1830198.0	1237241.0	1891534.0	1648448.0	1809441.0	2704656.0	1612842.0	1868732.0
LiJ_2014__MH0358__bin.15	1630197.0	954990.0	930017.0	1053731.0	1641131.0	1588688.0	1530858.0	1237520.0	1535356.0	1508224.0	1523915.0	1250240.0	1541225.0	1551693.0	1632943.0	1507118.0	1646004.0	1632649.0	1644855.0	1212421.0	1583102.0	1576248.0	1633982.0	1534474.0	1526947.0	1168458.0	1616065.0	1137205.0	1645641.0	1418766.0	1615504.0	1612842.0	2361807.0	1613675.0
HeQ_2017__RSZAXPI003082-116__bin.8	1882943.0	1080817.0	1033778.0	1122655.0	1851014.0	1774473.0	1719725.0	1347664.0	1703666.0	1716377.0	1762358.0	1392522.0	1748965.0	1743974.0	1874653.0	1686684.0	1887290.0	1773672.0	1880553.0	1362652.0	1770056.0	1759088.0	1881721.0	1762070.0	1718175.0	1267655.0	1771913.0	1222362.0	1803488.0	1611781.0	1789797.0	1868732.0	1613675.0	2598269.0
