	LoombaR_2017__SID1048_bav__bin.12	ZeeviD_2015__PNP_Main_398__bin.8	Obregon-TitoAJ_2015__NO05__bin.36	LiJ_2014__V1.UC38-4__bin.41	IjazUZ_2017__S45_a_WGS__bin.8	LiJ_2014__V1.CD48-0__bin.29	YuJ_2015__SZAXPI017582-94__bin.3	LiJ_2014__O2.CD1-0-PT__bin.50	XieH_2016__YSZC12003_37179__bin.24	HMP_2012__SRS043411__bin.21	ZeeviD_2015__PNP_Main_155__bin.42	SchirmerM_2016__G88887__bin.20	YuJ_2015__SZAXPI015237-23__bin.30	Obregon-TitoAJ_2015__NO10__bin.25	KarlssonFH_2013__S347__bin.4	QinJ_2012__T2D-068__bin.33	LoombaR_2017__SID1019_aas__bin.1	SchirmerM_2016__G89000__bin.6	NielsenHB_2014__V1_CD21_0__bin.1	NielsenHB_2014__V1_UC32_0__bin.37	LiJ_2014__V1.CD3-0-PN__bin.6	VogtmannE_2016__MMRS40913371ST-27-0-0__bin.15	XieH_2016__YSZC12003_36697__bin.51	HeQ_2017__SZAXPI029564-74__bin.33	LiJ_2014__O2.CD3-0-PT__bin.58	VincentC_2016__MM104__bin.7	IjazUZ_2017__S151_a_WGS__bin.15	BackhedF_2015__SID585_M__bin.15	Obregon-TitoAJ_2015__NO12__bin.20	ZellerG_2014__CCIS95097901ST-4-0__bin.47	KarlssonFH_2013__S640__bin.13	NielsenHB_2014__V1_CD6_4__bin.37	LiJ_2014__MH0358__bin.15	HeQ_2017__RSZAXPI003082-116__bin.8
ZeeviD_2015__PNP_Main_155__bin.42	16363.0	14735.0	12673.0	9480.0	22683.0	20498.0	11082.0	11798.0	18218.0	30613.0	0.0	8959.0	12233.0	22328.0	31229.0	9523.0	12387.0	15346.0	11431.0	11368.0	51351.0	12419.0	11774.0	10575.0	12219.0	9092.0	18077.0	19419.0	14160.0	15469.0	12250.0	19284.0	12434.0	11553.0
SchirmerM_2016__G88887__bin.20	8163.0	12859.0	10190.0	6921.0	13831.0	11173.0	7424.0	9097.0	10303.0	23483.0	8959.0	0.0	7986.0	13219.0	22211.0	7685.0	8762.0	10676.0	7985.0	8922.0	38943.0	9168.0	7991.0	8297.0	8022.0	6522.0	12226.0	15424.0	8927.0	5406.0	9274.0	11594.0	9526.0	11334.0
YuJ_2015__SZAXPI015237-23__bin.30	14978.0	15150.0	12552.0	10124.0	21869.0	18281.0	408.0	12757.0	15979.0	30312.0	12233.0	7986.0	0.0	21189.0	31989.0	10355.0	12090.0	14569.0	12176.0	11622.0	51135.0	12307.0	11988.0	12327.0	12072.0	8648.0	17469.0	19975.0	14791.0	13007.0	12787.0	18232.0	13194.0	11883.0
Obregon-TitoAJ_2015__NO10__bin.25	20194.0	17894.0	14596.0	13149.0	23316.0	18947.0	21122.0	17007.0	17423.0	37034.0	22328.0	13219.0	21189.0	0.0	35317.0	20343.0	21729.0	21417.0	22158.0	13440.0	46394.0	21847.0	21567.0	21590.0	18545.0	13973.0	24988.0	20437.0	18009.0	18172.0	21204.0	23675.0	18825.0	23809.0
KarlssonFH_2013__S347__bin.4	30172.0	20591.0	19542.0	20181.0	36715.0	33387.0	31551.0	23725.0	32378.0	46014.0	31229.0	22211.0	31989.0	35317.0	0.0	31119.0	34410.0	28956.0	33717.0	22156.0	55949.0	29151.0	33054.0	32764.0	30056.0	21137.0	30184.0	20587.0	31724.0	28465.0	29567.0	30537.0	28329.0	35959.0
QinJ_2012__T2D-068__bin.33	14075.0	14085.0	12263.0	10050.0	20981.0	17559.0	9987.0	12900.0	16910.0	30063.0	9523.0	7685.0	10355.0	20343.0	31119.0	0.0	11570.0	14408.0	10704.0	10399.0	49332.0	10587.0	10400.0	10280.0	11396.0	8715.0	16246.0	21224.0	14367.0	14028.0	11447.0	16923.0	11857.0	10155.0
LoombaR_2017__SID1019_aas__bin.1	16870.0	16008.0	13083.0	11400.0	24237.0	19061.0	11543.0	14410.0	17910.0	32532.0	12387.0	8762.0	12090.0	21729.0	34410.0	11570.0	0.0	16378.0	13231.0	12685.0	52711.0	13019.0	13118.0	13691.0	13122.0	10107.0	18689.0	22731.0	17353.0	15670.0	13707.0	20529.0	14133.0	12925.0
SchirmerM_2016__G89000__bin.6	17378.0	13565.0	12542.0	11990.0	21232.0	19061.0	14255.0	12059.0	18002.0	33028.0	15346.0	10676.0	14569.0	21417.0	28956.0	14408.0	16378.0	0.0	16119.0	11689.0	48100.0	14489.0	15669.0	15005.0	12773.0	9484.0	17458.0	20129.0	15550.0	13930.0	8863.0	17672.0	7124.0	15190.0
NielsenHB_2014__V1_CD21_0__bin.1	16791.0	15072.0	13254.0	11003.0	23226.0	18795.0	11213.0	14498.0	18411.0	33440.0	11431.0	7985.0	12176.0	22158.0	33717.0	10704.0	13231.0	16119.0	0.0	12032.0	53617.0	13407.0	12434.0	12129.0	12598.0	9952.0	17106.0	21217.0	15834.0	15140.0	13475.0	19602.0	13469.0	13062.0
NielsenHB_2014__V1_UC32_0__bin.37	14185.0	10301.0	10968.0	7885.0	17139.0	15266.0	11307.0	11186.0	13705.0	28544.0	11368.0	8922.0	11622.0	13440.0	22156.0	10399.0	12685.0	11689.0	12032.0	0.0	35720.0	11613.0	12858.0	12422.0	10765.0	8059.0	12748.0	17083.0	12981.0	12653.0	11529.0	16076.0	10702.0	13684.0
LiJ_2014__V1.CD3-0-PN__bin.6	53331.0	26565.0	25342.0	31849.0	49825.0	49918.0	50349.0	35016.0	46365.0	60935.0	51351.0	38943.0	51135.0	46394.0	55949.0	49332.0	52711.0	48100.0	53617.0	35720.0	0.0	50200.0	53446.0	52437.0	47250.0	35319.0	49763.0	40282.0	49587.0	43884.0	49382.0	51494.0	45709.0	52451.0
VogtmannE_2016__MMRS40913371ST-27-0-0__bin.15	15647.0	14064.0	12014.0	11226.0	22706.0	19267.0	12325.0	12425.0	17503.0	32637.0	12419.0	9168.0	12307.0	21847.0	29151.0	10587.0	13019.0	14489.0	13407.0	11613.0	50200.0	0.0	12145.0	12996.0	12105.0	9462.0	16844.0	21112.0	14827.0	16029.0	12617.0	18912.0	13065.0	14188.0
XieH_2016__YSZC12003_36697__bin.51	15758.0	14967.0	12786.0	11164.0	22574.0	18601.0	11538.0	14599.0	17353.0	32053.0	11774.0	7991.0	11988.0	21567.0	33054.0	10400.0	13118.0	15669.0	12434.0	12858.0	53446.0	12145.0	0.0	11580.0	12792.0	10200.0	18642.0	22668.0	15172.0	14872.0	13176.0	18883.0	13529.0	13187.0
HeQ_2017__SZAXPI029564-74__bin.33	15996.0	15659.0	12744.0	11149.0	22208.0	19159.0	10887.0	14256.0	17209.0	28620.0	10575.0	8297.0	12327.0	21590.0	32764.0	10280.0	13691.0	15005.0	12129.0	12422.0	52437.0	12996.0	11580.0	0.0	12363.0	9179.0	17461.0	20991.0	16774.0	15293.0	13066.0	19742.0	13415.0	12027.0
LiJ_2014__O2.CD3-0-PT__bin.58	13573.0	13745.0	11635.0	8021.0	18585.0	16461.0	11772.0	13122.0	15635.0	30800.0	12219.0	8022.0	12072.0	18545.0	30056.0	11396.0	13122.0	12773.0	12598.0	10765.0	47250.0	12105.0	12792.0	12363.0	0.0	2720.0	15575.0	18335.0	10884.0	13329.0	13092.0	14859.0	12589.0	12993.0
VincentC_2016__MM104__bin.7	10441.0	11192.0	8992.0	6270.0	14686.0	11893.0	9063.0	11118.0	12731.0	23632.0	9092.0	6522.0	8648.0	13973.0	21137.0	8715.0	10107.0	9484.0	9952.0	8059.0	35319.0	9462.0	10200.0	9179.0	2720.0	0.0	12460.0	15234.0	7771.0	11135.0	8818.0	10661.0	9864.0	10215.0
IjazUZ_2017__S151_a_WGS__bin.15	19447.0	12597.0	13583.0	12612.0	25693.0	21729.0	16659.0	14375.0	20005.0	35373.0	18077.0	12226.0	17469.0	24988.0	30184.0	16246.0	18689.0	17458.0	17106.0	12748.0	49763.0	16844.0	18642.0	17461.0	15575.0	12460.0	0.0	19230.0	18862.0	16682.0	17883.0	20357.0	16961.0	18826.0
BackhedF_2015__SID585_M__bin.15	18097.0	14527.0	16342.0	13921.0	19046.0	19830.0	21714.0	19261.0	18527.0	30800.0	19419.0	15424.0	19975.0	20437.0	20587.0	21224.0	22731.0	20129.0	21217.0	17083.0	40282.0	21112.0	22668.0	20991.0	18335.0	15234.0	19230.0	0.0	21112.0	17617.0	20768.0	20097.0	18626.0	22278.0
Obregon-TitoAJ_2015__NO12__bin.20	14939.0	14888.0	12376.0	8057.0	22509.0	17771.0	14121.0	14025.0	16351.0	32653.0	14160.0	8927.0	14791.0	18009.0	31724.0	14367.0	17353.0	15550.0	15834.0	12981.0	49587.0	14827.0	15172.0	16774.0	10884.0	7771.0	18862.0	21112.0	0.0	14097.0	15642.0	15275.0	15560.0	16015.0
ZellerG_2014__CCIS95097901ST-4-0__bin.47	15369.0	13854.0	12737.0	10768.0	19439.0	15296.0	13882.0	14699.0	13973.0	30686.0	15469.0	5406.0	13007.0	18172.0	28465.0	14028.0	15670.0	13930.0	15140.0	12653.0	43884.0	16029.0	14872.0	15293.0	13329.0	11135.0	16682.0	17617.0	14097.0	0.0	13507.0	16771.0	12714.0	19426.0
KarlssonFH_2013__S640__bin.13	16636.0	13847.0	12783.0	10713.0	21720.0	19295.0	12308.0	12020.0	17422.0	32779.0	12250.0	9274.0	12787.0	21204.0	29567.0	11447.0	13707.0	8863.0	13475.0	11529.0	49382.0	12617.0	13176.0	13066.0	13092.0	8818.0	17883.0	20768.0	15642.0	13507.0	0.0	19200.0	6766.0	13776.0
NielsenHB_2014__V1_CD6_4__bin.37	19140.0	16456.0	12624.0	7774.0	22130.0	18768.0	17341.0	15208.0	18466.0	36549.0	19284.0	11594.0	18232.0	23675.0	30537.0	16923.0	20529.0	17672.0	19602.0	16076.0	51494.0	18912.0	18883.0	19742.0	14859.0	10661.0	20357.0	20097.0	15275.0	16771.0	19200.0	0.0	17437.0	22705.0
LiJ_2014__MH0358__bin.15	15044.0	12611.0	12355.0	11241.0	22391.0	18416.0	13017.0	10921.0	17356.0	30554.0	12434.0	9526.0	13194.0	18825.0	28329.0	11857.0	14133.0	7124.0	13469.0	10702.0	45709.0	13065.0	13529.0	13415.0	12589.0	9864.0	16961.0	18626.0	15560.0	12714.0	6766.0	17437.0	0.0	14903.0
HeQ_2017__RSZAXPI003082-116__bin.8	19941.0	16281.0	13791.0	11449.0	25243.0	21721.0	11048.0	15711.0	20428.0	32249.0	11553.0	11334.0	11883.0	23809.0	35959.0	10155.0	12925.0	15190.0	13062.0	13684.0	52451.0	14188.0	13187.0	12027.0	12993.0	10215.0	18826.0	22278.0	16015.0	19426.0	13776.0	22705.0	14903.0	0.0
