	CM_madagascar__A92_01_1FE__bin.44	BritoIL_2016__W3.18.ST__bin.6	BritoIL_2016__WL.1.ST__bin.16	LiuW_2016__SRR3993004__bin.60	BritoIL_2016__W1.1.ST__bin.29	CM_madagascar__A79_02_1FE__bin.25	CM_madagascar__A28_02_1FE__bin.17	BritoIL_2016__W2.39.ST__bin.64	LeChatelierE_2013__MH0318__bin.90	LiuW_2016__SRR3992977__bin.26	BritoIL_2016__W1.31.ST__bin.33	BritoIL_2016__W1.26.ST__bin.22	BritoIL_2016__W1.53.ST__bin.2	ZeeviD_2015__PNP_Main_293__bin.37	BritoIL_2016__M1.29.ST__bin.37	CM_madagascar__A29_01_1FE__bin.4	LiuW_2016__SRR3992995__bin.68	BritoIL_2016__M1.20.ST__bin.42	BritoIL_2016__M1.26.ST__bin.16	BritoIL_2016__W1.2.ST__bin.84	LiuW_2016__SRR3992958__bin.44	BritoIL_2016__W2.5.ST__bin.28	BritoIL_2016__M2.37.ST__bin.9	BritoIL_2016__W2.19.ST__bin.23	BritoIL_2016__M2.58.ST__bin.49	BritoIL_2016__W2.46.ST__bin.71	BritoIL_2016__W2.9.ST__bin.79	BritoIL_2016__WL.26.ST__bin.9	BritoIL_2016__W1.9.ST__bin.73	BritoIL_2016__WL.3.ST__bin.74	BritoIL_2016__W2.61.ST__bin.104	BritoIL_2016__M1.44.ST__bin.7	BritoIL_2016__M1.1.ST__bin.106	CM_madagascar__A62_01_1FE__bin.43	BritoIL_2016__M1.22.ST__bin.45	BritoIL_2016__M1.52.ST__bin.77	BritoIL_2016__M2.51.ST__bin.49	LiuW_2016__SRR3993048__bin.23	BritoIL_2016__W1.3.ST__bin.9	LiuW_2016__SRR3992980__bin.10	BritoIL_2016__WL.25.ST__bin.8
BritoIL_2016__W1.31.ST__bin.33	3028137.0	3090507.0	3212940.0	2661209.0	3232331.0	2890618.0	1897866.0	2975958.0	2462687.0	2346475.0	3372906.0	3286218.0	3103177.0	3119763.0	2978380.0	3101511.0	3067499.0	3048516.0	1986980.0	3091269.0	2867027.0	3277892.0	2213800.0	3255080.0	3215080.0	3198459.0	2460229.0	2383473.0	3201900.0	3289146.0	2690000.0	3271666.0	3297304.0	3128637.0	3123113.0	3131812.0	3134691.0	2235712.0	3076979.0	2883648.0	2842420.0
BritoIL_2016__W1.26.ST__bin.22	3120344.0	3158386.0	3281982.0	2720619.0	3343755.0	2952886.0	1937579.0	3026504.0	2503590.0	2390964.0	3286218.0	3502328.0	3195516.0	3223260.0	3095024.0	3231022.0	3147641.0	3132089.0	2030227.0	3139088.0	2956546.0	3328473.0	2251569.0	3361994.0	3280967.0	3277513.0	2502378.0	2446308.0	3313106.0	3405435.0	2764869.0	3379093.0	3378897.0	3192038.0	3180187.0	3203417.0	3213570.0	2301885.0	3197292.0	2944468.0	2932963.0
BritoIL_2016__W1.53.ST__bin.2	3090519.0	3119581.0	3116734.0	2708567.0	3184178.0	2941807.0	1914894.0	2997851.0	2489889.0	2371268.0	3103177.0	3195516.0	3357090.0	3153740.0	2938100.0	3211317.0	3128071.0	3055951.0	2053170.0	3096338.0	2919912.0	3177652.0	2221360.0	3176727.0	3104614.0	3194466.0	2456529.0	2413964.0	3101160.0	3163935.0	2724889.0	3165094.0	3168900.0	3115654.0	3130019.0	3189625.0	3164240.0	2248635.0	3162491.0	2898832.0	2853433.0
ZeeviD_2015__PNP_Main_293__bin.37	3063670.0	3156560.0	3163983.0	2700934.0	3205191.0	2920625.0	1918206.0	2985135.0	2477319.0	2375456.0	3119763.0	3223260.0	3153740.0	3400140.0	2941797.0	3161949.0	3127788.0	3107892.0	2000361.0	3091153.0	2949235.0	3186221.0	2228028.0	3180786.0	3123909.0	3223651.0	2475869.0	2419352.0	3150624.0	3181558.0	2772886.0	3219597.0	3206768.0	3145211.0	3192435.0	3199271.0	3165205.0	2284082.0	3151684.0	2927247.0	2912355.0
BritoIL_2016__M1.29.ST__bin.37	2878357.0	2893997.0	2988160.0	2491011.0	3030128.0	2707000.0	1774751.0	2766834.0	2326507.0	2211353.0	2978380.0	3095024.0	2938100.0	2941797.0	3179344.0	2944580.0	2903491.0	2855704.0	1887067.0	2879809.0	2725975.0	3021727.0	2091117.0	3038880.0	2974433.0	2988300.0	2298975.0	2244287.0	2980958.0	3086459.0	2537644.0	3066644.0	3050102.0	2897188.0	2912494.0	2923809.0	2895732.0	2118616.0	2927622.0	2716558.0	2684758.0
CM_madagascar__A29_01_1FE__bin.4	3120426.0	3107601.0	3141566.0	2687000.0	3191831.0	2966609.0	1929255.0	2994295.0	2506093.0	2353901.0	3101511.0	3231022.0	3211317.0	3161949.0	2944580.0	3486932.0	3132290.0	3075218.0	2039246.0	3092202.0	2932894.0	3153725.0	2204954.0	3167095.0	3121342.0	3205382.0	2467491.0	2414460.0	3116388.0	3167635.0	2746783.0	3185698.0	3174759.0	3125958.0	3140883.0	3183889.0	3162951.0	2259221.0	3171486.0	2902700.0	2881634.0
LiuW_2016__SRR3992995__bin.68	3099228.0	3123847.0	3111295.0	2744322.0	3128942.0	2942508.0	1927024.0	2996746.0	2512639.0	2391347.0	3067499.0	3147641.0	3128071.0	3127788.0	2903491.0	3132290.0	3385353.0	3090336.0	2031937.0	3017452.0	2930174.0	3120446.0	2219134.0	3087555.0	3066078.0	3144038.0	2439179.0	2427656.0	3053992.0	3081442.0	2759194.0	3121622.0	3138187.0	3060978.0	3195301.0	3201478.0	3143187.0	2276128.0	3121119.0	2929320.0	2916620.0
BritoIL_2016__M1.20.ST__bin.42	3031417.0	3075501.0	3120800.0	2649366.0	3177354.0	2885255.0	1883090.0	2933922.0	2436452.0	2309603.0	3048516.0	3132089.0	3055951.0	3107892.0	2855704.0	3075218.0	3090336.0	3383085.0	2019232.0	3020187.0	2904568.0	3106262.0	2195155.0	3102426.0	3035669.0	3140340.0	2442860.0	2446088.0	3068508.0	3114292.0	2805666.0	3116969.0	3137776.0	3059535.0	3230072.0	3278854.0	3294562.0	2208703.0	3105431.0	2836660.0	2963195.0
BritoIL_2016__M1.26.ST__bin.16	2007071.0	2003888.0	2007399.0	1773938.0	2036160.0	1910543.0	1268024.0	1952343.0	1678595.0	1565134.0	1986980.0	2030227.0	2053170.0	2000361.0	1887067.0	2039246.0	2031937.0	2019232.0	2216025.0	1961819.0	1915582.0	2029780.0	1505160.0	2026406.0	1991463.0	2034156.0	1632224.0	1654653.0	1960674.0	2015257.0	1814029.0	2015558.0	2031192.0	2023485.0	2039315.0	2108380.0	2088051.0	1491983.0	2047912.0	1887822.0	1882550.0
BritoIL_2016__W1.2.ST__bin.84	3007978.0	3091352.0	3078553.0	2633681.0	3143852.0	2875151.0	1896941.0	2971333.0	2424611.0	2341728.0	3091269.0	3139088.0	3096338.0	3091153.0	2879809.0	3092202.0	3017452.0	3020187.0	1961819.0	3334357.0	2911303.0	3106797.0	2169855.0	3128752.0	3077426.0	3149744.0	2421764.0	2341340.0	3078414.0	3120865.0	2679024.0	3140149.0	3116526.0	3045965.0	3077502.0	3108765.0	3102974.0	2230289.0	3127927.0	2852787.0	2827643.0
LiuW_2016__SRR3992958__bin.44	2887876.0	2905800.0	2933726.0	2625740.0	3007855.0	2791107.0	1849733.0	2809556.0	2366323.0	2337286.0	2867027.0	2956546.0	2919912.0	2949235.0	2725975.0	2932894.0	2930174.0	2904568.0	1915582.0	2911303.0	3226771.0	2940547.0	2089190.0	2983696.0	2887951.0	2932416.0	2310232.0	2257557.0	2896658.0	2923558.0	2620570.0	2944786.0	2954001.0	2921347.0	2945397.0	2969267.0	2946119.0	2213422.0	3001127.0	2795964.0	2719545.0
BritoIL_2016__W2.5.ST__bin.28	3104350.0	3141216.0	3251742.0	2708791.0	3297909.0	2947243.0	1922013.0	3014310.0	2500998.0	2377969.0	3277892.0	3328473.0	3177652.0	3186221.0	3021727.0	3153725.0	3120446.0	3106262.0	2029780.0	3106797.0	2940547.0	3472496.0	2238363.0	3345694.0	3238656.0	3231810.0	2486972.0	2439153.0	3243918.0	3316094.0	2759919.0	3312715.0	3402855.0	3177884.0	3180888.0	3230536.0	3200321.0	2283518.0	3170312.0	2936579.0	2898036.0
BritoIL_2016__M2.37.ST__bin.9	2172324.0	2225689.0	2229062.0	1928307.0	2252542.0	2046308.0	1400908.0	2139848.0	1819248.0	1714294.0	2213800.0	2251569.0	2221360.0	2228028.0	2091117.0	2204954.0	2219134.0	2195155.0	1505160.0	2169855.0	2089190.0	2238363.0	2380788.0	2231943.0	2216587.0	2267856.0	1818082.0	1721502.0	2206272.0	2241976.0	1961485.0	2242663.0	2254371.0	2217381.0	2242813.0	2253769.0	2238686.0	1632413.0	2215008.0	2092656.0	2085643.0
BritoIL_2016__W2.19.ST__bin.23	3093915.0	3108763.0	3240411.0	2710827.0	3293828.0	2966134.0	1919952.0	3021089.0	2479670.0	2372100.0	3255080.0	3361994.0	3176727.0	3180786.0	3038880.0	3167095.0	3087555.0	3102426.0	2026406.0	3128752.0	2983696.0	3345694.0	2231943.0	3497265.0	3216121.0	3200268.0	2461476.0	2411603.0	3246256.0	3361037.0	2754895.0	3306755.0	3357562.0	3160815.0	3144013.0	3169438.0	3167139.0	2284856.0	3190439.0	2948157.0	2860003.0
BritoIL_2016__M2.58.ST__bin.49	3023977.0	3106125.0	3204748.0	2673713.0	3223329.0	2927177.0	1922739.0	2985312.0	2436210.0	2348542.0	3215080.0	3280967.0	3104614.0	3123909.0	2974433.0	3121342.0	3066078.0	3035669.0	1991463.0	3077426.0	2887951.0	3238656.0	2216587.0	3216121.0	3415737.0	3239455.0	2461979.0	2376296.0	3222915.0	3298032.0	2692481.0	3290622.0	3300581.0	3125281.0	3100399.0	3124003.0	3105981.0	2256264.0	3135768.0	2881292.0	2851415.0
BritoIL_2016__W2.46.ST__bin.71	3176735.0	3203840.0	3196576.0	2700153.0	3245923.0	2965887.0	1932177.0	3090885.0	2512652.0	2386397.0	3198459.0	3277513.0	3194466.0	3223651.0	2988300.0	3205382.0	3144038.0	3140340.0	2034156.0	3149744.0	2932416.0	3231810.0	2267856.0	3200268.0	3239455.0	3626670.0	2627021.0	2456419.0	3172514.0	3227652.0	2789362.0	3288243.0	3248293.0	3158538.0	3243445.0	3256291.0	3213891.0	2278600.0	3232118.0	2948971.0	2941360.0
BritoIL_2016__W2.9.ST__bin.79	2411206.0	2460521.0	2470044.0	2135390.0	2511752.0	2284112.0	1551882.0	2428577.0	1991251.0	1877166.0	2460229.0	2502378.0	2456529.0	2475869.0	2298975.0	2467491.0	2439179.0	2442860.0	1632224.0	2421764.0	2310232.0	2486972.0	1818082.0	2461476.0	2461979.0	2627021.0	2704723.0	1960004.0	2451722.0	2491382.0	2185176.0	2505017.0	2498540.0	2461209.0	2487573.0	2508433.0	2489853.0	1792126.0	2461080.0	2313113.0	2310735.0
BritoIL_2016__WL.26.ST__bin.9	2391484.0	2396577.0	2403850.0	2112063.0	2452155.0	2276659.0	1509177.0	2313271.0	1968245.0	1819188.0	2383473.0	2446308.0	2413964.0	2419352.0	2244287.0	2414460.0	2427656.0	2446088.0	1654653.0	2341340.0	2257557.0	2439153.0	1721502.0	2411603.0	2376296.0	2456419.0	1960004.0	2644701.0	2370031.0	2418928.0	2196460.0	2435540.0	2447432.0	2412362.0	2501233.0	2562786.0	2520057.0	1746321.0	2425991.0	2224939.0	2287406.0
BritoIL_2016__W1.9.ST__bin.73	3028123.0	3082168.0	3215541.0	2666597.0	3278168.0	2894706.0	1903605.0	2981038.0	2441219.0	2331516.0	3201900.0	3313106.0	3101160.0	3150624.0	2980958.0	3116388.0	3053992.0	3068508.0	1960674.0	3078414.0	2896658.0	3243918.0	2206272.0	3246256.0	3222915.0	3172514.0	2451722.0	2370031.0	3393636.0	3295786.0	2715886.0	3277874.0	3286568.0	3131358.0	3126706.0	3123963.0	3117589.0	2250759.0	3101488.0	2885603.0	2858662.0
BritoIL_2016__WL.3.ST__bin.74	3063528.0	3137303.0	3274083.0	2695282.0	3342619.0	2941598.0	1930167.0	3008983.0	2470477.0	2371987.0	3289146.0	3405435.0	3163935.0	3181558.0	3086459.0	3167635.0	3081442.0	3114292.0	2015257.0	3120865.0	2923558.0	3316094.0	2241976.0	3361037.0	3298032.0	3227652.0	2491382.0	2418928.0	3295786.0	3473915.0	2755087.0	3354381.0	3377697.0	3165542.0	3163183.0	3195757.0	3179286.0	2278395.0	3136800.0	2918458.0	2891297.0
BritoIL_2016__W2.61.ST__bin.104	2682286.0	2721800.0	2769296.0	2370255.0	2798624.0	2565863.0	1681095.0	2620418.0	2193618.0	2090422.0	2690000.0	2764869.0	2724889.0	2772886.0	2537644.0	2746783.0	2759194.0	2805666.0	1814029.0	2679024.0	2620570.0	2759919.0	1961485.0	2754895.0	2692481.0	2789362.0	2185176.0	2196460.0	2715886.0	2755087.0	3063061.0	2771256.0	2777921.0	2727903.0	2894267.0	2896017.0	2840307.0	2019454.0	2777847.0	2560822.0	2633824.0
BritoIL_2016__M1.44.ST__bin.7	3096321.0	3150756.0	3270509.0	2711875.0	3307537.0	2939296.0	1935393.0	3042237.0	2497691.0	2389809.0	3271666.0	3379093.0	3165094.0	3219597.0	3066644.0	3185698.0	3121622.0	3116969.0	2015558.0	3140149.0	2944786.0	3312715.0	2242663.0	3306755.0	3290622.0	3288243.0	2505017.0	2435540.0	3277874.0	3354381.0	2771256.0	3522354.0	3357958.0	3173091.0	3172663.0	3194575.0	3180584.0	2300805.0	3201265.0	2941291.0	2907054.0
BritoIL_2016__M1.1.ST__bin.106	3101831.0	3153807.0	3309618.0	2707507.0	3324697.0	2957704.0	1938378.0	3042719.0	2518454.0	2386655.0	3297304.0	3378897.0	3168900.0	3206768.0	3050102.0	3174759.0	3138187.0	3137776.0	2031192.0	3116526.0	2954001.0	3402855.0	2254371.0	3357562.0	3300581.0	3248293.0	2498540.0	2447432.0	3286568.0	3377697.0	2777921.0	3357958.0	3528927.0	3180463.0	3203127.0	3227357.0	3195845.0	2298062.0	3186623.0	2951260.0	2904878.0
CM_madagascar__A62_01_1FE__bin.43	3022989.0	3098771.0	3161905.0	2686079.0	3169469.0	2895283.0	1912206.0	2964257.0	2489880.0	2336700.0	3128637.0	3192038.0	3115654.0	3145211.0	2897188.0	3125958.0	3060978.0	3059535.0	2023485.0	3045965.0	2921347.0	3177884.0	2217381.0	3160815.0	3125281.0	3158538.0	2461209.0	2412362.0	3131358.0	3165542.0	2727903.0	3173091.0	3180463.0	3496095.0	3130948.0	3142604.0	3126092.0	2253807.0	3132733.0	2875232.0	2880197.0
BritoIL_2016__M1.22.ST__bin.45	3078992.0	3168671.0	3161396.0	2716898.0	3172079.0	2935021.0	1906204.0	2991423.0	2490046.0	2365405.0	3123113.0	3180187.0	3130019.0	3192435.0	2912494.0	3140883.0	3195301.0	3230072.0	2039315.0	3077502.0	2945397.0	3180888.0	2242813.0	3144013.0	3100399.0	3243445.0	2487573.0	2501233.0	3126706.0	3163183.0	2894267.0	3172663.0	3203127.0	3130948.0	3496338.0	3349278.0	3300441.0	2263856.0	3164761.0	2916169.0	2997098.0
BritoIL_2016__M1.52.ST__bin.77	3148656.0	3184530.0	3173602.0	2743892.0	3233742.0	2970854.0	1933766.0	3018368.0	2532774.0	2380284.0	3131812.0	3203417.0	3189625.0	3199271.0	2923809.0	3183889.0	3201478.0	3278854.0	2108380.0	3108765.0	2969267.0	3230536.0	2253769.0	3169438.0	3124003.0	3256291.0	2508433.0	2562786.0	3123963.0	3195757.0	2896017.0	3194575.0	3227357.0	3142604.0	3349278.0	3553626.0	3387877.0	2289299.0	3208260.0	2921792.0	3008110.0
BritoIL_2016__M2.51.ST__bin.49	3120696.0	3140250.0	3159796.0	2735426.0	3254930.0	2963791.0	1922939.0	3002062.0	2505070.0	2351958.0	3134691.0	3213570.0	3164240.0	3165205.0	2895732.0	3162951.0	3143187.0	3294562.0	2088051.0	3102974.0	2946119.0	3200321.0	2238686.0	3167139.0	3105981.0	3213891.0	2489853.0	2520057.0	3117589.0	3179286.0	2840307.0	3180584.0	3195845.0	3126092.0	3300441.0	3387877.0	3477480.0	2239751.0	3172847.0	2886546.0	2984890.0
LiuW_2016__SRR3993048__bin.23	2211837.0	2245183.0	2282579.0	2115235.0	2289718.0	2138164.0	1491355.0	2168332.0	1780944.0	1930359.0	2235712.0	2301885.0	2248635.0	2284082.0	2118616.0	2259221.0	2276128.0	2208703.0	1491983.0	2230289.0	2213422.0	2283518.0	1632413.0	2284856.0	2256264.0	2278600.0	1792126.0	1746321.0	2250759.0	2278395.0	2019454.0	2300805.0	2298062.0	2253807.0	2263856.0	2289299.0	2239751.0	2406258.0	2266274.0	2230206.0	2077633.0
BritoIL_2016__W1.3.ST__bin.9	3085165.0	3257330.0	3140762.0	2704755.0	3194839.0	2947720.0	1929930.0	2973463.0	2507741.0	2348650.0	3076979.0	3197292.0	3162491.0	3151684.0	2927622.0	3171486.0	3121119.0	3105431.0	2047912.0	3127927.0	3001127.0	3170312.0	2215008.0	3190439.0	3135768.0	3232118.0	2461080.0	2425991.0	3101488.0	3136800.0	2777847.0	3201265.0	3186623.0	3132733.0	3164761.0	3208260.0	3172847.0	2266274.0	3543393.0	2911890.0	2891201.0
LiuW_2016__SRR3992980__bin.10	2857606.0	2889280.0	2931288.0	2586456.0	2932390.0	2739855.0	1822729.0	2788801.0	2323830.0	2322932.0	2883648.0	2944468.0	2898832.0	2927247.0	2716558.0	2902700.0	2929320.0	2836660.0	1887822.0	2852787.0	2795964.0	2936579.0	2092656.0	2948157.0	2881292.0	2948971.0	2313113.0	2224939.0	2885603.0	2918458.0	2560822.0	2941291.0	2951260.0	2875232.0	2916169.0	2921792.0	2886546.0	2230206.0	2911890.0	3130113.0	2683093.0
BritoIL_2016__WL.25.ST__bin.8	2818515.0	2887521.0	2929624.0	2488014.0	2933246.0	2678268.0	1763422.0	2737231.0	2297434.0	2180192.0	2842420.0	2932963.0	2853433.0	2912355.0	2684758.0	2881634.0	2916620.0	2963195.0	1882550.0	2827643.0	2719545.0	2898036.0	2085643.0	2860003.0	2851415.0	2941360.0	2310735.0	2287406.0	2858662.0	2891297.0	2633824.0	2907054.0	2904878.0	2880197.0	2997098.0	3008110.0	2984890.0	2077633.0	2891201.0	2683093.0	3123622.0
