	CM_madagascar__A92_01_1FE__bin.44	BritoIL_2016__W3.18.ST__bin.6	BritoIL_2016__WL.1.ST__bin.16	LiuW_2016__SRR3993004__bin.60	BritoIL_2016__W1.1.ST__bin.29	CM_madagascar__A79_02_1FE__bin.25	CM_madagascar__A28_02_1FE__bin.17	BritoIL_2016__W2.39.ST__bin.64	LeChatelierE_2013__MH0318__bin.90	LiuW_2016__SRR3992977__bin.26	BritoIL_2016__W1.31.ST__bin.33	BritoIL_2016__W1.26.ST__bin.22	BritoIL_2016__W1.53.ST__bin.2	ZeeviD_2015__PNP_Main_293__bin.37	BritoIL_2016__M1.29.ST__bin.37	CM_madagascar__A29_01_1FE__bin.4	LiuW_2016__SRR3992995__bin.68	BritoIL_2016__M1.20.ST__bin.42	BritoIL_2016__M1.26.ST__bin.16	BritoIL_2016__W1.2.ST__bin.84	LiuW_2016__SRR3992958__bin.44	BritoIL_2016__W2.5.ST__bin.28	BritoIL_2016__M2.37.ST__bin.9	BritoIL_2016__W2.19.ST__bin.23	BritoIL_2016__M2.58.ST__bin.49	BritoIL_2016__W2.46.ST__bin.71	BritoIL_2016__W2.9.ST__bin.79	BritoIL_2016__WL.26.ST__bin.9	BritoIL_2016__W1.9.ST__bin.73	BritoIL_2016__WL.3.ST__bin.74	BritoIL_2016__W2.61.ST__bin.104	BritoIL_2016__M1.44.ST__bin.7	BritoIL_2016__M1.1.ST__bin.106	CM_madagascar__A62_01_1FE__bin.43	BritoIL_2016__M1.22.ST__bin.45	BritoIL_2016__M1.52.ST__bin.77	BritoIL_2016__M2.51.ST__bin.49	LiuW_2016__SRR3993048__bin.23	BritoIL_2016__W1.3.ST__bin.9	LiuW_2016__SRR3992980__bin.10	BritoIL_2016__WL.25.ST__bin.8
BritoIL_2016__W2.19.ST__bin.23	39340.0	32090.0	6609.0	26987.0	10472.0	38367.0	21086.0	18905.0	28189.0	25091.0	11401.0	12633.0	29462.0	30435.0	11495.0	30796.0	28355.0	30648.0	20298.0	28814.0	28325.0	9662.0	21026.0	0.0	14732.0	28603.0	21599.0	23643.0	8155.0	11751.0	25921.0	10161.0	5818.0	31358.0	27809.0	30620.0	30754.0	25255.0	32312.0	33766.0	27914.0
BritoIL_2016__M2.58.ST__bin.49	38277.0	31434.0	14197.0	26239.0	15780.0	37083.0	21711.0	21561.0	27257.0	25037.0	14428.0	12407.0	28494.0	29821.0	10806.0	29106.0	27593.0	28687.0	16740.0	27589.0	26289.0	16446.0	20524.0	14732.0	0.0	30125.0	22881.0	21125.0	14963.0	12688.0	23222.0	16790.0	16182.0	31225.0	25281.0	26960.0	28592.0	24185.0	30628.0	32044.0	25204.0
BritoIL_2016__W2.46.ST__bin.71	39864.0	34845.0	30603.0	26646.0	29974.0	37618.0	21792.0	10397.0	29555.0	25596.0	30186.0	31101.0	30482.0	32205.0	29338.0	32085.0	30957.0	32635.0	20944.0	28830.0	27926.0	30061.0	22800.0	28603.0	30125.0	0.0	548.0	25046.0	28946.0	30493.0	27357.0	28698.0	30261.0	31325.0	32181.0	33217.0	32693.0	25435.0	34228.0	33646.0	29855.0
BritoIL_2016__W2.9.ST__bin.79	29128.0	25331.0	23079.0	20252.0	22627.0	28102.0	17511.0	8220.0	22622.0	20178.0	22846.0	23600.0	22824.0	24618.0	22446.0	24366.0	23383.0	24380.0	16147.0	22267.0	22167.0	22530.0	17457.0	21599.0	22881.0	548.0	0.0	19581.0	21761.0	23194.0	20990.0	21629.0	22738.0	24062.0	24067.0	24761.0	24638.0	19977.0	24880.0	26392.0	22280.0
BritoIL_2016__WL.26.ST__bin.9	32967.0	25213.0	23989.0	21862.0	23574.0	31902.0	19034.0	22245.0	21623.0	19394.0	23568.0	23847.0	23907.0	23558.0	23460.0	25077.0	22494.0	18020.0	11636.0	22922.0	21817.0	23221.0	16584.0	23643.0	21125.0	25046.0	19581.0	0.0	22204.0	23464.0	12556.0	23406.0	23799.0	25086.0	13389.0	1953.0	18103.0	19211.0	25015.0	25063.0	11697.0
BritoIL_2016__W1.9.ST__bin.73	38824.0	31482.0	6699.0	26576.0	9931.0	36990.0	21098.0	18831.0	27481.0	24856.0	11256.0	12383.0	28310.0	30348.0	10991.0	29659.0	27968.0	29331.0	18678.0	27974.0	27568.0	11661.0	20752.0	8155.0	14963.0	28946.0	21761.0	22204.0	0.0	12360.0	24459.0	10019.0	8918.0	30778.0	26452.0	28856.0	29198.0	24398.0	30619.0	32248.0	26040.0
BritoIL_2016__WL.3.ST__bin.74	38680.0	31991.0	11427.0	26420.0	13452.0	37295.0	21261.0	20814.0	27445.0	24164.0	11900.0	9016.0	28609.0	30517.0	8227.0	30878.0	27768.0	30637.0	20343.0	27380.0	26884.0	14587.0	21001.0	11751.0	12688.0	30493.0	23194.0	23464.0	12360.0	0.0	25807.0	13445.0	12237.0	31833.0	28176.0	30973.0	30158.0	24617.0	31490.0	32258.0	28313.0
BritoIL_2016__W2.61.ST__bin.104	34302.0	27794.0	25979.0	22988.0	25892.0	33939.0	19456.0	23812.0	24342.0	22402.0	25055.0	25737.0	26475.0	27918.0	24834.0	28408.0	25389.0	18476.0	12899.0	25334.0	26145.0	25617.0	17592.0	25921.0	23222.0	27357.0	20990.0	12556.0	24459.0	25807.0	0.0	25692.0	25545.0	27490.0	13341.0	15320.0	17726.0	22198.0	28580.0	29065.0	13102.0
BritoIL_2016__M1.44.ST__bin.7	38983.0	32268.0	9151.0	27107.0	10840.0	37536.0	21250.0	19611.0	28088.0	25078.0	11219.0	13167.0	29864.0	31664.0	12480.0	30091.0	29609.0	30717.0	19817.0	28172.0	27778.0	13598.0	21242.0	10161.0	16790.0	28698.0	21629.0	23406.0	10019.0	13445.0	25692.0	0.0	10913.0	31352.0	28193.0	30848.0	30447.0	25320.0	32991.0	33067.0	27254.0
BritoIL_2016__M1.1.ST__bin.106	39361.0	32152.0	7319.0	26547.0	10392.0	37866.0	21332.0	19575.0	28926.0	24913.0	12157.0	12563.0	29153.0	30535.0	11806.0	30488.0	29356.0	30775.0	20224.0	27932.0	27622.0	6711.0	21191.0	5818.0	16182.0	30261.0	22738.0	23799.0	8918.0	12237.0	25545.0	10913.0	0.0	32095.0	28595.0	31490.0	31012.0	25010.0	32488.0	33258.0	28091.0
CM_madagascar__A62_01_1FE__bin.43	38424.0	31518.0	31690.0	27208.0	30629.0	37571.0	21935.0	27672.0	29939.0	24951.0	31812.0	31767.0	29711.0	30820.0	29982.0	29841.0	28613.0	31402.0	21367.0	29419.0	28766.0	32240.0	21416.0	31358.0	31225.0	31325.0	24062.0	25086.0	30778.0	31833.0	27490.0	31352.0	32095.0	0.0	30959.0	31705.0	31091.0	24540.0	31813.0	31898.0	28800.0
BritoIL_2016__M1.22.ST__bin.45	41088.0	32785.0	29055.0	26103.0	28502.0	39378.0	21936.0	26620.0	27232.0	24745.0	28691.0	28828.0	29222.0	31828.0	27860.0	31296.0	28408.0	21182.0	13757.0	27861.0	27285.0	28279.0	20500.0	27809.0	25281.0	32181.0	24067.0	13389.0	26452.0	28176.0	13341.0	28193.0	28595.0	30959.0	0.0	17842.0	21384.0	24502.0	31286.0	32881.0	13719.0
BritoIL_2016__M1.52.ST__bin.77	42738.0	33790.0	30911.0	27109.0	31175.0	40052.0	23465.0	28499.0	28800.0	24715.0	30242.0	30732.0	30781.0	31636.0	29895.0	33214.0	30274.0	23573.0	14683.0	30537.0	29277.0	30875.0	21675.0	30620.0	26960.0	33217.0	24761.0	1953.0	28856.0	30973.0	15320.0	30848.0	31490.0	31705.0	17842.0	0.0	23544.0	25428.0	33623.0	33423.0	15105.0
BritoIL_2016__M2.51.ST__bin.49	41324.0	33263.0	30192.0	27808.0	30907.0	39458.0	22352.0	28606.0	27954.0	25387.0	30708.0	30605.0	30104.0	32287.0	29160.0	32670.0	29250.0	2115.0	17009.0	30951.0	29623.0	31659.0	21311.0	30754.0	28592.0	32693.0	24638.0	18103.0	29198.0	30158.0	17726.0	30447.0	31012.0	31091.0	21384.0	23544.0	0.0	25028.0	33165.0	32680.0	15941.0
LiuW_2016__SRR3993048__bin.23	31905.0	26108.0	25242.0	23009.0	24393.0	30840.0	19832.0	23119.0	21550.0	11353.0	24043.0	25473.0	23399.0	24032.0	24698.0	25324.0	23333.0	25115.0	16628.0	24447.0	23234.0	24542.0	17712.0	25255.0	24185.0	25435.0	19977.0	19211.0	24398.0	24617.0	22198.0	25320.0	25010.0	24540.0	24502.0	25428.0	25028.0	0.0	25419.0	17318.0	22977.0
BritoIL_2016__W1.3.ST__bin.9	40111.0	7139.0	31602.0	27681.0	32181.0	39130.0	22822.0	29074.0	30239.0	26330.0	30982.0	32720.0	31260.0	32318.0	31013.0	33116.0	30390.0	32913.0	21860.0	30882.0	30199.0	30966.0	20640.0	32312.0	30628.0	34228.0	24880.0	25015.0	30619.0	31490.0	28580.0	32991.0	32488.0	31813.0	31286.0	33623.0	33165.0	25419.0	0.0	33978.0	30222.0
LiuW_2016__SRR3992980__bin.10	41085.0	34385.0	33921.0	27214.0	32111.0	39847.0	24209.0	30358.0	29364.0	20622.0	32629.0	33188.0	31849.0	31525.0	31785.0	33076.0	30499.0	32502.0	21924.0	31834.0	30115.0	33220.0	23206.0	33766.0	32044.0	33646.0	26392.0	25063.0	32248.0	32258.0	29065.0	33067.0	33258.0	31898.0	32881.0	33423.0	32680.0	17318.0	33978.0	0.0	31235.0
BritoIL_2016__WL.25.ST__bin.8	37282.0	31051.0	29131.0	24653.0	28086.0	35737.0	21049.0	25339.0	25246.0	23616.0	26739.0	28528.0	27736.0	29374.0	27859.0	28585.0	26430.0	17082.0	12728.0	27799.0	26601.0	27871.0	20256.0	27914.0	25204.0	29855.0	22280.0	11697.0	26040.0	28313.0	13102.0	27254.0	28091.0	28800.0	13719.0	15105.0	15941.0	22977.0	30222.0	31235.0	0.0
