	WenC_2017__RA005__bin.4	BritoIL_2016__M2.49.ST__bin.10	BritoIL_2016__M1.27.ST__bin.57	BritoIL_2016__W1.37.ST__bin.61	Bengtsson-PalmeJ_2015__TRAVELRES5__bin.55	BritoIL_2016__WL.15.ST__bin.47	ChengpingW_2017__AS67raw__bin.31	Bengtsson-PalmeJ_2015__TRAVELRES36__bin.99	CM_madagascar__A94_03_1FE__bin.24	ZeeviD_2015__PNP_Main_606__bin.20	LiJ_2014__O2.UC13-1__bin.109	BritoIL_2016__M1.35.ST__bin.82	XieH_2016__YSZC12003_35838__bin.82	LiJ_2017__H2M513938__bin.69	BritoIL_2016__M2.3.ST__bin.9	LeChatelierE_2013__MH0322__bin.36	BritoIL_2016__W2.6.ST__bin.7	VogtmannE_2016__MMRS86168210ST-27-0-0__bin.40	Bengtsson-PalmeJ_2015__TRAVELRES49__bin.41	CosteaPI_2017__SID713A013-11-0-0__bin.20	LiJ_2017__H1M513729__bin.15	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.126	BritoIL_2016__W2.67.ST__bin.18	Bengtsson-PalmeJ_2015__TRAVELRES50__bin.9	ZeeviD_2015__PNP_Main_4__bin.44	LeChatelierE_2013__MH0250__bin.33	HMP_2012__SRS017701__bin.15	BritoIL_2016__WL.44.ST__bin.16	QinJ_2012__DOM019__bin.2	BritoIL_2016__W2.34.ST__bin.57	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.127	ZeeviD_2015__PNP_Main_335__bin.29	BritoIL_2016__M1.1.ST__bin.27
BritoIL_2016__W2.67.ST__bin.18	12868.0	13283.0	14054.0	13826.0	16741.0	13240.0	16299.0	10604.0	14406.0	15170.0	12071.0	14314.0	14710.0	12569.0	12827.0	12751.0	14050.0	17535.0	17001.0	15348.0	15695.0	14893.0	0.0	16524.0	12097.0	14817.0	17227.0	8727.0	15923.0	11634.0	15667.0	14225.0	14801.0
Bengtsson-PalmeJ_2015__TRAVELRES50__bin.9	23257.0	30322.0	34729.0	30832.0	33048.0	32424.0	29400.0	19527.0	30580.0	29432.0	20365.0	31957.0	33159.0	21925.0	35443.0	26016.0	33643.0	31850.0	451.0	32808.0	31241.0	28665.0	16524.0	0.0	22472.0	26328.0	31996.0	19952.0	29734.0	27883.0	33090.0	34149.0	34171.0
ZeeviD_2015__PNP_Main_4__bin.44	17791.0	22515.0	25132.0	22171.0	23057.0	23721.0	21182.0	15407.0	20987.0	22003.0	15298.0	22721.0	25132.0	17010.0	24833.0	19486.0	25471.0	23033.0	24521.0	23351.0	22862.0	20187.0	12097.0	22472.0	0.0	19101.0	24314.0	14646.0	21635.0	19751.0	23349.0	24317.0	24493.0
LeChatelierE_2013__MH0250__bin.33	21077.0	25813.0	28785.0	27068.0	26326.0	27762.0	26147.0	17221.0	25817.0	24938.0	18352.0	26057.0	27819.0	20420.0	28635.0	22512.0	29478.0	28059.0	28338.0	27108.0	27205.0	23424.0	14817.0	26328.0	19101.0	0.0	28568.0	16946.0	26928.0	24240.0	27663.0	29618.0	28021.0
HMP_2012__SRS017701__bin.15	24283.0	32050.0	36052.0	31594.0	35216.0	33017.0	32327.0	19767.0	30636.0	30522.0	21513.0	31777.0	34600.0	24127.0	35877.0	26440.0	34337.0	29199.0	35890.0	33128.0	32657.0	30055.0	17227.0	31996.0	24314.0	28568.0	0.0	20260.0	31425.0	28139.0	34679.0	36490.0	34784.0
BritoIL_2016__WL.44.ST__bin.16	16396.0	16722.0	18951.0	8301.0	20657.0	17418.0	20326.0	13352.0	18142.0	20507.0	13945.0	17123.0	19375.0	16222.0	17793.0	15783.0	18469.0	21785.0	20514.0	18997.0	21149.0	18515.0	8727.0	19952.0	14646.0	16946.0	20260.0	0.0	19604.0	15419.0	19178.0	18535.0	19321.0
QinJ_2012__DOM019__bin.2	19198.0	28267.0	33391.0	28704.0	32062.0	30307.0	23491.0	19205.0	29143.0	21749.0	21351.0	30050.0	29884.0	17663.0	32260.0	25311.0	32711.0	31751.0	31932.0	30660.0	23007.0	27378.0	15923.0	29734.0	21635.0	26928.0	31425.0	19604.0	0.0	25968.0	28945.0	32146.0	31382.0
BritoIL_2016__W2.34.ST__bin.57	22184.0	21321.0	15597.0	23879.0	29460.0	18855.0	26567.0	17412.0	25076.0	27312.0	18794.0	21884.0	26472.0	22152.0	18851.0	21282.0	25291.0	30303.0	29465.0	27210.0	28903.0	25962.0	11634.0	27883.0	19751.0	24240.0	28139.0	15419.0	25968.0	0.0	25937.0	26150.0	25502.0
Bengtsson-PalmeJ_2015__TRAVELRES18__bin.127	22931.0	31659.0	35302.0	30105.0	37707.0	31424.0	30635.0	19720.0	28538.0	28776.0	21860.0	30688.0	33638.0	22834.0	33997.0	24265.0	35276.0	35502.0	37834.0	33297.0	30982.0	34061.0	15667.0	33090.0	23349.0	27663.0	34679.0	19178.0	28945.0	25937.0	0.0	33027.0	32178.0
ZeeviD_2015__PNP_Main_335__bin.29	24598.0	31510.0	36255.0	30107.0	40093.0	31549.0	31810.0	19675.0	29217.0	31181.0	23781.0	31764.0	33325.0	24622.0	33427.0	25602.0	35150.0	36197.0	38971.0	33871.0	33412.0	35240.0	14225.0	34149.0	24317.0	29618.0	36490.0	18535.0	32146.0	26150.0	33027.0	0.0	32095.0
BritoIL_2016__M1.1.ST__bin.27	25923.0	30130.0	33651.0	27981.0	37656.0	30925.0	32912.0	20856.0	28149.0	31216.0	22438.0	29952.0	33449.0	25466.0	32251.0	25322.0	31594.0	36057.0	37124.0	32989.0	34388.0	34424.0	14801.0	34171.0	24493.0	28021.0	34784.0	19321.0	31382.0	25502.0	32178.0	32095.0	0.0
