	ZeeviD_2015__PNP_Main_470__bin.8	BritoIL_2016__W2.8.ST__bin.43	HMP_2012__SRS020233__bin.61	XieH_2016__YSZC12003_35561__bin.34	Bengtsson-PalmeJ_2015__TRAVELRES10__bin.126	XieH_2016__YSZC12003_37101__bin.25	Bengtsson-PalmeJ_2015__TRAVELRES26__bin.52	NielsenHB_2014__MH0124__bin.30	LeChatelierE_2013__MH0457__bin.66	NielsenHB_2014__O2_UC52_0__bin.44	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.162	LiJ_2014__O2.UC29-1__bin.53	LeChatelierE_2013__MH0124__bin.49	ZeeviD_2015__PNP_Main_82__bin.19	ZeeviD_2015__PNP_Main_511__bin.22	ZeeviD_2015__PNP_Validation_42__bin.67	XieH_2016__YSZC12003_37314__bin.50	NielsenHB_2014__O2_UC52_2__bin.42	CosteaPI_2017__SID713A052-11-0-0__bin.55	LeChatelierE_2013__MH0147__bin.53	ZeeviD_2015__PNP_Main_179__bin.32	BritoIL_2016__W1.5.ST__bin.38	ZeeviD_2015__PNP_Main_283__bin.6	ZeeviD_2015__PNP_Main_225__bin.46	XieH_2016__YSZC12003_37332__bin.63	ZeeviD_2015__PNP_Main_500__bin.24	ZeeviD_2015__PNP_Main_473__bin.11	ZeeviD_2015__PNP_Main_89__bin.4	NielsenHB_2014__MH0147__bin.44
ZeeviD_2015__PNP_Validation_42__bin.67	1816325.0	1774412.0	2054395.0	2269017.0	2257408.0	1619917.0	2201001.0	1979081.0	2257698.0	2274346.0	2123235.0	1404157.0	2077541.0	2310593.0	2264235.0	2456619.0	1817084.0	1758428.0	1994582.0	2265050.0	1415773.0	2259679.0	1865507.0	2181072.0	1765822.0	2209253.0	1113242.0	1191344.0	2240792.0
XieH_2016__YSZC12003_37314__bin.50	1483725.0	1387005.0	1706003.0	1922471.0	1895773.0	1337998.0	1877050.0	1655887.0	1959972.0	1893528.0	1752235.0	1185454.0	1768027.0	1914258.0	1913187.0	1817084.0	2034529.0	1454561.0	1679106.0	1877860.0	1136340.0	1915039.0	1526604.0	1790831.0	1445506.0	1810236.0	899394.0	981991.0	1878205.0
NielsenHB_2014__O2_UC52_2__bin.42	1461784.0	1386560.0	1667027.0	1814846.0	1795960.0	1307817.0	1766049.0	1617484.0	1812004.0	1862511.0	1687590.0	1173800.0	1711621.0	1830006.0	1822259.0	1758428.0	1454561.0	2000257.0	1623685.0	1803405.0	1132819.0	1814857.0	1510658.0	1733603.0	1416167.0	1756140.0	893295.0	1001963.0	1782646.0
CosteaPI_2017__SID713A052-11-0-0__bin.55	1649738.0	1590419.0	1888081.0	2092086.0	2066891.0	1491525.0	2043688.0	1830921.0	2083472.0	2055371.0	1937997.0	1319712.0	1926540.0	2082468.0	2064171.0	1994582.0	1679106.0	1623685.0	2169518.0	2051827.0	1272645.0	2084754.0	1706181.0	1987140.0	1631082.0	1992195.0	1040852.0	1099019.0	2041249.0
LeChatelierE_2013__MH0147__bin.53	1845191.0	1763426.0	2082666.0	2341475.0	2301741.0	1659892.0	2272043.0	2037702.0	2320877.0	2294447.0	2168303.0	1445942.0	2158499.0	2367319.0	2318887.0	2265050.0	1877860.0	1803405.0	2051827.0	2458033.0	1435658.0	2334447.0	1880627.0	2210688.0	1818374.0	2232181.0	1139032.0	1231505.0	2391781.0
ZeeviD_2015__PNP_Main_179__bin.32	1161453.0	1109009.0	1299103.0	1427818.0	1399822.0	1019673.0	1397306.0	1257580.0	1429656.0	1422861.0	1326844.0	912002.0	1321774.0	1442675.0	1402115.0	1415773.0	1136340.0	1132819.0	1272645.0	1435658.0	1591239.0	1435723.0	1186340.0	1379899.0	1116791.0	1381171.0	716435.0	771182.0	1425800.0
BritoIL_2016__W1.5.ST__bin.38	1875454.0	1836516.0	2133173.0	2390114.0	2365568.0	1688224.0	2305172.0	2089880.0	2391647.0	2349158.0	2222364.0	1474432.0	2208232.0	2365832.0	2369255.0	2259679.0	1915039.0	1814857.0	2084754.0	2334447.0	1435723.0	2519783.0	1917382.0	2269003.0	1840688.0	2264229.0	1169962.0	1242845.0	2330707.0
ZeeviD_2015__PNP_Main_283__bin.6	1541568.0	1476598.0	1754386.0	1904461.0	1906703.0	1360315.0	1849906.0	1679142.0	1893375.0	1906685.0	1791894.0	1205059.0	1760560.0	1915705.0	1902075.0	1865507.0	1526604.0	1510658.0	1706181.0	1880627.0	1186340.0	1917382.0	2001122.0	1839494.0	1480972.0	1850648.0	954845.0	1003949.0	1856048.0
ZeeviD_2015__PNP_Main_225__bin.46	1783327.0	1764257.0	2048755.0	2236908.0	2236760.0	1607840.0	2199168.0	1963997.0	2249143.0	2247008.0	2102209.0	1408167.0	2068582.0	2253542.0	2230956.0	2181072.0	1790831.0	1733603.0	1987140.0	2210688.0	1379899.0	2269003.0	1839494.0	2358032.0	1735525.0	2154651.0	1123403.0	1173341.0	2196060.0
XieH_2016__YSZC12003_37332__bin.63	1474759.0	1415992.0	1642988.0	1859950.0	1819367.0	1326191.0	1784385.0	1600667.0	1842142.0	1809933.0	1711961.0	1134861.0	1691999.0	1829690.0	1832495.0	1765822.0	1445506.0	1416167.0	1631082.0	1818374.0	1116791.0	1840688.0	1480972.0	1735525.0	1914658.0	1765854.0	879057.0	972837.0	1802048.0
ZeeviD_2015__PNP_Main_500__bin.24	1818335.0	1772523.0	2034805.0	2265952.0	2287614.0	1603136.0	2193233.0	1993681.0	2257521.0	2275285.0	2158477.0	1388933.0	2089865.0	2275371.0	2272879.0	2209253.0	1810236.0	1756140.0	1992195.0	2232181.0	1381171.0	2264229.0	1850648.0	2154651.0	1765854.0	2443307.0	1096769.0	1190939.0	2221527.0
ZeeviD_2015__PNP_Main_473__bin.11	905145.0	950429.0	1054312.0	1154453.0	1152468.0	851053.0	1136516.0	1019284.0	1149809.0	1131732.0	1087554.0	743263.0	1065805.0	1143685.0	1144340.0	1113242.0	899394.0	893295.0	1040852.0	1139032.0	716435.0	1169962.0	954845.0	1123403.0	879057.0	1096769.0	1245915.0	634606.0	1129475.0
ZeeviD_2015__PNP_Main_89__bin.4	994247.0	967975.0	1112342.0	1239242.0	1219810.0	911675.0	1200804.0	1099305.0	1237421.0	1217207.0	1146404.0	806590.0	1154506.0	1244738.0	1226854.0	1191344.0	981991.0	1001963.0	1099019.0	1231505.0	771182.0	1242845.0	1003949.0	1173341.0	972837.0	1190939.0	634606.0	1308016.0	1222901.0
NielsenHB_2014__MH0147__bin.44	1841546.0	1757917.0	2067207.0	2326983.0	2290919.0	1645405.0	2256730.0	2021057.0	2319987.0	2287692.0	2153256.0	1432346.0	2131247.0	2354918.0	2311024.0	2240792.0	1878205.0	1782646.0	2041249.0	2391781.0	1425800.0	2330707.0	1856048.0	2196060.0	1802048.0	2221527.0	1129475.0	1222901.0	2466847.0
