	HMP_2012__SRS016541__bin.7	HMP_2012__SRS017445__bin.7	ZellerG_2014__CCIS76845094ST-20-0__bin.28	CM_cf__CF_TNFC018SA_t5M17__bin.3	HMP_2012__SRS015947__bin.20	HMP_2012__SRS024447__bin.10	HMP_2012__SRS019128__bin.8	HMP_2012__SRS064493__bin.1	HMP_2012__SRS023538__bin.14	HMP_2012__SRS053630__bin.9	HMP_2012__SRS024021__bin.38	HMP_2012__SRS015440__bin.36	HMP_2012__SRS018337__bin.12	CM_cf__CF_TNFC045IS_t1M15__bin.8	HMP_2012__SRS016360__bin.21	HMP_2012__SRS022602__bin.6	HMP_2012__SRS015470__bin.32	CM_periimplantitis__SP_162SPT_T016__bin.2	OhJ_2014__MET0094__bin.3	HMP_2012__SRS018975__bin.43	HMP_2012__SRS018394__bin.51	HMP_2012__SRS014690__bin.46	HMP_2012__SRS024144__bin.27	CM_periimplantitis__SP_163SPT_T016__bin.41	VincentC_2016__MM001.2__bin.8	CM_periimplantitis__SP_283SPT_T016__bin.19	VincentC_2016__MM017__bin.13	HMP_2012__SRS019225__bin.27	HMP_2012__SRS015989__bin.17	OhJ_2014__MET0103__bin.10
HMP_2012__SRS015440__bin.36	1339584.0	977293.0	1370604.0	1389582.0	964556.0	1066438.0	1134419.0	1225942.0	1300515.0	1337723.0	1128746.0	1617888.0	1308450.0	1418119.0	1370713.0	772152.0	1332977.0	1180008.0	1185066.0	1357171.0	1363105.0	1220120.0	1261239.0	1092038.0	1303338.0	1362766.0	1332485.0	1257311.0	1355264.0	1196361.0
HMP_2012__SRS018337__bin.12	1458940.0	1067959.0	1510977.0	1501633.0	1122615.0	1164853.0	1343281.0	1376863.0	1482999.0	1552886.0	1208813.0	1308450.0	1761110.0	1571105.0	1488459.0	861493.0	1262587.0	1438258.0	1391863.0	1440454.0	1458809.0	1393788.0	1373010.0	1244089.0	1448493.0	1457370.0	1573626.0	1354098.0	1460297.0	1415581.0
CM_cf__CF_TNFC045IS_t1M15__bin.8	1598433.0	1119635.0	1635015.0	1661739.0	1125050.0	1244892.0	1334642.0	1443464.0	1501063.0	1596096.0	1415306.0	1418119.0	1571105.0	1950545.0	1642147.0	871520.0	1353261.0	1428739.0	1400737.0	1574677.0	1568652.0	1468077.0	1464691.0	1261200.0	1528206.0	1631077.0	1627359.0	1429976.0	1647403.0	1416424.0
HMP_2012__SRS016360__bin.21	1579174.0	1096453.0	1585433.0	1679782.0	1109983.0	1224127.0	1246934.0	1409714.0	1457468.0	1552299.0	1256671.0	1370713.0	1488459.0	1642147.0	1885376.0	858019.0	1338512.0	1357346.0	1346277.0	1534361.0	1522930.0	1404307.0	1411318.0	1208666.0	1496908.0	1576381.0	1557383.0	1403489.0	1573262.0	1363692.0
HMP_2012__SRS022602__bin.6	834484.0	654475.0	847321.0	857286.0	642897.0	631396.0	743586.0	794999.0	834314.0	875438.0	669844.0	772152.0	861493.0	871520.0	858019.0	968212.0	732961.0	769617.0	794216.0	823806.0	809277.0	789699.0	766166.0	743455.0	784726.0	817224.0	892802.0	782596.0	829138.0	800952.0
HMP_2012__SRS015470__bin.32	1304648.0	946319.0	1343796.0	1339163.0	936654.0	1061484.0	1124758.0	1178144.0	1265643.0	1285170.0	1113871.0	1332977.0	1262587.0	1353261.0	1338512.0	732961.0	1525489.0	1152764.0	1130618.0	1316454.0	1334188.0	1178949.0	1208946.0	1045492.0	1283706.0	1331848.0	1287674.0	1213273.0	1287995.0	1136212.0
CM_periimplantitis__SP_162SPT_T016__bin.2	1331815.0	961229.0	1368723.0	1377153.0	1057330.0	1168584.0	1206984.0	1249133.0	1323515.0	1409862.0	1116236.0	1180008.0	1438258.0	1428739.0	1357346.0	769617.0	1152764.0	1713474.0	1279705.0	1296819.0	1309098.0	1248446.0	1240778.0	1106397.0	1313499.0	1331926.0	1434531.0	1210152.0	1336615.0	1277647.0
OhJ_2014__MET0094__bin.3	1304035.0	925899.0	1318297.0	1368448.0	968084.0	1022296.0	1166098.0	1242276.0	1316907.0	1381691.0	1061849.0	1185066.0	1391863.0	1400737.0	1346277.0	794216.0	1130618.0	1279705.0	1674627.0	1275095.0	1278979.0	1241895.0	1199373.0	1103576.0	1258600.0	1304291.0	1426501.0	1195616.0	1320387.0	1346717.0
HMP_2012__SRS018975__bin.43	1479233.0	1056251.0	1555940.0	1534107.0	1074253.0	1200820.0	1234421.0	1328039.0	1435922.0	1471319.0	1258638.0	1357171.0	1440454.0	1574677.0	1534361.0	823806.0	1316454.0	1296819.0	1275095.0	1825535.0	1485007.0	1328051.0	1416659.0	1193753.0	1452884.0	1489350.0	1506845.0	1430521.0	1470661.0	1296054.0
HMP_2012__SRS018394__bin.51	1495482.0	1063152.0	1520230.0	1528584.0	1080827.0	1193796.0	1243273.0	1322531.0	1426003.0	1466033.0	1251282.0	1363105.0	1458809.0	1568652.0	1522930.0	809277.0	1334188.0	1309098.0	1278979.0	1485007.0	1786442.0	1321946.0	1399514.0	1188617.0	1473895.0	1486327.0	1473895.0	1374313.0	1481934.0	1303758.0
HMP_2012__SRS014690__bin.46	1366577.0	970009.0	1392648.0	1413275.0	1008564.0	1078280.0	1183453.0	1272828.0	1355206.0	1463052.0	1114141.0	1220120.0	1393788.0	1468077.0	1404307.0	789699.0	1178949.0	1248446.0	1241895.0	1328051.0	1321946.0	1712839.0	1257301.0	1135237.0	1335289.0	1396099.0	1459519.0	1249222.0	1386121.0	1249548.0
HMP_2012__SRS024144__bin.27	1365816.0	1008047.0	1429536.0	1409337.0	982647.0	1086641.0	1163227.0	1268122.0	1327584.0	1385196.0	1135978.0	1261239.0	1373010.0	1464691.0	1411318.0	766166.0	1208946.0	1240778.0	1199373.0	1416659.0	1399514.0	1257301.0	1655058.0	1102442.0	1342518.0	1382567.0	1395654.0	1311520.0	1361659.0	1226832.0
CM_periimplantitis__SP_163SPT_T016__bin.41	1183186.0	873852.0	1225840.0	1236220.0	893762.0	954998.0	1081958.0	1135940.0	1206478.0	1263782.0	999265.0	1092038.0	1244089.0	1261200.0	1208666.0	743455.0	1045492.0	1106397.0	1103576.0	1193753.0	1188617.0	1135237.0	1102442.0	1433263.0	1170841.0	1172871.0	1267501.0	1125004.0	1193591.0	1110843.0
VincentC_2016__MM001.2__bin.8	1451402.0	1042271.0	1535573.0	1500893.0	1036619.0	1193232.0	1221097.0	1301593.0	1392720.0	1448512.0	1218476.0	1303338.0	1448493.0	1528206.0	1496908.0	784726.0	1283706.0	1313499.0	1258600.0	1452884.0	1473895.0	1335289.0	1342518.0	1170841.0	1753680.0	1501628.0	1461794.0	1324827.0	1429517.0	1284547.0
CM_periimplantitis__SP_283SPT_T016__bin.19	1521937.0	1056914.0	1552729.0	1585803.0	1057801.0	1197024.0	1265351.0	1353030.0	1433702.0	1504435.0	1257300.0	1362766.0	1457370.0	1631077.0	1576381.0	817224.0	1331848.0	1331926.0	1304291.0	1489350.0	1486327.0	1396099.0	1382567.0	1172871.0	1501628.0	1917562.0	1521569.0	1375303.0	1525626.0	1310915.0
VincentC_2016__MM017__bin.13	1510743.0	1064641.0	1540301.0	1573763.0	1136577.0	1191035.0	1337851.0	1452779.0	1524627.0	1593311.0	1218054.0	1332485.0	1573626.0	1627359.0	1557383.0	892802.0	1287674.0	1434531.0	1426501.0	1506845.0	1473895.0	1459519.0	1395654.0	1267501.0	1461794.0	1521569.0	1923629.0	1384933.0	1533302.0	1419048.0
HMP_2012__SRS019225__bin.27	1368299.0	1008606.0	1413579.0	1405124.0	997621.0	1102110.0	1169990.0	1244311.0	1346030.0	1370030.0	1148782.0	1257311.0	1354098.0	1429976.0	1403489.0	782596.0	1213273.0	1210152.0	1195616.0	1430521.0	1374313.0	1249222.0	1311520.0	1125004.0	1324827.0	1375303.0	1384933.0	1713706.0	1360748.0	1217376.0
HMP_2012__SRS015989__bin.17	1545642.0	1061957.0	1526572.0	1585353.0	1078690.0	1181905.0	1253133.0	1369446.0	1419674.0	1513139.0	1284315.0	1355264.0	1460297.0	1647403.0	1573262.0	829138.0	1287995.0	1336615.0	1320387.0	1470661.0	1481934.0	1386121.0	1361659.0	1193591.0	1429517.0	1525626.0	1533302.0	1360748.0	1896404.0	1318739.0
OhJ_2014__MET0103__bin.10	1317282.0	945872.0	1349509.0	1364623.0	1001013.0	1054160.0	1186226.0	1250444.0	1341020.0	1397240.0	1079826.0	1196361.0	1415581.0	1416424.0	1363692.0	800952.0	1136212.0	1277647.0	1346717.0	1296054.0	1303758.0	1249548.0	1226832.0	1110843.0	1284547.0	1310915.0	1419048.0	1217376.0	1318739.0	1603325.0
