	HMP_2012__SRS016541__bin.7	HMP_2012__SRS017445__bin.7	ZellerG_2014__CCIS76845094ST-20-0__bin.28	CM_cf__CF_TNFC018SA_t5M17__bin.3	HMP_2012__SRS015947__bin.20	HMP_2012__SRS024447__bin.10	HMP_2012__SRS019128__bin.8	HMP_2012__SRS064493__bin.1	HMP_2012__SRS023538__bin.14	HMP_2012__SRS053630__bin.9	HMP_2012__SRS024021__bin.38	HMP_2012__SRS015440__bin.36	HMP_2012__SRS018337__bin.12	CM_cf__CF_TNFC045IS_t1M15__bin.8	HMP_2012__SRS016360__bin.21	HMP_2012__SRS022602__bin.6	HMP_2012__SRS015470__bin.32	CM_periimplantitis__SP_162SPT_T016__bin.2	OhJ_2014__MET0094__bin.3	HMP_2012__SRS018975__bin.43	HMP_2012__SRS018394__bin.51	HMP_2012__SRS014690__bin.46	HMP_2012__SRS024144__bin.27	CM_periimplantitis__SP_163SPT_T016__bin.41	VincentC_2016__MM001.2__bin.8	CM_periimplantitis__SP_283SPT_T016__bin.19	VincentC_2016__MM017__bin.13	HMP_2012__SRS019225__bin.27	HMP_2012__SRS015989__bin.17	OhJ_2014__MET0103__bin.10
HMP_2012__SRS024021__bin.38	59106.0	35630.0	62515.0	64185.0	41291.0	50155.0	51675.0	52481.0	58660.0	61407.0	0.0	58009.0	59023.0	21300.0	62025.0	26707.0	57591.0	55488.0	51443.0	65858.0	59382.0	57224.0	54313.0	50848.0	63718.0	66986.0	61433.0	55260.0	58021.0	52177.0
HMP_2012__SRS015440__bin.36	68186.0	45414.0	69283.0	69390.0	49242.0	54216.0	58328.0	63703.0	68064.0	69788.0	58009.0	0.0	68141.0	71574.0	68755.0	34780.0	3905.0	60175.0	60225.0	68673.0	67950.0	66076.0	63405.0	57440.0	67543.0	72459.0	71498.0	62789.0	65881.0	60898.0
HMP_2012__SRS018337__bin.12	72546.0	51363.0	76932.0	74218.0	37086.0	59977.0	37454.0	52650.0	55923.0	58381.0	59023.0	68141.0	0.0	77498.0	75669.0	20515.0	66189.0	37678.0	33289.0	77356.0	73014.0	58119.0	70801.0	39841.0	73830.0	78926.0	42948.0	70003.0	71644.0	34864.0
CM_cf__CF_TNFC045IS_t1M15__bin.8	76696.0	42013.0	76470.0	79972.0	55943.0	62666.0	68103.0	68908.0	74749.0	79591.0	21300.0	71574.0	77498.0	0.0	79127.0	36680.0	69357.0	71883.0	69951.0	80577.0	74630.0	74144.0	69785.0	64782.0	78119.0	84256.0	82957.0	70885.0	73547.0	70377.0
HMP_2012__SRS016360__bin.21	71472.0	48602.0	75716.0	48232.0	55748.0	62741.0	64292.0	67785.0	73672.0	78861.0	62025.0	68755.0	75669.0	79127.0	0.0	37640.0	68489.0	69674.0	67035.0	77332.0	72028.0	74975.0	67300.0	62742.0	76839.0	83398.0	81466.0	71673.0	69714.0	68411.0
HMP_2012__SRS022602__bin.6	34867.0	26085.0	36134.0	35652.0	18929.0	27432.0	19536.0	25760.0	24487.0	28066.0	26707.0	34780.0	20515.0	36680.0	37640.0	0.0	34053.0	21481.0	20262.0	38146.0	34636.0	29310.0	33431.0	20971.0	34032.0	38964.0	19649.0	35079.0	34554.0	21001.0
HMP_2012__SRS015470__bin.32	67530.0	44943.0	68303.0	67681.0	46744.0	53502.0	58359.0	62295.0	66921.0	68285.0	57591.0	3905.0	66189.0	69357.0	68489.0	34053.0	0.0	59356.0	57910.0	68048.0	67718.0	65716.0	60866.0	55444.0	66346.0	72930.0	70616.0	60738.0	62955.0	58945.0
CM_periimplantitis__SP_162SPT_T016__bin.2	65432.0	46075.0	69087.0	69054.0	34367.0	60504.0	41449.0	50485.0	52423.0	52539.0	55488.0	60175.0	37678.0	71883.0	69674.0	21481.0	59356.0	0.0	25876.0	69761.0	65234.0	55731.0	63433.0	40939.0	67241.0	72417.0	44623.0	62638.0	69039.0	25832.0
OhJ_2014__MET0094__bin.3	63531.0	43303.0	64420.0	66363.0	28145.0	52889.0	38061.0	48048.0	48898.0	48014.0	51443.0	60225.0	33289.0	69951.0	67035.0	20262.0	57910.0	25876.0	0.0	68355.0	63457.0	52216.0	60206.0	39657.0	64118.0	70147.0	42597.0	61474.0	64105.0	9124.0
HMP_2012__SRS018975__bin.43	73080.0	50119.0	77293.0	78214.0	55271.0	62495.0	65984.0	67820.0	74992.0	78157.0	65858.0	68673.0	77356.0	80577.0	77332.0	38146.0	68048.0	69761.0	68355.0	0.0	72609.0	74770.0	69110.0	64290.0	77122.0	81607.0	82372.0	65323.0	71954.0	69127.0
HMP_2012__SRS018394__bin.51	66197.0	45529.0	71434.0	71022.0	52035.0	58472.0	60432.0	64490.0	71212.0	74408.0	59382.0	67950.0	73014.0	74630.0	72028.0	34636.0	67718.0	65234.0	63457.0	72609.0	0.0	70399.0	65073.0	60594.0	75719.0	78327.0	77670.0	67217.0	64755.0	64464.0
HMP_2012__SRS014690__bin.46	71327.0	48781.0	72762.0	73706.0	44157.0	59572.0	50297.0	52830.0	62995.0	62152.0	57224.0	66076.0	58119.0	74144.0	74975.0	29310.0	65716.0	55731.0	52216.0	74770.0	70399.0	0.0	66876.0	49136.0	70016.0	76051.0	59692.0	67501.0	72188.0	53710.0
HMP_2012__SRS024144__bin.27	64586.0	45892.0	68616.0	65656.0	47864.0	53391.0	60420.0	62567.0	67869.0	71024.0	54313.0	63405.0	70801.0	69785.0	67300.0	33431.0	60866.0	63433.0	60206.0	69110.0	65073.0	66876.0	0.0	57950.0	67767.0	72014.0	73381.0	63633.0	63246.0	61624.0
CM_periimplantitis__SP_163SPT_T016__bin.41	59008.0	43325.0	61911.0	61460.0	36156.0	47844.0	31115.0	48679.0	47439.0	51592.0	50848.0	57440.0	39841.0	64782.0	62742.0	20971.0	55444.0	40939.0	39657.0	64290.0	60594.0	49136.0	57950.0	0.0	62234.0	64280.0	44371.0	58701.0	57280.0	40443.0
VincentC_2016__MM001.2__bin.8	74989.0	51041.0	77224.0	75639.0	51141.0	62005.0	61316.0	66697.0	73146.0	75019.0	63718.0	67543.0	73830.0	78119.0	76839.0	34032.0	66346.0	67241.0	64118.0	77122.0	75719.0	70016.0	67767.0	62234.0	0.0	78166.0	76834.0	70515.0	72000.0	65086.0
CM_periimplantitis__SP_283SPT_T016__bin.19	80411.0	51648.0	81736.0	83640.0	56139.0	65696.0	69215.0	70970.0	78965.0	80012.0	66986.0	72459.0	78926.0	84256.0	83398.0	38964.0	72930.0	72417.0	70147.0	81607.0	78327.0	76051.0	72014.0	64280.0	78166.0	0.0	82750.0	74471.0	79465.0	70443.0
VincentC_2016__MM017__bin.13	77225.0	53794.0	80791.0	78159.0	41983.0	64142.0	40176.0	53974.0	58075.0	59255.0	61433.0	71498.0	42948.0	82957.0	81466.0	19649.0	70616.0	44623.0	42597.0	82372.0	77670.0	59692.0	73381.0	44371.0	76834.0	82750.0	0.0	75273.0	77438.0	44358.0
HMP_2012__SRS019225__bin.27	63544.0	46426.0	69437.0	72101.0	49564.0	57035.0	61626.0	61269.0	68310.0	69856.0	55260.0	62789.0	70003.0	70885.0	71673.0	35079.0	60738.0	62638.0	61474.0	65323.0	67217.0	67501.0	63633.0	58701.0	70515.0	74471.0	75273.0	0.0	65873.0	63064.0
HMP_2012__SRS015989__bin.17	68923.0	43556.0	65373.0	71339.0	51982.0	56919.0	62683.0	62755.0	70621.0	74192.0	58021.0	65881.0	71644.0	73547.0	69714.0	34554.0	62955.0	69039.0	64105.0	71954.0	64755.0	72188.0	63246.0	57280.0	72000.0	79465.0	77438.0	65873.0	0.0	64808.0
OhJ_2014__MET0103__bin.10	64175.0	43980.0	66971.0	66931.0	30273.0	53829.0	39456.0	49069.0	50493.0	49964.0	52177.0	60898.0	34864.0	70377.0	68411.0	21001.0	58945.0	25832.0	9124.0	69127.0	64464.0	53710.0	61624.0	40443.0	65086.0	70443.0	44358.0	63064.0	64808.0	0.0
