	CosteaPI_2017__daisy-11-390-0__bin.44	CosteaPI_2017__daisy-11-0-0__bin.1	VogtmannE_2016__MMRS84954772ST-27-0-0__bin.17	BackhedF_2015__SID397_M__bin.71	CosteaPI_2017__daisy-11-7-0__bin.39	GeversD_2014__SKBSTL013__bin.105	CosteaPI_2017__daisy-11-403-0__bin.29	CosteaPI_2017__daisy-11-386-0__bin.46	CosteaPI_2017__daisy-11-388-0__bin.6	LiJ_2014__O2.UC2-1__bin.14	LiJ_2014__MH0246__bin.46	QinN_2014__LD-49__bin.29	CosteaPI_2017__daisy-11-60-0__bin.4	Bengtsson-PalmeJ_2015__TRAVELRES28__bin.92	HMP_2012__SRS053398__bin.18	VogtmannE_2016__MMRS88581325ST-27-0-0__bin.75	CosteaPI_2017__daisy-11-2-0__bin.7	CosteaPI_2017__SID713A037-11-0-0__bin.69	ZellerG_2014__CCIS48174381ST-4-0__bin.47	XieH_2016__YSZC12003_37202R1__bin.10	QinN_2014__LD-86__bin.32	LiJ_2017__H1M413815__bin.7	HMP_2012__SRS058770__bin.26	LiJ_2014__V1.CD49-0__bin.19	ChengpingW_2017__AS97raw__bin.74	ZeeviD_2015__PNP_Main_480__bin.37	LiJ_2014__MH0359__bin.66	VogtmannE_2016__MMRS87723283ST-27-0-0__bin.36	LeChatelierE_2013__MH0183__bin.3	NielsenHB_2014__O2_UC18_2__bin.57	CosteaPI_2017__daisy-11-392-0__bin.8	ZeeviD_2015__PNP_Main_706__bin.56	VogtmannE_2016__MMRS51410669ST-27-0-0__bin.45	HMP_2012__SRS024132__bin.65	LiJ_2014__V1.CD44-4__bin.36	YuJ_2015__SZAXPI003420-4__bin.9	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.134	VogtmannE_2016__MMRS62666492ST-27-0-0__bin.17	CosteaPI_2017__SID713A037-11-90-0__bin.47	CosteaPI_2017__daisy-11-389-0__bin.10	NielsenHB_2014__V1_UC26_4__bin.73
LiJ_2014__MH0246__bin.46	3405410.0	3211740.0	2111369.0	1870666.0	3284353.0	3012643.0	3023236.0	3402294.0	3419365.0	2499930.0	3625965.0	3282287.0	3399445.0	3485642.0	3093750.0	2980146.0	3260117.0	3161270.0	1548055.0	3552290.0	2728611.0	1261611.0	2857127.0	2157161.0	2857002.0	2256860.0	1913827.0	3521969.0	1736564.0	2072279.0	3402634.0	2251902.0	1957606.0	3689145.0	2170232.0	1758106.0	3497147.0	1660495.0	3380256.0	2901060.0	3151207.0
QinN_2014__LD-49__bin.29	3490829.0	3301107.0	2139689.0	1885377.0	3311614.0	3015248.0	3126613.0	3525456.0	3526486.0	2615606.0	3282287.0	3623114.0	3436771.0	3380059.0	3202151.0	2930499.0	3263610.0	3133663.0	1617451.0	3386996.0	2774040.0	1325933.0	2878390.0	2126375.0	2914783.0	2335155.0	1976700.0	3439707.0	1770235.0	2025327.0	3476558.0	2280161.0	1966847.0	3422162.0	2236212.0	1782621.0	3412267.0	1683268.0	3479113.0	3021323.0	3188100.0
CosteaPI_2017__daisy-11-60-0__bin.4	3787279.0	3461846.0	2171967.0	1898045.0	3563883.0	3061586.0	3278376.0	3724750.0	3828680.0	2625115.0	3399445.0	3436771.0	3794352.0	3488120.0	3283430.0	3015409.0	3583820.0	3295803.0	1632833.0	3488261.0	2816979.0	1320399.0	2937085.0	2152205.0	2950038.0	2358560.0	1992059.0	3543652.0	1791808.0	2078133.0	3778298.0	2371050.0	1991205.0	3542502.0	2259967.0	1818006.0	3533300.0	1688675.0	3562213.0	3105072.0	3283584.0
Bengtsson-PalmeJ_2015__TRAVELRES28__bin.92	3506538.0	3291959.0	2170203.0	1909415.0	3371264.0	3068759.0	3112356.0	3499624.0	3512523.0	2581062.0	3485642.0	3380059.0	3488120.0	3810231.0	3218478.0	3055759.0	3341309.0	3209301.0	1605027.0	3588639.0	2827102.0	1309704.0	2936246.0	2177704.0	2929734.0	2330021.0	1969378.0	3755392.0	1782924.0	2096417.0	3491802.0	2336479.0	1993496.0	3642012.0	2228348.0	1815958.0	3728642.0	1701124.0	3426259.0	2983748.0	3274133.0
HMP_2012__SRS053398__bin.18	3292986.0	3106991.0	2103688.0	1796943.0	3147746.0	2860126.0	2961267.0	3313301.0	3322910.0	2707882.0	3093750.0	3202151.0	3283430.0	3218478.0	3747450.0	2782082.0	3127735.0	2992085.0	1565479.0	3197577.0	2724594.0	1296257.0	2837059.0	2018312.0	2869154.0	2247078.0	1846661.0	3262429.0	1897732.0	1930769.0	3276194.0	2160045.0	1862574.0	3231099.0	2334774.0	1765558.0	3247026.0	1608079.0	3226990.0	2831160.0	3163307.0
VogtmannE_2016__MMRS88581325ST-27-0-0__bin.75	3009524.0	2885073.0	1944053.0	1754736.0	2935563.0	2761907.0	2760040.0	3011979.0	3022841.0	2299071.0	2980146.0	2930499.0	3015409.0	3055759.0	2782082.0	3244648.0	2919513.0	2789040.0	1464614.0	3043505.0	2520573.0	1177791.0	2599418.0	2008409.0	2596984.0	2084777.0	1785337.0	3061033.0	1643651.0	1906298.0	2989674.0	2053494.0	1830611.0	3093341.0	2013319.0	1631232.0	3050940.0	1556577.0	2920363.0	2648583.0	2822428.0
CosteaPI_2017__daisy-11-2-0__bin.7	3612890.0	3276836.0	2111837.0	1841751.0	3423987.0	2918935.0	3113384.0	3536080.0	3583951.0	2495110.0	3260117.0	3263610.0	3583820.0	3341309.0	3127735.0	2919513.0	3596214.0	3180558.0	1569135.0	3346631.0	2716028.0	1233102.0	2823983.0	2094814.0	2842756.0	2245002.0	1924654.0	3383517.0	1743102.0	2027412.0	3557269.0	2315999.0	1933175.0	3394152.0	2156546.0	1761352.0	3368249.0	1631970.0	3367385.0	2969251.0	3139019.0
CosteaPI_2017__SID713A037-11-0-0__bin.69	3289598.0	3084895.0	1992086.0	1771361.0	3211632.0	2781864.0	2920745.0	3286210.0	3288539.0	2376936.0	3161270.0	3133663.0	3295803.0	3209301.0	2992085.0	2789040.0	3180558.0	3460597.0	1525623.0	3228712.0	2608088.0	1171083.0	2693472.0	2008222.0	2713103.0	2156373.0	1864272.0	3247033.0	1698299.0	1989233.0	3276998.0	2239740.0	1858521.0	3286821.0	2040899.0	1689434.0	3240781.0	1583518.0	3318942.0	2762880.0	2993888.0
ZellerG_2014__CCIS48174381ST-4-0__bin.47	1635239.0	1578770.0	1418585.0	994960.0	1591039.0	1454309.0	1520839.0	1637491.0	1637373.0	1353837.0	1548055.0	1617451.0	1632833.0	1605027.0	1565479.0	1464614.0	1569135.0	1525623.0	1820856.0	1604712.0	1420309.0	758887.0	1443775.0	1072409.0	1483030.0	1283165.0	1006040.0	1618348.0	920852.0	1050668.0	1596360.0	1110734.0	1047514.0	1616884.0	1192850.0	926029.0	1617903.0	901717.0	1568746.0	1459796.0	1578164.0
XieH_2016__YSZC12003_37202R1__bin.10	3510527.0	3293617.0	2179468.0	1914611.0	3360717.0	3095861.0	3100531.0	3502777.0	3514311.0	2581927.0	3552290.0	3386996.0	3488261.0	3588639.0	3197577.0	3043505.0	3346631.0	3228712.0	1604712.0	3881062.0	2795763.0	1317032.0	2937750.0	2166351.0	2918464.0	2323980.0	1948014.0	3660364.0	1748215.0	2107864.0	3494463.0	2298227.0	1992631.0	3744097.0	2220135.0	1806328.0	3674469.0	1706016.0	3472957.0	2978299.0	3253964.0
QinN_2014__LD-86__bin.32	2823051.0	2700726.0	1866084.0	1636156.0	2732703.0	2516996.0	2607438.0	2830963.0	2823266.0	2271430.0	2728611.0	2774040.0	2816979.0	2827102.0	2724594.0	2520573.0	2716028.0	2608088.0	1420309.0	2795763.0	3203211.0	1194697.0	2482662.0	1849789.0	2741388.0	1999023.0	1681869.0	2845168.0	1565393.0	1749952.0	2791396.0	1915624.0	1689287.0	2826623.0	1944837.0	1736654.0	2826127.0	1470706.0	2753245.0	2498009.0	2770786.0
LiJ_2017__H1M413815__bin.7	1321219.0	1309283.0	958860.0	819734.0	1262516.0	1217442.0	1235775.0	1328169.0	1332429.0	1184624.0	1261611.0	1325933.0	1320399.0	1309704.0	1296257.0	1177791.0	1233102.0	1171083.0	758887.0	1317032.0	1194697.0	1427049.0	1217391.0	873385.0	1307223.0	1059520.0	811347.0	1325988.0	700411.0	789095.0	1312615.0	779328.0	813451.0	1317669.0	1066238.0	737084.0	1314611.0	794452.0	1299695.0	1255604.0	1308411.0
HMP_2012__SRS058770__bin.26	2937381.0	2850329.0	1915376.0	1672489.0	2829723.0	2638371.0	2665215.0	2943037.0	2942507.0	2309810.0	2857127.0	2878390.0	2937085.0	2936246.0	2837059.0	2599418.0	2823983.0	2693472.0	1443775.0	2937750.0	2482662.0	1217391.0	3858952.0	1886087.0	2625312.0	2030863.0	1701728.0	2963094.0	1597074.0	1802416.0	2915532.0	1958115.0	1757678.0	2973995.0	2024563.0	1608771.0	2951715.0	1493777.0	2873446.0	2610338.0	2882187.0
LiJ_2014__V1.CD49-0__bin.19	2143452.0	2071444.0	1411468.0	1315971.0	2106852.0	2006448.0	1984732.0	2151082.0	2158123.0	1709701.0	2157161.0	2126375.0	2152205.0	2177704.0	2018312.0	2008409.0	2094814.0	2008222.0	1072409.0	2166351.0	1849789.0	873385.0	1886087.0	2343982.0	1909725.0	1554785.0	1334448.0	2194444.0	1246936.0	1396360.0	2127723.0	1483262.0	1391573.0	2200861.0	1489613.0	1170515.0	2182616.0	1174604.0	2102139.0	1940223.0	2033282.0
ChengpingW_2017__AS97raw__bin.74	2949288.0	2858556.0	1987857.0	1717970.0	2852676.0	2638657.0	2714847.0	2965052.0	2959190.0	2385925.0	2857002.0	2914783.0	2950038.0	2929734.0	2869154.0	2596984.0	2842756.0	2713103.0	1483030.0	2918464.0	2741388.0	1307223.0	2625312.0	1909725.0	3283911.0	2112914.0	1762861.0	2956236.0	1610613.0	1817476.0	2922808.0	1948534.0	1783092.0	2958751.0	2094430.0	1778591.0	2942419.0	1563479.0	2875204.0	2650736.0	2910683.0
ZeeviD_2015__PNP_Main_480__bin.37	2360213.0	2275261.0	1648252.0	1362947.0	2272612.0	2105894.0	2188243.0	2372224.0	2379663.0	1921767.0	2256860.0	2335155.0	2358560.0	2330021.0	2247078.0	2084777.0	2245002.0	2156373.0	1283165.0	2323980.0	1999023.0	1059520.0	2030863.0	1554785.0	2112914.0	2427049.0	1445930.0	2348364.0	1232769.0	1428392.0	2347332.0	1514474.0	1436412.0	2341720.0	1719030.0	1283289.0	2342564.0	1287596.0	2323177.0	2122716.0	2246295.0
LiJ_2014__MH0359__bin.66	1985601.0	1940849.0	1301165.0	1193381.0	1948011.0	1791268.0	1860430.0	1999003.0	2000010.0	1571748.0	1913827.0	1976700.0	1992059.0	1969378.0	1846661.0	1785337.0	1924654.0	1864272.0	1006040.0	1948014.0	1681869.0	811347.0	1701728.0	1334448.0	1762861.0	1445930.0	2059215.0	1973226.0	1090398.0	1275777.0	1975214.0	1349820.0	1238310.0	1965280.0	1410465.0	1047754.0	1954587.0	1089072.0	1947247.0	1802980.0	1864246.0
VogtmannE_2016__MMRS87723283ST-27-0-0__bin.36	3558041.0	3348284.0	2188782.0	1928082.0	3396293.0	3112695.0	3133836.0	3559621.0	3593408.0	2609885.0	3521969.0	3439707.0	3543652.0	3755392.0	3262429.0	3061033.0	3383517.0	3247033.0	1618348.0	3660364.0	2845168.0	1325988.0	2963094.0	2194444.0	2956236.0	2348364.0	1973226.0	3909359.0	1809266.0	2101348.0	3556609.0	2343544.0	2007008.0	3692077.0	2248599.0	1829955.0	3752954.0	1721759.0	3498305.0	3013328.0	3306956.0
LeChatelierE_2013__MH0183__bin.3	1784359.0	1716048.0	1157075.0	1056259.0	1749740.0	1604907.0	1647979.0	1793628.0	1794592.0	1535457.0	1736564.0	1770235.0	1791808.0	1782924.0	1897732.0	1643651.0	1743102.0	1698299.0	920852.0	1748215.0	1565393.0	700411.0	1597074.0	1246936.0	1610613.0	1232769.0	1090398.0	1809266.0	2161578.0	1169549.0	1759116.0	1300289.0	1100594.0	1778877.0	1343241.0	1047038.0	1784150.0	952317.0	1744802.0	1590808.0	1727691.0
NielsenHB_2014__O2_UC18_2__bin.57	2071401.0	1983531.0	1384177.0	1266078.0	2029271.0	1889342.0	1920342.0	2076572.0	2079875.0	1596250.0	2072279.0	2025327.0	2078133.0	2096417.0	1930769.0	1906298.0	2027412.0	1989233.0	1050668.0	2107864.0	1749952.0	789095.0	1802416.0	1396360.0	1817476.0	1428392.0	1275777.0	2101348.0	1169549.0	2300711.0	2058217.0	1462638.0	1306519.0	2131657.0	1407996.0	1140963.0	2097816.0	1097494.0	2032808.0	1842834.0	1939933.0
CosteaPI_2017__daisy-11-392-0__bin.8	3810994.0	3473728.0	2140828.0	1878675.0	3542900.0	3041352.0	3252575.0	3729568.0	3852838.0	2618625.0	3402634.0	3476558.0	3778298.0	3491802.0	3276194.0	2989674.0	3557269.0	3276998.0	1596360.0	3494463.0	2791396.0	1312615.0	2915532.0	2127723.0	2922808.0	2347332.0	1975214.0	3556609.0	1759116.0	2058217.0	3847951.0	2345143.0	1964581.0	3551575.0	2243814.0	1799589.0	3535203.0	1659886.0	3602384.0	3080840.0	3257607.0
ZeeviD_2015__PNP_Main_706__bin.56	2372655.0	2256439.0	1461717.0	1255906.0	2322953.0	2032152.0	2150663.0	2368966.0	2368218.0	1698191.0	2251902.0	2280161.0	2371050.0	2336479.0	2160045.0	2053494.0	2315999.0	2239740.0	1110734.0	2298227.0	1915624.0	779328.0	1958115.0	1483262.0	1948534.0	1514474.0	1349820.0	2343544.0	1300289.0	1462638.0	2345143.0	2531435.0	1344580.0	2323549.0	1469175.0	1244024.0	2330510.0	1113204.0	2321436.0	2016887.0	2177224.0
VogtmannE_2016__MMRS51410669ST-27-0-0__bin.45	1986066.0	1936334.0	1371775.0	1219656.0	1945380.0	1838058.0	1848692.0	1988060.0	1996162.0	1589152.0	1957606.0	1966847.0	1991205.0	1993496.0	1862574.0	1830611.0	1933175.0	1858521.0	1047514.0	1992631.0	1689287.0	813451.0	1757678.0	1391573.0	1783092.0	1436412.0	1238310.0	2007008.0	1100594.0	1306519.0	1964581.0	1344580.0	2113220.0	2017635.0	1374041.0	1095006.0	1988490.0	1090865.0	1923129.0	1798091.0	1902540.0
HMP_2012__SRS024132__bin.65	3556013.0	3340255.0	2189754.0	1941086.0	3409978.0	3132660.0	3134109.0	3552056.0	3563074.0	2604708.0	3689145.0	3422162.0	3542502.0	3642012.0	3231099.0	3093341.0	3394152.0	3286821.0	1616884.0	3744097.0	2826623.0	1317669.0	2973995.0	2200861.0	2958751.0	2341720.0	1965280.0	3692077.0	1778877.0	2131657.0	3551575.0	2323549.0	2017635.0	3968801.0	2250401.0	1826807.0	3678314.0	1724187.0	3513632.0	3018589.0	3304452.0
LiJ_2014__V1.CD44-4__bin.36	2253741.0	2196070.0	1549169.0	1338568.0	2179447.0	2054569.0	2106199.0	2271055.0	2271844.0	2056722.0	2170232.0	2236212.0	2259967.0	2228348.0	2334774.0	2013319.0	2156546.0	2040899.0	1192850.0	2220135.0	1944837.0	1066238.0	2024563.0	1489613.0	2094430.0	1719030.0	1410465.0	2248599.0	1343241.0	1407996.0	2243814.0	1469175.0	1374041.0	2250401.0	2419391.0	1261168.0	2229186.0	1244682.0	2194645.0	2065847.0	2184474.0
YuJ_2015__SZAXPI003420-4__bin.9	1811079.0	1733828.0	1219519.0	1082129.0	1769898.0	1616058.0	1678702.0	1823925.0	1819882.0	1447565.0	1758106.0	1782621.0	1818006.0	1815958.0	1765558.0	1631232.0	1761352.0	1689434.0	926029.0	1806328.0	1736654.0	737084.0	1608771.0	1170515.0	1778591.0	1283289.0	1047754.0	1829955.0	1047038.0	1140963.0	1799589.0	1244024.0	1095006.0	1826807.0	1261168.0	2085829.0	1810603.0	945051.0	1774882.0	1605053.0	1782318.0
Bengtsson-PalmeJ_2015__TRAVELRES27__bin.134	3550147.0	3321848.0	2176504.0	1914294.0	3382973.0	3091939.0	3119360.0	3547127.0	3577346.0	2590026.0	3497147.0	3412267.0	3533300.0	3728642.0	3247026.0	3050940.0	3368249.0	3240781.0	1617903.0	3674469.0	2826127.0	1314611.0	2951715.0	2182616.0	2942419.0	2342564.0	1954587.0	3752954.0	1784150.0	2097816.0	3535203.0	2330510.0	1988490.0	3678314.0	2229186.0	1810603.0	3829727.0	1710813.0	3471688.0	2993085.0	3302651.0
VogtmannE_2016__MMRS62666492ST-27-0-0__bin.17	1684529.0	1651693.0	1159570.0	1058217.0	1636346.0	1560705.0	1580786.0	1692369.0	1694646.0	1394980.0	1660495.0	1683268.0	1688675.0	1701124.0	1608079.0	1556577.0	1631970.0	1583518.0	901717.0	1706016.0	1470706.0	794452.0	1493777.0	1174604.0	1563479.0	1287596.0	1089072.0	1721759.0	952317.0	1097494.0	1659886.0	1113204.0	1090865.0	1724187.0	1244682.0	945051.0	1710813.0	1805225.0	1671458.0	1557445.0	1612035.0
CosteaPI_2017__SID713A037-11-90-0__bin.47	3623398.0	3316482.0	2101224.0	1854237.0	3426658.0	2984796.0	3110435.0	3633499.0	3642126.0	2577717.0	3380256.0	3479113.0	3562213.0	3426259.0	3226990.0	2920363.0	3367385.0	3318942.0	1568746.0	3472957.0	2753245.0	1299695.0	2873446.0	2102139.0	2875204.0	2323177.0	1947247.0	3498305.0	1744802.0	2032808.0	3602384.0	2321436.0	1923129.0	3513632.0	2194645.0	1774882.0	3471688.0	1671458.0	3740068.0	2976259.0	3206409.0
CosteaPI_2017__daisy-11-389-0__bin.10	3110397.0	3008152.0	1927331.0	1737395.0	2993229.0	2719689.0	2862779.0	3086140.0	3124203.0	2382993.0	2901060.0	3021323.0	3105072.0	2983748.0	2831160.0	2648583.0	2969251.0	2762880.0	1459796.0	2978299.0	2498009.0	1255604.0	2610338.0	1940223.0	2650736.0	2122716.0	1802980.0	3013328.0	1590808.0	1842834.0	3080840.0	2016887.0	1798091.0	3018589.0	2065847.0	1605053.0	2993085.0	1557445.0	2976259.0	3191558.0	2834633.0
NielsenHB_2014__V1_UC26_4__bin.73	3292376.0	3121808.0	2105154.0	1794054.0	3155407.0	2856448.0	2941986.0	3289113.0	3295280.0	2532194.0	3151207.0	3188100.0	3283584.0	3274133.0	3163307.0	2822428.0	3139019.0	2993888.0	1578164.0	3253964.0	2770786.0	1308411.0	2882187.0	2033282.0	2910683.0	2246295.0	1864246.0	3306956.0	1727691.0	1939933.0	3257607.0	2177224.0	1902540.0	3304452.0	2184474.0	1782318.0	3302651.0	1612035.0	3206409.0	2834633.0	3959312.0
