	ZeeviD_2015__PNP_Main_327__bin.22	RaymondF_2016__P14E7__bin.64	Bengtsson-PalmeJ_2015__TRAVELRES63__bin.110	Bengtsson-PalmeJ_2015__TRAVELRES48__bin.115	ZellerG_2014__CCIS35100175ST-4-0__bin.31	CosteaPI_2017__SID713A051-11-90-0__bin.26	BritoIL_2016__W1.41.ST__bin.16	XieH_2016__YSZC12003_37292__bin.25	CM_madagascar__A83_02_1FE__bin.32	XieH_2016__YSZC12003_37293__bin.22	ZeeviD_2015__PNP_Main_425__bin.1	ZeeviD_2015__PNP_Main_637__bin.3	QinJ_2012__NOF008__bin.26	RaymondF_2016__P3E7__bin.12	ZeeviD_2015__PNP_Main_557__bin.22	LeChatelierE_2013__MH0426__bin.23	BritoIL_2016__WL.32.ST__bin.40	LeChatelierE_2013__MH0212__bin.34	BritoIL_2016__W2.40.ST__bin.57	CosteaPI_2017__SID713A089-11-90-0__bin.83	BritoIL_2016__W2.17.ST__bin.81	HMP_2012__SRS049959__bin.61	FengQ_2015__SID530743__bin.61	HeQ_2017__SZAXPI029600-27__bin.28	CosteaPI_2017__SID713B066-11-0-0__bin.8	BritoIL_2016__W2.7.ST__bin.27	Bengtsson-PalmeJ_2015__TRAVELRES30__bin.76	XieH_2016__YSZC12003_37137__bin.8	ZeeviD_2015__PNP_Main_511__bin.42	LiJ_2017__H3M516751__bin.11	HMP_2012__SRS016095__bin.61	FerrettiP_2018__CA_C10043MS2742FE_t0M16__bin.16	CosteaPI_2017__SID713A055-11-0-0__bin.88	ZeeviD_2015__PNP_Validation_35__bin.21	CosteaPI_2017__SID713A051-11-0-0__bin.58	Bengtsson-PalmeJ_2015__TRAVELRES13__bin.28	VincentC_2016__MM030.1__bin.12	BritoIL_2016__W3.18.ST__bin.43	CosteaPI_2017__SID713B066-11-90-0__bin.8	ZeeviD_2015__PNP_Main_80__bin.50	CosteaPI_2017__SID713A087-11-90-0__bin.4	RaymondF_2016__P19E7__bin.67	CosteaPI_2017__SID713A056-11-0-0__bin.60	ZeeviD_2015__PNP_Main_706__bin.92	CosteaPI_2017__SID713B061-11-90-0__bin.66	CM_madagascar__A75_02_1FE__bin.50
ZeeviD_2015__PNP_Main_425__bin.1	31775.0	19824.0	23193.0	30127.0	23571.0	26792.0	46523.0	34598.0	37052.0	21755.0	0.0	37745.0	33032.0	17342.0	26760.0	26587.0	39868.0	27926.0	38275.0	28357.0	36506.0	29812.0	23312.0	35826.0	29026.0	40665.0	35321.0	26696.0	29452.0	28950.0	24614.0	29245.0	18402.0	28006.0	28054.0	34846.0	18897.0	29515.0	31147.0	28895.0	26261.0	21028.0	22437.0	4003.0	23895.0	32175.0
ZeeviD_2015__PNP_Main_637__bin.3	36180.0	21210.0	30149.0	31481.0	31640.0	36930.0	45027.0	32339.0	37004.0	30150.0	37745.0	0.0	31071.0	16576.0	33975.0	33361.0	41082.0	37963.0	39035.0	35334.0	37071.0	39383.0	32237.0	34928.0	31103.0	40201.0	35520.0	36389.0	37460.0	28771.0	32341.0	35137.0	23555.0	35997.0	38614.0	32842.0	26199.0	29104.0	33115.0	34557.0	33484.0	29392.0	28960.0	36708.0	29826.0	30652.0
QinJ_2012__NOF008__bin.26	32706.0	17774.0	27811.0	29126.0	30181.0	32922.0	41801.0	24605.0	34317.0	27689.0	33032.0	31071.0	0.0	13209.0	31931.0	30382.0	38558.0	34896.0	38097.0	30552.0	35609.0	34904.0	29886.0	27440.0	23796.0	40721.0	30265.0	32353.0	33538.0	21248.0	29993.0	31637.0	21794.0	31351.0	34100.0	29948.0	23525.0	28204.0	25312.0	28094.0	29966.0	27014.0	25968.0	32427.0	25898.0	28448.0
RaymondF_2016__P3E7__bin.12	16657.0	10817.0	14750.0	16459.0	16320.0	17063.0	21726.0	13646.0	18998.0	15447.0	17342.0	16576.0	13209.0	0.0	16545.0	15322.0	20397.0	17798.0	20747.0	15492.0	20597.0	17702.0	16903.0	14943.0	13533.0	21358.0	15637.0	17434.0	17675.0	11899.0	15789.0	16567.0	12373.0	16777.0	17717.0	15392.0	12679.0	15291.0	13398.0	14495.0	15798.0	14732.0	14313.0	17666.0	14811.0	15734.0
ZeeviD_2015__PNP_Main_557__bin.22	15969.0	18934.0	21204.0	28431.0	22444.0	25042.0	41178.0	32795.0	34108.0	20443.0	26760.0	33975.0	31931.0	16545.0	0.0	25349.0	35719.0	26218.0	34479.0	26824.0	32997.0	25922.0	21078.0	32550.0	28466.0	36799.0	32906.0	23223.0	25470.0	28504.0	22853.0	26712.0	18280.0	26074.0	25956.0	31340.0	18027.0	26282.0	29836.0	26565.0	25019.0	18576.0	21826.0	26190.0	23148.0	30924.0
LeChatelierE_2013__MH0426__bin.23	28073.0	16954.0	21816.0	27463.0	23913.0	27864.0	41967.0	31564.0	33217.0	21646.0	26587.0	33361.0	30382.0	15322.0	25349.0	0.0	36638.0	26567.0	34644.0	28622.0	32898.0	28911.0	22841.0	31768.0	26974.0	36383.0	31075.0	26071.0	28187.0	26100.0	23421.0	27796.0	17588.0	26518.0	27609.0	29685.0	17874.0	25500.0	28488.0	26299.0	24182.0	19577.0	21386.0	26204.0	22571.0	28673.0
BritoIL_2016__WL.32.ST__bin.40	40039.0	23430.0	32321.0	31851.0	34436.0	39118.0	43057.0	40931.0	37581.0	33630.0	39868.0	41082.0	38558.0	20397.0	35719.0	36638.0	0.0	39642.0	36605.0	37837.0	35207.0	39087.0	34280.0	39945.0	36388.0	35625.0	37562.0	38614.0	39697.0	35164.0	33589.0	39670.0	25394.0	38337.0	40432.0	39481.0	26750.0	28162.0	38500.0	35981.0	37450.0	30643.0	30991.0	39177.0	34009.0	35556.0
LeChatelierE_2013__MH0212__bin.34	28908.0	20069.0	22533.0	30662.0	24594.0	26448.0	44694.0	36571.0	36862.0	21343.0	27926.0	37963.0	34896.0	17798.0	26218.0	26567.0	39642.0	0.0	38095.0	28754.0	35923.0	28755.0	22974.0	36847.0	29804.0	40773.0	35581.0	24784.0	28605.0	30726.0	23711.0	30162.0	18859.0	28459.0	27667.0	33964.0	18817.0	29260.0	32593.0	28720.0	26594.0	20786.0	23730.0	27225.0	24974.0	33524.0
BritoIL_2016__W2.40.ST__bin.57	36884.0	23815.0	31522.0	32099.0	34744.0	37476.0	38053.0	39122.0	37434.0	33910.0	38275.0	39035.0	38097.0	20747.0	34479.0	34644.0	36605.0	38095.0	0.0	37348.0	30662.0	38148.0	33910.0	38842.0	35820.0	30293.0	36543.0	36648.0	37691.0	34215.0	33737.0	40064.0	25757.0	37780.0	38230.0	37224.0	24882.0	23024.0	36587.0	34711.0	37014.0	28755.0	30015.0	37729.0	33340.0	35836.0
CosteaPI_2017__SID713A089-11-90-0__bin.83	29425.0	18912.0	22265.0	29547.0	26048.0	26843.0	42869.0	30018.0	36192.0	23136.0	28357.0	35334.0	30552.0	15492.0	26824.0	28622.0	37837.0	28754.0	37348.0	0.0	35273.0	30086.0	24998.0	33635.0	26768.0	40802.0	32296.0	26713.0	30173.0	26675.0	25555.0	29330.0	18434.0	29192.0	27713.0	32518.0	19448.0	28102.0	28967.0	27970.0	25200.0	21569.0	23721.0	27690.0	22889.0	31487.0
BritoIL_2016__W2.17.ST__bin.81	35220.0	23509.0	30311.0	32103.0	33039.0	35196.0	37319.0	37380.0	35103.0	32626.0	36506.0	37071.0	35609.0	20597.0	32997.0	32898.0	35207.0	35923.0	30662.0	35273.0	0.0	34976.0	33790.0	37280.0	35029.0	30374.0	34957.0	35404.0	35961.0	33296.0	32730.0	36551.0	25486.0	35853.0	36654.0	36118.0	24250.0	21764.0	35429.0	33462.0	36088.0	28376.0	30865.0	36735.0	32900.0	34554.0
HMP_2012__SRS049959__bin.61	29265.0	19746.0	23109.0	30535.0	24806.0	28549.0	45368.0	36365.0	36583.0	20744.0	29812.0	39383.0	34904.0	17702.0	25922.0	28911.0	39087.0	28755.0	38148.0	30086.0	34976.0	0.0	22645.0	37342.0	30435.0	39170.0	35676.0	26285.0	28476.0	31036.0	24250.0	30151.0	18766.0	29573.0	29491.0	35811.0	18788.0	30086.0	33487.0	29517.0	26332.0	20688.0	23772.0	28997.0	23997.0	32971.0
FengQ_2015__SID530743__bin.61	24273.0	18393.0	19400.0	28047.0	21712.0	20302.0	40088.0	30857.0	33742.0	18681.0	23312.0	32237.0	29886.0	16903.0	21078.0	22841.0	34280.0	22974.0	33910.0	24998.0	33790.0	22645.0	0.0	32119.0	27346.0	35791.0	30393.0	21387.0	23746.0	26997.0	20116.0	24285.0	16361.0	24306.0	21069.0	30545.0	15125.0	26382.0	28442.0	25450.0	23623.0	17989.0	20290.0	23540.0	20454.0	30111.0
HeQ_2017__SZAXPI029600-27__bin.28	34744.0	19989.0	29858.0	31279.0	30622.0	34858.0	43401.0	27944.0	36245.0	29571.0	35826.0	34928.0	27440.0	14943.0	32550.0	31768.0	39945.0	36847.0	38842.0	33635.0	37280.0	37342.0	32119.0	0.0	27163.0	41479.0	34042.0	35402.0	36171.0	24568.0	32682.0	34061.0	23233.0	33777.0	36506.0	33394.0	24814.0	28426.0	28368.0	29674.0	32820.0	29191.0	28334.0	35646.0	28849.0	30897.0
CosteaPI_2017__SID713B066-11-0-0__bin.8	29097.0	18288.0	25364.0	27860.0	25935.0	28618.0	39001.0	26213.0	32836.0	25665.0	29026.0	31103.0	23796.0	13533.0	28466.0	26974.0	36388.0	29804.0	35820.0	26768.0	35029.0	30435.0	27346.0	27163.0	0.0	38071.0	26993.0	28820.0	29573.0	20790.0	27687.0	27163.0	20725.0	29019.0	29898.0	27372.0	20485.0	27296.0	1786.0	25451.0	27490.0	23997.0	24036.0	28777.0	24794.0	26806.0
BritoIL_2016__W2.7.ST__bin.27	38692.0	27048.0	33255.0	35411.0	36622.0	39399.0	38932.0	41848.0	38383.0	34291.0	40665.0	40201.0	40721.0	21358.0	36799.0	36383.0	35625.0	40773.0	30293.0	40802.0	30374.0	39170.0	35791.0	41479.0	38071.0	0.0	39977.0	38963.0	40071.0	37771.0	35473.0	41118.0	27002.0	39333.0	41334.0	40860.0	28263.0	24198.0	41035.0	38150.0	38689.0	31770.0	33619.0	41125.0	35318.0	36851.0
Bengtsson-PalmeJ_2015__TRAVELRES30__bin.76	34723.0	19513.0	27610.0	26524.0	29431.0	35141.0	43421.0	30971.0	34344.0	28216.0	35321.0	35520.0	30265.0	15637.0	32906.0	31075.0	37562.0	35581.0	36543.0	32296.0	34957.0	35676.0	30393.0	34042.0	26993.0	39977.0	0.0	35130.0	34620.0	24790.0	30678.0	34066.0	21993.0	33835.0	35817.0	31553.0	23425.0	26945.0	28723.0	29658.0	30575.0	27561.0	27132.0	34145.0	27508.0	29941.0
XieH_2016__YSZC12003_37137__bin.8	26480.0	18706.0	20655.0	29639.0	23189.0	26264.0	43578.0	34685.0	36288.0	19059.0	26696.0	36389.0	32353.0	17434.0	23223.0	26071.0	38614.0	24784.0	36648.0	26713.0	35404.0	26285.0	21387.0	35402.0	28820.0	38963.0	35130.0	0.0	26366.0	29555.0	23102.0	27812.0	18294.0	26985.0	26756.0	34128.0	17573.0	28046.0	31676.0	27884.0	25375.0	18735.0	21962.0	25159.0	23480.0	32902.0
ZeeviD_2015__PNP_Main_511__bin.42	28427.0	19657.0	22928.0	30121.0	24543.0	27945.0	45491.0	35281.0	37218.0	22773.0	29452.0	37460.0	33538.0	17675.0	25470.0	28187.0	39697.0	28605.0	37691.0	30173.0	35961.0	28476.0	23746.0	36171.0	29573.0	40071.0	34620.0	26366.0	0.0	29498.0	24702.0	30120.0	19729.0	29005.0	29686.0	34025.0	19320.0	29013.0	31868.0	28814.0	26882.0	21319.0	23896.0	28338.0	24665.0	33483.0
LiJ_2017__H3M516751__bin.11	28813.0	17592.0	25415.0	26652.0	26019.0	28579.0	38298.0	21061.0	31280.0	25897.0	28950.0	28771.0	21248.0	11899.0	28504.0	26100.0	35164.0	30726.0	34215.0	26675.0	33296.0	31036.0	26997.0	24568.0	20790.0	37771.0	24790.0	29555.0	29498.0	0.0	27870.0	26805.0	20030.0	28210.0	29831.0	26120.0	22369.0	25451.0	21687.0	23974.0	26675.0	25191.0	24064.0	28604.0	23935.0	24339.0
HMP_2012__SRS016095__bin.61	24865.0	18097.0	18805.0	26878.0	22287.0	21148.0	39466.0	31392.0	32866.0	19080.0	24614.0	32341.0	29993.0	15789.0	22853.0	23421.0	33589.0	23711.0	33737.0	25555.0	32730.0	24250.0	20116.0	32682.0	27687.0	35473.0	30678.0	23102.0	24702.0	27870.0	0.0	25672.0	16401.0	25358.0	21919.0	29849.0	15949.0	25681.0	29752.0	24874.0	24626.0	18647.0	21568.0	25068.0	21199.0	29405.0
FerrettiP_2018__CA_C10043MS2742FE_t0M16__bin.16	29519.0	19394.0	24447.0	29842.0	24751.0	27945.0	43581.0	33075.0	37132.0	22424.0	29245.0	35137.0	31637.0	16567.0	26712.0	27796.0	39670.0	30162.0	40064.0	29330.0	36551.0	30151.0	24285.0	34061.0	27163.0	41118.0	34066.0	27812.0	30120.0	26805.0	25672.0	0.0	19282.0	29346.0	28389.0	32768.0	19956.0	28985.0	29505.0	28984.0	26897.0	21410.0	23704.0	27779.0	23775.0	31962.0
CosteaPI_2017__SID713A055-11-0-0__bin.88	18942.0	14379.0	14563.0	21928.0	17618.0	15897.0	28572.0	22575.0	25333.0	15941.0	18402.0	23555.0	21794.0	12373.0	18280.0	17588.0	25394.0	18859.0	25757.0	18434.0	25486.0	18766.0	16361.0	23233.0	20725.0	27002.0	21993.0	18294.0	19729.0	20030.0	16401.0	19282.0	0.0	19092.0	16755.0	23240.0	10810.0	20023.0	20370.0	18752.0	18985.0	14325.0	16223.0	18384.0	16017.0	22689.0
ZeeviD_2015__PNP_Validation_35__bin.21	28207.0	19325.0	22847.0	29963.0	24943.0	27378.0	43166.0	33375.0	35754.0	21497.0	28006.0	35997.0	31351.0	16777.0	26074.0	26518.0	38337.0	28459.0	37780.0	29192.0	35853.0	29573.0	24306.0	33777.0	29019.0	39333.0	33835.0	26985.0	29005.0	28210.0	25358.0	29346.0	19092.0	0.0	27811.0	32579.0	19178.0	28268.0	30634.0	27677.0	26383.0	21524.0	20860.0	26677.0	23590.0	31148.0
CosteaPI_2017__SID713A051-11-0-0__bin.58	29723.0	20544.0	19532.0	31151.0	23877.0	377.0	46466.0	36418.0	37453.0	21341.0	28054.0	38614.0	34100.0	17717.0	25956.0	27609.0	40432.0	27667.0	38230.0	27713.0	36654.0	29491.0	21069.0	36506.0	29898.0	41334.0	35817.0	26756.0	29686.0	29831.0	21919.0	28389.0	16755.0	27811.0	0.0	35403.0	17111.0	29473.0	32652.0	28497.0	26885.0	20824.0	23494.0	27208.0	21642.0	33765.0
Bengtsson-PalmeJ_2015__TRAVELRES13__bin.28	32931.0	19409.0	28202.0	29137.0	29630.0	34262.0	42850.0	30670.0	35027.0	28069.0	34846.0	32842.0	29948.0	15392.0	31340.0	29685.0	39481.0	33964.0	37224.0	32518.0	36118.0	35811.0	30545.0	33394.0	27372.0	40860.0	31553.0	34128.0	34025.0	26120.0	29849.0	32768.0	23240.0	32579.0	35403.0	0.0	23424.0	28274.0	29938.0	30438.0	31559.0	27481.0	26886.0	34660.0	28123.0	30225.0
VincentC_2016__MM030.1__bin.12	19370.0	14518.0	12891.0	21148.0	17585.0	15678.0	31357.0	24564.0	25836.0	15026.0	18897.0	26199.0	23525.0	12679.0	18027.0	17874.0	26750.0	18817.0	24882.0	19448.0	24250.0	18788.0	15125.0	24814.0	20485.0	28263.0	23425.0	17573.0	19320.0	22369.0	15949.0	19956.0	10810.0	19178.0	17111.0	23424.0	0.0	20442.0	22291.0	18188.0	17672.0	14706.0	16767.0	19110.0	15574.0	22813.0
BritoIL_2016__W3.18.ST__bin.43	27188.0	19232.0	25071.0	23857.0	25019.0	27792.0	30681.0	28932.0	26969.0	24770.0	29515.0	29104.0	28204.0	15291.0	26282.0	25500.0	28162.0	29260.0	23024.0	28102.0	21764.0	30086.0	26382.0	28426.0	27296.0	24198.0	26945.0	28046.0	29013.0	25451.0	25681.0	28985.0	20023.0	28268.0	29473.0	28274.0	20442.0	0.0	27877.0	24940.0	28054.0	23102.0	24346.0	29427.0	24757.0	25454.0
CosteaPI_2017__SID713B066-11-90-0__bin.8	31547.0	18616.0	27477.0	28818.0	27473.0	31215.0	41699.0	27371.0	34157.0	26801.0	31147.0	33115.0	25312.0	13398.0	29836.0	28488.0	38500.0	32593.0	36587.0	28967.0	35429.0	33487.0	28442.0	28368.0	1786.0	41035.0	28723.0	31676.0	31868.0	21687.0	29752.0	29505.0	20370.0	30634.0	32652.0	29938.0	22291.0	27877.0	0.0	27555.0	29091.0	25895.0	24958.0	31406.0	25792.0	27706.0
ZeeviD_2015__PNP_Main_80__bin.50	28253.0	17162.0	22604.0	26701.0	27077.0	28915.0	42161.0	29151.0	32633.0	23567.0	28895.0	34557.0	28094.0	14495.0	26565.0	26299.0	35981.0	28720.0	34711.0	27970.0	33462.0	29517.0	25450.0	29674.0	25451.0	38150.0	29658.0	27884.0	28814.0	23974.0	24874.0	28984.0	18752.0	27677.0	28497.0	30438.0	18188.0	24940.0	27555.0	0.0	26878.0	21922.0	22811.0	27506.0	24045.0	29026.0
CosteaPI_2017__SID713A087-11-90-0__bin.4	27056.0	18519.0	22184.0	28376.0	24372.0	25561.0	42487.0	31362.0	34917.0	21903.0	26261.0	33484.0	29966.0	15798.0	25019.0	24182.0	37450.0	26594.0	37014.0	25200.0	36088.0	26332.0	23623.0	32820.0	27490.0	38689.0	30575.0	25375.0	26882.0	26675.0	24626.0	26897.0	18985.0	26383.0	26885.0	31559.0	17672.0	28054.0	29091.0	26878.0	0.0	20712.0	21540.0	26335.0	23666.0	32098.0
RaymondF_2016__P19E7__bin.67	19936.0	16673.0	18253.0	24165.0	18564.0	19589.0	34287.0	28411.0	28986.0	16129.0	21028.0	29392.0	27014.0	14732.0	18576.0	19577.0	30643.0	20786.0	28755.0	21569.0	28376.0	20688.0	17989.0	29191.0	23997.0	31770.0	27561.0	18735.0	21319.0	25191.0	18647.0	21410.0	14325.0	21524.0	20824.0	27481.0	14706.0	23102.0	25895.0	21922.0	20712.0	0.0	18636.0	20837.0	19688.0	26211.0
CosteaPI_2017__SID713A056-11-0-0__bin.60	23248.0	16093.0	20006.0	25842.0	21049.0	22044.0	36090.0	25947.0	29760.0	19395.0	22437.0	28960.0	25968.0	14313.0	21826.0	21386.0	30991.0	23730.0	30015.0	23721.0	30865.0	23772.0	20290.0	28334.0	24036.0	33619.0	27132.0	21962.0	23896.0	24064.0	21568.0	23704.0	16223.0	20860.0	23494.0	26886.0	16767.0	24346.0	24958.0	22811.0	21540.0	18636.0	0.0	22582.0	20053.0	26988.0
ZeeviD_2015__PNP_Main_706__bin.92	27961.0	19747.0	23631.0	30050.0	24599.0	25533.0	45193.0	33871.0	36899.0	22004.0	4003.0	36708.0	32427.0	17666.0	26190.0	26204.0	39177.0	27225.0	37729.0	27690.0	36735.0	28997.0	23540.0	35646.0	28777.0	41125.0	34145.0	25159.0	28338.0	28604.0	25068.0	27779.0	18384.0	26677.0	27208.0	34660.0	19110.0	29427.0	31406.0	27506.0	26335.0	20837.0	22582.0	0.0	24370.0	31838.0
CosteaPI_2017__SID713B061-11-90-0__bin.66	24164.0	16357.0	17988.0	26149.0	22246.0	21221.0	36448.0	26891.0	31182.0	20485.0	23895.0	29826.0	25898.0	14811.0	23148.0	22571.0	34009.0	24974.0	33340.0	22889.0	32900.0	23997.0	20454.0	28849.0	24794.0	35318.0	27508.0	23480.0	24665.0	23935.0	21199.0	23775.0	16017.0	23590.0	21642.0	28123.0	15574.0	24757.0	25792.0	24045.0	23666.0	19688.0	20053.0	24370.0	0.0	27987.0
CM_madagascar__A75_02_1FE__bin.50	32482.0	19385.0	28290.0	29258.0	28554.0	32069.0	39362.0	29513.0	32232.0	29333.0	32175.0	30652.0	28448.0	15734.0	30924.0	28673.0	35556.0	33524.0	35836.0	31487.0	34554.0	32971.0	30111.0	30897.0	26806.0	36851.0	29941.0	32902.0	33483.0	24339.0	29405.0	31962.0	22689.0	31148.0	33765.0	30225.0	22813.0	25454.0	27706.0	29026.0	32098.0	26211.0	26988.0	31838.0	27987.0	0.0
