	ZeeviD_2015__PNP_Main_327__bin.22	RaymondF_2016__P14E7__bin.64	Bengtsson-PalmeJ_2015__TRAVELRES63__bin.110	Bengtsson-PalmeJ_2015__TRAVELRES48__bin.115	ZellerG_2014__CCIS35100175ST-4-0__bin.31	CosteaPI_2017__SID713A051-11-90-0__bin.26	BritoIL_2016__W1.41.ST__bin.16	XieH_2016__YSZC12003_37292__bin.25	CM_madagascar__A83_02_1FE__bin.32	XieH_2016__YSZC12003_37293__bin.22	ZeeviD_2015__PNP_Main_425__bin.1	ZeeviD_2015__PNP_Main_637__bin.3	QinJ_2012__NOF008__bin.26	RaymondF_2016__P3E7__bin.12	ZeeviD_2015__PNP_Main_557__bin.22	LeChatelierE_2013__MH0426__bin.23	BritoIL_2016__WL.32.ST__bin.40	LeChatelierE_2013__MH0212__bin.34	BritoIL_2016__W2.40.ST__bin.57	CosteaPI_2017__SID713A089-11-90-0__bin.83	BritoIL_2016__W2.17.ST__bin.81	HMP_2012__SRS049959__bin.61	FengQ_2015__SID530743__bin.61	HeQ_2017__SZAXPI029600-27__bin.28	CosteaPI_2017__SID713B066-11-0-0__bin.8	BritoIL_2016__W2.7.ST__bin.27	Bengtsson-PalmeJ_2015__TRAVELRES30__bin.76	XieH_2016__YSZC12003_37137__bin.8	ZeeviD_2015__PNP_Main_511__bin.42	LiJ_2017__H3M516751__bin.11	HMP_2012__SRS016095__bin.61	FerrettiP_2018__CA_C10043MS2742FE_t0M16__bin.16	CosteaPI_2017__SID713A055-11-0-0__bin.88	ZeeviD_2015__PNP_Validation_35__bin.21	CosteaPI_2017__SID713A051-11-0-0__bin.58	Bengtsson-PalmeJ_2015__TRAVELRES13__bin.28	VincentC_2016__MM030.1__bin.12	BritoIL_2016__W3.18.ST__bin.43	CosteaPI_2017__SID713B066-11-90-0__bin.8	ZeeviD_2015__PNP_Main_80__bin.50	CosteaPI_2017__SID713A087-11-90-0__bin.4	RaymondF_2016__P19E7__bin.67	CosteaPI_2017__SID713A056-11-0-0__bin.60	ZeeviD_2015__PNP_Main_706__bin.92	CosteaPI_2017__SID713B061-11-90-0__bin.66	CM_madagascar__A75_02_1FE__bin.50
ZeeviD_2015__PNP_Main_425__bin.1	2429293.0	1456608.0	1831440.0	2049259.0	1956490.0	2344210.0	2378894.0	2332636.0	2233099.0	1942850.0	2904228.0	2385949.0	2266742.0	1153474.0	2216163.0	2154889.0	2259131.0	2383019.0	2026617.0	2304723.0	2027906.0	2383277.0	2088714.0	2303520.0	2152379.0	2057842.0	2379841.0	2308841.0	2444899.0	2046509.0	2028809.0	2427685.0	1386301.0	2349597.0	2462346.0	2307150.0	1586885.0	1601535.0	2307296.0	2215338.0	2283499.0	1773198.0	1800576.0	2501145.0	1987859.0	2070944.0
ZeeviD_2015__PNP_Main_637__bin.3	2384324.0	1508994.0	1832095.0	2104848.0	1984008.0	2408597.0	2471405.0	2449380.0	2321003.0	1949384.0	2385949.0	2936494.0	2346380.0	1187688.0	2192409.0	2179696.0	2286964.0	2462803.0	2083162.0	2372765.0	2078899.0	2436464.0	2131260.0	2408795.0	2202685.0	2120066.0	2541793.0	2304473.0	2444292.0	2120861.0	2061354.0	2391707.0	1386572.0	2380250.0	2523406.0	2431813.0	1629653.0	1636965.0	2404386.0	2341239.0	2303014.0	1790032.0	1819760.0	2355768.0	2048532.0	2131164.0
QinJ_2012__NOF008__bin.26	2281102.0	1490377.0	1803895.0	2076513.0	1962115.0	2244718.0	2326981.0	2387847.0	2244080.0	1902004.0	2266742.0	2346380.0	2663160.0	1181042.0	2122028.0	2122894.0	2235067.0	2321386.0	2036969.0	2294166.0	2027648.0	2259267.0	2080963.0	2332697.0	2138540.0	2031759.0	2376852.0	2186907.0	2323598.0	2072243.0	1993811.0	2302260.0	1376156.0	2228400.0	2334959.0	2297509.0	1577315.0	1596823.0	2307323.0	2185452.0	2248428.0	1728551.0	1752080.0	2229308.0	1986337.0	2080974.0
RaymondF_2016__P3E7__bin.12	1162647.0	824847.0	971349.0	1119844.0	1070948.0	1148468.0	1167118.0	1190755.0	1173252.0	1058372.0	1153474.0	1187688.0	1181042.0	1369159.0	1102284.0	1078958.0	1141421.0	1191016.0	1086376.0	1171910.0	1101914.0	1167357.0	1113208.0	1179318.0	1176369.0	1057429.0	1190862.0	1139342.0	1175026.0	1109383.0	1050485.0	1183191.0	786632.0	1171141.0	1190142.0	1195153.0	844626.0	849355.0	1189728.0	1115887.0	1164440.0	958331.0	955674.0	1166893.0	1084016.0	1095797.0
ZeeviD_2015__PNP_Main_557__bin.22	2303658.0	1385792.0	1725867.0	1945004.0	1838456.0	2190428.0	2174476.0	2200594.0	2081081.0	1828777.0	2216163.0	2192409.0	2122028.0	1102284.0	2514349.0	2027298.0	2064214.0	2234990.0	1889958.0	2159001.0	1889696.0	2186431.0	1964882.0	2113013.0	2030850.0	1910235.0	2219434.0	2133633.0	2263053.0	1954089.0	1912126.0	2186220.0	1326136.0	2160369.0	2289105.0	2122315.0	1522836.0	1499591.0	2158460.0	2066443.0	2121895.0	1665433.0	1684563.0	2174622.0	1870409.0	1931629.0
LeChatelierE_2013__MH0426__bin.23	2206921.0	1338659.0	1654064.0	1927425.0	1815222.0	2227910.0	2211292.0	2173987.0	2093123.0	1794966.0	2154889.0	2179696.0	2122894.0	1078958.0	2027298.0	2548127.0	2087008.0	2183229.0	1915335.0	2141781.0	1902265.0	2145387.0	1934079.0	2107392.0	1986242.0	1911043.0	2190034.0	2096275.0	2218288.0	1870436.0	1875297.0	2171378.0	1255733.0	2110401.0	2250290.0	2095769.0	1454374.0	1468177.0	2126660.0	2065176.0	2113238.0	1591706.0	1635958.0	2142928.0	1855161.0	1891375.0
BritoIL_2016__WL.32.ST__bin.40	2277664.0	1418940.0	1739411.0	2042166.0	1928863.0	2205911.0	2278887.0	2290790.0	2214111.0	1871818.0	2259131.0	2286964.0	2235067.0	1141421.0	2064214.0	2087008.0	2582734.0	2261015.0	2037380.0	2193366.0	2018462.0	2214264.0	1994771.0	2232721.0	2095926.0	2034299.0	2288227.0	2159359.0	2304950.0	1993542.0	1924953.0	2243973.0	1336364.0	2202003.0	2291642.0	2262298.0	1503846.0	1559046.0	2224988.0	2146235.0	2181063.0	1703178.0	1711960.0	2210682.0	1973537.0	2047283.0
LeChatelierE_2013__MH0212__bin.34	2391210.0	1474636.0	1847329.0	2095382.0	1976413.0	2345999.0	2401566.0	2402902.0	2280881.0	1968185.0	2383019.0	2462803.0	2321386.0	1191016.0	2234990.0	2183229.0	2261015.0	2783895.0	2051108.0	2371163.0	2062854.0	2425319.0	2109368.0	2351797.0	2180171.0	2084391.0	2425845.0	2295521.0	2506545.0	2070039.0	2064463.0	2387482.0	1406195.0	2349030.0	2490543.0	2339486.0	1632183.0	1629917.0	2368078.0	2267354.0	2290415.0	1802266.0	1831215.0	2337775.0	2047317.0	2129583.0
BritoIL_2016__W2.40.ST__bin.57	2031083.0	1331312.0	1629995.0	1956342.0	1808313.0	2027506.0	2108945.0	2073186.0	2092136.0	1793440.0	2026617.0	2083162.0	2036969.0	1086376.0	1889958.0	1915335.0	2037380.0	2051108.0	2331532.0	2013267.0	1977670.0	2050839.0	1887944.0	2044858.0	1965136.0	1909200.0	2108886.0	2001863.0	2100099.0	1837893.0	1801868.0	2086223.0	1271492.0	2038947.0	2078473.0	2040408.0	1379131.0	1458753.0	2050528.0	1988045.0	2035542.0	1527220.0	1577481.0	2027825.0	1831737.0	1918349.0
CosteaPI_2017__SID713A089-11-90-0__bin.83	2351964.0	1454419.0	1828651.0	2070023.0	1963940.0	2342919.0	2332247.0	2354067.0	2247472.0	1931517.0	2304723.0	2372765.0	2294166.0	1171910.0	2159001.0	2141781.0	2193366.0	2371163.0	2013267.0	2765156.0	2014309.0	2318461.0	2132538.0	2313018.0	2132798.0	2061457.0	2366474.0	2226327.0	2380818.0	2049850.0	2060102.0	2358445.0	1389281.0	2321135.0	2413909.0	2314499.0	1597573.0	1583202.0	2289554.0	2241415.0	2285631.0	1772535.0	1778288.0	2304407.0	2016890.0	2083420.0
BritoIL_2016__W2.17.ST__bin.81	2008743.0	1353769.0	1646526.0	1936853.0	1817772.0	2008406.0	2084776.0	2066126.0	2065582.0	1807117.0	2027906.0	2078899.0	2027648.0	1101914.0	1889696.0	1902265.0	2018462.0	2062854.0	1977670.0	2014309.0	2244791.0	2022623.0	1944088.0	2043940.0	1973186.0	1912629.0	2077322.0	1988816.0	2078822.0	1862732.0	1800103.0	2049474.0	1289661.0	2043395.0	2068453.0	2037358.0	1388710.0	1471818.0	2043558.0	1962350.0	2068242.0	1550145.0	1621854.0	2039594.0	1848091.0	1891688.0
HMP_2012__SRS049959__bin.61	2419743.0	1457712.0	1838456.0	2059499.0	1983219.0	2422424.0	2379051.0	2334722.0	2245854.0	1955905.0	2383277.0	2436464.0	2259267.0	1167357.0	2186431.0	2145387.0	2214264.0	2425319.0	2050839.0	2318461.0	2022623.0	2890061.0	2097309.0	2312909.0	2157807.0	2053030.0	2418916.0	2334424.0	2439993.0	2044165.0	2037110.0	2378714.0	1379643.0	2348794.0	2537926.0	2323673.0	1600629.0	1606718.0	2350602.0	2237756.0	2256425.0	1792625.0	1783764.0	2349258.0	2004267.0	2060566.0
FengQ_2015__SID530743__bin.61	2105338.0	1387265.0	1725766.0	1937389.0	1838801.0	2096802.0	2124819.0	2138686.0	2104905.0	1835676.0	2088714.0	2131260.0	2080963.0	1113208.0	1964882.0	1934079.0	1994771.0	2109368.0	1887944.0	2132538.0	1944088.0	2097309.0	2269691.0	2102131.0	2000086.0	1910094.0	2150481.0	2060767.0	2153836.0	1898336.0	1905746.0	2114134.0	1320461.0	2117410.0	2162633.0	2078609.0	1468443.0	1489030.0	2114762.0	2055088.0	2104063.0	1631573.0	1655135.0	2106061.0	1902789.0	1912290.0
HeQ_2017__SZAXPI029600-27__bin.28	2294672.0	1509387.0	1804087.0	2095325.0	1970612.0	2281793.0	2346961.0	2393772.0	2288541.0	1907339.0	2303520.0	2408795.0	2332697.0	1179318.0	2113013.0	2107392.0	2232721.0	2351797.0	2044858.0	2313018.0	2043940.0	2312909.0	2102131.0	2729217.0	2171566.0	2061462.0	2418271.0	2250426.0	2363832.0	2081189.0	2028831.0	2329306.0	1367261.0	2312278.0	2358156.0	2340456.0	1582189.0	1595589.0	2322832.0	2195421.0	2259081.0	1766851.0	1783164.0	2285263.0	1998477.0	2088639.0
CosteaPI_2017__SID713B066-11-0-0__bin.8	2172040.0	1452055.0	1745013.0	1989080.0	1852443.0	2151546.0	2170936.0	2240465.0	2145574.0	1861023.0	2152379.0	2202685.0	2138540.0	1176369.0	2030850.0	1986242.0	2095926.0	2180171.0	1965136.0	2132798.0	1973186.0	2157807.0	2000086.0	2171566.0	2441313.0	1962421.0	2246029.0	2091953.0	2184616.0	1987851.0	1914494.0	2170628.0	1361888.0	2155503.0	2219956.0	2149148.0	1493361.0	1538274.0	2254173.0	2062555.0	2136084.0	1686548.0	1687941.0	2137703.0	1912178.0	1988027.0
BritoIL_2016__W2.7.ST__bin.27	2048170.0	1335340.0	1652266.0	1900269.0	1797607.0	2025294.0	2121010.0	2077023.0	2051951.0	1767092.0	2057842.0	2120066.0	2031759.0	1057429.0	1910235.0	1911043.0	2034299.0	2084391.0	1909200.0	2061457.0	1912629.0	2053030.0	1910094.0	2061462.0	1962421.0	2406027.0	2137278.0	2016795.0	2099816.0	1859448.0	1853049.0	2090047.0	1256801.0	2054031.0	2101374.0	2092249.0	1413713.0	1478911.0	2084685.0	2003457.0	2042779.0	1562779.0	1614574.0	2052323.0	1829018.0	1908831.0
Bengtsson-PalmeJ_2015__TRAVELRES30__bin.76	2415144.0	1524581.0	1854689.0	2134673.0	1991805.0	2414245.0	2449605.0	2511832.0	2348379.0	1947876.0	2379841.0	2541793.0	2376852.0	1190862.0	2219434.0	2190034.0	2288227.0	2425845.0	2108886.0	2366474.0	2077322.0	2418916.0	2150481.0	2418271.0	2246029.0	2137278.0	3117098.0	2317017.0	2428242.0	2171132.0	2084942.0	2404879.0	1398831.0	2385088.0	2473688.0	2443685.0	1619918.0	1634197.0	2423731.0	2330256.0	2311674.0	1790252.0	1806536.0	2351647.0	2053046.0	2176176.0
XieH_2016__YSZC12003_37137__bin.8	2369732.0	1418595.0	1773660.0	2002390.0	1920041.0	2354866.0	2287955.0	2268333.0	2190772.0	1933471.0	2308841.0	2304473.0	2186907.0	1139342.0	2133633.0	2096275.0	2159359.0	2295521.0	2001863.0	2226327.0	1988816.0	2334424.0	2060767.0	2250426.0	2091953.0	2016795.0	2317017.0	2641130.0	2359660.0	2005403.0	2006362.0	2336963.0	1353316.0	2283656.0	2400991.0	2259557.0	1523066.0	1565234.0	2306935.0	2209181.0	2230447.0	1743389.0	1756589.0	2273875.0	1984128.0	2022370.0
ZeeviD_2015__PNP_Main_511__bin.42	2462825.0	1483441.0	1837056.0	2100727.0	1980425.0	2390253.0	2470645.0	2394298.0	2308411.0	2006857.0	2444899.0	2444292.0	2323598.0	1175026.0	2263053.0	2218288.0	2304950.0	2506545.0	2100099.0	2380818.0	2078822.0	2439993.0	2153836.0	2363832.0	2184616.0	2099816.0	2428242.0	2359660.0	2913642.0	2074541.0	2069099.0	2424692.0	1400455.0	2400179.0	2534321.0	2353865.0	1607417.0	1651298.0	2365285.0	2296908.0	2325837.0	1788017.0	1837866.0	2375787.0	2038116.0	2117846.0
LiJ_2017__H3M516751__bin.11	2078198.0	1389113.0	1704237.0	1918833.0	1789549.0	2033615.0	2072726.0	2132627.0	2045393.0	1759845.0	2046509.0	2120861.0	2072243.0	1109383.0	1954089.0	1870436.0	1993542.0	2070039.0	1837893.0	2049850.0	1862732.0	2044165.0	1898336.0	2081189.0	1987851.0	1859448.0	2171132.0	2005403.0	2074541.0	2495176.0	1867611.0	2079888.0	1293425.0	2036680.0	2110070.0	2055864.0	1456426.0	1459394.0	2121068.0	1978663.0	2026482.0	1607074.0	1630372.0	2041264.0	1819161.0	1897976.0
HMP_2012__SRS016095__bin.61	2039983.0	1330239.0	1686997.0	1863476.0	1742763.0	2048132.0	2047474.0	2042259.0	2005585.0	1737722.0	2028809.0	2061354.0	1993811.0	1050485.0	1912126.0	1875297.0	1924953.0	2064463.0	1801868.0	2060102.0	1800103.0	2037110.0	1905746.0	2028831.0	1914494.0	1853049.0	2084942.0	2006362.0	2069099.0	1867611.0	2242658.0	2052953.0	1267392.0	2039637.0	2128242.0	2024712.0	1440165.0	1442021.0	2048851.0	1958388.0	2001619.0	1568140.0	1615323.0	2019387.0	1788104.0	1853528.0
FerrettiP_2018__CA_C10043MS2742FE_t0M16__bin.16	2391622.0	1479573.0	1865853.0	2092703.0	1983105.0	2373830.0	2351752.0	2367391.0	2290956.0	1958610.0	2427685.0	2391707.0	2302260.0	1183191.0	2186220.0	2171378.0	2243973.0	2387482.0	2086223.0	2358445.0	2049474.0	2378714.0	2114134.0	2329306.0	2170628.0	2090047.0	2404879.0	2336963.0	2424692.0	2079888.0	2052953.0	2865426.0	1393181.0	2361721.0	2433917.0	2340247.0	1611732.0	1619169.0	2366002.0	2236391.0	2306126.0	1771009.0	1804038.0	2343364.0	2024658.0	2106818.0
CosteaPI_2017__SID713A055-11-0-0__bin.88	1394148.0	946918.0	1179130.0	1322034.0	1221567.0	1372355.0	1397091.0	1403821.0	1385474.0	1254902.0	1386301.0	1386572.0	1376156.0	786632.0	1326136.0	1255733.0	1336364.0	1406195.0	1271492.0	1389281.0	1289661.0	1379643.0	1320461.0	1367261.0	1361888.0	1256801.0	1398831.0	1353316.0	1400455.0	1293425.0	1267392.0	1393181.0	1589976.0	1378780.0	1436826.0	1382994.0	989794.0	1008987.0	1388977.0	1327107.0	1385719.0	1101447.0	1109113.0	1379496.0	1239659.0	1267488.0
ZeeviD_2015__PNP_Validation_35__bin.21	2347755.0	1457819.0	1813294.0	2060976.0	1970414.0	2351579.0	2339873.0	2318296.0	2237140.0	1929175.0	2349597.0	2380250.0	2228400.0	1171141.0	2160369.0	2110401.0	2202003.0	2349030.0	2038947.0	2321135.0	2043395.0	2348794.0	2117410.0	2312278.0	2155503.0	2054031.0	2385088.0	2283656.0	2400179.0	2036680.0	2039637.0	2361721.0	1378780.0	2643921.0	2404132.0	2297973.0	1584245.0	1586323.0	2320526.0	2243281.0	2247561.0	1742835.0	1796452.0	2344606.0	2018277.0	2077160.0
CosteaPI_2017__SID713A051-11-0-0__bin.58	2517164.0	1498890.0	1885031.0	2132483.0	1987728.0	2702511.0	2498032.0	2444799.0	2296057.0	1982144.0	2462346.0	2523406.0	2334959.0	1190142.0	2289105.0	2250290.0	2291642.0	2490543.0	2078473.0	2413909.0	2068453.0	2537926.0	2162633.0	2358156.0	2219956.0	2101374.0	2473688.0	2400991.0	2534321.0	2110070.0	2128242.0	2433917.0	1436826.0	2404132.0	2962824.0	2366196.0	1683273.0	1655051.0	2454752.0	2316886.0	2336179.0	1824443.0	1840508.0	2399318.0	2058668.0	2112531.0
Bengtsson-PalmeJ_2015__TRAVELRES13__bin.28	2298597.0	1471027.0	1817525.0	2095193.0	1961105.0	2303014.0	2359216.0	2375856.0	2256025.0	1913990.0	2307150.0	2431813.0	2297509.0	1195153.0	2122315.0	2095769.0	2262298.0	2339486.0	2040408.0	2314499.0	2037358.0	2323673.0	2078609.0	2340456.0	2149148.0	2092249.0	2443685.0	2259557.0	2353865.0	2055864.0	2024712.0	2340247.0	1382994.0	2297973.0	2366196.0	2679884.0	1571477.0	1599103.0	2342640.0	2241952.0	2250218.0	1751885.0	1769942.0	2309370.0	2028971.0	2128982.0
VincentC_2016__MM030.1__bin.12	1598581.0	1048597.0	1306556.0	1458028.0	1364700.0	1591713.0	1597772.0	1629131.0	1560560.0	1331847.0	1586885.0	1629653.0	1577315.0	844626.0	1522836.0	1454374.0	1503846.0	1632183.0	1379131.0	1597573.0	1388710.0	1600629.0	1468443.0	1582189.0	1493361.0	1413713.0	1619918.0	1523066.0	1607417.0	1456426.0	1440165.0	1611732.0	989794.0	1584245.0	1683273.0	1571477.0	1799659.0	1130431.0	1602370.0	1485715.0	1550133.0	1224225.0	1276884.0	1585458.0	1360114.0	1429741.0
BritoIL_2016__W3.18.ST__bin.43	1579619.0	1084931.0	1332718.0	1480725.0	1371873.0	1574537.0	1631857.0	1639814.0	1589322.0	1380978.0	1601535.0	1636965.0	1596823.0	849355.0	1499591.0	1468177.0	1559046.0	1629917.0	1458753.0	1583202.0	1471818.0	1606718.0	1489030.0	1595589.0	1538274.0	1478911.0	1634197.0	1565234.0	1651298.0	1459394.0	1442021.0	1619169.0	1008987.0	1586323.0	1655051.0	1599103.0	1130431.0	1828123.0	1619121.0	1505495.0	1592327.0	1244128.0	1283241.0	1592597.0	1400742.0	1448503.0
CosteaPI_2017__SID713B066-11-90-0__bin.8	2341935.0	1496234.0	1853481.0	2092071.0	1966695.0	2361202.0	2335847.0	2422469.0	2260424.0	1931728.0	2307296.0	2404386.0	2307323.0	1189728.0	2158460.0	2126660.0	2224988.0	2368078.0	2050528.0	2289554.0	2043558.0	2350602.0	2114762.0	2322832.0	2254173.0	2084685.0	2423731.0	2306935.0	2365285.0	2121068.0	2048851.0	2366002.0	1388977.0	2320526.0	2454752.0	2342640.0	1602370.0	1619121.0	2673557.0	2238574.0	2287196.0	1797219.0	1790564.0	2299619.0	2039235.0	2117716.0
