	BritoIL_2016__W1.39.ST__bin.103	BritoIL_2016__M2.45.ST__bin.27	BritoIL_2016__M2.49.ST__bin.71	BritoIL_2016__M1.26.ST__bin.32	BritoIL_2016__M1.22.ST__bin.54	BritoIL_2016__M1.7.ST__bin.59	BritoIL_2016__M2.44.ST__bin.90	BritoIL_2016__W1.36.ST__bin.14	BritoIL_2016__W1.18.ST__bin.8	BritoIL_2016__W2.13.ST__bin.51	BritoIL_2016__W2.62.ST__bin.29	BritoIL_2016__M1.16.ST__bin.19	BritoIL_2016__W1.21.ST__bin.22	BritoIL_2016__W2.67.ST__bin.42	BritoIL_2016__W2.11.ST__bin.73	BritoIL_2016__W1.4.ST__bin.7	BritoIL_2016__M1.52.ST__bin.84	BritoIL_2016__M1.5.ST__bin.28	BritoIL_2016__W2.8.ST__bin.6	BritoIL_2016__M2.39.ST__bin.7	BritoIL_2016__M2.48.ST__bin.36	BritoIL_2016__W2.33.ST__bin.14	BritoIL_2016__M2.37.ST__bin.49	BritoIL_2016__M1.4.ST__bin.64	BritoIL_2016__M2.58.ST__bin.20	BritoIL_2016__W1.38.ST__bin.27	BritoIL_2016__M1.27.ST__bin.64	BritoIL_2016__W1.42.ST__bin.27
BritoIL_2016__W2.62.ST__bin.29	1623716.0	1641229.0	1757553.0	1776730.0	1301992.0	1662931.0	1740251.0	1617890.0	1807253.0	1613738.0	1883228.0	1322834.0	1831722.0	1841298.0	1671934.0	1855850.0	1672497.0	1685882.0	1700279.0	1769456.0	1697814.0	1584943.0	1694771.0	1636154.0	1568369.0	1400047.0	1784667.0	1354430.0
BritoIL_2016__M1.16.ST__bin.19	1262985.0	1293507.0	1368959.0	1390058.0	1042738.0	1290189.0	1361609.0	1300163.0	1375267.0	1277283.0	1322834.0	1534412.0	1396800.0	1374273.0	1326081.0	1381168.0	1300471.0	1320352.0	1340290.0	1375368.0	1322891.0	1263663.0	1311080.0	1271953.0	1240800.0	1144664.0	1385525.0	1088561.0
BritoIL_2016__W1.21.ST__bin.22	1716607.0	1761882.0	1985354.0	2028554.0	1360830.0	1837269.0	1869771.0	1717151.0	1989222.0	1752828.0	1831722.0	1396800.0	2223663.0	1974146.0	1837036.0	2034607.0	1797637.0	1823185.0	1854588.0	1925517.0	1808834.0	1664359.0	1878769.0	1775156.0	1685317.0	1560209.0	1916763.0	1421318.0
BritoIL_2016__W2.67.ST__bin.42	1717816.0	1793829.0	1857807.0	1879229.0	1396035.0	1785742.0	1901748.0	1753502.0	2023688.0	1749258.0	1841298.0	1374273.0	1974146.0	2162328.0	1822726.0	2146802.0	1818235.0	1838447.0	1833445.0	1965741.0	1844576.0	1698720.0	1761147.0	1810095.0	1711063.0	1478271.0	1947691.0	1405173.0
BritoIL_2016__W2.11.ST__bin.73	1701123.0	1764960.0	1761858.0	1781594.0	1369167.0	1762746.0	1780819.0	1718392.0	1824029.0	1837829.0	1671934.0	1326081.0	1837036.0	1822726.0	1936730.0	1823262.0	1789964.0	1810011.0	1912684.0	1826532.0	1775584.0	1668747.0	1651545.0	1762961.0	1683731.0	1381794.0	1806533.0	1334018.0
BritoIL_2016__W1.4.ST__bin.7	1718022.0	1793795.0	1916597.0	1939466.0	1394738.0	1843999.0	1902945.0	1752831.0	2024293.0	1751861.0	1855850.0	1381168.0	2034607.0	2146802.0	1823262.0	2185143.0	1822482.0	1838278.0	1833928.0	1979415.0	1851662.0	1699052.0	1811252.0	1816604.0	1710729.0	1519886.0	1950541.0	1415459.0
BritoIL_2016__M1.52.ST__bin.84	1692005.0	1739966.0	1706576.0	1745104.0	1370802.0	1751096.0	1744196.0	1684053.0	1826347.0	1775249.0	1672497.0	1300471.0	1797637.0	1818235.0	1789964.0	1822482.0	1878533.0	1820301.0	1799417.0	1817573.0	1742060.0	1656701.0	1627989.0	1791746.0	1756937.0	1348137.0	1787901.0	1314230.0
BritoIL_2016__M1.5.ST__bin.28	1733556.0	1796922.0	1730531.0	1797883.0	1407841.0	1781527.0	1781753.0	1721935.0	1850729.0	1761305.0	1685882.0	1320352.0	1823185.0	1838447.0	1810011.0	1838278.0	1820301.0	1921559.0	1819572.0	1901812.0	1769228.0	1662329.0	1644693.0	1792059.0	1727484.0	1368739.0	1877021.0	1337218.0
BritoIL_2016__W2.8.ST__bin.6	1707881.0	1778400.0	1773258.0	1794687.0	1375957.0	1787633.0	1790747.0	1727366.0	1831463.0	1845290.0	1700279.0	1340290.0	1854588.0	1833445.0	1912684.0	1833928.0	1799417.0	1819572.0	1996954.0	1833022.0	1782836.0	1675745.0	1662654.0	1774140.0	1693163.0	1399149.0	1814069.0	1351945.0
BritoIL_2016__M2.39.ST__bin.7	1708495.0	1814678.0	1863740.0	1923564.0	1409862.0	1795606.0	1884423.0	1768871.0	1943044.0	1773598.0	1769456.0	1375368.0	1925517.0	1965741.0	1826532.0	1979415.0	1817573.0	1901812.0	1833022.0	2102020.0	1848038.0	1709176.0	1768126.0	1817394.0	1701403.0	1445728.0	1973779.0	1396543.0
BritoIL_2016__M2.48.ST__bin.36	1657240.0	1697755.0	1866719.0	1796302.0	1383880.0	1733107.0	1825361.0	1663116.0	1834943.0	1711812.0	1697814.0	1322891.0	1808834.0	1844576.0	1775584.0	1851662.0	1742060.0	1769228.0	1782836.0	1848038.0	1941465.0	1635721.0	1670289.0	1766242.0	1626914.0	1402910.0	1861701.0	1366846.0
BritoIL_2016__W2.33.ST__bin.14	1574151.0	1629741.0	1624658.0	1627427.0	1326173.0	1602422.0	1658002.0	1678077.0	1685871.0	1646244.0	1584943.0	1263663.0	1664359.0	1698720.0	1668747.0	1699052.0	1656701.0	1662329.0	1675745.0	1709176.0	1635721.0	1797395.0	1569085.0	1619384.0	1559445.0	1299448.0	1678998.0	1258424.0
BritoIL_2016__M2.37.ST__bin.49	1594214.0	1602517.0	1826369.0	1827184.0	1304812.0	1650884.0	1709925.0	1593690.0	1753149.0	1586377.0	1694771.0	1311080.0	1878769.0	1761147.0	1651545.0	1811252.0	1627989.0	1644693.0	1662654.0	1768126.0	1670289.0	1569085.0	1992549.0	1606604.0	1518606.0	1435181.0	1753662.0	1320308.0
BritoIL_2016__M1.4.ST__bin.64	1644068.0	1711865.0	1718369.0	1740237.0	1417904.0	1746848.0	1744685.0	1659421.0	1790923.0	1730522.0	1636154.0	1271953.0	1775156.0	1810095.0	1762961.0	1816604.0	1791746.0	1792059.0	1774140.0	1817394.0	1766242.0	1619384.0	1606604.0	1936366.0	1670553.0	1333051.0	1804974.0	1314976.0
BritoIL_2016__M2.58.ST__bin.20	1601298.0	1649322.0	1601850.0	1631487.0	1314573.0	1638624.0	1647844.0	1595120.0	1723111.0	1668047.0	1568369.0	1240800.0	1685317.0	1711063.0	1683731.0	1710729.0	1756937.0	1727484.0	1693163.0	1701403.0	1626914.0	1559445.0	1518606.0	1670553.0	1761119.0	1279097.0	1681172.0	1251730.0
BritoIL_2016__W1.38.ST__bin.27	1305647.0	1337961.0	1541227.0	1530785.0	1071203.0	1392245.0	1423380.0	1337473.0	1458373.0	1323938.0	1400047.0	1144664.0	1560209.0	1478271.0	1381794.0	1519886.0	1348137.0	1368739.0	1399149.0	1445728.0	1402910.0	1299448.0	1435181.0	1333051.0	1279097.0	1684160.0	1472528.0	1122247.0
BritoIL_2016__M1.27.ST__bin.64	1695857.0	1766348.0	1909320.0	1916737.0	1404790.0	1780388.0	1892671.0	1720611.0	1946053.0	1743053.0	1784667.0	1385525.0	1916763.0	1947691.0	1806533.0	1950541.0	1787901.0	1877021.0	1814069.0	1973779.0	1861701.0	1678998.0	1753662.0	1804974.0	1681172.0	1472528.0	2072780.0	1409852.0
BritoIL_2016__W1.42.ST__bin.27	1263215.0	1297339.0	1424141.0	1407543.0	1079656.0	1324636.0	1386284.0	1289637.0	1402479.0	1279869.0	1354430.0	1088561.0	1421318.0	1405173.0	1334018.0	1415459.0	1314230.0	1337218.0	1351945.0	1396543.0	1366846.0	1258424.0	1320308.0	1314976.0	1251730.0	1122247.0	1409852.0	1478267.0
