	BritoIL_2016__W1.39.ST__bin.103	BritoIL_2016__M2.45.ST__bin.27	BritoIL_2016__M2.49.ST__bin.71	BritoIL_2016__M1.26.ST__bin.32	BritoIL_2016__M1.22.ST__bin.54	BritoIL_2016__M1.7.ST__bin.59	BritoIL_2016__M2.44.ST__bin.90	BritoIL_2016__W1.36.ST__bin.14	BritoIL_2016__W1.18.ST__bin.8	BritoIL_2016__W2.13.ST__bin.51	BritoIL_2016__W2.62.ST__bin.29	BritoIL_2016__M1.16.ST__bin.19	BritoIL_2016__W1.21.ST__bin.22	BritoIL_2016__W2.67.ST__bin.42	BritoIL_2016__W2.11.ST__bin.73	BritoIL_2016__W1.4.ST__bin.7	BritoIL_2016__M1.52.ST__bin.84	BritoIL_2016__M1.5.ST__bin.28	BritoIL_2016__W2.8.ST__bin.6	BritoIL_2016__M2.39.ST__bin.7	BritoIL_2016__M2.48.ST__bin.36	BritoIL_2016__W2.33.ST__bin.14	BritoIL_2016__M2.37.ST__bin.49	BritoIL_2016__M1.4.ST__bin.64	BritoIL_2016__M2.58.ST__bin.20	BritoIL_2016__W1.38.ST__bin.27	BritoIL_2016__M1.27.ST__bin.64	BritoIL_2016__W1.42.ST__bin.27
BritoIL_2016__W2.62.ST__bin.29	9055.0	10903.0	11683.0	10969.0	9716.0	11305.0	10461.0	9210.0	9312.0	10750.0	0.0	7992.0	9776.0	381.0	10627.0	460.0	8729.0	10948.0	11140.0	11132.0	11336.0	9605.0	9995.0	12308.0	8182.0	8607.0	11216.0	8195.0
BritoIL_2016__M1.16.ST__bin.19	8757.0	7775.0	9472.0	8863.0	7594.0	9003.0	8312.0	5449.0	8831.0	8568.0	7992.0	0.0	9146.0	8655.0	8354.0	8562.0	7955.0	8355.0	8607.0	8647.0	9092.0	5715.0	9150.0	9563.0	7588.0	8104.0	8722.0	6665.0
BritoIL_2016__W1.21.ST__bin.22	10617.0	10798.0	13244.0	12288.0	11193.0	12267.0	13115.0	11590.0	8308.0	12847.0	9776.0	9146.0	0.0	10828.0	12871.0	11234.0	10081.0	11324.0	13085.0	12533.0	12533.0	11465.0	11164.0	15207.0	9667.0	9882.0	12555.0	9639.0
BritoIL_2016__W2.67.ST__bin.42	10200.0	12430.0	12683.0	12257.0	10729.0	12469.0	12333.0	10622.0	10808.0	13045.0	381.0	8655.0	10828.0	0.0	12674.0	209.0	10025.0	12731.0	13160.0	13061.0	12585.0	11110.0	11110.0	14402.0	9532.0	9301.0	12797.0	8716.0
BritoIL_2016__W2.11.ST__bin.73	11096.0	13635.0	10994.0	13168.0	9494.0	13526.0	10125.0	11235.0	12759.0	304.0	10627.0	8354.0	12871.0	12674.0	0.0	12923.0	13236.0	13775.0	114.0	14421.0	11271.0	11832.0	11234.0	12978.0	12708.0	9296.0	13222.0	8298.0
BritoIL_2016__W1.4.ST__bin.7	10285.0	12433.0	13280.0	12701.0	10731.0	12888.0	12441.0	10615.0	10987.0	13328.0	460.0	8562.0	11234.0	209.0	12923.0	0.0	10026.0	12701.0	13118.0	13329.0	13163.0	11050.0	11273.0	14647.0	9620.0	9535.0	13113.0	8817.0
BritoIL_2016__M1.52.ST__bin.84	9591.0	12769.0	12071.0	12518.0	11124.0	12196.0	12160.0	10864.0	10243.0	13567.0	8729.0	7955.0	10081.0	10025.0	13236.0	10026.0	0.0	12751.0	13620.0	12732.0	12334.0	10695.0	10152.0	14614.0	236.0	8891.0	12463.0	8337.0
BritoIL_2016__M1.5.ST__bin.28	11875.0	11287.0	12449.0	5722.0	10896.0	12015.0	11286.0	11211.0	11354.0	14166.0	10948.0	8355.0	11324.0	12731.0	13775.0	12701.0	12751.0	0.0	14294.0	1961.0	12348.0	10979.0	11714.0	14445.0	12338.0	9455.0	1618.0	8662.0
BritoIL_2016__W2.8.ST__bin.6	11519.0	13881.0	11275.0	13320.0	9982.0	14973.0	10690.0	11690.0	13285.0	249.0	11140.0	8607.0	13085.0	13160.0	114.0	13118.0	13620.0	14294.0	0.0	14759.0	11419.0	12192.0	11630.0	13568.0	13264.0	9472.0	13575.0	8717.0
BritoIL_2016__M2.39.ST__bin.7	11606.0	10940.0	12908.0	6181.0	10746.0	12061.0	12075.0	10802.0	12115.0	14428.0	11132.0	8647.0	12533.0	13061.0	14421.0	13329.0	12732.0	1961.0	14759.0	0.0	12776.0	10854.0	11973.0	14771.0	12036.0	9744.0	2103.0	8641.0
BritoIL_2016__M2.48.ST__bin.36	10220.0	12366.0	131.0	12377.0	9758.0	12208.0	10228.0	10375.0	12870.0	11231.0	11336.0	9092.0	12533.0	12585.0	11271.0	13163.0	12334.0	12348.0	11419.0	12776.0	0.0	10736.0	10888.0	12947.0	11507.0	8810.0	13212.0	2936.0
BritoIL_2016__W2.33.ST__bin.14	10664.0	10147.0	11021.0	10638.0	9758.0	11785.0	11307.0	3107.0	11305.0	12092.0	9605.0	5715.0	11465.0	11110.0	11832.0	11050.0	10695.0	10979.0	12192.0	10854.0	10736.0	0.0	10663.0	12505.0	10276.0	7786.0	10547.0	6975.0
BritoIL_2016__M2.37.ST__bin.49	3871.0	12172.0	11551.0	12225.0	9565.0	11777.0	10981.0	9951.0	10472.0	11243.0	9995.0	9150.0	11164.0	11110.0	11234.0	11273.0	10152.0	11714.0	11630.0	11973.0	10888.0	10663.0	0.0	12148.0	9856.0	10280.0	11797.0	7811.0
BritoIL_2016__M1.4.ST__bin.64	12312.0	14752.0	12786.0	14552.0	427.0	14875.0	12867.0	12148.0	15004.0	13400.0	12308.0	9563.0	15207.0	14402.0	12978.0	14647.0	14614.0	14445.0	13568.0	14771.0	12947.0	12505.0	12148.0	0.0	13844.0	10800.0	14064.0	9131.0
BritoIL_2016__M2.58.ST__bin.20	9425.0	12314.0	11411.0	11727.0	10757.0	11404.0	11355.0	10486.0	10027.0	13049.0	8182.0	7588.0	9667.0	9532.0	12708.0	9620.0	236.0	12338.0	13264.0	12036.0	11507.0	10276.0	9856.0	13844.0	0.0	8555.0	11776.0	7990.0
BritoIL_2016__W1.38.ST__bin.27	9370.0	9373.0	9179.0	9687.0	8423.0	9195.0	10197.0	8004.0	9686.0	9104.0	8607.0	8104.0	9882.0	9301.0	9296.0	9535.0	8891.0	9455.0	9472.0	9744.0	8810.0	7786.0	10280.0	10800.0	8555.0	0.0	10183.0	6701.0
BritoIL_2016__M1.27.ST__bin.64	11498.0	10434.0	13732.0	6239.0	10297.0	11914.0	11535.0	10531.0	11976.0	13394.0	11216.0	8722.0	12555.0	12797.0	13222.0	13113.0	12463.0	1618.0	13575.0	2103.0	13212.0	10547.0	11797.0	14064.0	11776.0	10183.0	0.0	8969.0
BritoIL_2016__W1.42.ST__bin.27	7344.0	8826.0	3009.0	8961.0	7336.0	8211.0	7460.0	6688.0	9111.0	8470.0	8195.0	6665.0	9639.0	8716.0	8298.0	8817.0	8337.0	8662.0	8717.0	8641.0	2936.0	6975.0	7811.0	9131.0	7990.0	6701.0	8969.0	0.0
