	XieH_2016__YSZC12003_36005__bin.99	ZeeviD_2015__PNP_Main_492__bin.1	QinJ_2012__CON-041__bin.12	ZeeviD_2015__PNP_Main_156__bin.4	QinJ_2012__T2D-063__bin.13	XieH_2016__YSZC12003_36157__bin.47	RaymondF_2016__P6C90__bin.56	QinJ_2012__CON-007__bin.27	ZellerG_2014__CCIS85214191ST-3-0__bin.8	ZellerG_2014__CCIS13047523ST-4-0__bin.32	WenC_2017__RA045__bin.55	XieH_2016__YSZC12003_36982__bin.36	HMP_2012__SRS019787__bin.19	ZellerG_2014__CCIS71301801ST-4-0__bin.26	NielsenHB_2014__V1_UC46_0__bin.28	RaymondF_2016__P6C7__bin.53	LiJ_2014__O2.CD3-0-PT__bin.19	ZellerG_2014__CCMD60079086ST-21-0__bin.14	Bengtsson-PalmeJ_2015__TRAVELRES70__bin.122	BackhedF_2015__SID70_12M__bin.13	HeQ_2017__SZAXPI029561-52__bin.15	VogtmannE_2016__MMRS42780924ST-27-0-0__bin.36	VogtmannE_2016__MMRS61683006ST-27-0-0__bin.70	ZeeviD_2015__PNP_Main_269__bin.27	LiJ_2014__V1.FI35__bin.48	VogtmannE_2016__MMRS97052561ST-27-0-0__bin.1	ZellerG_2014__CCMD11006829ST-21-0__bin.48	FengQ_2015__SID531766__bin.48	ZeeviD_2015__PNP_Main_723__bin.45	KarlssonFH_2013__S526__bin.23	NielsenHB_2014__V1_CD14_0__bin.5	BackhedF_2015__SID587_M__bin.28	VogtmannE_2016__MMRS84954772ST-27-0-0__bin.11
LiJ_2014__O2.CD3-0-PT__bin.19	4194185.0	4286059.0	3472344.0	3449842.0	2760201.0	2590729.0	4318380.0	4424643.0	3029721.0	3760179.0	4369774.0	4302261.0	4155221.0	3980985.0	4399089.0	4092508.0	5045380.0	3710255.0	2817849.0	3427646.0	4245374.0	3823703.0	4245096.0	4219706.0	3614183.0	2166604.0	4144819.0	3789095.0	3528978.0	3775906.0	3087572.0	4157448.0	3795584.0
ZellerG_2014__CCMD60079086ST-21-0__bin.14	3736089.0	3963636.0	3006575.0	3061096.0	2585838.0	2453898.0	3497437.0	4008347.0	2622402.0	3298632.0	3958884.0	3684532.0	3543059.0	3449552.0	3963391.0	3200746.0	3710255.0	4260634.0	2511627.0	3073022.0	3745946.0	3314342.0	3665991.0	3616436.0	3239659.0	1847702.0	3585081.0	3499171.0	3277026.0	3317889.0	2757829.0	3475519.0	3500746.0
Bengtsson-PalmeJ_2015__TRAVELRES70__bin.122	2750600.0	2947520.0	2290740.0	2635095.0	2059464.0	1856001.0	2652820.0	3057550.0	2295332.0	2491537.0	3041740.0	2826536.0	2774250.0	2798984.0	3079862.0	2469852.0	2817849.0	2511627.0	5020509.0	2467073.0	2871513.0	2537337.0	2785919.0	2758105.0	2405262.0	1590399.0	2768487.0	2617398.0	2531038.0	2553135.0	2347648.0	2724764.0	2701031.0
BackhedF_2015__SID70_12M__bin.13	3377028.0	3502254.0	2779981.0	3000020.0	2343708.0	2315413.0	3221510.0	3638032.0	2553495.0	3118740.0	3615740.0	3462996.0	3392947.0	3317823.0	3635026.0	3022502.0	3427646.0	3073022.0	2467073.0	4860835.0	3561650.0	3232700.0	3427908.0	3400137.0	3061781.0	1905426.0	3386572.0	3085847.0	3010354.0	3162895.0	2716130.0	3263717.0	3169439.0
HeQ_2017__SZAXPI029561-52__bin.15	4213016.0	4341949.0	3487992.0	3451092.0	2800926.0	2637000.0	3958727.0	4442492.0	3038098.0	3844813.0	4418992.0	4347468.0	4293382.0	4114427.0	4490086.0	3765878.0	4245374.0	3745946.0	2871513.0	3561650.0	6087872.0	3887769.0	4305785.0	4220681.0	3911556.0	2270385.0	4222883.0	3838738.0	3643625.0	3897144.0	3144712.0	4076866.0	3889756.0
VogtmannE_2016__MMRS42780924ST-27-0-0__bin.36	3715250.0	3755630.0	3084754.0	3146155.0	2592555.0	2474454.0	3580182.0	3933022.0	2672478.0	3481036.0	3902412.0	3848763.0	3706432.0	3597629.0	3897870.0	3373875.0	3823703.0	3314342.0	2537337.0	3232700.0	3887769.0	4831281.0	3817714.0	3782885.0	3390630.0	2052886.0	3685591.0	3346365.0	3313756.0	3446332.0	2811831.0	3657121.0	3471540.0
VogtmannE_2016__MMRS61683006ST-27-0-0__bin.70	4274966.0	4238639.0	3371009.0	3386516.0	2759319.0	2581953.0	3972899.0	4368250.0	2995692.0	3745463.0	4325328.0	4401496.0	4256070.0	3990039.0	4382229.0	3735910.0	4245096.0	3665991.0	2785919.0	3427908.0	4305785.0	3817714.0	4902654.0	4316944.0	3695616.0	2220966.0	4075678.0	3826364.0	3558263.0	3708759.0	3040693.0	4103187.0	3775519.0
ZeeviD_2015__PNP_Main_269__bin.27	4105721.0	4193720.0	3337147.0	3373855.0	2749614.0	2543044.0	3960088.0	4305025.0	2978369.0	3739323.0	4289427.0	4462917.0	4159330.0	3895435.0	4301350.0	3720243.0	4219706.0	3616436.0	2758105.0	3400137.0	4220681.0	3782885.0	4316944.0	4763339.0	3661911.0	2199228.0	4052560.0	3681356.0	3502779.0	3684973.0	3038007.0	4059282.0	3771010.0
LiJ_2014__V1.FI35__bin.48	3613701.0	3617128.0	2975717.0	2981719.0	2407808.0	2318651.0	3412521.0	3763827.0	2583304.0	3336563.0	3730912.0	3702462.0	3566265.0	3432716.0	3745252.0	3176651.0	3614183.0	3239659.0	2405262.0	3061781.0	3911556.0	3390630.0	3695616.0	3661911.0	4413811.0	1917803.0	3684840.0	3201420.0	3137037.0	3314922.0	2657649.0	3444567.0	3394747.0
VogtmannE_2016__MMRS97052561ST-27-0-0__bin.1	2169388.0	2211029.0	1764367.0	1875071.0	1863175.0	1467704.0	2220767.0	2257259.0	1595499.0	1907643.0	2225793.0	2298358.0	2183714.0	2150442.0	2269991.0	1905767.0	2166604.0	1847702.0	1590399.0	1905426.0	2270385.0	2052886.0	2220966.0	2199228.0	1917803.0	3740005.0	2283085.0	2006517.0	2113356.0	1976014.0	1694513.0	2258282.0	2158142.0
ZellerG_2014__CCMD11006829ST-21-0__bin.48	4069315.0	4118503.0	3471630.0	3348696.0	2830474.0	2560398.0	3935766.0	4254917.0	2922830.0	3616275.0	4207392.0	4175908.0	4016926.0	3960166.0	4261741.0	3627723.0	4144819.0	3585081.0	2768487.0	3386572.0	4222883.0	3685591.0	4075678.0	4052560.0	3684840.0	2283085.0	4805048.0	3585015.0	3566171.0	3819500.0	3041382.0	3923056.0	3880221.0
FengQ_2015__SID531766__bin.48	3847014.0	4162222.0	3046502.0	3169958.0	2585206.0	2349876.0	3480399.0	4212988.0	2899919.0	3275345.0	4180256.0	3759185.0	3716250.0	3533556.0	4206865.0	3336914.0	3789095.0	3499171.0	2617398.0	3085847.0	3838738.0	3346365.0	3826364.0	3681356.0	3201420.0	2006517.0	3585015.0	4289330.0	3283425.0	3296808.0	2846606.0	3645866.0	3561527.0
ZeeviD_2015__PNP_Main_723__bin.45	3540158.0	3770285.0	2787735.0	3042548.0	2778695.0	2354925.0	3381956.0	3844909.0	2656667.0	3184054.0	3782149.0	3595381.0	3491990.0	3403772.0	3867886.0	3161732.0	3528978.0	3277026.0	2531038.0	3010354.0	3643625.0	3313756.0	3558263.0	3502779.0	3137037.0	2113356.0	3566171.0	3283425.0	4006379.0	3211710.0	2780642.0	3510384.0	3564707.0
KarlssonFH_2013__S526__bin.23	3666001.0	3746012.0	3182295.0	3112547.0	2498774.0	2421659.0	3535819.0	3881506.0	2702804.0	3364657.0	3842506.0	3784473.0	3643230.0	3564149.0	3889848.0	3327635.0	3775906.0	3317889.0	2553135.0	3162895.0	3897144.0	3446332.0	3708759.0	3684973.0	3314922.0	1976014.0	3819500.0	3296808.0	3211710.0	5159465.0	2799219.0	3522306.0	3359315.0
NielsenHB_2014__V1_CD14_0__bin.5	3031964.0	3251230.0	2492215.0	2809790.0	2245896.0	2053000.0	2903845.0	3427242.0	2543479.0	2741992.0	3377294.0	3084311.0	3028135.0	3021627.0	3378024.0	2747085.0	3087572.0	2757829.0	2347648.0	2716130.0	3144712.0	2811831.0	3040693.0	3038007.0	2657649.0	1694513.0	3041382.0	2846606.0	2780642.0	2799219.0	6406783.0	2945460.0	2952461.0
BackhedF_2015__SID587_M__bin.28	3916752.0	4022315.0	3170584.0	3271479.0	2715450.0	2453624.0	3979534.0	4151335.0	2885276.0	3577903.0	4128495.0	4132872.0	3996910.0	3857940.0	4157762.0	3615923.0	4157448.0	3475519.0	2724764.0	3263717.0	4076866.0	3657121.0	4103187.0	4059282.0	3444567.0	2258282.0	3923056.0	3645866.0	3510384.0	3522306.0	2945460.0	4749127.0	3757358.0
VogtmannE_2016__MMRS84954772ST-27-0-0__bin.11	3778819.0	4013855.0	3024501.0	3235249.0	3025362.0	2426532.0	3568057.0	4167926.0	2870252.0	3370570.0	4108980.0	3827278.0	3749591.0	3629380.0	4183284.0	3306894.0	3795584.0	3500746.0	2701031.0	3169439.0	3889756.0	3471540.0	3775519.0	3771010.0	3394747.0	2158142.0	3880221.0	3561527.0	3564707.0	3359315.0	2952461.0	3757358.0	4431837.0
