	BritoIL_2016__W1.42.ST__bin.51	BritoIL_2016__W2.54.ST__bin.43	BritoIL_2016__W2.17.ST__bin.72	BritoIL_2016__WL.10.ST__bin.14	BritoIL_2016__W2.63.ST__bin.35	CM_madagascar__A27_02_1FE__bin.38	QinN_2014__LD-50__bin.19	CM_madagascar__A32_01_1FE__bin.61	BritoIL_2016__W1.34.ST__bin.16	BritoIL_2016__W2.65.ST__bin.35	DavidLA_2015__LD-Run2-13__bin.1	QinN_2014__LD-26__bin.28	QinJ_2012__NOM029__bin.22	QinN_2014__LD-31__bin.18	BritoIL_2016__M2.38.ST__bin.53	QinN_2014__LV-8__bin.12	QinN_2014__LD-74__bin.53	BritoIL_2016__W2.1.ST__bin.37	QinN_2014__LD-51__bin.53	BritoIL_2016__W1.54.ST__bin.41	BritoIL_2016__W2.36.ST__bin.48	CosteaPI_2017__SID713A040-11-0-0__bin.41	BritoIL_2016__M2.31.ST__bin.70	BritoIL_2016__W2.47.ST__bin.50	BritoIL_2016__W2.4.ST__bin.15	BritoIL_2016__M1.26.ST__bin.43	VincentC_2016__MM091.2__bin.9	BritoIL_2016__W2.45.ST__bin.4	BritoIL_2016__W1.55.ST__bin.4	BritoIL_2016__M2.5.ST__bin.5	BritoIL_2016__W1.39.ST__bin.60	DavidLA_2015__LD-Run1-12__bin.26
QinN_2014__LV-8__bin.12	1404251.0	1424070.0	1285364.0	1311286.0	1369778.0	1437700.0	1375237.0	1476599.0	1394189.0	889905.0	1116862.0	1594123.0	1097832.0	1047567.0	1455910.0	1617043.0	1465138.0	1418193.0	1350403.0	1411501.0	1400380.0	1369509.0	901062.0	1361666.0	1096388.0	1383975.0	967446.0	1398622.0	1294845.0	1379297.0	1211813.0	1279204.0
QinN_2014__LD-74__bin.53	1564997.0	1602528.0	1415412.0	1460949.0	1521119.0	1595031.0	1506465.0	1638908.0	1545760.0	949217.0	1227908.0	1620886.0	1201158.0	1108280.0	1592316.0	1465138.0	1763510.0	1567993.0	1490979.0	1568468.0	1552769.0	1494986.0	954171.0	1504042.0	1185406.0	1510326.0	1022704.0	1541102.0	1429868.0	1522907.0	1304896.0	1411565.0
BritoIL_2016__W2.1.ST__bin.37	1607075.0	1624051.0	1447154.0	1492479.0	1570837.0	1539851.0	1477531.0	1595467.0	1587581.0	973836.0	1243519.0	1581615.0	1174865.0	1084046.0	1625525.0	1418193.0	1567993.0	1669624.0	1492381.0	1609918.0	1611504.0	1462736.0	990556.0	1545871.0	1223354.0	1541934.0	995825.0	1584047.0	1455022.0	1549600.0	1326130.0	1431154.0
QinN_2014__LD-51__bin.53	1490671.0	1492749.0	1351034.0	1383182.0	1444868.0	1459288.0	1426958.0	1505618.0	1470829.0	909134.0	1181080.0	1493109.0	1134306.0	1042345.0	1503406.0	1350403.0	1490979.0	1492381.0	1581481.0	1486877.0	1466072.0	1414982.0	925047.0	1426145.0	1140428.0	1434689.0	979706.0	1466106.0	1358400.0	1454093.0	1261365.0	1343694.0
BritoIL_2016__W1.54.ST__bin.41	1609784.0	1666287.0	1459353.0	1500495.0	1587490.0	1533809.0	1474269.0	1587359.0	1590693.0	993961.0	1247880.0	1571200.0	1178825.0	1083230.0	1637815.0	1411501.0	1568468.0	1609918.0	1486877.0	1701391.0	1600064.0	1480893.0	999522.0	1571762.0	1227838.0	1537233.0	1001486.0	1579653.0	1472638.0	1552927.0	1328765.0	1431324.0
BritoIL_2016__W2.36.ST__bin.48	1591483.0	1611207.0	1429942.0	1478426.0	1561557.0	1517029.0	1456931.0	1569150.0	1553178.0	966994.0	1232772.0	1557401.0	1163507.0	1068868.0	1617206.0	1400380.0	1552769.0	1611504.0	1466072.0	1600064.0	1639181.0	1447730.0	972944.0	1520391.0	1205662.0	1528968.0	983003.0	1566779.0	1441529.0	1530560.0	1320463.0	1405820.0
CosteaPI_2017__SID713A040-11-0-0__bin.41	1452777.0	1495931.0	1345563.0	1373533.0	1443289.0	1465354.0	1427450.0	1491528.0	1440044.0	922039.0	1160145.0	1505320.0	1138015.0	1040250.0	1488954.0	1369509.0	1494986.0	1462736.0	1414982.0	1480893.0	1447730.0	1685292.0	920233.0	1450375.0	1138300.0	1434776.0	993437.0	1453637.0	1359170.0	1432300.0	1237033.0	1332686.0
BritoIL_2016__M2.31.ST__bin.70	983767.0	1041532.0	929341.0	880282.0	950716.0	924473.0	918240.0	968059.0	961910.0	1001398.0	838087.0	961474.0	782523.0	735144.0	1014891.0	901062.0	954171.0	990556.0	925047.0	999522.0	972944.0	920233.0	1038478.0	957105.0	985855.0	967482.0	823221.0	966516.0	914750.0	968849.0	991202.0	932697.0
BritoIL_2016__W2.47.ST__bin.50	1526513.0	1619484.0	1407610.0	1430692.0	1520483.0	1482320.0	1428482.0	1518567.0	1506607.0	969015.0	1214136.0	1509848.0	1143306.0	1043388.0	1569086.0	1361666.0	1504042.0	1545871.0	1426145.0	1571762.0	1520391.0	1450375.0	957105.0	1642502.0	1192070.0	1489507.0	974791.0	1530574.0	1419680.0	1497422.0	1280962.0	1395990.0
BritoIL_2016__W2.4.ST__bin.15	1224934.0	1246038.0	1137261.0	1111987.0	1170220.0	1149797.0	1137200.0	1190164.0	1181876.0	1006598.0	1001332.0	1185170.0	958937.0	857333.0	1256209.0	1096388.0	1185406.0	1223354.0	1140428.0	1227838.0	1205662.0	1138300.0	985855.0	1192070.0	1262675.0	1215708.0	909099.0	1195387.0	1127742.0	1186057.0	1203121.0	1133033.0
BritoIL_2016__M1.26.ST__bin.43	1548909.0	1547085.0	1401824.0	1444176.0	1492361.0	1469840.0	1453383.0	1540402.0	1549356.0	955495.0	1212964.0	1545389.0	1149213.0	1052482.0	1604903.0	1383975.0	1510326.0	1541934.0	1434689.0	1537233.0	1528968.0	1434776.0	967482.0	1489507.0	1215708.0	1654496.0	990737.0	1536198.0	1407744.0	1512449.0	1345116.0	1389592.0
VincentC_2016__MM091.2__bin.9	987540.0	1008451.0	939988.0	913327.0	957760.0	1000795.0	992659.0	1018541.0	967029.0	817865.0	844523.0	1030010.0	823933.0	758817.0	1009497.0	967446.0	1022704.0	995825.0	979706.0	1001486.0	983003.0	993437.0	823221.0	974791.0	909099.0	990737.0	1129097.0	984254.0	946044.0	982297.0	978096.0	925594.0
BritoIL_2016__W2.45.ST__bin.4	1579473.0	1603758.0	1430370.0	1468183.0	1531746.0	1521251.0	1458232.0	1558295.0	1552480.0	952903.0	1234323.0	1549765.0	1164140.0	1069821.0	1591350.0	1398622.0	1541102.0	1584047.0	1466106.0	1579653.0	1566779.0	1453637.0	966516.0	1530574.0	1195387.0	1536198.0	984254.0	1638344.0	1458408.0	1535286.0	1319189.0	1411422.0
BritoIL_2016__W1.55.ST__bin.4	1443024.0	1483334.0	1337035.0	1374913.0	1429797.0	1399887.0	1375173.0	1431255.0	1430309.0	911614.0	1154296.0	1428727.0	1077761.0	983923.0	1473877.0	1294845.0	1429868.0	1455022.0	1358400.0	1472638.0	1441529.0	1359170.0	914750.0	1419680.0	1127742.0	1407744.0	946044.0	1458408.0	1537043.0	1424318.0	1228061.0	1316035.0
BritoIL_2016__M2.5.ST__bin.5	1554116.0	1566666.0	1404612.0	1451072.0	1494067.0	1494943.0	1439664.0	1540174.0	1540609.0	963431.0	1209213.0	1532416.0	1153821.0	1064634.0	1606331.0	1379297.0	1522907.0	1549600.0	1454093.0	1552927.0	1530560.0	1432300.0	968849.0	1497422.0	1186057.0	1512449.0	982297.0	1535286.0	1424318.0	1643121.0	1322395.0	1395037.0
BritoIL_2016__W1.39.ST__bin.60	1336632.0	1356774.0	1218004.0	1234785.0	1285247.0	1270826.0	1256078.0	1316719.0	1351505.0	966987.0	1063568.0	1334259.0	1027470.0	949925.0	1386385.0	1211813.0	1304896.0	1326130.0	1261365.0	1328765.0	1320463.0	1237033.0	991202.0	1280962.0	1203121.0	1345116.0	978096.0	1319189.0	1228061.0	1322395.0	1427557.0	1210386.0
DavidLA_2015__LD-Run1-12__bin.26	1426198.0	1457472.0	1308299.0	1337670.0	1395434.0	1389593.0	1342780.0	1412302.0	1408134.0	914475.0	1143852.0	1414884.0	1064797.0	983815.0	1455472.0	1279204.0	1411565.0	1431154.0	1343694.0	1431324.0	1405820.0	1332686.0	932697.0	1395990.0	1133033.0	1389592.0	925594.0	1411422.0	1316035.0	1395037.0	1210386.0	1530472.0
