	ZeeviD_2015__PNP_Main_444__bin.30	SmitsSA_2017__TZ_86771__bin.6	FengQ_2015__SID31160__bin.36	BackhedF_2015__SID560_M__bin.34	RampelliS_2015__H14__bin.95	ZeeviD_2015__PNP_Main_13__bin.53	LiSS_2016__FAT_012-22-84-0__bin.55	SmitsSA_2017__TZ_65642__bin.20	ZeeviD_2015__PNP_Main_74__bin.14	ZellerG_2014__CCIS51667829ST-4-0__bin.32	WenC_2017__N315__bin.23	ZeeviD_2015__PNP_Main_199__bin.32	ZeeviD_2015__PNP_Main_116__bin.24	ZeeviD_2015__PNP_Main_33__bin.51	FengQ_2015__SID31300__bin.57	NielsenHB_2014__V1_CD34_0__bin.54	ZeeviD_2015__PNP_Main_335__bin.22	LiJ_2014__V1.CD55-0__bin.71	RampelliS_2015__H25__bin.12	ZeeviD_2015__PNP_Main_359__bin.33	NielsenHB_2014__V1_UC27_0__bin.14	ZeeviD_2015__PNP_Main_213__bin.17	ZeeviD_2015__PNP_Main_211__bin.14	ZellerG_2014__CCIS59132091ST-4-0__bin.11	ZeeviD_2015__PNP_Main_46__bin.35	ZeeviD_2015__PNP_Main_163__bin.37	ZeeviD_2015__PNP_Main_228__bin.29	ZellerG_2014__CCIS03473770ST-4-0__bin.27	RampelliS_2015__H21__bin.34	ZellerG_2014__CCIS74239020ST-4-0__bin.85	ZellerG_2014__CCIS03857607ST-4-0__bin.45	ZeeviD_2015__PNP_Main_378__bin.32	YuJ_2015__SZAXPI015210-17__bin.66	YuJ_2015__SZAXPI017591-140__bin.18	ZeeviD_2015__PNP_Main_41__bin.19	RampelliS_2015__H10__bin.95	RampelliS_2015__H24__bin.83	ChengpingW_2017__AS49raw__bin.23	ZeeviD_2015__PNP_Main_310__bin.29	ZeeviD_2015__PNP_Main_455__bin.37
ZeeviD_2015__PNP_Main_199__bin.32	18076.0	44532.0	14827.0	16815.0	62734.0	26052.0	19497.0	57912.0	25487.0	18682.0	25729.0	0.0	14845.0	22738.0	23008.0	26482.0	18886.0	12062.0	37472.0	11966.0	16101.0	24875.0	18174.0	18972.0	15664.0	16953.0	31081.0	24521.0	68327.0	22801.0	11974.0	23523.0	19092.0	23511.0	26278.0	66671.0	55608.0	15793.0	15511.0	20195.0
ZeeviD_2015__PNP_Main_116__bin.24	15435.0	39088.0	13051.0	14624.0	55990.0	21882.0	15939.0	48530.0	20133.0	14973.0	21819.0	14845.0	0.0	19127.0	20897.0	22674.0	15092.0	8598.0	34456.0	10325.0	13229.0	21124.0	15037.0	16099.0	13063.0	14221.0	25327.0	20573.0	57448.0	17139.0	10517.0	19446.0	17819.0	17479.0	22507.0	56824.0	47505.0	14100.0	10886.0	18008.0
ZeeviD_2015__PNP_Main_33__bin.51	4058.0	42111.0	18069.0	20587.0	60285.0	25331.0	23229.0	53266.0	14001.0	21651.0	25902.0	22738.0	19127.0	0.0	25051.0	27760.0	22391.0	13316.0	37496.0	15426.0	10163.0	4608.0	22468.0	22198.0	19544.0	20572.0	28666.0	4134.0	62955.0	20513.0	15735.0	21892.0	20159.0	20598.0	25649.0	61814.0	51191.0	19950.0	13683.0	19285.0
FengQ_2015__SID31300__bin.57	20855.0	48131.0	20583.0	22331.0	67492.0	27918.0	26295.0	59887.0	28704.0	24488.0	28991.0	23008.0	20897.0	25051.0	0.0	25411.0	24621.0	14327.0	42099.0	16754.0	19324.0	27537.0	24931.0	24580.0	21263.0	21893.0	33829.0	27630.0	69809.0	23577.0	17440.0	25163.0	22296.0	24387.0	28204.0	69104.0	58079.0	21462.0	14294.0	22120.0
NielsenHB_2014__V1_CD34_0__bin.54	22340.0	46904.0	21970.0	23666.0	68213.0	29087.0	29185.0	60982.0	29776.0	27491.0	29557.0	26482.0	22674.0	27760.0	25411.0	0.0	27645.0	15111.0	40889.0	18461.0	19997.0	31251.0	27275.0	27204.0	23299.0	24741.0	33691.0	31091.0	71849.0	24324.0	17931.0	25120.0	22011.0	25561.0	30704.0	70976.0	57438.0	23763.0	14879.0	21803.0
ZeeviD_2015__PNP_Main_335__bin.22	18087.0	44468.0	15293.0	17471.0	63671.0	25686.0	19785.0	57659.0	24423.0	17784.0	25650.0	18886.0	15092.0	22391.0	24621.0	27645.0	0.0	11528.0	39198.0	12742.0	16218.0	24074.0	18107.0	19104.0	15768.0	17143.0	30491.0	24051.0	67159.0	22891.0	12858.0	23012.0	20226.0	22483.0	26231.0	67385.0	55304.0	17035.0	13457.0	21456.0
LiJ_2014__V1.CD55-0__bin.71	9079.0	24149.0	6852.0	9245.0	37927.0	18204.0	11334.0	35227.0	16335.0	11594.0	13518.0	12062.0	8598.0	13316.0	14327.0	15111.0	11528.0	0.0	17159.0	6106.0	13690.0	14524.0	10690.0	11488.0	8634.0	8734.0	17737.0	14175.0	38786.0	19801.0	6173.0	15927.0	6534.0	20183.0	16036.0	40824.0	33682.0	9900.0	12897.0	9836.0
RampelliS_2015__H25__bin.12	32075.0	18979.0	35046.0	35388.0	26950.0	32711.0	41436.0	21787.0	40802.0	38787.0	36483.0	37472.0	34456.0	37496.0	42099.0	40889.0	39198.0	17159.0	0.0	30916.0	22196.0	39734.0	39576.0	38723.0	35629.0	36974.0	43633.0	40440.0	25453.0	19296.0	29871.0	30207.0	32198.0	23043.0	41194.0	26754.0	23677.0	35444.0	16310.0	31959.0
ZeeviD_2015__PNP_Main_359__bin.33	13247.0	32604.0	10611.0	12263.0	44427.0	17613.0	12895.0	39955.0	16092.0	12183.0	18340.0	11966.0	10325.0	15426.0	16754.0	18461.0	12742.0	6106.0	30916.0	0.0	9573.0	16395.0	12329.0	13151.0	11338.0	11636.0	21476.0	15743.0	46607.0	13603.0	9248.0	16006.0	15520.0	12841.0	17706.0	45753.0	38049.0	12027.0	7971.0	16597.0
NielsenHB_2014__V1_UC27_0__bin.14	7766.0	30013.0	12184.0	13887.0	44983.0	21093.0	17382.0	42005.0	8938.0	18031.0	17939.0	16101.0	13229.0	10163.0	19324.0	19997.0	16218.0	13690.0	22196.0	9573.0	0.0	11416.0	16328.0	16625.0	13834.0	14459.0	21565.0	11412.0	47116.0	21111.0	9611.0	18397.0	9746.0	22425.0	19700.0	46394.0	37628.0	14440.0	14496.0	12373.0
ZeeviD_2015__PNP_Main_213__bin.17	1939.0	45789.0	19518.0	22440.0	65431.0	28427.0	25987.0	58331.0	16776.0	23986.0	28197.0	24875.0	21124.0	4608.0	27537.0	31251.0	24074.0	14524.0	39734.0	16395.0	11416.0	0.0	24012.0	24683.0	20984.0	23228.0	31869.0	5753.0	68767.0	21477.0	16840.0	24479.0	21483.0	23902.0	29166.0	67165.0	56687.0	21983.0	16731.0	21231.0
ZeeviD_2015__PNP_Main_211__bin.14	18051.0	44748.0	14779.0	16727.0	64209.0	26033.0	19171.0	57471.0	24124.0	13136.0	25675.0	18174.0	15037.0	22468.0	24931.0	27275.0	18107.0	10690.0	39576.0	12329.0	16328.0	24012.0	0.0	19276.0	15123.0	16473.0	31031.0	23934.0	66912.0	23974.0	13031.0	23337.0	19900.0	22595.0	26050.0	67193.0	55647.0	17393.0	13548.0	21476.0
ZellerG_2014__CCIS59132091ST-4-0__bin.11	18137.0	44612.0	15924.0	18101.0	62656.0	25264.0	20306.0	57073.0	24206.0	19492.0	24816.0	18972.0	16099.0	22198.0	24580.0	27204.0	19104.0	11488.0	38723.0	13151.0	16625.0	24683.0	19276.0	0.0	16767.0	17023.0	30067.0	24426.0	66088.0	21667.0	13423.0	23800.0	18632.0	22335.0	25327.0	65007.0	53387.0	8393.0	13477.0	20151.0
ZeeviD_2015__PNP_Main_46__bin.35	16465.0	40087.0	12294.0	14876.0	55951.0	22753.0	16929.0	50216.0	20580.0	14970.0	23017.0	15664.0	13063.0	19544.0	21263.0	23299.0	15768.0	8634.0	35629.0	11338.0	13834.0	20984.0	15123.0	16767.0	0.0	15008.0	27432.0	21068.0	58505.0	19212.0	11542.0	21104.0	18258.0	19111.0	22539.0	57162.0	47302.0	14713.0	10834.0	19350.0
ZeeviD_2015__PNP_Main_163__bin.37	16728.0	42125.0	13979.0	16299.0	58465.0	23436.0	18401.0	52759.0	22051.0	16672.0	24332.0	16953.0	14221.0	20572.0	21893.0	24741.0	17143.0	8734.0	36974.0	11636.0	14459.0	23228.0	16473.0	17023.0	15008.0	0.0	27930.0	22524.0	61995.0	18364.0	12299.0	20444.0	19738.0	18657.0	24380.0	60281.0	49774.0	15141.0	11430.0	19687.0
ZeeviD_2015__PNP_Main_228__bin.29	23728.0	50263.0	26471.0	27726.0	69278.0	23268.0	34101.0	63944.0	32165.0	31992.0	30761.0	31081.0	25327.0	28666.0	33829.0	33691.0	30491.0	17737.0	43633.0	21476.0	21565.0	31869.0	31031.0	30067.0	27432.0	27930.0	0.0	32067.0	73596.0	24795.0	21151.0	20260.0	23168.0	25347.0	28889.0	71136.0	58739.0	26679.0	16547.0	18529.0
ZellerG_2014__CCIS03473770ST-4-0__bin.27	4926.0	47249.0	19353.0	22195.0	66322.0	27491.0	25192.0	59072.0	15827.0	23524.0	28435.0	24521.0	20573.0	4134.0	27630.0	31091.0	24051.0	14175.0	40440.0	15743.0	11412.0	5753.0	23934.0	24426.0	21068.0	22524.0	32067.0	0.0	69937.0	21231.0	16626.0	23985.0	21652.0	23561.0	28804.0	68853.0	56467.0	21061.0	15068.0	20610.0
RampelliS_2015__H21__bin.34	47579.0	27613.0	51963.0	57294.0	43208.0	64661.0	70864.0	33990.0	70887.0	66754.0	57586.0	68327.0	57448.0	62955.0	69809.0	71849.0	67159.0	38786.0	25453.0	46607.0	47116.0	68767.0	66912.0	66088.0	58505.0	61995.0	73596.0	69937.0	0.0	37981.0	42822.0	56087.0	42957.0	49892.0	72033.0	45544.0	37026.0	56348.0	38582.0	47117.0
ZellerG_2014__CCIS74239020ST-4-0__bin.85	15209.0	24131.0	18117.0	17979.0	38314.0	24072.0	23251.0	34861.0	23237.0	23903.0	20336.0	22801.0	17139.0	20513.0	23577.0	24324.0	22891.0	19801.0	19296.0	13603.0	21111.0	21477.0	23974.0	21667.0	19212.0	18364.0	24795.0	21231.0	37981.0	0.0	13680.0	20900.0	10719.0	26440.0	22112.0	40542.0	34074.0	19187.0	18516.0	13831.0
ZellerG_2014__CCIS03857607ST-4-0__bin.45	13950.0	31998.0	12039.0	12235.0	42244.0	16095.0	13722.0	37325.0	15983.0	12718.0	19209.0	11974.0	10517.0	15735.0	17440.0	17931.0	12858.0	6173.0	29871.0	9248.0	9611.0	16840.0	13031.0	13423.0	11542.0	12299.0	21151.0	16626.0	42822.0	13680.0	0.0	14590.0	17232.0	13923.0	17119.0	42679.0	36649.0	12321.0	7323.0	15708.0
ZeeviD_2015__PNP_Main_378__bin.32	17428.0	37205.0	18363.0	20760.0	54010.0	2897.0	25532.0	48583.0	24294.0	23751.0	22941.0	23523.0	19446.0	21892.0	25163.0	25120.0	23012.0	15927.0	30207.0	16006.0	18397.0	24479.0	23337.0	23800.0	21104.0	20444.0	20260.0	23985.0	56087.0	20900.0	14590.0	0.0	15328.0	22677.0	23126.0	54658.0	45902.0	20903.0	13709.0	2436.0
YuJ_2015__SZAXPI015210-17__bin.66	18283.0	32076.0	19872.0	18787.0	40773.0	16605.0	20989.0	35310.0	21576.0	18758.0	16521.0	19092.0	17819.0	20159.0	22296.0	22011.0	20226.0	6534.0	32198.0	15520.0	9746.0	21483.0	19900.0	18632.0	18258.0	19738.0	23168.0	21652.0	42957.0	10719.0	17232.0	15328.0	0.0	7612.0	20888.0	41423.0	35435.0	17350.0	4530.0	17544.0
YuJ_2015__SZAXPI017591-140__bin.18	15060.0	31189.0	16771.0	18378.0	47732.0	24174.0	23205.0	45256.0	26662.0	25545.0	15687.0	23511.0	17479.0	20598.0	24387.0	25561.0	22483.0	20183.0	23043.0	12841.0	22425.0	23902.0	22595.0	22335.0	19111.0	18657.0	25347.0	23561.0	49892.0	26440.0	13923.0	22677.0	7612.0	0.0	25074.0	49634.0	39584.0	19503.0	18171.0	13620.0
ZeeviD_2015__PNP_Main_41__bin.19	20718.0	47542.0	21125.0	23837.0	67176.0	26723.0	27733.0	61133.0	28882.0	26483.0	27904.0	26278.0	22507.0	25649.0	28204.0	30704.0	26231.0	16036.0	41194.0	17706.0	19700.0	29166.0	26050.0	25327.0	22539.0	24380.0	28889.0	28804.0	72033.0	22112.0	17119.0	23126.0	20888.0	25074.0	0.0	70277.0	56952.0	22400.0	14451.0	19441.0
RampelliS_2015__H10__bin.95	46798.0	11092.0	52350.0	55754.0	2449.0	62886.0	68765.0	24473.0	70546.0	65794.0	57407.0	66671.0	56824.0	61814.0	69104.0	70976.0	67385.0	40824.0	26754.0	45753.0	46394.0	67165.0	67193.0	65007.0	57162.0	60281.0	71136.0	68853.0	45544.0	40542.0	42679.0	54658.0	41423.0	49634.0	70277.0	0.0	6363.0	56317.0	37837.0	46568.0
RampelliS_2015__H24__bin.83	39682.0	7899.0	43382.0	46470.0	7994.0	50504.0	56918.0	19469.0	58397.0	53977.0	48468.0	55608.0	47505.0	51191.0	58079.0	57438.0	55304.0	33682.0	23677.0	38049.0	37628.0	56687.0	55647.0	53387.0	47302.0	49774.0	58739.0	56467.0	37026.0	34074.0	36649.0	45902.0	35435.0	39584.0	56952.0	6363.0	0.0	46914.0	29201.0	39251.0
ChengpingW_2017__AS49raw__bin.23	16670.0	39517.0	14672.0	15983.0	55422.0	22885.0	17627.0	50501.0	21527.0	17048.0	22859.0	15793.0	14100.0	19950.0	21462.0	23763.0	17035.0	9900.0	35444.0	12027.0	14440.0	21983.0	17393.0	8393.0	14713.0	15141.0	26679.0	21061.0	56348.0	19187.0	12321.0	20903.0	17350.0	19503.0	22400.0	56317.0	46914.0	0.0	11696.0	18261.0
ZeeviD_2015__PNP_Main_310__bin.29	9046.0	22967.0	9050.0	11915.0	35581.0	17519.0	14595.0	35806.0	16340.0	15515.0	12547.0	15511.0	10886.0	13683.0	14294.0	14879.0	13457.0	12897.0	16310.0	7971.0	14496.0	16731.0	13548.0	13477.0	10834.0	11430.0	16547.0	15068.0	38582.0	18516.0	7323.0	13709.0	4530.0	18171.0	14451.0	37837.0	29201.0	11696.0	0.0	8171.0
ZeeviD_2015__PNP_Main_455__bin.37	16765.0	35109.0	19502.0	19669.0	45476.0	1394.0	22933.0	40271.0	20786.0	20903.0	21149.0	20195.0	18008.0	19285.0	22120.0	21803.0	21456.0	9836.0	31959.0	16597.0	12373.0	21231.0	21476.0	20151.0	19350.0	19687.0	18529.0	20610.0	47117.0	13831.0	15708.0	2436.0	17544.0	13620.0	19441.0	46568.0	39251.0	18261.0	8171.0	0.0
