	Bengtsson-PalmeJ_2015__TRAVELRES13__bin.23	HeQ_2017__SZAXPI029594-136__bin.12	YuJ_2015__SZAXPI003412-1__bin.80	QinN_2014__HD-6__bin.48	HeQ_2017__SZAXPI029552-169__bin.3	ZeeviD_2015__PNP_Validation_40__bin.5	QinJ_2012__DOF010__bin.2	QinN_2014__HD-39__bin.5	YuJ_2015__SZAXPI015260-74__bin.51	RaymondF_2016__P7C0__bin.21	ZeeviD_2015__PNP_Main_535__bin.24	FengQ_2015__SID31300__bin.65	QinN_2014__LD-97__bin.79	QinJ_2012__T2D-027__bin.10	Bengtsson-PalmeJ_2015__TRAVELRES56__bin.42	QinJ_2012__CON-081__bin.2	LiJ_2017__H3M516804__bin.9	Bengtsson-PalmeJ_2015__TRAVELRES48__bin.17	YuJ_2015__SZAXPI003416-4__bin.1	ZeeviD_2015__PNP_Main_77__bin.62	YuJ_2015__SZAXPI003422-11__bin.25	YuJ_2015__SZAXPI015270-90__bin.39	LiJ_2017__H2M514925__bin.5	ZellerG_2014__CCMD35802077ST-21-0__bin.16	HeQ_2017__SZAXPI029498-99__bin.52	WenC_2017__RA070__bin.24	WenC_2017__RA049__bin.7	YuJ_2015__SZAXPI015227-13__bin.28	LiSS_2016__FAT_014-22-42-0__bin.19	LiJ_2017__H1M512854__bin.22	Bengtsson-PalmeJ_2015__TRAVELRES17__bin.95	Bengtsson-PalmeJ_2015__TRAVELRES22__bin.115	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.115	XieH_2016__YSZC12003_35366__bin.22	XieH_2016__YSZC12003_36674__bin.41	QinN_2014__LD-84__bin.77	QinN_2014__LD-11__bin.41	QinJ_2012__DOM022__bin.3	XieH_2016__YSZC12003_36703__bin.4	QinJ_2012__T2D-022__bin.41	YuJ_2015__SZAXPI015246-34__bin.22	Bengtsson-PalmeJ_2015__TRAVELRES14__bin.12
ZeeviD_2015__PNP_Main_535__bin.24	23529.0	14895.0	11507.0	14372.0	14735.0	14070.0	24024.0	11038.0	9612.0	13553.0	0.0	12358.0	11012.0	14926.0	16502.0	14043.0	13766.0	14870.0	14868.0	15579.0	14857.0	13969.0	10199.0	14792.0	11663.0	13936.0	13484.0	14176.0	15233.0	8948.0	12145.0	15682.0	14283.0	13319.0	13272.0	15187.0	14248.0	14043.0	14232.0	14219.0	13810.0	23720.0
FengQ_2015__SID31300__bin.65	22105.0	15244.0	11618.0	14793.0	14899.0	13966.0	22446.0	12077.0	10456.0	13882.0	12358.0	0.0	11306.0	14050.0	14672.0	14450.0	15266.0	15053.0	15103.0	15864.0	14944.0	13322.0	11275.0	15019.0	12396.0	14533.0	13068.0	13803.0	14791.0	10057.0	12681.0	15427.0	14530.0	14589.0	13741.0	14444.0	14757.0	14769.0	15604.0	14961.0	14239.0	22689.0
QinN_2014__LD-97__bin.79	24585.0	12964.0	11240.0	13303.0	12412.0	13486.0	21479.0	10547.0	8656.0	11413.0	11012.0	11306.0	0.0	8896.0	14793.0	14032.0	12973.0	13176.0	14552.0	15755.0	11822.0	12382.0	9685.0	13798.0	11322.0	11324.0	11725.0	12873.0	14047.0	8469.0	12938.0	15374.0	13906.0	12477.0	9601.0	13020.0	13321.0	13623.0	12669.0	12691.0	11882.0	25181.0
QinJ_2012__T2D-027__bin.10	31309.0	17178.0	14969.0	17797.0	17895.0	17940.0	29451.0	11559.0	10181.0	15489.0	14926.0	14050.0	8896.0	0.0	19384.0	18997.0	17689.0	17987.0	19550.0	20909.0	17520.0	15011.0	11038.0	19277.0	14598.0	15309.0	15130.0	17140.0	17372.0	10404.0	15113.0	19238.0	17758.0	12304.0	9513.0	18015.0	17908.0	16686.0	17096.0	16853.0	15217.0	31447.0
Bengtsson-PalmeJ_2015__TRAVELRES56__bin.42	31670.0	20116.0	15581.0	20183.0	19883.0	17670.0	30212.0	14465.0	11974.0	18043.0	16502.0	14672.0	14793.0	19384.0	0.0	19448.0	18443.0	19450.0	21656.0	23089.0	19401.0	17692.0	12449.0	20221.0	16174.0	19666.0	17315.0	19163.0	18508.0	11456.0	15799.0	20526.0	17938.0	21021.0	18195.0	19191.0	20230.0	21192.0	19535.0	19050.0	17408.0	32123.0
QinJ_2012__CON-081__bin.2	28825.0	18086.0	11938.0	17234.0	17757.0	16080.0	28000.0	13526.0	11100.0	14706.0	14043.0	14450.0	14032.0	18997.0	19448.0	0.0	15988.0	17919.0	17728.0	19042.0	18050.0	16729.0	12111.0	17124.0	14072.0	17595.0	15054.0	15894.0	19092.0	9924.0	14584.0	19295.0	16730.0	18828.0	16927.0	17756.0	17322.0	17735.0	16684.0	17192.0	16930.0	28650.0
LiJ_2017__H3M516804__bin.9	26338.0	17383.0	13644.0	16966.0	17312.0	13988.0	28799.0	11370.0	10753.0	14493.0	13766.0	15266.0	12973.0	17689.0	18443.0	15988.0	0.0	16323.0	17008.0	16048.0	17261.0	15890.0	11923.0	14384.0	14074.0	16686.0	15719.0	16613.0	18095.0	9193.0	14609.0	19229.0	16804.0	18230.0	17156.0	17221.0	16818.0	16873.0	15906.0	15529.0	15552.0	26615.0
Bengtsson-PalmeJ_2015__TRAVELRES48__bin.17	32965.0	17949.0	14350.0	20256.0	18075.0	16800.0	29387.0	12323.0	9003.0	14991.0	14870.0	15053.0	13176.0	17987.0	19450.0	17919.0	16323.0	0.0	19544.0	19027.0	18908.0	16820.0	11541.0	19090.0	15399.0	16055.0	15613.0	16736.0	17266.0	9592.0	14821.0	19758.0	16774.0	19861.0	17403.0	18855.0	20403.0	15341.0	17683.0	16732.0	15664.0	32668.0
YuJ_2015__SZAXPI003416-4__bin.1	34332.0	18520.0	14162.0	18378.0	17778.0	16615.0	31859.0	13875.0	10989.0	14859.0	14868.0	15103.0	14552.0	19550.0	21656.0	17728.0	17008.0	19544.0	0.0	20844.0	18015.0	17979.0	12552.0	22595.0	14678.0	18123.0	16026.0	17544.0	19071.0	10563.0	15820.0	22050.0	18001.0	19854.0	17428.0	20485.0	18937.0	18683.0	18683.0	18209.0	17395.0	34670.0
ZeeviD_2015__PNP_Main_77__bin.62	24787.0	20098.0	15188.0	20337.0	21375.0	12361.0	28931.0	14998.0	12239.0	17668.0	15579.0	15864.0	15755.0	20909.0	23089.0	19042.0	16048.0	19027.0	20844.0	0.0	21752.0	19617.0	12593.0	17737.0	16367.0	20517.0	18500.0	19696.0	20284.0	10245.0	16978.0	22893.0	18683.0	21214.0	17387.0	21258.0	20341.0	19546.0	13939.0	18689.0	18148.0	25179.0
YuJ_2015__SZAXPI003422-11__bin.25	30774.0	16767.0	13992.0	16925.0	14166.0	16868.0	30209.0	12825.0	10702.0	11927.0	14857.0	14944.0	11822.0	17520.0	19401.0	18050.0	17261.0	18908.0	18015.0	21752.0	0.0	15181.0	12095.0	17936.0	14413.0	17530.0	15124.0	15955.0	17889.0	9940.0	15741.0	19502.0	17566.0	17487.0	15998.0	17112.0	16961.0	16863.0	18306.0	16524.0	15733.0	30129.0
YuJ_2015__SZAXPI015270-90__bin.39	28252.0	16770.0	13260.0	16961.0	15389.0	16276.0	28128.0	11844.0	10275.0	15040.0	13969.0	13322.0	12382.0	15011.0	17692.0	16729.0	15890.0	16820.0	17979.0	19617.0	15181.0	0.0	11245.0	17604.0	13468.0	15687.0	13816.0	14626.0	16688.0	9485.0	13579.0	18075.0	15728.0	15601.0	14245.0	15911.0	17227.0	16009.0	16882.0	16808.0	13338.0	28826.0
LiJ_2017__H2M514925__bin.5	20213.0	12914.0	9391.0	11948.0	11969.0	11497.0	19911.0	9248.0	7893.0	12023.0	10199.0	11275.0	9685.0	11038.0	12449.0	12111.0	11923.0	11541.0	12552.0	12593.0	12095.0	11245.0	0.0	11979.0	10965.0	10986.0	11551.0	11503.0	12215.0	9125.0	9213.0	12380.0	9747.0	11803.0	11384.0	12004.0	12003.0	11564.0	12433.0	11982.0	10916.0	20176.0
ZellerG_2014__CCMD35802077ST-21-0__bin.16	32521.0	19536.0	14769.0	20456.0	19318.0	13762.0	29484.0	13290.0	11291.0	16954.0	14792.0	15019.0	13798.0	19277.0	20221.0	17124.0	14384.0	19090.0	22595.0	17737.0	17936.0	17604.0	11979.0	0.0	15422.0	18292.0	16616.0	18268.0	19389.0	8795.0	14854.0	21688.0	17305.0	20697.0	18429.0	19628.0	20912.0	18579.0	15557.0	17792.0	17142.0	32497.0
HeQ_2017__SZAXPI029498-99__bin.52	24144.0	14766.0	11719.0	14494.0	14468.0	13585.0	24410.0	10751.0	9691.0	12179.0	11663.0	12396.0	11322.0	14598.0	16174.0	14072.0	14074.0	15399.0	14678.0	16367.0	14413.0	13468.0	10965.0	15422.0	0.0	13852.0	13030.0	14247.0	16362.0	9415.0	13065.0	17054.0	14561.0	15588.0	13921.0	14059.0	14476.0	14724.0	15308.0	13824.0	13920.0	24548.0
WenC_2017__RA070__bin.24	31259.0	15233.0	14186.0	17572.0	16699.0	17175.0	29871.0	11955.0	10184.0	13993.0	13936.0	14533.0	11324.0	15309.0	19666.0	17595.0	16686.0	16055.0	18123.0	20517.0	17530.0	15687.0	10986.0	18292.0	13852.0	0.0	14958.0	16009.0	18581.0	9787.0	15323.0	20226.0	17090.0	16844.0	15545.0	17483.0	17765.0	16098.0	17125.0	15434.0	15436.0	31844.0
WenC_2017__RA049__bin.7	26914.0	15352.0	12712.0	15260.0	14721.0	15493.0	26408.0	11395.0	10482.0	13227.0	13484.0	13068.0	11725.0	15130.0	17315.0	15054.0	15719.0	15613.0	16026.0	18500.0	15124.0	13816.0	11551.0	16616.0	13030.0	14958.0	0.0	13253.0	16054.0	10149.0	13304.0	17256.0	15150.0	15765.0	14881.0	14864.0	15276.0	15913.0	16582.0	15194.0	14316.0	26783.0
YuJ_2015__SZAXPI015227-13__bin.28	31144.0	17413.0	13723.0	16302.0	16637.0	17431.0	30067.0	12240.0	10728.0	14339.0	14176.0	13803.0	12873.0	17140.0	19163.0	15894.0	16613.0	16736.0	17544.0	19696.0	15955.0	14626.0	11503.0	18268.0	14247.0	16009.0	13253.0	0.0	17268.0	10311.0	14194.0	18821.0	16658.0	17390.0	15918.0	16856.0	16248.0	15560.0	17795.0	16155.0	15846.0	31433.0
LiSS_2016__FAT_014-22-42-0__bin.19	28041.0	18685.0	14611.0	19108.0	18380.0	17408.0	28739.0	13457.0	12127.0	17588.0	15233.0	14791.0	14047.0	17372.0	18508.0	19092.0	18095.0	17266.0	19071.0	20284.0	17889.0	16688.0	12215.0	19389.0	16362.0	18581.0	16054.0	17268.0	0.0	11814.0	15373.0	18065.0	17747.0	18083.0	16503.0	18272.0	19119.0	18326.0	20053.0	17967.0	16556.0	29404.0
LiJ_2017__H1M512854__bin.22	16968.0	10382.0	9052.0	9932.0	9700.0	9124.0	17500.0	8022.0	7202.0	8749.0	8948.0	10057.0	8469.0	10404.0	11456.0	9924.0	9193.0	9592.0	10563.0	10245.0	9940.0	9485.0	9125.0	8795.0	9415.0	9787.0	10149.0	10311.0	11814.0	0.0	9972.0	12004.0	10314.0	10680.0	10445.0	10909.0	9901.0	10145.0	10036.0	10160.0	10663.0	17033.0
Bengtsson-PalmeJ_2015__TRAVELRES17__bin.95	25328.0	15437.0	12432.0	14591.0	15589.0	13534.0	24461.0	11646.0	9481.0	13249.0	12145.0	12681.0	12938.0	15113.0	15799.0	14584.0	14609.0	14821.0	15820.0	16978.0	15741.0	13579.0	9213.0	14854.0	13065.0	15323.0	13304.0	14194.0	15373.0	9972.0	0.0	16014.0	1519.0	16339.0	15200.0	15652.0	14955.0	15136.0	14931.0	14714.0	14072.0	25938.0
Bengtsson-PalmeJ_2015__TRAVELRES22__bin.115	31678.0	20618.0	16000.0	19936.0	20026.0	17669.0	29652.0	13850.0	12468.0	17011.0	15682.0	15427.0	15374.0	19238.0	20526.0	19295.0	19229.0	19758.0	22050.0	22893.0	19502.0	18075.0	12380.0	21688.0	17054.0	20226.0	17256.0	18821.0	18065.0	12004.0	16014.0	0.0	19053.0	20915.0	19186.0	19673.0	20487.0	20378.0	19721.0	20175.0	17297.0	31770.0
Bengtsson-PalmeJ_2015__TRAVELRES18__bin.115	29720.0	17541.0	13897.0	17117.0	18291.0	16152.0	29434.0	12705.0	10941.0	14699.0	14283.0	14530.0	13906.0	17758.0	17938.0	16730.0	16804.0	16774.0	18001.0	18683.0	17566.0	15728.0	9747.0	17305.0	14561.0	17090.0	15150.0	16658.0	17747.0	10314.0	1519.0	19053.0	0.0	18682.0	16701.0	17635.0	17681.0	17434.0	17542.0	17338.0	16053.0	30186.0
XieH_2016__YSZC12003_35366__bin.22	30524.0	17610.0	14880.0	18610.0	18049.0	16510.0	31250.0	12709.0	11016.0	15980.0	13319.0	14589.0	12477.0	12304.0	21021.0	18828.0	18230.0	19861.0	19854.0	21214.0	17487.0	15601.0	11803.0	20697.0	15588.0	16844.0	15765.0	17390.0	18083.0	10680.0	16339.0	20915.0	18682.0	0.0	4979.0	18391.0	18516.0	17517.0	16973.0	18316.0	16422.0	30545.0
XieH_2016__YSZC12003_36674__bin.41	25581.0	15955.0	13894.0	16378.0	15213.0	15420.0	28217.0	11972.0	10296.0	13858.0	13272.0	13741.0	9601.0	9513.0	18195.0	16927.0	17156.0	17403.0	17428.0	17387.0	15998.0	14245.0	11384.0	18429.0	13921.0	15545.0	14881.0	15918.0	16503.0	10445.0	15200.0	19186.0	16701.0	4979.0	0.0	16817.0	16526.0	16014.0	15852.0	15885.0	16057.0	25541.0
QinN_2014__LD-84__bin.77	34354.0	19052.0	14186.0	16565.0	17782.0	17559.0	29956.0	13730.0	11539.0	15324.0	15187.0	14444.0	13020.0	18015.0	19191.0	17756.0	17221.0	18855.0	20485.0	21258.0	17112.0	15911.0	12004.0	19628.0	14059.0	17483.0	14864.0	16856.0	18272.0	10909.0	15652.0	19673.0	17635.0	18391.0	16817.0	0.0	17094.0	16028.0	18062.0	16686.0	15548.0	34425.0
QinN_2014__LD-11__bin.41	34969.0	17746.0	14014.0	181.0	18243.0	16663.0	30449.0	13048.0	10952.0	14906.0	14248.0	14757.0	13321.0	17908.0	20230.0	17322.0	16818.0	20403.0	18937.0	20341.0	16961.0	17227.0	12003.0	20912.0	14476.0	17765.0	15276.0	16248.0	19119.0	9901.0	14955.0	20487.0	17681.0	18516.0	16526.0	17094.0	0.0	17693.0	17720.0	17887.0	15956.0	35689.0
QinJ_2012__DOM022__bin.3	28761.0	17452.0	13765.0	17617.0	16971.0	16898.0	29415.0	12778.0	9120.0	15037.0	14043.0	14769.0	13623.0	16686.0	21192.0	17735.0	16873.0	15341.0	18683.0	19546.0	16863.0	16009.0	11564.0	18579.0	14724.0	16098.0	15913.0	15560.0	18326.0	10145.0	15136.0	20378.0	17434.0	17517.0	16014.0	16028.0	17693.0	0.0	18151.0	16299.0	16138.0	28807.0
XieH_2016__YSZC12003_36703__bin.4	26028.0	18281.0	14371.0	17530.0	18309.0	13068.0	27793.0	13315.0	11355.0	16542.0	14232.0	15604.0	12669.0	17096.0	19535.0	16684.0	15906.0	17683.0	18683.0	13939.0	18306.0	16882.0	12433.0	15557.0	15308.0	17125.0	16582.0	17795.0	20053.0	10036.0	14931.0	19721.0	17542.0	16973.0	15852.0	18062.0	17720.0	18151.0	0.0	17952.0	17903.0	26727.0
QinJ_2012__T2D-022__bin.41	28543.0	14422.0	13295.0	17732.0	16760.0	15703.0	27172.0	12720.0	10173.0	14536.0	14219.0	14961.0	12691.0	16853.0	19050.0	17192.0	15529.0	16732.0	18209.0	18689.0	16524.0	16808.0	11982.0	17792.0	13824.0	15434.0	15194.0	16155.0	17967.0	10160.0	14714.0	20175.0	17338.0	18316.0	15885.0	16686.0	17887.0	16299.0	17952.0	0.0	15347.0	28345.0
YuJ_2015__SZAXPI015246-34__bin.22	28037.0	16084.0	13690.0	15785.0	16334.0	16107.0	28031.0	11514.0	10449.0	14445.0	13810.0	14239.0	11882.0	15217.0	17408.0	16930.0	15552.0	15664.0	17395.0	18148.0	15733.0	13338.0	10916.0	17142.0	13920.0	15436.0	14316.0	15846.0	16556.0	10663.0	14072.0	17297.0	16053.0	16422.0	16057.0	15548.0	15956.0	16138.0	17903.0	15347.0	0.0	28024.0
Bengtsson-PalmeJ_2015__TRAVELRES14__bin.12	492.0	33898.0	23274.0	34849.0	32269.0	21294.0	34880.0	22756.0	17827.0	26902.0	23720.0	22689.0	25181.0	31447.0	32123.0	28650.0	26615.0	32668.0	34670.0	25179.0	30129.0	28826.0	20176.0	32497.0	24548.0	31844.0	26783.0	31433.0	29404.0	17033.0	25938.0	31770.0	30186.0	30545.0	25541.0	34425.0	35689.0	28807.0	26727.0	28345.0	28024.0	0.0
