	FerrettiP_2018__CA_C10034MS2579SA_t0M15__bin.5	Castro-NallarE_2015__ES_107__bin.32	FerrettiP_2018__CA_C10001MS2001SA_t0M15__bin.5	CM_cf__CF_TNFC041SA_t1M15__bin.21	HMP_2012__SRS023926__bin.17	HMP_2012__SRS014470__bin.87	HMP_2012__SRS013234__bin.13	CM_cf__CF_TNFC008IS_t1M15__bin.9	CM_cf__CF_TNFC018IS_t1M15__bin.5	FerrettiP_2018__CA_C10035MS2597SA_t0M15__bin.2	HMP_2012__SRS065278__bin.18	HMP_2012__SRS044486__bin.15	HMP_2012__SRS012279__bin.50	HMP_2012__SRS057791__bin.55	HMP_2012__SRS015762__bin.48	HMP_2012__SRS047210__bin.21	HMP_2012__SRS062544__bin.18	BritoIL_2016__W2.68.SA__bin.22	HMP_2012__SRS019607__bin.19	HMP_2012__SRS016342__bin.52	HMP_2012__SRS015038__bin.37	HMP_2012__SRS015893__bin.70	FerrettiP_2018__CA_C10055MS2957SA_t0M16__bin.43	HMP_2012__SRS042643__bin.34	HMP_2012__SRS015272__bin.16	HMP_2012__SRS020220__bin.52	HMP_2012__SRS018357__bin.42	Castro-NallarE_2015__ES_110__bin.12
HMP_2012__SRS044486__bin.15	1526019.0	1101638.0	1455494.0	1589781.0	1717379.0	1468281.0	1537860.0	1938180.0	1831649.0	1751710.0	1551544.0	2319379.0	1588820.0	1769081.0	1597086.0	1652398.0	1580720.0	1850087.0	1810688.0	1562551.0	1690797.0	1761451.0	1589830.0	1789250.0	2069950.0	1655877.0	1531907.0	1065180.0
HMP_2012__SRS012279__bin.50	1379350.0	974455.0	1292789.0	1378468.0	1460651.0	1339855.0	1328906.0	1670899.0	1610229.0	1448260.0	1434604.0	1588820.0	1799743.0	1573558.0	1448793.0	1506807.0	1395519.0	1615829.0	1596777.0	1423263.0	1556465.0	1492532.0	1333412.0	1616772.0	1677096.0	1511945.0	1315497.0	964863.0
HMP_2012__SRS057791__bin.55	1515569.0	1119914.0	1403629.0	1527412.0	1596741.0	1462275.0	1433525.0	1859064.0	1775746.0	1593405.0	1540028.0	1769081.0	1573558.0	1980036.0	1593935.0	1603078.0	1555925.0	1793120.0	1796822.0	1492801.0	1702147.0	1669342.0	1488248.0	1779608.0	1850970.0	1663828.0	1512251.0	1057814.0
HMP_2012__SRS015762__bin.48	1376696.0	1002631.0	1325304.0	1391331.0	1497331.0	1373497.0	1363570.0	1687822.0	1642946.0	1493830.0	1408412.0	1597086.0	1448793.0	1593935.0	1879100.0	1480953.0	1404021.0	1648077.0	1649042.0	1403667.0	1527151.0	1618567.0	1369939.0	1664190.0	1688667.0	1497240.0	1419380.0	994445.0
HMP_2012__SRS047210__bin.21	1403046.0	968239.0	1322825.0	1411535.0	1503370.0	1381310.0	1394403.0	1728798.0	1632761.0	1494212.0	1462631.0	1652398.0	1506807.0	1603078.0	1480953.0	1992468.0	1392503.0	1676967.0	1630256.0	1478362.0	1577045.0	1545984.0	1384236.0	1630331.0	1727447.0	1541850.0	1341323.0	990320.0
HMP_2012__SRS062544__bin.18	1327612.0	951237.0	1265854.0	1368522.0	1461335.0	1326585.0	1315838.0	1652342.0	1516788.0	1492975.0	1408334.0	1580720.0	1395519.0	1555925.0	1404021.0	1392503.0	1744695.0	1576783.0	1566365.0	1328378.0	1516475.0	1523452.0	1353480.0	1571117.0	1604461.0	1433065.0	1349068.0	941434.0
BritoIL_2016__W2.68.SA__bin.22	1549029.0	1120770.0	1443627.0	1558611.0	1678626.0	1491132.0	1490442.0	1929126.0	1824781.0	1668305.0	1580078.0	1850087.0	1615829.0	1793120.0	1648077.0	1676967.0	1576783.0	2539173.0	1864600.0	1580310.0	1738483.0	1714030.0	1514339.0	1794796.0	1935653.0	1671753.0	1498553.0	1083945.0
HMP_2012__SRS019607__bin.19	1587699.0	1151547.0	1417926.0	1487524.0	1623887.0	1463811.0	1463929.0	1914912.0	1816636.0	1661304.0	1518700.0	1810688.0	1596777.0	1796822.0	1649042.0	1630256.0	1566365.0	1864600.0	2961549.0	1546471.0	1697542.0	1754050.0	1494410.0	1784930.0	1909910.0	1685890.0	1543517.0	1069567.0
HMP_2012__SRS016342__bin.52	1314647.0	917578.0	1301606.0	1371151.0	1421733.0	1308215.0	1326915.0	1599917.0	1520781.0	1438791.0	1398622.0	1562551.0	1423263.0	1492801.0	1403667.0	1478362.0	1328378.0	1580310.0	1546471.0	1916157.0	1514466.0	1473475.0	1311928.0	1535904.0	1613652.0	1455824.0	1267483.0	944017.0
HMP_2012__SRS015038__bin.37	1463743.0	1054690.0	1361596.0	1454292.0	1556395.0	1439323.0	1401665.0	1825920.0	1703276.0	1520004.0	1588081.0	1690797.0	1556465.0	1702147.0	1527151.0	1577045.0	1516475.0	1738483.0	1697542.0	1514466.0	2055680.0	1586851.0	1426871.0	1709695.0	1775681.0	1594615.0	1392416.0	1026315.0
HMP_2012__SRS015893__bin.70	1430429.0	1071373.0	1368576.0	1495672.0	1640948.0	1425418.0	1459066.0	1766114.0	1702623.0	1609567.0	1471951.0	1761451.0	1492532.0	1669342.0	1618567.0	1545984.0	1523452.0	1714030.0	1754050.0	1473475.0	1586851.0	2149882.0	1467468.0	1703568.0	1791573.0	1559223.0	1534296.0	1044249.0
FerrettiP_2018__CA_C10055MS2957SA_t0M16__bin.43	1249439.0	883630.0	1241168.0	1371149.0	1376033.0	1255288.0	1331034.0	1617804.0	1554179.0	1454951.0	1362441.0	1589830.0	1333412.0	1488248.0	1369939.0	1384236.0	1353480.0	1514339.0	1494410.0	1311928.0	1426871.0	1467468.0	1750058.0	1523051.0	1592909.0	1435221.0	1287000.0	884695.0
HMP_2012__SRS042643__bin.34	1546911.0	1100095.0	1440630.0	1544783.0	1634983.0	1486734.0	1478127.0	1862383.0	1782922.0	1636538.0	1576582.0	1789250.0	1616772.0	1779608.0	1664190.0	1630331.0	1571117.0	1794796.0	1784930.0	1535904.0	1709695.0	1703568.0	1523051.0	2002862.0	1877677.0	1665422.0	1500465.0	1065379.0
HMP_2012__SRS015272__bin.16	1625401.0	1186449.0	1496500.0	1603574.0	1743113.0	1544212.0	1539531.0	2022129.0	1912241.0	1745430.0	1621518.0	2069950.0	1677096.0	1850970.0	1688667.0	1727447.0	1604461.0	1935653.0	1909910.0	1613652.0	1775681.0	1791573.0	1592909.0	1877677.0	2338029.0	1742175.0	1565660.0	1107744.0
HMP_2012__SRS020220__bin.52	1436045.0	1052749.0	1357902.0	1421864.0	1506678.0	1376185.0	1361331.0	1771667.0	1664237.0	1470342.0	1461729.0	1655877.0	1511945.0	1663828.0	1497240.0	1541850.0	1433065.0	1671753.0	1685890.0	1455824.0	1594615.0	1559223.0	1435221.0	1665422.0	1742175.0	1907812.0	1358216.0	1025404.0
HMP_2012__SRS018357__bin.42	1230061.0	940016.0	1189259.0	1286279.0	1402821.0	1252592.0	1232187.0	1545530.0	1502666.0	1399515.0	1270458.0	1531907.0	1315497.0	1512251.0	1419380.0	1341323.0	1349068.0	1498553.0	1543517.0	1267483.0	1392416.0	1534296.0	1287000.0	1500465.0	1565660.0	1358216.0	1689134.0	898986.0
Castro-NallarE_2015__ES_110__bin.12	938686.0	725566.0	902764.0	945848.0	966430.0	928877.0	904491.0	1114752.0	1063526.0	961474.0	947072.0	1065180.0	964863.0	1057814.0	994445.0	990320.0	941434.0	1083945.0	1069567.0	944017.0	1026315.0	1044249.0	884695.0	1065379.0	1107744.0	1025404.0	898986.0	1301391.0
