	FerrettiP_2018__CA_C10034MS2579SA_t0M15__bin.5	Castro-NallarE_2015__ES_107__bin.32	FerrettiP_2018__CA_C10001MS2001SA_t0M15__bin.5	CM_cf__CF_TNFC041SA_t1M15__bin.21	HMP_2012__SRS023926__bin.17	HMP_2012__SRS014470__bin.87	HMP_2012__SRS013234__bin.13	CM_cf__CF_TNFC008IS_t1M15__bin.9	CM_cf__CF_TNFC018IS_t1M15__bin.5	FerrettiP_2018__CA_C10035MS2597SA_t0M15__bin.2	HMP_2012__SRS065278__bin.18	HMP_2012__SRS044486__bin.15	HMP_2012__SRS012279__bin.50	HMP_2012__SRS057791__bin.55	HMP_2012__SRS015762__bin.48	HMP_2012__SRS047210__bin.21	HMP_2012__SRS062544__bin.18	BritoIL_2016__W2.68.SA__bin.22	HMP_2012__SRS019607__bin.19	HMP_2012__SRS016342__bin.52	HMP_2012__SRS015038__bin.37	HMP_2012__SRS015893__bin.70	FerrettiP_2018__CA_C10055MS2957SA_t0M16__bin.43	HMP_2012__SRS042643__bin.34	HMP_2012__SRS015272__bin.16	HMP_2012__SRS020220__bin.52	HMP_2012__SRS018357__bin.42	Castro-NallarE_2015__ES_110__bin.12
HMP_2012__SRS057791__bin.55	35304.0	26256.0	37285.0	13143.0	40441.0	36712.0	34983.0	51263.0	41237.0	42296.0	40868.0	42587.0	36085.0	0.0	39254.0	37345.0	41381.0	36259.0	42545.0	34062.0	44861.0	40270.0	32308.0	42104.0	44184.0	39388.0	38119.0	24073.0
HMP_2012__SRS015762__bin.48	34777.0	23760.0	36511.0	34289.0	38534.0	35043.0	34479.0	47965.0	40479.0	40136.0	38113.0	40189.0	35613.0	39254.0	0.0	37554.0	38340.0	39154.0	42107.0	33603.0	40491.0	38988.0	33830.0	41246.0	42054.0	35740.0	36092.0	22026.0
HMP_2012__SRS047210__bin.21	33371.0	22351.0	33441.0	32129.0	37109.0	34012.0	34706.0	45939.0	37403.0	37810.0	37081.0	39448.0	22599.0	37345.0	37554.0	0.0	34001.0	38931.0	38052.0	25548.0	40318.0	36766.0	33853.0	38544.0	40872.0	14380.0	32887.0	22834.0
HMP_2012__SRS062544__bin.18	35526.0	25532.0	36090.0	35450.0	38933.0	25925.0	34065.0	32900.0	39751.0	39095.0	12777.0	40668.0	35296.0	41381.0	38340.0	34001.0	0.0	41090.0	42522.0	32521.0	13678.0	40354.0	35942.0	41546.0	41542.0	35827.0	35684.0	23810.0
BritoIL_2016__W2.68.SA__bin.22	35400.0	26137.0	36795.0	31993.0	41447.0	36874.0	35684.0	53140.0	41882.0	43514.0	41455.0	42915.0	35699.0	36259.0	39154.0	38931.0	41090.0	0.0	45343.0	36720.0	45660.0	40813.0	31582.0	42238.0	44418.0	38232.0	36258.0	23248.0
HMP_2012__SRS019607__bin.19	37007.0	27033.0	37210.0	35293.0	40967.0	37225.0	36657.0	56332.0	44149.0	46593.0	40512.0	44832.0	35632.0	42545.0	42107.0	38052.0	42522.0	45343.0	0.0	37105.0	46149.0	43429.0	38808.0	43352.0	46825.0	40051.0	39274.0	25491.0
HMP_2012__SRS016342__bin.52	30111.0	21473.0	33273.0	31460.0	33089.0	30791.0	31093.0	41847.0	34047.0	36443.0	35555.0	36223.0	17811.0	34062.0	33603.0	25548.0	32521.0	36720.0	37105.0	0.0	37702.0	34814.0	30623.0	35443.0	37190.0	24289.0	30304.0	21232.0
HMP_2012__SRS015038__bin.37	39948.0	29565.0	38488.0	36584.0	42073.0	28216.0	37303.0	36385.0	45181.0	40503.0	733.0	44947.0	39734.0	44861.0	40491.0	40318.0	13678.0	45660.0	46149.0	37702.0	0.0	42358.0	37749.0	45464.0	47031.0	40366.0	37149.0	26266.0
HMP_2012__SRS015893__bin.70	34575.0	12146.0	36194.0	35867.0	41405.0	35288.0	36725.0	49202.0	40365.0	43421.0	39238.0	42969.0	35425.0	40270.0	38988.0	36766.0	40354.0	40813.0	43429.0	34814.0	42358.0	0.0	35876.0	40704.0	42951.0	36563.0	37915.0	23592.0
FerrettiP_2018__CA_C10055MS2957SA_t0M16__bin.43	30690.0	21214.0	33152.0	29886.0	35305.0	31778.0	32989.0	45869.0	38101.0	39940.0	35986.0	39865.0	30966.0	32308.0	33830.0	33853.0	35942.0	31582.0	38808.0	30623.0	37749.0	35876.0	0.0	36629.0	39339.0	34237.0	33005.0	20062.0
HMP_2012__SRS042643__bin.34	37446.0	26033.0	38291.0	36306.0	41063.0	36647.0	36555.0	51914.0	42395.0	43575.0	41518.0	42576.0	37281.0	42104.0	41246.0	38544.0	41546.0	42238.0	43352.0	35443.0	45464.0	40704.0	36629.0	0.0	44256.0	38193.0	36610.0	23709.0
HMP_2012__SRS015272__bin.16	38489.0	28341.0	39302.0	37674.0	43697.0	38114.0	38079.0	56800.0	44585.0	48030.0	42584.0	2205.0	37906.0	44184.0	42054.0	40872.0	41542.0	44418.0	46825.0	37190.0	47031.0	42951.0	39339.0	44256.0	0.0	39979.0	38649.0	25098.0
HMP_2012__SRS020220__bin.52	33467.0	24132.0	34719.0	33878.0	36708.0	32853.0	31662.0	48048.0	37464.0	37537.0	36647.0	38335.0	22305.0	39388.0	35740.0	14380.0	35827.0	38232.0	40051.0	24289.0	40366.0	36563.0	34237.0	38193.0	39979.0	0.0	32943.0	22483.0
HMP_2012__SRS018357__bin.42	30716.0	22839.0	32073.0	31644.0	35532.0	30678.0	30340.0	42603.0	36958.0	37290.0	33740.0	37828.0	31668.0	38119.0	36092.0	32887.0	35684.0	36258.0	39274.0	30304.0	37149.0	37915.0	33005.0	36610.0	38649.0	32943.0	0.0	20030.0
Castro-NallarE_2015__ES_110__bin.12	21473.0	15056.0	21804.0	20772.0	21881.0	22684.0	20823.0	29729.0	22525.0	24575.0	24433.0	24920.0	21000.0	24073.0	22026.0	22834.0	23810.0	23248.0	25491.0	21232.0	26266.0	23592.0	20062.0	23709.0	25098.0	22483.0	20030.0	0.0
