	HMP_2012__SRS045313__bin.2	CM_periimplantitis__SP_283SPT_T016__bin.32	HMP_2012__SRS045197__bin.11	HMP_2012__SRS011255__bin.40	CM_periimplantitis__SP_282SPT_T016_R__bin.22	HMP_2012__SRS012285__bin.21	HMP_2012__SRS017691__bin.67	CM_periimplantitis__SP_281SPI_T016__bin.22	HMP_2012__SRS013950__bin.8	HMP_2012__SRS019980__bin.28	CM_periimplantitis__SP_403SPT_T016__bin.9	HMP_2012__SRS014691__bin.31	HMP_2012__SRS013836__bin.14	CM_periimplantitis__SP_285SPI_T016__bin.4	ZellerG_2014__CCMD50071957ST-21-0__bin.41	HMP_2012__SRS051930__bin.50	HMP_2012__SRS049268__bin.17	HMP_2012__SRS024087__bin.10	CM_periimplantitis__SP_287SPT_T016__bin.22	HMP_2012__SRS063932__bin.88	HMP_2012__SRS058053__bin.57	CM_periimplantitis__SP_189SPI_T016__bin.28	HMP_2012__SRS022536__bin.36	ZellerG_2014__CCMD11006829ST-21-0__bin.60	HMP_2012__SRS014476__bin.30	CM_periimplantitis__SP_162SPI_T016__bin.17	CM_periimplantitis__SP_123SPT_T016__bin.4	HMP_2012__SRS015215__bin.20	HMP_2012__SRS022725__bin.36	HMP_2012__SRS017227__bin.23	HMP_2012__SRS058808__bin.49	HMP_2012__SRS019029__bin.2	CM_periimplantitis__SP_143SPI_T016__bin.7	CM_periimplantitis__SP_381SPT_T016__bin.14	HMP_2012__SRS023964__bin.1	HMP_2012__SRS023938__bin.18	HMP_2012__SRS058053__bin.56	HMP_2012__SRS047113__bin.6	HMP_2012__SRS013533__bin.55
CM_periimplantitis__SP_403SPT_T016__bin.9	1820253.0	1731178.0	1919990.0	1830954.0	1145251.0	1851755.0	1988387.0	1911469.0	1894648.0	1651101.0	2175505.0	1031633.0	1398491.0	1657858.0	1779389.0	1958438.0	1325889.0	1621454.0	1647791.0	1620791.0	1178900.0	1713669.0	1987859.0	2017660.0	1872692.0	1706024.0	1993525.0	1538843.0	1535673.0	1238746.0	1487336.0	1387050.0	1783046.0	1915910.0	1945876.0	1923276.0	760156.0	1975356.0	1785927.0
HMP_2012__SRS014691__bin.31	1216262.0	1024059.0	1209714.0	978187.0	377659.0	1158672.0	1227233.0	1198694.0	1258917.0	1125330.0	1031633.0	1505330.0	1075063.0	1184251.0	1174375.0	1246557.0	662965.0	1146193.0	1125627.0	1145764.0	440387.0	1221718.0	1197226.0	1265338.0	1194865.0	1189280.0	1238722.0	1215034.0	1166615.0	526748.0	758077.0	1251910.0	1181215.0	1100844.0	1160165.0	1109317.0	759994.0	1258417.0	1232458.0
HMP_2012__SRS013836__bin.14	1557673.0	1347890.0	1513542.0	1351280.0	687699.0	1504388.0	1566596.0	1537514.0	1583029.0	1454789.0	1398491.0	1075063.0	1693670.0	1494757.0	1524549.0	1552061.0	975504.0	1538975.0	1474755.0	1543060.0	753498.0	1548087.0	1543792.0	1587001.0	1508881.0	1513122.0	1570097.0	1460365.0	1473920.0	781554.0	1072975.0	1333106.0	1497727.0	1461993.0	1510939.0	1482844.0	815197.0	1555395.0	1551491.0
CM_periimplantitis__SP_285SPI_T016__bin.4	1855140.0	1602749.0	1829256.0	1648029.0	921564.0	1815453.0	1884430.0	1797089.0	1898846.0	1753970.0	1657858.0	1184251.0	1494757.0	2064923.0	1831044.0	1867786.0	1172105.0	1750293.0	1732705.0	1738828.0	955907.0	1828202.0	1854747.0	1906178.0	1774872.0	1826591.0	1862707.0	1670070.0	1686643.0	997511.0	1272894.0	1539049.0	1796755.0	1753527.0	1793932.0	1775925.0	879806.0	1873173.0	1870641.0
ZellerG_2014__CCMD50071957ST-21-0__bin.41	1945937.0	1733328.0	1959481.0	1768119.0	1035602.0	1937986.0	2075314.0	1915190.0	2039963.0	1781297.0	1779389.0	1174375.0	1524549.0	1831044.0	2387549.0	2010017.0	1262943.0	1811938.0	1780901.0	1795363.0	1040520.0	1935150.0	1977297.0	2086531.0	1912371.0	1896488.0	2006528.0	1739762.0	1757732.0	1145275.0	1374245.0	1557027.0	1903993.0	1884456.0	1906492.0	1891819.0	906615.0	2003502.0	2015888.0
HMP_2012__SRS051930__bin.50	2050673.0	1869906.0	2126431.0	1939980.0	1177720.0	2039191.0	2209237.0	2087159.0	2140649.0	1817011.0	1958438.0	1246557.0	1552061.0	1867786.0	2010017.0	2492907.0	1395815.0	1799486.0	1806275.0	1794100.0	1216377.0	1935746.0	2162640.0	2236115.0	2108813.0	1930576.0	2191286.0	1871506.0	1728917.0	1297666.0	1533627.0	1587042.0	1989533.0	2067858.0	2089500.0	2056330.0	917627.0	2192125.0	2009582.0
HMP_2012__SRS049268__bin.17	1305040.0	1252868.0	1336966.0	1379406.0	925796.0	1324153.0	1404465.0	1379370.0	1349882.0	1127385.0	1325889.0	662965.0	975504.0	1172105.0	1262943.0	1395815.0	1596596.0	1178820.0	1163751.0	1184919.0	1072170.0	1193962.0	1405795.0	1412797.0	1345142.0	1212348.0	1402174.0	1034904.0	1061904.0	913919.0	1079724.0	954466.0	1274446.0	1385392.0	1371975.0	1391724.0	439912.0	1391043.0	1256498.0
HMP_2012__SRS024087__bin.10	1803587.0	1608858.0	1806614.0	1609179.0	866350.0	1781575.0	1832098.0	1752753.0	1887275.0	1740783.0	1621454.0	1146193.0	1538975.0	1750293.0	1811938.0	1799486.0	1178820.0	2218768.0	1717928.0	2003177.0	934166.0	1825597.0	1804743.0	1869607.0	1725485.0	1800359.0	1863008.0	1671867.0	1698880.0	967269.0	1245118.0	1492910.0	1747950.0	1707488.0	1732628.0	1727618.0	970622.0	1833248.0	1836198.0
CM_periimplantitis__SP_287SPT_T016__bin.22	1848554.0	1592790.0	1766127.0	1695990.0	914913.0	1809795.0	1834159.0	1736733.0	1860517.0	1819361.0	1647791.0	1125627.0	1474755.0	1732705.0	1780901.0	1806275.0	1163751.0	1717928.0	1972294.0	1726145.0	952946.0	1800528.0	1861118.0	1875597.0	1716069.0	1784013.0	1821811.0	1658811.0	1674742.0	1004996.0	1293785.0	1500740.0	1769934.0	1755503.0	1784922.0	1783637.0	837949.0	1818060.0	1820552.0
HMP_2012__SRS063932__bin.88	1767002.0	1574088.0	1782964.0	1584413.0	868761.0	1767556.0	1818083.0	1749526.0	1869236.0	1720990.0	1620791.0	1145764.0	1543060.0	1738828.0	1795363.0	1794100.0	1184919.0	2003177.0	1726145.0	2031701.0	938893.0	1815347.0	1796913.0	1861572.0	1712241.0	1778979.0	1827149.0	1666492.0	1681509.0	959487.0	1242372.0	1490506.0	1753616.0	1704485.0	1743891.0	1714053.0	955682.0	1829503.0	1821800.0
HMP_2012__SRS058053__bin.57	1103189.0	1112320.0	1182087.0	1251237.0	980308.0	1139300.0	1264041.0	1216946.0	1135150.0	922854.0	1178900.0	440387.0	753498.0	955907.0	1040520.0	1216377.0	1072170.0	934166.0	952946.0	938893.0	1389616.0	959163.0	1252968.0	1253407.0	1190303.0	980910.0	1241014.0	787804.0	825937.0	951983.0	995828.0	715722.0	1087414.0	1253087.0	1206966.0	1243297.0	5152.0	1226917.0	1035881.0
CM_periimplantitis__SP_189SPI_T016__bin.28	1882824.0	1668966.0	1906332.0	1694441.0	924941.0	1885302.0	1957477.0	1840801.0	2024526.0	1804155.0	1713669.0	1221718.0	1548087.0	1828202.0	1935150.0	1935746.0	1193962.0	1825597.0	1800528.0	1815347.0	959163.0	2172788.0	1914767.0	1990798.0	1856475.0	1926852.0	1984504.0	1790016.0	1801271.0	1018081.0	1326129.0	1574413.0	1886749.0	1812651.0	1858672.0	1820076.0	921276.0	1948532.0	1968441.0
HMP_2012__SRS022536__bin.36	2068566.0	1874123.0	2124135.0	2031798.0	1227355.0	2057396.0	2202083.0	2101719.0	2117431.0	1835137.0	1987859.0	1197226.0	1543792.0	1854747.0	1977297.0	2162640.0	1405795.0	1804743.0	1861118.0	1796913.0	1252968.0	1914767.0	2374114.0	2223462.0	2098958.0	1907151.0	2196072.0	1731914.0	1731131.0	1355469.0	1558285.0	1549572.0	1974262.0	2103358.0	2190973.0	2143118.0	898243.0	2180732.0	1987521.0
ZellerG_2014__CCMD11006829ST-21-0__bin.60	2140377.0	1917674.0	2189383.0	2001925.0	1210873.0	2096739.0	2258441.0	2163651.0	2207864.0	1878922.0	2017660.0	1265338.0	1587001.0	1906178.0	2086531.0	2236115.0	1412797.0	1869607.0	1875597.0	1861572.0	1253407.0	1990798.0	2223462.0	2663266.0	2136800.0	1982752.0	2262874.0	1818741.0	1782383.0	1321044.0	1566216.0	1646083.0	2056904.0	2113367.0	2147634.0	2134912.0	933138.0	2246021.0	2092250.0
HMP_2012__SRS014476__bin.30	1981209.0	1792213.0	2050804.0	1884031.0	1127493.0	1959233.0	2135197.0	2039082.0	2039646.0	1723981.0	1872692.0	1194865.0	1508881.0	1774872.0	1912371.0	2108813.0	1345142.0	1725485.0	1716069.0	1712241.0	1190303.0	1856475.0	2098958.0	2136800.0	2524323.0	1818084.0	2118170.0	1699928.0	1664496.0	1259610.0	1466527.0	1521545.0	1910471.0	1999875.0	2021014.0	2000177.0	877173.0	2109363.0	1936472.0
CM_periimplantitis__SP_162SPI_T016__bin.17	1867659.0	1662281.0	1906340.0	1715974.0	948998.0	1874141.0	1925870.0	1823941.0	1971645.0	1810802.0	1706024.0	1189280.0	1513122.0	1826591.0	1896488.0	1930576.0	1212348.0	1800359.0	1784013.0	1778979.0	980910.0	1926852.0	1907151.0	1982752.0	1818084.0	2078582.0	1916759.0	1739276.0	1732334.0	1060068.0	1337052.0	1550688.0	1852226.0	1805499.0	1841196.0	1816226.0	890187.0	1926767.0	1945796.0
CM_periimplantitis__SP_123SPT_T016__bin.4	2070613.0	1912118.0	2135719.0	1979927.0	1204665.0	2056727.0	2239481.0	2125316.0	2240776.0	1802808.0	1993525.0	1238722.0	1570097.0	1862707.0	2006528.0	2191286.0	1402174.0	1863008.0	1821811.0	1827149.0	1241014.0	1984504.0	2196072.0	2262874.0	2118170.0	1916759.0	2693464.0	1768418.0	1757083.0	1310691.0	1546225.0	1587144.0	2009119.0	2094692.0	2134361.0	2098793.0	935665.0	2211358.0	2043900.0
HMP_2012__SRS015215__bin.20	1725990.0	1490149.0	1724890.0	1502105.0	734179.0	1698514.0	1767582.0	1659403.0	1819260.0	1679514.0	1538843.0	1215034.0	1460365.0	1670070.0	1739762.0	1871506.0	1034904.0	1671867.0	1658811.0	1666492.0	787804.0	1790016.0	1731914.0	1818741.0	1699928.0	1739276.0	1768418.0	1982526.0	1676392.0	840128.0	1175148.0	1515126.0	1696318.0	1611716.0	1664757.0	1636322.0	925994.0	1766313.0	1789509.0
HMP_2012__SRS022725__bin.36	1741252.0	1491033.0	1701476.0	1515376.0	808996.0	1692662.0	1768115.0	1677592.0	1805904.0	1678828.0	1535673.0	1166615.0	1473920.0	1686643.0	1757732.0	1728917.0	1061904.0	1698880.0	1674742.0	1681509.0	825937.0	1801271.0	1731131.0	1782383.0	1664496.0	1732334.0	1757083.0	1676392.0	2035137.0	876463.0	1171610.0	1492096.0	1731117.0	1631966.0	1679470.0	1650791.0	892624.0	1735403.0	1780711.0
HMP_2012__SRS017227__bin.23	1146330.0	1136259.0	1296492.0	1299356.0	1039402.0	1227081.0	1345650.0	1280231.0	1221634.0	999521.0	1238746.0	526748.0	781554.0	997511.0	1145275.0	1297666.0	913919.0	967269.0	1004996.0	959487.0	951983.0	1018081.0	1355469.0	1321044.0	1259610.0	1060068.0	1310691.0	840128.0	876463.0	1485221.0	1015327.0	729893.0	1130662.0	1341774.0	1281308.0	1305192.0	333901.0	1365521.0	1110917.0
HMP_2012__SRS058808__bin.49	1430703.0	1365640.0	1518991.0	1483003.0	960051.0	1466197.0	1545597.0	1496112.0	1458541.0	1296660.0	1487336.0	758077.0	1072975.0	1272894.0	1374245.0	1533627.0	1079724.0	1245118.0	1293785.0	1242372.0	995828.0	1326129.0	1558285.0	1566216.0	1466527.0	1337052.0	1546225.0	1175148.0	1171610.0	1015327.0	1756549.0	1034453.0	1383314.0	1540925.0	1536281.0	1523006.0	516390.0	1546070.0	1375104.0
HMP_2012__SRS019029__bin.2	1569673.0	1358627.0	1573022.0	1343039.0	662484.0	1526293.0	1594792.0	1530556.0	1629938.0	1500418.0	1387050.0	1251910.0	1333106.0	1539049.0	1557027.0	1587042.0	954466.0	1492910.0	1500740.0	1490506.0	715722.0	1574413.0	1549572.0	1646083.0	1521545.0	1550688.0	1587144.0	1515126.0	1492096.0	729893.0	1034453.0	1786050.0	1523108.0	1454491.0	1496273.0	1465188.0	831217.0	1600670.0	1610254.0
CM_periimplantitis__SP_143SPI_T016__bin.7	1924366.0	1721098.0	1958963.0	1779586.0	1039371.0	1932224.0	2017007.0	1906513.0	2015470.0	1761959.0	1783046.0	1181215.0	1497727.0	1796755.0	1903993.0	1989533.0	1274446.0	1747950.0	1769934.0	1753616.0	1087414.0	1886749.0	1974262.0	2056904.0	1910471.0	1852226.0	2009119.0	1696318.0	1731117.0	1130662.0	1383314.0	1523108.0	2216608.0	1901323.0	1919874.0	1883103.0	860386.0	2011547.0	1933999.0
CM_periimplantitis__SP_381SPT_T016__bin.14	1933035.0	1795471.0	2017628.0	1971136.0	1230072.0	1970900.0	2118999.0	2017504.0	2008451.0	1743129.0	1915910.0	1100844.0	1461993.0	1753527.0	1884456.0	2067858.0	1385392.0	1707488.0	1755503.0	1704485.0	1253087.0	1812651.0	2103358.0	2113367.0	1999875.0	1805499.0	2094692.0	1611716.0	1631966.0	1341774.0	1540925.0	1454491.0	1901323.0	2262771.0	2043298.0	2044768.0	812961.0	2086278.0	1886334.0
HMP_2012__SRS023964__bin.1	2015663.0	1822262.0	2046835.0	1970526.0	1180620.0	1969166.0	2139333.0	2044508.0	2052732.0	1739166.0	1945876.0	1160165.0	1510939.0	1793932.0	1906492.0	2089500.0	1371975.0	1732628.0	1784922.0	1743891.0	1206966.0	1858672.0	2190973.0	2147634.0	2021014.0	1841196.0	2134361.0	1664757.0	1679470.0	1281308.0	1536281.0	1496273.0	1919874.0	2043298.0	2365882.0	2086566.0	871800.0	2116450.0	1916502.0
HMP_2012__SRS023938__bin.18	1996355.0	1823463.0	2014943.0	2020422.0	1196853.0	1964289.0	2116319.0	2031321.0	2013102.0	1744357.0	1923276.0	1109317.0	1482844.0	1775925.0	1891819.0	2056330.0	1391724.0	1727618.0	1783637.0	1714053.0	1243297.0	1820076.0	2143118.0	2134912.0	2000177.0	1816226.0	2098793.0	1636322.0	1650791.0	1305192.0	1523006.0	1465188.0	1883103.0	2044768.0	2086566.0	2341671.0	825364.0	2075125.0	1895583.0
HMP_2012__SRS058053__bin.56	918377.0	755807.0	898983.0	692412.0	228413.0	881281.0	916947.0	876761.0	961211.0	841649.0	760156.0	759994.0	815197.0	879806.0	906615.0	917627.0	439912.0	970622.0	837949.0	955682.0	5152.0	921276.0	898243.0	933138.0	877173.0	890187.0	935665.0	925994.0	892624.0	333901.0	516390.0	831217.0	860386.0	812961.0	871800.0	825364.0	1266391.0	922159.0	930505.0
HMP_2012__SRS047113__bin.6	2034551.0	1868465.0	2232160.0	1962904.0	1186250.0	2050589.0	2225690.0	2116156.0	2165717.0	1820456.0	1975356.0	1258417.0	1555395.0	1873173.0	2003502.0	2192125.0	1391043.0	1833248.0	1818060.0	1829503.0	1226917.0	1948532.0	2180732.0	2246021.0	2109363.0	1926767.0	2211358.0	1766313.0	1735403.0	1365521.0	1546070.0	1600670.0	2011547.0	2086278.0	2116450.0	2075125.0	922159.0	2430966.0	2027112.0
HMP_2012__SRS013533__bin.55	1964580.0	1736320.0	1999174.0	1777437.0	999572.0	1969131.0	2027566.0	1945374.0	2114858.0	1842569.0	1785927.0	1232458.0	1551491.0	1870641.0	2015888.0	2009582.0	1256498.0	1836198.0	1820552.0	1821800.0	1035881.0	1968441.0	1987521.0	2092250.0	1936472.0	1945796.0	2043900.0	1789509.0	1780711.0	1110917.0	1375104.0	1610254.0	1933999.0	1886334.0	1916502.0	1895583.0	930505.0	2027112.0	2306408.0
