	QinN_2014__LV-6__bin.12	NielsenHB_2014__O2_UC4_2__bin.40	QinN_2014__LD-79__bin.10	QinN_2014__LD-86__bin.44	QinJ_2012__DOM022__bin.32	HeQ_2017__SZAXPI029503-106__bin.14	QinN_2014__LD-53__bin.41	QinN_2014__LD-39__bin.12	QinN_2014__LD-3__bin.24	ZellerG_2014__CCIS07539127ST-4-0__bin.15	QinN_2014__LD-44__bin.54	YuJ_2015__SZAXPI017593-158__bin.24	CM_madagascar__A11_01_1FE__bin.25	QinN_2014__LD-27__bin.7	QinN_2014__LD-22__bin.78	QinN_2014__LD-60__bin.38	QinN_2014__LV-20__bin.9	QinN_2014__LV-12__bin.14	CosteaPI_2017__SID713A062-11-0-0__bin.66	QinN_2014__LD-24__bin.31	QinN_2014__LD-65__bin.37	ZeeviD_2015__PNP_Main_636__bin.23	ZeeviD_2015__PNP_Main_44__bin.25	QinN_2014__LD-38__bin.2	QinN_2014__LD-48__bin.15	QinN_2014__LD-77__bin.38	QinJ_2012__T2D-029__bin.48	QinN_2014__LD-91__bin.8	ZellerG_2014__CCIS82146115ST-4-0__bin.54	QinN_2014__LD-45__bin.24	QinN_2014__LD-87__bin.15	QinN_2014__LD-63__bin.5	WenC_2017__N227__bin.1	QinN_2014__HD-56__bin.17	QinJ_2012__T2D-056__bin.52	QinN_2014__LD-40__bin.12	QinN_2014__LD-5__bin.25	QinN_2014__LV-16__bin.4	WenC_2017__N237__bin.61	WenC_2017__N018__bin.23	LiJ_2014__V1.CD40-0__bin.27	FengQ_2015__SID530163__bin.14
QinN_2014__LD-44__bin.54	1605740.0	1600362.0	1226967.0	1663678.0	1020064.0	1032442.0	1148348.0	1626676.0	1511296.0	1358342.0	2133670.0	1269301.0	1763511.0	1589278.0	1650386.0	945765.0	933171.0	1682137.0	1286440.0	1185358.0	1679575.0	1561497.0	1436011.0	1102905.0	1018016.0	1674956.0	864161.0	908839.0	1650279.0	1396898.0	1557208.0	1654482.0	1047644.0	1421215.0	1121017.0	950315.0	989418.0	1307277.0	1540595.0	1388470.0	1505520.0	1637964.0
YuJ_2015__SZAXPI017593-158__bin.24	1198812.0	1263086.0	993961.0	1279097.0	854501.0	676231.0	772982.0	1272492.0	1117931.0	1017481.0	1269301.0	1549866.0	1270199.0	1267361.0	1292230.0	659406.0	682687.0	1308708.0	1058519.0	999409.0	1284023.0	1238231.0	1104309.0	941023.0	791086.0	1228793.0	568795.0	568571.0	1319158.0	954182.0	1271000.0	1302545.0	659823.0	1097517.0	939862.0	658940.0	725057.0	1069731.0	1150656.0	1130599.0	1160140.0	1276687.0
CM_madagascar__A11_01_1FE__bin.25	1604682.0	1628802.0	1243353.0	1672569.0	1044961.0	1066648.0	1133194.0	1656587.0	1548687.0	1358864.0	1763511.0	1270199.0	1999265.0	1610642.0	1667177.0	952479.0	966285.0	1710457.0	1298952.0	1224874.0	1660133.0	1569643.0	1454601.0	1107114.0	1019822.0	1727994.0	847564.0	932243.0	1681193.0	1427553.0	1577194.0	1690685.0	1052866.0	1416146.0	1161707.0	949695.0	997077.0	1367736.0	1569162.0	1403965.0	1550796.0	1681184.0
QinN_2014__LD-27__bin.7	1477128.0	1579496.0	1287540.0	1603815.0	1024487.0	969724.0	1139151.0	1670082.0	1445170.0	1387464.0	1589278.0	1267361.0	1610642.0	2714397.0	1699866.0	966405.0	940376.0	1725131.0	1280860.0	1247636.0	1624832.0	1591755.0	1419794.0	1166015.0	1065082.0	1592747.0	805232.0	851921.0	1718520.0	1256922.0	1646141.0	1707407.0	956508.0	1359900.0	1158300.0	952009.0	997934.0	1319971.0	1457118.0	1447118.0	1458671.0	1587968.0
QinN_2014__LD-22__bin.78	1489670.0	1609402.0	1331964.0	1648865.0	1047240.0	992899.0	1122934.0	1768813.0	1445658.0	1448252.0	1650386.0	1292230.0	1667177.0	1699866.0	1837843.0	984083.0	986973.0	1815754.0	1307092.0	1310483.0	1677489.0	1661015.0	1433287.0	1184621.0	1084258.0	1611399.0	844113.0	885281.0	1748875.0	1285117.0	1678596.0	1794551.0	990284.0	1399825.0	1202476.0	975490.0	1073189.0	1347582.0	1473322.0	1487200.0	1530663.0	1639503.0
QinN_2014__LD-60__bin.38	817583.0	933724.0	629636.0	998125.0	468245.0	927777.0	946929.0	953484.0	783369.0	977543.0	945765.0	659406.0	952479.0	966405.0	984083.0	1080754.0	987665.0	985115.0	686246.0	500544.0	948104.0	870885.0	840134.0	556163.0	737239.0	930254.0	837133.0	880752.0	1005626.0	964727.0	943885.0	981326.0	964886.0	785094.0	534684.0	938772.0	1018567.0	656856.0	877933.0	776022.0	845658.0	953033.0
QinN_2014__LV-20__bin.9	825683.0	955625.0	641038.0	999191.0	465697.0	932784.0	899873.0	989881.0	797640.0	975284.0	933171.0	682687.0	966285.0	940376.0	986973.0	987665.0	1135230.0	1013546.0	726035.0	522249.0	953427.0	889362.0	851056.0	590384.0	749829.0	913963.0	825910.0	851855.0	999822.0	957207.0	951001.0	1002334.0	952963.0	785195.0	574407.0	942490.0	1030291.0	720597.0	860866.0	782238.0	874562.0	989839.0
QinN_2014__LV-12__bin.14	1512213.0	1619583.0	1336715.0	1704663.0	1051298.0	1027849.0	1127706.0	1797918.0	1476714.0	1455272.0	1682137.0	1308708.0	1710457.0	1725131.0	1815754.0	985115.0	1013546.0	1905287.0	1350697.0	1347594.0	1709860.0	1654469.0	1440591.0	1198947.0	1095865.0	1615531.0	872383.0	881400.0	1781020.0	1316278.0	1687282.0	1824198.0	1025647.0	1441510.0	1229863.0	975162.0	1068704.0	1381841.0	1478048.0	1489326.0	1556040.0	1661745.0
CosteaPI_2017__SID713A062-11-0-0__bin.66	1189423.0	1275379.0	1021279.0	1329611.0	889587.0	718166.0	802425.0	1305444.0	1149993.0	1042408.0	1286440.0	1058519.0	1298952.0	1280860.0	1307092.0	686246.0	726035.0	1350697.0	1577553.0	1043138.0	1276591.0	1250732.0	1159012.0	926532.0	797319.0	1242741.0	607410.0	588134.0	1311201.0	947243.0	1280777.0	1310954.0	703514.0	1152059.0	962422.0	687388.0	730854.0	1129797.0	1159122.0	1166361.0	1212632.0	1297815.0
QinN_2014__LD-24__bin.31	1145724.0	1171036.0	1056816.0	1205282.0	871722.0	560945.0	682762.0	1306167.0	1123391.0	985988.0	1185358.0	999409.0	1224874.0	1247636.0	1310483.0	500544.0	522249.0	1347594.0	1043138.0	1480496.0	1211328.0	1181715.0	1076312.0	971080.0	759666.0	1168004.0	406933.0	414714.0	1281989.0	832892.0	1231296.0	1324803.0	514181.0	1052999.0	994494.0	520412.0	582935.0	1199506.0	1062364.0	1131554.0	1140411.0	1198006.0
QinN_2014__LD-65__bin.37	1529456.0	1579170.0	1257889.0	1617927.0	987473.0	985436.0	1095982.0	1672492.0	1431980.0	1368063.0	1679575.0	1284023.0	1660133.0	1624832.0	1677489.0	948104.0	953427.0	1709860.0	1276591.0	1211328.0	1949373.0	1592133.0	1394680.0	1153339.0	1041356.0	1590804.0	855038.0	875557.0	1700208.0	1312616.0	1578670.0	1693315.0	1010491.0	1392214.0	1135416.0	948838.0	1011332.0	1285350.0	1498753.0	1386129.0	1467487.0	1585319.0
ZeeviD_2015__PNP_Main_636__bin.23	1419786.0	1538241.0	1239513.0	1547354.0	965330.0	911085.0	1010429.0	1625559.0	1355134.0	1314715.0	1561497.0	1238231.0	1569643.0	1591755.0	1661015.0	870885.0	889362.0	1654469.0	1250732.0	1181715.0	1592133.0	1709465.0	1343193.0	1132808.0	1111742.0	1502652.0	744410.0	765730.0	1667164.0	1194867.0	1563211.0	1675912.0	879667.0	1333069.0	1134806.0	882063.0	951762.0	1224326.0	1402342.0	1381072.0	1447923.0	1540352.0
ZeeviD_2015__PNP_Main_44__bin.25	1324400.0	1469977.0	1095026.0	1454804.0	942310.0	883568.0	1005537.0	1410051.0	1282266.0	1178348.0	1436011.0	1104309.0	1454601.0	1419794.0	1433287.0	840134.0	851056.0	1440591.0	1159012.0	1076312.0	1394680.0	1343193.0	1701953.0	1005722.0	880052.0	1416426.0	785107.0	774151.0	1445380.0	1138706.0	1410246.0	1436609.0	867001.0	1265757.0	1010999.0	800088.0	901282.0	1234061.0	1288474.0	1258136.0	1327105.0	1438385.0
QinN_2014__LD-38__bin.2	1036638.0	1134729.0	979233.0	1126231.0	777281.0	557118.0	684846.0	1188870.0	1003968.0	908133.0	1102905.0	941023.0	1107114.0	1166015.0	1184621.0	556163.0	590384.0	1198947.0	926532.0	971080.0	1153339.0	1132808.0	1005722.0	1660832.0	716999.0	1078015.0	456143.0	458772.0	1194239.0	786668.0	1183538.0	1201118.0	539563.0	989780.0	866985.0	538682.0	632472.0	995820.0	1003131.0	1035068.0	1013248.0	1121533.0
QinN_2014__LD-48__bin.15	922075.0	983696.0	800642.0	1022169.0	581317.0	777679.0	859644.0	1080212.0	885231.0	1048393.0	1018016.0	791086.0	1019822.0	1065082.0	1084258.0	737239.0	749829.0	1095865.0	797319.0	759666.0	1041356.0	1111742.0	880052.0	716999.0	1143884.0	992174.0	607450.0	631555.0	1106917.0	1001040.0	1051929.0	1086357.0	731339.0	867382.0	689835.0	724184.0	794356.0	824128.0	901370.0	891096.0	956046.0	1007172.0
QinN_2014__LD-77__bin.38	1546509.0	1564069.0	1190216.0	1602056.0	1007532.0	1022431.0	1107938.0	1577474.0	1483525.0	1333257.0	1674956.0	1228793.0	1727994.0	1592747.0	1611399.0	930254.0	913963.0	1615531.0	1242741.0	1168004.0	1590804.0	1502652.0	1416426.0	1078015.0	992174.0	1755615.0	815280.0	900843.0	1620373.0	1347251.0	1535376.0	1597972.0	1007383.0	1359532.0	1099592.0	961170.0	970741.0	1284818.0	1565360.0	1354483.0	1457614.0	1582090.0
QinJ_2012__T2D-029__bin.48	718089.0	818490.0	524926.0	873531.0	391957.0	821156.0	826395.0	817099.0	684039.0	822706.0	864161.0	568795.0	847564.0	805232.0	844113.0	837133.0	825910.0	872383.0	607410.0	406933.0	855038.0	744410.0	785107.0	456143.0	607450.0	815280.0	947677.0	848570.0	846174.0	862717.0	796984.0	849052.0	881122.0	706967.0	451112.0	807443.0	851974.0	556526.0	772628.0	668173.0	761293.0	835190.0
QinN_2014__LD-91__bin.8	773448.0	853713.0	553167.0	881934.0	398466.0	891289.0	869166.0	851224.0	745001.0	869645.0	908839.0	568571.0	932243.0	851921.0	885281.0	880752.0	851855.0	881400.0	588134.0	414714.0	875557.0	765730.0	774151.0	458772.0	631555.0	900843.0	848570.0	970616.0	883019.0	943376.0	820451.0	879658.0	960807.0	697721.0	465187.0	850056.0	890759.0	565979.0	857445.0	676855.0	779647.0	867388.0
ZellerG_2014__CCIS82146115ST-4-0__bin.54	1530519.0	1646117.0	1312056.0	1682591.0	1030686.0	1023872.0	1145622.0	1729146.0	1468826.0	1426413.0	1650279.0	1319158.0	1681193.0	1718520.0	1748875.0	1005626.0	999822.0	1781020.0	1311201.0	1281989.0	1700208.0	1667164.0	1445380.0	1194239.0	1106917.0	1620373.0	846174.0	883019.0	2016959.0	1331705.0	1677900.0	1800835.0	996489.0	1414628.0	1193192.0	1005558.0	1058024.0	1346916.0	1514345.0	1465568.0	1519531.0	1665391.0
QinN_2014__LD-45__bin.24	1245487.0	1269928.0	897471.0	1306378.0	708041.0	1070153.0	1099821.0	1271513.0	1180109.0	1267130.0	1396898.0	954182.0	1427553.0	1256922.0	1285117.0	964727.0	957207.0	1316278.0	947243.0	832892.0	1312616.0	1194867.0	1138706.0	786668.0	1001040.0	1347251.0	862717.0	943376.0	1331705.0	1488544.0	1221044.0	1310253.0	1044331.0	1072095.0	806420.0	963011.0	993641.0	977395.0	1243136.0	1036433.0	1177616.0	1303965.0
QinN_2014__LD-87__bin.15	1431600.0	1610744.0	1288548.0	1602482.0	1026336.0	943681.0	1087012.0	1652352.0	1380932.0	1348112.0	1557208.0	1271000.0	1577194.0	1646141.0	1678596.0	943885.0	951001.0	1687282.0	1280777.0	1231296.0	1578670.0	1563211.0	1410246.0	1183538.0	1051929.0	1535376.0	796984.0	820451.0	1677900.0	1221044.0	1954516.0	1681997.0	928433.0	1362655.0	1146449.0	907659.0	1040080.0	1357011.0	1403028.0	1478311.0	1434022.0	1621658.0
QinN_2014__LD-63__bin.5	1512521.0	1639310.0	1332710.0	1664970.0	1045842.0	1015448.0	1130899.0	1769246.0	1449382.0	1433419.0	1654482.0	1302545.0	1690685.0	1707407.0	1794551.0	981326.0	1002334.0	1824198.0	1310954.0	1324803.0	1693315.0	1675912.0	1436609.0	1201118.0	1086357.0	1597972.0	849052.0	879658.0	1800835.0	1310253.0	1681997.0	1896235.0	994035.0	1414466.0	1212243.0	969287.0	1067982.0	1355273.0	1491651.0	1473629.0	1532885.0	1670737.0
WenC_2017__N227__bin.1	882174.0	963454.0	635165.0	1016965.0	473082.0	976010.0	936547.0	961341.0	839933.0	968690.0	1047644.0	659823.0	1052866.0	956508.0	990284.0	964886.0	952963.0	1025647.0	703514.0	514181.0	1010491.0	879667.0	867001.0	539563.0	731339.0	1007383.0	881122.0	960807.0	996489.0	1044331.0	928433.0	994035.0	1098600.0	814808.0	539607.0	924377.0	979696.0	665806.0	955072.0	773050.0	872487.0	974155.0
QinN_2014__HD-56__bin.17	1294031.0	1461862.0	1075406.0	1575084.0	965795.0	825023.0	926061.0	1405449.0	1250189.0	1123251.0	1421215.0	1097517.0	1416146.0	1359900.0	1399825.0	785094.0	785195.0	1441510.0	1152059.0	1052999.0	1392214.0	1333069.0	1265757.0	989780.0	867382.0	1359532.0	706967.0	697721.0	1414628.0	1072095.0	1362655.0	1414466.0	814808.0	1681594.0	987029.0	761228.0	818474.0	1262545.0	1249184.0	1217758.0	1359931.0	1472491.0
QinJ_2012__T2D-056__bin.52	1062524.0	1105679.0	975016.0	1140347.0	787304.0	592960.0	669097.0	1205428.0	1054458.0	909502.0	1121017.0	939862.0	1161707.0	1158300.0	1202476.0	534684.0	574407.0	1229863.0	962422.0	994494.0	1135416.0	1134806.0	1010999.0	866985.0	689835.0	1099592.0	451112.0	465187.0	1193192.0	806420.0	1146449.0	1212243.0	539607.0	987029.0	1612263.0	543436.0	587957.0	993225.0	1005311.0	1039275.0	1078353.0	1135020.0
QinN_2014__LD-40__bin.12	835833.0	908961.0	631392.0	949904.0	461104.0	890117.0	923827.0	949367.0	774712.0	988300.0	950315.0	658940.0	949695.0	952009.0	975490.0	938772.0	942490.0	975162.0	687388.0	520412.0	948838.0	882063.0	800088.0	538682.0	724184.0	961170.0	807443.0	850056.0	1005558.0	963011.0	907659.0	969287.0	924377.0	761228.0	543436.0	1059827.0	944442.0	625784.0	899227.0	750135.0	838358.0	927965.0
QinN_2014__LD-5__bin.25	860169.0	1002636.0	705190.0	1032458.0	518175.0	932364.0	946655.0	1030186.0	816402.0	1033164.0	989418.0	725057.0	997077.0	997934.0	1073189.0	1018567.0	1030291.0	1068704.0	730854.0	582935.0	1011332.0	951762.0	901282.0	632472.0	794356.0	970741.0	851974.0	890759.0	1058024.0	993641.0	1040080.0	1067982.0	979696.0	818474.0	587957.0	944442.0	1147953.0	743264.0	908194.0	864259.0	887477.0	1023378.0
QinN_2014__LV-16__bin.4	1229584.0	1467514.0	1080705.0	1455846.0	1011859.0	716176.0	850515.0	1345993.0	1223108.0	1036978.0	1307277.0	1069731.0	1367736.0	1319971.0	1347582.0	656856.0	720597.0	1381841.0	1129797.0	1199506.0	1285350.0	1224326.0	1234061.0	995820.0	824128.0	1284818.0	556526.0	565979.0	1346916.0	977395.0	1357011.0	1355273.0	665806.0	1262545.0	993225.0	625784.0	743264.0	1681472.0	1174836.0	1239239.0	1322174.0	1462293.0
WenC_2017__N237__bin.61	1430820.0	1486747.0	1079959.0	1472813.0	919845.0	965314.0	1002450.0	1440299.0	1350186.0	1239057.0	1540595.0	1150656.0	1569162.0	1457118.0	1473322.0	877933.0	860866.0	1478048.0	1159122.0	1062364.0	1498753.0	1402342.0	1288474.0	1003131.0	901370.0	1565360.0	772628.0	857445.0	1514345.0	1243136.0	1403028.0	1491651.0	955072.0	1249184.0	1005311.0	899227.0	908194.0	1174836.0	1619749.0	1241472.0	1344784.0	1478004.0
WenC_2017__N018__bin.23	1270041.0	1414581.0	1124636.0	1418888.0	948428.0	784726.0	919564.0	1460865.0	1240913.0	1163796.0	1388470.0	1130599.0	1403965.0	1447118.0	1487200.0	776022.0	782238.0	1489326.0	1166361.0	1131554.0	1386129.0	1381072.0	1258136.0	1035068.0	891096.0	1354483.0	668173.0	676855.0	1465568.0	1036433.0	1478311.0	1473629.0	773050.0	1217758.0	1039275.0	750135.0	864259.0	1239239.0	1241472.0	2018381.0	1295507.0	1437528.0
LiJ_2014__V1.CD40-0__bin.27	1382280.0	1534107.0	1133377.0	1595862.0	1002990.0	936699.0	1015420.0	1523211.0	1350445.0	1218571.0	1505520.0	1160140.0	1550796.0	1458671.0	1530663.0	845658.0	874562.0	1556040.0	1212632.0	1140411.0	1467487.0	1447923.0	1327105.0	1013248.0	956046.0	1457614.0	761293.0	779647.0	1519531.0	1177616.0	1434022.0	1532885.0	872487.0	1359931.0	1078353.0	838358.0	887477.0	1322174.0	1344784.0	1295507.0	1666417.0	1606361.0
FengQ_2015__SID530163__bin.14	1508045.0	1753341.0	1222158.0	1751047.0	1104201.0	1002063.0	1139678.0	1623559.0	1454641.0	1324809.0	1637964.0	1276687.0	1681184.0	1587968.0	1639503.0	953033.0	989839.0	1661745.0	1297815.0	1198006.0	1585319.0	1540352.0	1438385.0	1121533.0	1007172.0	1582090.0	835190.0	867388.0	1665391.0	1303965.0	1621658.0	1670737.0	974155.0	1472491.0	1135020.0	927965.0	1023378.0	1462293.0	1478004.0	1437528.0	1606361.0	2103026.0
