	QinN_2014__LV-6__bin.12	NielsenHB_2014__O2_UC4_2__bin.40	QinN_2014__LD-79__bin.10	QinN_2014__LD-86__bin.44	QinJ_2012__DOM022__bin.32	HeQ_2017__SZAXPI029503-106__bin.14	QinN_2014__LD-53__bin.41	QinN_2014__LD-39__bin.12	QinN_2014__LD-3__bin.24	ZellerG_2014__CCIS07539127ST-4-0__bin.15	QinN_2014__LD-44__bin.54	YuJ_2015__SZAXPI017593-158__bin.24	CM_madagascar__A11_01_1FE__bin.25	QinN_2014__LD-27__bin.7	QinN_2014__LD-22__bin.78	QinN_2014__LD-60__bin.38	QinN_2014__LV-20__bin.9	QinN_2014__LV-12__bin.14	CosteaPI_2017__SID713A062-11-0-0__bin.66	QinN_2014__LD-24__bin.31	QinN_2014__LD-65__bin.37	ZeeviD_2015__PNP_Main_636__bin.23	ZeeviD_2015__PNP_Main_44__bin.25	QinN_2014__LD-38__bin.2	QinN_2014__LD-48__bin.15	QinN_2014__LD-77__bin.38	QinJ_2012__T2D-029__bin.48	QinN_2014__LD-91__bin.8	ZellerG_2014__CCIS82146115ST-4-0__bin.54	QinN_2014__LD-45__bin.24	QinN_2014__LD-87__bin.15	QinN_2014__LD-63__bin.5	WenC_2017__N227__bin.1	QinN_2014__HD-56__bin.17	QinJ_2012__T2D-056__bin.52	QinN_2014__LD-40__bin.12	QinN_2014__LD-5__bin.25	QinN_2014__LV-16__bin.4	WenC_2017__N237__bin.61	WenC_2017__N018__bin.23	LiJ_2014__V1.CD40-0__bin.27	FengQ_2015__SID530163__bin.14
CosteaPI_2017__SID713A062-11-0-0__bin.66	20295.0	23538.0	5558.0	24501.0	22632.0	10887.0	15091.0	7459.0	20486.0	5381.0	21711.0	4586.0	23119.0	5574.0	5760.0	4106.0	5455.0	7834.0	0.0	5709.0	10876.0	3769.0	22288.0	5729.0	1890.0	20379.0	10656.0	8018.0	5250.0	16861.0	6108.0	6009.0	10739.0	20643.0	5678.0	3706.0	4310.0	22247.0	18761.0	6283.0	19170.0	22701.0
QinN_2014__LD-24__bin.31	20607.0	24031.0	2266.0	24754.0	24528.0	8638.0	13298.0	3550.0	20345.0	1748.0	19471.0	2227.0	22102.0	3328.0	1088.0	2847.0	2656.0	3040.0	5709.0	0.0	6395.0	2167.0	23679.0	3300.0	404.0	18789.0	7748.0	4929.0	4747.0	15714.0	4571.0	2528.0	7049.0	20633.0	4194.0	3043.0	1511.0	23648.0	16443.0	5043.0	21181.0	24604.0
QinN_2014__LD-65__bin.37	15301.0	28487.0	7147.0	28512.0	25819.0	9191.0	18109.0	10071.0	14753.0	6163.0	15695.0	7485.0	17842.0	9283.0	8316.0	5452.0	5694.0	7933.0	10876.0	6395.0	0.0	9642.0	24632.0	10039.0	4561.0	14588.0	16117.0	7145.0	11720.0	12550.0	9514.0	10152.0	8484.0	22945.0	7302.0	5685.0	6608.0	22183.0	15570.0	8529.0	23067.0	29704.0
ZeeviD_2015__PNP_Main_636__bin.23	22409.0	29942.0	2706.0	28901.0	25900.0	11368.0	18025.0	3582.0	21332.0	594.0	23979.0	2976.0	24938.0	1464.0	1691.0	394.0	650.0	2407.0	3769.0	2167.0	9642.0	0.0	25057.0	3377.0	472.0	21643.0	11495.0	7504.0	2682.0	18766.0	2732.0	3358.0	10145.0	23520.0	2894.0	438.0	365.0	21932.0	20908.0	3051.0	23737.0	28931.0
ZeeviD_2015__PNP_Main_44__bin.25	24018.0	27121.0	24801.0	26527.0	25680.0	13074.0	18507.0	28026.0	24166.0	23529.0	25874.0	21186.0	26489.0	28616.0	28696.0	14181.0	14848.0	28998.0	22288.0	23679.0	24632.0	25057.0	0.0	23242.0	14863.0	25098.0	11601.0	11813.0	27922.0	19162.0	28455.0	29214.0	13199.0	22805.0	22467.0	13451.0	16000.0	23178.0	22873.0	25381.0	22718.0	27272.0
QinN_2014__LD-38__bin.2	20667.0	25777.0	5390.0	24672.0	23073.0	9062.0	15860.0	6798.0	20366.0	3835.0	21254.0	4556.0	21214.0	5681.0	4466.0	4459.0	2409.0	4979.0	5729.0	3300.0	10039.0	3377.0	23242.0	0.0	2340.0	19945.0	9870.0	7537.0	6298.0	15742.0	6440.0	5582.0	9187.0	21103.0	4058.0	4594.0	4833.0	21105.0	18519.0	5624.0	19623.0	24457.0
QinN_2014__LD-48__bin.15	13358.0	16892.0	1701.0	17449.0	14889.0	8784.0	14912.0	1853.0	13896.0	372.0	13766.0	643.0	13980.0	792.0	325.0	241.0	368.0	531.0	1890.0	404.0	4561.0	472.0	14863.0	2340.0	0.0	13597.0	8601.0	5026.0	572.0	13589.0	1296.0	1130.0	6740.0	13765.0	1359.0	183.0	228.0	12921.0	11778.0	1290.0	14435.0	16911.0
QinN_2014__LD-77__bin.38	1830.0	26290.0	20481.0	26554.0	28099.0	2925.0	17475.0	24294.0	2250.0	20338.0	1776.0	18119.0	1106.0	24843.0	24618.0	11754.0	12649.0	24496.0	20379.0	18789.0	14588.0	21643.0	25098.0	19945.0	13597.0	0.0	12718.0	881.0	23716.0	620.0	24005.0	24437.0	506.0	19334.0	18594.0	11422.0	13309.0	21838.0	1574.0	21039.0	22620.0	27723.0
QinJ_2012__T2D-029__bin.48	12081.0	11915.0	10400.0	13348.0	9147.0	12230.0	15063.0	14478.0	11525.0	14825.0	14725.0	9907.0	13900.0	15078.0	14978.0	14662.0	14261.0	17025.0	10656.0	7748.0	16117.0	11495.0	11601.0	9870.0	8601.0	12718.0	0.0	13102.0	15104.0	14462.0	14519.0	15549.0	15186.0	10515.0	8865.0	14556.0	14176.0	7829.0	12389.0	12092.0	10314.0	13406.0
QinN_2014__LD-91__bin.8	1819.0	12449.0	7905.0	12734.0	9426.0	2821.0	12589.0	10207.0	1424.0	10637.0	1556.0	6288.0	1219.0	10527.0	10768.0	10586.0	11483.0	10398.0	8018.0	4929.0	7145.0	7504.0	11813.0	7537.0	5026.0	881.0	13102.0	0.0	9827.0	206.0	10101.0	10572.0	412.0	8115.0	6496.0	9717.0	11031.0	7713.0	1494.0	8720.0	9910.0	12785.0
ZellerG_2014__CCIS82146115ST-4-0__bin.54	25069.0	32424.0	5251.0	33129.0	27530.0	14279.0	22663.0	6935.0	24476.0	4675.0	25407.0	4935.0	26849.0	5641.0	4408.0	4980.0	5372.0	5862.0	5250.0	4747.0	11720.0	2682.0	27922.0	6298.0	572.0	23716.0	15104.0	9827.0	0.0	22068.0	4856.0	7205.0	12139.0	25690.0	5081.0	3591.0	3400.0	24760.0	22765.0	4664.0	25799.0	32568.0
QinN_2014__LD-45__bin.24	2601.0	21355.0	16363.0	22630.0	19083.0	3500.0	16715.0	20770.0	3319.0	19552.0	2392.0	14016.0	4997.0	20070.0	20045.0	12096.0	14441.0	21926.0	16861.0	15714.0	12550.0	18766.0	19162.0	15742.0	13589.0	620.0	14462.0	206.0	22068.0	0.0	20071.0	22672.0	1718.0	16252.0	15326.0	11671.0	13225.0	16001.0	2238.0	16651.0	18401.0	24413.0
QinN_2014__LD-87__bin.15	23333.0	31415.0	5669.0	31872.0	28020.0	13347.0	20988.0	7408.0	23265.0	5311.0	24530.0	3868.0	25911.0	5609.0	5524.0	5219.0	5396.0	5653.0	6108.0	4571.0	9514.0	2732.0	28455.0	6440.0	1296.0	24005.0	14519.0	10101.0	4856.0	20071.0	0.0	6024.0	12345.0	25410.0	5272.0	3473.0	3148.0	21507.0	21514.0	4050.0	25757.0	30991.0
QinN_2014__LD-63__bin.5	25680.0	33800.0	3155.0	33366.0	28595.0	14117.0	21368.0	3868.0	24236.0	1673.0	25763.0	4507.0	28867.0	4614.0	1049.0	3366.0	3086.0	1833.0	6009.0	2528.0	10152.0	3358.0	29214.0	5582.0	1130.0	24437.0	15549.0	10572.0	7205.0	22672.0	6024.0	0.0	13010.0	26780.0	3860.0	3822.0	2405.0	25454.0	23681.0	5915.0	26821.0	34376.0
WenC_2017__N227__bin.1	2068.0	14300.0	9520.0	15528.0	11625.0	2523.0	13430.0	12442.0	1693.0	12404.0	1478.0	8311.0	1963.0	12384.0	12433.0	12088.0	13313.0	12663.0	10739.0	7049.0	8484.0	10145.0	13199.0	9187.0	6740.0	506.0	15186.0	412.0	12139.0	1718.0	12345.0	13010.0	0.0	10198.0	7795.0	10925.0	11809.0	8329.0	1366.0	10125.0	10656.0	14748.0
QinN_2014__HD-56__bin.17	20197.0	8235.0	21266.0	3361.0	22049.0	9607.0	15819.0	25571.0	19629.0	20051.0	21765.0	19204.0	21272.0	25003.0	25208.0	11103.0	12862.0	27104.0	20643.0	20633.0	22945.0	23520.0	22805.0	21103.0	13765.0	19334.0	10515.0	8115.0	25690.0	16252.0	25410.0	26780.0	10198.0	0.0	19516.0	12020.0	12416.0	6954.0	17277.0	21268.0	14108.0	19843.0
QinJ_2012__T2D-056__bin.52	19198.0	23848.0	3396.0	24087.0	21945.0	9761.0	13673.0	5790.0	20060.0	2925.0	19329.0	2879.0	21747.0	3674.0	3494.0	2533.0	2822.0	4161.0	5678.0	4194.0	7302.0	2894.0	22467.0	4058.0	1359.0	18594.0	8865.0	6496.0	5081.0	15326.0	5272.0	3860.0	7795.0	19516.0	0.0	3245.0	2787.0	20454.0	16713.0	5051.0	21282.0	23512.0
QinN_2014__LD-40__bin.12	9832.0	15547.0	4006.0	16859.0	11029.0	11110.0	15844.0	4404.0	10518.0	4324.0	11188.0	2748.0	11427.0	4097.0	3652.0	4400.0	4566.0	3835.0	3706.0	3043.0	5685.0	438.0	13451.0	4594.0	183.0	11422.0	14556.0	9717.0	3591.0	11671.0	3473.0	3822.0	10925.0	12020.0	3245.0	0.0	3620.0	9671.0	11101.0	3605.0	12309.0	15483.0
QinN_2014__LD-5__bin.25	12552.0	16605.0	3041.0	17910.0	12446.0	11478.0	17558.0	3674.0	12475.0	2928.0	13783.0	2872.0	13959.0	4701.0	2854.0	4966.0	4932.0	2436.0	4310.0	1511.0	6608.0	365.0	16000.0	4833.0	228.0	13309.0	14176.0	11031.0	3400.0	13225.0	3148.0	2405.0	11809.0	12416.0	2787.0	3620.0	0.0	10778.0	12789.0	3627.0	13923.0	17124.0
QinN_2014__LV-16__bin.4	21629.0	5774.0	21354.0	7825.0	22463.0	10882.0	14298.0	24910.0	22257.0	18160.0	22244.0	18493.0	25072.0	24031.0	24756.0	11019.0	14070.0	25718.0	22247.0	23648.0	22183.0	21932.0	23178.0	21105.0	12921.0	21838.0	7829.0	7713.0	24760.0	16001.0	21507.0	25454.0	8329.0	6954.0	20454.0	9671.0	10778.0	0.0	19382.0	20527.0	14832.0	18438.0
WenC_2017__N237__bin.61	3053.0	24712.0	18209.0	23884.0	25002.0	3373.0	15869.0	22072.0	2182.0	18867.0	3193.0	17448.0	3136.0	22222.0	22339.0	11631.0	12412.0	22519.0	18761.0	16443.0	15570.0	20908.0	22873.0	18519.0	11778.0	1574.0	12389.0	1494.0	22765.0	2238.0	21514.0	23681.0	1366.0	17277.0	16713.0	11101.0	12789.0	19382.0	0.0	19186.0	19908.0	26692.0
WenC_2017__N018__bin.23	21114.0	26826.0	5110.0	26676.0	25572.0	10963.0	18399.0	6965.0	20528.0	5366.0	21890.0	3798.0	22731.0	5358.0	6066.0	5148.0	5234.0	6070.0	6283.0	5043.0	8529.0	3051.0	25381.0	5624.0	1290.0	21039.0	12092.0	8720.0	4664.0	16651.0	4050.0	5915.0	10125.0	21268.0	5051.0	3605.0	3627.0	20527.0	19186.0	0.0	23551.0	26898.0
LiJ_2014__V1.CD40-0__bin.27	23102.0	15021.0	20945.0	16358.0	19701.0	13255.0	14212.0	25376.0	24023.0	19356.0	23966.0	19267.0	25746.0	24538.0	26101.0	11762.0	13140.0	27068.0	19170.0	21181.0	23067.0	23737.0	22718.0	19623.0	14435.0	22620.0	10314.0	9910.0	25799.0	18401.0	25757.0	26821.0	10656.0	14108.0	21282.0	12309.0	13923.0	14832.0	19908.0	23551.0	0.0	3692.0
FengQ_2015__SID530163__bin.14	29013.0	21325.0	26110.0	24417.0	23808.0	15911.0	20293.0	29843.0	27273.0	24706.0	30830.0	23820.0	32137.0	30876.0	31161.0	16404.0	18040.0	32226.0	22701.0	24604.0	29704.0	28931.0	27272.0	24457.0	16911.0	27723.0	13406.0	12785.0	32568.0	24413.0	30991.0	34376.0	14748.0	19843.0	23512.0	15483.0	17124.0	18438.0	26692.0	26898.0	3692.0	0.0
