	KarlssonFH_2013__S526__bin.12	LiJ_2014__O2.UC7-0__bin.8	ZeeviD_2015__PNP_Main_146__bin.45	VogtmannE_2016__MMRS34569532ST-27-0-0__bin.69	HanniganGD_2017__MG100203__bin.10	BackhedF_2015__SID521_12M__bin.4	KarlssonFH_2013__S229__bin.23	LeChatelierE_2013__MH0409__bin.57	AsnicarF_2017__MV_FEM2_t1Q14__bin.17	ZeeviD_2015__PNP_Main_120__bin.5	XieH_2016__YSZC12003_37192R1__bin.23	FerrettiP_2018__CA_C10020IS2339FE_t2M15__bin.5	XieH_2016__YSZC12003_36522__bin.85	XieH_2016__YSZC12003_35542__bin.22	ZellerG_2014__CCMD63399960ST-21-0__bin.74	VogtmannE_2016__MMRS25641480ST-27-0-0__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES48__bin.98	XieH_2016__YSZC12003_35665__bin.48	XieH_2016__YSZC12003_37097__bin.56	FerrettiP_2018__CA_C10020MS2332FE_t0M15__bin.8	LeChatelierE_2013__MH0230__bin.16	HMP_2012__SRS018656__bin.25	KarlssonFH_2013__S193__bin.9	VogtmannE_2016__MMRS93621581ST-27-0-0__bin.47	XieH_2016__YSZC12003_35583__bin.69	FengQ_2015__SID31685__bin.47	XieH_2016__YSZC12003_37798__bin.28	ZeeviD_2015__PNP_Main_139__bin.1
XieH_2016__YSZC12003_37192R1__bin.23	15861.0	12739.0	545.0	3511.0	16626.0	21759.0	1673.0	1712.0	644.0	24258.0	0.0	611.0	19549.0	20621.0	20697.0	21646.0	2853.0	791.0	19709.0	731.0	21265.0	20654.0	700.0	21297.0	21311.0	771.0	20734.0	665.0
FerrettiP_2018__CA_C10020IS2339FE_t2M15__bin.5	13425.0	10879.0	442.0	2889.0	14212.0	16793.0	1445.0	877.0	604.0	20306.0	611.0	0.0	15690.0	17045.0	16417.0	16781.0	2564.0	492.0	16062.0	530.0	16437.0	16249.0	562.0	16226.0	16476.0	683.0	16155.0	434.0
XieH_2016__YSZC12003_36522__bin.85	16358.0	2204.0	10841.0	15058.0	421.0	896.0	13778.0	18648.0	19166.0	19275.0	19549.0	15690.0	0.0	1714.0	638.0	17397.0	10852.0	19449.0	1971.0	19775.0	376.0	428.0	19698.0	16397.0	532.0	20185.0	330.0	19565.0
XieH_2016__YSZC12003_35542__bin.22	17640.0	2770.0	12021.0	16191.0	1368.0	2330.0	14537.0	20195.0	20709.0	19455.0	20621.0	17045.0	1714.0	0.0	1889.0	18509.0	11964.0	20484.0	3037.0	20570.0	1804.0	1796.0	20706.0	16968.0	1717.0	20888.0	1868.0	20822.0
ZellerG_2014__CCMD63399960ST-21-0__bin.74	17632.0	2310.0	11442.0	16195.0	571.0	1349.0	14543.0	19906.0	20163.0	20378.0	20697.0	16417.0	638.0	1889.0	0.0	19482.0	11608.0	20680.0	2244.0	20985.0	590.0	676.0	21133.0	17366.0	764.0	21109.0	417.0	20734.0
VogtmannE_2016__MMRS25641480ST-27-0-0__bin.5	18574.0	11435.0	12118.0	16154.0	14889.0	20528.0	14330.0	20588.0	20718.0	22495.0	21646.0	16781.0	17397.0	18509.0	19482.0	0.0	12433.0	21445.0	17268.0	21602.0	19649.0	19407.0	21496.0	379.0	19812.0	21957.0	18166.0	20822.0
Bengtsson-PalmeJ_2015__TRAVELRES48__bin.98	9416.0	8119.0	1843.0	3635.0	9956.0	11670.0	2582.0	3016.0	2732.0	13278.0	2853.0	2564.0	10852.0	11964.0	11608.0	12433.0	0.0	2751.0	11081.0	2699.0	11474.0	11448.0	2938.0	11939.0	11419.0	2881.0	11144.0	2796.0
XieH_2016__YSZC12003_35665__bin.48	15572.0	12757.0	467.0	3462.0	16535.0	21229.0	1710.0	1667.0	504.0	24012.0	791.0	492.0	19449.0	20484.0	20680.0	21445.0	2751.0	0.0	19314.0	602.0	21105.0	20519.0	647.0	20783.0	20801.0	889.0	20538.0	614.0
XieH_2016__YSZC12003_37097__bin.56	16804.0	2664.0	11154.0	15086.0	1723.0	2488.0	13758.0	19013.0	19037.0	19748.0	19709.0	16062.0	1971.0	3037.0	2244.0	17268.0	11081.0	19314.0	0.0	19595.0	2865.0	1957.0	19547.0	16604.0	2224.0	19661.0	2317.0	19637.0
FerrettiP_2018__CA_C10020MS2332FE_t0M15__bin.8	15588.0	12623.0	461.0	3552.0	16597.0	21613.0	1588.0	1186.0	696.0	24237.0	731.0	530.0	19775.0	20570.0	20985.0	21602.0	2699.0	602.0	19595.0	0.0	21045.0	20786.0	770.0	21018.0	21015.0	939.0	20646.0	542.0
LeChatelierE_2013__MH0230__bin.16	17487.0	2283.0	11421.0	15922.0	437.0	1163.0	14476.0	20019.0	20327.0	20409.0	21265.0	16437.0	376.0	1804.0	590.0	19649.0	11474.0	21105.0	2865.0	21045.0	0.0	440.0	21516.0	17776.0	297.0	21705.0	296.0	21131.0
HMP_2012__SRS018656__bin.25	17379.0	2265.0	11432.0	15975.0	460.0	1125.0	14170.0	19793.0	20033.0	20495.0	20654.0	16249.0	428.0	1796.0	676.0	19407.0	11448.0	20519.0	1957.0	20786.0	440.0	0.0	21078.0	17292.0	553.0	21152.0	501.0	22960.0
KarlssonFH_2013__S193__bin.9	15510.0	12737.0	508.0	3553.0	16596.0	21549.0	1805.0	1638.0	501.0	24329.0	700.0	562.0	19698.0	20706.0	21133.0	21496.0	2938.0	647.0	19547.0	770.0	21516.0	21078.0	0.0	21456.0	21567.0	718.0	20614.0	687.0
VogtmannE_2016__MMRS93621581ST-27-0-0__bin.47	17905.0	10955.0	11694.0	15767.0	14460.0	18144.0	13930.0	19796.0	19895.0	21735.0	21297.0	16226.0	16397.0	16968.0	17366.0	379.0	11939.0	20783.0	16604.0	21018.0	17776.0	17292.0	21456.0	0.0	17869.0	21610.0	17153.0	20220.0
XieH_2016__YSZC12003_35583__bin.69	17486.0	2272.0	11465.0	15967.0	429.0	1223.0	14464.0	20037.0	20265.0	20602.0	21311.0	16476.0	532.0	1717.0	764.0	19812.0	11419.0	20801.0	2224.0	21015.0	297.0	553.0	21567.0	17869.0	0.0	21950.0	534.0	21191.0
FengQ_2015__SID31685__bin.47	15771.0	12732.0	527.0	3573.0	16821.0	21689.0	1735.0	1471.0	562.0	24363.0	771.0	683.0	20185.0	20888.0	21109.0	21957.0	2881.0	889.0	19661.0	939.0	21705.0	21152.0	718.0	21610.0	21950.0	0.0	21250.0	706.0
XieH_2016__YSZC12003_37798__bin.28	17055.0	2267.0	11062.0	15596.0	578.0	1003.0	14167.0	19362.0	19842.0	19921.0	20734.0	16155.0	330.0	1868.0	417.0	18166.0	11144.0	20538.0	2317.0	20646.0	296.0	501.0	20614.0	17153.0	534.0	21250.0	0.0	20518.0
ZeeviD_2015__PNP_Main_139__bin.1	15277.0	12733.0	399.0	3563.0	16576.0	21184.0	1784.0	1368.0	799.0	26435.0	665.0	434.0	19565.0	20822.0	20734.0	20822.0	2796.0	614.0	19637.0	542.0	21131.0	22960.0	687.0	20220.0	21191.0	706.0	20518.0	0.0
