	KarlssonFH_2013__S526__bin.12	LiJ_2014__O2.UC7-0__bin.8	ZeeviD_2015__PNP_Main_146__bin.45	VogtmannE_2016__MMRS34569532ST-27-0-0__bin.69	HanniganGD_2017__MG100203__bin.10	BackhedF_2015__SID521_12M__bin.4	KarlssonFH_2013__S229__bin.23	LeChatelierE_2013__MH0409__bin.57	AsnicarF_2017__MV_FEM2_t1Q14__bin.17	ZeeviD_2015__PNP_Main_120__bin.5	XieH_2016__YSZC12003_37192R1__bin.23	FerrettiP_2018__CA_C10020IS2339FE_t2M15__bin.5	XieH_2016__YSZC12003_36522__bin.85	XieH_2016__YSZC12003_35542__bin.22	ZellerG_2014__CCMD63399960ST-21-0__bin.74	VogtmannE_2016__MMRS25641480ST-27-0-0__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES48__bin.98	XieH_2016__YSZC12003_35665__bin.48	XieH_2016__YSZC12003_37097__bin.56	FerrettiP_2018__CA_C10020MS2332FE_t0M15__bin.8	LeChatelierE_2013__MH0230__bin.16	HMP_2012__SRS018656__bin.25	KarlssonFH_2013__S193__bin.9	VogtmannE_2016__MMRS93621581ST-27-0-0__bin.47	XieH_2016__YSZC12003_35583__bin.69	FengQ_2015__SID31685__bin.47	XieH_2016__YSZC12003_37798__bin.28	ZeeviD_2015__PNP_Main_139__bin.1
XieH_2016__YSZC12003_37192R1__bin.23	2431194.0	1577496.0	1812509.0	1839113.0	2357375.0	2771085.0	1962615.0	2753196.0	2832915.0	2759524.0	2982136.0	2421649.0	2614198.0	2637320.0	2763673.0	2801136.0	1657929.0	3027015.0	2523922.0	3000822.0	2791116.0	2773457.0	2995101.0	2691044.0	2790307.0	3067747.0	2717107.0	2935913.0
FerrettiP_2018__CA_C10020IS2339FE_t2M15__bin.5	2124791.0	1405264.0	1609742.0	1598531.0	2060518.0	2355654.0	1674848.0	2325905.0	2402434.0	2340050.0	2421649.0	2429584.0	2234457.0	2268791.0	2357357.0	2370661.0	1476527.0	2416818.0	2172220.0	2427832.0	2361679.0	2348953.0	2424800.0	2291541.0	2357909.0	2425777.0	2298983.0	2418237.0
XieH_2016__YSZC12003_36522__bin.85	2287435.0	1496401.0	1651945.0	1647416.0	2282987.0	2787661.0	1775084.0	2463374.0	2575751.0	2645695.0	2614198.0	2234457.0	2798523.0	2601967.0	2808308.0	2687243.0	1497376.0	2623270.0	2475472.0	2644976.0	2811624.0	2765316.0	2638075.0	2613990.0	2825089.0	2645075.0	2806691.0	2619146.0
XieH_2016__YSZC12003_35542__bin.22	2315856.0	1575355.0	1698026.0	1714323.0	2343031.0	2783813.0	1810025.0	2519735.0	2609248.0	2663819.0	2637320.0	2268791.0	2601967.0	2837688.0	2806103.0	2703264.0	1571975.0	2628931.0	2498314.0	2645019.0	2795761.0	2802787.0	2643415.0	2592426.0	2784675.0	2646323.0	2670429.0	2632989.0
ZellerG_2014__CCMD63399960ST-21-0__bin.74	2395058.0	1609430.0	1748064.0	1770637.0	2459179.0	3001746.0	1893874.0	2616978.0	2721227.0	2786636.0	2763673.0	2357357.0	2808308.0	2806103.0	3059323.0	2848214.0	1609125.0	2765719.0	2614953.0	2783255.0	3058375.0	3034098.0	2783538.0	2751886.0	3066093.0	2786019.0	2886570.0	2773381.0
VogtmannE_2016__MMRS25641480ST-27-0-0__bin.5	2408775.0	1594321.0	1765304.0	1776437.0	2396940.0	2855504.0	1903024.0	2633765.0	2737622.0	2823191.0	2801136.0	2370661.0	2687243.0	2703264.0	2848214.0	3148368.0	1618250.0	2811477.0	2582327.0	2828598.0	2870161.0	2855013.0	2822881.0	2945111.0	2875568.0	2827195.0	2788185.0	2798675.0
Bengtsson-PalmeJ_2015__TRAVELRES48__bin.98	1474609.0	1033302.0	1151169.0	1143427.0	1430445.0	1605747.0	1201663.0	1607384.0	1642114.0	1594000.0	1657929.0	1476527.0	1497376.0	1571975.0	1609125.0	1618250.0	1676457.0	1653318.0	1486547.0	1658480.0	1610486.0	1603205.0	1657768.0	1561378.0	1602283.0	1658090.0	1552943.0	1654612.0
XieH_2016__YSZC12003_35665__bin.48	2426754.0	1577227.0	1806064.0	1825326.0	2359588.0	2779422.0	1963007.0	2743345.0	2842572.0	2758790.0	3027015.0	2416818.0	2623270.0	2628931.0	2765719.0	2811477.0	1653318.0	2959921.0	2524745.0	2998524.0	2796085.0	2783884.0	3036702.0	2699199.0	2799120.0	3056901.0	2725744.0	2980467.0
XieH_2016__YSZC12003_37097__bin.56	2200220.0	1479350.0	1622309.0	1640169.0	2212904.0	2614347.0	1732070.0	2405465.0	2478471.0	2533978.0	2523922.0	2172220.0	2475472.0	2498314.0	2614953.0	2582327.0	1486547.0	2524745.0	2687970.0	2533247.0	2650125.0	2619340.0	2532166.0	2484982.0	2635174.0	2534938.0	2559162.0	2521667.0
FerrettiP_2018__CA_C10020MS2332FE_t0M15__bin.8	2440900.0	1577804.0	1817501.0	1842150.0	2372810.0	2803963.0	1975761.0	2793174.0	2854177.0	2788544.0	3000822.0	2427832.0	2644976.0	2645019.0	2783255.0	2828598.0	1658480.0	2998524.0	2533247.0	3063723.0	2813128.0	2801511.0	3054356.0	2718598.0	2825846.0	3104568.0	2752840.0	2980826.0
LeChatelierE_2013__MH0230__bin.16	2407239.0	1609620.0	1754580.0	1763229.0	2447024.0	3032821.0	1894529.0	2634169.0	2732509.0	2808286.0	2791116.0	2361679.0	2811624.0	2795761.0	3058375.0	2870161.0	1610486.0	2796085.0	2650125.0	2813128.0	3059624.0	3016608.0	2812166.0	2747227.0	3012998.0	2818506.0	2974015.0	2795788.0
HMP_2012__SRS018656__bin.25	2395944.0	1608366.0	1753910.0	1761946.0	2458077.0	2973690.0	1884088.0	2621468.0	2723705.0	2829163.0	2773457.0	2348953.0	2765316.0	2802787.0	3034098.0	2855013.0	1603205.0	2783884.0	2619340.0	2801511.0	3016608.0	3092339.0	2799792.0	2732154.0	2995295.0	2803571.0	2915034.0	2797575.0
KarlssonFH_2013__S193__bin.9	2435802.0	1577247.0	1815872.0	1840030.0	2373418.0	2791631.0	1976293.0	2763731.0	2865816.0	2771653.0	2995101.0	2424800.0	2638075.0	2643415.0	2783538.0	2822881.0	1657768.0	3036702.0	2532166.0	3054356.0	2812166.0	2799792.0	3020853.0	2719048.0	2815420.0	3036020.0	2738712.0	2975542.0
VogtmannE_2016__MMRS93621581ST-27-0-0__bin.47	2314731.0	1544995.0	1712440.0	1706547.0	2319704.0	2722568.0	1832961.0	2529880.0	2630290.0	2708232.0	2691044.0	2291541.0	2613990.0	2592426.0	2751886.0	2945111.0	1561378.0	2699199.0	2484982.0	2718598.0	2747227.0	2732154.0	2719048.0	2932905.0	2755403.0	2722779.0	2706756.0	2688260.0
XieH_2016__YSZC12003_35583__bin.69	2401048.0	1606251.0	1748566.0	1760584.0	2440838.0	3061347.0	1886173.0	2631204.0	2728222.0	2810348.0	2790307.0	2357909.0	2825089.0	2784675.0	3066093.0	2875568.0	1602283.0	2799120.0	2635174.0	2825846.0	3012998.0	2995295.0	2815420.0	2755403.0	3039700.0	2821417.0	2967082.0	2792867.0
FengQ_2015__SID31685__bin.47	2440285.0	1579253.0	1815575.0	1840572.0	2372733.0	2795567.0	1975884.0	2783225.0	2849601.0	2776505.0	3067747.0	2425777.0	2645075.0	2646323.0	2786019.0	2827195.0	1658090.0	3056901.0	2534938.0	3104568.0	2818506.0	2803571.0	3036020.0	2722779.0	2821417.0	3032283.0	2746779.0	2996529.0
XieH_2016__YSZC12003_37798__bin.28	2335921.0	1548699.0	1698407.0	1707177.0	2375062.0	2917697.0	1836061.0	2559429.0	2660126.0	2730654.0	2717107.0	2298983.0	2806691.0	2670429.0	2886570.0	2788185.0	1552943.0	2725744.0	2559162.0	2752840.0	2974015.0	2915034.0	2738712.0	2706756.0	2967082.0	2746779.0	2918880.0	2720777.0
ZeeviD_2015__PNP_Main_139__bin.1	2421469.0	1575256.0	1814962.0	1832581.0	2359956.0	2773271.0	1965935.0	2745119.0	2823600.0	2772963.0	2935913.0	2418237.0	2619146.0	2632989.0	2773381.0	2798675.0	1654612.0	2980467.0	2521667.0	2980826.0	2795788.0	2797575.0	2975542.0	2688260.0	2792867.0	2996529.0	2720777.0	2988308.0
