	SchirmerM_2016__G88801__bin.10	ZeeviD_2015__PNP_Main_131__bin.32	LiJ_2014__MH0357__bin.72	LiuW_2016__SRR3992993__bin.100	CosteaPI_2017__SID713A002-11-90-0__bin.13	ZeeviD_2015__PNP_Main_37__bin.27	LiJ_2014__MH0374__bin.7	BritoIL_2016__W1.3.ST__bin.19	ZeeviD_2015__PNP_Main_643__bin.8	BritoIL_2016__M1.27.ST__bin.3	ZeeviD_2015__PNP_Main_113__bin.8	LiJ_2017__H3M516751__bin.15	ZellerG_2014__CCIS56503244ST-3-0__bin.3	CosteaPI_2017__SID713B051-11-90-0__bin.31	BritoIL_2016__W2.6.ST__bin.57	ZeeviD_2015__PNP_Main_81__bin.14	BritoIL_2016__W2.40.ST__bin.16	CosteaPI_2017__SID713B040-11-90-0__bin.117	ZellerG_2014__CCIS48579360ST-4-0__bin.19	BritoIL_2016__M2.39.ST__bin.97	Obregon-TitoAJ_2015__SM28__bin.26	LiJ_2014__MH0390__bin.76	ZeeviD_2015__PNP_Main_134__bin.24	BritoIL_2016__M1.64.ST__bin.10	CM_madagascar__A32_01_1FE__bin.38	ZeeviD_2015__PNP_Main_609__bin.34	NielsenHB_2014__MH0065__bin.3	LeChatelierE_2013__MH0318__bin.72	LiJ_2014__MH0329__bin.68	BritoIL_2016__W1.55.ST__bin.81	LeChatelierE_2013__MH0065__bin.24	LiuW_2016__SRR3993057__bin.3	ZeeviD_2015__PNP_Main_172__bin.62	KarlssonFH_2013__S239__bin.11	BritoIL_2016__W1.11.ST__bin.49	ZeeviD_2015__PNP_Main_80__bin.57	QinJ_2012__T2D-082__bin.3	NielsenHB_2014__MH0053__bin.26	CosteaPI_2017__SID713A084-11-0-0__bin.29	BritoIL_2016__M1.57.ST__bin.60	ZeeviD_2015__PNP_Main_404__bin.46	CM_madagascar__A73_01_1FE__bin.11	LiuW_2016__SRR3992995__bin.82	BritoIL_2016__W2.46.ST__bin.13	LeChatelierE_2013__MH0053__bin.29	BritoIL_2016__W2.59.ST__bin.71	CM_madagascar__V07_01_2FE__bin.18
ZeeviD_2015__PNP_Main_113__bin.8	1410403.0	2326541.0	2337153.0	1804208.0	2081762.0	1790219.0	1221675.0	2333117.0	2300118.0	1824983.0	2520558.0	2168195.0	2340762.0	2254660.0	2323524.0	2272875.0	1460387.0	2333203.0	2321228.0	1951916.0	2222830.0	2295562.0	1681451.0	2292964.0	2146208.0	2301346.0	2072826.0	2348040.0	1156229.0	1497554.0	2326638.0	2146715.0	2334251.0	2265414.0	1334686.0	2302972.0	2187721.0	2196465.0	2247513.0	2186767.0	2369150.0	1815607.0	2195890.0	2316009.0	2252988.0	2336426.0	2219941.0
LiJ_2017__H3M516751__bin.15	1297721.0	2148568.0	2153843.0	1668195.0	1948740.0	1639578.0	1217737.0	2169202.0	2110025.0	1704879.0	2168195.0	2469252.0	2170514.0	2089513.0	2147073.0	2105735.0	1355744.0	2171709.0	2137344.0	1821463.0	2079285.0	2205029.0	1570175.0	2156863.0	1987162.0	2113246.0	1908675.0	2169705.0	1079882.0	1390374.0	2108723.0	1999530.0	2141295.0	2122533.0	1263945.0	2128934.0	2149229.0	2033355.0	2119153.0	2056974.0	2168928.0	1674393.0	2043489.0	2144279.0	2089663.0	2159963.0	2057685.0
ZellerG_2014__CCIS56503244ST-3-0__bin.3	1407046.0	2336174.0	2324562.0	1803286.0	2065012.0	1790947.0	1225131.0	2341959.0	2289985.0	1832845.0	2340762.0	2170514.0	2618571.0	2273399.0	2366322.0	2269784.0	1463126.0	2401277.0	2348301.0	1950908.0	2249222.0	2317612.0	1684620.0	2334653.0	2135024.0	2269204.0	2087643.0	2336886.0	1162743.0	1505135.0	2309570.0	2160656.0	2336406.0	2230635.0	1338408.0	2290496.0	2213855.0	2192777.0	2246420.0	2214480.0	2361898.0	1823810.0	2220351.0	2332403.0	2261092.0	2333088.0	2208472.0
CosteaPI_2017__SID713B051-11-90-0__bin.31	1358383.0	2267346.0	2263035.0	1739868.0	2014462.0	1732955.0	1227387.0	2254151.0	2212855.0	1793807.0	2254660.0	2089513.0	2273399.0	2544898.0	2271728.0	2189075.0	1393944.0	2301380.0	2265174.0	1887291.0	2193059.0	2272513.0	1655996.0	2276812.0	2077013.0	2195891.0	2006726.0	2276703.0	1173972.0	1468459.0	2221819.0	2094499.0	2267320.0	2135159.0	1350850.0	2225883.0	2137867.0	2155373.0	2163805.0	2108334.0	2282858.0	1768578.0	2168352.0	2253970.0	2213622.0	2305220.0	2150615.0
BritoIL_2016__W2.6.ST__bin.57	1412814.0	2373972.0	2330104.0	1806412.0	2072200.0	1790594.0	1223411.0	2367028.0	2262516.0	1863495.0	2323524.0	2147073.0	2366322.0	2271728.0	2599572.0	2262308.0	1497309.0	2353985.0	2353604.0	1971986.0	2236927.0	2331781.0	1700910.0	2362240.0	2169063.0	2256599.0	2087192.0	2342764.0	1174609.0	1535762.0	2284201.0	2158582.0	2338949.0	2204207.0	1338651.0	2295963.0	2206253.0	2206725.0	2256719.0	2236393.0	2385353.0	1854001.0	2209530.0	2378577.0	2245854.0	2332403.0	2241672.0
ZeeviD_2015__PNP_Main_81__bin.14	1376966.0	2231460.0	2248793.0	1750142.0	2040474.0	1740915.0	1213228.0	2251594.0	2225288.0	1803586.0	2272875.0	2105735.0	2269784.0	2189075.0	2262308.0	2441582.0	1443210.0	2243772.0	2240994.0	1917120.0	2168118.0	2243536.0	1645470.0	2237667.0	2065620.0	2204295.0	1986917.0	2267050.0	1158646.0	1467093.0	2208957.0	2101705.0	2255456.0	2159489.0	1296985.0	2411934.0	2137980.0	2136492.0	2208284.0	2132269.0	2267892.0	1781429.0	2130848.0	2246915.0	2176256.0	2230984.0	2156338.0
BritoIL_2016__W2.40.ST__bin.16	957988.0	1461796.0	1439265.0	1227117.0	1371415.0	1242185.0	662055.0	1474008.0	1455789.0	1274286.0	1460387.0	1355744.0	1463126.0	1393944.0	1497309.0	1443210.0	1520999.0	1442802.0	1445310.0	1294331.0	1379623.0	1437780.0	1097047.0	1470427.0	1418128.0	1420065.0	1282474.0	1462610.0	552502.0	1048704.0	1462094.0	1385431.0	1456939.0	1329677.0	578530.0	1436995.0	1361817.0	1378099.0	1420885.0	1475209.0	1456680.0	1285100.0	1373149.0	1469303.0	1427550.0	1494517.0	1413017.0
CosteaPI_2017__SID713B040-11-90-0__bin.117	1395375.0	2342912.0	2315246.0	1784163.0	2077057.0	1775774.0	1221387.0	2335396.0	2279557.0	1815021.0	2333203.0	2171709.0	2401277.0	2301380.0	2353985.0	2243772.0	1442802.0	2581489.0	2328084.0	1939721.0	2225648.0	2282556.0	1702879.0	2327589.0	2146824.0	2314009.0	2067378.0	2336085.0	1164793.0	1496876.0	2292456.0	2140258.0	2348588.0	2232570.0	1329566.0	2267659.0	2187585.0	2173007.0	2242724.0	2201339.0	2353590.0	1804128.0	2206251.0	2307077.0	2231016.0	2345739.0	2221893.0
ZellerG_2014__CCIS48579360ST-4-0__bin.19	1395643.0	2291301.0	2331461.0	1799359.0	2061571.0	1768757.0	1225124.0	2318038.0	2253916.0	1816917.0	2321228.0	2137344.0	2348301.0	2265174.0	2353604.0	2240994.0	1445310.0	2328084.0	2477997.0	1931788.0	2204571.0	2295797.0	1671061.0	2298939.0	2117288.0	2261562.0	2070731.0	2322550.0	1161917.0	1489002.0	2273051.0	2150123.0	2306052.0	2195125.0	1320567.0	2273488.0	2196871.0	2195463.0	2227472.0	2182433.0	2344270.0	1808007.0	2193867.0	2298340.0	2254773.0	2282687.0	2190777.0
BritoIL_2016__M2.39.ST__bin.97	1234052.0	1941172.0	1941961.0	1589923.0	1780327.0	1575704.0	1006492.0	1952774.0	1916388.0	1647392.0	1951916.0	1821463.0	1950908.0	1887291.0	1971986.0	1917120.0	1294331.0	1939721.0	1931788.0	2279021.0	1878910.0	1944676.0	1473122.0	1950221.0	1855073.0	1903695.0	1769269.0	1952994.0	933894.0	1352576.0	1914316.0	1869345.0	1945920.0	1828776.0	1073151.0	1922797.0	1841915.0	1886497.0	1876656.0	1872692.0	1962429.0	1626616.0	1892096.0	1950286.0	1908367.0	1961269.0	1899365.0
Obregon-TitoAJ_2015__SM28__bin.26	1335493.0	2233738.0	2223573.0	1720891.0	1980999.0	1686366.0	1178450.0	2218286.0	2189894.0	1763798.0	2222830.0	2079285.0	2249222.0	2193059.0	2236927.0	2168118.0	1379623.0	2225648.0	2204571.0	1878910.0	2467286.0	2206240.0	1629181.0	2230003.0	2057335.0	2170738.0	1981484.0	2240373.0	1115905.0	1442465.0	2180689.0	2057559.0	2206804.0	2112087.0	1287357.0	2191661.0	2105677.0	2092292.0	2147743.0	2098031.0	2247824.0	1735334.0	2117761.0	2221502.0	2131553.0	2231242.0	2121921.0
LiJ_2014__MH0390__bin.76	1404004.0	2294106.0	2310111.0	1793348.0	2060957.0	1789832.0	1228330.0	2298082.0	2262940.0	1835584.0	2295562.0	2205029.0	2317612.0	2272513.0	2331781.0	2243536.0	1437780.0	2282556.0	2295797.0	1944676.0	2206240.0	2524298.0	1671876.0	2329428.0	2141870.0	2231919.0	2060625.0	2313985.0	1166644.0	1498067.0	2260506.0	2139069.0	2283119.0	2176319.0	1338057.0	2269101.0	2262768.0	2186990.0	2208368.0	2151484.0	2332244.0	1814343.0	2194414.0	2290641.0	2227473.0	2289921.0	2220266.0
ZeeviD_2015__PNP_Main_134__bin.24	1052278.0	1695053.0	1680220.0	1372580.0	1568340.0	1371882.0	880059.0	1672792.0	1667513.0	1406355.0	1681451.0	1570175.0	1684620.0	1655996.0	1700910.0	1645470.0	1097047.0	1702879.0	1671061.0	1473122.0	1629181.0	1671876.0	1840719.0	1677519.0	1597413.0	1664777.0	1518875.0	1683713.0	842108.0	1166818.0	1647956.0	1597956.0	1688379.0	1593873.0	960915.0	1662580.0	1598862.0	1628221.0	1635744.0	1604615.0	1695286.0	1385447.0	1615811.0	1678981.0	1631799.0	1702904.0	1633095.0
BritoIL_2016__M1.64.ST__bin.10	1396890.0	2318372.0	2313476.0	1799714.0	2044936.0	1779115.0	1225365.0	2361428.0	2251212.0	1852505.0	2292964.0	2156863.0	2334653.0	2276812.0	2362240.0	2237667.0	1470427.0	2327589.0	2298939.0	1950221.0	2230003.0	2329428.0	1677519.0	2576548.0	2165745.0	2245403.0	2065664.0	2327403.0	1151819.0	1517462.0	2271306.0	2139494.0	2294141.0	2209681.0	1348810.0	2264366.0	2184813.0	2192690.0	2214658.0	2192654.0	2329211.0	1839974.0	2196025.0	2334697.0	2232547.0	2367014.0	2233071.0
CM_madagascar__A32_01_1FE__bin.38	1337402.0	2155888.0	2134987.0	1723538.0	1956334.0	1667715.0	1107993.0	2171145.0	2111968.0	1757256.0	2146208.0	1987162.0	2135024.0	2077013.0	2169063.0	2065620.0	1418128.0	2146824.0	2117288.0	1855073.0	2057335.0	2141870.0	1597413.0	2165745.0	2328450.0	2105323.0	1923229.0	2140480.0	1063828.0	1435354.0	2115074.0	2014536.0	2118834.0	2014470.0	1222950.0	2097250.0	2023657.0	2037384.0	2056627.0	2071679.0	2166412.0	1796900.0	2043565.0	2152758.0	2070785.0	2169733.0	2257543.0
ZeeviD_2015__PNP_Main_609__bin.34	1365706.0	2264158.0	2267079.0	1753396.0	2041830.0	1720628.0	1200953.0	2259238.0	2239891.0	1778614.0	2301346.0	2113246.0	2269204.0	2195891.0	2256599.0	2204295.0	1420065.0	2314009.0	2261562.0	1903695.0	2170738.0	2231919.0	1664777.0	2245403.0	2105323.0	2439389.0	2015985.0	2273979.0	1165352.0	1458472.0	2236052.0	2105232.0	2248449.0	2208122.0	1318994.0	2219897.0	2141010.0	2133682.0	2191214.0	2148600.0	2298184.0	1770981.0	2144461.0	2227730.0	2182384.0	2252670.0	2165016.0
NielsenHB_2014__MH0065__bin.3	1273193.0	2040299.0	2056745.0	1619868.0	1850561.0	1618382.0	1105323.0	2077701.0	2038890.0	1648042.0	2072826.0	1908675.0	2087643.0	2006726.0	2087192.0	1986917.0	1282474.0	2067378.0	2070731.0	1769269.0	1981484.0	2060625.0	1518875.0	2065664.0	1923229.0	2015985.0	2244809.0	2065331.0	1044166.0	1372169.0	2115062.0	1912221.0	2075186.0	1941804.0	1167990.0	2009853.0	1937927.0	1976412.0	1986219.0	1952002.0	2098223.0	1643813.0	1972749.0	2073468.0	1981530.0	2052663.0	1978601.0
LeChatelierE_2013__MH0318__bin.72	1412019.0	2325674.0	2349163.0	1805672.0	2077026.0	1778524.0	1224044.0	2325002.0	2295248.0	1837927.0	2348040.0	2169705.0	2336886.0	2276703.0	2342764.0	2267050.0	1462610.0	2336085.0	2322550.0	1952994.0	2240373.0	2313985.0	1683713.0	2327403.0	2140480.0	2273979.0	2065331.0	2470907.0	1173550.0	1505788.0	2300431.0	2161253.0	2313535.0	2214933.0	1341528.0	2287093.0	2209628.0	2205465.0	2271972.0	2183588.0	2358592.0	1822793.0	2204102.0	2291458.0	2253677.0	2328744.0	2219470.0
LiJ_2014__MH0329__bin.68	656331.0	1173601.0	1171334.0	846960.0	1029061.0	843116.0	1033072.0	1132536.0	1166565.0	872088.0	1156229.0	1079882.0	1162743.0	1173972.0	1174609.0	1158646.0	552502.0	1164793.0	1161917.0	933894.0	1115905.0	1166644.0	842108.0	1151819.0	1063828.0	1165352.0	1044166.0	1173550.0	1202537.0	708567.0	1163054.0	1080957.0	1164653.0	1165888.0	1138551.0	1142386.0	1178382.0	1086614.0	1185842.0	1101399.0	1176920.0	855489.0	1108815.0	1131214.0	1149168.0	1168574.0	1104977.0
BritoIL_2016__W1.55.ST__bin.81	982489.0	1510241.0	1500445.0	1246155.0	1365683.0	1233510.0	745745.0	1517116.0	1479477.0	1288674.0	1497554.0	1390374.0	1505135.0	1468459.0	1535762.0	1467093.0	1048704.0	1496876.0	1489002.0	1352576.0	1442465.0	1498067.0	1166818.0	1517462.0	1435354.0	1458472.0	1372169.0	1505788.0	708567.0	1644430.0	1473411.0	1432531.0	1504958.0	1400034.0	811196.0	1478627.0	1410356.0	1457924.0	1459546.0	1438132.0	1522717.0	1288899.0	1455246.0	1525502.0	1465966.0	1534737.0	1468161.0
LeChatelierE_2013__MH0065__bin.24	1374620.0	2266285.0	2281041.0	1766785.0	2040275.0	1761141.0	1227030.0	2293669.0	2267304.0	1801497.0	2326638.0	2108723.0	2309570.0	2221819.0	2284201.0	2208957.0	1462094.0	2292456.0	2273051.0	1914316.0	2180689.0	2260506.0	1647956.0	2271306.0	2115074.0	2236052.0	2115062.0	2300431.0	1163054.0	1473411.0	2443816.0	2096478.0	2294019.0	2167505.0	1277294.0	2229248.0	2145327.0	2145919.0	2204597.0	2153865.0	2317278.0	1780808.0	2159303.0	2254159.0	2204018.0	2273881.0	2188591.0
LiuW_2016__SRR3993057__bin.3	1378800.0	2157484.0	2151109.0	1778918.0	1955040.0	1697860.0	1136113.0	2127332.0	2116317.0	1748635.0	2146715.0	1999530.0	2160656.0	2094499.0	2158582.0	2101705.0	1385431.0	2140258.0	2150123.0	1869345.0	2057559.0	2139069.0	1597956.0	2139494.0	2014536.0	2105232.0	1912221.0	2161253.0	1080957.0	1432531.0	2096478.0	2232426.0	2128593.0	2033806.0	1232275.0	2114469.0	2034806.0	2054858.0	2098269.0	2019031.0	2157759.0	1772583.0	2107556.0	2127055.0	2089669.0	2131497.0	2075841.0
ZeeviD_2015__PNP_Main_172__bin.62	1403539.0	2310212.0	2298278.0	1781957.0	2057111.0	1827544.0	1223168.0	2303749.0	2287003.0	1829840.0	2334251.0	2141295.0	2336406.0	2267320.0	2338949.0	2255456.0	1456939.0	2348588.0	2306052.0	1945920.0	2206804.0	2283119.0	1688379.0	2294141.0	2118834.0	2248449.0	2075186.0	2313535.0	1164653.0	1504958.0	2294019.0	2128593.0	2526630.0	2200738.0	1320201.0	2295928.0	2188161.0	2176700.0	2230976.0	2194711.0	2348274.0	1811511.0	2180603.0	2284900.0	2226287.0	2327605.0	2196229.0
KarlssonFH_2013__S239__bin.11	1319115.0	2217518.0	2225359.0	1686501.0	1958233.0	1667079.0	1225501.0	2197926.0	2157754.0	1726402.0	2265414.0	2122533.0	2230635.0	2135159.0	2204207.0	2159489.0	1329677.0	2232570.0	2195125.0	1828776.0	2112087.0	2176319.0	1593873.0	2209681.0	2014470.0	2208122.0	1941804.0	2214933.0	1165888.0	1400034.0	2167505.0	2033806.0	2200738.0	2360725.0	1347911.0	2184324.0	2136447.0	2065581.0	2174448.0	2063555.0	2238665.0	1696349.0	2075887.0	2154546.0	2118997.0	2203510.0	2085656.0
BritoIL_2016__W1.11.ST__bin.49	757724.0	1344090.0	1320241.0	979076.0	1170418.0	951912.0	1035549.0	1326435.0	1289690.0	997138.0	1334686.0	1263945.0	1338408.0	1350850.0	1338651.0	1296985.0	578530.0	1329566.0	1320567.0	1073151.0	1287357.0	1338057.0	960915.0	1348810.0	1222950.0	1318994.0	1167990.0	1341528.0	1138551.0	811196.0	1277294.0	1232275.0	1320201.0	1347911.0	1416176.0	1334687.0	1338223.0	1256776.0	1289509.0	1272112.0	1341507.0	993535.0	1286151.0	1342031.0	1331438.0	1348998.0	1268457.0
ZeeviD_2015__PNP_Main_80__bin.57	1383442.0	2280488.0	2273993.0	1770110.0	2054870.0	1763406.0	1205233.0	2283156.0	2238200.0	1823943.0	2302972.0	2128934.0	2290496.0	2225883.0	2295963.0	2411934.0	1436995.0	2267659.0	2273488.0	1922797.0	2191661.0	2269101.0	1662580.0	2264366.0	2097250.0	2219897.0	2009853.0	2287093.0	1142386.0	1478627.0	2229248.0	2114469.0	2295928.0	2184324.0	1334687.0	2466357.0	2162431.0	2160687.0	2191821.0	2150825.0	2296279.0	1806240.0	2162955.0	2277739.0	2207839.0	2268830.0	2179084.0
QinJ_2012__T2D-082__bin.3	1331760.0	2176218.0	2188657.0	1698708.0	1954017.0	1698542.0	1223487.0	2160947.0	2158210.0	1726217.0	2187721.0	2149229.0	2213855.0	2137867.0	2206253.0	2137980.0	1361817.0	2187585.0	2196871.0	1841915.0	2105677.0	2262768.0	1598862.0	2184813.0	2023657.0	2141010.0	1937927.0	2209628.0	1178382.0	1410356.0	2145327.0	2034806.0	2188161.0	2136447.0	1338223.0	2162431.0	2313971.0	2067403.0	2143745.0	2073481.0	2207235.0	1704965.0	2089410.0	2156733.0	2132399.0	2180733.0	2100715.0
NielsenHB_2014__MH0053__bin.26	1357386.0	2184110.0	2190992.0	1732827.0	1960996.0	1723104.0	1153797.0	2183819.0	2153239.0	1773643.0	2196465.0	2033355.0	2192777.0	2155373.0	2206725.0	2136492.0	1378099.0	2173007.0	2195463.0	1886497.0	2092292.0	2186990.0	1628221.0	2192690.0	2037384.0	2133682.0	1976412.0	2205465.0	1086614.0	1457924.0	2145919.0	2054858.0	2176700.0	2065581.0	1256776.0	2160687.0	2067403.0	2281675.0	2118145.0	2070053.0	2213576.0	1759561.0	2099127.0	2186475.0	2193608.0	2196270.0	2105379.0
CosteaPI_2017__SID713A084-11-0-0__bin.29	1361231.0	2268332.0	2276944.0	1736514.0	2004523.0	1726025.0	1225899.0	2212054.0	2235501.0	1764937.0	2247513.0	2119153.0	2246420.0	2163805.0	2256719.0	2208284.0	1420885.0	2242724.0	2227472.0	1876656.0	2147743.0	2208368.0	1635744.0	2214658.0	2056627.0	2191214.0	1986219.0	2271972.0	1185842.0	1459546.0	2204597.0	2098269.0	2230976.0	2174448.0	1289509.0	2191821.0	2143745.0	2118145.0	2394273.0	2101231.0	2279980.0	1744756.0	2110030.0	2209321.0	2154800.0	2240972.0	2130966.0
