	ZeeviD_2015__PNP_Main_533__bin.10	QinN_2014__HV-30__bin.15	WenC_2017__N263__bin.18	ChengpingW_2017__AS131raw__bin.34	CosteaPI_2017__SID713A029-11-90-0__bin.38	QinN_2014__HV-25__bin.3	WenC_2017__RA074__bin.44	VogtmannE_2016__MMRS51737257ST-27-0-0__bin.67	HeQ_2017__SZAXPI029592-129__bin.39	QinJ_2012__DOM010__bin.24	ChengpingW_2017__AS101raw__bin.19	QinJ_2012__T2D-035__bin.12	ZeeviD_2015__PNP_Main_705__bin.23	QinN_2014__LD-68__bin.49	QinN_2014__LD-84__bin.26	QinN_2014__HD-65__bin.28	QinJ_2012__DOM022__bin.5	WenC_2017__N023__bin.5	ZellerG_2014__CCIS11558985ST-4-0__bin.5	WenC_2017__N024__bin.4	QinN_2014__HD-19__bin.31	LiJ_2017__H2M514107__bin.40	NielsenHB_2014__V1_UC4_5__bin.52	LiJ_2014__O2.UC8-0__bin.38	ChengpingW_2017__AS40raw__bin.68	LiJ_2014__V1.FI25__bin.79	ChengpingW_2017__AS92raw__bin.7	ChengpingW_2017__AS61raw__bin.47	HeQ_2017__SZAXPI029552-169__bin.39	NielsenHB_2014__V1_UC32_0__bin.67	GeversD_2014__SKBSTL033__bin.78	ZeeviD_2015__PNP_Validation_59__bin.24	QinN_2014__LD-40__bin.7
QinN_2014__HD-65__bin.28	49707.0	23829.0	46022.0	43294.0	50019.0	44543.0	46081.0	41255.0	48361.0	32949.0	50221.0	23162.0	19862.0	47444.0	40898.0	0.0	41858.0	35080.0	39075.0	27510.0	8092.0	47686.0	47281.0	43498.0	44510.0	50765.0	27454.0	49447.0	46455.0	50080.0	54194.0	35527.0	15440.0
QinJ_2012__DOM022__bin.5	48334.0	23605.0	45738.0	45170.0	47762.0	44407.0	48962.0	38695.0	49125.0	34456.0	53336.0	21396.0	18566.0	46145.0	40715.0	41858.0	0.0	31433.0	38530.0	27036.0	6176.0	49057.0	48153.0	43426.0	46311.0	49778.0	26068.0	50301.0	46587.0	49795.0	54879.0	36748.0	10137.0
WenC_2017__N023__bin.5	35396.0	19191.0	35912.0	32569.0	36456.0	32115.0	33373.0	28584.0	35959.0	24666.0	40709.0	18371.0	16382.0	36742.0	31096.0	35080.0	31433.0	0.0	27993.0	21131.0	6467.0	38698.0	38391.0	31978.0	34901.0	37627.0	18943.0	36409.0	33406.0	36506.0	38900.0	28895.0	10970.0
ZellerG_2014__CCIS11558985ST-4-0__bin.5	37758.0	20851.0	38746.0	39920.0	35746.0	35635.0	39047.0	29747.0	39851.0	27268.0	45553.0	19038.0	15903.0	42737.0	36838.0	39075.0	38530.0	27993.0	0.0	23329.0	7084.0	36879.0	36789.0	30383.0	37856.0	34641.0	23062.0	42105.0	38158.0	36032.0	41088.0	28796.0	10000.0
WenC_2017__N024__bin.4	31376.0	16386.0	28954.0	27108.0	31638.0	27425.0	29654.0	25595.0	30894.0	21794.0	33496.0	16336.0	13368.0	32503.0	25504.0	27510.0	27036.0	21131.0	23329.0	0.0	5932.0	31106.0	30693.0	27643.0	26735.0	31221.0	18675.0	30075.0	28880.0	30062.0	32456.0	24703.0	10498.0
QinN_2014__HD-19__bin.31	8869.0	4838.0	6373.0	5767.0	9053.0	6943.0	6607.0	7341.0	7354.0	5891.0	8832.0	6505.0	5851.0	8887.0	6464.0	8092.0	6176.0	6467.0	7084.0	5932.0	0.0	9778.0	9406.0	6930.0	4924.0	6418.0	6446.0	5620.0	6066.0	8167.0	8508.0	7671.0	6548.0
LiJ_2017__H2M514107__bin.40	46526.0	28921.0	52860.0	51824.0	50960.0	46070.0	51324.0	40740.0	51438.0	36935.0	55514.0	24196.0	21531.0	54140.0	49907.0	47686.0	49057.0	38698.0	36879.0	31106.0	9778.0	0.0	49455.0	44784.0	44926.0	51146.0	29232.0	55279.0	48269.0	50361.0	56285.0	38579.0	16068.0
NielsenHB_2014__V1_UC4_5__bin.52	46328.0	25086.0	52375.0	47700.0	46426.0	47258.0	50038.0	38896.0	50596.0	34065.0	56377.0	25833.0	19111.0	53426.0	44800.0	47281.0	48153.0	38391.0	36789.0	30693.0	9406.0	49455.0	0.0	39844.0	46940.0	46900.0	28728.0	54526.0	45553.0	48477.0	49350.0	34347.0	17368.0
LiJ_2014__O2.UC8-0__bin.38	39740.0	23336.0	43337.0	44598.0	40412.0	39951.0	45148.0	30669.0	44655.0	32727.0	51656.0	22110.0	17050.0	46920.0	37422.0	43498.0	43426.0	31978.0	30383.0	27643.0	6930.0	44784.0	39844.0	0.0	41683.0	39441.0	27147.0	48357.0	42296.0	40655.0	45624.0	32305.0	12987.0
ChengpingW_2017__AS40raw__bin.68	46207.0	25065.0	47929.0	49650.0	48590.0	44414.0	47945.0	36839.0	49947.0	32597.0	56441.0	21518.0	18733.0	49895.0	44803.0	44510.0	46311.0	34901.0	37856.0	26735.0	4924.0	44926.0	46940.0	41683.0	0.0	49816.0	25899.0	47521.0	45824.0	47383.0	53757.0	35839.0	7639.0
LiJ_2014__V1.FI25__bin.79	46795.0	28105.0	55783.0	48420.0	50214.0	49052.0	53358.0	40022.0	52548.0	36487.0	58739.0	26819.0	19254.0	56805.0	51112.0	50765.0	49778.0	37627.0	34641.0	31221.0	6418.0	51146.0	46900.0	39441.0	49816.0	0.0	28002.0	58148.0	48718.0	50950.0	54078.0	36654.0	15174.0
ChengpingW_2017__AS92raw__bin.7	30074.0	19325.0	26820.0	24393.0	33736.0	28104.0	27506.0	24421.0	29388.0	21365.0	33454.0	15232.0	14922.0	27791.0	24975.0	27454.0	26068.0	18943.0	23062.0	18675.0	6446.0	29232.0	28728.0	27147.0	25899.0	28002.0	0.0	28091.0	27839.0	28678.0	29045.0	25530.0	11429.0
ChengpingW_2017__AS61raw__bin.47	55283.0	30115.0	51606.0	49089.0	55053.0	46133.0	47239.0	43926.0	57076.0	36914.0	61320.0	24773.0	20458.0	54864.0	47453.0	49447.0	50301.0	36409.0	42105.0	30075.0	5620.0	55279.0	54526.0	48357.0	47521.0	58148.0	28091.0	0.0	48591.0	55179.0	61320.0	40175.0	13862.0
HeQ_2017__SZAXPI029552-169__bin.39	46933.0	23311.0	46026.0	45171.0	48190.0	44465.0	46492.0	38277.0	48918.0	32946.0	51819.0	22515.0	19904.0	49456.0	44328.0	46455.0	46587.0	33406.0	38158.0	28880.0	6066.0	48269.0	45553.0	42296.0	45824.0	48718.0	27839.0	48591.0	0.0	51347.0	54888.0	36868.0	10959.0
NielsenHB_2014__V1_UC32_0__bin.67	46082.0	27122.0	53227.0	48697.0	46657.0	49581.0	52056.0	39094.0	52497.0	36177.0	61106.0	25438.0	19289.0	55281.0	46922.0	50080.0	49795.0	36506.0	36032.0	30062.0	8167.0	50361.0	48477.0	40655.0	47383.0	50950.0	28678.0	55179.0	51347.0	0.0	54444.0	35057.0	14347.0
GeversD_2014__SKBSTL033__bin.78	49844.0	29110.0	58893.0	55422.0	54371.0	51599.0	58306.0	40269.0	57207.0	38845.0	61801.0	24406.0	20485.0	58266.0	55032.0	54194.0	54879.0	38900.0	41088.0	32456.0	8508.0	56285.0	49350.0	45624.0	53757.0	54078.0	29045.0	61320.0	54888.0	54444.0	0.0	39899.0	13029.0
ZeeviD_2015__PNP_Validation_59__bin.24	32550.0	22251.0	40487.0	35308.0	38989.0	35905.0	38975.0	30409.0	38379.0	29828.0	41252.0	18646.0	13115.0	39836.0	36035.0	35527.0	36748.0	28895.0	28796.0	24703.0	7671.0	38579.0	34347.0	32305.0	35839.0	36654.0	25530.0	40175.0	36868.0	35057.0	39899.0	0.0	13271.0
QinN_2014__LD-40__bin.7	13496.0	9177.0	9900.0	8633.0	15988.0	12438.0	11373.0	15155.0	14010.0	10724.0	16796.0	10755.0	9231.0	16149.0	12323.0	15440.0	10137.0	10970.0	10000.0	10498.0	6548.0	16068.0	17368.0	12987.0	7639.0	15174.0	11429.0	13862.0	10959.0	14347.0	13029.0	13271.0	0.0
