	CM_periimplantitis__SP_281SPI_T016__bin.16	CM_periimplantitis__SP_163SPI_T016__bin.7	CM_periimplantitis__SP_162SPI_T016__bin.21	HMP_2012__SRS064449__bin.43	HMP_2012__SRS043018__bin.6	CM_periimplantitis__SP_184SPT_T016__bin.6	HMP_2012__SRS058053__bin.29	HMP_2012__SRS063603__bin.50	CM_periimplantitis__SP_383SPI_T016__bin.1	HMP_2012__SRS019029__bin.28	CM_periimplantitis__SP_125SPI_T016__bin.1	HMP_2012__SRS049318__bin.7	HMP_2012__SRS023595__bin.34	HMP_2012__SRS058808__bin.36	CM_periimplantitis__SP_403SPT_T016__bin.5	HMP_2012__SRS049268__bin.23	HMP_2012__SRS017227__bin.13	CM_periimplantitis__SP_189SPI_T016__bin.27	CM_periimplantitis__SP_304SPI_T016__bin.3	HMP_2012__SRS011255__bin.17	HMP_2012__SRS047113__bin.66	HMP_2012__SRS017691__bin.11	CM_periimplantitis__SP_326SPI_T016__bin.2	CM_periimplantitis__SP_384SPI_T016__bin.17	HMP_2012__SRS014691__bin.18	CM_periimplantitis__SP_163SPT_T016__bin.16	HMP_2012__SRS018975__bin.28	HMP_2012__SRS014476__bin.20	CM_periimplantitis__SP_502SPI_T016__bin.8	HMP_2012__SRS023964__bin.24	LiJ_2014__V1.FI17__bin.68
HMP_2012__SRS049318__bin.7	55500.0	55723.0	29742.0	50247.0	48217.0	48968.0	56361.0	47304.0	27938.0	56920.0	50753.0	0.0	55894.0	57722.0	57401.0	53185.0	56040.0	56630.0	57525.0	55648.0	56524.0	56408.0	57379.0	46489.0	55755.0	53960.0	36821.0	48440.0	57783.0	54265.0	44039.0
HMP_2012__SRS023595__bin.34	56526.0	56508.0	45142.0	63329.0	61937.0	47923.0	54359.0	68359.0	26220.0	54309.0	48963.0	55894.0	0.0	55623.0	55568.0	63219.0	76845.0	7637.0	56202.0	54359.0	77697.0	55894.0	55510.0	44912.0	53356.0	52860.0	44834.0	47547.0	56234.0	69115.0	60841.0
HMP_2012__SRS058808__bin.36	57982.0	57009.0	48788.0	65886.0	63589.0	49902.0	54684.0	72484.0	26764.0	54927.0	51474.0	57722.0	55623.0	0.0	55688.0	63959.0	80333.0	56838.0	59233.0	58790.0	81467.0	59283.0	59308.0	47886.0	53739.0	52872.0	45627.0	48452.0	57829.0	72962.0	62407.0
CM_periimplantitis__SP_403SPT_T016__bin.5	57297.0	55542.0	47970.0	65767.0	63876.0	49280.0	50898.0	70896.0	27423.0	55220.0	50280.0	57401.0	55568.0	55688.0	0.0	65596.0	80739.0	56219.0	57768.0	58229.0	81665.0	57113.0	59391.0	46985.0	54253.0	51485.0	45682.0	47837.0	57233.0	72239.0	63448.0
HMP_2012__SRS049268__bin.23	63864.0	64829.0	37751.0	57799.0	57866.0	56876.0	62079.0	57722.0	32127.0	62666.0	58298.0	53185.0	63219.0	63959.0	65596.0	0.0	68434.0	64534.0	64637.0	65041.0	69745.0	64124.0	65849.0	53783.0	60936.0	60409.0	40816.0	55310.0	66589.0	63713.0	56364.0
HMP_2012__SRS017227__bin.13	78969.0	79688.0	47941.0	66588.0	64938.0	68836.0	77576.0	73057.0	39086.0	78032.0	72026.0	56040.0	76845.0	80333.0	80739.0	68434.0	0.0	79034.0	78778.0	79414.0	214.0	81400.0	81092.0	66184.0	76088.0	73936.0	47025.0	68075.0	81201.0	73614.0	53791.0
CM_periimplantitis__SP_189SPI_T016__bin.27	58108.0	57328.0	46913.0	64665.0	62130.0	47812.0	54699.0	70405.0	26819.0	55126.0	49476.0	56630.0	7637.0	56838.0	56219.0	64534.0	79034.0	0.0	57416.0	55887.0	80176.0	56994.0	56973.0	45796.0	53849.0	53146.0	45484.0	47669.0	57577.0	71303.0	61702.0
CM_periimplantitis__SP_304SPI_T016__bin.3	59133.0	58548.0	48166.0	65454.0	64436.0	48638.0	55056.0	71853.0	28314.0	56879.0	52056.0	57525.0	56202.0	59233.0	57768.0	64637.0	78778.0	57416.0	0.0	59871.0	79643.0	59716.0	59196.0	46483.0	55727.0	53900.0	45082.0	50808.0	59941.0	71883.0	60686.0
HMP_2012__SRS011255__bin.17	58454.0	58594.0	45408.0	64016.0	61783.0	43806.0	56146.0	70164.0	27627.0	55893.0	49815.0	55648.0	54359.0	58790.0	58229.0	65041.0	79414.0	55887.0	59871.0	0.0	80240.0	58389.0	57570.0	42735.0	54617.0	55269.0	44558.0	49389.0	59730.0	70878.0	61148.0
HMP_2012__SRS047113__bin.66	80025.0	80564.0	48758.0	67350.0	65671.0	69819.0	78366.0	74115.0	39470.0	78880.0	72731.0	56524.0	77697.0	81467.0	81665.0	69745.0	214.0	80176.0	79643.0	80240.0	0.0	82414.0	81862.0	66996.0	76790.0	74746.0	47089.0	68979.0	82458.0	75115.0	54764.0
HMP_2012__SRS017691__bin.11	59838.0	59203.0	47296.0	63751.0	61865.0	50180.0	56755.0	71379.0	27224.0	55257.0	51551.0	56408.0	55894.0	59283.0	57113.0	64124.0	81400.0	56994.0	59716.0	58389.0	82414.0	0.0	61109.0	47432.0	53734.0	54874.0	44587.0	16219.0	59026.0	70914.0	61693.0
CM_periimplantitis__SP_326SPI_T016__bin.2	61025.0	57966.0	47674.0	65167.0	63429.0	48374.0	57010.0	72749.0	27382.0	57424.0	51426.0	57379.0	55510.0	59308.0	59391.0	65849.0	81092.0	56973.0	59196.0	57570.0	81862.0	61109.0	0.0	46316.0	55802.0	53622.0	45889.0	51064.0	60551.0	73167.0	61887.0
CM_periimplantitis__SP_384SPI_T016__bin.17	48312.0	46743.0	38320.0	52724.0	51498.0	3464.0	45091.0	58294.0	22718.0	46275.0	41692.0	46489.0	44912.0	47886.0	46985.0	53783.0	66184.0	45796.0	46483.0	42735.0	66996.0	47432.0	46316.0	0.0	45234.0	43873.0	37104.0	40208.0	47344.0	57819.0	52133.0
HMP_2012__SRS014691__bin.18	55676.0	56213.0	44616.0	63009.0	60905.0	46668.0	53240.0	68021.0	25409.0	881.0	49105.0	55755.0	53356.0	53739.0	54253.0	60936.0	76088.0	53849.0	55727.0	54617.0	76790.0	53734.0	55802.0	45234.0	0.0	52075.0	44129.0	46039.0	55308.0	68690.0	58786.0
CM_periimplantitis__SP_163SPT_T016__bin.16	52076.0	439.0	43207.0	61759.0	59074.0	45985.0	52311.0	65254.0	25283.0	53307.0	47908.0	53960.0	52860.0	52872.0	51485.0	60409.0	73936.0	53146.0	53900.0	55269.0	74746.0	54874.0	53622.0	43873.0	52075.0	0.0	42956.0	46433.0	52989.0	66581.0	58052.0
HMP_2012__SRS018975__bin.28	45287.0	45654.0	25535.0	1240.0	940.0	40511.0	43945.0	35683.0	23505.0	44795.0	42031.0	36821.0	44834.0	45627.0	45682.0	40816.0	47025.0	45484.0	45082.0	44558.0	47089.0	44587.0	45889.0	37104.0	44129.0	42956.0	0.0	37866.0	46802.0	1474.0	38539.0
HMP_2012__SRS014476__bin.20	50730.0	49798.0	39553.0	53726.0	51721.0	43238.0	48429.0	59041.0	23266.0	47277.0	44462.0	48440.0	47547.0	48452.0	47837.0	55310.0	68075.0	47669.0	50808.0	49389.0	68979.0	16219.0	51064.0	40208.0	46039.0	46433.0	37866.0	0.0	49576.0	58607.0	52540.0
CM_periimplantitis__SP_502SPI_T016__bin.8	57281.0	56858.0	48796.0	67516.0	65188.0	50098.0	57840.0	73548.0	27073.0	56099.0	52322.0	57783.0	56234.0	57829.0	57233.0	66589.0	81201.0	57577.0	59941.0	59730.0	82458.0	59026.0	60551.0	47344.0	55308.0	52989.0	46802.0	49576.0	0.0	75657.0	63210.0
HMP_2012__SRS023964__bin.24	72303.0	71587.0	40070.0	1373.0	3109.0	60971.0	69125.0	57462.0	35735.0	70071.0	64851.0	54265.0	69115.0	72962.0	72239.0	63713.0	73614.0	71303.0	71883.0	70878.0	75115.0	70914.0	73167.0	57819.0	68690.0	66581.0	1474.0	58607.0	75657.0	0.0	59484.0
LiJ_2014__V1.FI17__bin.68	62169.0	61409.0	40584.0	54640.0	54006.0	53972.0	61613.0	58425.0	31717.0	60694.0	55468.0	44039.0	60841.0	62407.0	63448.0	56364.0	53791.0	61702.0	60686.0	61148.0	54764.0	61693.0	61887.0	52133.0	58786.0	58052.0	38539.0	52540.0	63210.0	59484.0	0.0
