	CM_periimplantitis__SP_281SPI_T016__bin.16	CM_periimplantitis__SP_163SPI_T016__bin.7	CM_periimplantitis__SP_162SPI_T016__bin.21	HMP_2012__SRS064449__bin.43	HMP_2012__SRS043018__bin.6	CM_periimplantitis__SP_184SPT_T016__bin.6	HMP_2012__SRS058053__bin.29	HMP_2012__SRS063603__bin.50	CM_periimplantitis__SP_383SPI_T016__bin.1	HMP_2012__SRS019029__bin.28	CM_periimplantitis__SP_125SPI_T016__bin.1	HMP_2012__SRS049318__bin.7	HMP_2012__SRS023595__bin.34	HMP_2012__SRS058808__bin.36	CM_periimplantitis__SP_403SPT_T016__bin.5	HMP_2012__SRS049268__bin.23	HMP_2012__SRS017227__bin.13	CM_periimplantitis__SP_189SPI_T016__bin.27	CM_periimplantitis__SP_304SPI_T016__bin.3	HMP_2012__SRS011255__bin.17	HMP_2012__SRS047113__bin.66	HMP_2012__SRS017691__bin.11	CM_periimplantitis__SP_326SPI_T016__bin.2	CM_periimplantitis__SP_384SPI_T016__bin.17	HMP_2012__SRS014691__bin.18	CM_periimplantitis__SP_163SPT_T016__bin.16	HMP_2012__SRS018975__bin.28	HMP_2012__SRS014476__bin.20	CM_periimplantitis__SP_502SPI_T016__bin.8	HMP_2012__SRS023964__bin.24	LiJ_2014__V1.FI17__bin.68
CM_periimplantitis__SP_125SPI_T016__bin.1	1565866.0	1533809.0	1037148.0	1409637.0	1346585.0	1349240.0	1517173.0	1553280.0	779364.0	1526836.0	1646664.0	1076442.0	1472100.0	1572356.0	1564337.0	1436004.0	1507042.0	1520821.0	1541376.0	1521300.0	1522317.0	1563183.0	1531397.0	1315091.0	1488134.0	1421590.0	984781.0	1337819.0	1569118.0	1551189.0	1174769.0
HMP_2012__SRS049318__bin.7	1216324.0	1195832.0	772221.0	1141864.0	1084107.0	1084192.0	1202024.0	1234406.0	598752.0	1200102.0	1076442.0	1310043.0	1167040.0	1242290.0	1213992.0	1162585.0	1200878.0	1189021.0	1217884.0	1186224.0	1213327.0	1220252.0	1202178.0	1028284.0	1172112.0	1145008.0	818240.0	1052776.0	1228686.0	1225042.0	943295.0
HMP_2012__SRS023595__bin.34	1693690.0	1643510.0	1091145.0	1512896.0	1467040.0	1507394.0	1630475.0	1645510.0	801328.0	1624496.0	1472100.0	1167040.0	1790742.0	1646467.0	1652421.0	1560637.0	1612500.0	1736622.0	1648429.0	1675038.0	1632254.0	1687549.0	1696219.0	1420673.0	1592674.0	1543028.0	1054183.0	1431279.0	1664446.0	1651274.0	1265547.0
HMP_2012__SRS058808__bin.36	1761883.0	1720532.0	1170237.0	1579157.0	1515998.0	1521183.0	1702572.0	1763847.0	849317.0	1725820.0	1572356.0	1242290.0	1646467.0	1907618.0	1770722.0	1611470.0	1696539.0	1704301.0	1767565.0	1710673.0	1724163.0	1780096.0	1729062.0	1474979.0	1680549.0	1596503.0	1095467.0	1492721.0	1783469.0	1745026.0	1318155.0
CM_periimplantitis__SP_403SPT_T016__bin.5	1755945.0	1719476.0	1162592.0	1579594.0	1512760.0	1538375.0	1754139.0	1746870.0	853422.0	1718375.0	1564337.0	1213992.0	1652421.0	1770722.0	1884644.0	1610413.0	1696087.0	1705545.0	1744813.0	1711899.0	1717086.0	1764676.0	1729272.0	1479735.0	1680725.0	1593963.0	1092391.0	1498210.0	1771992.0	1743702.0	1316628.0
HMP_2012__SRS049268__bin.23	1605272.0	1602769.0	1093745.0	1511460.0	1460413.0	1420688.0	1573553.0	1654025.0	799537.0	1578835.0	1436004.0	1162585.0	1560637.0	1611470.0	1610413.0	1729749.0	1640142.0	1588418.0	1602779.0	1570733.0	1666250.0	1626899.0	1596657.0	1363663.0	1543431.0	1501793.0	1061646.0	1387375.0	1625080.0	1656005.0	1263525.0
HMP_2012__SRS017227__bin.13	1690842.0	1667965.0	1150253.0	1576484.0	1514596.0	1478322.0	1635329.0	1743906.0	823954.0	1653065.0	1507042.0	1200878.0	1612500.0	1696539.0	1696087.0	1640142.0	1911418.0	1664454.0	1690626.0	1652365.0	1905693.0	1726087.0	1683497.0	1429408.0	1610823.0	1546694.0	1095954.0	1463840.0	1711092.0	1742569.0	1300920.0
CM_periimplantitis__SP_189SPI_T016__bin.27	1732421.0	1685334.0	1146840.0	1539236.0	1485927.0	1527159.0	1653708.0	1703032.0	830654.0	1678696.0	1520821.0	1189021.0	1736622.0	1704301.0	1705545.0	1588418.0	1664454.0	1825421.0	1702063.0	1732565.0	1687770.0	1738032.0	1754464.0	1472174.0	1638761.0	1560220.0	1077027.0	1467235.0	1719687.0	1708904.0	1283311.0
CM_periimplantitis__SP_304SPI_T016__bin.3	1736967.0	1717675.0	1167607.0	1577262.0	1520473.0	1514970.0	1683533.0	1758373.0	839498.0	1709817.0	1541376.0	1217884.0	1648429.0	1767565.0	1744813.0	1602779.0	1690626.0	1702063.0	1857672.0	1709401.0	1711800.0	1753120.0	1720529.0	1468225.0	1665121.0	1593217.0	1084230.0	1484945.0	1777955.0	1741799.0	1312389.0
HMP_2012__SRS011255__bin.17	1724122.0	1679812.0	1122572.0	1527779.0	1465729.0	1535379.0	1654752.0	1693847.0	827673.0	1683805.0	1521300.0	1186224.0	1675038.0	1710673.0	1711899.0	1570733.0	1652365.0	1732565.0	1709401.0	1841917.0	1674450.0	1730883.0	1763146.0	1478417.0	1639322.0	1561588.0	1051087.0	1457364.0	1713026.0	1694383.0	1283638.0
HMP_2012__SRS047113__bin.66	1713208.0	1688865.0	1171073.0	1594907.0	1534718.0	1497705.0	1654991.0	1777591.0	833921.0	1672912.0	1522317.0	1213327.0	1632254.0	1724163.0	1717086.0	1666250.0	1905693.0	1687770.0	1711800.0	1674450.0	1969248.0	1747446.0	1704504.0	1448331.0	1629268.0	1565750.0	1098490.0	1480064.0	1736816.0	1780143.0	1322117.0
HMP_2012__SRS017691__bin.11	1766279.0	1728388.0	1172466.0	1580487.0	1514815.0	1531857.0	1709687.0	1756804.0	853943.0	1730870.0	1563183.0	1220252.0	1687549.0	1780096.0	1764676.0	1626899.0	1726087.0	1738032.0	1753120.0	1730883.0	1747446.0	1904651.0	1754585.0	1477654.0	1683751.0	1601125.0	1096875.0	1553095.0	1774490.0	1756562.0	1315571.0
CM_periimplantitis__SP_326SPI_T016__bin.2	1753949.0	1694088.0	1145879.0	1555293.0	1496098.0	1547395.0	1678319.0	1720472.0	832285.0	1692629.0	1531397.0	1202178.0	1696219.0	1729062.0	1729272.0	1596657.0	1683497.0	1754464.0	1720529.0	1763146.0	1704504.0	1754585.0	1870054.0	1497601.0	1644272.0	1570563.0	1076905.0	1474002.0	1737488.0	1729710.0	1296467.0
CM_periimplantitis__SP_384SPI_T016__bin.17	1471263.0	1449597.0	977473.0	1315480.0	1274645.0	1376455.0	1432821.0	1463727.0	720039.0	1447551.0	1315091.0	1028284.0	1420673.0	1474979.0	1479735.0	1363663.0	1429408.0	1472174.0	1468225.0	1478417.0	1448331.0	1477654.0	1497601.0	1527204.0	1410420.0	1347593.0	917692.0	1257429.0	1473142.0	1455042.0	1110908.0
HMP_2012__SRS014691__bin.18	1668374.0	1658205.0	1087993.0	1505049.0	1441377.0	1454627.0	1635175.0	1660703.0	811257.0	1696516.0	1488134.0	1172112.0	1592674.0	1680549.0	1680725.0	1543431.0	1610823.0	1638761.0	1665121.0	1639322.0	1629268.0	1683751.0	1644272.0	1410420.0	1745462.0	1533562.0	1054290.0	1430432.0	1673996.0	1656433.0	1247134.0
CM_periimplantitis__SP_163SPT_T016__bin.16	1612738.0	1684294.0	1045604.0	1470673.0	1404143.0	1408347.0	1575916.0	1590211.0	773555.0	1566193.0	1421590.0	1145008.0	1543028.0	1596503.0	1593963.0	1501793.0	1546694.0	1560220.0	1593217.0	1561588.0	1565750.0	1601125.0	1570563.0	1347593.0	1533562.0	1687002.0	1031586.0	1363659.0	1606161.0	1583811.0	1232346.0
HMP_2012__SRS018975__bin.28	1086990.0	1086170.0	754613.0	1069831.0	1021165.0	978580.0	1071893.0	1123022.0	545585.0	1077249.0	984781.0	818240.0	1054183.0	1095467.0	1092391.0	1061646.0	1095954.0	1077027.0	1084230.0	1051087.0	1098490.0	1096875.0	1076905.0	917692.0	1054290.0	1031586.0	1147698.0	957235.0	1099246.0	1143554.0	851838.0
HMP_2012__SRS014476__bin.20	1478910.0	1468134.0	1009288.0	1359075.0	1297923.0	1321144.0	1456491.0	1483641.0	735530.0	1475085.0	1337819.0	1052776.0	1431279.0	1492721.0	1498210.0	1387375.0	1463840.0	1467235.0	1484945.0	1457364.0	1480064.0	1553095.0	1474002.0	1257429.0	1430432.0	1363659.0	957235.0	1590433.0	1501426.0	1480160.0	1129162.0
CM_periimplantitis__SP_502SPI_T016__bin.8	1752435.0	1727581.0	1172782.0	1581428.0	1525734.0	1537140.0	1715684.0	1773171.0	852644.0	1715411.0	1569118.0	1228686.0	1664446.0	1783469.0	1771992.0	1625080.0	1711092.0	1719687.0	1777955.0	1713026.0	1736816.0	1774490.0	1737488.0	1473142.0	1673996.0	1606161.0	1099246.0	1501426.0	1878282.0	1766709.0	1322846.0
HMP_2012__SRS023964__bin.24	1736765.0	1713167.0	1206676.0	1690811.0	1634692.0	1508705.0	1683385.0	1830176.0	848274.0	1699682.0	1551189.0	1225042.0	1651274.0	1745026.0	1743702.0	1656005.0	1742569.0	1708904.0	1741799.0	1694383.0	1780143.0	1756562.0	1729710.0	1455042.0	1656433.0	1583811.0	1143554.0	1480160.0	1766709.0	1981882.0	1336751.0
LiJ_2014__V1.FI17__bin.68	1314432.0	1295705.0	933484.0	1232505.0	1209068.0	1160849.0	1296899.0	1337265.0	669310.0	1282002.0	1174769.0	943295.0	1265547.0	1318155.0	1316628.0	1263525.0	1300920.0	1283311.0	1312389.0	1283638.0	1322117.0	1315571.0	1296467.0	1110908.0	1247134.0	1232346.0	851838.0	1129162.0	1322846.0	1336751.0	1381551.0
