	BritoIL_2016__M2.39.ST__bin.9	CosteaPI_2017__SID713B016-11-0-0__bin.25	LiuW_2016__SRR3992998__bin.92	VatanenT_2016__G80433__bin.12	Obregon-TitoAJ_2015__HCO12__bin.12	CM_madagascar__A39_01_1FE__bin.15	Obregon-TitoAJ_2015__SM23__bin.6	BritoIL_2016__M1.48.ST__bin.83	LiJ_2014__MH0283__bin.10	Obregon-TitoAJ_2015__HCO53__bin.12	BritoIL_2016__W1.9.ST__bin.93	CM_madagascar__A40_02_1FE__bin.5	CosteaPI_2017__SID713A087-11-0-0__bin.38	BritoIL_2016__M1.44.ST__bin.58	RampelliS_2015__H17__bin.51	BritoIL_2016__W3.22.ST__bin.79	BritoIL_2016__M1.15.ST__bin.46	CosteaPI_2017__SID713A084-11-0-0__bin.43	ZeeviD_2015__PNP_Main_623__bin.11	Obregon-TitoAJ_2015__SM33__bin.19	LiuW_2016__SRR3992978__bin.12	BritoIL_2016__W3.18.ST__bin.3	CosteaPI_2017__SID713A084-11-90-0__bin.47	CM_madagascar__A68_01_1FE__bin.1	BritoIL_2016__M1.61.ST__bin.83	BritoIL_2016__M1.3.ST__bin.24	Obregon-TitoAJ_2015__HCO61__bin.16	ZeeviD_2015__PNP_Main_683__bin.41	BritoIL_2016__W1.41.ST__bin.57	BritoIL_2016__W2.61.ST__bin.57	BritoIL_2016__M1.16.ST__bin.55	CosteaPI_2017__SID713B016-11-90-0__bin.6	XieH_2016__YSZC12003_36244__bin.125
BritoIL_2016__W1.9.ST__bin.93	2397395.0	2987475.0	2942439.0	2727465.0	2026504.0	2659872.0	2801114.0	1595088.0	1752608.0	2105990.0	3466041.0	1476232.0	2822856.0	2493472.0	1748351.0	3001479.0	1435733.0	2907948.0	2835180.0	2395310.0	2801750.0	3062472.0	2840957.0	2873767.0	3080775.0	2864232.0	2376296.0	2916145.0	2941781.0	3049968.0	2948519.0	2913898.0	2958648.0
CM_madagascar__A40_02_1FE__bin.5	1235348.0	1478180.0	1447835.0	1377307.0	971537.0	1389826.0	1418955.0	897827.0	994432.0	1166319.0	1476232.0	1736030.0	1400769.0	1276641.0	1006046.0	1500011.0	775907.0	1470917.0	1416220.0	1231495.0	1394202.0	1484048.0	1433866.0	1489470.0	1491896.0	1443889.0	1275454.0	1454240.0	1439922.0	1504041.0	1454333.0	1430428.0	1491281.0
CosteaPI_2017__SID713A087-11-0-0__bin.38	2282839.0	2877655.0	2796844.0	2619803.0	1972726.0	2569866.0	2680497.0	1563893.0	1680070.0	2055075.0	2822856.0	1400769.0	3257697.0	2400700.0	1701846.0	2840215.0	1384134.0	2788962.0	2725586.0	2283739.0	2716653.0	2866078.0	2715485.0	2724119.0	2861182.0	2722684.0	2285714.0	2761212.0	2730523.0	2877777.0	2791689.0	2790493.0	2783567.0
BritoIL_2016__M1.44.ST__bin.58	2064113.0	2530559.0	2475494.0	2313422.0	1706528.0	2297462.0	2384353.0	1580923.0	1527179.0	1882954.0	2493472.0	1276641.0	2400700.0	2917597.0	1571298.0	2537967.0	1255880.0	2436237.0	2383715.0	2051424.0	2398630.0	2528705.0	2372322.0	2437287.0	2546281.0	2708702.0	2052566.0	2472116.0	2442263.0	2545133.0	2476031.0	2447816.0	2475112.0
RampelliS_2015__H17__bin.51	1502452.0	1789934.0	1771975.0	1642451.0	1138356.0	1643585.0	1720990.0	1071747.0	1249013.0	1362354.0	1748351.0	1006046.0	1701846.0	1571298.0	2057803.0	1772443.0	921479.0	1757782.0	1715984.0	1480408.0	1686769.0	1781606.0	1698846.0	1745934.0	1766241.0	1759020.0	1499701.0	1722869.0	1718228.0	1774506.0	1731551.0	1733065.0	1776487.0
BritoIL_2016__W3.22.ST__bin.79	2380569.0	3018521.0	2974227.0	2765907.0	2057220.0	2664050.0	2856718.0	1623050.0	1752644.0	2185032.0	3001479.0	1500011.0	2840215.0	2537967.0	1772443.0	3645559.0	1432106.0	2927416.0	2877608.0	2401478.0	2839249.0	3068651.0	2859801.0	2924839.0	3058155.0	2934587.0	2421877.0	2964457.0	2960949.0	3116224.0	2985915.0	2956795.0	3005928.0
BritoIL_2016__M1.15.ST__bin.46	1180730.0	1447863.0	1425489.0	1330681.0	939461.0	1304760.0	1358955.0	839546.0	919875.0	1078855.0	1435733.0	775907.0	1384134.0	1255880.0	921479.0	1432106.0	1604677.0	1398117.0	1379260.0	1189898.0	1387983.0	1435124.0	1369240.0	1398916.0	1422676.0	1390527.0	1177807.0	1392910.0	1383981.0	1443436.0	1525909.0	1408445.0	1438210.0
CosteaPI_2017__SID713A084-11-0-0__bin.43	2323258.0	3044759.0	2871376.0	2696834.0	2018207.0	2647211.0	2806324.0	1583436.0	1736573.0	2130698.0	2907948.0	1470917.0	2788962.0	2436237.0	1757782.0	2927416.0	1398117.0	3354541.0	2804356.0	2325136.0	2762780.0	3012679.0	3136072.0	2809335.0	2948438.0	2785087.0	2397036.0	2863129.0	2877746.0	2922843.0	2877983.0	2986615.0	2895489.0
ZeeviD_2015__PNP_Main_623__bin.11	2275292.0	2899625.0	2866790.0	2642409.0	1973232.0	2549178.0	2715470.0	1542450.0	1693840.0	2035779.0	2835180.0	1416220.0	2725586.0	2383715.0	1715984.0	2877608.0	1379260.0	2804356.0	3279209.0	2315264.0	2761890.0	2884695.0	2739392.0	2756320.0	2855326.0	2741928.0	2322961.0	2799618.0	2803939.0	2882317.0	2796304.0	2821967.0	2861073.0
Obregon-TitoAJ_2015__SM33__bin.19	1950559.0	2404059.0	2387447.0	2213880.0	1665150.0	2376174.0	2380583.0	1341126.0	1473797.0	1772805.0	2395310.0	1231495.0	2283739.0	2051424.0	1480408.0	2401478.0	1189898.0	2325136.0	2315264.0	2814900.0	2301663.0	2431925.0	2276484.0	2323431.0	2418873.0	2335697.0	1959921.0	2351630.0	2327979.0	2411549.0	2339161.0	2333463.0	2401203.0
LiuW_2016__SRR3992978__bin.12	2247537.0	2863879.0	3098925.0	2662191.0	1990208.0	2544149.0	2714865.0	1553787.0	1636733.0	2028865.0	2801750.0	1394202.0	2716653.0	2398630.0	1686769.0	2839249.0	1387983.0	2762780.0	2761890.0	2301663.0	3158855.0	2850078.0	2690508.0	2742043.0	2864265.0	2739249.0	2297657.0	2782618.0	2761255.0	2870918.0	2811520.0	2793712.0	2851310.0
BritoIL_2016__W3.18.ST__bin.3	2409578.0	3114293.0	3029447.0	2776797.0	2087759.0	2716769.0	2890382.0	1623079.0	1766496.0	2178236.0	3062472.0	1484048.0	2866078.0	2528705.0	1781606.0	3068651.0	1435124.0	3012679.0	2884695.0	2431925.0	2850078.0	3684861.0	2936070.0	2910715.0	3091139.0	2906094.0	2442016.0	2996729.0	2968819.0	3113600.0	3004487.0	3049077.0	2998970.0
CosteaPI_2017__SID713A084-11-90-0__bin.47	2286299.0	2993201.0	2796849.0	2647376.0	1961592.0	2586484.0	2713174.0	1542016.0	1706713.0	2078348.0	2840957.0	1433866.0	2715485.0	2372322.0	1698846.0	2859801.0	1369240.0	3136072.0	2739392.0	2276484.0	2690508.0	2936070.0	3295915.0	2755700.0	2893657.0	2725275.0	2335240.0	2791718.0	2834674.0	2872791.0	2802257.0	2928623.0	2842913.0
CM_madagascar__A68_01_1FE__bin.1	2304366.0	2912011.0	2875707.0	2654830.0	1961042.0	2637620.0	2755433.0	1577600.0	1741858.0	2105868.0	2873767.0	1489470.0	2724119.0	2437287.0	1745934.0	2924839.0	1398916.0	2809335.0	2756320.0	2323431.0	2742043.0	2910715.0	2755700.0	3456113.0	2903207.0	2772310.0	2344575.0	2835992.0	2802685.0	2923130.0	2871996.0	2849347.0	2835276.0
BritoIL_2016__M1.61.ST__bin.83	2380902.0	3042872.0	2984079.0	2794586.0	2068635.0	2733390.0	2874133.0	1632956.0	1797678.0	2184656.0	3080775.0	1491896.0	2861182.0	2546281.0	1766241.0	3058155.0	1422676.0	2948438.0	2855326.0	2418873.0	2864265.0	3091139.0	2893657.0	2903207.0	3666805.0	2944668.0	2440288.0	2949424.0	3009544.0	3118047.0	2984140.0	2976637.0	2965591.0
BritoIL_2016__M1.3.ST__bin.24	2325839.0	2904801.0	2841064.0	2675486.0	1964668.0	2613237.0	2722391.0	1715182.0	1733383.0	2097113.0	2864232.0	1443889.0	2722684.0	2708702.0	1759020.0	2934587.0	1390527.0	2785087.0	2741928.0	2335697.0	2739249.0	2906094.0	2725275.0	2772310.0	2944668.0	3293725.0	2354904.0	2877879.0	2819546.0	2926682.0	2853883.0	2850906.0	2844062.0
Obregon-TitoAJ_2015__HCO61__bin.16	1960065.0	2408724.0	2385784.0	2240173.0	1637649.0	2198382.0	2286542.0	1351575.0	1521082.0	1850707.0	2376296.0	1275454.0	2285714.0	2052566.0	1499701.0	2421877.0	1177807.0	2397036.0	2322961.0	1959921.0	2297657.0	2442016.0	2335240.0	2344575.0	2440288.0	2354904.0	2761920.0	2342906.0	2316420.0	2465547.0	2366350.0	2343805.0	2361250.0
ZeeviD_2015__PNP_Main_683__bin.41	2316848.0	2940090.0	2922785.0	2684061.0	2010329.0	2634355.0	2781690.0	1594967.0	1739478.0	2076487.0	2916145.0	1454240.0	2761212.0	2472116.0	1722869.0	2964457.0	1392910.0	2863129.0	2799618.0	2351630.0	2782618.0	2996729.0	2791718.0	2835992.0	2949424.0	2877879.0	2342906.0	3439203.0	2887619.0	3006307.0	2886703.0	2884160.0	2908863.0
BritoIL_2016__W1.41.ST__bin.57	2300382.0	2982689.0	2892695.0	2659652.0	2006627.0	2569006.0	2743324.0	1570152.0	1709016.0	2066326.0	2941781.0	1439922.0	2730523.0	2442263.0	1718228.0	2960949.0	1383981.0	2877746.0	2803939.0	2327979.0	2761255.0	2968819.0	2834674.0	2802685.0	3009544.0	2819546.0	2316420.0	2887619.0	3473745.0	2976254.0	2898362.0	2940597.0	2946336.0
BritoIL_2016__W2.61.ST__bin.57	2415951.0	3055622.0	3000939.0	2796358.0	2068036.0	2690266.0	2855339.0	1619130.0	1756524.0	2151289.0	3049968.0	1504041.0	2877777.0	2545133.0	1774506.0	3116224.0	1443436.0	2922843.0	2882317.0	2411549.0	2870918.0	3113600.0	2872791.0	2923130.0	3118047.0	2926682.0	2465547.0	3006307.0	2976254.0	3708587.0	3036044.0	2998607.0	2999409.0
BritoIL_2016__M1.16.ST__bin.55	2365648.0	2998516.0	2920385.0	2716691.0	1989997.0	2600898.0	2789176.0	1588276.0	1751848.0	2095369.0	2948519.0	1454333.0	2791689.0	2476031.0	1731551.0	2985915.0	1525909.0	2877983.0	2796304.0	2339161.0	2811520.0	3004487.0	2802257.0	2871996.0	2984140.0	2853883.0	2366350.0	2886703.0	2898362.0	3036044.0	3396153.0	2930676.0	2931231.0
CosteaPI_2017__SID713B016-11-90-0__bin.6	2328670.0	3455631.0	2918894.0	2686754.0	2020445.0	2588826.0	2772008.0	1583669.0	1702344.0	2118449.0	2913898.0	1430428.0	2790493.0	2447816.0	1733065.0	2956795.0	1408445.0	2986615.0	2821967.0	2333463.0	2793712.0	3049077.0	2928623.0	2849347.0	2976637.0	2850906.0	2343805.0	2884160.0	2940597.0	2998607.0	2930676.0	3538642.0	2926529.0
XieH_2016__YSZC12003_36244__bin.125	2321914.0	2998957.0	2964326.0	2731402.0	2034420.0	2617263.0	2786498.0	1583175.0	1769149.0	2099651.0	2958648.0	1491281.0	2783567.0	2475112.0	1776487.0	3005928.0	1438210.0	2895489.0	2861073.0	2401203.0	2851310.0	2998970.0	2842913.0	2835276.0	2965591.0	2844062.0	2361250.0	2908863.0	2946336.0	2999409.0	2931231.0	2926529.0	3522668.0
