	CM_cf__CF_TNFC002SA_t1M15__bin.23	HMP_2012__SRS044373__bin.34	HMP_2012__SRS075404__bin.1	HMP_2012__SRS057539__bin.13	HMP_2012__SRS019327__bin.34	HMP_2012__SRS043663__bin.42	HMP_2012__SRS017209__bin.9	HMP_2012__SRS057205__bin.27	HMP_2012__SRS019122__bin.44	HMP_2012__SRS011306__bin.62	HMP_2012__SRS018739__bin.5	HMP_2012__SRS014271__bin.8	HMP_2012__SRS018439__bin.36	HMP_2012__SRS045715__bin.40	HMP_2012__SRS019126__bin.59	HMP_2012__SRS024081__bin.34	HMP_2012__SRS078182__bin.43	HMP_2012__SRS019127__bin.43	HMP_2012__SRS016319__bin.52	HMP_2012__SRS048791__bin.59	HMP_2012__SRS016225__bin.42	HMP_2012__SRS019071__bin.66	HMP_2012__SRS019607__bin.64	FerrettiP_2018__CA_C10031MS2525SA_t0M15__bin.13	HMP_2012__SRS013705__bin.70	HMP_2012__SRS062761__bin.52
HMP_2012__SRS014271__bin.8	2228660.0	2243954.0	2255331.0	1544956.0	1113185.0	1700044.0	1434120.0	2327948.0	2337077.0	1608005.0	1227047.0	2671698.0	2124217.0	2254950.0	2143339.0	2220287.0	2374536.0	2093801.0	2059172.0	2058060.0	1484374.0	1315987.0	1999237.0	1857487.0	2053162.0	1771692.0
HMP_2012__SRS018439__bin.36	2065921.0	2039740.0	2030788.0	1467972.0	1060325.0	1597181.0	1376994.0	2113420.0	2117815.0	1547977.0	1169920.0	2124217.0	2297962.0	2062056.0	1984777.0	2059727.0	2158542.0	1952728.0	1893983.0	1902239.0	1417196.0	1251894.0	1848195.0	1762505.0	1956901.0	1660176.0
HMP_2012__SRS045715__bin.40	2148490.0	2196867.0	2150689.0	1526935.0	1088329.0	1667609.0	1391212.0	2234392.0	2293564.0	1582910.0	1209791.0	2254950.0	2062056.0	2455895.0	2134130.0	2152017.0	2287847.0	2055788.0	2011854.0	2024004.0	1449457.0	1317909.0	1974185.0	1803822.0	2001686.0	1712643.0
HMP_2012__SRS019126__bin.59	2043310.0	2114160.0	2042880.0	1474994.0	1067673.0	1609012.0	1355902.0	2128608.0	2261229.0	1542637.0	1171082.0	2143339.0	1984777.0	2134130.0	2277500.0	2073886.0	2163935.0	2003699.0	1922659.0	1955384.0	1414434.0	1275554.0	1896916.0	1736600.0	1904320.0	1676105.0
HMP_2012__SRS024081__bin.34	2105155.0	2143013.0	2109017.0	1464000.0	1099942.0	1646678.0	1398424.0	2188154.0	2190241.0	1566530.0	1197065.0	2220287.0	2059727.0	2152017.0	2073886.0	2439225.0	2251736.0	1967769.0	1969340.0	1973457.0	1423283.0	1279043.0	1923212.0	1742416.0	1945802.0	1724527.0
HMP_2012__SRS078182__bin.43	2269245.0	2271310.0	2255683.0	1556022.0	1120455.0	1711977.0	1479774.0	2407504.0	2359419.0	1628993.0	1232811.0	2374536.0	2158542.0	2287847.0	2163935.0	2251736.0	2648341.0	2111720.0	2073434.0	2075724.0	1488436.0	1318701.0	2021227.0	1866538.0	2069965.0	1784779.0
HMP_2012__SRS019127__bin.43	2021709.0	2041422.0	2015317.0	1494545.0	1021907.0	1544215.0	1331922.0	2087333.0	2163254.0	1507827.0	1133440.0	2093801.0	1952728.0	2055788.0	2003699.0	1967769.0	2111720.0	2245114.0	1861044.0	1874342.0	1419440.0	1221292.0	1816461.0	1770246.0	1908200.0	1615756.0
HMP_2012__SRS016319__bin.52	1965268.0	1993879.0	1985154.0	1397768.0	1050976.0	1558346.0	1317338.0	2030476.0	2051243.0	1471766.0	1159807.0	2059172.0	1893983.0	2011854.0	1922659.0	1969340.0	2073434.0	1861044.0	2336374.0	1827226.0	1359494.0	1234986.0	1794696.0	1640406.0	1832161.0	1615438.0
HMP_2012__SRS048791__bin.59	1972556.0	2011678.0	1976989.0	1414233.0	1053783.0	1569578.0	1329854.0	2037888.0	2064775.0	1473631.0	1140734.0	2058060.0	1902239.0	2024004.0	1955384.0	1973457.0	2075724.0	1874342.0	1827226.0	2252720.0	1369507.0	1236614.0	1819851.0	1655492.0	1831510.0	1622835.0
HMP_2012__SRS016225__bin.42	1418789.0	1438351.0	1416469.0	1103125.0	819954.0	1164577.0	1030517.0	1477146.0	1484114.0	1131198.0	881924.0	1484374.0	1417196.0	1449457.0	1414434.0	1423283.0	1488436.0	1419440.0	1359494.0	1369507.0	1562761.0	919183.0	1322021.0	1259144.0	1370681.0	1211829.0
HMP_2012__SRS019071__bin.66	1250662.0	1298503.0	1267633.0	936825.0	767049.0	1063517.0	918109.0	1309470.0	1320878.0	1056013.0	825204.0	1315987.0	1251894.0	1317909.0	1275554.0	1279043.0	1318701.0	1221292.0	1234986.0	1236614.0	919183.0	1439133.0	1200188.0	1084728.0	1194815.0	1073866.0
HMP_2012__SRS019607__bin.64	1902267.0	1971096.0	1915858.0	1359701.0	1026412.0	1547020.0	1301623.0	1970907.0	2011272.0	1450719.0	1115372.0	1999237.0	1848195.0	1974185.0	1896916.0	1923212.0	2021227.0	1816461.0	1794696.0	1819851.0	1322021.0	1200188.0	2252612.0	1609503.0	1764377.0	1583070.0
FerrettiP_2018__CA_C10031MS2525SA_t0M15__bin.13	1822643.0	1802063.0	1767553.0	1349256.0	920880.0	1399933.0	1217608.0	1827410.0	1872352.0	1351963.0	1008636.0	1857487.0	1762505.0	1803822.0	1736600.0	1742416.0	1866538.0	1770246.0	1640406.0	1655492.0	1259144.0	1084728.0	1609503.0	1970193.0	1732351.0	1439347.0
HMP_2012__SRS013705__bin.70	1988905.0	1974791.0	1992273.0	1437829.0	1037933.0	1535357.0	1324536.0	2028917.0	2057788.0	1467889.0	1120016.0	2053162.0	1956901.0	2001686.0	1904320.0	1945802.0	2069965.0	1908200.0	1832161.0	1831510.0	1370681.0	1194815.0	1764377.0	1732351.0	2191917.0	1593474.0
HMP_2012__SRS062761__bin.52	1679617.0	1724300.0	1715354.0	1226751.0	926759.0	1444862.0	1130561.0	1755659.0	1748940.0	1324150.0	1017221.0	1771692.0	1660176.0	1712643.0	1676105.0	1724527.0	1784779.0	1615756.0	1615438.0	1622835.0	1211829.0	1073866.0	1583070.0	1439347.0	1593474.0	1936176.0
