	OhJ_2014__MET0249__bin.5	OhJ_2014__MET0026__bin.1	OhJ_2014__MET0238__bin.3	FerrettiP_2018__CA_C10035IS2605FE_t2M15__bin.4	OhJ_2014__MET0067__bin.3	OhJ_2014__MET0254__bin.2	OhJ_2014__MET0232__bin.3	OhJ_2014__MET0204__bin.7	OhJ_2014__MET0258__bin.6	OhJ_2014__MET0297__bin.3	OhJ_2014__MET0202__bin.4	HMP_2012__SRS024596__bin.6	OhJ_2014__MET0188__bin.12	OhJ_2014__MET0266__bin.3	HMP_2012__SRS017849__bin.5	OhJ_2014__MET0197__bin.1	OhJ_2014__MET0276__bin.31	OhJ_2014__MET0314__bin.3	OhJ_2014__MET0259__bin.28	HMP_2012__SRS020263__bin.4	OhJ_2014__MET0212__bin.8	HMP_2012__SRS019016__bin.5	OhJ_2014__MET0076__bin.2	OhJ_2014__MET0296__bin.3	OhJ_2014__MET0014__bin.2	OhJ_2014__MET0288__bin.6	HMP_2012__SRS058182__bin.3	OhJ_2014__MET0250__bin.9	OhJ_2014__MET0199__bin.9	OhJ_2014__MET0306__bin.4	HMP_2012__SRS024598__bin.3	HMP_2012__SRS015381__bin.1	OhJ_2014__MET0190__bin.9	OhJ_2014__MET0292__bin.1	OhJ_2014__MET0207__bin.1	OhJ_2014__MET0317__bin.3	OhJ_2014__MET0246__bin.3	OhJ_2014__MET0311__bin.3	HMP_2012__SRS020261__bin.4	OhJ_2014__MET0211__bin.5	OhJ_2014__MET0262__bin.1	OhJ_2014__MET0243__bin.10	HMP_2012__SRS024482__bin.7	OhJ_2014__MET0216__bin.2	HMP_2012__SRS017851__bin.9	FerrettiP_2018__CA_C10042MS2726SK_t0M15__bin.4	HMP_2012__SRS013261__bin.1
OhJ_2014__MET0266__bin.3	1867822.0	1809362.0	1733110.0	1352608.0	993441.0	1532330.0	1824181.0	1750217.0	1360309.0	1130420.0	1688632.0	1852749.0	1418244.0	2048339.0	1459784.0	1734845.0	1471632.0	959941.0	1594158.0	1900363.0	1196306.0	1885636.0	1897981.0	1617714.0	1846317.0	1635395.0	1530999.0	1700485.0	1757017.0	1858579.0	1880724.0	1848573.0	1761382.0	1430766.0	1284310.0	1918120.0	1768096.0	1791081.0	1903960.0	1843460.0	1510778.0	1398164.0	1494223.0	1748530.0	1916281.0	1333575.0	1842090.0
HMP_2012__SRS017849__bin.5	1451838.0	1412265.0	1334530.0	1041471.0	789561.0	1230927.0	1423494.0	1386777.0	1088541.0	903010.0	1350899.0	1459853.0	1115606.0	1459784.0	1513748.0	1364460.0	1159218.0	777428.0	1273957.0	1473390.0	930593.0	1471125.0	1484983.0	1276062.0	1452351.0	1332692.0	1244570.0	1355346.0	1420199.0	1448544.0	1455467.0	1465116.0	1375762.0	1148343.0	1073106.0	1474006.0	1417106.0	1401393.0	1486069.0	1443304.0	1225702.0	1106236.0	1191502.0	1377999.0	1474437.0	1078368.0	1436490.0
OhJ_2014__MET0197__bin.1	1933989.0	1862449.0	1778260.0	1238054.0	1025227.0	1576353.0	1882693.0	1735202.0	1394804.0	1157922.0	1699907.0	1780280.0	1476002.0	1734845.0	1364460.0	1943862.0	1486348.0	970482.0	1642638.0	1761072.0	1158467.0	1735322.0	1871231.0	1647466.0	1710291.0	1637286.0	1409501.0	1755994.0	1842222.0	1840497.0	1814653.0	1712447.0	1847561.0	1461705.0	1306586.0	1777480.0	1845027.0	1757339.0	1770988.0	1765956.0	1513114.0	1445150.0	1460400.0	1741942.0	1764280.0	1296773.0	1771356.0
OhJ_2014__MET0276__bin.31	1570078.0	1531528.0	1453323.0	1048560.0	847523.0	1289936.0	1543950.0	1481149.0	1179278.0	990118.0	1421438.0	1501018.0	1228656.0	1471632.0	1159218.0	1486348.0	1619291.0	837839.0	1357071.0	1488467.0	1002528.0	1467486.0	1564093.0	1381704.0	1454082.0	1385378.0	1189377.0	1463902.0	1511864.0	1546057.0	1532299.0	1457271.0	1503385.0	1253960.0	1135014.0	1496520.0	1514938.0	1488222.0	1496370.0	1487235.0	1279207.0	1188246.0	1248144.0	1476650.0	1479204.0	1112454.0	1490775.0
OhJ_2014__MET0314__bin.3	1020345.0	999195.0	950234.0	682693.0	543612.0	855878.0	1007598.0	973484.0	762141.0	619715.0	954266.0	975055.0	814682.0	959941.0	777428.0	970482.0	837839.0	1049291.0	908226.0	970525.0	659831.0	951702.0	1007134.0	911663.0	960651.0	915159.0	794564.0	955343.0	997827.0	994365.0	996286.0	976879.0	978732.0	805935.0	763482.0	971715.0	1002272.0	966393.0	972572.0	966137.0	848537.0	791890.0	793747.0	960598.0	965186.0	757191.0	979290.0
OhJ_2014__MET0259__bin.28	1727594.0	1679693.0	1607934.0	1140394.0	960366.0	1422053.0	1705183.0	1590306.0	1268175.0	1044547.0	1568772.0	1627009.0	1334566.0	1594158.0	1273957.0	1642638.0	1357071.0	908226.0	1812475.0	1609256.0	1069081.0	1595212.0	1696181.0	1503624.0	1565719.0	1508720.0	1305325.0	1595852.0	1646160.0	1681892.0	1654864.0	1579074.0	1644998.0	1342992.0	1198457.0	1630626.0	1651095.0	1603346.0	1622757.0	1620904.0	1393428.0	1311653.0	1340390.0	1590015.0	1614605.0	1187927.0	1610785.0
HMP_2012__SRS020263__bin.4	1872649.0	1832931.0	1750090.0	1385300.0	1008310.0	1524210.0	1837629.0	1787734.0	1380891.0	1148667.0	1675821.0	1849575.0	1419860.0	1900363.0	1473390.0	1761072.0	1488467.0	970525.0	1609256.0	2089368.0	1175000.0	1920910.0	1942744.0	1640861.0	1906157.0	1671405.0	1522806.0	1719793.0	1786496.0	1888176.0	1888794.0	1891736.0	1778767.0	1463212.0	1303599.0	1942697.0	1795411.0	1810153.0	2003889.0	1872025.0	1544486.0	1413706.0	1523511.0	1771697.0	1952420.0	1349713.0	1851042.0
OhJ_2014__MET0212__bin.8	1249675.0	1202917.0	1147840.0	840765.0	685289.0	1074845.0	1209865.0	1190711.0	969485.0	789239.0	1177383.0	1205343.0	959157.0	1196306.0	930593.0	1158467.0	1002528.0	659831.0	1069081.0	1175000.0	1331956.0	1160286.0	1220063.0	1098199.0	1154150.0	1117401.0	963165.0	1151720.0	1187302.0	1233687.0	1233730.0	1156117.0	1169537.0	972275.0	936775.0	1175401.0	1191251.0	1196676.0	1173894.0	1176304.0	1077266.0	937504.0	983171.0	1234778.0	1161088.0	915257.0	1169368.0
HMP_2012__SRS019016__bin.5	1845208.0	1817458.0	1727395.0	1379150.0	994799.0	1508501.0	1807052.0	1753830.0	1355523.0	1141395.0	1667206.0	1813479.0	1404484.0	1885636.0	1471125.0	1735322.0	1467486.0	951702.0	1595212.0	1920910.0	1160286.0	1996117.0	1903066.0	1622137.0	1857491.0	1634444.0	1503353.0	1696869.0	1778395.0	1856179.0	1845479.0	1855165.0	1751729.0	1439482.0	1284454.0	1924426.0	1773899.0	1778378.0	1925733.0	1841989.0	1513335.0	1402414.0	1499649.0	1745917.0	1942375.0	1327060.0	1812775.0
OhJ_2014__MET0076__bin.2	1987959.0	1929392.0	1854914.0	1369278.0	1061931.0	1616498.0	1940072.0	1862701.0	1451738.0	1197078.0	1763676.0	1942285.0	1494371.0	1897981.0	1484983.0	1871231.0	1564093.0	1007134.0	1696181.0	1942744.0	1220063.0	1903066.0	2145101.0	1728640.0	1868249.0	1759911.0	1529807.0	1802309.0	1888854.0	1994194.0	1971130.0	1884179.0	1880012.0	1539245.0	1372180.0	1937527.0	1902573.0	1883298.0	1946442.0	1909831.0	1609585.0	1484377.0	1609024.0	1858842.0	1931312.0	1405730.0	1931543.0
OhJ_2014__MET0296__bin.3	1741385.0	1709585.0	1689320.0	1168536.0	936211.0	1428914.0	1725061.0	1612055.0	1310511.0	1100435.0	1592166.0	1644157.0	1344698.0	1617714.0	1276062.0	1647466.0	1381704.0	911663.0	1503624.0	1640861.0	1098199.0	1622137.0	1728640.0	1833495.0	1591390.0	1529463.0	1306289.0	1618809.0	1680341.0	1726473.0	1678083.0	1596018.0	1661176.0	1426829.0	1226571.0	1644469.0	1673719.0	1643441.0	1647023.0	1642274.0	1414533.0	1324159.0	1377038.0	1637302.0	1635773.0	1228693.0	1642196.0
OhJ_2014__MET0014__bin.2	1812977.0	1775968.0	1691169.0	1328394.0	971642.0	1482221.0	1783659.0	1725858.0	1350636.0	1119682.0	1658396.0	1807004.0	1378336.0	1846317.0	1452351.0	1710291.0	1454082.0	960651.0	1565719.0	1906157.0	1154150.0	1857491.0	1868249.0	1591390.0	1938921.0	1619775.0	1482759.0	1677669.0	1757571.0	1819191.0	1852735.0	1863636.0	1726033.0	1415407.0	1284804.0	1875520.0	1758621.0	1758446.0	1908426.0	1813819.0	1502120.0	1376032.0	1469119.0	1743764.0	1886871.0	1333765.0	1791671.0
OhJ_2014__MET0288__bin.6	1730615.0	1682867.0	1617840.0	1175969.0	932588.0	1446660.0	1696370.0	1664437.0	1274041.0	1059062.0	1592373.0	1698796.0	1328126.0	1635395.0	1332692.0	1637286.0	1385378.0	915159.0	1508720.0	1671405.0	1117401.0	1634444.0	1759911.0	1529463.0	1619775.0	1812825.0	1345032.0	1613785.0	1674417.0	1734190.0	1710645.0	1642651.0	1646630.0	1359223.0	1258507.0	1655653.0	1684021.0	1639074.0	1675079.0	1653008.0	1457491.0	1308154.0	1391014.0	1670336.0	1646239.0	1249732.0	1666996.0
HMP_2012__SRS058182__bin.3	1488330.0	1458436.0	1381344.0	1083443.0	799452.0	1251533.0	1455961.0	1452253.0	1118084.0	916273.0	1364988.0	1479744.0	1154543.0	1530999.0	1244570.0	1409501.0	1189377.0	794564.0	1305325.0	1522806.0	963165.0	1503353.0	1529807.0	1306289.0	1482759.0	1345032.0	1652059.0	1391582.0	1432597.0	1492238.0	1492942.0	1493553.0	1430062.0	1161718.0	1078329.0	1533522.0	1428308.0	1439470.0	1523159.0	1489005.0	1241675.0	1144557.0	1228236.0	1409215.0	1523594.0	1094606.0	1463009.0
OhJ_2014__MET0250__bin.9	1844902.0	1793227.0	1732916.0	1214497.0	990243.0	1537521.0	1837634.0	1693087.0	1356981.0	1141595.0	1667080.0	1730072.0	1397526.0	1700485.0	1355346.0	1755994.0	1463902.0	955343.0	1595852.0	1719793.0	1151720.0	1696869.0	1802309.0	1618809.0	1677669.0	1613785.0	1391582.0	1887445.0	1781510.0	1794921.0	1760038.0	1679902.0	1751430.0	1452559.0	1284617.0	1722648.0	1783882.0	1708309.0	1720952.0	1711596.0	1498638.0	1402330.0	1419925.0	1706294.0	1710032.0	1273463.0	1719708.0
OhJ_2014__MET0199__bin.9	1943713.0	1888750.0	1797285.0	1252270.0	1017426.0	1589886.0	1909346.0	1757160.0	1410734.0	1153375.0	1765515.0	1805505.0	1453648.0	1757017.0	1420199.0	1842222.0	1511864.0	997827.0	1646160.0	1786496.0	1187302.0	1778395.0	1888854.0	1680341.0	1757571.0	1674417.0	1432597.0	1781510.0	1979537.0	1863767.0	1829363.0	1792889.0	1842548.0	1499918.0	1336080.0	1796587.0	1899213.0	1767852.0	1790559.0	1785948.0	1545822.0	1424290.0	1478402.0	1794489.0	1778517.0	1346218.0	1788512.0
OhJ_2014__MET0306__bin.4	1956815.0	1904215.0	1849326.0	1329977.0	1056600.0	1609385.0	1935477.0	1854975.0	1437434.0	1195090.0	1766246.0	1875157.0	1485323.0	1858579.0	1448544.0	1840497.0	1546057.0	994365.0	1681892.0	1888176.0	1233687.0	1856179.0	1994194.0	1726473.0	1819191.0	1734190.0	1492238.0	1794921.0	1863767.0	2145176.0	1911692.0	1828152.0	1854008.0	1541766.0	1353065.0	1896856.0	1878228.0	1893249.0	1891938.0	1891768.0	1622910.0	1465654.0	1555664.0	1920915.0	1880217.0	1380228.0	1875021.0
HMP_2012__SRS024598__bin.3	1966365.0	1872944.0	1782848.0	1318567.0	1036286.0	1616421.0	1879359.0	1824551.0	1417968.0	1166962.0	1759149.0	1972763.0	1462787.0	1880724.0	1455467.0	1814653.0	1532299.0	996286.0	1654864.0	1888794.0	1233730.0	1845479.0	1971130.0	1678083.0	1852735.0	1710645.0	1492942.0	1760038.0	1829363.0	1911692.0	2061069.0	1829850.0	1840040.0	1492420.0	1333624.0	1878326.0	1834654.0	1825615.0	1894024.0	1880284.0	1569859.0	1450478.0	1555455.0	1799173.0	1869000.0	1377447.0	1931344.0
HMP_2012__SRS015381__bin.1	1825052.0	1779846.0	1697587.0	1341791.0	964858.0	1492635.0	1786478.0	1739677.0	1345742.0	1113596.0	1678826.0	1801086.0	1382339.0	1848573.0	1465116.0	1712447.0	1457271.0	976879.0	1579074.0	1891736.0	1156117.0	1855165.0	1884179.0	1596018.0	1863636.0	1642651.0	1493553.0	1679902.0	1792889.0	1828152.0	1829850.0	1973196.0	1726673.0	1418905.0	1287180.0	1900681.0	1783889.0	1763093.0	1894341.0	1816377.0	1532586.0	1364038.0	1483128.0	1763096.0	1883785.0	1348128.0	1797102.0
OhJ_2014__MET0190__bin.9	1963444.0	1884919.0	1784541.0	1255251.0	1043163.0	1591629.0	1904786.0	1748836.0	1408265.0	1159330.0	1707049.0	1791563.0	1486677.0	1761382.0	1375762.0	1847561.0	1503385.0	978732.0	1644998.0	1778767.0	1169537.0	1751729.0	1880012.0	1661176.0	1726033.0	1646630.0	1430062.0	1751430.0	1842548.0	1854008.0	1840040.0	1726673.0	2024179.0	1475586.0	1315277.0	1791066.0	1856240.0	1771878.0	1785664.0	1775800.0	1522837.0	1456331.0	1478012.0	1753871.0	1775470.0	1315330.0	1798681.0
OhJ_2014__MET0292__bin.1	1557180.0	1525335.0	1522597.0	1033385.0	843125.0	1287486.0	1541376.0	1436350.0	1155120.0	981151.0	1430262.0	1480308.0	1207669.0	1430766.0	1148343.0	1461705.0	1253960.0	805935.0	1342992.0	1463212.0	972275.0	1439482.0	1539245.0	1426829.0	1415407.0	1359223.0	1161718.0	1452559.0	1499918.0	1541766.0	1492420.0	1418905.0	1475586.0	1666520.0	1111414.0	1462339.0	1493588.0	1467392.0	1465985.0	1455548.0	1257818.0	1187166.0	1225334.0	1458656.0	1452637.0	1096937.0	1483425.0
OhJ_2014__MET0207__bin.1	1373106.0	1334090.0	1290312.0	915453.0	758948.0	1180790.0	1342523.0	1316290.0	1053690.0	858983.0	1268923.0	1324894.0	1081312.0	1284310.0	1073106.0	1306586.0	1135014.0	763482.0	1198457.0	1303599.0	936775.0	1284454.0	1372180.0	1226571.0	1284804.0	1258507.0	1078329.0	1284617.0	1336080.0	1353065.0	1333624.0	1287180.0	1315277.0	1111414.0	1480329.0	1302443.0	1344042.0	1319983.0	1303671.0	1298904.0	1178288.0	1038963.0	1083781.0	1332166.0	1291300.0	1013029.0	1319318.0
OhJ_2014__MET0317__bin.3	1885206.0	1853611.0	1766257.0	1397547.0	1013808.0	1536593.0	1845993.0	1774516.0	1380536.0	1154158.0	1686875.0	1840665.0	1433272.0	1918120.0	1474006.0	1777480.0	1496520.0	971715.0	1630626.0	1942697.0	1175401.0	1924426.0	1937527.0	1644469.0	1875520.0	1655653.0	1533522.0	1722648.0	1796587.0	1896856.0	1878326.0	1900681.0	1791066.0	1462339.0	1302443.0	2025388.0	1802227.0	1823428.0	1947281.0	1875179.0	1555748.0	1428823.0	1520272.0	1790823.0	1964593.0	1342644.0	1847883.0
OhJ_2014__MET0246__bin.3	1969089.0	1889565.0	1807968.0	1263253.0	1011537.0	1587854.0	1910105.0	1777255.0	1416534.0	1164939.0	1752764.0	1812758.0	1462383.0	1768096.0	1417106.0	1845027.0	1514938.0	1002272.0	1651095.0	1795411.0	1191251.0	1773899.0	1902573.0	1673719.0	1758621.0	1684021.0	1428308.0	1783882.0	1899213.0	1878228.0	1834654.0	1783889.0	1856240.0	1493588.0	1344042.0	1802227.0	2022148.0	1787545.0	1801831.0	1788154.0	1561523.0	1441424.0	1481039.0	1806819.0	1788455.0	1347508.0	1801609.0
OhJ_2014__MET0311__bin.3	1868579.0	1816210.0	1750593.0	1281291.0	1002100.0	1528073.0	1839229.0	1802065.0	1391242.0	1145548.0	1678159.0	1787946.0	1424954.0	1791081.0	1401393.0	1757339.0	1488222.0	966393.0	1603346.0	1810153.0	1196676.0	1778378.0	1883298.0	1643441.0	1758446.0	1639074.0	1439470.0	1708309.0	1767852.0	1893249.0	1825615.0	1763093.0	1771878.0	1467392.0	1319983.0	1823428.0	1787545.0	2045251.0	1814482.0	1812750.0	1576188.0	1405126.0	1493196.0	1794589.0	1805303.0	1330808.0	1786949.0
HMP_2012__SRS020261__bin.4	1880232.0	1841748.0	1759867.0	1388034.0	1011577.0	1534875.0	1846051.0	1790947.0	1383981.0	1153660.0	1682493.0	1858879.0	1430659.0	1903960.0	1486069.0	1770988.0	1496370.0	972572.0	1622757.0	2003889.0	1173894.0	1925733.0	1946442.0	1647023.0	1908426.0	1675079.0	1523159.0	1720952.0	1790559.0	1891938.0	1894024.0	1894341.0	1785664.0	1465985.0	1303671.0	1947281.0	1801831.0	1814482.0	2020610.0	1877564.0	1544228.0	1424922.0	1526165.0	1777634.0	1955344.0	1360048.0	1861389.0
OhJ_2014__MET0211__bin.5	1870725.0	1817628.0	1739784.0	1320344.0	996252.0	1522602.0	1836074.0	1773898.0	1378277.0	1128048.0	1672878.0	1836456.0	1422081.0	1843460.0	1443304.0	1765956.0	1487235.0	966137.0	1620904.0	1872025.0	1176304.0	1841989.0	1909831.0	1642274.0	1813819.0	1653008.0	1489005.0	1711596.0	1785948.0	1891768.0	1880284.0	1816377.0	1775800.0	1455548.0	1298904.0	1875179.0	1788154.0	1812750.0	1877564.0	1977426.0	1536378.0	1409110.0	1505259.0	1779572.0	1868525.0	1340104.0	1833943.0
OhJ_2014__MET0262__bin.1	1601918.0	1560383.0	1493149.0	1097943.0	881219.0	1381143.0	1577215.0	1591953.0	1230549.0	986990.0	1508806.0	1530254.0	1228684.0	1510778.0	1225702.0	1513114.0	1279207.0	848537.0	1393428.0	1544486.0	1077266.0	1513335.0	1609585.0	1414533.0	1502120.0	1457491.0	1241675.0	1498638.0	1545822.0	1622910.0	1569859.0	1532586.0	1522837.0	1257818.0	1178288.0	1555748.0	1561523.0	1576188.0	1544228.0	1536378.0	1774871.0	1212234.0	1277272.0	1650791.0	1520590.0	1144911.0	1522118.0
