	ZeeviD_2015__PNP_Main_140__bin.60	RaymondF_2016__P7C0__bin.4	XieH_2016__YSZC12003_37332__bin.99	ZeeviD_2015__PNP_Main_712__bin.58	XieH_2016__YSZC12003_36534__bin.4	XieH_2016__YSZC12003_36049__bin.84	LeChatelierE_2013__MH0457__bin.50	XieH_2016__YSZC12003_37314__bin.26	XieH_2016__YSZC12003_37348__bin.73	Bengtsson-PalmeJ_2015__TRAVELRES5__bin.98	XieH_2016__YSZC12003_35506__bin.67	XieH_2016__YSZC12003_37399__bin.34	XieH_2016__YSZC12003_35991__bin.74	XieH_2016__YSZC12003_37182R1__bin.91	XieH_2016__YSZC12003_37171__bin.15	XieH_2016__YSZC12003_35552__bin.42	LeChatelierE_2013__MH0431__bin.38	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.43	ZeeviD_2015__PNP_Main_589__bin.51	XieH_2016__YSZC12003_35387__bin.38	ZellerG_2014__CCIS16561622ST-4-0__bin.101	RaymondF_2016__P13E90__bin.60	XieH_2016__YSZC12003_37192R1__bin.125	LiJ_2014__V1.FI17__bin.65	XieH_2016__YSZC12003_37798__bin.1	XieH_2016__YSZC12003_37102__bin.80	XieH_2016__YSZC12003_36058__bin.134	Bengtsson-PalmeJ_2015__TRAVELRES25__bin.12	XieH_2016__YSZC12003_36525__bin.33	ZeeviD_2015__PNP_Main_524__bin.3	RaymondF_2016__P7C7__bin.43	XieH_2016__YSZC12003_35549__bin.60
XieH_2016__YSZC12003_35506__bin.67	6614.0	62005.0	5024.0	17287.0	13335.0	7410.0	14038.0	59238.0	13551.0	12932.0	0.0	19304.0	14023.0	22244.0	24277.0	13988.0	14245.0	14753.0	16298.0	14324.0	11150.0	8358.0	24275.0	9658.0	8786.0	55081.0	13578.0	23888.0	60052.0	6726.0	59335.0	14477.0
XieH_2016__YSZC12003_37399__bin.34	13352.0	64696.0	25499.0	25662.0	24034.0	17617.0	24959.0	63762.0	25475.0	23867.0	19304.0	0.0	25612.0	20483.0	16674.0	24813.0	24826.0	26720.0	23738.0	25266.0	10368.0	25004.0	22953.0	17182.0	25893.0	59227.0	25213.0	8465.0	63179.0	20188.0	62927.0	25964.0
XieH_2016__YSZC12003_35991__bin.74	8848.0	88740.0	19093.0	24365.0	18653.0	13113.0	15134.0	85581.0	13768.0	17284.0	14023.0	25612.0	0.0	31397.0	33959.0	18920.0	18286.0	20585.0	21858.0	14804.0	15353.0	18575.0	33433.0	9806.0	19680.0	77756.0	13018.0	32971.0	85006.0	15704.0	85113.0	15593.0
XieH_2016__YSZC12003_37182R1__bin.91	15140.0	78584.0	29697.0	29341.0	29081.0	21052.0	30391.0	76158.0	29820.0	28122.0	22244.0	20483.0	31397.0	0.0	26218.0	30272.0	29561.0	31739.0	28197.0	30846.0	11200.0	29500.0	25044.0	20060.0	30612.0	71441.0	29505.0	24797.0	76357.0	24061.0	75625.0	31553.0
XieH_2016__YSZC12003_37171__bin.15	16000.0	85404.0	32840.0	32630.0	31347.0	22884.0	33030.0	82822.0	32452.0	30510.0	24277.0	16674.0	33959.0	26218.0	0.0	32694.0	32719.0	35013.0	30963.0	33454.0	12973.0	31990.0	29886.0	21616.0	33666.0	76924.0	32584.0	19754.0	82448.0	26159.0	83438.0	34061.0
XieH_2016__YSZC12003_35552__bin.42	8499.0	88865.0	18729.0	24400.0	14193.0	13435.0	19192.0	85047.0	18381.0	18136.0	13988.0	24813.0	18920.0	30272.0	32694.0	0.0	19178.0	21549.0	22595.0	19396.0	15151.0	19572.0	33472.0	12609.0	20177.0	78192.0	18179.0	32349.0	85481.0	15885.0	86146.0	19486.0
LeChatelierE_2013__MH0431__bin.38	8915.0	81075.0	18497.0	24030.0	18531.0	13490.0	16968.0	78837.0	16134.0	18410.0	14245.0	24826.0	18286.0	29561.0	32719.0	19178.0	0.0	20944.0	21836.0	17484.0	15051.0	18830.0	31940.0	11751.0	19497.0	72131.0	16728.0	31619.0	78780.0	15332.0	78050.0	16315.0
Bengtsson-PalmeJ_2015__TRAVELRES6__bin.43	9848.0	88589.0	19807.0	25607.0	20434.0	14495.0	20676.0	85392.0	19540.0	519.0	14753.0	26720.0	20585.0	31739.0	35013.0	21549.0	20944.0	0.0	23734.0	20989.0	16187.0	19795.0	35229.0	13316.0	20355.0	78492.0	19404.0	34521.0	85544.0	16230.0	86323.0	21447.0
ZeeviD_2015__PNP_Main_589__bin.51	10553.0	75903.0	20675.0	19708.0	20899.0	14338.0	21074.0	72951.0	21456.0	20613.0	16298.0	23738.0	21858.0	28197.0	30963.0	22595.0	21836.0	23734.0	0.0	21681.0	14076.0	20459.0	30524.0	14715.0	21545.0	68263.0	21301.0	29959.0	73316.0	16902.0	73758.0	21622.0
XieH_2016__YSZC12003_35387__bin.38	8292.0	88572.0	19104.0	24489.0	18780.0	13183.0	14986.0	86246.0	13929.0	17562.0	14324.0	25266.0	14804.0	30846.0	33454.0	19396.0	17484.0	20989.0	21681.0	0.0	14542.0	18682.0	33528.0	9644.0	19865.0	78288.0	12796.0	33215.0	85139.0	15203.0	85708.0	15526.0
ZellerG_2014__CCIS16561622ST-4-0__bin.101	8126.0	42853.0	14981.0	13993.0	14599.0	10386.0	15362.0	41362.0	13680.0	13706.0	11150.0	10368.0	15353.0	11200.0	12973.0	15151.0	15051.0	16187.0	14076.0	14542.0	0.0	14963.0	2168.0	9510.0	15162.0	39621.0	14253.0	12834.0	41734.0	12761.0	41564.0	15763.0
RaymondF_2016__P13E90__bin.60	7837.0	81054.0	12070.0	23212.0	18229.0	8270.0	18575.0	78965.0	17209.0	17323.0	8358.0	25004.0	18575.0	29500.0	31990.0	19572.0	18830.0	19795.0	20459.0	18682.0	14963.0	0.0	32193.0	11877.0	11050.0	71944.0	17544.0	31499.0	78622.0	2384.0	79032.0	18851.0
XieH_2016__YSZC12003_37192R1__bin.125	15864.0	90666.0	32915.0	32436.0	31848.0	22641.0	33755.0	87867.0	32280.0	30285.0	24275.0	22953.0	33433.0	25044.0	29886.0	33472.0	31940.0	35229.0	30524.0	33528.0	2168.0	32193.0	0.0	21641.0	34035.0	81813.0	32009.0	28414.0	87616.0	26500.0	88053.0	33969.0
LiJ_2014__V1.FI17__bin.65	5716.0	53928.0	11989.0	16267.0	11753.0	9017.0	9377.0	51859.0	1810.0	12386.0	9658.0	17182.0	9806.0	20060.0	21616.0	12609.0	11751.0	13316.0	14715.0	9644.0	9510.0	11877.0	21641.0	0.0	12468.0	48481.0	9789.0	21032.0	52450.0	9732.0	51857.0	10291.0
XieH_2016__YSZC12003_37798__bin.1	8490.0	85124.0	11798.0	24131.0	19160.0	9136.0	19583.0	81158.0	18116.0	17868.0	8786.0	25893.0	19680.0	30612.0	33666.0	20177.0	19497.0	20355.0	21545.0	19865.0	15162.0	11050.0	34035.0	12468.0	0.0	75333.0	18403.0	33176.0	82052.0	9001.0	82653.0	20404.0
XieH_2016__YSZC12003_37102__bin.80	41435.0	37073.0	76354.0	65825.0	75922.0	50115.0	75109.0	20217.0	74477.0	68485.0	55081.0	59227.0	77756.0	71441.0	76924.0	78192.0	72131.0	78492.0	68263.0	78288.0	39621.0	71944.0	81813.0	48481.0	75333.0	0.0	72897.0	77564.0	35578.0	56325.0	36339.0	77954.0
XieH_2016__YSZC12003_36058__bin.134	8603.0	81680.0	17054.0	23562.0	16932.0	12832.0	14183.0	78730.0	13925.0	17451.0	13578.0	25213.0	13018.0	29505.0	32584.0	18179.0	16728.0	19404.0	21301.0	12796.0	14253.0	17544.0	32009.0	9789.0	18403.0	72897.0	0.0	31283.0	78799.0	15081.0	78878.0	14937.0
Bengtsson-PalmeJ_2015__TRAVELRES25__bin.12	16070.0	86111.0	31831.0	31778.0	30038.0	22273.0	32379.0	83051.0	31641.0	29894.0	23888.0	8465.0	32971.0	24797.0	19754.0	32349.0	31619.0	34521.0	29959.0	33215.0	12834.0	31499.0	28414.0	21032.0	33176.0	77564.0	31283.0	0.0	83591.0	25865.0	83276.0	34119.0
XieH_2016__YSZC12003_36525__bin.33	44508.0	14372.0	83256.0	71300.0	81984.0	53914.0	82683.0	37097.0	81171.0	73689.0	60052.0	63179.0	85006.0	76357.0	82448.0	85481.0	78780.0	85544.0	73316.0	85139.0	41734.0	78622.0	87616.0	52450.0	82052.0	35578.0	78799.0	83591.0	0.0	61838.0	13886.0	85236.0
ZeeviD_2015__PNP_Main_524__bin.3	6424.0	63711.0	9874.0	19038.0	15313.0	7703.0	15212.0	62073.0	14606.0	14275.0	6726.0	20188.0	15704.0	24061.0	26159.0	15885.0	15332.0	16230.0	16902.0	15203.0	12761.0	2384.0	26500.0	9732.0	9001.0	56325.0	15081.0	25865.0	61838.0	0.0	61220.0	15769.0
RaymondF_2016__P7C7__bin.43	44811.0	357.0	83943.0	71067.0	81755.0	53611.0	82707.0	37452.0	80111.0	73994.0	59335.0	62927.0	85113.0	75625.0	83438.0	86146.0	78050.0	86323.0	73758.0	85708.0	41564.0	79032.0	88053.0	51857.0	82653.0	36339.0	78878.0	83276.0	13886.0	61220.0	0.0	84432.0
XieH_2016__YSZC12003_35549__bin.60	8145.0	87534.0	18783.0	24508.0	18939.0	13840.0	14963.0	84495.0	15242.0	18234.0	14477.0	25964.0	15593.0	31553.0	34061.0	19486.0	16315.0	21447.0	21622.0	15526.0	15763.0	18851.0	33969.0	10291.0	20404.0	77954.0	14937.0	34119.0	85236.0	15769.0	84432.0	0.0
