	NielsenHB_2014__MH0144__bin.34	WenC_2017__N035__bin.73	XieH_2016__YSZC12003_35365__bin.50	ZeeviD_2015__PNP_Main_287__bin.55	ZeeviD_2015__PNP_Main_699__bin.32	ZeeviD_2015__PNP_Main_474__bin.23	ZeeviD_2015__PNP_Main_432__bin.52	BritoIL_2016__WL.10.ST__bin.22	BritoIL_2016__W1.55.ST__bin.61	ZeeviD_2015__PNP_Main_405__bin.13	ZeeviD_2015__PNP_Main_566__bin.19	XieH_2016__YSZC12003_36033__bin.58	ZeeviD_2015__PNP_Main_323__bin.18	ZeeviD_2015__PNP_Main_86__bin.59	LeChatelierE_2013__MH0421__bin.43	ZeeviD_2015__PNP_Validation_54__bin.2	BackhedF_2015__SID272_M__bin.42	ZeeviD_2015__PNP_Main_538__bin.6	ZeeviD_2015__PNP_Main_529__bin.29	ZeeviD_2015__PNP_Main_680__bin.22	XieH_2016__YSZC12003_35742__bin.40	BritoIL_2016__WL.2.ST__bin.2	LeChatelierE_2013__MH0077__bin.34	NielsenHB_2014__MH0077__bin.17	ZeeviD_2015__PNP_Main_67__bin.35	ZeeviD_2015__PNP_Main_77__bin.12	LiJ_2014__MH0252__bin.34	XieH_2016__YSZC12003_37337__bin.27	CM_madagascar__A90_03_1FE__bin.27	BritoIL_2016__WL.7.ST__bin.64	NielsenHB_2014__O2_UC40_2__bin.7
ZeeviD_2015__PNP_Main_566__bin.19	22505.0	22314.0	20859.0	18418.0	30553.0	22192.0	23206.0	23897.0	18470.0	23553.0	0.0	21735.0	21000.0	22389.0	16298.0	24047.0	18535.0	20150.0	22138.0	22577.0	27390.0	24479.0	22740.0	21465.0	22897.0	14242.0	17722.0	22512.0	23474.0	21289.0	23486.0
XieH_2016__YSZC12003_36033__bin.58	19612.0	20812.0	17976.0	15352.0	28494.0	16753.0	21122.0	18705.0	14678.0	19785.0	21735.0	0.0	19314.0	18914.0	13333.0	16295.0	16708.0	18422.0	20335.0	19189.0	24671.0	19460.0	16891.0	15867.0	18075.0	12679.0	12951.0	20988.0	22946.0	16877.0	19647.0
ZeeviD_2015__PNP_Main_323__bin.18	18993.0	19799.0	18792.0	15839.0	27811.0	19536.0	3151.0	21238.0	15693.0	20815.0	21000.0	19314.0	0.0	19932.0	15137.0	19876.0	17231.0	4807.0	20022.0	20195.0	25308.0	21420.0	20962.0	19598.0	20228.0	14468.0	15464.0	20799.0	23107.0	19360.0	20543.0
ZeeviD_2015__PNP_Main_86__bin.59	19737.0	20733.0	18642.0	14577.0	29647.0	19641.0	21286.0	18804.0	14868.0	10756.0	22389.0	18914.0	19932.0	0.0	15588.0	19847.0	15207.0	17611.0	18262.0	18192.0	25749.0	18973.0	19608.0	18359.0	7827.0	12365.0	14710.0	20728.0	23139.0	12366.0	22221.0
LeChatelierE_2013__MH0421__bin.43	15111.0	15776.0	14689.0	11728.0	21122.0	13843.0	15546.0	13769.0	11691.0	14938.0	16298.0	13333.0	15137.0	15588.0	0.0	14360.0	14962.0	14672.0	15667.0	14061.0	19977.0	13887.0	15125.0	14695.0	15016.0	9606.0	11368.0	10370.0	17872.0	14725.0	15258.0
ZeeviD_2015__PNP_Validation_54__bin.2	21705.0	21346.0	18938.0	15439.0	30505.0	3742.0	21375.0	21686.0	16483.0	20271.0	24047.0	16295.0	19876.0	19847.0	14360.0	0.0	17050.0	18997.0	20053.0	20694.0	27809.0	22274.0	20362.0	19053.0	20124.0	13181.0	15991.0	20420.0	23709.0	18718.0	20220.0
BackhedF_2015__SID272_M__bin.42	16660.0	17764.0	15852.0	13882.0	24666.0	16764.0	16953.0	18507.0	14166.0	17855.0	18535.0	16708.0	17231.0	15207.0	14962.0	17050.0	0.0	16007.0	18866.0	17248.0	22942.0	18447.0	17704.0	16722.0	17556.0	11764.0	13150.0	17910.0	20707.0	17073.0	18713.0
ZeeviD_2015__PNP_Main_538__bin.6	18524.0	18948.0	18314.0	15234.0	27861.0	18101.0	6109.0	19430.0	15746.0	19277.0	20150.0	18422.0	4807.0	17611.0	14672.0	18997.0	16007.0	0.0	18507.0	18684.0	25673.0	19575.0	19430.0	17784.0	17877.0	13333.0	14726.0	20128.0	22776.0	16369.0	19951.0
ZeeviD_2015__PNP_Main_529__bin.29	22002.0	21120.0	19733.0	12617.0	29412.0	19294.0	22847.0	21240.0	16807.0	18109.0	22138.0	20335.0	20022.0	18262.0	15667.0	20053.0	18866.0	18507.0	0.0	18349.0	27025.0	22040.0	20410.0	19232.0	17530.0	11989.0	16398.0	21086.0	24124.0	15893.0	22667.0
ZeeviD_2015__PNP_Main_680__bin.22	20588.0	21248.0	17638.0	14387.0	29751.0	19409.0	22325.0	18001.0	15451.0	19011.0	22577.0	19189.0	20195.0	18192.0	14061.0	20694.0	17248.0	18684.0	18349.0	0.0	26326.0	18275.0	19170.0	18030.0	17474.0	11141.0	15527.0	20042.0	23182.0	17524.0	20933.0
XieH_2016__YSZC12003_35742__bin.40	26446.0	27176.0	25536.0	21206.0	32449.0	25296.0	27521.0	26911.0	19282.0	26898.0	27390.0	24671.0	25308.0	25749.0	19977.0	27809.0	22942.0	25673.0	27025.0	26326.0	0.0	27433.0	26238.0	24807.0	26913.0	17458.0	19982.0	27950.0	26015.0	24242.0	27262.0
BritoIL_2016__WL.2.ST__bin.2	21396.0	21266.0	19088.0	16778.0	30257.0	21857.0	22866.0	1637.0	15041.0	20440.0	24479.0	19460.0	21420.0	18973.0	13887.0	22274.0	18447.0	19575.0	22040.0	18275.0	27433.0	0.0	20848.0	19218.0	19739.0	11926.0	16037.0	21248.0	24488.0	18110.0	22102.0
LeChatelierE_2013__MH0077__bin.34	20460.0	20997.0	18394.0	15816.0	28775.0	20274.0	21352.0	20583.0	16278.0	20010.0	22740.0	16891.0	20962.0	19608.0	15125.0	20362.0	17704.0	19430.0	20410.0	19170.0	26238.0	20848.0	0.0	431.0	19178.0	12528.0	7659.0	20406.0	24327.0	18405.0	21181.0
NielsenHB_2014__MH0077__bin.17	18761.0	20277.0	17340.0	14617.0	27233.0	18554.0	19927.0	18918.0	14822.0	18698.0	21465.0	15867.0	19598.0	18359.0	14695.0	19053.0	16722.0	17784.0	19232.0	18030.0	24807.0	19218.0	431.0	0.0	17892.0	11984.0	6866.0	19169.0	21962.0	17451.0	19803.0
ZeeviD_2015__PNP_Main_67__bin.35	21320.0	20377.0	18191.0	14079.0	30221.0	19703.0	21757.0	19473.0	15534.0	10093.0	22897.0	18075.0	20228.0	7827.0	15016.0	20124.0	17556.0	17877.0	17530.0	17474.0	26913.0	19739.0	19178.0	17892.0	0.0	12070.0	14818.0	20967.0	23981.0	12617.0	20984.0
ZeeviD_2015__PNP_Main_77__bin.12	14238.0	13354.0	12423.0	10112.0	17829.0	12960.0	14198.0	12122.0	9827.0	13008.0	14242.0	12679.0	14468.0	12365.0	9606.0	13181.0	11764.0	13333.0	11989.0	11141.0	17458.0	11926.0	12528.0	11984.0	12070.0	0.0	10529.0	13907.0	15018.0	11192.0	13646.0
LiJ_2014__MH0252__bin.34	16109.0	15634.0	14730.0	13164.0	20544.0	15223.0	16372.0	15911.0	11091.0	15490.0	17722.0	12951.0	15464.0	14710.0	11368.0	15991.0	13150.0	14726.0	16398.0	15527.0	19982.0	16037.0	7659.0	6866.0	14818.0	10529.0	0.0	15766.0	18378.0	13632.0	15572.0
XieH_2016__YSZC12003_37337__bin.27	20758.0	21085.0	18651.0	15691.0	31090.0	19005.0	22799.0	21135.0	16230.0	20505.0	22512.0	20988.0	20799.0	20728.0	10370.0	20420.0	17910.0	20128.0	21086.0	20042.0	27950.0	21248.0	20406.0	19169.0	20967.0	13907.0	15766.0	0.0	23872.0	19696.0	21810.0
CM_madagascar__A90_03_1FE__bin.27	22615.0	24329.0	22442.0	19643.0	26006.0	22878.0	24626.0	24218.0	17838.0	24218.0	23474.0	22946.0	23107.0	23139.0	17872.0	23709.0	20707.0	22776.0	24124.0	23182.0	26015.0	24488.0	24327.0	21962.0	23981.0	15018.0	18378.0	23872.0	0.0	21282.0	24324.0
BritoIL_2016__WL.7.ST__bin.64	19238.0	18128.0	17512.0	12437.0	25513.0	18339.0	19836.0	18437.0	13991.0	13651.0	21289.0	16877.0	19360.0	12366.0	14725.0	18718.0	17073.0	16369.0	15893.0	17524.0	24242.0	18110.0	18405.0	17451.0	12617.0	11192.0	13632.0	19696.0	21282.0	0.0	19489.0
NielsenHB_2014__O2_UC40_2__bin.7	22066.0	22133.0	19020.0	15829.0	29845.0	19212.0	21692.0	21583.0	16320.0	21752.0	23486.0	19647.0	20543.0	22221.0	15258.0	20220.0	18713.0	19951.0	22667.0	20933.0	27262.0	22102.0	21181.0	19803.0	20984.0	13646.0	15572.0	21810.0	24324.0	19489.0	0.0
