	QinJ_2012__T2D-016__bin.5	QinN_2014__LD-71__bin.17	QinJ_2012__T2D-028__bin.33	HeQ_2017__SZAXPI029601-32__bin.70	HeQ_2017__SZAXPI029590-113__bin.62	ChengpingW_2017__AS94raw__bin.16	HeQ_2017__RSZAXPI003095-129__bin.28	NielsenHB_2014__V1_CD17_0__bin.10	YuJ_2015__SZAXPI015239-25__bin.25	QinJ_2012__T2D-041__bin.54	QinJ_2012__NLM007__bin.18	ZeeviD_2015__PNP_Main_45__bin.54	QinN_2014__LD-89__bin.1	HeQ_2017__SZAXPI029469-27__bin.4	QinJ_2012__NOM029__bin.6	WenC_2017__N209__bin.5	HeQ_2017__RSZAXPI003082-116__bin.21	BritoIL_2016__W1.14.ST__bin.44	QinJ_2012__DLM012__bin.15	QinN_2014__LD-51__bin.42	YuJ_2015__SZAXPI003434-7__bin.2	QinJ_2012__NOM002__bin.37	WenC_2017__N217__bin.20	ChengpingW_2017__AS43raw__bin.55	WenC_2017__N216__bin.1	QinJ_2012__T2D-031__bin.3	HeQ_2017__RSZAXPI003096-130__bin.26	SchirmerM_2016__G88708__bin.9	HeQ_2017__SZAXPI029473-40__bin.36	QinJ_2012__T2D-044__bin.17	YuJ_2015__SZAXPI003412-1__bin.59	QinN_2014__LV-22__bin.8	ChengpingW_2017__AS25raw__bin.29	QinJ_2012__T2D-102__bin.13	QinJ_2012__CON-069__bin.11
WenC_2017__N209__bin.5	2231717.0	1269678.0	1880627.0	2485472.0	977706.0	2805522.0	1985225.0	1090009.0	1717660.0	2687874.0	2831367.0	1961185.0	2228458.0	1290789.0	1900775.0	4390850.0	1899507.0	1188873.0	2824535.0	1968551.0	1291470.0	2599056.0	2495823.0	2716408.0	1889829.0	1365570.0	2172177.0	2697934.0	2861359.0	1299010.0	1328247.0	2738514.0	2281999.0	1470113.0	1871321.0
HeQ_2017__RSZAXPI003082-116__bin.21	1501934.0	1434660.0	1838689.0	1892320.0	1126722.0	1986877.0	2094462.0	1204244.0	1691342.0	1961907.0	2214740.0	1244391.0	2210081.0	1235010.0	1362536.0	1899507.0	2688620.0	1104228.0	2030066.0	2091010.0	1471743.0	1971779.0	1996577.0	2004287.0	1183806.0	1437132.0	1722638.0	1915012.0	2228643.0	1344530.0	1310207.0	2053880.0	2039242.0	1696642.0	1222685.0
BritoIL_2016__W1.14.ST__bin.44	893165.0	1009462.0	1250555.0	1175549.0	832208.0	1273489.0	1193307.0	912513.0	1185601.0	1308760.0	1319077.0	703009.0	1294100.0	772895.0	802207.0	1188873.0	1104228.0	2442401.0	1343947.0	1207043.0	1015135.0	1176653.0	1255222.0	1332811.0	741843.0	1096314.0	1016004.0	1275789.0	1327036.0	980384.0	932924.0	1285660.0	1323872.0	1078793.0	627287.0
QinJ_2012__DLM012__bin.15	2309051.0	1375232.0	2046194.0	2645633.0	1053985.0	2874175.0	2108183.0	1190235.0	1899691.0	2839076.0	3020614.0	2109412.0	2396710.0	1332041.0	1995123.0	2824535.0	2030066.0	1343947.0	4470072.0	2108386.0	1440983.0	2741351.0	2621375.0	2862396.0	1932018.0	1501123.0	2237984.0	2875609.0	3030475.0	1414016.0	1549257.0	2871536.0	2435887.0	1592939.0	1945808.0
QinN_2014__LD-51__bin.42	1524314.0	1691565.0	1969342.0	1893026.0	1230522.0	2019762.0	2271035.0	1257738.0	1824610.0	2033792.0	2361887.0	1228426.0	2222646.0	1378931.0	1395045.0	1968551.0	2091010.0	1207043.0	2108386.0	2988030.0	1577731.0	2074577.0	2072689.0	2053220.0	1255476.0	1537599.0	1705071.0	1964472.0	2316332.0	1425341.0	1432567.0	2035894.0	2086432.0	1813224.0	1179985.0
YuJ_2015__SZAXPI003434-7__bin.2	955505.0	1488376.0	1397678.0	1247367.0	1135682.0	1314322.0	1467311.0	1249208.0	1406791.0	1357252.0	1518761.0	550046.0	1487359.0	831229.0	806694.0	1291470.0	1471743.0	1015135.0	1440983.0	1577731.0	1770567.0	1356106.0	1344038.0	1349301.0	743848.0	1332150.0	970530.0	1275266.0	1522734.0	1262051.0	991968.0	1320922.0	1463313.0	1493080.0	599967.0
QinJ_2012__NOM002__bin.37	2150248.0	1358921.0	1837777.0	2541777.0	1057448.0	2679065.0	2050862.0	1131509.0	1711837.0	2593326.0	2928106.0	1878167.0	2284713.0	1253964.0	1895108.0	2599056.0	1971779.0	1176653.0	2741351.0	2074577.0	1356106.0	3216546.0	2380078.0	2669092.0	1760291.0	1380478.0	2107102.0	2586569.0	2885242.0	1314814.0	1305785.0	2690002.0	2187922.0	1572884.0	1842123.0
WenC_2017__N217__bin.20	2036439.0	1298319.0	1950888.0	2365189.0	1033731.0	2557840.0	2072337.0	1142368.0	1934109.0	2571661.0	2676234.0	1753694.0	2210776.0	1394773.0	1809810.0	2495823.0	1996577.0	1255222.0	2621375.0	2072689.0	1344038.0	2380078.0	3915232.0	2564499.0	1674419.0	1412642.0	2201023.0	2491731.0	2634157.0	1342486.0	1458222.0	2536217.0	2432994.0	1526429.0	1694531.0
ChengpingW_2017__AS43raw__bin.55	2290545.0	1345605.0	2002307.0	2616979.0	1041087.0	2904185.0	2079042.0	1209748.0	1810402.0	2878464.0	2903340.0	1978650.0	2316167.0	1359045.0	1959626.0	2716408.0	2004287.0	1332811.0	2862396.0	2053220.0	1349301.0	2669092.0	2564499.0	3576490.0	1934435.0	1501763.0	2228306.0	2702260.0	2903239.0	1357321.0	1412253.0	2852602.0	2386981.0	1579342.0	1931380.0
WenC_2017__N216__bin.1	1588913.0	713716.0	1148481.0	1749058.0	563498.0	1915167.0	1265332.0	644451.0	1042263.0	1993440.0	1949314.0	1450838.0	1449939.0	829957.0	1402737.0	1889829.0	1183806.0	741843.0	1932018.0	1255476.0	743848.0	1760291.0	1674419.0	1934435.0	2448163.0	811163.0	1529439.0	1823760.0	1948073.0	732570.0	845308.0	1883463.0	1485704.0	887137.0	1414076.0
QinJ_2012__T2D-031__bin.3	1072236.0	1361988.0	1645427.0	1304225.0	1057339.0	1488290.0	1518301.0	1154153.0	1491790.0	1397383.0	1553479.0	692305.0	1506584.0	943266.0	911317.0	1365570.0	1437132.0	1096314.0	1501123.0	1537599.0	1332150.0	1380478.0	1412642.0	1501763.0	811163.0	2055319.0	1115641.0	1387920.0	1523013.0	1233292.0	1133597.0	1504928.0	1575693.0	1475514.0	718394.0
HeQ_2017__RSZAXPI003096-130__bin.26	1793435.0	936783.0	1614416.0	2021367.0	737390.0	2276801.0	1731083.0	831792.0	1538455.0	2242955.0	2281466.0	1692342.0	1911391.0	1330679.0	1617378.0	2172177.0	1722638.0	1016004.0	2237984.0	1705071.0	970530.0	2107102.0	2201023.0	2228306.0	1529439.0	1115641.0	2871712.0	2169358.0	2341271.0	1077871.0	1263162.0	2249024.0	1914035.0	1218796.0	1680613.0
SchirmerM_2016__G88708__bin.9	2261125.0	1257272.0	1906108.0	2537185.0	980188.0	2743283.0	1992378.0	1097211.0	1665988.0	2667713.0	2835183.0	2063475.0	2256991.0	1300034.0	1922208.0	2697934.0	1915012.0	1275789.0	2875609.0	1964472.0	1275266.0	2586569.0	2491731.0	2702260.0	1823760.0	1387920.0	2169358.0	3858022.0	2849260.0	1246396.0	1384846.0	2766416.0	2323301.0	1479935.0	1862766.0
HeQ_2017__SZAXPI029473-40__bin.36	2331725.0	1561250.0	2100853.0	2726082.0	1148817.0	2971557.0	2251390.0	1233475.0	1908592.0	2862477.0	3165736.0	2081518.0	2763306.0	1414373.0	2011366.0	2861359.0	2228643.0	1327036.0	3030475.0	2316332.0	1522734.0	2885242.0	2634157.0	2903239.0	1948073.0	1523013.0	2341271.0	2849260.0	4154027.0	1483038.0	1447348.0	2959087.0	2465937.0	1717378.0	2002834.0
QinJ_2012__T2D-044__bin.17	960518.0	1269870.0	1445809.0	1175466.0	993675.0	1339787.0	1432031.0	1033481.0	1410744.0	1307516.0	1524511.0	600841.0	1502572.0	915688.0	822166.0	1299010.0	1344530.0	980384.0	1414016.0	1425341.0	1262051.0	1314814.0	1342486.0	1357321.0	732570.0	1233292.0	1077871.0	1246396.0	1483038.0	2067513.0	999635.0	1315079.0	1418893.0	1308129.0	653346.0
YuJ_2015__SZAXPI003412-1__bin.59	1113419.0	962486.0	1460245.0	1318915.0	703511.0	1400736.0	1405387.0	816777.0	1335244.0	1435170.0	1473631.0	969904.0	1484027.0	1251580.0	923001.0	1328247.0	1310207.0	932924.0	1549257.0	1432567.0	991968.0	1305785.0	1458222.0	1412253.0	845308.0	1133597.0	1263162.0	1384846.0	1447348.0	999635.0	1967629.0	1408907.0	1575984.0	1120716.0	927030.0
QinN_2014__LV-22__bin.8	2369905.0	1280196.0	2015251.0	2687685.0	1051092.0	2814275.0	2049302.0	1174003.0	1753224.0	2814130.0	2993143.0	2026536.0	2392718.0	1513289.0	2005769.0	2738514.0	2053880.0	1285660.0	2871536.0	2035894.0	1320922.0	2690002.0	2536217.0	2852602.0	1883463.0	1504928.0	2249024.0	2766416.0	2959087.0	1315079.0	1408907.0	3597417.0	2382642.0	1493762.0	1985487.0
ChengpingW_2017__AS25raw__bin.29	1837156.0	1414722.0	2031058.0	2138233.0	1098328.0	2367785.0	2102254.0	1257098.0	1895522.0	2379068.0	2519802.0	1525798.0	2294981.0	1404016.0	1580728.0	2281999.0	2039242.0	1323872.0	2435887.0	2086432.0	1463313.0	2187922.0	2432994.0	2386981.0	1485704.0	1575693.0	1914035.0	2323301.0	2465937.0	1418893.0	1575984.0	2382642.0	4263989.0	1613836.0	1405595.0
QinJ_2012__T2D-102__bin.13	1114695.0	1525367.0	1632506.0	1452929.0	1126178.0	1537659.0	1697985.0	1219936.0	1578409.0	1530234.0	1706720.0	766551.0	1703436.0	1041245.0	1020918.0	1470113.0	1696642.0	1078793.0	1592939.0	1813224.0	1493080.0	1572884.0	1526429.0	1579342.0	887137.0	1475514.0	1218796.0	1479935.0	1717378.0	1308129.0	1120716.0	1493762.0	1613836.0	2004543.0	816510.0
QinJ_2012__CON-069__bin.11	1679654.0	566587.0	1124370.0	1852403.0	493584.0	1944247.0	1235000.0	537664.0	982124.0	1946212.0	1939227.0	1623249.0	1402208.0	954231.0	1496660.0	1871321.0	1222685.0	627287.0	1945808.0	1179985.0	599967.0	1842123.0	1694531.0	1931380.0	1414076.0	718394.0	1680613.0	1862766.0	2002834.0	653346.0	927030.0	1985487.0	1405595.0	816510.0	2349206.0
