	QinJ_2012__T2D-016__bin.5	QinN_2014__LD-71__bin.17	QinJ_2012__T2D-028__bin.33	HeQ_2017__SZAXPI029601-32__bin.70	HeQ_2017__SZAXPI029590-113__bin.62	ChengpingW_2017__AS94raw__bin.16	HeQ_2017__RSZAXPI003095-129__bin.28	NielsenHB_2014__V1_CD17_0__bin.10	YuJ_2015__SZAXPI015239-25__bin.25	QinJ_2012__T2D-041__bin.54	QinJ_2012__NLM007__bin.18	ZeeviD_2015__PNP_Main_45__bin.54	QinN_2014__LD-89__bin.1	HeQ_2017__SZAXPI029469-27__bin.4	QinJ_2012__NOM029__bin.6	WenC_2017__N209__bin.5	HeQ_2017__RSZAXPI003082-116__bin.21	BritoIL_2016__W1.14.ST__bin.44	QinJ_2012__DLM012__bin.15	QinN_2014__LD-51__bin.42	YuJ_2015__SZAXPI003434-7__bin.2	QinJ_2012__NOM002__bin.37	WenC_2017__N217__bin.20	ChengpingW_2017__AS43raw__bin.55	WenC_2017__N216__bin.1	QinJ_2012__T2D-031__bin.3	HeQ_2017__RSZAXPI003096-130__bin.26	SchirmerM_2016__G88708__bin.9	HeQ_2017__SZAXPI029473-40__bin.36	QinJ_2012__T2D-044__bin.17	YuJ_2015__SZAXPI003412-1__bin.59	QinN_2014__LV-22__bin.8	ChengpingW_2017__AS25raw__bin.29	QinJ_2012__T2D-102__bin.13	QinJ_2012__CON-069__bin.11
QinJ_2012__NLM007__bin.18	29878.0	10802.0	27783.0	27650.0	12449.0	37011.0	17281.0	15062.0	24412.0	38484.0	0.0	30722.0	25322.0	16885.0	27085.0	38708.0	24435.0	20006.0	41996.0	18923.0	12592.0	21469.0	34222.0	35408.0	26171.0	20676.0	31058.0	38159.0	34550.0	12976.0	23122.0	35936.0	34805.0	14169.0	23012.0
ZeeviD_2015__PNP_Main_45__bin.54	27878.0	9630.0	20956.0	25032.0	7239.0	29707.0	21175.0	6430.0	16967.0	32039.0	30722.0	0.0	23998.0	14886.0	24614.0	29625.0	22559.0	13102.0	30792.0	20224.0	9352.0	25358.0	27617.0	30042.0	23008.0	13527.0	29626.0	30780.0	32759.0	11479.0	14482.0	30617.0	25604.0	12569.0	24146.0
QinN_2014__LD-89__bin.1	21827.0	9020.0	26047.0	21488.0	10145.0	26704.0	19812.0	12393.0	21918.0	28223.0	25322.0	23998.0	0.0	16487.0	19811.0	28904.0	22054.0	18313.0	32924.0	15659.0	10970.0	16786.0	27280.0	26125.0	18164.0	17743.0	21717.0	29974.0	15249.0	13407.0	21326.0	29085.0	27252.0	11037.0	17051.0
HeQ_2017__SZAXPI029469-27__bin.4	11980.0	8597.0	15536.0	12887.0	6150.0	15545.0	16142.0	8498.0	13975.0	14229.0	16885.0	14886.0	16487.0	0.0	11877.0	15215.0	15198.0	8674.0	17235.0	16086.0	9760.0	12829.0	14849.0	13366.0	10070.0	13469.0	16567.0	16943.0	17592.0	9701.0	17750.0	3968.0	14722.0	11393.0	11591.0
QinJ_2012__NOM029__bin.6	22524.0	9299.0	15586.0	19294.0	7583.0	23718.0	18852.0	10077.0	9288.0	26199.0	27085.0	24614.0	19811.0	11877.0	0.0	26579.0	21709.0	12504.0	26384.0	17985.0	10552.0	20835.0	18433.0	22534.0	18389.0	12788.0	19404.0	26644.0	25513.0	8788.0	14215.0	25173.0	22042.0	11740.0	15241.0
WenC_2017__N209__bin.5	24202.0	16109.0	23217.0	28906.0	13423.0	29033.0	26253.0	13669.0	22211.0	35029.0	38708.0	29625.0	28904.0	15215.0	26579.0	0.0	29403.0	19566.0	37234.0	24700.0	18079.0	28902.0	33381.0	30299.0	24816.0	20687.0	28391.0	34585.0	39175.0	17676.0	20502.0	30650.0	30994.0	17845.0	24225.0
HeQ_2017__RSZAXPI003082-116__bin.21	21014.0	14684.0	23708.0	19539.0	13359.0	28138.0	24691.0	13967.0	22483.0	25566.0	24435.0	22559.0	22054.0	15198.0	21709.0	29403.0	0.0	16272.0	31756.0	22068.0	12776.0	18938.0	26733.0	24233.0	17136.0	21840.0	22690.0	27631.0	24584.0	15914.0	18690.0	24173.0	27249.0	15318.0	16509.0
BritoIL_2016__W1.14.ST__bin.44	14236.0	13387.0	16827.0	14117.0	10960.0	16069.0	17702.0	10930.0	13687.0	18477.0	20006.0	13102.0	18313.0	8674.0	12504.0	19566.0	16272.0	0.0	17301.0	16266.0	12929.0	15176.0	17714.0	18134.0	11037.0	14390.0	13362.0	17429.0	20329.0	12013.0	11409.0	18481.0	17310.0	13898.0	9011.0
QinJ_2012__DLM012__bin.15	27006.0	16958.0	27603.0	29023.0	13532.0	34321.0	28372.0	14205.0	22437.0	36673.0	41996.0	30792.0	32924.0	17235.0	26384.0	37234.0	31756.0	17301.0	0.0	28139.0	19299.0	29052.0	31083.0	32848.0	26038.0	21390.0	31619.0	37154.0	43086.0	17589.0	20321.0	35469.0	31211.0	20826.0	24240.0
QinN_2014__LD-51__bin.42	21150.0	185.0	22156.0	16653.0	9511.0	22862.0	16609.0	12955.0	20015.0	24578.0	18923.0	20224.0	15659.0	16086.0	17985.0	24700.0	22068.0	16266.0	28139.0	0.0	6807.0	12786.0	24633.0	22244.0	15940.0	18122.0	21440.0	25468.0	20563.0	12315.0	18182.0	25050.0	23637.0	3342.0	15315.0
YuJ_2015__SZAXPI003434-7__bin.2	12935.0	6259.0	16591.0	9111.0	10131.0	15400.0	12543.0	11858.0	15761.0	14680.0	12592.0	9352.0	10970.0	9760.0	10552.0	18079.0	12776.0	12929.0	19299.0	6807.0	0.0	8265.0	15630.0	15874.0	10909.0	17790.0	13553.0	16525.0	12373.0	11543.0	12459.0	14353.0	18189.0	6735.0	8120.0
QinJ_2012__NOM002__bin.37	22889.0	8422.0	20504.0	20714.0	8536.0	26526.0	14735.0	11049.0	17509.0	26315.0	21469.0	25358.0	16786.0	12829.0	20835.0	28902.0	18938.0	15176.0	29052.0	12786.0	8265.0	0.0	24154.0	25013.0	19107.0	14558.0	22924.0	29132.0	22793.0	10549.0	16277.0	25946.0	23312.0	9316.0	19050.0
WenC_2017__N217__bin.20	24211.0	14394.0	24011.0	20129.0	10725.0	29667.0	26017.0	13437.0	13530.0	30336.0	34222.0	27617.0	27280.0	14849.0	18433.0	33381.0	26733.0	17714.0	31083.0	24633.0	15630.0	24154.0	0.0	27526.0	20898.0	19181.0	24109.0	30797.0	35421.0	16981.0	17207.0	29119.0	25850.0	18382.0	15308.0
ChengpingW_2017__AS43raw__bin.55	25430.0	14214.0	22038.0	26169.0	11369.0	23134.0	24095.0	9157.0	18082.0	23927.0	35408.0	30042.0	26125.0	13366.0	22534.0	30299.0	24233.0	18134.0	32848.0	22244.0	15874.0	25013.0	27526.0	0.0	17000.0	18025.0	23496.0	33470.0	33527.0	16016.0	18219.0	29665.0	28420.0	15717.0	21232.0
WenC_2017__N216__bin.1	20094.0	9268.0	13374.0	20188.0	7369.0	23429.0	16704.0	5401.0	13561.0	14349.0	26171.0	23008.0	18164.0	10070.0	18389.0	24816.0	17136.0	11037.0	26038.0	15940.0	10909.0	19107.0	20898.0	17000.0	0.0	11067.0	19049.0	25779.0	25454.0	10218.0	12677.0	22276.0	20048.0	10408.0	15965.0
QinJ_2012__T2D-031__bin.3	15848.0	15706.0	19961.0	14781.0	12003.0	17956.0	17094.0	13832.0	17844.0	20309.0	20676.0	13527.0	17743.0	13469.0	12788.0	20687.0	21840.0	14390.0	21390.0	18122.0	17790.0	14558.0	19181.0	18025.0	11067.0	0.0	14283.0	19867.0	19225.0	14901.0	15998.0	20338.0	20191.0	16840.0	10636.0
HeQ_2017__RSZAXPI003096-130__bin.26	23818.0	12076.0	17214.0	19605.0	10001.0	26266.0	22198.0	10483.0	15227.0	27315.0	31058.0	29626.0	21717.0	16567.0	19404.0	28391.0	22690.0	13362.0	31619.0	21440.0	13553.0	22924.0	24109.0	23496.0	19049.0	14283.0	0.0	29475.0	30759.0	14322.0	16808.0	30124.0	24059.0	14782.0	17538.0
SchirmerM_2016__G88708__bin.9	30124.0	15448.0	24096.0	27991.0	11982.0	31167.0	28296.0	14046.0	20181.0	36252.0	38159.0	30780.0	29974.0	16943.0	26644.0	34585.0	27631.0	17429.0	37154.0	25468.0	16525.0	29132.0	30797.0	33470.0	25779.0	19867.0	29475.0	0.0	39240.0	16084.0	19430.0	35092.0	29165.0	18491.0	24488.0
HeQ_2017__SZAXPI029473-40__bin.36	29821.0	11010.0	30164.0	28049.0	11757.0	37669.0	23400.0	13446.0	24412.0	36898.0	34550.0	32759.0	15249.0	17592.0	25513.0	39175.0	24584.0	20329.0	43086.0	20563.0	12373.0	22793.0	35421.0	33527.0	25454.0	19225.0	30759.0	39240.0	0.0	14566.0	21751.0	36114.0	32398.0	12972.0	22988.0
QinJ_2012__T2D-044__bin.17	11868.0	10857.0	18472.0	11395.0	9828.0	15466.0	11520.0	11186.0	14650.0	17064.0	12976.0	11479.0	13407.0	9701.0	8788.0	17676.0	15914.0	12013.0	17589.0	12315.0	11543.0	10549.0	16981.0	16016.0	10218.0	14901.0	14322.0	16084.0	14566.0	0.0	14552.0	14353.0	16167.0	10806.0	9607.0
YuJ_2015__SZAXPI003412-1__bin.59	18207.0	12664.0	19969.0	12421.0	8628.0	18429.0	19708.0	9033.0	17267.0	19751.0	23122.0	14482.0	21326.0	17750.0	14215.0	20502.0	18690.0	11409.0	20321.0	18182.0	12459.0	16277.0	17207.0	18219.0	12677.0	15998.0	16808.0	19430.0	21751.0	14552.0	0.0	19279.0	21291.0	14551.0	11623.0
QinN_2014__LV-22__bin.8	24527.0	13456.0	20487.0	27083.0	11655.0	31683.0	25544.0	13370.0	20114.0	32230.0	35936.0	30617.0	29085.0	3968.0	25173.0	30650.0	24173.0	18481.0	35469.0	25050.0	14353.0	25946.0	29119.0	29665.0	22276.0	20338.0	30124.0	35092.0	36114.0	14353.0	19279.0	0.0	27347.0	16093.0	24132.0
ChengpingW_2017__AS25raw__bin.29	21107.0	14924.0	25022.0	22126.0	12237.0	27285.0	25758.0	14103.0	23008.0	31299.0	34805.0	25604.0	27252.0	14722.0	22042.0	30994.0	27249.0	17310.0	31211.0	23637.0	18189.0	23312.0	25850.0	28420.0	20048.0	20191.0	24059.0	29165.0	32398.0	16167.0	21291.0	27347.0	0.0	17948.0	17896.0
QinJ_2012__T2D-102__bin.13	14191.0	3138.0	16861.0	11900.0	9282.0	16397.0	12792.0	12863.0	16510.0	17790.0	14169.0	12569.0	11037.0	11393.0	11740.0	17845.0	15318.0	13898.0	20826.0	3342.0	6735.0	9316.0	18382.0	15717.0	10408.0	16840.0	14782.0	18491.0	12972.0	10806.0	14551.0	16093.0	17948.0	0.0	10257.0
QinJ_2012__CON-069__bin.11	19229.0	7873.0	14630.0	16866.0	5785.0	21630.0	15641.0	6867.0	9580.0	23403.0	23012.0	24146.0	17051.0	11591.0	15241.0	24225.0	16509.0	9011.0	24240.0	15315.0	8120.0	19050.0	15308.0	21232.0	15965.0	10636.0	17538.0	24488.0	22988.0	9607.0	11623.0	24132.0	17896.0	10257.0	0.0
