	CM_periimplantitis__SP_283SPT_T016__bin.18	HMP_2012__SRS017139__bin.7	HMP_2012__SRS018157__bin.35	CM_periimplantitis__SP_344SPT_T016__bin.20	HMP_2012__SRS017227__bin.18	HMP_2012__SRS063603__bin.16	HMP_2012__SRS045197__bin.7	HMP_2012__SRS023841__bin.5	CM_periimplantitis__SP_381SPT_T016__bin.2	HMP_2012__SRS054430__bin.16	HMP_2012__SRS021477__bin.4	HMP_2012__SRS055401__bin.15	HMP_2012__SRS018394__bin.34	CM_periimplantitis__SP_503SPT_T016__bin.7	HMP_2012__SRS024649__bin.21	HMP_2012__SRS023964__bin.4	CM_periimplantitis__SP_187SPT_T016_R__bin.9	HMP_2012__SRS019906__bin.23	HMP_2012__SRS015215__bin.26	HMP_2012__SRS011255__bin.28	HMP_2012__SRS017445__bin.44	HMP_2012__SRS052604__bin.17	CM_periimplantitis__SP_502SPI_T016__bin.10	HMP_2012__SRS018665__bin.40	HMP_2012__SRS024087__bin.72	HMP_2012__SRS051378__bin.4	HMP_2012__SRS053917__bin.20	HMP_2012__SRS047634__bin.98	HMP_2012__SRS064449__bin.40	HMP_2012__SRS051941__bin.40	HMP_2012__SRS015803__bin.11	HMP_2012__SRS013170__bin.67	HMP_2012__SRS019129__bin.10	HMP_2012__SRS020226__bin.32	HMP_2012__SRS013533__bin.41
HMP_2012__SRS024087__bin.72	74036.0	60744.0	102746.0	104345.0	60405.0	30975.0	112036.0	107034.0	101264.0	109661.0	85368.0	72120.0	105675.0	109220.0	106683.0	64922.0	74768.0	93876.0	113673.0	105995.0	83080.0	32465.0	121484.0	102030.0	0.0	101674.0	68532.0	72325.0	94511.0	110587.0	107627.0	95743.0	106655.0	70441.0	109398.0
HMP_2012__SRS051378__bin.4	63424.0	52072.0	88132.0	84332.0	50897.0	91029.0	93472.0	94529.0	86124.0	91858.0	65996.0	63290.0	89409.0	90384.0	88951.0	54422.0	70856.0	80679.0	92466.0	91255.0	70341.0	93377.0	103890.0	88112.0	101674.0	0.0	57622.0	60466.0	80468.0	90646.0	87775.0	88527.0	93107.0	60255.0	92601.0
HMP_2012__SRS053917__bin.20	43520.0	35944.0	59388.0	55848.0	34063.0	61137.0	60244.0	61064.0	58294.0	59417.0	50346.0	45206.0	58318.0	59037.0	59369.0	36999.0	48554.0	55250.0	60399.0	60443.0	47447.0	62099.0	70138.0	61127.0	68532.0	57622.0	0.0	41322.0	52439.0	60643.0	31343.0	60928.0	62185.0	42665.0	60344.0
HMP_2012__SRS047634__bin.98	45486.0	39073.0	16796.0	57509.0	36335.0	62322.0	64123.0	66548.0	58315.0	63917.0	49170.0	44102.0	43520.0	62700.0	63188.0	40117.0	48909.0	57995.0	65090.0	21346.0	50913.0	63803.0	74198.0	63132.0	72325.0	60466.0	41322.0	0.0	56847.0	61794.0	61701.0	60680.0	65390.0	39884.0	64251.0
HMP_2012__SRS064449__bin.40	58719.0	53196.0	84425.0	80243.0	44425.0	84928.0	86689.0	90593.0	81512.0	85931.0	67209.0	61024.0	82640.0	84127.0	86401.0	51249.0	66455.0	78715.0	89013.0	87614.0	66274.0	87451.0	100709.0	88308.0	94511.0	80468.0	52439.0	56847.0	0.0	87600.0	84729.0	85046.0	88026.0	54854.0	85656.0
HMP_2012__SRS051941__bin.40	67008.0	58725.0	97852.0	90606.0	51474.0	99151.0	100320.0	101014.0	92748.0	98206.0	76538.0	68071.0	96586.0	99784.0	96469.0	56581.0	75114.0	87532.0	100582.0	99916.0	74939.0	102355.0	117363.0	96964.0	110587.0	90646.0	60643.0	61794.0	87600.0	0.0	96541.0	95738.0	101675.0	62908.0	101412.0
HMP_2012__SRS015803__bin.11	66369.0	58466.0	92668.0	89110.0	49929.0	96622.0	96745.0	99743.0	89573.0	93721.0	74992.0	66247.0	91907.0	93797.0	94281.0	54506.0	72674.0	84615.0	98084.0	94941.0	71326.0	99680.0	112859.0	97078.0	107627.0	87775.0	31343.0	61701.0	84729.0	96541.0	0.0	93917.0	98092.0	62101.0	96794.0
HMP_2012__SRS013170__bin.67	59913.0	54199.0	90415.0	90137.0	52692.0	85933.0	98573.0	93005.0	85477.0	96173.0	71747.0	58243.0	95344.0	97999.0	89488.0	46653.0	60195.0	75862.0	98745.0	93763.0	72026.0	88364.0	112304.0	85102.0	95743.0	88527.0	60928.0	60680.0	85046.0	95738.0	93917.0	0.0	85531.0	59299.0	97356.0
HMP_2012__SRS019129__bin.10	66203.0	58096.0	95655.0	93076.0	54363.0	94270.0	103803.0	98737.0	91291.0	100530.0	75882.0	63624.0	97431.0	102997.0	94738.0	55901.0	68918.0	83802.0	103037.0	97997.0	73005.0	97593.0	118093.0	91864.0	106655.0	93107.0	62185.0	65390.0	88026.0	101675.0	98092.0	85531.0	0.0	64560.0	102009.0
HMP_2012__SRS020226__bin.32	44401.0	39873.0	61433.0	59535.0	36629.0	60959.0	63468.0	63479.0	59758.0	62566.0	50890.0	45860.0	43062.0	63722.0	61398.0	40336.0	48869.0	56702.0	63599.0	62624.0	49228.0	62649.0	76458.0	63913.0	70441.0	60255.0	42665.0	39884.0	54854.0	62908.0	62101.0	59299.0	64560.0	0.0	63761.0
HMP_2012__SRS013533__bin.41	67521.0	58363.0	98918.0	93828.0	51777.0	98034.0	100259.0	104016.0	92509.0	96291.0	76060.0	67697.0	96821.0	98739.0	97597.0	57426.0	76014.0	87818.0	100863.0	102435.0	76237.0	100942.0	116451.0	99286.0	109398.0	92601.0	60344.0	64251.0	85656.0	101412.0	96794.0	97356.0	102009.0	63761.0	0.0
