	CM_periimplantitis__SP_283SPT_T016__bin.18	HMP_2012__SRS017139__bin.7	HMP_2012__SRS018157__bin.35	CM_periimplantitis__SP_344SPT_T016__bin.20	HMP_2012__SRS017227__bin.18	HMP_2012__SRS063603__bin.16	HMP_2012__SRS045197__bin.7	HMP_2012__SRS023841__bin.5	CM_periimplantitis__SP_381SPT_T016__bin.2	HMP_2012__SRS054430__bin.16	HMP_2012__SRS021477__bin.4	HMP_2012__SRS055401__bin.15	HMP_2012__SRS018394__bin.34	CM_periimplantitis__SP_503SPT_T016__bin.7	HMP_2012__SRS024649__bin.21	HMP_2012__SRS023964__bin.4	CM_periimplantitis__SP_187SPT_T016_R__bin.9	HMP_2012__SRS019906__bin.23	HMP_2012__SRS015215__bin.26	HMP_2012__SRS011255__bin.28	HMP_2012__SRS017445__bin.44	HMP_2012__SRS052604__bin.17	CM_periimplantitis__SP_502SPI_T016__bin.10	HMP_2012__SRS018665__bin.40	HMP_2012__SRS024087__bin.72	HMP_2012__SRS051378__bin.4	HMP_2012__SRS053917__bin.20	HMP_2012__SRS047634__bin.98	HMP_2012__SRS064449__bin.40	HMP_2012__SRS051941__bin.40	HMP_2012__SRS015803__bin.11	HMP_2012__SRS013170__bin.67	HMP_2012__SRS019129__bin.10	HMP_2012__SRS020226__bin.32	HMP_2012__SRS013533__bin.41
HMP_2012__SRS019906__bin.23	1770925.0	1561367.0	2445060.0	2320725.0	1668407.0	2416308.0	2497616.0	2500527.0	2340732.0	2463133.0	2062913.0	1766676.0	2439114.0	2463344.0	2442374.0	1767098.0	1794715.0	2704941.0	2492917.0	2505836.0	1967638.0	2522892.0	2470426.0	2410360.0	2236208.0	2414768.0	1602013.0	1886423.0	2215257.0	2524252.0	2426191.0	2283993.0	2535847.0	1827954.0	2474477.0
HMP_2012__SRS015215__bin.26	2021010.0	1777212.0	2905175.0	2669404.0	1884093.0	2821227.0	3157587.0	2938667.0	2735111.0	2948314.0	2276148.0	2037579.0	2815124.0	2875815.0	2844891.0	1989917.0	2030507.0	2492917.0	3330501.0	2978008.0	2198797.0	2937061.0	2900454.0	2776236.0	2588437.0	2683960.0	1805163.0	2124316.0	2539143.0	2914663.0	2828278.0	2696389.0	2870832.0	2077010.0	2899106.0
HMP_2012__SRS011255__bin.28	2031832.0	1771985.0	3108884.0	2724360.0	1889189.0	2863867.0	3000951.0	2914026.0	2755153.0	2937704.0	2319613.0	2039231.0	2865034.0	2944930.0	2901697.0	2017856.0	2077189.0	2505836.0	2978008.0	3265298.0	2256990.0	2975193.0	2928141.0	2757008.0	2594338.0	2718703.0	1821668.0	2225484.0	2568616.0	2986906.0	2835326.0	2659901.0	2900323.0	2112921.0	2954649.0
HMP_2012__SRS017445__bin.44	1576375.0	1355818.0	2206995.0	2059611.0	1455352.0	2181292.0	2187821.0	2166582.0	2090289.0	2201678.0	1807475.0	1579035.0	2164255.0	2181387.0	2204283.0	1587905.0	1588329.0	1967638.0	2198797.0	2256990.0	2371729.0	2234611.0	2181732.0	2102453.0	2004859.0	2111532.0	1455743.0	1689735.0	1949994.0	2240999.0	2174437.0	1981914.0	2190502.0	1612909.0	2222864.0
HMP_2012__SRS052604__bin.17	2034931.0	1782183.0	2907321.0	2734486.0	1881448.0	3036510.0	2954087.0	2907466.0	2733620.0	2892916.0	2323092.0	2051112.0	2807655.0	2892428.0	2871659.0	2010745.0	2058009.0	2522892.0	2937061.0	2975193.0	2234611.0	3237384.0	2898039.0	2796473.0	2735657.0	2745912.0	1835116.0	2144803.0	2557177.0	2952722.0	2875676.0	2631132.0	2892521.0	2085098.0	2902845.0
CM_periimplantitis__SP_502SPI_T016__bin.10	1992744.0	1760453.0	2869234.0	2682183.0	1873889.0	2783081.0	2952788.0	2909200.0	2703550.0	2882600.0	2278986.0	2013816.0	2800407.0	2876176.0	2837344.0	1994646.0	2025122.0	2470426.0	2900454.0	2928141.0	2181732.0	2898039.0	3288906.0	2744416.0	2531720.0	2669254.0	1787215.0	2095089.0	2526721.0	2922951.0	2795277.0	2636467.0	2828114.0	2080607.0	2866515.0
HMP_2012__SRS018665__bin.40	1930619.0	1714325.0	2691767.0	2552459.0	1818570.0	2724553.0	2785555.0	2780419.0	2562993.0	2767564.0	2185220.0	1950099.0	2682940.0	2719180.0	2703156.0	1920008.0	1972174.0	2410360.0	2776236.0	2757008.0	2102453.0	2796473.0	2744416.0	3079079.0	2483363.0	2583854.0	1751417.0	2035939.0	2415638.0	2782806.0	2720873.0	2543735.0	2730996.0	2024925.0	2743641.0
HMP_2012__SRS024087__bin.72	1781081.0	1594489.0	2517869.0	2369848.0	1649795.0	2657956.0	2573142.0	2523274.0	2389154.0	2524886.0	2033912.0	1799520.0	2461736.0	2525428.0	2528894.0	1778319.0	1793337.0	2236208.0	2588437.0	2594338.0	2004859.0	2735657.0	2531720.0	2483363.0	2808178.0	2398389.0	1626907.0	1890102.0	2229081.0	2577662.0	2495815.0	2345612.0	2527176.0	1822942.0	2557567.0
HMP_2012__SRS051378__bin.4	1898476.0	1669762.0	2651633.0	2490893.0	1789228.0	2657079.0	2698247.0	2709668.0	2519899.0	2670807.0	2217616.0	1909936.0	2620531.0	2675564.0	2662984.0	1891277.0	1942720.0	2414768.0	2683960.0	2718703.0	2111532.0	2745912.0	2669254.0	2583854.0	2398389.0	2943956.0	1736784.0	2000686.0	2365648.0	2700591.0	2647933.0	2452367.0	2712044.0	1968652.0	2686571.0
HMP_2012__SRS053917__bin.20	1292544.0	1131707.0	1774172.0	1698124.0	1259426.0	1782675.0	1819682.0	1783768.0	1730603.0	1802406.0	1504387.0	1353840.0	1779318.0	1781278.0	1779460.0	1303099.0	1312333.0	1602013.0	1805163.0	1821668.0	1455743.0	1835116.0	1787215.0	1751417.0	1626907.0	1736784.0	1942460.0	1379975.0	1594267.0	1815409.0	1860262.0	1635346.0	1771622.0	1367985.0	1804689.0
HMP_2012__SRS047634__bin.98	1519417.0	1333461.0	2153513.0	1973099.0	1448532.0	2081483.0	2124514.0	2091100.0	1972032.0	2127775.0	1725392.0	1494793.0	2105572.0	2107082.0	2113807.0	1563252.0	1513472.0	1886423.0	2124316.0	2225484.0	1689735.0	2144803.0	2095089.0	2035939.0	1890102.0	2000686.0	1379975.0	2379462.0	1864130.0	2128452.0	2068456.0	1897556.0	2106687.0	1639999.0	2120197.0
HMP_2012__SRS064449__bin.40	1745327.0	1579827.0	2498920.0	2362638.0	1641061.0	2455780.0	2541221.0	2520022.0	2388312.0	2523967.0	2032530.0	1795002.0	2481355.0	2502317.0	2486285.0	1768372.0	1798928.0	2215257.0	2539143.0	2568616.0	1949994.0	2557177.0	2526721.0	2415638.0	2229081.0	2365648.0	1594267.0	1864130.0	2806306.0	2592753.0	2496130.0	2272359.0	2497358.0	1836933.0	2530608.0
HMP_2012__SRS051941__bin.40	1996877.0	1769977.0	2920891.0	2752462.0	1874826.0	2842645.0	2944561.0	2911096.0	2758598.0	2943020.0	2334888.0	2017198.0	2869830.0	2940631.0	2861098.0	2015925.0	2063069.0	2524252.0	2914663.0	2986906.0	2240999.0	2952722.0	2922951.0	2782806.0	2577662.0	2700591.0	1815409.0	2128452.0	2592753.0	3294143.0	2828407.0	2620497.0	2878555.0	2110402.0	2943110.0
HMP_2012__SRS015803__bin.11	1968676.0	1734519.0	2764841.0	2696200.0	1842330.0	2763724.0	2840190.0	2800881.0	2643129.0	2793574.0	2212990.0	1969243.0	2738457.0	2758689.0	2759305.0	1931865.0	1965151.0	2426191.0	2828278.0	2835326.0	2174437.0	2875676.0	2795277.0	2720873.0	2495815.0	2647933.0	1860262.0	2068456.0	2496130.0	2828407.0	3101646.0	2525808.0	2771315.0	2028971.0	2812346.0
HMP_2012__SRS013170__bin.67	1822242.0	1665682.0	2587571.0	2391038.0	1695846.0	2538028.0	2702073.0	2690553.0	2437134.0	2618712.0	2107097.0	1851649.0	2528988.0	2606476.0	2553715.0	1811159.0	1922966.0	2283993.0	2696389.0	2659901.0	1981914.0	2631132.0	2636467.0	2543735.0	2345612.0	2452367.0	1635346.0	1897556.0	2272359.0	2620497.0	2525808.0	2954638.0	2592265.0	1883752.0	2584646.0
HMP_2012__SRS019129__bin.10	1978306.0	1763728.0	2820615.0	2652686.0	1855573.0	2778606.0	2892193.0	2848376.0	2649479.0	2850083.0	2312683.0	2007093.0	2756010.0	2853179.0	2791863.0	1963356.0	2051777.0	2535847.0	2870832.0	2900323.0	2190502.0	2892521.0	2828114.0	2730996.0	2527176.0	2712044.0	1771622.0	2106687.0	2497358.0	2878555.0	2771315.0	2592265.0	3183956.0	2071279.0	2850632.0
HMP_2012__SRS020226__bin.32	1481855.0	1380540.0	2065338.0	1982544.0	1454928.0	2022020.0	2093267.0	2063589.0	1954469.0	2079230.0	1711204.0	1535939.0	2112097.0	2053370.0	2031815.0	1555814.0	1493864.0	1827954.0	2077010.0	2112921.0	1612909.0	2085098.0	2080607.0	2024925.0	1822942.0	1968652.0	1367985.0	1639999.0	1836933.0	2110402.0	2028971.0	1883752.0	2071279.0	2229203.0	2084828.0
HMP_2012__SRS013533__bin.41	1987324.0	1778716.0	2874395.0	2697192.0	1853043.0	2805958.0	2913058.0	2848016.0	2690261.0	2869326.0	2278932.0	1976098.0	2824282.0	2862481.0	2827741.0	1982814.0	2041784.0	2474477.0	2899106.0	2954649.0	2222864.0	2902845.0	2866515.0	2743641.0	2557567.0	2686571.0	1804689.0	2120197.0	2530608.0	2943110.0	2812346.0	2584646.0	2850632.0	2084828.0	3188515.0
