	BackhedF_2015__SID332_4M__bin.12	LiJ_2014__MH0358__bin.2	QinJ_2012__T2D-079__bin.38	RaymondF_2016__P15E90__bin.11	RaymondF_2016__P38C7__bin.32	HMP_2012__SRS011405__bin.22	LeChatelierE_2013__MH0159__bin.42	XieH_2016__YSZC12003_35366__bin.15	BackhedF_2015__SID544_M__bin.23	LiJ_2014__MH0396__bin.55	BackhedF_2015__SID179_4M__bin.6	Bengtsson-PalmeJ_2015__TRAVELRES10__bin.115	NielsenHB_2014__MH0159__bin.45	RaymondF_2016__P2E0__bin.18	LiJ_2014__V1.UC63-0__bin.54	Bengtsson-PalmeJ_2015__TRAVELRES15__bin.31	WenC_2017__RA050__bin.47	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.62	LoombaR_2017__SID0009_rhg__bin.29	Bengtsson-PalmeJ_2015__TRAVELRES16__bin.7	Bengtsson-PalmeJ_2015__TRAVELRES32__bin.73	HMP_2012__SRS013800__bin.7	ZellerG_2014__CCIS24254057ST-4-0__bin.21	HMP_2012__SRS017103__bin.15	HMP_2012__SRS017307__bin.3	XieH_2016__YSZC12003_37323__bin.2	HMP_2012__SRS024331__bin.1	NielsenHB_2014__V1_UC25_1__bin.40	BackhedF_2015__SID377_M__bin.32	XieH_2016__YSZC12003_37798__bin.98	NielsenHB_2014__V1_CD25_4__bin.19	NielsenHB_2014__V1_CD17_4__bin.58	BackhedF_2015__SID78_4M__bin.17	ZellerG_2014__CCIS52370277ST-4-0__bin.10	Bengtsson-PalmeJ_2015__TRAVELRES70__bin.115	Bengtsson-PalmeJ_2015__TRAVELRES58__bin.16	LiuW_2016__SRR3993056__bin.17	RaymondF_2016__P38C90__bin.54	LeChatelierE_2013__MH0453__bin.24	RaymondF_2016__P38C0__bin.30	LiJ_2014__MH0314__bin.50	Bengtsson-PalmeJ_2015__TRAVELRES31__bin.32	LiJ_2014__MH0371__bin.3	XieH_2016__YSZC12003_36158__bin.23	XieH_2016__YSZC12003_37229__bin.49
BackhedF_2015__SID179_4M__bin.6	5161592.0	3428213.0	3368034.0	2592382.0	3991189.0	3128638.0	2923732.0	3794141.0	3621417.0	2952869.0	5135583.0	4587031.0	2687714.0	4192049.0	3565665.0	4144416.0	4610477.0	5045792.0	3801165.0	4240637.0	4859383.0	2694967.0	4519335.0	3493044.0	3031297.0	2676243.0	3243534.0	3587716.0	2852132.0	1898150.0	4152532.0	3842811.0	3607194.0	2730605.0	4113710.0	3564071.0	4217735.0	3052621.0	4841208.0	3997268.0	2334025.0	4800436.0	3129396.0	2633607.0	4086184.0
Bengtsson-PalmeJ_2015__TRAVELRES10__bin.115	4607764.0	3272866.0	3167635.0	2477088.0	3771285.0	2975313.0	2782940.0	3597589.0	3451426.0	2813376.0	4587031.0	4738987.0	2570151.0	3913703.0	3389382.0	3900326.0	4258241.0	4572827.0	3609048.0	3967512.0	4328797.0	2579467.0	4165898.0	3341434.0	2896183.0	2544120.0	3108178.0	3409583.0	2693481.0	1821486.0	3899666.0	3650763.0	3403477.0	2613187.0	3889952.0	3389685.0	3932835.0	2925041.0	4339266.0	3767241.0	2234274.0	4298634.0	3000080.0	2505072.0	3856812.0
NielsenHB_2014__MH0159__bin.45	2693297.0	2893379.0	1973903.0	2238587.0	3141130.0	2728782.0	3171519.0	3093459.0	3001613.0	2437253.0	2687714.0	2570151.0	3300361.0	2785408.0	2960383.0	2635172.0	2600136.0	2665564.0	2602269.0	2593177.0	2614168.0	2365058.0	2615848.0	2809585.0	2128160.0	1956153.0	2740200.0	2573469.0	1699382.0	1349646.0	2798340.0	2689386.0	2397445.0	1659089.0	2444127.0	2968436.0	2380621.0	2297178.0	2653811.0	3126702.0	1649093.0	2609900.0	2174835.0	1934309.0	3210569.0
RaymondF_2016__P2E0__bin.18	4199483.0	3538133.0	2884655.0	2702897.0	4145029.0	3288353.0	3011861.0	3903393.0	3732965.0	3034097.0	4192049.0	3913703.0	2785408.0	5049800.0	3690131.0	3826829.0	3965561.0	4123734.0	4221516.0	3832146.0	4050860.0	2837391.0	3994499.0	3616032.0	3386219.0	2800399.0	3364053.0	4215721.0	2437494.0	1818764.0	4953064.0	4267264.0	3517831.0	2389822.0	3600089.0	3714649.0	3704180.0	3293138.0	4066980.0	4129528.0	2531728.0	3979091.0	3357526.0	2644832.0	4242335.0
LiJ_2014__V1.UC63-0__bin.54	3575671.0	3634437.0	2555486.0	2779558.0	4035011.0	3375488.0	3200127.0	3978418.0	3760719.0	3065010.0	3565665.0	3389382.0	2960383.0	3690131.0	4417348.0	3454753.0	3423650.0	3546549.0	3385803.0	3426118.0	3486829.0	2942473.0	3430805.0	3643131.0	2741940.0	2442298.0	3411659.0	3297108.0	2148848.0	1717876.0	3697627.0	3505404.0	3142631.0	2111338.0	3167907.0	3800631.0	3146589.0	3015232.0	3508600.0	4032634.0	2096135.0	3452733.0	2830237.0	2433218.0	4244718.0
Bengtsson-PalmeJ_2015__TRAVELRES15__bin.31	4154116.0	3341841.0	2925142.0	2537948.0	3868022.0	3046740.0	2855233.0	3696237.0	3532404.0	2863175.0	4144416.0	3900326.0	2635172.0	3826829.0	3454753.0	4331797.0	3963570.0	4103240.0	3524856.0	3900964.0	4037857.0	2615432.0	3940664.0	3430348.0	2824879.0	2496703.0	3206988.0	3344580.0	2461050.0	1857645.0	3807779.0	3567020.0	3324125.0	2404087.0	3618189.0	3448307.0	3693955.0	2989870.0	4054580.0	3859209.0	2194218.0	3994379.0	2922226.0	2468722.0	3932871.0
WenC_2017__RA050__bin.47	4646212.0	3293680.0	3236117.0	2488436.0	3821820.0	2999341.0	2813744.0	3646180.0	3489144.0	2806898.0	4610477.0	4258241.0	2600136.0	3965561.0	3423650.0	3963570.0	4918856.0	4543583.0	3632472.0	4007992.0	4524222.0	2585040.0	4306667.0	3367331.0	2909280.0	2567355.0	3130336.0	3418914.0	2702932.0	1844120.0	3937628.0	3659344.0	3475653.0	2596225.0	3965840.0	3405586.0	4026838.0	2934803.0	4525030.0	3819927.0	2211878.0	4479046.0	2995316.0	2518389.0	3896500.0
Bengtsson-PalmeJ_2015__TRAVELRES9__bin.62	5059011.0	3404249.0	3349010.0	2570294.0	3955638.0	3101174.0	2897042.0	3748231.0	3582669.0	2929365.0	5045792.0	4572827.0	2665564.0	4123734.0	3546549.0	4103240.0	4543583.0	5086204.0	3760379.0	4198066.0	4714485.0	2678361.0	4454814.0	3466049.0	3012496.0	2652460.0	3218741.0	3560026.0	2822982.0	1884288.0	4098820.0	3801910.0	3570994.0	2707818.0	4084981.0	3536614.0	4170667.0	3029317.0	4755271.0	3953347.0	2316195.0	4695794.0	3104663.0	2612085.0	4037669.0
LoombaR_2017__SID0009_rhg__bin.29	3810061.0	3270237.0	2699642.0	2518403.0	3788703.0	2993162.0	2819084.0	3573552.0	3443835.0	2787833.0	3801165.0	3609048.0	2602269.0	4221516.0	3385803.0	3524856.0	3632472.0	3760379.0	4518796.0	3576220.0	3718920.0	2606907.0	3616075.0	3324689.0	3273392.0	2633476.0	3102019.0	3724824.0	2298053.0	1711978.0	4211776.0	3927003.0	3234580.0	2234460.0	3369409.0	3402606.0	3382177.0	3001263.0	3727511.0	3771830.0	2347471.0	3661327.0	3124177.0	2453741.0	3831528.0
Bengtsson-PalmeJ_2015__TRAVELRES16__bin.7	4246819.0	3294951.0	2984279.0	2491514.0	3832277.0	3015942.0	2827077.0	3640923.0	3475814.0	2811141.0	4240637.0	3967512.0	2593177.0	3832146.0	3426118.0	3900964.0	4007992.0	4198066.0	3576220.0	4370845.0	4110412.0	2593411.0	3985453.0	3368572.0	2844573.0	2522285.0	3105099.0	3317518.0	2490282.0	1840021.0	3817804.0	3599476.0	3302069.0	2438043.0	3657051.0	3435616.0	3739576.0	2920546.0	4151262.0	3820215.0	2218263.0	4073613.0	2942453.0	2472541.0	3894690.0
Bengtsson-PalmeJ_2015__TRAVELRES32__bin.73	4878243.0	3340086.0	3301210.0	2523933.0	3880989.0	3053923.0	2852703.0	3704516.0	3528575.0	2839070.0	4859383.0	4328797.0	2614168.0	4050860.0	3486829.0	4037857.0	4524222.0	4714485.0	3718920.0	4110412.0	4886938.0	2606405.0	4416813.0	3416955.0	2962541.0	2611558.0	3167662.0	3480141.0	2745289.0	1863827.0	4017323.0	3737699.0	3524204.0	2618768.0	4029528.0	3473146.0	4066998.0	2979270.0	4726178.0	3881274.0	2260207.0	4661129.0	3040116.0	2572036.0	3985322.0
HMP_2012__SRS013800__bin.7	2700187.0	2859680.0	1974976.0	2242857.0	3166631.0	2721541.0	2575885.0	3135459.0	2924871.0	2428411.0	2694967.0	2579467.0	2365058.0	2837391.0	2942473.0	2615432.0	2585040.0	2678361.0	2606907.0	2593411.0	2606405.0	3849664.0	2588054.0	2852977.0	2156286.0	1883136.0	2730175.0	2575114.0	1656587.0	1285025.0	2855861.0	2725475.0	2428473.0	1642140.0	2409736.0	3020862.0	2409114.0	2321651.0	2640862.0	3125840.0	1611206.0	2599001.0	2148067.0	1917733.0	3282341.0
ZellerG_2014__CCIS24254057ST-4-0__bin.21	4535639.0	3305752.0	3169699.0	2503669.0	3841793.0	3021345.0	2835492.0	3674677.0	3513657.0	2835737.0	4519335.0	4165898.0	2615848.0	3994499.0	3430805.0	3940664.0	4306667.0	4454814.0	3616075.0	3985453.0	4416813.0	2588054.0	5057757.0	3373527.0	2889875.0	2581842.0	3143864.0	3443124.0	2650192.0	1842118.0	3967326.0	3660785.0	3431871.0	2547025.0	3885812.0	3428430.0	3948448.0	2965433.0	4447111.0	3823643.0	2226146.0	4356150.0	3007642.0	2542997.0	3944889.0
HMP_2012__SRS017103__bin.15	3501285.0	3519284.0	2528065.0	2765824.0	4015526.0	3259224.0	3057919.0	3868376.0	3683746.0	3073993.0	3493044.0	3341434.0	2809585.0	3616032.0	3643131.0	3430348.0	3367331.0	3466049.0	3324689.0	3368572.0	3416955.0	2852977.0	3373527.0	4702732.0	2757367.0	2384451.0	3510689.0	3214520.0	2136399.0	1702735.0	3621676.0	3410861.0	3192474.0	2056652.0	3093445.0	3665094.0	3174821.0	3043534.0	3430505.0	3962627.0	2076070.0	3365265.0	2778030.0	2388898.0	4090505.0
HMP_2012__SRS017307__bin.3	3035867.0	2665875.0	2234149.0	2065403.0	3034041.0	2443312.0	2287515.0	2860520.0	2764246.0	2286549.0	3031297.0	2896183.0	2128160.0	3386219.0	2741940.0	2824879.0	2909280.0	3012496.0	3273392.0	2844573.0	2962541.0	2156286.0	2889875.0	2757367.0	3695089.0	2181481.0	2619876.0	3056555.0	1915212.0	1408396.0	3398472.0	3183905.0	2658147.0	1859021.0	2718881.0	2755192.0	2757683.0	2481300.0	2972092.0	3005890.0	1969824.0	2910691.0	2546710.0	2004358.0	3049934.0
XieH_2016__YSZC12003_37323__bin.2	2680959.0	2387459.0	1950312.0	1838516.0	2701394.0	2211052.0	2105620.0	2613410.0	2473025.0	2009679.0	2676243.0	2544120.0	1956153.0	2800399.0	2442298.0	2496703.0	2567355.0	2652460.0	2633476.0	2522285.0	2611558.0	1883136.0	2581842.0	2384451.0	2181481.0	3256804.0	2271654.0	2540593.0	1661966.0	1228870.0	2807034.0	2668569.0	2368082.0	1634243.0	2403384.0	2453004.0	2400446.0	2129136.0	2638169.0	2695327.0	1634224.0	2580210.0	2134732.0	1790384.0	2714628.0
HMP_2012__SRS024331__bin.1	3247111.0	3331829.0	2353902.0	2623460.0	3734255.0	3073096.0	2935445.0	3601648.0	3511422.0	2920601.0	3243534.0	3108178.0	2740200.0	3364053.0	3411659.0	3206988.0	3130336.0	3218741.0	3102019.0	3105099.0	3167662.0	2730175.0	3143864.0	3510689.0	2619876.0	2271654.0	3956877.0	3031847.0	2017470.0	1581101.0	3357174.0	3191651.0	2991202.0	1951066.0	2921008.0	3425429.0	2957957.0	2856497.0	3192510.0	3720867.0	1965872.0	3133467.0	2620506.0	2281281.0	3804080.0
NielsenHB_2014__V1_UC25_1__bin.40	3595603.0	3171817.0	2572562.0	2392559.0	3625831.0	2946657.0	2759653.0	3448035.0	3334872.0	2724518.0	3587716.0	3409583.0	2573469.0	4215721.0	3297108.0	3344580.0	3418914.0	3560026.0	3724824.0	3317518.0	3480141.0	2575114.0	3443124.0	3214520.0	3056555.0	2540593.0	3031847.0	4325998.0	2228707.0	1622817.0	4232490.0	3800942.0	3094083.0	2140325.0	3194823.0	3301089.0	3222536.0	2900758.0	3506244.0	3613018.0	2289857.0	3444320.0	3027893.0	2348438.0	3686475.0
BackhedF_2015__SID377_M__bin.32	2859865.0	2092675.0	2096520.0	1617083.0	2356114.0	1890545.0	1816476.0	2254810.0	2195420.0	1830782.0	2852132.0	2693481.0	1699382.0	2437494.0	2148848.0	2461050.0	2702932.0	2822982.0	2298053.0	2490282.0	2745289.0	1656587.0	2650192.0	2136399.0	1915212.0	1661966.0	2017470.0	2228707.0	3218925.0	1203179.0	2445821.0	2326443.0	2174200.0	1742590.0	2530943.0	2139994.0	2553429.0	1881109.0	2745287.0	2350103.0	1489873.0	2720013.0	1972751.0	1641039.0	2376625.0
XieH_2016__YSZC12003_37798__bin.98	1898917.0	1676289.0	1436776.0	1312037.0	1861669.0	1506380.0	1435568.0	1797381.0	1748847.0	1426532.0	1898150.0	1821486.0	1349646.0	1818764.0	1717876.0	1857645.0	1844120.0	1884288.0	1711978.0	1840021.0	1863827.0	1285025.0	1842118.0	1702735.0	1408396.0	1228870.0	1581101.0	1622817.0	1203179.0	2002240.0	1813786.0	1747297.0	1613957.0	1175870.0	1727526.0	1731795.0	1740577.0	1528605.0	1890199.0	1883738.0	1099637.0	1843732.0	1475101.0	1243562.0	1896339.0
NielsenHB_2014__V1_CD25_4__bin.19	4163463.0	3534134.0	2886589.0	2697615.0	4121824.0	3294651.0	3029647.0	3909865.0	3748070.0	3018114.0	4152532.0	3899666.0	2798340.0	4953064.0	3697627.0	3807779.0	3937628.0	4098820.0	4211776.0	3817804.0	4017323.0	2855861.0	3967326.0	3621676.0	3398472.0	2807034.0	3357174.0	4232490.0	2445821.0	1813786.0	5043721.0	4305265.0	3514855.0	2379263.0	3596030.0	3728373.0	3674176.0	3284383.0	4045633.0	4135577.0	2548188.0	3967990.0	3358770.0	2652369.0	4233753.0
NielsenHB_2014__V1_CD17_4__bin.58	3851474.0	3362406.0	2721320.0	2561422.0	3839045.0	3107061.0	2914315.0	3690998.0	3495442.0	2839266.0	3842811.0	3650763.0	2689386.0	4267264.0	3505404.0	3567020.0	3659344.0	3801910.0	3927003.0	3599476.0	3737699.0	2725475.0	3660785.0	3410861.0	3183905.0	2668569.0	3191651.0	3800942.0	2326443.0	1747297.0	4305265.0	4613749.0	3333344.0	2264843.0	3387340.0	3527893.0	3421895.0	3034356.0	3753477.0	3841377.0	2514803.0	3676711.0	3378856.0	2514083.0	3933480.0
BackhedF_2015__SID78_4M__bin.17	3612861.0	3040934.0	2593602.0	2337430.0	3497631.0	2799604.0	2605696.0	3357642.0	3248527.0	2611834.0	3607194.0	3403477.0	2397445.0	3517831.0	3142631.0	3324125.0	3475653.0	3570994.0	3234580.0	3302069.0	3524204.0	2428473.0	3431871.0	3192474.0	2658147.0	2368082.0	2991202.0	3094083.0	2174200.0	1613957.0	3514855.0	3333344.0	4579423.0	2114511.0	3190816.0	3157133.0	3242401.0	2714028.0	3534492.0	3483783.0	2045231.0	3516553.0	2726076.0	2356900.0	3551855.0
ZellerG_2014__CCIS52370277ST-4-0__bin.10	2736982.0	2050137.0	1996853.0	1575223.0	2300652.0	1848499.0	1768750.0	2214212.0	2147458.0	1765661.0	2730605.0	2613187.0	1659089.0	2389822.0	2111338.0	2404087.0	2596225.0	2707818.0	2234460.0	2438043.0	2618768.0	1642140.0	2547025.0	2056652.0	1859021.0	1634243.0	1951066.0	2140325.0	1742590.0	1175870.0	2379263.0	2264843.0	2114511.0	2835429.0	2441456.0	2102026.0	2490901.0	1822328.0	2639137.0	2281612.0	1476884.0	2621570.0	1899108.0	1619338.0	2325870.0
Bengtsson-PalmeJ_2015__TRAVELRES70__bin.115	4122161.0	3055518.0	2988950.0	2332071.0	3477611.0	2803021.0	2645337.0	3348251.0	3238429.0	2618923.0	4113710.0	3889952.0	2444127.0	3600089.0	3167907.0	3618189.0	3965840.0	4084981.0	3369409.0	3657051.0	4029528.0	2409736.0	3885812.0	3093445.0	2718881.0	2403384.0	2921008.0	3194823.0	2530943.0	1727526.0	3596030.0	3387340.0	3190816.0	2441456.0	4177497.0	3165235.0	3650257.0	2726124.0	4045959.0	3488777.0	2086868.0	4012687.0	2825009.0	2362989.0	3570388.0
Bengtsson-PalmeJ_2015__TRAVELRES58__bin.16	3572848.0	3609459.0	2571693.0	2828123.0	4089883.0	3490427.0	3248797.0	4031480.0	3796104.0	3074172.0	3564071.0	3389685.0	2968436.0	3714649.0	3800631.0	3448307.0	3405586.0	3536614.0	3402606.0	3435616.0	3473146.0	3020862.0	3428430.0	3665094.0	2755192.0	2453004.0	3425429.0	3301089.0	2139994.0	1731795.0	3728373.0	3527893.0	3157133.0	2102026.0	3165235.0	4420188.0	3127157.0	3021586.0	3506004.0	4057793.0	2113325.0	3438664.0	2786634.0	2430712.0	4265348.0
LiuW_2016__SRR3993056__bin.17	4227371.0	3057759.0	3002912.0	2346845.0	3538307.0	2742925.0	2566267.0	3349973.0	3221258.0	2642099.0	4217735.0	3932835.0	2380621.0	3704180.0	3146589.0	3693955.0	4026838.0	4170667.0	3382177.0	3739576.0	4066998.0	2409114.0	3948448.0	3174821.0	2757683.0	2400446.0	2957957.0	3222536.0	2553429.0	1740577.0	3674176.0	3421895.0	3242401.0	2490901.0	3650257.0	3127157.0	4391311.0	2786365.0	4093855.0	3523950.0	2139527.0	4052404.0	2851186.0	2384522.0	3579839.0
RaymondF_2016__P38C90__bin.54	3055190.0	2930206.0	2208224.0	2308208.0	3383267.0	2661762.0	2477583.0	3184072.0	3069483.0	2538391.0	3052621.0	2925041.0	2297178.0	3293138.0	3015232.0	2989870.0	2934803.0	3029317.0	3001263.0	2920546.0	2979270.0	2321651.0	2965433.0	3043534.0	2481300.0	2129136.0	2856497.0	2900758.0	1881109.0	1528605.0	3284383.0	3034356.0	2714028.0	1822328.0	2726124.0	3021586.0	2786365.0	3573295.0	3005105.0	3383933.0	1907048.0	2951066.0	2502131.0	2079768.0	3391553.0
LeChatelierE_2013__MH0453__bin.24	4821351.0	3373323.0	3290729.0	2544920.0	3919882.0	3073592.0	2882480.0	3732487.0	3571957.0	2879503.0	4841208.0	4339266.0	2653811.0	4066980.0	3508600.0	4054580.0	4525030.0	4755271.0	3727511.0	4151262.0	4726178.0	2640862.0	4447111.0	3430505.0	2972092.0	2638169.0	3192510.0	3506244.0	2745287.0	1890199.0	4045633.0	3753477.0	3534492.0	2639137.0	4045959.0	3506004.0	4093855.0	3005105.0	4869315.0	3926462.0	2272862.0	4660474.0	3060982.0	2586281.0	4003279.0
RaymondF_2016__P38C0__bin.30	4003279.0	3895484.0	2802550.0	2999761.0	4536077.0	3617939.0	3387747.0	4292862.0	4106517.0	3316306.0	3997268.0	3767241.0	3126702.0	4129528.0	4032634.0	3859209.0	3819927.0	3953347.0	3771830.0	3820215.0	3881274.0	3125840.0	3823643.0	3962627.0	3005890.0	2695327.0	3720867.0	3613018.0	2350103.0	1883738.0	4135577.0	3841377.0	3483783.0	2281612.0	3488777.0	4057793.0	3523950.0	3383933.0	3926462.0	4763204.0	2325529.0	3851081.0	3092841.0	2631489.0	4569475.0
