	BackhedF_2015__SID332_4M__bin.12	LiJ_2014__MH0358__bin.2	QinJ_2012__T2D-079__bin.38	RaymondF_2016__P15E90__bin.11	RaymondF_2016__P38C7__bin.32	HMP_2012__SRS011405__bin.22	LeChatelierE_2013__MH0159__bin.42	XieH_2016__YSZC12003_35366__bin.15	BackhedF_2015__SID544_M__bin.23	LiJ_2014__MH0396__bin.55	BackhedF_2015__SID179_4M__bin.6	Bengtsson-PalmeJ_2015__TRAVELRES10__bin.115	NielsenHB_2014__MH0159__bin.45	RaymondF_2016__P2E0__bin.18	LiJ_2014__V1.UC63-0__bin.54	Bengtsson-PalmeJ_2015__TRAVELRES15__bin.31	WenC_2017__RA050__bin.47	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.62	LoombaR_2017__SID0009_rhg__bin.29	Bengtsson-PalmeJ_2015__TRAVELRES16__bin.7	Bengtsson-PalmeJ_2015__TRAVELRES32__bin.73	HMP_2012__SRS013800__bin.7	ZellerG_2014__CCIS24254057ST-4-0__bin.21	HMP_2012__SRS017103__bin.15	HMP_2012__SRS017307__bin.3	XieH_2016__YSZC12003_37323__bin.2	HMP_2012__SRS024331__bin.1	NielsenHB_2014__V1_UC25_1__bin.40	BackhedF_2015__SID377_M__bin.32	XieH_2016__YSZC12003_37798__bin.98	NielsenHB_2014__V1_CD25_4__bin.19	NielsenHB_2014__V1_CD17_4__bin.58	BackhedF_2015__SID78_4M__bin.17	ZellerG_2014__CCIS52370277ST-4-0__bin.10	Bengtsson-PalmeJ_2015__TRAVELRES70__bin.115	Bengtsson-PalmeJ_2015__TRAVELRES58__bin.16	LiuW_2016__SRR3993056__bin.17	RaymondF_2016__P38C90__bin.54	LeChatelierE_2013__MH0453__bin.24	RaymondF_2016__P38C0__bin.30	LiJ_2014__MH0314__bin.50	Bengtsson-PalmeJ_2015__TRAVELRES31__bin.32	LiJ_2014__MH0371__bin.3	XieH_2016__YSZC12003_36158__bin.23	XieH_2016__YSZC12003_37229__bin.49
XieH_2016__YSZC12003_37323__bin.2	45097.0	40979.0	35213.0	30219.0	44314.0	36980.0	36464.0	45825.0	43408.0	35161.0	44997.0	48516.0	34624.0	45743.0	42943.0	41336.0	44415.0	45206.0	41207.0	39846.0	43880.0	41603.0	42389.0	39666.0	34393.0	0.0	39486.0	43103.0	28743.0	19246.0	46629.0	43093.0	48051.0	31195.0	40327.0	42775.0	44227.0	34281.0	44071.0	44686.0	32361.0	44008.0	35768.0	32156.0	46428.0
HMP_2012__SRS024331__bin.1	56051.0	7573.0	42842.0	3858.0	18132.0	6749.0	9153.0	11215.0	8376.0	6312.0	56059.0	60035.0	8702.0	54379.0	8986.0	35006.0	54822.0	56177.0	50818.0	35053.0	53994.0	16536.0	53265.0	667.0	43167.0	39486.0	0.0	50975.0	36538.0	12285.0	54729.0	54038.0	57971.0	36055.0	50501.0	11027.0	55520.0	20717.0	54399.0	15322.0	39946.0	53778.0	45803.0	37392.0	5937.0
NielsenHB_2014__V1_UC25_1__bin.40	61135.0	54263.0	46136.0	40171.0	51754.0	45947.0	46626.0	59282.0	56385.0	47715.0	61102.0	65128.0	43482.0	4464.0	57273.0	55353.0	58615.0	61679.0	29852.0	53169.0	57839.0	55531.0	57624.0	52595.0	26060.0	43103.0	50975.0	0.0	39704.0	24775.0	3798.0	30919.0	64006.0	40538.0	54240.0	55299.0	59387.0	31461.0	59578.0	55999.0	30152.0	58224.0	27306.0	44280.0	61006.0
BackhedF_2015__SID377_M__bin.32	4927.0	39264.0	9525.0	29396.0	41060.0	32948.0	33386.0	43000.0	41521.0	33431.0	4913.0	13843.0	31268.0	41570.0	40359.0	16346.0	8469.0	5322.0	39869.0	14324.0	7983.0	39313.0	7812.0	38413.0	32941.0	28743.0	36538.0	39704.0	0.0	10595.0	42198.0	41727.0	44532.0	9367.0	6932.0	39254.0	11208.0	32106.0	5882.0	40994.0	31816.0	7597.0	37196.0	29436.0	43344.0
XieH_2016__YSZC12003_37798__bin.98	14032.0	13905.0	12030.0	9552.0	16956.0	11437.0	12450.0	15690.0	14778.0	13093.0	14105.0	19821.0	11856.0	26720.0	14663.0	14709.0	13538.0	14275.0	25114.0	13379.0	13705.0	16338.0	14226.0	13484.0	20844.0	19246.0	12285.0	24775.0	10595.0	0.0	26974.0	26563.0	26361.0	11995.0	12148.0	14982.0	16784.0	17002.0	13489.0	17054.0	21269.0	13436.0	23183.0	18255.0	14842.0
NielsenHB_2014__V1_CD25_4__bin.19	68816.0	59174.0	50447.0	44550.0	56935.0	49956.0	50455.0	65830.0	61619.0	51934.0	68781.0	72276.0	46352.0	1863.0	62814.0	60790.0	65557.0	69025.0	31435.0	59600.0	64419.0	60739.0	64718.0	57097.0	27059.0	46629.0	54729.0	3798.0	42198.0	26974.0	0.0	32266.0	72000.0	44350.0	59559.0	60366.0	65708.0	33849.0	66836.0	61816.0	32976.0	65082.0	28559.0	48237.0	69077.0
NielsenHB_2014__V1_CD17_4__bin.58	64648.0	58150.0	49416.0	42966.0	56299.0	49066.0	49776.0	64386.0	60105.0	48733.0	64717.0	69355.0	45967.0	31146.0	60066.0	57919.0	62960.0	65026.0	33865.0	56707.0	61989.0	59830.0	61218.0	55519.0	28025.0	43093.0	54038.0	30919.0	41727.0	26563.0	32266.0	0.0	68047.0	43422.0	57236.0	58387.0	63465.0	36555.0	63473.0	58747.0	17664.0	62425.0	4638.0	44194.0	65501.0
BackhedF_2015__SID78_4M__bin.17	71611.0	60325.0	52935.0	45058.0	67788.0	52700.0	52412.0	66429.0	64361.0	51970.0	71364.0	74035.0	48689.0	71427.0	62256.0	59417.0	70236.0	71569.0	64943.0	57629.0	67626.0	62124.0	62865.0	61288.0	54331.0	48051.0	57971.0	64006.0	44532.0	26361.0	72000.0	68047.0	0.0	44472.0	62865.0	59620.0	69362.0	49470.0	67666.0	66692.0	47019.0	69947.0	55965.0	41787.0	67473.0
ZellerG_2014__CCIS52370277ST-4-0__bin.10	10810.0	39346.0	11470.0	29511.0	41582.0	33750.0	33787.0	42356.0	41357.0	33057.0	10835.0	18927.0	32345.0	43960.0	40826.0	19488.0	12913.0	11179.0	41164.0	17683.0	11905.0	38573.0	11655.0	37313.0	33632.0	31195.0	36055.0	40538.0	9367.0	11995.0	44350.0	43422.0	44472.0	0.0	11463.0	39483.0	14782.0	31668.0	11137.0	41192.0	31561.0	11681.0	37369.0	30516.0	43843.0
Bengtsson-PalmeJ_2015__TRAVELRES70__bin.115	4514.0	54728.0	9684.0	40844.0	56844.0	45655.0	46591.0	59198.0	56677.0	45228.0	4530.0	19078.0	43295.0	59412.0	56247.0	20269.0	3247.0	5535.0	54875.0	17369.0	6546.0	54480.0	7396.0	51640.0	44435.0	40327.0	50501.0	54240.0	6932.0	12148.0	59559.0	57236.0	62865.0	11463.0	0.0	53926.0	14436.0	42912.0	3675.0	56985.0	41145.0	6010.0	50109.0	41340.0	61246.0
Bengtsson-PalmeJ_2015__TRAVELRES58__bin.16	60273.0	12231.0	45854.0	7451.0	25229.0	10321.0	12098.0	16171.0	12872.0	13693.0	60274.0	65188.0	11897.0	59417.0	10667.0	39410.0	58454.0	60612.0	54494.0	39977.0	57843.0	23050.0	56914.0	11268.0	46148.0	42775.0	11027.0	55299.0	39254.0	14982.0	60366.0	58387.0	59620.0	39483.0	53926.0	0.0	58809.0	25256.0	58394.0	21211.0	42309.0	57663.0	48462.0	39755.0	9539.0
LiuW_2016__SRR3993056__bin.17	13189.0	60042.0	14834.0	44625.0	64850.0	48580.0	50364.0	65809.0	62617.0	50185.0	13210.0	26642.0	46633.0	65842.0	61239.0	28224.0	16741.0	14047.0	61948.0	25820.0	14347.0	57022.0	15779.0	58187.0	51679.0	44227.0	55520.0	59387.0	11208.0	16784.0	65708.0	63465.0	69362.0	14782.0	14436.0	58809.0	0.0	48173.0	13358.0	63978.0	47622.0	13929.0	55354.0	45578.0	67697.0
RaymondF_2016__P38C90__bin.54	48401.0	24146.0	37387.0	16854.0	19419.0	18864.0	20530.0	27086.0	24427.0	21433.0	48485.0	52573.0	19003.0	33241.0	24954.0	37899.0	46819.0	48889.0	36483.0	35302.0	46559.0	27029.0	46845.0	21859.0	31048.0	34281.0	20717.0	31461.0	32106.0	17002.0	33849.0	36555.0	49470.0	31668.0	42912.0	25256.0	48173.0	0.0	47098.0	18980.0	30876.0	46709.0	33243.0	33973.0	24922.0
LeChatelierE_2013__MH0453__bin.24	3217.0	59890.0	8685.0	44732.0	63897.0	49360.0	50512.0	65858.0	62353.0	49174.0	3425.0	19542.0	46570.0	66295.0	61585.0	21706.0	5782.0	4311.0	60706.0	18595.0	5316.0	59529.0	6885.0	56526.0	49506.0	44071.0	54399.0	59578.0	5882.0	13489.0	66836.0	63473.0	67666.0	11137.0	3675.0	58394.0	13358.0	47098.0	0.0	62892.0	46566.0	4947.0	54147.0	44372.0	68122.0
RaymondF_2016__P38C0__bin.30	65269.0	19059.0	49518.0	13237.0	12360.0	14694.0	18243.0	24221.0	19443.0	18501.0	65396.0	69851.0	17163.0	61096.0	21653.0	44005.0	63575.0	65256.0	56888.0	42937.0	63233.0	28545.0	61359.0	15812.0	45897.0	44686.0	15322.0	55999.0	40994.0	17054.0	61816.0	58747.0	66692.0	41192.0	56985.0	21211.0	63978.0	18980.0	62892.0	0.0	44019.0	63453.0	50987.0	41600.0	18701.0
LiJ_2014__MH0314__bin.50	47988.0	42912.0	35940.0	31303.0	42601.0	36551.0	36469.0	45330.0	44291.0	35477.0	47617.0	48576.0	33950.0	32877.0	42976.0	44141.0	45163.0	47801.0	31663.0	42606.0	46456.0	38871.0	45507.0	41534.0	26952.0	32361.0	39946.0	30152.0	31816.0	21269.0	32976.0	17664.0	47019.0	31561.0	41145.0	42309.0	47622.0	30876.0	46566.0	44019.0	0.0	46459.0	15970.0	32970.0	46960.0
Bengtsson-PalmeJ_2015__TRAVELRES31__bin.32	5829.0	59267.0	5385.0	43555.0	64277.0	48901.0	50337.0	65107.0	62146.0	49748.0	6006.0	22267.0	46277.0	64355.0	61352.0	22183.0	8183.0	7300.0	61147.0	19911.0	311.0	58772.0	8927.0	55950.0	49546.0	44008.0	53778.0	58224.0	7597.0	13436.0	65082.0	62425.0	69947.0	11681.0	6010.0	57663.0	13929.0	46709.0	4947.0	63453.0	46459.0	0.0	54080.0	44093.0	67761.0
LiJ_2014__MH0371__bin.3	55692.0	50411.0	42463.0	37053.0	48351.0	40719.0	42911.0	54973.0	52332.0	41251.0	55625.0	59673.0	39137.0	28400.0	52106.0	50215.0	53983.0	55797.0	30067.0	48748.0	53830.0	47008.0	52681.0	47688.0	25075.0	35768.0	45803.0	27306.0	37196.0	23183.0	28559.0	4638.0	55965.0	37369.0	50109.0	48462.0	55354.0	33243.0	54147.0	50987.0	15970.0	54080.0	0.0	37144.0	55403.0
XieH_2016__YSZC12003_36158__bin.23	45794.0	40333.0	34972.0	30110.0	42576.0	35542.0	35671.0	43897.0	40504.0	33260.0	45742.0	49833.0	33616.0	47572.0	40603.0	39855.0	44180.0	46022.0	43832.0	37807.0	42969.0	42229.0	43496.0	38439.0	36450.0	32156.0	37392.0	44280.0	29436.0	18255.0	48237.0	44194.0	41787.0	30516.0	41340.0	39755.0	45578.0	33973.0	44372.0	41600.0	32970.0	44093.0	37144.0	0.0	43508.0
XieH_2016__YSZC12003_37229__bin.49	71443.0	8234.0	51764.0	3618.0	23822.0	5608.0	9304.0	12674.0	8513.0	10488.0	71247.0	74992.0	9202.0	68687.0	8666.0	42867.0	68222.0	71589.0	63139.0	43619.0	68310.0	21148.0	66139.0	6363.0	50213.0	46428.0	5937.0	61006.0	43344.0	14842.0	69077.0	65501.0	67473.0	43843.0	61246.0	9539.0	67697.0	24922.0	68122.0	18701.0	46960.0	67761.0	55403.0	43508.0	0.0
