	HMP_2012__SRS019591__bin.13	HMP_2012__SRS018443__bin.44	HMP_2012__SRS024021__bin.12	HMP_2012__SRS015947__bin.12	HMP_2012__SRS053630__bin.11	HMP_2012__SRS015278__bin.1	CM_cf__CF_TNFC048IS_t2M15__bin.15	HMP_2012__SRS015650__bin.12	HMP_2012__SRS019225__bin.13	CM_periimplantitis__SP_191SPI_T016__bin.15	CM_periimplantitis__SP_386SPT_T016__bin.7	HMP_2012__SRS015803__bin.41	HMP_2012__SRS013949__bin.24	HMP_2012__SRS022602__bin.29	HMP_2012__SRS019129__bin.14	CM_periimplantitis__SP_162SPI_T016__bin.27	QinJ_2012__T2D-092__bin.6	CM_periimplantitis__SP_162SPT_T016__bin.5	HMP_2012__SRS058808__bin.21	HMP_2012__SRS011098__bin.21	HMP_2012__SRS024561__bin.20	HMP_2012__SRS016541__bin.4	HMP_2012__SRS015378__bin.8	HMP_2012__SRS049268__bin.66	HMP_2012__SRS016092__bin.6	HMP_2012__SRS065310__bin.13
CM_periimplantitis__SP_386SPT_T016__bin.7	38828.0	59431.0	25050.0	44582.0	50881.0	48120.0	63254.0	60281.0	63061.0	34719.0	0.0	30819.0	47431.0	44731.0	60531.0	53740.0	69373.0	57743.0	63193.0	56069.0	34337.0	35596.0	23973.0	55493.0	65097.0	31894.0
HMP_2012__SRS015803__bin.41	34385.0	54818.0	28644.0	42961.0	47938.0	44451.0	57478.0	52520.0	58041.0	41838.0	30819.0	0.0	43501.0	41826.0	54390.0	42362.0	60520.0	54411.0	57809.0	50614.0	37472.0	14843.0	25877.0	49857.0	57566.0	38652.0
HMP_2012__SRS013949__bin.24	40546.0	58622.0	43993.0	50194.0	54750.0	54462.0	61808.0	52673.0	61568.0	60290.0	47431.0	43501.0	0.0	47028.0	6339.0	48818.0	64452.0	58495.0	57808.0	58032.0	57547.0	43834.0	38251.0	56604.0	27145.0	59524.0
HMP_2012__SRS022602__bin.29	37107.0	38639.0	39846.0	49881.0	54210.0	54807.0	63251.0	58453.0	60489.0	59853.0	44731.0	41826.0	47028.0	0.0	59417.0	44332.0	68223.0	56430.0	65665.0	58899.0	55667.0	40075.0	34148.0	56264.0	65549.0	58141.0
HMP_2012__SRS019129__bin.14	51943.0	77444.0	57388.0	64884.0	70730.0	69294.0	81824.0	69317.0	81638.0	81111.0	60531.0	54390.0	6339.0	59417.0	0.0	62464.0	86959.0	75788.0	78110.0	76386.0	74604.0	55000.0	50045.0	73963.0	34749.0	77079.0
CM_periimplantitis__SP_162SPI_T016__bin.27	53779.0	58110.0	53446.0	50309.0	57942.0	55212.0	63685.0	62301.0	5531.0	64406.0	53740.0	42362.0	48818.0	44332.0	62464.0	0.0	67310.0	7467.0	64499.0	62950.0	56579.0	59113.0	51432.0	63129.0	65038.0	58965.0
QinJ_2012__T2D-092__bin.6	59202.0	89002.0	61733.0	75095.0	84068.0	79396.0	93698.0	82949.0	90449.0	92165.0	69373.0	60520.0	64452.0	68223.0	86959.0	67310.0	0.0	81711.0	93163.0	89181.0	83803.0	59312.0	54167.0	88687.0	95433.0	87234.0
CM_periimplantitis__SP_162SPT_T016__bin.5	49332.0	74348.0	46945.0	63316.0	72022.0	66702.0	77232.0	71653.0	10607.0	76629.0	57743.0	54411.0	58495.0	56430.0	75788.0	7467.0	81711.0	0.0	79182.0	76824.0	72502.0	50985.0	45308.0	76723.0	81300.0	73870.0
HMP_2012__SRS058808__bin.21	53907.0	81949.0	56926.0	69846.0	78964.0	74960.0	87852.0	64189.0	87239.0	84756.0	63193.0	57809.0	57808.0	65665.0	78110.0	64499.0	93163.0	79182.0	0.0	84644.0	77215.0	54895.0	48668.0	83065.0	84941.0	81797.0
HMP_2012__SRS011098__bin.21	40870.0	76048.0	51023.0	53831.0	21903.0	68806.0	83876.0	77645.0	84440.0	76975.0	56069.0	50614.0	58032.0	58899.0	76386.0	62950.0	89181.0	76824.0	84644.0	0.0	67364.0	50042.0	44982.0	34429.0	83117.0	71452.0
HMP_2012__SRS024561__bin.20	39530.0	73040.0	33460.0	53512.0	61638.0	57885.0	79603.0	69163.0	77770.0	48465.0	34337.0	37472.0	57547.0	55667.0	74604.0	56579.0	83803.0	72502.0	77215.0	67364.0	0.0	35761.0	28861.0	64263.0	80341.0	45741.0
HMP_2012__SRS016541__bin.4	43478.0	53221.0	41209.0	38345.0	44492.0	43424.0	58326.0	54674.0	57822.0	43168.0	35596.0	14843.0	43834.0	40075.0	55000.0	59113.0	59312.0	50985.0	54895.0	50042.0	35761.0	0.0	34919.0	47943.0	57833.0	34460.0
HMP_2012__SRS015378__bin.8	38879.0	46946.0	14607.0	35148.0	40259.0	40037.0	51585.0	49766.0	50834.0	27486.0	23973.0	25877.0	38251.0	34148.0	50045.0	51432.0	54167.0	45308.0	48668.0	44982.0	28861.0	34919.0	0.0	44522.0	51819.0	508.0
HMP_2012__SRS049268__bin.66	39800.0	73690.0	50305.0	50983.0	31408.0	66059.0	82705.0	76053.0	85967.0	73024.0	55493.0	49857.0	56604.0	56264.0	73963.0	63129.0	88687.0	76723.0	83065.0	34429.0	64263.0	47943.0	44522.0	0.0	82978.0	69401.0
HMP_2012__SRS016092__bin.6	55122.0	84795.0	60173.0	69331.0	77268.0	74214.0	88328.0	75323.0	91581.0	90215.0	65097.0	57566.0	27145.0	65549.0	34749.0	65038.0	95433.0	81300.0	84941.0	83117.0	80341.0	57833.0	51819.0	82978.0	0.0	85967.0
HMP_2012__SRS065310__bin.13	42074.0	73780.0	15547.0	57497.0	64684.0	59968.0	79975.0	73143.0	80525.0	39789.0	31894.0	38652.0	59524.0	58141.0	77079.0	58965.0	87234.0	73870.0	81797.0	71452.0	45741.0	34460.0	508.0	69401.0	85967.0	0.0
