	HMP_2012__SRS019591__bin.13	HMP_2012__SRS018443__bin.44	HMP_2012__SRS024021__bin.12	HMP_2012__SRS015947__bin.12	HMP_2012__SRS053630__bin.11	HMP_2012__SRS015278__bin.1	CM_cf__CF_TNFC048IS_t2M15__bin.15	HMP_2012__SRS015650__bin.12	HMP_2012__SRS019225__bin.13	CM_periimplantitis__SP_191SPI_T016__bin.15	CM_periimplantitis__SP_386SPT_T016__bin.7	HMP_2012__SRS015803__bin.41	HMP_2012__SRS013949__bin.24	HMP_2012__SRS022602__bin.29	HMP_2012__SRS019129__bin.14	CM_periimplantitis__SP_162SPI_T016__bin.27	QinJ_2012__T2D-092__bin.6	CM_periimplantitis__SP_162SPT_T016__bin.5	HMP_2012__SRS058808__bin.21	HMP_2012__SRS011098__bin.21	HMP_2012__SRS024561__bin.20	HMP_2012__SRS016541__bin.4	HMP_2012__SRS015378__bin.8	HMP_2012__SRS049268__bin.66	HMP_2012__SRS016092__bin.6	HMP_2012__SRS065310__bin.13
CM_periimplantitis__SP_386SPT_T016__bin.7	1135012.0	1371260.0	1182906.0	1192324.0	1305127.0	1248747.0	1386393.0	1309279.0	1391851.0	1496848.0	1646766.0	1020572.0	1058745.0	1045016.0	1317311.0	1230633.0	1387680.0	1276512.0	1362170.0	1433419.0	1372135.0	1154226.0	1061960.0	1418535.0	1389507.0	1426213.0
HMP_2012__SRS015803__bin.41	951634.0	1273733.0	937189.0	1168095.0	1208864.0	1174586.0	1289404.0	1189517.0	1309384.0	1325775.0	1020572.0	1678178.0	993591.0	974705.0	1224504.0	1003999.0	1246160.0	1211345.0	1279896.0	1303976.0	1261273.0	959283.0	854707.0	1286123.0	1283725.0	1304435.0
HMP_2012__SRS013949__bin.24	961388.0	1273236.0	983828.0	1123271.0	1235666.0	1188138.0	1318079.0	1277729.0	1318339.0	1338547.0	1058745.0	993591.0	1505939.0	1026905.0	1410135.0	1072430.0	1349574.0	1219534.0	1350074.0	1327527.0	1279577.0	974918.0	872750.0	1321050.0	1445417.0	1299360.0
HMP_2012__SRS022602__bin.29	926929.0	1353981.0	927841.0	1172436.0	1261160.0	1212647.0	1353974.0	1213164.0	1347631.0	1331210.0	1045016.0	974705.0	1026905.0	1558180.0	1286461.0	1052575.0	1347252.0	1252736.0	1354987.0	1356965.0	1280587.0	905861.0	810868.0	1336335.0	1380415.0	1333845.0
HMP_2012__SRS019129__bin.14	1205521.0	1651895.0	1253208.0	1448776.0	1587758.0	1496771.0	1705658.0	1632185.0	1728578.0	1745654.0	1317311.0	1224504.0	1410135.0	1286461.0	2037827.0	1356275.0	1775412.0	1574420.0	1781171.0	1725217.0	1633533.0	1214260.0	1109737.0	1715153.0	1911673.0	1662980.0
CM_periimplantitis__SP_162SPI_T016__bin.27	1262562.0	1350326.0	1368882.0	1183875.0	1281347.0	1245054.0	1437932.0	1344345.0	1584303.0	1492512.0	1230633.0	1003999.0	1072430.0	1052575.0	1356275.0	1667766.0	1392858.0	1396559.0	1367729.0	1414551.0	1323817.0	1317850.0	1241584.0	1385686.0	1424631.0	1410642.0
QinJ_2012__T2D-092__bin.6	1256153.0	1760862.0	1279983.0	1542887.0	1715424.0	1582094.0	1804457.0	1694014.0	1813141.0	1842721.0	1387680.0	1246160.0	1349574.0	1347252.0	1775412.0	1392858.0	2166519.0	1633193.0	1887289.0	1830371.0	1686124.0	1230072.0	1122504.0	1794156.0	1922107.0	1751214.0
CM_periimplantitis__SP_162SPT_T016__bin.5	1154116.0	1630296.0	1169284.0	1420911.0	1546544.0	1456597.0	1679449.0	1502820.0	1856099.0	1670812.0	1276512.0	1211345.0	1219534.0	1252736.0	1574420.0	1396559.0	1633193.0	2033596.0	1630717.0	1666595.0	1578064.0	1144746.0	1048102.0	1626816.0	1685040.0	1637982.0
HMP_2012__SRS058808__bin.21	1231346.0	1777731.0	1239102.0	1515307.0	1686514.0	1603257.0	1803052.0	1706387.0	1800271.0	1823867.0	1362170.0	1279896.0	1350074.0	1354987.0	1781171.0	1367729.0	1887289.0	1630717.0	2313506.0	1816773.0	1690487.0	1220334.0	1085869.0	1766852.0	1939898.0	1751524.0
HMP_2012__SRS011098__bin.21	1303201.0	1798401.0	1315652.0	1614364.0	1867632.0	1604909.0	1844886.0	1674856.0	1835622.0	1897226.0	1433419.0	1303976.0	1327527.0	1356965.0	1725217.0	1414551.0	1830371.0	1666595.0	1816773.0	2146894.0	1779165.0	1287514.0	1166321.0	1913826.0	1854432.0	1828693.0
HMP_2012__SRS024561__bin.20	1230608.0	1704274.0	1260275.0	1489356.0	1623669.0	1518177.0	1721126.0	1537179.0	1720459.0	1802743.0	1372135.0	1261273.0	1279577.0	1280587.0	1633533.0	1323817.0	1686124.0	1578064.0	1690487.0	1779165.0	2036552.0	1235159.0	1117687.0	1732733.0	1740029.0	1740340.0
HMP_2012__SRS016541__bin.4	1225439.0	1234460.0	1315831.0	1055562.0	1154613.0	1126445.0	1335639.0	1212208.0	1293471.0	1361554.0	1154226.0	959283.0	974918.0	905861.0	1214260.0	1317850.0	1230072.0	1144746.0	1220334.0	1287514.0	1235159.0	1488415.0	1250846.0	1272942.0	1278887.0	1271351.0
HMP_2012__SRS015378__bin.8	1149462.0	1110157.0	1230373.0	958148.0	1034125.0	1013601.0	1226624.0	1120909.0	1214310.0	1268600.0	1061960.0	854707.0	872750.0	810868.0	1109737.0	1241584.0	1122504.0	1048102.0	1085869.0	1166321.0	1117687.0	1250846.0	1382691.0	1156232.0	1162275.0	1215626.0
HMP_2012__SRS049268__bin.66	1291200.0	1769815.0	1303459.0	1537459.0	1751062.0	1551479.0	1805684.0	1618386.0	1826636.0	1854394.0	1418535.0	1286123.0	1321050.0	1336335.0	1715153.0	1385686.0	1794156.0	1626816.0	1766852.0	1913826.0	1732733.0	1272942.0	1156232.0	2192999.0	1884958.0	1783346.0
HMP_2012__SRS016092__bin.6	1277220.0	1791086.0	1325821.0	1532340.0	1703195.0	1613998.0	1848067.0	1721363.0	1912297.0	1901286.0	1389507.0	1283725.0	1445417.0	1380415.0	1911673.0	1424631.0	1922107.0	1685040.0	1939898.0	1854432.0	1740029.0	1278887.0	1162275.0	1884958.0	2312188.0	1807774.0
HMP_2012__SRS065310__bin.13	1254579.0	1728346.0	1315611.0	1522592.0	1658344.0	1523323.0	1756053.0	1611505.0	1799976.0	1870584.0	1426213.0	1304435.0	1299360.0	1333845.0	1662980.0	1410642.0	1751214.0	1637982.0	1751524.0	1828693.0	1740340.0	1271351.0	1215626.0	1783346.0	1807774.0	2048751.0
