	XieH_2016__YSZC12003_35698__bin.59	YuJ_2015__SZAXPI015258-57__bin.74	LeChatelierE_2013__MH0137__bin.13	ZeeviD_2015__PNP_Main_421__bin.8	QinJ_2012__CON-053__bin.38	XieH_2016__YSZC12003_37337__bin.42	QinJ_2012__NOF008__bin.25	HMP_2012__SRS063985__bin.14	QinJ_2012__T2D-030__bin.35	XieH_2016__YSZC12003_37583__bin.91	XieH_2016__YSZC12003_35654__bin.42	YuJ_2015__SZAXPI003435-11__bin.41	LeChatelierE_2013__MH0173__bin.39	RaymondF_2016__P25C7__bin.86	XieH_2016__YSZC12003_36117__bin.36	QinJ_2012__T2D-106__bin.39	RaymondF_2016__P2E0__bin.25	BackhedF_2015__SID589_12M__bin.42	XieH_2016__YSZC12003_36703__bin.65	NielsenHB_2014__MH0173__bin.19	ZeeviD_2015__PNP_Main_576__bin.55	XieH_2016__YSZC12003_37647__bin.71	LiJ_2014__O2.UC27-1__bin.34	NielsenHB_2014__MH0137__bin.4	XieH_2016__YSZC12003_37285__bin.27	QinN_2014__LD-22__bin.22	XieH_2016__YSZC12003_35392__bin.92	BritoIL_2016__W2.43.ST__bin.61	LeChatelierE_2013__MH0183__bin.49	Bengtsson-PalmeJ_2015__TRAVELRES1__bin.58	LouisS_2016__AS62_6__bin.16	QinN_2014__LD-97__bin.39	ZeeviD_2015__PNP_Main_690__bin.5	NielsenHB_2014__MH0183__bin.15	ZeeviD_2015__PNP_Main_754__bin.10	ZeeviD_2015__PNP_Main_474__bin.34	QinN_2014__HD-1__bin.14	HeQ_2017__SZAXPI029591-123__bin.28	LeChatelierE_2013__MH0251__bin.9	RaymondF_2016__P22E0__bin.25	QinJ_2012__T2D-048__bin.35
QinJ_2012__T2D-106__bin.39	19081.0	22034.0	17181.0	18040.0	15632.0	33073.0	15866.0	22040.0	28911.0	15593.0	21561.0	18687.0	21962.0	11965.0	23547.0	0.0	23677.0	11339.0	10977.0	22864.0	15931.0	22204.0	23710.0	14572.0	13051.0	21331.0	24511.0	36458.0	22043.0	22246.0	11697.0	39119.0	35783.0	22153.0	24358.0	17839.0	11960.0	38387.0	26843.0	26561.0	14949.0
RaymondF_2016__P2E0__bin.25	17529.0	22282.0	17622.0	22996.0	23006.0	5826.0	24610.0	21061.0	10172.0	9866.0	25126.0	23790.0	20135.0	17158.0	21642.0	23677.0	0.0	16055.0	13549.0	20747.0	23990.0	20744.0	19485.0	16114.0	23719.0	24671.0	21410.0	19478.0	20827.0	20260.0	14408.0	11576.0	5676.0	20995.0	20015.0	17578.0	17665.0	14938.0	10701.0	7758.0	21013.0
BackhedF_2015__SID589_12M__bin.42	11700.0	15081.0	11316.0	10165.0	9721.0	20544.0	10992.0	13652.0	19640.0	10208.0	12466.0	10595.0	12445.0	7166.0	14557.0	11339.0	16055.0	0.0	9002.0	13014.0	9502.0	13327.0	14188.0	9805.0	10499.0	12731.0	14464.0	21948.0	13244.0	14116.0	8827.0	23067.0	22454.0	13369.0	14715.0	12146.0	7865.0	24165.0	18312.0	15305.0	9779.0
XieH_2016__YSZC12003_36703__bin.65	12343.0	15117.0	10941.0	10662.0	11062.0	18871.0	10702.0	14387.0	17886.0	10691.0	13832.0	13228.0	12319.0	5835.0	14578.0	10977.0	13549.0	9002.0	0.0	12962.0	6575.0	14004.0	15252.0	10088.0	10180.0	12145.0	14608.0	20063.0	13627.0	14244.0	8120.0	20801.0	20789.0	14059.0	14491.0	13098.0	4721.0	21450.0	14701.0	14554.0	3044.0
NielsenHB_2014__MH0173__bin.19	17524.0	19666.0	14897.0	20778.0	21627.0	30899.0	22804.0	18923.0	26023.0	14206.0	24073.0	23032.0	275.0	15565.0	18455.0	22864.0	20747.0	13014.0	12962.0	0.0	23333.0	21029.0	20880.0	12563.0	23785.0	22628.0	20843.0	33763.0	21479.0	21178.0	11369.0	33757.0	33095.0	21576.0	20691.0	16323.0	17115.0	34942.0	23566.0	24732.0	21192.0
ZeeviD_2015__PNP_Main_576__bin.55	19624.0	25136.0	18743.0	17735.0	16754.0	35330.0	18493.0	26138.0	28157.0	17290.0	21071.0	16674.0	21829.0	9807.0	24549.0	15931.0	23990.0	9502.0	6575.0	23333.0	0.0	24419.0	24586.0	15943.0	16653.0	22034.0	26289.0	37005.0	25030.0	24004.0	12466.0	36794.0	38443.0	25842.0	25007.0	21069.0	10290.0	38259.0	27627.0	27822.0	8846.0
XieH_2016__YSZC12003_37647__bin.71	8154.0	22837.0	12603.0	21942.0	21999.0	30654.0	23496.0	19081.0	25022.0	12265.0	25956.0	22647.0	19803.0	14283.0	20921.0	22204.0	20744.0	13327.0	14004.0	21029.0	24419.0	0.0	22062.0	10931.0	23017.0	25491.0	22962.0	31794.0	11615.0	11139.0	12944.0	32483.0	32003.0	11895.0	11700.0	15794.0	17124.0	33783.0	23619.0	23174.0	21794.0
LiJ_2014__O2.UC27-1__bin.34	18014.0	22297.0	12185.0	22117.0	23426.0	29393.0	24661.0	19503.0	24500.0	15904.0	26136.0	24608.0	19754.0	15956.0	19415.0	23710.0	19485.0	14188.0	15252.0	20880.0	24586.0	22062.0	0.0	10376.0	24745.0	23823.0	799.0	30822.0	21610.0	22702.0	12420.0	32117.0	31274.0	22214.0	21233.0	15972.0	18260.0	33870.0	23708.0	25053.0	23549.0
NielsenHB_2014__MH0137__bin.4	10657.0	14364.0	338.0	13935.0	13538.0	21262.0	14040.0	12234.0	18003.0	10299.0	15779.0	14428.0	12224.0	10200.0	12441.0	14572.0	16114.0	9805.0	10088.0	12563.0	15943.0	10931.0	10376.0	0.0	14829.0	16186.0	10555.0	21699.0	11217.0	11609.0	7795.0	22529.0	22201.0	11187.0	11601.0	9472.0	10990.0	23941.0	18190.0	14933.0	13753.0
XieH_2016__YSZC12003_37285__bin.27	18600.0	23723.0	17535.0	18426.0	18613.0	34163.0	19239.0	25793.0	28222.0	16286.0	21463.0	19131.0	22239.0	12487.0	23588.0	13051.0	23719.0	10499.0	10180.0	23785.0	16653.0	23017.0	24745.0	14829.0	0.0	20320.0	25120.0	36947.0	22415.0	23343.0	12221.0	36481.0	38934.0	23036.0	23218.0	19109.0	13415.0	37729.0	26797.0	27309.0	16370.0
QinN_2014__LD-22__bin.22	20977.0	24034.0	18867.0	20860.0	18851.0	35316.0	22462.0	24398.0	28676.0	16976.0	18217.0	20117.0	21431.0	13616.0	25506.0	21331.0	24671.0	12731.0	12145.0	22628.0	22034.0	25491.0	23823.0	16186.0	20320.0	0.0	24108.0	35849.0	25193.0	25448.0	13402.0	37300.0	37612.0	26116.0	25744.0	20137.0	14931.0	37540.0	27260.0	28353.0	20369.0
XieH_2016__YSZC12003_35392__bin.92	18409.0	22872.0	12413.0	23168.0	24537.0	31512.0	25323.0	20615.0	26102.0	15726.0	26990.0	25162.0	19883.0	16152.0	19602.0	24511.0	21410.0	14464.0	14608.0	20843.0	26289.0	22962.0	799.0	10555.0	25120.0	24108.0	0.0	32889.0	23240.0	23924.0	12626.0	34137.0	33633.0	23445.0	22087.0	17765.0	18886.0	35885.0	25097.0	25100.0	23497.0
BritoIL_2016__W2.43.ST__bin.61	26060.0	34503.0	25437.0	35793.0	34617.0	29146.0	36669.0	33862.0	22852.0	18526.0	38546.0	36877.0	31942.0	23682.0	33210.0	36458.0	19478.0	21948.0	20063.0	33763.0	37005.0	31794.0	30822.0	21699.0	36947.0	35849.0	32889.0	0.0	30441.0	30512.0	20648.0	30017.0	32631.0	30989.0	32209.0	26985.0	26913.0	32420.0	21929.0	22815.0	32734.0
LeChatelierE_2013__MH0183__bin.49	9650.0	23184.0	13212.0	21593.0	21372.0	29990.0	23369.0	21297.0	24532.0	11673.0	26379.0	23428.0	19865.0	14782.0	20862.0	22043.0	20827.0	13244.0	13627.0	21479.0	25030.0	11615.0	21610.0	11217.0	22415.0	25193.0	23240.0	30441.0	0.0	11389.0	12554.0	30834.0	31271.0	278.0	12964.0	16934.0	16642.0	32661.0	22512.0	22138.0	21081.0
Bengtsson-PalmeJ_2015__TRAVELRES1__bin.58	9645.0	22949.0	13598.0	21995.0	22060.0	29808.0	23300.0	20214.0	24132.0	12412.0	25375.0	23114.0	20150.0	14762.0	21098.0	22246.0	20260.0	14116.0	14244.0	21178.0	24004.0	11139.0	22702.0	11609.0	23343.0	25448.0	23924.0	30512.0	11389.0	0.0	12590.0	30058.0	30853.0	11840.0	12930.0	15999.0	16571.0	30840.0	23174.0	23208.0	21651.0
LouisS_2016__AS62_6__bin.16	10273.0	12578.0	9424.0	10957.0	11729.0	18708.0	12713.0	11079.0	16380.0	9177.0	13774.0	11903.0	11133.0	9283.0	10908.0	11697.0	14408.0	8827.0	8120.0	11369.0	12466.0	12944.0	12420.0	7795.0	12221.0	13402.0	12626.0	20648.0	12554.0	12590.0	0.0	20108.0	20232.0	12459.0	12729.0	10252.0	9343.0	22106.0	16167.0	13576.0	11799.0
QinN_2014__LD-97__bin.39	25682.0	37705.0	26848.0	34854.0	33342.0	17419.0	38647.0	33903.0	3680.0	14150.0	38095.0	36240.0	32256.0	24100.0	33911.0	39119.0	11576.0	23067.0	20801.0	33757.0	36794.0	32483.0	32117.0	22529.0	36481.0	37300.0	34137.0	30017.0	30834.0	30058.0	20108.0	0.0	18160.0	31679.0	31797.0	27947.0	25954.0	21779.0	15103.0	13226.0	31587.0
ZeeviD_2015__PNP_Main_690__bin.5	25766.0	36168.0	26255.0	35296.0	37710.0	7848.0	38440.0	35350.0	14721.0	14286.0	39768.0	36809.0	32036.0	23129.0	35044.0	35783.0	5676.0	22454.0	20789.0	33095.0	38443.0	32003.0	31274.0	22201.0	38934.0	37612.0	33633.0	32631.0	31271.0	30853.0	20232.0	18160.0	0.0	31769.0	31739.0	27912.0	28183.0	22164.0	15073.0	10987.0	33068.0
NielsenHB_2014__MH0183__bin.15	10203.0	22873.0	13348.0	21945.0	21579.0	30226.0	23858.0	21712.0	24752.0	12292.0	26461.0	23340.0	20597.0	14824.0	21474.0	22153.0	20995.0	13369.0	14059.0	21576.0	25842.0	11895.0	22214.0	11187.0	23036.0	26116.0	23445.0	30989.0	278.0	11840.0	12459.0	31679.0	31769.0	0.0	12954.0	17354.0	17072.0	32462.0	22832.0	23517.0	21792.0
ZeeviD_2015__PNP_Main_754__bin.10	9263.0	23919.0	13387.0	22017.0	22129.0	29426.0	24716.0	19411.0	24434.0	13001.0	25462.0	23422.0	19627.0	14706.0	20950.0	24358.0	20015.0	14715.0	14491.0	20691.0	25007.0	11700.0	21233.0	11601.0	23218.0	25744.0	22087.0	32209.0	12964.0	12930.0	12729.0	31797.0	31739.0	12954.0	0.0	16402.0	16903.0	33837.0	22911.0	22489.0	21750.0
ZeeviD_2015__PNP_Main_474__bin.34	12700.0	19373.0	11618.0	16742.0	17915.0	25978.0	18551.0	14456.0	22150.0	12793.0	21196.0	19068.0	15570.0	11177.0	16575.0	17839.0	17578.0	12146.0	13098.0	16323.0	21069.0	15794.0	15972.0	9472.0	19109.0	20137.0	17765.0	26985.0	16934.0	15999.0	10252.0	27947.0	27912.0	17354.0	16402.0	0.0	14149.0	29359.0	20809.0	18945.0	16690.0
QinN_2014__HD-1__bin.14	13945.0	17098.0	13258.0	13392.0	9166.0	24586.0	9317.0	17329.0	19878.0	13004.0	14740.0	12291.0	16238.0	7286.0	16974.0	11960.0	17665.0	7865.0	4721.0	17115.0	10290.0	17124.0	18260.0	10990.0	13415.0	14931.0	18886.0	26913.0	16642.0	16571.0	9343.0	25954.0	28183.0	17072.0	16903.0	14149.0	0.0	27581.0	20399.0	19174.0	8118.0
HeQ_2017__SZAXPI029591-123__bin.28	26424.0	37396.0	28099.0	36129.0	34450.0	20863.0	37375.0	36225.0	17847.0	15238.0	39819.0	36066.0	33324.0	24686.0	36323.0	38387.0	14938.0	24165.0	21450.0	34942.0	38259.0	33783.0	33870.0	23941.0	37729.0	37540.0	35885.0	32420.0	32661.0	30840.0	22106.0	21779.0	22164.0	32462.0	33837.0	29359.0	27581.0	0.0	17385.0	17410.0	32871.0
LeChatelierE_2013__MH0251__bin.9	20980.0	27035.0	20732.0	26156.0	24782.0	13911.0	27244.0	25554.0	13846.0	10362.0	27846.0	27286.0	22495.0	19018.0	25553.0	26843.0	10701.0	18312.0	14701.0	23566.0	27627.0	23619.0	23708.0	18190.0	26797.0	27260.0	25097.0	21929.0	22512.0	23174.0	16167.0	15103.0	15073.0	22832.0	22911.0	20809.0	20399.0	17385.0	0.0	11253.0	24319.0
RaymondF_2016__P22E0__bin.25	19259.0	26978.0	18450.0	25745.0	26271.0	10763.0	27428.0	24357.0	10984.0	11416.0	28789.0	27045.0	22884.0	14716.0	25242.0	26561.0	7758.0	15305.0	14554.0	24732.0	27822.0	23174.0	25053.0	14933.0	27309.0	28353.0	25100.0	22815.0	22138.0	23208.0	13576.0	13226.0	10987.0	23517.0	22489.0	18945.0	19174.0	17410.0	11253.0	0.0	24427.0
QinJ_2012__T2D-048__bin.35	18413.0	22357.0	16350.0	17274.0	13789.0	31206.0	15215.0	21616.0	24260.0	15957.0	18448.0	15620.0	20076.0	9706.0	22531.0	14949.0	21013.0	9779.0	3044.0	21192.0	8846.0	21794.0	23549.0	13753.0	16370.0	20369.0	23497.0	32734.0	21081.0	21651.0	11799.0	31587.0	33068.0	21792.0	21750.0	16690.0	8118.0	32871.0	24319.0	24427.0	0.0
