	Obregon-TitoAJ_2015__SM05__bin.25	VatanenT_2016__G80574__bin.3	KosticAD_2015__PRJNA231909.3105379__bin.12	BackhedF_2015__SID536_4M__bin.5	BackhedF_2015__SID385_4M__bin.1	BackhedF_2015__SID128_4M__bin.17	BackhedF_2015__SID335_4M__bin.10	BackhedF_2015__SID633_4M__bin.19	BackhedF_2015__SID201_B__bin.11	BackhedF_2015__SID203_4M__bin.7	KosticAD_2015__PRJNA231909.3104913__bin.9	FerrettiP_2018__CA_C10009IS2149FE_t5M16__bin.5	BackhedF_2015__SID589_12M__bin.29	FerrettiP_2018__CA_C10023IS2401FE_t5M16__bin.5	BackhedF_2015__SID624_4M__bin.6	FerrettiP_2018__CA_C10020IS2345FE_t5M16__bin.3	BackhedF_2015__SID338_4M__bin.10	FerrettiP_2018__CA_C10020IS2347FE_t4M15__bin.14	BackhedF_2015__SID9_4M__bin.3	BackhedF_2015__SID589_B__bin.7	BackhedF_2015__SID105_4M__bin.4	BackhedF_2015__SID195_4M__bin.11	BackhedF_2015__SID201_4M__bin.1	BackhedF_2015__SID599_4M__bin.4	LiuW_2016__SRR3993045__bin.26	FerrettiP_2018__CA_C10035IS2913FE_t4M16__bin.8
KosticAD_2015__PRJNA231909.3104913__bin.9	1063766.0	1124941.0	1274228.0	1173563.0	1241327.0	1134521.0	1141115.0	975585.0	1226481.0	1245658.0	1334098.0	1118666.0	1213164.0	998623.0	1097520.0	1069803.0	1132966.0	1161630.0	905757.0	1052759.0	870578.0	910292.0	1169677.0	1025143.0	1136007.0	848962.0
FerrettiP_2018__CA_C10009IS2149FE_t5M16__bin.5	1215320.0	1377695.0	1458938.0	1417059.0	1503371.0	1387900.0	1408535.0	904680.0	1269730.0	1343729.0	1118666.0	1727823.0	1472061.0	1364426.0	1296181.0	1414618.0	1419650.0	1541567.0	1035976.0	1285525.0	1038786.0	1191133.0	1434223.0	1376505.0	1417787.0	990465.0
BackhedF_2015__SID589_12M__bin.29	1377782.0	1659696.0	1769831.0	1710093.0	1837969.0	1616288.0	1629185.0	965407.0	1422925.0	1576032.0	1213164.0	1472061.0	1954354.0	1557943.0	1524084.0	1580112.0	1665695.0	1707430.0	1173866.0	1433119.0	1225545.0	1468846.0	1741256.0	1535455.0	1653413.0	1037841.0
FerrettiP_2018__CA_C10023IS2401FE_t5M16__bin.5	1207246.0	1434113.0	1544820.0	1499546.0	1574928.0	1415402.0	1384895.0	815219.0	1241025.0	1294810.0	998623.0	1364426.0	1557943.0	1840305.0	1307914.0	1525834.0	1472529.0	1600883.0	1000415.0	1280232.0	1126458.0	1414221.0	1548510.0	1491841.0	1486547.0	921719.0
BackhedF_2015__SID624_4M__bin.6	1208505.0	1420549.0	1509323.0	1532262.0	1566939.0	1469164.0	1415491.0	901961.0	1269795.0	1348297.0	1097520.0	1296181.0	1524084.0	1307914.0	1673627.0	1357019.0	1455842.0	1474260.0	1050111.0	1251798.0	1044419.0	1231095.0	1480235.0	1319229.0	1443296.0	938757.0
FerrettiP_2018__CA_C10020IS2345FE_t5M16__bin.3	1275706.0	1485445.0	1548983.0	1520467.0	1595945.0	1470373.0	1457271.0	886316.0	1309332.0	1340284.0	1069803.0	1414618.0	1580112.0	1525834.0	1357019.0	1852292.0	1504350.0	1722367.0	1066890.0	1324462.0	1119717.0	1370097.0	1573435.0	1560153.0	1497194.0	978084.0
BackhedF_2015__SID338_4M__bin.10	1308981.0	1574589.0	1641619.0	1630711.0	1698015.0	1553493.0	1561037.0	922725.0	1352215.0	1445097.0	1132966.0	1419650.0	1665695.0	1472529.0	1455842.0	1504350.0	1838877.0	1607183.0	1143782.0	1344819.0	1146928.0	1366324.0	1615259.0	1450059.0	1582432.0	1023982.0
FerrettiP_2018__CA_C10020IS2347FE_t4M15__bin.14	1368584.0	1599739.0	1673966.0	1622787.0	1727100.0	1573789.0	1567698.0	954401.0	1399212.0	1443535.0	1161630.0	1541567.0	1707430.0	1600883.0	1474260.0	1722367.0	1607183.0	2028553.0	1140616.0	1439526.0	1141390.0	1412781.0	1676389.0	1636529.0	1614675.0	1069869.0
BackhedF_2015__SID9_4M__bin.3	980838.0	1106082.0	1159582.0	1135811.0	1192032.0	1099602.0	1157175.0	743798.0	1021549.0	1072109.0	905757.0	1035976.0	1173866.0	1000415.0	1050111.0	1066890.0	1143782.0	1140616.0	1255782.0	979787.0	817003.0	954142.0	1137024.0	1034422.0	1092839.0	791460.0
BackhedF_2015__SID589_B__bin.7	1173456.0	1321272.0	1416783.0	1380081.0	1438957.0	1316697.0	1314929.0	839042.0	1213887.0	1285811.0	1052759.0	1285525.0	1433119.0	1280232.0	1251798.0	1324462.0	1344819.0	1439526.0	979787.0	1590720.0	994192.0	1117646.0	1381033.0	1285868.0	1365029.0	921434.0
BackhedF_2015__SID105_4M__bin.4	962425.0	1117235.0	1200256.0	1170187.0	1279346.0	1097791.0	1136320.0	702350.0	1081386.0	1186802.0	870578.0	1038786.0	1225545.0	1126458.0	1044419.0	1119717.0	1146928.0	1141390.0	817003.0	994192.0	1386944.0	1130951.0	1212020.0	1066095.0	1129460.0	694053.0
BackhedF_2015__SID195_4M__bin.11	1095469.0	1362328.0	1462386.0	1394197.0	1506271.0	1344883.0	1332284.0	742305.0	1114282.0	1230428.0	910292.0	1191133.0	1468846.0	1414221.0	1231095.0	1370097.0	1366324.0	1412781.0	954142.0	1117646.0	1130951.0	1617522.0	1452705.0	1359858.0	1372949.0	807522.0
BackhedF_2015__SID201_4M__bin.1	1347450.0	1590139.0	1741633.0	1663458.0	1781240.0	1573681.0	1553814.0	981110.0	1455002.0	1459835.0	1169677.0	1434223.0	1741256.0	1548510.0	1480235.0	1573435.0	1615259.0	1676389.0	1137024.0	1381033.0	1212020.0	1452705.0	1971560.0	1505823.0	1624053.0	1020133.0
BackhedF_2015__SID599_4M__bin.4	1233093.0	1434981.0	1517576.0	1464600.0	1570987.0	1415730.0	1408030.0	882317.0	1246324.0	1291547.0	1025143.0	1376505.0	1535455.0	1491841.0	1319229.0	1560153.0	1450059.0	1636529.0	1034422.0	1285868.0	1066095.0	1359858.0	1505823.0	1713287.0	1461482.0	946984.0
LiuW_2016__SRR3993045__bin.26	1305878.0	1544707.0	1644942.0	1622518.0	1695134.0	1549508.0	1524760.0	918654.0	1328223.0	1413593.0	1136007.0	1417787.0	1653413.0	1486547.0	1443296.0	1497194.0	1582432.0	1614675.0	1092839.0	1365029.0	1129460.0	1372949.0	1624053.0	1461482.0	1905890.0	1013957.0
FerrettiP_2018__CA_C10035IS2913FE_t4M16__bin.8	886381.0	995617.0	1024720.0	1016131.0	1047635.0	987347.0	999116.0	704624.0	947786.0	953141.0	848962.0	990465.0	1037841.0	921719.0	938757.0	978084.0	1023982.0	1069869.0	791460.0	921434.0	694053.0	807522.0	1020133.0	946984.0	1013957.0	1126004.0
